element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,cuisine,name,opening_hours,phone,toilets:wheelchair,website,wheelchair,geometry,contact:phone,brewery,contact:email,contact:fax,contact:website,diet:vegetarian,level,name:zh,survey:date,wheelchair:description,indoor_seating,outdoor_seating,biergarten,brewery:Weizen,operator,smoking,check_date,payment:mastercard,payment:visa,capacity,changing_table,check_date:opening_hours,diet:vegan,highchair,fax,source,website:menu,wikidata,wikipedia,brewery:weizen,changing_table:fee,changing_table:location,toilets,email,image,start_date,contact:facebook,contact:instagram,opening_hours:kitchen,brand,brand:wikidata,internet_access,internet_access:fee,internet_access:ssid,delivery,takeaway,access:covid19,takeaway:covid19,diet:halal,diet:kosher,opening_hours:signed,name:de,name:ja,toilets:access,contact:mobile,outdoor_area,payment:electronic_purses,microbrewery,addr:suburb,opening_hours:covid19,note,check_date:diet:vegetarian,wheelchair:description:de,brand:wikipedia,drive_through,diet:pescetarian,old_name,type,bar,diet:meat,cocktails,alt_name,payment:credit_cards,reservation,delivery:covid19,drive_through:covid19,delivery:partner,access,payment:cash,payment:cryptocurrencies,payment:debit_cards,tourism,beer_garden,name:bar,air_conditioning,sport,fixme,operator:type,name:fr,shop,poi,mapillary,smoking:outside,wifi,payment:american_express,payment:girocard,currency:XBT,payment:lightning,payment:cards,layer,addr:state,mobile,description,leisure,was:cuisine,name:en,organic,reusable_packaging:offer,addr:housename,capacity:outdoors,new_name,check_date:currency:XBT,payment:lightning_contactless,payment:onchain,dog,payment:sodexo,surveillance,stars,payment:maestro,payment:visa_debit,diet:raw,contact:housenumber,contact:postcode,contact:street,addr:floor,check_date:website,breakfast,opening_hours:url,gay,lgbtq,alt_website,brewery:pils,currency:BCH,payment:jcb,vegetarian,name:ko,name:ko-Latn,terrace,payment:rea,disused:name,payment:apple_pay,payment:diners_club,payment:discover,payment:google_pay,payment:unionpay,diet:fish,diet:seafood,reservation:website,ref:vatin,brewery:indian,canoe:service,ref,diet:non-vegetarian,loc_name,name:it,contact:whatsapp,postal_code,source:name,contact:phone_1,restaurant,beer_brand,drink:coffee,description:covid19,self_service,kids_area,kids_area:indoor,kids_area:outdoor,seats,note:laxbar,facebook,alcohol,cuisine:sushi,blind:description:de,description:de,comment,note:de,drink:afri-cola,entrance,not:brand:wikidata,payment:contactless,old_cuisine,payment:v_pay,name:-2020,dance:teaching,payment:coins,payment:notes,old_amenity,ice_cream,name:bg,ice_cream:type,food,short_name,owner,internet_access:type,aed:note,aed:note:en,emergency,indoor,drink:wine,changing_table:access,designation,diet:gluten_free,kitchen_hours,brewery:Weizenbier,branch,opening_hours:takeaway,wheelchair:step_height,payment:bitcoin,cuisine:de,delivery_hours,contact:tiktok,name_1,parking,craft,contact:tripadvisor,diet:dairy_free,name:ar,old_name_1,diet:lactose_free,contact:twitter,diet:healthy,payment:konzernausweis,handwashing:creme,handwashing:soap,toilets:disposal,toilets:hands_drying,toilets:handwashing,toilets:paper_supplied,toilets:wheelchair:description,lunch,last_checked,was:name,origin,gambling,old_website,drink:soft_drink,drink:water,diet:organic,language:menu:de,language:menu:en,diet:mediterranean,payment:legic,payment:bancomat,payment:paypal,diet:chicken,disabled,nodes,building,building:levels,building:material,roof:colour,roof:shape,building:colour,height,roof,architect,architect:wikidata,building:architecture,heritage,heritage:operator,heritage:ref,name:ru,wikimedia_commons,note:alt_name,roof:levels,building:part,BLfD:criteria,ref:BLfD,service_times,currency:EUR,currency:others,brewery:urtyp,brewery:weisbier,historic,lit,contact:housename,name:disused,roof:height,roof:angle,roof:material,capacity:biergarten,capacity:pub,roof:orientation,disused:shop,diet:local,room,alternate,dogs
node,108292355,München,DE,8,81829,Martin-Empl-Ring,restaurant,italian,San Martino,"Mo-Fr 12:00-14:30, 18:00-22:30",+49 89 92208444,,https://classik-hotel-collection.com/hotels/classik-hotel-martinshof-muenchen,limited,POINT (11.6816237 48.1396234),,,,,,,,,,,,,,,Landhotel Martinshof,,,,,,,,,,,website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,129970464,München,,30,81677,Kronstadter Straße,restaurant,italian,La Romantica,"Mo-Sa 11:30-14:30, 15:30-23:30",,,,,POINT (11.6483681 48.138517),,,,,,yes,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,135611656,,,,,,restaurant,,Tassilogarten,"Su-Sa 10:00-24:00,10:00-23:30",,,https://www.tassilogarten.de/,limited,POINT (11.5953957 48.1232444),,,,,,yes,,,,,yes,yes,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,138009689,München,,2,81479,Hinterbrühl,restaurant,bavarian,Gasthof Hinterbrühl,Su-Sa 10:00-23:59,+49 89 794494,yes,https://www.gasthof-hinterbruehl.de/,yes,POINT (11.5402277 48.0860693),,,,,,yes,,,,,yes,yes,,,,,,,,,,,,,,,,Q1495501,de:Gasthof Hinterbrühl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,146023572,München,DE,8,81379,Isarauen,restaurant,bavarian,Zum Flaucher,Mo-Sa 12:00-00:00; Su 11:00-00:00,,limited,,limited,POINT (11.5575248 48.1087336),+49 89 7232677,Löwenbräu,info@zum-flaucher.de,+49 89 7237787,https://www.zumflaucher.de/,yes,,,,,yes,yes,,,,,,,,1700,yes,,yes,,,,,,,Franziskaner,no,female_toilet,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,171477238,München,,20,80997,Hartmannshofer Straße,restaurant,italian;fish;meat;antipasti;pizza;pasta,die Fasanerie,We-Su 12:00-22:00,+49 89 92284 600,,https://www.fasanerie.de,,POINT (11.4934148 48.1731304),,,,,,,,,,,,yes,,,Fasanerie GmbH;Gefü: Martina Meise,,,,,,,,,,,,,,,,,,,info@fasanerie.de,https://www.fasanerie.de/wp-content/uploads/2018/11/fasanerie_terrasse.jpg,2017 06 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,197903310,München,DE,77,81245,Kastelburgstraße,restaurant,greek,Simply Greek,"Mo off; Tu-Fr 16:30-24:00; Sa,Su 12:30-24:00",+49 89 86 322 67,,https://simplygreektaverna.com/,no,POINT (11.4237873 48.1584509),,,,,,yes,,,,,,yes,,,Dimitrios Savvas,,,,,,,,,,,,,,,,,,,,,2022-04-03,https://www.facebook.com/simplygreektaverna,https://www.instagram.com/simplygreektaverna/,Mo-Sa 16:30-22:00; Su 12:30-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,198195528,,,,,,restaurant,italian,Bella Italia,Mo-Su 11:30-23:30,,yes,,yes,POINT (11.511636 48.1813887),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,198212895,München,DE,42,80809,Lerchenauer Straße,restaurant,pizza,Pizza Hut,,,,,yes,POINT (11.5594734 48.1756612),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pizza Hut,Q191615,wlan,no,FairSpot_PizzaHut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,206268452,München,,17,81735,Staudingerstraße,restaurant,greek,Pallas Athene,Su-Sa 11:30-00:00,,no,,limited,POINT (11.6319984 48.111718),,,,,https://www.restaurant-pallasathene.de/,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,206268453,München,DE,20,81735,Staudingerstraße,restaurant,italian,Da Francesco,Mo-Su 12:00-23:00,,,https://dafrancesco-staudinger.de,no,POINT (11.6315777 48.1114034),,,,,,yes,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,211212107,München,DE,17,81737,Schneckestraße,restaurant,italian,La Passione,"Tu-Sa 11:30-14:30, 17:30-22:30; Su 11:30-21:30",+49 89 87768552,,,limited,POINT (11.6312156 48.0943417),,,,,,yes,,,,,yes,yes,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,211874140,München,DE,97,80333,Gabelsbergerstraße,restaurant,italian,Casa Nostra,,,,https://www.casa-nostra-monaco.de/,limited,POINT (11.5597523 48.149789),,,,,,,,,,,,,,,,,,,,,,2022-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,211874152,München,DE,85,80333,Gabelsbergerstraße,restaurant,japanese,Kaito,Mo-Sa 17:30-23:00,,,https://de.kaito-restaurant.com,no,POINT (11.5607585 48.1495286),,,,,,,,,,,,,,,,,2023-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaito,海斗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,219688125,,,,,,restaurant,burger,Drunken Cow,Mo-Sa 18:00+,+49 89 5435 6230,,https://drunkencow.de/,no,POINT (11.5608937 48.1497066),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
