element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,contact:website,internet_access,internet_access:fee,name,opening_hours,operator,operator:type,operator:wikidata,operator:wikipedia,wheelchair,geometry,check_date:opening_hours,ref:isil,access,email,opening_hours:covid19,phone,website,contact:email,contact:fax,contact:phone,toilets:wheelchair,wheelchair:website,alt_name,check_date,level,wikidata,internet_access:ssid,short_name,wheelchair:description,source,wikipedia,image,wikimedia_commons,name:en,air_conditioning,building,description,start_date,topic,language:de,language:en,name:etymology:wikidata,official_name,service:copy,service:scan,fax,wheelchair:description:de,name:de,name:fr,opening_hours:url,indoor,name:ru,nodes,architect,building:levels,roof:colour,roof:shape,building:material,est_height,roof:height,roof:material,note,room,fence,ways,type
node,4185297186,,,,,,library,,,,Bücherbus Neuforstenried,week 02-52/2 Fr 10:45-13:00,,,,,,POINT (11.4842168 48.0833216),,,,,,,https://www.muenchner-stadtbibliothek.de/buecherbusse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4309271973,München,DE,27,80337,Thalkirchner Straße,library,https://frevel.noblogs.org/,,,Frevel,Tu 17:00-21:00; Sa 15:00-19:00,,,,,,POINT (11.5612429 48.1236858),,,,,,,,bibliothek-frevel@riseup.net,,,,,Bibliothek Frevel,,,,,,,,,,,,,,,2016,,main,yes,Q15810502,Anarchistische Bibliothek Frevel,,,,,,,,,,,,,,,,,,,,,,,
node,4323298366,München,,10,80333,Katharina-von-Bora-Straße,library,,,,Bibliothek des Zentralinstituts für Kunstgeschichte,"Mo-Fr 09:00-20:00; Sa,Su,PH off",,,,,,POINT (11.5665884 48.1444937),,DE-255,private,,,,https://www.zikg.eu/bibliothek,,,,,,,,,Q28739428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4323298368,München,,10,80333,Katharina-von-Bora-Straße,library,,,,Bibliothek des Instituts für Klassische Archäologie der LMU,,,,,,,POINT (11.5668914 48.1444812),,,private,,,,https://www.klass-archaeologie.uni-muenchen.de/d-content-boxen/bibliothek12/index.html,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4327036768,,,,,,library,,,,Patientenbliothek,Tu 14:00-16:30; Th 14:00-16:00,,,,,,POINT (11.4677656 48.1106548),,,,,,,https://klinikseelsorge-lmu-grosshadern.de/kirchenzentrum.html,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4372368346,,,,,,library,,,,Technische Universität München Bibliothek,,,,,,,POINT (11.60426 48.1376045),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4472669386,,,,,,library,,wlan,,"Zivilrecht, Zivilverfahrensrecht und Medienrecht",Mo-Fr 08:00-23:45; Sa 08:00-19:45; Su 10:00-17:45; PH off,Universitätsbibliothek der LMU München,university,Q2496326,de:Universitätsbibliothek der LMU München,,POINT (11.5823199 48.1508514),,,,,,,https://www.ub.uni-muenchen.de/bibliotheken/bibs-a-bis-z/0301/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4472669387,,,,,,library,,wlan,,Fachbibliothek Theologie und Philosophie,Mo-Fr 08:00-22:00; Sa-Su 09:00-18:00; PH off,Universitätsbibliothek der LMU München,university,Q2496326,de:Universitätsbibliothek der LMU München,yes,POINT (11.5810057 48.1513257),,,,,,,https://www.ub.uni-muenchen.de/bibliotheken/bibs-a-bis-z/0100/index.html,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4472669388,München,,12,80799,Schellingstraße,library,,,,Fachbibliothek Historicum,Mo-Fr 08:00-22:00; Sa-Su 09:00-18:00; PH off,Universitätsbibliothek der LMU München,university,Q2496326,de:Universitätsbibliothek der LMU München,yes,POINT (11.5786408 48.1497579),,,,historicum@ub.uni-muenchen.de,,+49 89 2180-5586,https://www.ub.uni-muenchen.de/bibliotheken/bibs-a-bis-z/0900/index.html,,,,yes,http://www.ub.uni-muenchen.de/arbeiten/lernumgebung/barrierefrei/index.html#historicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4472669389,München,,3,80799,Schellingstraße,library,,,,Amerika-Institut,,Universitätsbibliothek der LMU München,university,Q2496326,de:Universitätsbibliothek der LMU München,,POINT (11.579288 48.1490569),,,,amerika@ub.uni-muenchen.de,,,https://www.amerikanistik.uni-muenchen.de/studium-neu/studium/bibliothek/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4472669396,München,,67,80538,Oettingenstraße,library,,,,Fachbibliothek Englischer Garten,Mo-Fr 08:00-22:00; Sa-Su 09:00-18:00; PH off,Universitätsbibliothek der LMU München,university,Q2496326,,limited,POINT (11.5939736 48.1499333),,,,,,+49 89 2180-9753,https://www.ub.uni-muenchen.de/bibliotheken/bibs-a-bis-z/1212/index.html,,,,,http://www.ub.uni-muenchen.de/arbeiten/lernumgebung/barrierefrei/index.html#engl-garten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4472669397,,,,,,library,,,,Fachbibliothek Tiermedizin,"Mo-Fr 09:00-20:00; Sa 09:00-18:00; Su,PH off",Universitätsbibliothek der LMU München,university,Q2496326,de:Universitätsbibliothek der LMU München,no,POINT (11.5857214 48.1520673),,,,,,+49 89 2180-2671,https://www.ub.uni-muenchen.de/bibliotheken/bibs-a-bis-z/0800/index.html,,,,,http://www.ub.uni-muenchen.de/arbeiten/lernumgebung/barrierefrei/index.html#tiermedizin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4472669398,München,,15,81377,Marchioninistraße,library,,,,Wissenschaftliche Bibliothek Klinikum Großhadern,Mo-Fr 08:30-20:00,Universitätsbibliothek der LMU München,university,Q2496326,de:Universitätsbibliothek der LMU München,,POINT (11.4675376 48.1116915),,,,kgh@ub.uni-muenchen.de,,+49 89 4400-74587,https://www.ub.uni-muenchen.de/bibliotheken/bibs-a-bis-z/0760/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4472748150,München,DE,31,80798,Zentnerstraße,library,,wlan,,Fachbibliothek Kunstwissenschaften,"Mo-Fr 09:00-22:00; Sa 09:00-20:00; Su,PH off",Universitätsbibliothek der LMU München,university,Q2496326,de:Universitätsbibliothek der LMU München,yes,POINT (11.564212 48.1582808),,DE-19,,,,,https://www.ub.uni-muenchen.de/bibliotheken/bibs-a-bis-z/0910/index.html,,,,yes,http://www.ub.uni-muenchen.de/arbeiten/lernumgebung/barrierefrei/index.html#kuwi,,2023-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4475039747,München,,33,80539,Kaulbachstraße,library,,,,Bibliothek der Hochschule für Philosophie,Mo-Fr 09:00-21:00; Sa 09:00-14:00; Sep Mo-Th 09:00-17:00; Sep Fr 09:00-16:00; Sep Sa off,Hochschule für Philosophie,,,,,POINT (11.5834945 48.1489554),,,,,,,https://www.hfph.de/forschung/wissenschaftliche-einrichtungen/bibliothek,,,,,,,,1,Q28738987,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,
node,4476505948,München,,1,80539,Veterinärstraße,library,https://www.naher-osten.uni-muenchen.de/institut/bibliothek/index.html,,,UNI-Bibliothek,Mo-Fr 10:00-18:00,Universitätsbibliothek der LMU München,university,Q2496326,de:Universitätsbibliothek der LMU München,,POINT (11.5827123 48.1504473),,,,,,,,,,,,,,,1,,,,,,,,,,,,"Bibliothek des Instituts für den Nahen und Mittleren Osten / Turkologie, Iranistik",,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,
node,4692487273,,,,,,library,,,,Emil Kraepelin Bibliothek,,,,,,,POINT (11.5594318 48.1327312),,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4940910305,München,DE,11,81369,Fallstraße,library,https://www.erzbistum-muenchen.de/pfarrei/pv-mittersendling/cont/68108,,,Pfarrbücherei St. Achaz,We 15:00-17:00; Sa 17:15-18:00; Su 11:00-12:00,St. Achaz,,,,,POINT (11.5390956 48.1094767),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5316191504,München,DE,1,81673,Johann-Michael-Fischer-Platz,library,,,,Pfarrbücherei St. Michael,Su 10:00-12:00; We 16:00-18:00,"Katholische Pfarrgemeinde
St. Michael in Berg am Laim",,,,limited,POINT (11.6303104 48.1252637),2022-09-10,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5803596753,,,,,,library,,,,Bücherschrank,,,,,,,POINT (11.5359808 48.0858678),,,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6121660238,München,,60 UG,80799,Türkenstraße,library,,wlan,no,AAP Archive Artist Publications,,Hubert Kretschmer,private,,,no,POINT (11.5761012 48.1498181),,,,mail@artistbooks.de,,+49 89 1234530,https://www.artistbooks.de/,,,,,,,,-1,Q55525220,,,,,de:Archive Artist Publications,,,,,,"Das Archive Artist Publications (kurz AAP) sammelt, archiviert und dokumentiert internationale Künstlerpublikationen. Initiiert wurde es in den 1980er Jahren von Hubert Kretschmer, Verleger, Kunstpädagoge und Künstler.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6611423174,München,,37,80333,Theresienstraße,library,,wlan,no,Fachbibliothek Mathematik und Physik,Mo-Fr 08:00-22:00; Sa-Su 09:00-18:00,Universitätsbibliothek der LMU München,university,Q2496326,de:Universitätsbibliothek der LMU München,yes,POINT (11.5735674 48.1480296),,,yes,bmmp@ub.uni-muenchen.de,,+49 89 2180-4501,https://www.ub.uni-muenchen.de/bibliotheken/bibs-a-bis-z/1600/index.html,,,,,,,,1,,BayernWLAN;eduroam,,,https://www.ub.uni-muenchen.de/bibliotheken/bibs-a-bis-z/1600/index.html,,,,,no,,,,,,,,,,,+49 89 2180-3345,https://www.ub.uni-muenchen.de/arbeiten/lernumgebung/barrierefrei/index.html#mathe,,,,,,,,,,,,,,,,,,,
