element_type,osmid,geometry,addr:country,amenity,name,religion,toilets:wheelchair,wheelchair,wikidata,wikipedia,denomination,service_times,addr:city,addr:housenumber,addr:postcode,addr:street,check_date,wikimedia_commons,website,image,opening_hours,note,contact:website,phone,start_date,deanery,diocese,parish,addr:suburb,building,heritage,heritage:operator,ref:BLfD,alt_name,name:de,name:tr,fixme,email,level,opening_hours:covid19,polling_station,name:ar,operator,source,artwork_type,description,tourism,height,historic,fax,name:ro,name:en,contact:email,contact:phone,lastcheck,wheelchair:description,name:pt,short_name,contact:facebook,artist_name,name:bs,air_conditioning,inscription,internet_access,service_times:url,source_ref,baby_feeding,name:hr,nodes,building:architecture,building:colour,heritage:ref,name:es,name:zh,architect,architect:wikidata,building:levels,building:part,roof:shape,layer,roof:colour,url,scouts:group,scouts:organisation,scouts:website,BLfD:criteria,loc_name,roof:levels,name:ja,name:pl,name:ru,official_name,roof:material,type,roof:height,building:material,contact:fax,operator:type,capacity,old_name,source:height,maxheight,colour,addr:housename,place_of_worship,club,est_height,building:shape,building:year,name:bar,name:el,official_name:de,official_name:ru,official_name:es,designation,indoor,ways
node,369592496,POINT (11.452893 48.187899),,place_of_worship,Neuapostolische Kirche,christian,,yes,,,new_apostolic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,371176649,POINT (11.560155 48.1869358),,place_of_worship,Mehmed Akif Camii/ Türkisch Islamische Gemeinde e.V.,muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,371694200,POINT (11.5685807 48.1303563),DE,place_of_worship,Evangelisch-Freikirchliche Gemeinde,christian,,yes,,,baptist,,München,9,80469,Holzstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,441183944,POINT (11.5670941 48.1656423),,place_of_worship,Kapelle,christian,,,,,catholic,,,,,,,,,,,Das ist die Kapelle im Alterheim St. Willibrord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,482625581,POINT (11.529291 48.1204638),,place_of_worship,Freie Christengemeinde München,christian,,yes,,,pentecostal,So. 10.30 Uhr,München,4,81373,Hinterbärenbadstraße,,,https://fcg-m.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,508310405,POINT (11.6264574 48.1312636),,place_of_worship,Gurdwara Nanak Sabha e.V.,sikh,,no,,,,,,70,81673,Neumarkter Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,532648758,POINT (11.5050405 48.0829),,place_of_worship,Sankt Ansgar,christian,,limited,Q23766005,,catholic,,München,32,,Gulbranssonstraße,,Category:St. Ansgar (Solln),https://www.pfarrverband-solln.de/ansgar/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,563829280,POINT (11.6268987 48.1312038),,place_of_worship,Das Islamische Zentrum der E. Afghanen in Bayern e.V.,muslim,,no,,,,,,72,,Neumarkter Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,676011916,POINT (11.5993168 48.1377002),,place_of_worship,Maria Heil der Kranken,christian,,yes,,,catholic,,,,,,,,,,,,https://www.erzbistum-muenchen.de/EMFInclude/Pages/Organisation.aspx?id=546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,676956179,POINT (11.5444805 48.2033188),,place_of_worship,Deutsch-Afghanische Begegnungsstätte,muslim,,,,,,,München,6,80935,Tagetesstraße,,,,,,,,+49 89 - 3511744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,677195683,POINT (11.4819909 48.1167339),,place_of_worship,Feldkapelle der Familie Weinberger,christian,,,,,,,,,,,,,,,,,,,1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,717502009,POINT (11.5643381 48.1311797),DE,place_of_worship,Evangelisch Reformierte Kirche,christian,,,,,reformed,,München,11,80337,Reisingerstraße,,,https://reformiert-muenchen.de/,https://de.wikipedia.org/wiki/Datei:Evangelisch-Reformierte_Kirchengemeinde_M%C3%BCnchen_1.jpg,,,,,,Synodalverband XI,Evangelisch-reformierte Kirche,Evangelisch-reformierte Gemeinde München 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,747490228,POINT (11.6277908 48.1759286),DE,place_of_worship,Gedächtniskapelle St. Emmeram,christian,,,Q1497643,de:Gedächtniskapelle St. Emmeram,catholic,,München,40,81925,Sankt Emmeram,,Category:Gedächtniskapelle St. Emmeram,,https://upload.wikimedia.org/wikipedia/commons/2/20/St._Emmeram-Gedaechtnis-Kapelle_Muenchen.JPG,,,,,1866,,,,Bogenhausen,chapel,4,BLfD,D-1-62-000-6079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,915774207,POINT (11.582448 48.1550106),DE,place_of_worship,Kapelle der KHG-Studentengemeinde,christian,,yes,,,roman_catholic,,München,11,80802,Leopoldstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,915780898,POINT (11.5806076 48.1550036),,place_of_worship,Priesterseminar St. Johannes d.T.,christian,,limited,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,ein Priesterseminar ist eigentlich kein place_of_worship (eine Kapelle in dem Gebäude schon),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,944697314,POINT (11.5274803 48.1621343),DE,place_of_worship,Freikirche der Siebenten-Tags-Adventisten,christian,,,,,seventh_day_adventist,Sa 09:30-11:30,München,18,80638,Tizianstraße,,,https://www.sta-nymphenburg.de,,,,,+49 89 159134 0,,,,,,,,,,,,,,bayern@adventisten.de,0,Sa 10:00-11:30,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,988188670,POINT (11.5990541 48.1372987),,place_of_worship,Bephata,christian,,yes,,,protestant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1209458631,POINT (11.5326158 48.1780663),DE,place_of_worship,Islamische Vereinigung in Bayern (Iranische Moschee),muslim,,,,,shia,,München,1,80992,Dürrstraße,,,http://mfmunich.blogfa.com,,,,,+49 89 14902724,,,,,,,,,,,,,,,,,,الجمعية الإسلامية في بافاريا - المسجد الإيراني,Islamische Gemeinschaft der schiitischen Gemeinden Deutschlands e.V. (IGS),survey;http://www.igs-deutschland.org/die-igs/moscheekarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1216801092,POINT (11.5694407 48.209892),,place_of_worship,Andachtsraum im Dominikuszentrum (Pfarrei St. Gertrud),christian,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1381267750,POINT (11.5784355 48.117448),DE,place_of_worship,Königreichssaal der Jehovas Zeugen,christian,,,,,jehovahs_witness,,München,3,,Gietlstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1449510913,POINT (11.5869823 48.1869354),,place_of_worship,Freie evangelische Gemeinde München-Nord,christian,yes,yes,,,free_evangelical,Su 10:30,München,150,80807,Frankfurter Ring,,,https://muenchen-nord.feg.de/,,,,,+49 89 - 95821717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1449511974,POINT (11.5839689 48.1882143),,place_of_worship,Evangeliumszentrum,christian,,limited,,,free_evangelical,Sonntag 11 Uhr,München,43,80807,Ingolstädter Straße,,,https://evangeliumszentrum.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1741402163,POINT (11.5047616 48.0830272),DE,place_of_worship,Petruskirche,christian,,,Q23766005,,protestant,,München,45a,81477,Stockmannstraße,,Category:Petruskirche (Solln),https://www.solln-evangelisch.de/,,,,,+49 89 797729,,,,,,,,,,,,,,petruskirche@solln-evangelisch.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1754638749,POINT (11.6826536 48.0991753),,place_of_worship,Mariengrotte (Lourdesgrotte),christian,,,,,catholic,,,,,,,,,,,"""Grotte des Friedens, den die Welt nicht geben kann""",,,1932-06-26,,,,,,,,,,,,,,,,,,,survey,,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1781509332,POINT (11.5098272 48.0667257),,place_of_worship,Schlosskapelle St. Ignatius,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1896437526,POINT (11.5467927 48.1383905),,place_of_worship,Apostolische Gemeinde München,christian,,,,,apostolic,Su 09:30+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2036256862,POINT (11.6481221 48.0832986),DE,place_of_worship,Salih Sanli Moschee,muslim,,,,,,,München,60,81739,Carl-Wery-Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2038170443,POINT (11.4470542 48.1398846),DE,place_of_worship,Kapelle „Maria am Wege“,christian,,yes,,,catholic,,München,52,81243,Maria-Eich-Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2040015355,POINT (11.4479928 48.1457836),DE,place_of_worship,Siebenten-Tags-Adventisten Pasing,christian,,,,,seventh_day_adventist,,München,61,81243,Bodenseestraße,,,https://www.sta-pasing.de/,,,,,+49 8142 6523815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2241973505,POINT (11.5178478 48.0711651),,place_of_worship,Jehovas Zeugen Versammlung München-Solln,christian,,,,,jehovahs_witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2492143003,POINT (11.5054852 48.165596),,place_of_worship,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2613035554,POINT (11.4229554 48.1811642),DE,place_of_worship,,christian,,,,,,,München,7a,,Waidachanger,,,,,,,,,,,,,,chapel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2613765966,POINT (11.598596 48.1335342),,place_of_worship,Hl. Kliment Ochridski,christian,,yes,,,bulgarian_orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2639025195,POINT (11.5146147 48.1577437),,place_of_worship,Benediktinerinnen-Abtei Venio,christian,,,,,catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2673654800,POINT (11.5016484 48.1352091),,place_of_worship,Gemeinde Christi,christian,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2707750677,POINT (11.505688 48.1626589),,place_of_worship,Kirche zur Heiligen Dreifaltigkeit München-Nymphenburg,christian,,yes,Q15814676,de:Heilige Dreifaltigkeit (Nymphenburg),catholic,Mo-Fr 07:00; We 18:30; Sa 07:30; Su 08:00,,,,,,,,,Mo-Su 15:00-17:00,,,,1964-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2709429304,POINT (11.5229101 48.156975),DE,place_of_worship,Neuapostolische Kirche,christian,,yes,,,new_apostolic,,München,4,80639,Montenstraße,,,https://www.nak-muenchen.de/muenchen-neuhausen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2725707138,POINT (11.532143 48.1638095),DE,place_of_worship,,christian,,,,,roman_catholic,,München,144,80637,Klugstraße,,,https://www.marienstift-muenchen.de/,,,,,,,,,,,,,,,,,,,verwaltung@marienstift-muenchen.de,,,,,Stiftung Marienstift München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2816069084,POINT (11.527699 48.1861023),DE,place_of_worship,Moschee / Büro für Islamisches Recht - Ayatulah Fadlulah,muslim,,,,,shia,,München,45,80993,Ehrenbreitsteiner Straße,,,,,,,,,,,,,,,,,,,,,,a.safa@web.de,,,,مسجد / مكتب الشريعة الإسلامية - آية الله فضل الله,Islamische Gemeinschaft der schiitischen Gemeinden Deutschlands e.V. (IGS),survey;http://www.igs-deutschland.org/die-igs/moscheekarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2877867082,POINT (11.4462586 48.1461233),DE,place_of_worship,Islamische Gemeinschaft Džemaat SABUR e. V.,muslim,,,,,sunni,,München,80,81243,Bodenseestraße,,,http://www.sabur.de,,,,,+49 89 82940369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2952082511,POINT (11.456326 48.1451574),,place_of_worship,,christian,,,,,catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kopie der Mariensäule,,,wayside_shrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2983927494,POINT (11.603574 48.1335115),DE,place_of_worship,Centrul Bisericesc Român Ortodox München - Liturghia de Duminică,christian,,,,,romanian_orthodox,,München,37,81675,Kirchenstraße,,,https://www.cbrom.de/,,D: 9:30-11:30,,,+49 89 5457 2059,,,,,,,,,,,,,,pr.ciprian@cbrom.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2983950143,POINT (11.5565193 48.136883),DE,place_of_worship,Kapelle des Hl. Siluan des Athoniten,christian,,,,,romanian_orthodox,,München,19,80336,Paul-Heyse-Straße,,,https://www.cbrom.de/,,,"în capătul curții interioare, scările din dreapta, la demisol",,+49 89 5457 2059,,,,,,,,,,,,,,secretariat@cbrom.de,-1,,,,,,,,,,,+49 89 5457 2058,Capela Sf. Siluan Atonitul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2983961896,POINT (11.6125587 48.122953),,place_of_worship,"Rumänisch-Orthodoxe Kirchengemeinde ""Maria Verkündigung"" München",christian,,no,,,romanian_orthodox,,München,20,81671,Aschheimer Straße,,,https://www.buna-vestire.de,,11:30-13:30,,,+49 89 611 46 43,,,,,,,,,,,,,,,,,,,,http://www.mitropolia-ro.de/index.php/parohii/parohii-germania,,,,,,+49 89 611 46 43,Parohia Ortodoxă Română „Buna Vestire“ München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3085096640,POINT (11.5762985 48.1134877),,place_of_worship,Fatih Camii,muslim,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Münchner Integrations-und Bildungsverein e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3273880281,POINT (11.5579808 48.0853495),,place_of_worship,Evangelische Kapelle,christian,,yes,,,lutheran,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protestant Chapel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3273880307,POINT (11.5583982 48.0865353),,place_of_worship,,christian,,,,,catholic,,,,,,,,,,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3347952791,POINT (11.5608 48.1441029),DE,place_of_worship,Islamische Gemeinschaft ''Balkan'' e.V.,muslim,,yes,,,,,München,43,80333,Karlstraße,,,https://islam-balkan.weebly.com/,,Su-Th 11:00-19:00; Fr-Sa 11:00-21:00,,,+49 89 55063367,,,,,,mosque,,,,,,,,,,,,,Islamische Gemeinschaft ''Balkan'' e.V.,,,,,,,+49 89 507256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3381797636,POINT (11.5510864 48.1381277),DE,place_of_worship,Shabd,spiritualist,,,,,Sant Mat,,München,10,80336,Hermann-Lingg-Straße,,,https://santmat-verein.de/,,,,,,,,,,,,,,,,,,,,1,,,,Sant Mat e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3387771441,POINT (11.542701 48.1349463),DE,place_of_worship,Islamische Gemeinschaft Dzemat Tevhid e.V.,muslim,,limited,,,,,München,31a,80339,Ligsalzstraße,,,http://www.dzemat-tevhid.de,,,,,+49 89 51818736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3416535038,POINT (11.5480814 48.1145306),DE,place_of_worship,Türkisch Islamisches Zentrum,muslim,,no,,,,,München,1,81371,Schanzenbachstraße,,,http://www.ditim.de,,,,,+49 89 72059342,,,,,,,,,,,,,,info@ditim.de,,,,,,,,,,,,+49 89 72069838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3425210762,POINT (11.5538446 48.156825),,place_of_worship,Church Of Pentecost Int. Munchen e.V,christian,,no,,,,,München,121,80797,Heßstraße,,,,,,,,,,,,,,,,,,,,,,,1,,,,Church Of Pentecost Int. Munchen e.V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3561286126,POINT (11.5615383 48.1498289),DE,place_of_worship,Diamantweg Zentrum München der Karma Kagyü Linie,buddhist,,,,,,,München,52,80333,Gabelsbergerstraße,,,https://www.diamantweg-buddhismus.de/de/zentren/Muenchen,,,,,,,,,,,temple,,,,,,,,,,,,,Buddhistische Zentren Bayern d.K.K.L. e.V.,,,,,,,,,,info@buddhismus-bayern.de,+49 8990547633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3822454278,POINT (11.5706063 48.1390575),,place_of_worship,Kreuzkapelle,christian,,,,,catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
