element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,source,wheelchair,amenity,operator,nodes,architect,architect:wikidata,building,building:levels,height,heritage,heritage:operator,heritage:ref,name,name:en,opening_hours,roof:shape,start_date,wikidata,wikipedia,building:colour,building:material,roof:colour,roof:height,roof:material,addr:housename,old_name,ref,emergency,operator:short,operator:wikidata,website,historic,wikimedia_commons,contact:email,contact:fax,contact:phone,contact:website,emergency_service,ref:thw,thw:lv,note,government,office,phone,consulate,contact:facebook,country,diplomatic,name:hu,ref:BLfD,source:start_date,building:part,min_height,roof:angle,description,ways,type
way,32562146,"POLYGON ((11.542918 48.1659068, 11.5433599 48.1656569, 11.5432503 48.1655707, 11.5433371 48.1655216, 11.5429877 48.1652467, 11.5428698 48.1653134, 11.5428326 48.1652842, 11.5427687 48.1652339, 11.5423718 48.1654584, 11.542486 48.1655482, 11.5427472 48.1654005, 11.5430551 48.1656426, 11.54278 48.1657983, 11.542918 48.1659068))",,,,,,,,,,"[366229990, 366229991, 366229992, 366229994, 366229995, 366229996, 3280469455, 366229997, 366229999, 366230000, 366230001, 366230003, 366230004, 366229990]",,,government,,,,,,Kreiswehrersatzamt u. Bundessprachenamt,,,,,,,,,,,,Gebäude 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32562183,"POLYGON ((11.5403636 48.1654333, 11.5402848 48.1654802, 11.54036 48.1655363, 11.5401214 48.1656786, 11.5401817 48.1657235, 11.5401061 48.1657686, 11.540194 48.1658342, 11.5404418 48.1656864, 11.5406442 48.1658375, 11.5402544 48.1660699, 11.5403811 48.1661644, 11.540762 48.1659373, 11.5411071 48.1661949, 11.5412482 48.1661107, 11.5409054 48.1658549, 11.5408307 48.1657992, 11.540795 48.1658204, 11.5407392 48.1657787, 11.5407758 48.1657568, 11.5405695 48.1656029, 11.5406753 48.1655398, 11.5406209 48.1654992, 11.5406915 48.1654571, 11.5406248 48.1654073, 11.5407555 48.1653294, 11.5407373 48.1653158, 11.5408198 48.1652667, 11.5411611 48.1655214, 11.5412022 48.1654969, 11.5413138 48.1654303, 11.54113 48.1652931, 11.5411969 48.1652532, 11.5410562 48.1651482, 11.5412983 48.1650039, 11.5413625 48.1650518, 11.5414462 48.1650019, 11.5416964 48.1651886, 11.5418265 48.165111, 11.5414879 48.1648583, 11.5418785 48.1646254, 11.54154 48.1643728, 11.541455 48.1644235, 11.5415038 48.1644599, 11.541431 48.1645033, 11.5415982 48.1646281, 11.5413588 48.1647708, 11.5414067 48.1648066, 11.5413648 48.1648316, 11.5413101 48.1647908, 11.5412096 48.1648508, 11.5410799 48.164754, 11.5409952 48.1648045, 11.5410579 48.1648513, 11.5409791 48.1648983, 11.5410474 48.1649493, 11.5407737 48.1651124, 11.5405477 48.1652472, 11.5404705 48.1651896, 11.5403552 48.1652584, 11.540288 48.1652082, 11.5401623 48.1652831, 11.5403636 48.1654333))",,,,,,,,public_building,,"[366230890, 366230891, 366230892, 366230894, 366230896, 366230898, 366230901, 366230903, 366230905, 366230908, 366230910, 366230912, 366230915, 366230847, 6048526792, 6048526790, 6048526789, 6048526788, 6048526791, 366230848, 6048526809, 6048526808, 6048526807, 6048526806, 6048526805, 6048526804, 6048526803, 6048526802, 366230850, 366230852, 6048526801, 6048526800, 366230854, 6048526799, 366230857, 6048526798, 366230860, 366230862, 366230864, 366230866, 366230868, 366230871, 366230873, 366230875, 366230876, 1166680514, 6048526797, 6048526796, 6048526795, 366230878, 366230879, 366230880, 366230881, 366230883, 366230884, 1014521828, 366230885, 366230886, 6048526794, 6048526793, 366230888, 366230890]",,,government,,,,,,Sanitätsamt der Bundeswehr und Wehrbereichsverwaltung Süd,,,,,,,,,,,,Gebäude 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32562254,"POLYGON ((11.5389176 48.1663457, 11.5388504 48.1663855, 11.5389404 48.1677383, 11.5392775 48.1679914, 11.5395338 48.1678395, 11.5395968 48.1678868, 11.5396953 48.1678285, 11.5396158 48.1677688, 11.5397995 48.16766, 11.5395602 48.1674804, 11.5398015 48.1673374, 11.5395608 48.1671567, 11.539805 48.167012, 11.5389176 48.1663457))",,,128,,Dachauer Straße,,,,,"[366233580, 1014521837, 3267078145, 366233583, 1014521763, 1014521771, 1014521776, 1014521783, 366233584, 366233585, 366233586, 366233588, 366233589, 366233580]",,,government,,,,,,,,,,,,,,,,,,Gebäude 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,36959861,"POLYGON ((11.5874292 48.1623555, 11.5871043 48.1623801, 11.5871713 48.1625171, 11.5873484 48.1624801, 11.5873384 48.1624499, 11.5874339 48.1624418, 11.5874292 48.1623555))",München,DE,8,80802,Münchner Freiheit,,,,,"[429756957, 429756959, 429756960, 429756961, 429756962, 2502808236, 429756957]",,,government,,,,,,,,,,,Q41211477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40617587,"POLYGON ((11.5429899 48.1665336, 11.5429128 48.1666425, 11.5429302 48.1666769, 11.5430367 48.166721, 11.5431168 48.1667065, 11.5431252 48.1667298, 11.543193 48.1667525, 11.5436719 48.1666742, 11.5437811 48.166603, 11.5439501 48.1664537, 11.5439288 48.166375, 11.5438719 48.1663517, 11.5438259 48.1662242, 11.5436912 48.1661693, 11.543462 48.1662046, 11.5433904 48.1662871, 11.5433284 48.166261, 11.5433122 48.1662852, 11.5432581 48.1663421, 11.5432228 48.1663793, 11.5432854 48.1664078, 11.5432179 48.1664954, 11.5429899 48.1665336))",,,,,,,,,,"[493316540, 493316545, 493316553, 1110597462, 493316559, 1401067053, 493316574, 493316577, 527829428, 493316580, 1401067040, 1110597453, 493316583, 493316587, 1401067035, 1401067037, 493316591, 3699237109, 3699237114, 1401067044, 493316594, 1401067046, 493316540]",,,government,,,,,,Behördenkantine,,,,,,,,,,,,Gebäude 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,43055791,"POLYGON ((11.6231127 48.1310601, 11.6230571 48.1310754, 11.6230518 48.131067, 11.6227724 48.1311441, 11.6227005 48.1310281, 11.6228496 48.1309869, 11.623217 48.1308855, 11.6232746 48.1308696, 11.6233517 48.1309941, 11.6231127 48.1310601))",,,,,,,,,,"[1361031314, 1361031313, 539383134, 539383136, 539383118, 1361031317, 8254727320, 539383121, 2867490208, 1361031314]",,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,43131331,"POLYGON ((11.5443985 48.1649195, 11.5446256 48.1650893, 11.5448488 48.1652562, 11.5449104 48.1653022, 11.5450533 48.1652171, 11.5445414 48.1648345, 11.5443985 48.1649195))",,,,,Hedwig-Dransfeld-Allee,,,,,"[540359615, 10743666899, 2495330065, 540359616, 540359617, 540359618, 540359615]",,,government,,,,,,Bundeswehr Dienstleistungszentrum,,,gabled,1913..1914,,,,,,,,Gebäude 17,Ehem. Militärgebäude des Eisenbahn-Bataillons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,44364655,"POLYGON ((11.5877258 48.1157606, 11.5880034 48.115731, 11.5879988 48.1157116, 11.5879955 48.1156995, 11.5879671 48.115594, 11.5872696 48.1155694, 11.587272 48.1155388, 11.5870352 48.1155305, 11.5870195 48.1157286, 11.5872573 48.115737, 11.587261 48.1156912, 11.587453 48.115698, 11.5874502 48.1157344, 11.5875002 48.1157362, 11.5875031 48.1157002, 11.5877103 48.1157075, 11.5877258 48.1157606))",,,,,,,,,,"[1455936093, 3420120792, 563843578, 6299448432, 563843599, 563843631, 563843645, 563843674, 563843229, 563843241, 563843253, 3420120790, 3420123293, 3420123294, 3420120791, 1455936081, 1455936093]",,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48230362,"POLYGON ((11.6145599 48.1518551, 11.6145138 48.1518358, 11.6144411 48.1519393, 11.6143815 48.1520344, 11.6144624 48.1521048, 11.6147151 48.1518981, 11.6145737 48.1518332, 11.6145599 48.1518551))",,,,,,,,,,"[612974894, 1486489492, 339768342, 612974895, 612974897, 612974898, 1486489489, 612974894]",,,government,3,,,,,Rumänienhaus,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,51406074,"POLYGON ((11.5819654 48.1238966, 11.5819696 48.1238969, 11.581982 48.1238937, 11.5819912 48.1238872, 11.5819953 48.1238787, 11.5819934 48.1238699, 11.581986 48.1238625, 11.5819745 48.1238579, 11.5819612 48.1238572, 11.5819488 48.1238603, 11.5819396 48.1238668, 11.5819355 48.1238753, 11.5819366 48.1238804, 11.5818882 48.123853, 11.58185 48.1239119, 11.5820536 48.1240332, 11.5820336 48.1240492, 11.5824267 48.1244881, 11.582439 48.1244832, 11.5825217 48.1245753, 11.5825279 48.1245822, 11.582682 48.1245206, 11.5827044 48.1245116, 11.5825939 48.1243887, 11.5825763 48.1243957, 11.5825601 48.1244022, 11.5824695 48.1243014, 11.5825363 48.1242746, 11.5826819 48.1242163, 11.5827507 48.1241888, 11.5826886 48.1241197, 11.5826279 48.124144, 11.5824979 48.124196, 11.5819654 48.1238966))",,,,,,Bing,,,,"[4024031805, 1374214533, 1374214520, 1374214516, 1374214517, 1374214535, 1374214508, 1374214521, 1374214505, 1374214531, 1374214518, 1374214506, 4024031804, 1159673925, 1159673940, 4411485273, 704610432, 656248240, 4411485287, 656248241, 948452127, 4076265330, 656248248, 656248250, 4076265328, 656248245, 656248246, 4076257453, 1159673927, 656248227, 656248228, 1159673909, 656248225, 4024031805]",,,government,,,,,,Bauteil A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,56145543,"POLYGON ((11.5818081 48.1239765, 11.581646 48.1239297, 11.5819218 48.1235041, 11.5819884 48.1235233, 11.5820212 48.1235328, 11.582084 48.1235509, 11.5818882 48.123853, 11.58185 48.1239119, 11.5818081 48.1239765))",,,,,,,,,,"[656248212, 656248211, 704610442, 4411485258, 4411485261, 704610453, 1159673925, 1159673940, 656248212]",,,government,,,,,,Bauteil E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,80379476,"POLYGON ((11.5613305 48.1616845, 11.5615045 48.1615329, 11.5616142 48.161582, 11.561669 48.161581, 11.5617865 48.1616332, 11.5617944 48.1616688, 11.5619103 48.1617221, 11.5617379 48.1618694, 11.5616408 48.1618214, 11.5616361 48.1617984, 11.561459 48.161721, 11.5614308 48.1617283, 11.5613305 48.1616845))",,,41,,Winzererstraße,,,,,"[938033060, 938032978, 938033052, 938032447, 938032774, 938032133, 938032508, 938033356, 938032168, 938033099, 938033177, 938032646, 938033060]",,,government,,,,,,Staatliches Bauamt Freising,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,80458865,"POLYGON ((11.5633869 48.1644751, 11.5630953 48.1644908, 11.5630852 48.1644071, 11.5630714 48.1642923, 11.5630944 48.16429, 11.5630836 48.1641821, 11.5633466 48.1641405, 11.5633713 48.1643457, 11.5633869 48.1644751))",,,,,,,,,,"[938810755, 938810853, 2786508541, 938810695, 4235388607, 4235388606, 938810766, 938810982, 938810755]",,,government,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,89268019,"POLYGON ((11.5285214 48.201178, 11.5285264 48.2011135, 11.5288106 48.2011232, 11.5288063 48.2011791, 11.5286122 48.2011724, 11.5286116 48.201181, 11.5285214 48.201178))",,,11,,Leonhard-Bugl-Straße,,,,Deutsche Lebens-Rettungs-Gesellschaft,"[1035825361, 1035825265, 1035825333, 1035825459, 1088669729, 1088669733, 1035825361]",,,government,,,,,,DLRG Wasserrettung,,,,,,,,,,,,,,,lifeguard,DLRG,Q871679,https://muenchen-mitte.dlrg.de/sicherheit/wasserrettungsdienst/,,,,,,,,,,,,,,,,,,,,,,,,,,
way,89455511,"POLYGON ((11.5439941 48.1680103, 11.5437688 48.1678439, 11.5437702 48.1678317, 11.5437742 48.1677974, 11.54386 48.1677402, 11.5441175 48.1679316, 11.5439941 48.1680103))",,,,,,,,,,"[1037458438, 1037458432, 1046424316, 1037458434, 1037458450, 1037458429, 1037458438]",,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,89457142,"POLYGON ((11.5438172 48.164343, 11.544176 48.1646109, 11.5439876 48.1647231, 11.5439029 48.1646598, 11.5439899 48.164608, 11.5439553 48.1645821, 11.5439128 48.1646074, 11.5438432 48.1645554, 11.5438851 48.1645305, 11.5438396 48.1644965, 11.5437736 48.1645358, 11.5437959 48.1645525, 11.5437491 48.1645804, 11.5436025 48.164471, 11.5438172 48.164343))",,,,,,,,public_building,,"[1037481357, 1037481387, 1037481294, 1037481282, 1037481341, 1037481265, 1037481257, 1037481365, 1037481361, 1037481390, 1037481278, 1037481276, 1037481309, 1037481334, 1037481357]",,,government,,,,,,Truppendienstgericht und Bundeswehr Dienstleistungszentrum,,,gabled,1914,,de:Truppendienstgericht Süd,,,,,,,Ehem. Militärgebäude des Eisenbahn-Bataillons,,,,,,building,File:Truppendienstgericht Süd.jpg,,,,,,,,,,,,,,,,,,,,,,,,
way,89457146,"POLYGON ((11.5435458 48.1641368, 11.5437226 48.1642716, 11.5435829 48.1643531, 11.5434958 48.1642867, 11.5434061 48.1642183, 11.5435458 48.1641368))",München,DE,11,80637,Hedwig-Dransfeld-Allee,,,emergency_service,Bundesanstalt Technisches Hilfswerk (THW),"[1037481336, 1037481389, 1037481301, 2727469316, 1037481352, 1037481336]",,,government,,,,,,THW Landesverband Bayern,,,hipped,late C19,,,,,grey,,,Gebäude 19,Ehem. Militärgebäude des Eisenbahn-Bataillons,,,,,,building,,poststelle.lvby@thw.de,+49 228 994531180,+49 228 9945310,https://www.lv-by.thw.de/,technical,LVBY,THW Landesverband Bayern,,,,,,,,,,,,,,,,,
way,94018128,"POLYGON ((11.521937 48.1602299, 11.5221176 48.1602348, 11.5221229 48.160146, 11.5221276 48.1600682, 11.5218582 48.1600603, 11.5217501 48.1600571, 11.5217479 48.1601267, 11.5219448 48.1601328, 11.521937 48.1602299))",,,,,,,,,,"[1092856908, 1092856860, 3663579246, 1092856814, 3663579247, 1092856764, 3663579245, 3663579248, 1092856908]",,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position und Umrisse geschätzt,,,,,,,,,,,,,,,,
way,99168316,"POLYGON ((11.5840999 48.1238881, 11.5841663 48.1239246, 11.5843593 48.1240226, 11.5844969 48.1239043, 11.5842376 48.1237698, 11.5840999 48.1238881))",,,1,81541,Am Neudeck,,,,,"[1147121878, 1159473403, 1147121884, 1147121869, 1147121893, 1147121878]",,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100305603,"POLYGON ((11.5838154 48.1241407, 11.5840772 48.1239078, 11.5840999 48.1238881, 11.5841663 48.1239246, 11.5841427 48.1239456, 11.5840976 48.1239881, 11.5841223 48.1240027, 11.5839881 48.1241231, 11.5839551 48.1241106, 11.5838729 48.1241639, 11.5838154 48.1241407))",,,,,,,,,,"[1159473310, 2501583298, 1147121878, 1159473403, 2501583300, 2501583301, 2501583303, 1159473390, 2501583309, 1159473400, 1159473310]",,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100312786,"POLYGON ((11.5835613 48.124039, 11.5839907 48.1237286, 11.584121 48.1236345, 11.5839448 48.1235183, 11.5839106 48.1235414, 11.5834091 48.1239129, 11.5835613 48.124039))",,,,,,,,,,"[704611307, 4411485269, 704611300, 704611294, 1159473331, 704611302, 704611307]",,,government,,,,,,Bauteil N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110779554,"POLYGON ((11.5075945 48.1503973, 11.5077927 48.150372, 11.5077817 48.150326, 11.5077658 48.1503176, 11.507757 48.1502939, 11.507738 48.1502851, 11.5077275 48.1502301, 11.507556 48.1502491, 11.5075945 48.1503973))",,,,,,,,,,"[1264138359, 1264137973, 2698622020, 2698622022, 2698622061, 2698622086, 1264136118, 1264138150, 1264138359]",,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,117275383,"POLYGON ((11.572867 48.1235779, 11.5727835 48.123645, 11.5730305 48.1237821, 11.5730712 48.1238047, 11.5731298 48.1237576, 11.5731939 48.1237931, 11.5732281 48.1237657, 11.5734091 48.1238661, 11.5737302 48.1236082, 11.5736017 48.123537, 11.5733351 48.1237511, 11.5731488 48.1236477, 11.5730851 48.1236989, 11.572867 48.1235779))",,,,,,,,,,"[1320871580, 1320870057, 9641403140, 1320872580, 1320869429, 1320870111, 1320870930, 1320867812, 1320868440, 1320869122, 1320871899, 1320871831, 1320870900, 1320871580]",,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,120910389,"POLYGON ((11.6071369 48.1388377, 11.607415 48.1388162, 11.6075263 48.1387494, 11.6075696 48.1386094, 11.6073743 48.1385709, 11.6073433 48.1386432, 11.607205 48.1386574, 11.6071292 48.1386996, 11.6071369 48.1388377))",,,16,,Prinzregentenplatz,,,,,"[1327087976, 1354528994, 1354528981, 1354528960, 1354528993, 1354528986, 1354528985, 1327087977, 1327087976]",,,government,4,,,,,,,,,,Q41185822,,,,,,,,,,,,,,,File:Prinzregentenplatz 16 Muenchen-1.jpg,,,,,,,,"In diesem Haus lebte von 1930-1945 Adolf Hitler, seine 9-Zimmer 320qm Wohnung im zweiten Obergeschoss ist nun Teil der Polizeiinspektion 22",,,,,,,,,,,,,,,,
way,122004629,"POLYGON ((11.5666304 48.1107863, 11.5667621 48.1108655, 11.5669483 48.1107276, 11.5670291 48.1107762, 11.5671438 48.1106912, 11.5670608 48.1106412, 11.567229 48.1105133, 11.5670965 48.1104318, 11.5666304 48.1107863))",München,,26,81543,Ludmillastraße,,,,,"[1364297646, 1364297650, 2375435956, 2375435957, 2375435955, 2375435954, 1364297640, 1364297638, 1364297646]",,,government,,,,,,Landratsamt München Außenstelle Ludmillastraße,,"Mo-We 08:00-12:00; Th 08:00-12:00,14:00-17:30; Fr 08:00-12:00",,,,,,,,,,,,,,,,https://www.landkreis-muenchen.de/landratsamt/standorte-und-oeffnungszeiten/ludmillastrasse/,,,,,,,,,,,administrative,government,+49 89 62 21 18 00,,,,,,,,,,,,,
way,122135003,"POLYGON ((11.5720984 48.1886915, 11.5720812 48.1885172, 11.5720782 48.1884439, 11.5721061 48.1884724, 11.5721424 48.1884923, 11.5721796 48.1885032, 11.572225 48.1885076, 11.5722326 48.1885207, 11.5722369 48.1885514, 11.5722558 48.1886852, 11.5720984 48.1886915))",,,,,,,,,,"[1365509546, 2714644587, 1365509524, 1999978681, 1999978698, 1365509527, 1365509526, 2714644589, 2713111498, 1365509545, 1365509546]",,,government,3,,,,,,,,flat,,,,lightgrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,122135030,"POLYGON ((11.5723651 48.1884534, 11.5723822 48.188424, 11.5723857 48.1883922, 11.5723758 48.1883624, 11.5723467 48.1883299, 11.572306 48.1883075, 11.572256 48.1882951, 11.5722048 48.1882939, 11.5721553 48.1883037, 11.5721167 48.1883212, 11.5720847 48.1883481, 11.5720675 48.1883794, 11.5720658 48.1884147, 11.5720782 48.1884439, 11.5721061 48.1884724, 11.5721424 48.1884923, 11.5721796 48.1885032, 11.572225 48.1885076, 11.5722785 48.1885016, 11.5723293 48.1884822, 11.5723651 48.1884534))",,,,,,,,public_building,,"[1365509523, 1999978670, 1999978719, 1365509507, 1999978683, 1365509502, 1999978724, 1365509501, 1999978687, 1365509504, 1999978668, 1365509508, 10296785403, 1365509524, 1999978681, 1999978698, 1365509527, 1365509526, 1999978697, 1999978684, 1365509523]",,,government,4,,,,,Sozialbürgerhaus,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
