element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,wheelchair,description,image,tourism,wheelchair:description,amenity,name,brand,brand:wikidata,brand:wikipedia,operator,level,source,layer,disused:shop,architect,heritage,heritage:operator,heritage:ref,start_date,building:architecture,note,addr:suburb,ref,indoor,check_date,contact:email,cuisine,opening_hours,opening_hours:covid19,phone,website,height,fixme,operator:type,historic,drive_through,location,nodes,building,building:levels,roof:colour,building:colour,roof:shape,email,fax,roof:levels,shop,contact:phone,toilets,toilets:wheelchair,check_date:opening_hours,internet_access,payment:cash,payment:mastercard,payment:visa,changing_table,wikidata,contact:fax,architect:wikidata,brewery,diet:vegan,diet:vegetarian,indoor_seating,name:bar,name:de,name:en,name:ja,name:ru,name:zh,outdoor_seating,smoking,takeaway,wikimedia_commons,wikipedia,payment:credit_cards,payment:debit_cards,diet:halal,diet:kosher,roof:height,internet_access:fee,self_checkout,loc_name,access:covid19,delivery:covid19,contact:website,short_name,ref:shop:num,compressed_air,est_height,roof:material,old_name,building:material,nohousenumber,noaddress,roof:angle,addr:housename,type,drive_through:covid19,origin,biergarten,source:building:height,source:shape,service,opening_hours:url,url,payment:contactless,not:brand:wikidata,opening_hours:bakery,organic,payment:american_express,payment:coins,payment:sodexo_pass,building:use,roof:orientation,franchise:wikidata,contact:facebook,alt_name,construction,note:building_type,trade,branch,drink:coffee,drink:coffee:portafilter,drink:coffee:togo,payment:girocard,source_ref,payment:diners_club,payment:discover_card,payment:maestro,payment:v_pay,TMC:cid_58:tabcd_1:Class,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:LocationCode,gambling,building:facade:color,ref:BLfD,source:addr,reservation,website:menu,payment:alipay,payment:jcb,payment:sepa,payment:wechat,craft,club,community_centre,dog,payment:visa_debit,payment:visa_electron,beer_garden,delivery,opening_hours:kitchen,roof,roof:direction,survey:date,source:building:levels,golf,opening_hours:signed,source:outline,disused:tourism,highway,levelpart,brand:website,playground,name:signed,ways,castle_type
way,19748803,"POLYGON ((11.5525579 48.1813822, 11.5528328 48.1813842, 11.5528381 48.1810565, 11.5525632 48.1810546, 11.5525625 48.1810974, 11.5525579 48.1813822))",,,15,,Helene-Mayer-Ring,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,"[205380497, 205380498, 205380499, 205380500, 647808556, 205380497]",retail,1,grey,,flat,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,19748862,"POLYGON ((11.5528555 48.1816604, 11.5528555 48.1816856, 11.5528554 48.1817838, 11.5525565 48.1817836, 11.5525566 48.1816602, 11.5528555 48.1816604))",,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,"[205380755, 185706580, 205381839, 205381840, 205380754, 205380755]",retail,1,grey,,flat,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,19749752,"POLYGON ((11.5532745 48.1807998, 11.553685 48.1807962, 11.5536822 48.1806871, 11.5532715 48.1806882, 11.5532745 48.1807998))",,,6,,Helene-Mayer-Ring,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,"[205398632, 205401360, 82716737, 205398672, 205398632]",retail,3,grey,white,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,19749889,"POLYGON ((11.5534182 48.1805521, 11.5534179 48.1806522, 11.5532284 48.180653, 11.5530795 48.1806536, 11.5528301 48.1806547, 11.5528304 48.1805568, 11.5534182 48.1805521))",,,7a,,Helene-Mayer-Ring,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,"[9400902664, 205403371, 9400902660, 9400902661, 185710051, 641863561, 9400902664]",retail,1,,,flat,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,20884427,"POLYGON ((11.6186929 48.2020617, 11.6177487 48.2022719, 11.6183992 48.203561, 11.6185242 48.2038086, 11.6186641 48.2037782, 11.6194638 48.2036041, 11.6195323 48.2036061, 11.6196317 48.2035869, 11.6193828 48.2030932, 11.6192697 48.2031211, 11.6190023 48.2025783, 11.6189649 48.2025971, 11.6186929 48.2020617))",München,DE,4,80939,Muthmannstraße,yes,,,,,,HORNBACH,HORNBACH,Q685926,en:Hornbach (retailer),,,,,,,,,,,,,,,,,,,Mo-Sa 07:00-20:00,,,,,,,,,,"[224393284, 224393291, 2478975035, 224393297, 1578742245, 1059847357, 1578742248, 224393305, 1998621126, 1998621137, 1998621211, 1998621145, 224393284]",retail,,,,,,,,doityourself,,,,2022-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23146910,"POLYGON ((11.6872166 48.1187566, 11.6870367 48.1183902, 11.687287 48.1183354, 11.6873001 48.1183619, 11.6876736 48.1182802, 11.6876873 48.1183081, 11.6880537 48.118228, 11.6880804 48.1182825, 11.6880886 48.1182807, 11.6881498 48.1184059, 11.6881893 48.1183964, 11.6882457 48.118416, 11.68826 48.1184435, 11.688273 48.1184701, 11.6882137 48.1185373, 11.6878234 48.1186237, 11.6872166 48.1187566))",München,DE,133,81827,Wasserburger Landstraße,yes,,,,,,Hagebaumarkt,Hagebaumarkt,Q1568279,de:Hagebau,Baustoff Union GmbH & Co. KG,,,,,,,,,,,,,,,,info@hagebaumarkt-muenchen.de,,Mo-Fr 08:30-20:00; Sa 08:30-18:00,,,https://www.hagebaumarkt-muenchen.de/maerkte-events/muenchen-ost-wasserburger-landstrasse/mn_27237,,,,,,,"[250047175, 250047180, 250047181, 2204472204, 3990131083, 3990131086, 250047182, 3990131085, 3990131084, 3990131088, 3990131087, 3990131089, 3990131090, 250047184, 3990131091, 2477021558, 250047175]",retail,,,,,,,,doityourself,+49 89 45310193,,,2022-04-02,,,,,,,+49 89 45310119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23162846,"POLYGON ((11.654739 48.124956, 11.6549113 48.1252022, 11.6551738 48.1251204, 11.6551427 48.1250759, 11.6552761 48.1250343, 11.6553052 48.1250758, 11.6555314 48.1250053, 11.6555034 48.1249652, 11.6556159 48.1249302, 11.655647 48.1249746, 11.6559077 48.1248934, 11.6557359 48.1246479, 11.6554859 48.1247258, 11.6555131 48.1247646, 11.655389 48.1248033, 11.6553639 48.1247674, 11.6551151 48.1248449, 11.6551417 48.124883, 11.6550279 48.1249185, 11.6549977 48.1248753, 11.654739 48.124956))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[250347884, 250347885, 250347886, 250347887, 250347888, 250347889, 250347890, 250347891, 250347892, 250347893, 250347895, 250347897, 250347898, 250347899, 250347900, 250347901, 250347902, 250347903, 250347904, 250347905, 250347884]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23624881,"POLYGON ((11.6545438 48.1269693, 11.6548347 48.1268762, 11.6548612 48.1269131, 11.6549281 48.1268917, 11.6549746 48.1269564, 11.6549195 48.126974, 11.6551267 48.1272621, 11.6547665 48.1273776, 11.6547545 48.1273609, 11.6545835 48.1271225, 11.6545724 48.1271261, 11.6545015 48.1270274, 11.6545698 48.1270055, 11.6545438 48.1269693))",München,DE,190,81825,Truderinger Straße,yes,,,,,,Lidl,Lidl,Q151954,en:Lidl,,,,,,,,,,,,,,,,,,,Mo-Sa 07:00-20:00,,,,,,,,,,"[255910336, 255910337, 3405006223, 3405006226, 3405006225, 3405006224, 255910338, 255910339, 1752657839, 3405006230, 3405006229, 3405006228, 3405006227, 255910336]",retail,1,,,gabled,,,1,supermarket,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23632546,"POLYGON ((11.5801323 48.1378388, 11.5801683 48.13787, 11.5801962 48.137893, 11.5804147 48.1378043, 11.5803707 48.1377613, 11.5803591 48.1377523, 11.5801709 48.1375931, 11.5804379 48.1374569, 11.5805337 48.1375488, 11.5805981 48.1375189, 11.5806172 48.1375434, 11.5806516 48.1375375, 11.580627 48.1374724, 11.5805886 48.1374783, 11.5804975 48.137402, 11.5805379 48.1373803, 11.5805187 48.1373626, 11.580418 48.1372699, 11.5803761 48.1372314, 11.5796654 48.1376159, 11.5797867 48.1377241, 11.5798748 48.1377873, 11.5799045 48.1377694, 11.5800518 48.1378909, 11.5801323 48.1378388))",München,DE,9,80331,Platzl,yes,"malerischer Gruppenbau in deutscher Renaissance, 1896–1897 von Max Littmann mit Erich Goebel, unter Einbeziehung älterer Bauteile (Südflügel); im Hof Biergarten, Brunnen mit Löwenfigur.",,attraction,je ein Behinderten WC im EG und 2. OG,restaurant,Hofbräuhaus,,,,,,,,,"Max Littmann, Erich Goebel",4,BLfD,D-1-62-000-5400,1897,german_renaissance_revival,,,,,,,bavarian,Mo-Su 09:00-24:00,,+49 89 290136-100,https://www.hofbraeuhaus.de/,,,,,,,"[931716246, 1307718272, 931715866, 931716120, 931715917, 1307718274, 256017134, 1307713704, 1307713670, 1307713680, 1307713717, 1307713712, 1307713708, 1307713685, 1307713671, 256017133, 1307713713, 2421829580, 256017131, 256017130, 1307719246, 3652571530, 3652571529, 256017137, 931716246]",retail,4,,,gabled,hbteam@hofbraeuhaus.de,+49 89 290136-129,,,,,yes,,no,,,,,Q152971,,Q67407,Hofbräu München,no,yes,yes,Hofbräuhaus,Hofbräuhaus,Hofbräuhaus am Platzl,ホフブロイハウス,Хофбройхаус,皇家啤酒屋,no,outside,no,"File:Hofbrauhaus - Munich, Germany - panoramio.jpg",de:Hofbräuhaus am Platzl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23960620,"POLYGON ((11.5977183 48.120421, 11.597932 48.1200829, 11.5985494 48.1202568, 11.5991141 48.1204158, 11.5990142 48.1205739, 11.5991531 48.120613, 11.5989595 48.1209193, 11.5981928 48.1207033, 11.5982725 48.1205771, 11.5981571 48.1205446, 11.5977183 48.120421))",München,DE,52,81541,Balanstraße,yes,,,,,,V-Baumarkt,,,,,,,,,,,,,2014-04-03,,,,,,,,,Mo-Sa 08:00-20:00,,,,,,,,,,"[259756739, 259756741, 2671692101, 259756743, 1172125350, 1172125344, 259756745, 259756746, 259756747, 2671692110, 259756739]",retail,1,,,flat,,,,doityourself,+49 89 678 05 53,,yes,2023-04-23,wlan,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24003662,"POLYGON ((11.6033805 48.1059506, 11.6034713 48.1056811, 11.6035499 48.1056929, 11.6038155 48.1057328, 11.603798 48.1057845, 11.6042899 48.1058584, 11.6042166 48.1060762, 11.6033805 48.1059506))",München,DE,188,81549,Balanstraße,yes,,,,,,Lidl,Lidl,Q151954,en:Lidl,,,,,,,,,,,,,,,,2023-01-20,,,Mo-Sa 07:00-20:00,same,,https://www.lidl.de/,,,,,,,"[260275899, 260275900, 2867053349, 931773218, 931773219, 260275902, 260275904, 260275899]",retail,1,,,gabled,,,1,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24003725,"POLYGON ((11.604158 48.1051228, 11.6042378 48.1049703, 11.604476 48.1050258, 11.6045504 48.1048837, 11.6047134 48.1049217, 11.6045592 48.1052164, 11.6044366 48.1051878, 11.604158 48.1051228))",München,DE,202,81549,Balanstraße,yes,,,,,,Orterer Getränkemarkt,Orterer Getränkemarkt,Q23787118,de:Orterer Gruppe,Orterer Getränkemärkte GmbH,,,,,,,,,,,,,9042,,2023-01-20,,,Mo-Sa 08:00-20:00,,+49 89 62899160,https://www.orterer.de/,,,,,,,"[260276603, 260276604, 260276605, 260276606, 260276607, 260276608, 2867053355, 260276603]",retail,1,,,flat,,+49 89 62 89 91 60,,beverages,,,,2022-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24779775,"POLYGON ((11.5676426 48.1846495, 11.5682127 48.1846639, 11.5681957 48.1849155, 11.5677557 48.184909, 11.5677037 48.1849086, 11.5676346 48.1849081, 11.5676426 48.1846495))",,,9,,Milbertshofener Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[269253885, 269253886, 269253888, 2315259442, 1015311340, 269253889, 269253885]",retail,1,darkgrey,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
