element_type,osmid,amenity,capacity,fee,network,opening_hours,operator,payment:coins,payment:debit_cards,ref,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amperage,socket:type2,source,source:delivery_date,voltage,authentication:membership_card,description,manufacturer,motorcar,name,socket:schuko,operator:short,operator:wikidata,operator:wikipedia,website,fixme,authentication:nfc,authentication:none,access,capacity:car,socket:type2_combo,scooter,layer,level,note,covered,bicycle,service:bicycle:charging,service:bicycle:pump,socket:schuko:current,socket:type2:output,contact:phone,contact:website,socket:chademo,socket:chademo:output,socket:type2_combo:output,capacity:charging,description:en,truck,wheelchair,cars,trucks,authentication:app,parking:fee,check_date,status,maxstay,power,traffic_sign,brand,authentication:phone_call,authentication:short_message,surveillance:type,charging_station:output,name:de,name:en,object:city,object:country,object:housenumber,object:postcode,object:street,socket:type2:current,socket:type2:voltage,brand:wikidata,brand:wikipedia,short_name,maxstay:conditional,authentication:membership_card:types,payment:membership_card,ref:EU:EVSE,socket:type:output,cargo,payment:account_cards,payment:credit_cards,payment:electronic_purses,payment:notes,phone,vending,contact:email,note:en,motor_vehicle,charge,image,amenity:wikipedia,socket:tesla_supercharger_ccs,socket:tesla_supercharger_ccs:output,payment:maestro,ref:ocm
node,5927464105,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME017301,POINT (11.6488556 48.1258683),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5927464106,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME017201,POINT (11.64883 48.1257682),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5944816274,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME011601,POINT (11.5986963 48.0918887),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5944816275,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME011501,POINT (11.5987802 48.0918144),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5998868022,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME021101,POINT (11.6775994 48.1421267),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5998868023,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME021001,POINT (11.6777108 48.1420709),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6005498085,charging_station,4,,,,SWM Stadtwerke München,,,,POINT (11.5418082 48.1340857),,,,,,32,4,,,400,yes,,,yes,Ligsalzstraße 44,,,,,,,,,,,,,,,,,no,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32A,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6023382544,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME020801,POINT (11.6743886 48.119058),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6023382545,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME020901,POINT (11.6742859 48.1191208),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6050011231,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME004601,POINT (11.56686 48.1607902),,,,,,32,,,,400,SWM Tankkarte,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6074672867,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME013401,POINT (11.5653699 48.1685657),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6074672872,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME010201,POINT (11.5624906 48.1723331),,,,,,,,,,,,,,,Stadtwerke München,,SWM,Q882871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6096954798,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME018401,POINT (11.5751954 48.155507),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6105143015,charging_station,2,,ladenetz.de,,Stadtwerke München,,,DESWME029801;DESWME029802,POINT (11.5313036 48.1465984),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6105143016,charging_station,2,,ladenetz.de,,Stadtwerke München,,,DESWME029901;DESWME029902,POINT (11.5313241 48.1466941),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6105144294,charging_station,2,,ladenetz.de,,Stadtwerke München,,,,POINT (11.5478468 48.1426886),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6105144295,charging_station,2,,ladenetz.de,,Stadtwerke München,,,,POINT (11.5476696 48.1427057),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6106232007,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5545816 48.1436916),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6106232008,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5545404 48.1435922),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6106831281,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5563764 48.1429801),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6106831282,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5564053 48.1430371),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6106831283,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5563488 48.142924),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6113585891,charging_station,3,,,,Stadtwerke München,,,,POINT (11.5306149 48.1776679),München,,60,80992,Gärtnerstraße,,2,,,,yes,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6120612471,charging_station,4,,ladenetz.de,,Stadtwerke München,,,,POINT (11.5406533 48.1380519),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6139650015,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME002601,POINT (11.5467085 48.1593756),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6152282384,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,,DESWM038601;DESWM038602,POINT (11.5706807 48.0926469),,,,,,,,,,,rfid,ladenetz.de RFID card or 'MVG more' App,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6154360838,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME019301;DESWME019302,POINT (11.5440006 48.1218914),,,,,,,2,,,,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6167168441,charging_station,2,,,,Lidl,,,,POINT (11.4895058 48.1446541),,,,,,,,,,,,---,,,,,,Q151954,en:Lidl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6177260076,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME028401;DESWME028402,POINT (11.5344484 48.1691313),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6177260077,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME028301;DESWME028302,POINT (11.5345572 48.1691936),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6177260886,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME028401;DESWME028402,POINT (11.5310424 48.1712911),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6177260887,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME028301;DESWME028302,POINT (11.5311441 48.1712271),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6186235886,charging_station,4,,,,Stadtwerke München,,,,POINT (11.5085644 48.1808442),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6255598741,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME016901;DESWME016902,POINT (11.5709593 48.1337421),,,,,,32,2,,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6291787879,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5651568 48.1478103),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6351069704,charging_station,3,,,,bike-energy,,,,POINT (11.5777298 48.1531353),München,DE,89,80799,Türkenstraße,,,,,,,LINE L3B für 3 E-Bikes. Das passende Ladekabel für Ihr E-Bike kann vor Ort ausgeliehen oder direkt auf www.bike-energy.com bestellt werden.,,,bike-energy,,,Q67770877,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,bike-energy,,,,,,,,,,,,,,Q67770877,,,,,,,,,,,,,,,,,,,,,,,,
node,6363510858,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME015201;DESWME015202,POINT (11.5389837 48.1264727),,,,,,32,2,,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6363510859,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME015301;DESWME015302,POINT (11.5389903 48.1264242),,,,,,32,2,,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6363510864,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME005201;DESWME005202,POINT (11.53452 48.1213301),,,,,,32,2,,,400,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6363510869,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME035601;DESWME035602,POINT (11.5279923 48.1184001),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6363510870,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME035501;DESWME035502,POINT (11.5281046 48.118345),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6365989232,charging_station,1,yes,,,Stadtwerke München,,,,POINT (11.4143155 48.1555935),,,,,,,,,,,,,,,Colmdorfstraße 34,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6368952461,charging_station,2,yes,ladenetz.de,,Stadtwerke München,,,,POINT (11.5557651 48.1244313),,,,,,,,,,,,,,yes,,,SWM,Q882871,de:Stadtwerke München,https://www.swm.de/elektromobilitaet/oeffentliches-laden,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE:365-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6379029248,charging_station,2,,,24/7,Stadtwerke München,,,DESWME024801;DESWME024802,POINT (11.5439531 48.1279982),,,,,,,,,,,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4h @ 08:00-20:00,,,,,,,,,,,,,,,,,,,,,
node,6379029249,charging_station,2,,,24/7,Stadtwerke München,,,DESWME024701;DESWME024702,POINT (11.5440677 48.1279523),,,,,,,,,,,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4h @ 08:00-20:00,,,,,,,,,,,,,,,,,,,,,
node,6379571825,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5804355 48.1608645),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6386823736,charging_station,2,yes,,24/7,Stadtwerke München,,,DESWME034301;DESWME034302,POINT (11.5273304 48.1517149),,,,,,,2,,,,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6386823737,charging_station,2,yes,,24/7,Stadtwerke München,,,DESWME034201;DESWME034202,POINT (11.5267765 48.1516612),,,,,,,2,,,,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6387618536,charging_station,2,yes,ladenetz.de,,Stadtwerke München,,ladenetz.de,DESWME003302;DESWME003301,POINT (11.5556129 48.1551497),,,,,,,2,survey,,,yes,,,,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6387618549,charging_station,2,yes,,24/7,Stadtwerke München,,,,POINT (11.5492909 48.1516031),,,,,,,2,,,,,,,yes,,,SWM,Q882871,de:Stadtwerke München,,ref-Tag,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6391281952,charging_station,2,yes,be.energised,,Bayernwerk,,,,POINT (11.6049075 48.1253065),,,,,,,1,,,,,,,,Werksviertel,,,Q1273383,de:Bayernwerk,,,,,,,1,,,,,,,,,,43kW,,,1,50kW,50kW,,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,"NewMotion, EinfachStromLaden",yes,,,,,,,,,,,,,,,,,,,
node,6391281953,charging_station,2,yes,be.energised,,Bayernwerk,,,,POINT (11.604888 48.1253303),,,,,,,2,,,,,,,,Werksviertel,,,Q1273383,de:Bayernwerk,,,,,,,,,,,,,,,,,22kW,,,,,,,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,"NewMotion, EinfachStromLaden",yes,,,,,,,,,,,,,,,,,,,
node,6391281954,charging_station,2,yes,be.energised,,Bayernwerk,,,,POINT (11.6048627 48.1253551),,,,,,,2,,,,,,,,Werksviertel,,,Q1273383,de:Bayernwerk,,,,,,,,,,,,,,,,,22kW,,,,,,,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,"NewMotion, EinfachStromLaden",yes,,,,,,,,,,,,,,,,,,,
node,6391831147,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME025401;DESWME025402,POINT (11.5575442 48.1505307),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6391831148,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME025301;DESWME025302,POINT (11.5574881 48.1504574),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6407379015,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME031101;DESWME031102,POINT (11.6410773 48.1092362),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6407379016,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME031001;DESWME031002,POINT (11.6412165 48.1092373),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6424054330,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME034901;DESWME034902,POINT (11.6172585 48.1310656),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6424054331,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME035001;DESWME035002,POINT (11.6172184 48.1309766),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6430629134,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5414735 48.1169567),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6430629135,charging_station,2,,,,Stadtwerke München,,,,POINT (11.5414789 48.11692),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6433211401,charging_station,2,yes,ladenetz.de,24/7,SWM Stadtwerke München,,,DESWME034701;DESWME034702,POINT (11.5583025 48.1289291),,,,,,32,2,,,400,yes,,,yes,,,,,,,,,,,,,,,,,,no,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32A,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6433211404,charging_station,2,yes,ladenetz.de,24/7,SWM Stadtwerke München,,,DESWME034601;DESWME034602,POINT (11.5582815 48.1291912),,,,,,32,2,,,400,yes,,,yes,,,,,,,,,,,,,,,,,,no,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32A,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6434027486,charging_station,2,yes,,,Allego,,,,POINT (11.4297637 48.1434339),,,,,,,1,,,,,,,,,,,Q75560554,,,,yes,,,,1,,,,,,,,,,43 kW,,,1,50 kW,50 kW,,,,,,,yes,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6450759295,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME038201;DESWME038202,POINT (11.6609171 48.0851609),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6450759296,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME038101;DESWME038102,POINT (11.6607823 48.0851842),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6450759299,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME037801;DESWME037802,POINT (11.6577335 48.0983579),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6453106326,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME037601;DESWME037602,POINT (11.6768729 48.1126181),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6453106327,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME037701;DESWME037702,POINT (11.6769645 48.1125481),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6459624720,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME030401;DESWME030402,POINT (11.5095507 48.1311663),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6459624721,charging_station,2,yes,ladenetz.de,24/7,Stadtwerke München,,ladenetz.de,DESWME030501;DESWME030502,POINT (11.509412 48.1311583),,,,,,,,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6472406331,charging_station,2,,ladenetz.de,,Stadtwerke München,,,DESWME029501;DESWME029502,POINT (11.5295948 48.1457427),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6472406332,charging_station,2,,ladenetz.de,,Stadtwerke München,,,DESWME029401;DESWME029402,POINT (11.5292568 48.1456013),,,,,,,2,,,,,,,,,,SWM,Q882871,de:Stadtwerke München,,,,,,,,,,,,,,,,,22kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6478687709,charging_station,2,yes,Roaming-Netz,24/7,Stadtwerke München GmbH,,,,POINT (11.4616001 48.1456492),,,,,,,2,,,,yes,,,yes,,,,,,https://www.swm.de/elektromobilitaet/oeffentliches-laden,,yes,,,,,no,,,,,no,,,,22kW,,,,,,,,no,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
