element_type,osmid,addr:housenumber,addr:postcode,addr:street,alt_name,amenity,denomination,name,opening_hours,religion,wheelchair,geometry,addr:city,addr:country,image,operator,phone,toilets:wheelchair,website,wheelchair:description,club,contact:email,contact:fax,contact:phone,contact:website,description,source,email,community_centre,community_centre:for,operator:type,barrier,description:de,internet_access,lgbtq,air_conditioning,check_date,gay,gay:men,gay:transgender,gay:women,level,max_age,min_age,owner,short_name,toilets,toilets:access,toilets:unisex,check_date:opening_hours,name:it,note,access,sport,addr:room,cuisine,outdoor_seating,smoking,changing_table,changing_table:fee,children,disused:contact:website,opening_hours:signed,provides,wikidata,wikipedia,name:de,name:en,name:es,fixme,office,lgbtq:women,capacity,url,name:ru,mobile,tourism,contact:mobile,old_name,check_date:currency:XBT,contact:twitter,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,nodes,building,official_name,building:levels,roof:shape,height,roof:colour,fax,operator:wikidata,start_date,historic,building:colour,building:architecture,heritage,heritage:operator,heritage:ref,roof:orientation,contact:email_1,name_1,emergency,community_center:for,operator:short,addr:housename,wikimedia_commons,roof:levels,roof:height,opening_hours:office,brewery,layer,landuse,place,building:levels:underground,dogs,est_height,opening_date,ways,type
node,3430065107,39,80333,Theresienstraße,Cafe Gumbel,community_centre,,Café Gumbel,Mo-Fr 06:30-22:00; Sa-Su 08:00-18:00,,yes,POINT (11.5731407 48.1477608),München,,,Gruppe Aktiver Fachschaftika (GAF),,,,,,gumbel@fs.lmu.de,+49 89 2180 99 4382,+49 89 2180 4382,https://gaf.fs.lmu.de/studentenleben/gumbel-studierendencafe,studentischer Aufenthaltsraum mit Kaffeeautomaten,,,,student,university,,,wlan,,,,,,,,,,,,,,,,,,,,,B 029,coffee_shop,no,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3508583893,35,81379,Emil-Geis-Straße,,community_centre,,ASZ Thalkirchen,"Tu-Fr 09:00-12:30, Mo-Th 14:00-16:00",,,POINT (11.544504 48.101082),München,,,Bayerisches Rotes Kreuz,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,2022-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3632882353,5,81667,Rosenheimer Straße,,community_centre,,"PiXEL - Raum für Medien, Kultur und Partizipation","""Bei Veranstaltungen""",,yes,POINT (11.5916855 48.130958),München,,,Interaktiv - Münchner Netzwerk Medienkompetenz,,no,,,,pixel@jff.de,,+49 89 126653-0,https://www.pixel-muc.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3686819298,102,80337,Thalkirchner Straße,,community_centre,,Kafe Marat,"""Auf der Website kafemarat.net stehen Termine""",,no,POINT (11.5603815 48.1239256),München,DE,,,,limited,https://kafemarat.net/,,,,,,,,,kontakt@kafemarat.net,cultural_centre,,,,,wlan,,,,,,,,,,,,,yes,permissive,,,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3927417786,,,,,community_centre,,Stadtteilladen Giesing,"Mo,Fr-Su off; Tu 09:00-14:00; We 13:00-18:00; Th 10:00-15:00",,yes,POINT (11.5776532 48.1132304),,,,,+49 89 46134999,no,https://www.stadtteilladen-giesing.de/,,,,,,,,,,,,,,,,,,2023-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3929291578,37,80636,Albrechtstraße,,community_centre,,Spiellandschaft Stadt - Kinderinformationsladen,"Tu-Th 13:00-17:00; Mo,Fr-Su,PH off",,,POINT (11.5415177 48.1536129),München,DE,,Spiellandschaft Stadt e.V.,,,,,cultural,,+49 89 12799668,+49 89 183335,http://www.kids.muc.kobis.de/,,,,youth_centre,child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,designated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3929291580,1,,Adolf-Kolping-Straße,,community_centre,roman_catholic,Kolpinghaus München-Zentral GmbH,,christian,no,POINT (11.5642453 48.1379649),München,DE,,,,,,,,,+49 895 51 58160,+49 8955158116,https://www.kolpinghaus-muenchen-zentral.de/de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3929291584,2,,Hebenstreitstraße,,community_centre,,Familienbaum München,,,no,POINT (11.5763477 48.118268),München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-06,,,,,,,,,,,,http://www.familienbaum-muenchen.de,no,culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3929291601,46,81673,Isareckstraße,,community_centre,,Nachbarschaftstreff am Isareck,Mo 13:00-15:00; Fr 10:00-11:00,,,POINT (11.6197883 48.1280258),München,DE,,,,,,,,,,,,Veranstaltet Repaircafes; Öffnungszeiten für die Sprechstunde (Stand 09.09.2020),survey by BenE München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,objects_of_utility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3929292563,12,81737,Adenauerring,,community_centre,,Zusammen aktiv in Neuperlach,,,,POINT (11.6386098 48.1034781),München,DE,,Verein für Gemeinwesenarbeit ZAK-Stadtteilbüro,,,,,yes,info@zak-neuperlach.de,,+49 896709840,https://www.zak-neuperlach.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3983672473,55a,,Gabelsbergerstraße,,community_centre,,Alten- und Service-Zentrum Maxvorstadt,Mo-Th 09:00-16:00; Fr 09:00-12:00,,,POINT (11.5655459 48.1481879),,,,BRK Kreisverband München,,,https://www.brk-muenchen.de/angebote/alltagshilfen/alten-und-service-zentren/asz-maxvorstadt/,,,,,+49 89 41118440,,,,,,senior,,,,,,,,,,,,,,,,ASZ Maxvorstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4061803271,,,,,community_centre,,Bürgersaal Westkreuz,,,,POINT (11.4428687 48.1486191),,,,Herbert Hochmuth,,,,,,buergersaal.westkreuz@freenet.de,,+49 89 8341315,http://wp.ivwbuergersaal.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4062491408,,,,,community_centre,,Stadtteilladen Westkreuz,"Tu 09:30-18:00; We 09:30-18:00; Th,Fr 09:30-14:00; PH off",,,POINT (11.4423701 48.1480992),,,,Münchner Gesellschaft für Stadterneuerung mbH,,,,,,info@neuaubing-westkreuz.de,,+49 89 18929240,https://aktive-zentren-neuaubing-westkreuz.de/startseite.html,"Webseite auch: http://www.neuaubing-westkreuz.de/; Programm: Dienstag: Energieberatung, Mittwoch & Donnerstag: Stadtteilmanagement; Betreiber: http://www.mgs-muenchen.de/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4068406276,,,,,community_centre,,Wohnhochhaus Ramses e.V.,,,,POINT (11.4359516 48.1499513),,,,,,,,,,,+49 89 89665623,+49 89 8343216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4157188559,3,80469,Angertorstraße,,community_centre,,WikiMUC,We 17:00-21:30+,,limited,POINT (11.570329 48.1314139),München,,,,+49 89 18928095,no,https://de.wikipedia.org/wiki/Wikipedia:WikiMUC,Mobile Rampe ist vorhanden.,,,,,,,,wikimuc@wikipedia.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q24505237,de:Wikipedia:WikiMUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4160108967,100,81475,Graubündener Straße,,community_centre,,Intermezzo,,,yes,POINT (11.4818572 48.094324),München,,,Kreisjugendring München-Stadt,,,https://www.das-intermezzo.de/,,,,,,,,,,youth_centre,child;juvenile,public,,,,,,,,,,,,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4198936351,15,,Lissi-Kaeser-Straße,,community_centre,,Life - Jugendzentrum,,,,POINT (11.5541768 48.1627836),,,,,,,https://www.cvjm-muenchen.org/life,,,,,,,,,,youth_centre,child;juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4210767314,20,81737,Oskar-Maria-Graf-Ring,,community_centre,,Raum 20 - Frauentreffpunkt Neuperlach,,,yes,POINT (11.65932 48.098086),München,DE,,,,,,,,,,,,,,,meeting_room,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4296986393,20,81673,Kreillerstraße,,community_centre,,P. E. G.,,,yes,POINT (11.6335957 48.1272768),,,,,+498962300230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4329908472,,,,,community_centre,salvation_army,Heilsarmee Gemeinde (Korps) München,,christian,,POINT (11.5366523 48.1038363),,,,Heilsarmee,,,,,,muenchenkorps@heilsarmee.de,+4989263526,+4989267149,https://www.heilsarmee.de/muenchen/ueber-uns.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4370151072,10,81475,Königswieser Straße,,community_centre,,Steyler Missionare,24/7,,,POINT (11.4850805 48.0833238),,,,,+4989856345110,,https://www.steyler.de/de/,,,,,,,,,muenchen@steyler.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steyler Missionare,Divine Word Missinaries,Misioneros del Verbo Divino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4411759792,17,80802,Ungererstraße,,community_centre,,"Gemeindehaus, Kindergarten Erlöserkirche",Mo-Fr 08:00-17:00,,yes,POINT (11.5883772 48.165016),München,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-17,,,,,,,,,,,,,,,,,,,,"original a Maps.me entry, please fix if you know better tags",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4720540886,76,80997,Untermenzinger Straße,,community_centre,,Nachbarschaftstreff Untermenzinger Straße,,,,POINT (11.4951622 48.1792983),München,,,,+49 89 44239803,,,,,,,,,,,,meeting_room,neighbourhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4720626740,30a,80992,Karlingerstraße,,community_centre,,Nachbarschaftstreff Karlingerstraße,,,,POINT (11.5116166 48.1785199),München,DE,,,+49 89 45207468,,,,,,,,,,,,meeting_room,neighbourhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4922862599,26,,Müllerstraße,,community_centre,,LeZ,,,,POINT (11.5716757 48.131591),,,,LeTra e.V,,,,,,,,,,,,,,lgbtq,,,,,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4924116121,86c,81373,Ganghoferstraße,,community_centre,,Tagespflege am Westpark,,,,POINT (11.5384727 48.1273427),München,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4960516140,,,,,community_centre,,Die Alte Scheune,,,,POINT (11.5402522 48.1216868),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5042778482,11,81371,Danklstraße,,community_centre,,DanklSalon - Sendlinger Freiraum,,,no,POINT (11.5468024 48.119697),München,,,,,,https://danklsalon.wogeno.de,,,,,,,Quartiersladen Nachbarschaftsladen Buchbar für alle Sendlinger,,danklsalon@wogeno.de,meeting_room,,,,,,,,,,,,,,,,,,,,,2022-08-31,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5092336525,5,,Arnauer Straße,,community_centre,,Spiel- und Begegnungszentrum am Hart,,,yes,POINT (11.5759172 48.1941301),,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5196460150,36,80807,Margarete-Schütte-Lihotzky-Straße,,community_centre,,Feierwerk Funkstation,,,,POINT (11.5998113 48.1842101),München,DE,,,,,,,,,,,,,,,,juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5222333003,10,80807,Fritz-Winter-Straße,,community_centre,,Lihotzky,"""Verschiedene Veranstaltungen und Vermietungen""",,yes,POINT (11.5977779 48.1838448),München,,,Between ART & People e.V.,,,https://www.lihotzky.org/,,,,,,,,,,,,community,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5315435474,,,,,community_centre,,Soziale Beratungsstelle Sendling,,,yes,POINT (11.5182544 48.1195209),,,,Caritas,,,,,,,,,https://www.caritas-soziale-dienste-sendling.de/de,,,gsa-sendling@caritasmuenchen.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5315435475,211,,Garmischer Straße,Gerontopsychiatrischer Dienst München Süd,community_centre,,Gerontopsychiatrischer Dienst der Caritas,,,yes,POINT (11.5181807 48.1195012),,,,Caritas,,,,,,,,,https://www.gerontopsychiatrischer-dienst-caritas-muenchen-sued.de/de,,,gpdi-sued@caritasmuenchen.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5315435476,,,,,community_centre,,Caritas-Zentrum,,,yes,POINT (11.5182008 48.1195585),,,,Caritas,,,,,,,,,,,,czm-sendling@caritasmuenchen.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.caritas-nah-am-naechsten.de/caritas-zentrum-laim-sendling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5515716123,197,,Arnulfstraße,,community_centre,,Kulturzentrum GOROD,,,,POINT (11.5232113 48.1491029),München,DE,,,,,https://de.newgorod.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,community center GOROD,,,,,,,культурный центр ГОРОД,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5611281877,29,80636,Rupprechtstraße,,community_centre,,Haus der Jugendarbeit,,,yes,POINT (11.5391363 48.1487866),München,DE,,,,,https://www.hausderjugendarbeit.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5685366943,,,,,community_centre,,Café Klatsch,,,,POINT (11.4618758 48.1464946),,,,,+49 89 8206458,,https://www.schuelertreff-cafe-klatsch.de/,,,,,,,Schüler- und Schülerinnentreff,,info@schuelertreff-cafe-klatsch.de,,,,,,,,,2018-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 170 8416270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5999937485,,,,,community_centre,,Himalaya pariwar,,,,POINT (11.498374 48.0948061),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6141050277,155,80339,Westendstraße,,community_centre,catholic,Pfarrheim Maria Heimsuchung,,christian,,POINT (11.5291372 48.1375408),München,,,,,,,,,,,,,,,maria-heimsuchung.muenchen@ebmuc.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q98740890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
