element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,cinema:3D,name,opening_hours,phone,website,wheelchair,wikidata,geometry,contact:phone,contact:website,toilets:wheelchair,contact:email,contact:fax,wheelchair:description,brand,brand:wikidata,brand:wikipedia,alt_name,level,loc_name,screen,short_name,source,description,opening_hours:url,check_date:opening_hours,email,opening_hours:signed,wikipedia,operator,charge,contact:facebook,contact:instagram,fee,indoor,location,start_date,contact:twitter,gay,gay:men,lgbtq,min_age,opening_hours:covid19,payment:cash,payment:contactless,payment:debit_cards,payment:maestro,payment:mastercard,payment:visa,shop,temporary:amenity,fixme,mapillary,wikimedia_commons,building,nodes,payment:credit_cards,payment:girocard
node,639108906,,,21,,Arcisstraße,cinema,,TU-Film,"""Nur bei Vorstellungen, Programm auf Website""",,https://www.tu-film.de/,yes,,POINT (11.5679165 48.147875),,,,,,,,,,,1,,,,,"Eingang Ecke Arcis-/Gabelsbergerstraße
1. Stock, Hörsaal 1200 (Carl-von-Linde-Hörsaal)

Der Einlass befindet sich am nördlichen Eingang des Hörsaals im 1. Stock. Die Kasse befindet sich davor an der Garderobe.",,,,,,,3.00 EUR,https://de-de.facebook.com/dertufilm,https://www.instagram.com/dertufilm,yes,yes,indoor,,,,,,,,,,,,,,,,,,,,,,
node,774448204,München,DE,33,80637,Landshuter Allee,cinema,,Neues Maxim,"""Spielplan""",+49 89 89059980,https://neues-maxim.de/,limited,Q1772257,POINT (11.5363845 48.1497356),,,no,,,1 Stufe,,,,,,,,,,Zweitältestes Kino in München,,,,,de:Neues Maxim,,,,,,,,1912,,,,,,,,,,,,,,,,,,,,,
node,849628369,München,DE,54,80469,Müllerstraße,cinema,,Spexter,Mo-Sa 10:00-20:00,,,limited,,POINT (11.5673241 48.1322839),+49 89 260 24 864,https://www.spexter.com/,,info@spexter.com,+49 89 260 24 866,,Spexter,,,,,,,,,,,,,,,Leonhard März und Michael Di Mugno,,speXter,,,,,,https://twitter.com/SpeXter,yes,yes,primary,18,Mo-Sa 10:00-18:00,yes,yes,yes,yes,yes,yes,erotic,,,,,,,,
node,1349318715,München,DE,32,80469,Corneliusstraße,cinema,,Buddy,Mo 14:00-22:00; Tu-We 14:00-20:00; Th 14:00-23:00; Fr-Su 14:00-20:00,,,no,,POINT (11.5775348 48.1304991),+49 89 32654912,,,,,,,,,,,,,,,,,2023-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1366431381,,,,81377,,cinema,,"Kino, Mond & Sterne","""Geöffnet zu bestimmten Veranstaltungen""",,https://www.kino-mond-sterne.de/,limited,,POINT (11.5119123 48.1233584),,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cinema @ Jun-Sep,,,,,,,
node,1450121485,München,DE,127,80797,Schleißheimer Straße,cinema,,Monopol,,,,limited,Q50843561,POINT (11.5635127 48.1624467),+49 89 3888 8493,https://www.monopol-kino.de/,,info@monopol-kino.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1558029908,München,DE,2,81669,Lilienstraße,cinema,,Museum Lichtspiele,"""15min vor erster Vorstellung""",,https://www.museum-lichtspiele.de/,no,Q1954465,POINT (11.5874863 48.1309634),+49-89-482403,,no,museumlichtspiele@movietown-cinemas.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1644953756,München,,3,80335,Bayerstraße,cinema,yes,Mathäser Filmpalast,Mo-Su 09:00-23:30,,https://www.mathaeser.de/mm,yes,Q1908775,POINT (11.5639646 48.1391217),,,yes,,,,,,,,,,,,,,,,,,de:Mathäser,,,,,,,,,,,,,,,,,,,,,,,The official housenumber is 3-5 - its everywhere,135794598586509,File:Mathäserfilmpalast.jpg,,,,
node,2048987410,,,43a,81479,Sollner Straße,cinema,,Kino Solln,"""30 Minuten vor der ersten Vorstellung""",,,no,Q50843555,POINT (11.5263261 48.0807774),+49 89 7499210,https://www.kinosolln.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2169663919,München,,2-6,80333,Promenadeplatz,cinema,,astor@Cinema Lounge,,+49 89 2120811,https://www.astor-cinemalounge.de/,yes,Q34380701,POINT (11.5726992 48.1405561),,,yes,,,Lift 1. Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2357440054,,,,,,cinema,,Kino am Olympiasee,,,https://www.kinoamolympiasee.de,,,POINT (11.5526167 48.1729879),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3851334699,München,DE,31,81549,Cincinnatistraße,cinema,yes,Cincinnati,,,,yes,Q50843550,POINT (11.5942909 48.0915206),+49 89 6902241,https://cincinnati-muenchen.de/,yes,kundenservice@cincinnati-muenchen.de,,Stellplätze unbegrenzt,,,,,,,1,,,,,,,,,Thomas Wilhelm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3929291577,München,DE,42,81675,Einsteinstraße,cinema,,KiM,,,,,,POINT (11.6007168 48.1354194),,https://www.kim-kino.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6681892187,,,66,,Weitlstraße,cinema,,Cinema Augustinum,,,,yes,,POINT (11.5550724 48.2091393),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,206902415,München,,91,80799,Türkenstraße,cinema,,Astor Film Lounge im ARRI,"Mo-Th 11:00-21:00; Fr,Sa 11:00-23:00; Su,PH 11:00-21:00",,https://muenchen.premiumkino.de/,yes,Q50843547,"POLYGON ((11.5777931 48.1532822, 11.5777492 48.1532129, 11.5777194 48.1531659, 11.5775691 48.153211, 11.5775577 48.1532142, 11.5776347 48.1533293, 11.5777931 48.1532822))",+49 1805 444 966,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,yes,yes,yes,,,,,,yes,"[2169662416, 2560210491, 938128953, 938128315, 3754440503, 2169662415, 2169662416]",yes,yes
