element_type,osmid,amenity,geometry,access,description,fee,layer,name,parking,toilets,toilets:fee,wheelchair,opening_hours,wheelchair:description,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,barrier,bicycle,foot,created_by,motorcar,motorcycle,capacity,maxheight,ref,bus,motor_vehicle,contact:email,contact:fax,contact:phone,contact:website,old_name,park_ride,capacity:disabled,odbl,level,capacity:women,operator,smoothness,surface,website,charge,operator:type,source,note,maxstay,capacity:parent,parking:orientation,payment:coins,payment:maestro,payment:mastercard,payment:visa,maxweight,toilets:wheelchair,entrance,noexit,check_date,lit,horse,payment:cash,payment:credit_cards,description:de,name:en,email,check_date:fee,covered,supervised,maxspeed,source:capacity,maxstay:conditional,free,alt_name,phone,payment:apple_pay,payment:cards,payment:contactless,payment:debit_cards,payment:google_pay,payment:notes,payment:paypal,vehicle,nodes,building,building:levels,height,roof:colour,roof:shape,building:material,caravans,charge:bus,charge:bus:conditional,charge:conditional,hgv,operator:short,TMC:cid_58:tabcd_1:Class,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:LocationCode,roof:height,roof:levels,min_height,salting,snowplowing,winter_service,access_1,name:de,fee:conditional,designation,addr:housename,lastcheck,parking:condition:area,service,aprki,landuse,addr:suburb,parking:condition:area:customers,building:part,location,type,building:colour,indoor,source_ref,orientation,goods,est_height,roof:material,stay,capacity:bus,building:levels:underground,fence_type,parking:condition,fixme,charging,massgis:PUB_ACCESS,note:de,kiss_and_ride,capacity:car,payment:electronic_purses,traffic_sign,restriction:conditional,taxi:conditional,disabled,capacity:charging,parking:condition:time_interval,no_parking,taxi,parking:condition:maxstay,restriction,ways,wikidata,wikimedia_commons
node,260048270,parking,POINT (11.6894232 48.1317947),yes,,yes,,,multi-storey,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,263905377,parking,POINT (11.6139328 48.1144244),private,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,264092007,parking,POINT (11.5117683 48.2089271),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,264092370,parking,POINT (11.5119393 48.216808),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,283006864,parking,POINT (11.5495032 48.1358538),yes,,yes,,Parkplatz Theresienwiese,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,293899308,parking,POINT (11.5463515 48.1697949),private,,,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,296450619,parking,POINT (11.6078753 48.148265),yes,,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,303192839,parking,POINT (11.5520958 48.1446139),private,,,-1,,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,305371219,parking,POINT (11.5419775 48.2221213),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,306130912,parking,POINT (11.5940984 48.1241592),private,,,,Salesianum Privat - Parkplatz,street_side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,313939195,parking,POINT (11.5894509 48.1301364),yes,,yes,-1,Motorama,underground,,,yes,,,,,,,,,,,,,,300,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,315935180,parking,POINT (11.5548246 48.1436043),yes,,yes,-1,Hopfenpost Garage,underground,,,yes,Mo-Sa 06:30-21:00,,,,6,,Hopfenstraße,,,,,,,583,1.95,,,,,,,,,,8,,,26,Contipark,excellent,concrete,https://www.mein-contipark.de/parkplatz-finden/parken-in-muenchen/tiefgarage-neue-hopfenpost-muenchen--ci3cp1124056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,315972804,parking,POINT (11.5902372 48.162646),,,,,Parkhaus Schwabing,multi-storey,,,no,,,München,DE,18,80802,Occamstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,318715774,parking,POINT (11.6040938 48.1004537),customers,,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,325213042,parking,POINT (11.4566257 48.165774),customers,,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,331272288,parking,POINT (11.5208071 48.1313954),yes,,yes,-1,,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,336400612,parking,POINT (11.500845 48.1610632),yes,,,,,surface,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,338749161,parking,POINT (11.6209889 48.1526728),customers,,yes,,,surface,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,REWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,340373811,parking,POINT (11.5908076 48.1312637),yes,,yes,-1,Gasteig,underground,,,yes,,,,,,,,,,,,,,270,2.05,,,,,,,,,,19,,,16,,,,https://www.gasteig.de/standorte-anfahrt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,341306421,parking,POINT (11.5746332 48.1364621),yes,,yes,,Tiefgarage Marienplatz,multi-storey,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,Contipark Parkgaragen,,,,4 EUR/h,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,342231301,parking,POINT (11.5676111 48.133038),,,yes,,Kreissparkasse,multi-storey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,343689252,parking,POINT (11.6135895 48.1361024),yes,,yes,,MediaMarkt,multi-storey,,,yes,"Mo-Sa 07:00-23:00; PH,Su off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,343728483,parking,POINT (11.5739818 48.1339941),yes,,yes,-1,Schranne,underground,,,limited,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,345843664,parking,POINT (11.5925247 48.1743879),customers,,yes,-1,,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,345843696,parking,POINT (11.5933929 48.1794467),yes,,yes,-1,,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,354604921,parking,POINT (11.5627408 48.1412429),yes,,yes,-1,Elisenhof,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,364786619,parking,POINT (11.4594169 48.2101706),yes,,yes,,P+R Karlsfeld,surface,,,limited,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,367787221,parking,POINT (11.4072232 48.1731438),yes,,no,,,surface,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,392854667,parking,POINT (11.6282565 48.1018696),customers,,no,,,surface,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,417011043,parking,POINT (11.615605 48.1323423),private,,,,,surface,,,yes,,Einfahrt ins Parkhaus scheint gleichzeitig auch der Ein- und Ausgang zu sein.,,,,,,lift_gate,no,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,wirklich surface?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,417064446,parking,POINT (11.6136532 48.1317023),private,,,-1,,underground,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,433730468,parking,POINT (11.5727756 48.1490043),private,,,,,surface,,,no,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,443917826,parking,POINT (11.620679 48.1860294),yes,,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,443917828,parking,POINT (11.6290002 48.1913376),yes,,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,455016930,parking,POINT (11.573385 48.1392212),private,,,1,Hauck & Aufhäuser Privatbankiers - Parkdeck für Privatkunden,multi-storey,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,Hauck & Aufhäuser Privatbankiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,493922437,parking,POINT (11.6447362 48.1065002),customers,,no,-1,,underground,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,2 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,507402117,parking,POINT (11.626196 48.1261152),customers,,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,513690575,parking,POINT (11.5661722 48.1843097),yes,,no,,,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,534348499,parking,POINT (11.6184477 48.1481552),,,yes,-1,Parkgarage Forum Bogenhausen,underground,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,first 90 minutes free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540937862,parking,POINT (11.5951713 48.1184403),yes,,no,,,street_side,,,yes,,,,,,,,,,,,,,2,,,,,,,,,,no,2,,,no,,,,,,,,,,no,parallel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,621353564,parking,POINT (11.5688782 48.1399294),yes,,yes,-1,Parkhaus Oberpollinger,underground,,,,,,München,,7,80333,Maxburgstraße,,,,,,,397,,,,,,,,,,,,,,,,,,,"3,50 EUR/h, 28 EUR/day, 8 EUR/night",private_for_profit,,,,,,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,643558651,parking,POINT (11.6704084 48.136637),,,no,,"ARAG, IBM",multi-storey,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,650022511,parking,POINT (11.6883329 48.1174852),,,,,Penny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,682198241,parking,POINT (11.575066 48.1355998),customers,Kustermann Kundenparkplatz,yes,,,street_side,,,limited,,,München,,16,80331,Rindermarkt,,,,,,,25,,,,,,,,,,,,,,,Kustermann,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,701377939,parking,POINT (11.5667836 48.1348295),private,,,-1,Motel One,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,702319490,parking,POINT (11.5401704 48.1296043),private,,,-1,,underground,,,,,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,703093694,parking,POINT (11.5699249 48.1895929),private,Zufahrt nur mit Parkberechtigung (Haupteingang),,-1,BMW DCM Parkhaus,underground,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,BMW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,703479451,parking,POINT (11.624956 48.1999623),private,,,,,street_side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,706577706,parking,POINT (11.5221639 48.0972449),private,,,-1,,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
