element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,name,source,wheelchair,geometry,type,description,operator,toilets:wheelchair,wikidata,barrier,phone,website,email,addr:housename,language,old_name,old_shop,opening_hours,training,name:en,capacity,wikipedia,contact:phone,contact:email,contact:fax,contact:website,school,school:de,fax,internet_access,internet_access:fee,office,official_name,check_date,isced:level,operator:type,postal_code,note,alt_name,payment:credit_cards,payment:debit_cards,religion,level,wikimedia_commons,addr:suburb,grades,short_name,denomination,name:de,name:ru,fee,building:levels,roof:levels,height,mobile,shop,wheelchair:description,nodes,start_date,contact:city,contact:housenumber,contact:postcode,contact:street,building,roof:shape,school:type,designation,roof:colour,building:colour,est_height,roof:height,roof:material,architect,building:architecture,heritage,heritage:operator,heritage:ref,image,int_name,isced,noname,protect_class,sport,leisure,layer,name:etymology:wikidata,loc_name,polling_station,school:language,is_in:city,is_in:country_code,school:DE,ref:AEFE,landuse,website2,subject,min_age,name:ja,disused:name,disused:note,ways,url
node,1255559552,,,,,,school,Inklusive Monte Balan,,,POINT (11.6045152 48.1167388),,Montessori school,,,,,+498990901780,https://www.monte-balan.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1302026639,,,,,,school,Private Wirtschaftsschule begemann e. V.,,,POINT (11.4615642 48.1395422),,,,,,,,,,,,,,,,,,,,,,https://www.begemann-schule.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1375373861,,,,,,school,Privat-Schulverband München,,,POINT (11.5890669 48.1290501),,,,,,,,https://www.schulverbund.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1381920175,,,,,,school,Konfuzius-Institut München e.V.,,yes,POINT (11.4601503 48.1475063),,,,,,,,https://www.konfuzius-muenchen.de,,,,,,,,,,,,,,,,,,,,,,2019-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1404255268,,,,,,school,Städtische Berufsschule zur Berufsvorbereitung,,,POINT (11.6022263 48.1484604),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1405087466,,,,,,school,Bilinguale Grundschule Phorms,,,POINT (11.6012103 48.1473872),,,Phorms Bavaria gGmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1405087468,,,,,,school,Bilinguales Gymnasium Phorms,,,POINT (11.6013766 48.1470168),,,Phorms Bavaria gGmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1455802364,München,DE,47,81539,Schlierseestraße,school,Städtische Rainer-Werner-Fassbinder-Fachoberschule für Sozialwesen,,yes,POINT (11.5933545 48.1133597),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1576527684,,,,,,school,Theresia-Gerhardinger-Grundschule am Anger,,,POINT (11.5728245 48.1336093),,,Arme Schulschwestern von Unserer Lieben Frau,,,,,https://gs-am-anger.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1576528339,,,,,,school,Theresia-Gerhardinger-Gymnasium am Anger,,,POINT (11.5721671 48.1333479),,,Arme Schulschwestern von Unserer Lieben Frau,,Q1771978,,,https://www.tggaa.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1645036906,München,DE,12,80336,Goethestraße,school,Sabel GBS Fachschulen,,,POINT (11.5583884 48.1377497),,,Stiftung Sabel,,,,+49 89 539805 41,https://gbsschulen.de/,,,,,,Mo-Fr 08:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1655597222,,,,,,school,Dom-Pedro-Grundschule,,no,POINT (11.534422 48.1595141),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1729066349,,,,,,school,Private Realschule Gut Warnberg,,,POINT (11.5102559 48.066419),,,,,,,,https://www.rs-gutwarnberg.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1750963577,München,DE,41,81479,Herterichstraße,school,Grundschule an der Herterichstraße,,no,POINT (11.5195403 48.0762099),,,,,Q2532177,,,,,,,,,,,,,de:Volksschule an der Herterichstraße,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1803121312,München,DE,46,81539,Ungsteiner Straße,school,Städtische Elly-Heuss-Realschule,,,POINT (11.5964851 48.1121056),,,Landeshauptstadt München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1803121313,München,DE,208,,Balanstraße,school,Berufsschule zur Berufsintegration,,yes,POINT (11.6048361 48.1040367),,,Landeshauptstadt München,,,,,https://berufsintegration.musin.de/,,,,,,,,,,,,,,,,,,,,,,,,,81549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1803121315,München,DE,46,81539,Ungsteiner Straße,school,Städtische Fachoberschule für Gestaltung,,,POINT (11.5969418 48.1124452),,,Landeshauptstadt München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1803121318,München,DE,47,81539,Schlierseestraße,school,"Münchenkolleg, Gymnasium des Zweiten Bildungsweges",,,POINT (11.5931276 48.1139254),,Schule für Erwachsene,Landeshauptstadt München,,Q17405829,,,https://mk.musin.de/,,,,,,,,,,,,,,,,,,,,,,,,Stadt_München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2036298321,,,28,80336,Goethestraße,school,Deutschinstitut Integra,,no,POINT (11.5584538 48.1360672),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2351144134,,,73,81377,Pfingstrosenstraße,school,Lehrinstitut Derksen,,,POINT (11.4794062 48.1084755),,,,,Q1746770,,,,,Kleines privates Lehrinstitut Derksen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2390626502,München,,150,81379,Plinganserstraße,school,neuhof Schulen,,,POINT (11.5403873 48.1015934),,,nBW neuhof- Bildungswerk gemeinnützige GmbH,,,,,https://www.neuhof-schulen.de/,,,,,,,,,,,,,,,,,,,,,,,,,,"neuhof Schulen moved from Steinerstraße 16 to Plinganserstraße 150 in September 2016; PLZ 82369 ist noch von der Steinerstraße, 81379 ist richtig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2399331486,München,DE,241,81377,Garmischer Straße,school,Stiftung ICP München,,yes,POINT (11.5177447 48.1154405),,,,yes,,,,https://www.icpmuenchen.de/,,Stiftung ICP München,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2399832597,München,DE,8,81373,Meindlstraße,school,Grundschule an der Plinganserstraße - Außenstelle Meindlstraße,,,POINT (11.5379857 48.1187651),,,,,,,+49 89 233-67660,http://www.gs-plingans.musin.de,gs-plinganserstr-28@muenchen.de,,,,,,,,,,,,,,,,+49 89 233-67665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2401545078,,,75a,80336,Schwanthalerstraße,school,Institut für Berufliche Bildung AG,,,POINT (11.5542065 48.137003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBB AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2431272944,,,,,,school,Echo Music School,,no,POINT (11.5773111 48.0965348),,,,,,,,,,,,,,"Mo-Fr 10:00-13:00,15:00-19:00",,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2493656150,München,DE,21,80539,Herrnstraße,school,Förderschule an der Herrnstraße,,,POINT (11.5814603 48.1366835),,,"Landeshauptstadt München, Referat für Bildung und Sport",,,,,https://stadt.muenchen.de/service/info/sonderpaedagogisches-foerderzentrum-muenchen-mitte-2-herrnstr-21/1060084/,,,,,,,,,,,,,,,,,,,,,,,,public,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2498823796,,,,,,school,Sonderpädagogisches Förderzentrum München-Süd,,,POINT (11.5520514 48.1273701),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2503241037,München,,38,80469,Kapuzinerstraße,school,IFP Institut zur Förderung publizistischen Nachwuchses,,,POINT (11.56314 48.1242998),,,,,Q1543073,,,https://journalistenschule-ifp.de/,,,,,,,,,,de:Katholische Journalistenschule ifp,,,,,,,,,,,,,,,,,,,,,,Category:Katholische Journalistenschule ifp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2514307036,,,15,,Lipowskystraße,school,Staatliche Fachoberschule und Berufsoberschule für Wirtschaft München Filiale Lipowskystraße 15,,,POINT (11.544062 48.1248409),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2516603799,München,DE,14,80336,Sendlinger-Tor-Platz,school,Designschule München,,,POINT (11.5678546 48.1335319),,,,,,,,https://www.meisterschule-fuer-mode.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2528516008,München,,13,80336,Hermann-Lingg-Straße,school,Prisma e.V.,local_knowledge,,POINT (11.5518393 48.1377038),,,,,,,+49 89 54073717,https://www.prisma-ev.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,Prisma Sprachenschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2654727020,München,DE,21,80539,Herrnstraße,school,Grundschule an der Herrnstraße,,,POINT (11.5812823 48.1365482),,,"Landeshauptstadt München, Referat für Bildung und Sport",,Q1550685,,,http://www.gsh.musin.de/,,,,,,,,,,,,,,,,,,,,,,,,public,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2661592962,,,,,,school,Mittelschule Feldbergstraße,,,POINT (11.6678823 48.1181709),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2661592964,,,,,,school,Grundschule an der Feldbergstraße,,,POINT (11.6684723 48.117512),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2847116408,,,,,,school,TUM - Motorenlabor,,,POINT (11.4962685 48.1695067),,,,,,,,https://www.mos.ed.tum.de/nma/startseite/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3201187868,München,,109,81245,Bergsonstraße,school,Städtische Berufsschule für elektrische Anlagen- und Gebäudetechnik,,,POINT (11.4343665 48.1637074),,,,,,,,http://www.bsinstall.musin.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3201191552,München,,109,81245,Bergsonstraße,school,FOS München-West,,,POINT (11.4355984 48.1631128),,,,,,,,https://fos-west.de,,,,,,,,,,,,,,,,,,,,,,,,public,,,,,,,,,,10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3201193997,München,,109,81245,Bergsonstraße,school,"Technikerschule - Städtische Fachschule für Maschinenbau-, Metallbau-, Informatik- und Elektrotechnik",,,POINT (11.4351877 48.163311),,,,,,,,https://www.technikerschule-muenchen.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3201193998,München,,109,81245,Bergsonstraße,school,Städtische Berufsschule für Industrieelektronik,,,POINT (11.4347771 48.1635092),,,,,,,,https://bsindus.musin.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3674013026,,,,,,school,Parzivâl-Schule,,,POINT (11.5533805 48.1631108),,,Verein für Heilende Erziehung e.V.,,,,,,,,,,,,,,,,,,,https://www.heilende-erziehung.de/parzival-schule/ueber-unsere-schule,,,,,,,,,,,,,Private Förderschule zur Lernförderung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3681346755,,,,,,school,Heimerer Schulen,,yes,POINT (11.5538424 48.1389804),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3946316480,,,,,,school,Immanuel-Schule,,,POINT (11.5104245 48.1094524),,,,,,,,https://www.immanuel-schule.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3984193488,München,DE,208,80804,Leopoldstraße,school,Bavarian International School gAG - City Campus,,,POINT (11.5860784 48.1756735),,,,,,,,https://www.bis-school.com/impressum-imprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4205018993,,,,,,school,Gymnasium Fürstenried,,limited,POINT (11.4814434 48.0900477),,,,,Q1318163,,,,,,,,,,,,,de:Gymnasium Fürstenried,+498923343120,info@gymnasium-fuerstenried.de,+498923343142,https://www.gymnasium-fuerstenried.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4205018994,,,,,,school,Joseph-von-Fraunhofer-Schule - Staatliche Realschule München II,,limited,POINT (11.4809919 48.09049),,,,no,,,,,,,,,,,,,,,+498923343160,joseph-von-fraunhofer-schule@muenchen.de,+498923343169,https://www.fraunhofer.schule/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
