element_type,osmid,amenity,name,religion,wheelchair,geometry,denomination,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,contact:phone,contact:website,operator,website,note,addr:housename,service_times,wheelchair:description,source,contact:email,description,name:ru,opening_hours,place_of_worship,start_date,name:de,name:en,check_date,level,name:fa,email,phone,fax,construction,wikidata,wikipedia,addr:inclusion,alt_name,contact:facebook,contact:fax,toilets:wheelchair,name:ar,name:ku,colour,man_made,contact:email_1,protestant,tourism,historic,church,name:bs,name:pt,short_name,contact:mobile,addr:unit,books,shop,name:tr,inscription,material,subject:wikidata,subject:wikipedia,network,internet_access,opening_hours:covid19,height,contact:deezer,contact:instagram,contact:spotify,contact:youtube,nodes,building,building:architecture,deanery,diocese,heritage,heritage:operator,heritage:website,parish,ref:lda,seamark:landmark:category,seamark:landmark:conspicuity,seamark:landmark:function,seamark:type,building:levels,roof:colour,roof:material,roof:orientation,roof:shape,ref,architect,building:colour,building:material,loc_name:de,loc_name:lb,min_height,roof:height,loc_name,tower:type,image,building:min_level,architect:wikidata,architect:wikipedia,bldam:criteria,operator:type,ref:bldam,year_of_construction,lda:criteria,name:etymology,name:etymology:wikidata,building:roof:height,building:roof:orientation,fee,name:he,name:it,name:nl,name:pl,name:uk,name:zh,alt_name:es,name:es,name:fr,name:sv,wikimedia_commons,internet_access:fee,source:building:levels,contact:tumblr,building:use,old_name,organisation,lda:inscription_date,url,fixme,construction_year,operator:description,roof:levels,opening_date,nohousenumber,toilets,toilets:access,member_of,check_date:opening_hours,heritage:description,air_conditioning,ele,addr:place,name:vi,preservation,smoking,name:af,name:be,name:cs,name:eu,name:hu,name:ko,name:no,name:ro,name:sk,official_name,subdenomination,name:ja,addr:district,date,survey:date,protect_class,building:facade:material,building:part,old_name:1957-1994,lit,noname,name:sr-Latn,description:de,name:et,reconstruction_date,layer,location,landuse,name:signed,ways,type
node,441734644,place_of_worship,Freie evangelische Bibel-Baptisten-Gemeinde,christian,limited,POINT (13.44285 52.4759311),baptist,Berlin,DE,28,12043,Richardstraße,Neukölln,,http://bibel-baptisten-berlin.de/,Freie evangelische Bibel-Baptisten-Gemeinde e.V.,,,,"Su 11:00 open ""Gottesdienst""; We 19:00 open ""Gebetskreis""; Fr 18:00 open ""Bibelkreis""",,,kontakt@bibel-baptisten-berlin.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,474359499,place_of_worship,Adventgemeinde Köpenick,christian,,POINT (13.5821835 52.4567902),seventh_day_adventist,,,,,,,,,,,,,,,,,,,,,,Adventgemeinde Köpenick,Adventist Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,494093353,place_of_worship,Galiläa-Kirche,christian,limited,POINT (13.4563223 52.5177789),,,,,,,,,,,,"tag:denomination nicht benutzt, da hier keine Gottesdienste mehr stattfinden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,535628093,place_of_worship,Inssan-Moschee,muslim,limited,POINT (13.4012798 52.4981271),,,,,,,,,,,,,,,,,,,,,,,,,2022-11-16,0,مسجد انسان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,540969924,place_of_worship,Quaker Meeting,christian,,POINT (13.3899554 52.520803),quaker,Berlin,DE,20,10117,Planckstraße,Mitte,,,,http://quaeker-berlin.de/,,,,,,,,,Su 11:00-12:00,,,,,,,,info@quaeker-berlin.de,+49 30 2082284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,601062306,place_of_worship,Mater Dolorosa Kirche,christian,yes,POINT (13.4965275 52.6417777),,Berlin,DE,61,13125,Röbellweg,Buch,,,,http://www.katholische-kirche-berlin-buch.de/,,,,,,,,,,,,,,,,,,+49309409420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,676083788,place_of_worship,Foguang-Shan Tempel,buddhist,,POINT (13.3820567 52.5397508),,Berlin,DE,86,13355,Ackerstraße,Gesundbrunnen,+49 30 4137621,,,http://fgs-tempel.de,,,,,,,,,,,,,,,,,info@fgs-tempel.de,,+49 30 4138723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,701838306,place_of_worship,Evangelisch-Freikirchliche Gemeinde K.d.ö.R.,christian,yes,POINT (13.3499542 52.5751911),baptist,Berlin,DE,32,13407,Alt-Reinickendorf,Reinickendorf,,,,https://www.efg-reinickendorf.de/,,,Su 10:00,,,,,,,,,,,,,,,+4930498733 89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,945925159,place_of_worship,Sri Ganesha Hindu Tempel,hindu,no,POINT (13.4207705 52.4867779),,Berlin,DE,106,10967,Hasenheide,Neukölln,,https://www.hindutempleberlin.de/,Sri Ganesha Hindu Tempel e. V.,,,,,,,info@hindutempelberlin.de,,,Mo-Su 16:00-18:00,,,,,2021-09-17,,,,,,yes,Q2315172,de:Sri-Ganesha-Hindu-Tempel Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,948654862,place_of_worship,Gemeindezentrum ev. Kirchengemeinde Rudow,christian,limited,POINT (13.4812755 52.4085446),lutheran,Berlin,DE,22-28,12355,Geflügelsteig,Rudow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,977654857,place_of_worship,,christian,yes,POINT (13.48765 52.6185361),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1026420272,place_of_worship,,,,POINT (13.2696435 52.5504382),protestant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1135452610,place_of_worship,Katholische Gemeinde St. Lambertus,christian,yes,POINT (13.1990851 52.5618242),catholic,Berlin,DE,6,13587,Cautiusstraße,Hakenfelde,,,,,,,,,,,,,,,,,,,,,,+49303378509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1232194996,place_of_worship,Thomas Gemeinde,christian,,POINT (13.327846 52.458537),evangelical,Berlin,DE,92,12169,Bergstraße,Steglitz,+49 30 804 09090,http://www.thomasgemeindeberlin.de,,,,,,,,,Evangelische Freikirche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1256840401,place_of_worship,ChristusKirche Berlin-Mitte,christian,,POINT (13.3995255 52.5363614),pentecostal,Berlin,DE,31,10115,Anklamer Straße,Mitte,+49 30 91206070,http://www.christuskirche-berlin.de/,,,,,Su 10:00+,,,buero@christuskirche-berlin.de,,,,,,,,,,,,,,,Q15108777,,,BfP Christuskirche,http://www.facebook.com/christuskircheberlin.de,+49 30 47375949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1274338417,place_of_worship,Ev. Kirchengem. Hermsdorf,christian,yes,POINT (13.3110728 52.6175317),,Berlin,DE,24,13467,Wachsmuthstraße,Hermsdorf,,,,https://www.ekibh.de/,Apostel-Paulus-Kirche,,,,,,,,,,,,,,,,,+49304050866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1309021897,place_of_worship,Buddhistisches Zentrum Bodhicharya Deutschland e.V.,buddhist,,POINT (13.4654696 52.5122972),,Berlin,DE,25,10247,Kinzigstraße,Friedrichshain,,,,,,,,,http://bodhicharya.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1313117575,place_of_worship,Stadtmission Gemeinde im Zentrum am Hauptbahnhof,christian,yes,POINT (13.3634866 52.5263398),protestant,Berlin,DE,68,10557,Lehrter Straße,Moabit,+4930690333,,Berliner Stadtmission,https://www.berliner-stadtmission.de/gem-zah,,,,,,,Andachtsraum der Gemeinde im Zentrum,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1370499165,place_of_worship,Kirche des Nazareners,christian,,POINT (13.3160909 52.4552861),methodist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1189165,de:Kirche des Nazareners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1392943281,place_of_worship,Evangelische Gemeinschaft Friedenau,christian,no,POINT (13.3275731 52.4716845),protestant,Berlin,DE,7,12161,Friedrich-Wilhelm-Platz,Friedenau,,,,https://www.gemeinschaft-friedenau.de/wp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1404465171,place_of_worship,Königreichssaal der Zeugen Jehovas,christian,yes,POINT (13.2012548 52.5235952),jehovahs_witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1404484782,place_of_worship,Königreichssaal der Zeugen Jehovas,christian,yes,POINT (13.1822371 52.5276783),jehovahs_witness,Berlin,DE,32E,13581,Seeburger Straße,Wilhelmstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1505231652,place_of_worship,Schloßkirche,christian,limited,POINT (13.5739658 52.4436435),protestant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2244593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1556403863,place_of_worship,Baptisten-Gemeinde,christian,no,POINT (13.4403343 52.5527163),baptist,,,,,,,,,,http://www.efg-weissensee.org/,,,Su 10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1602071051,place_of_worship,Franziskanerkloster,christian,yes,POINT (13.3945595 52.5659379),roman_catholic,Berlin,DE,,13187,Wollankstraße,Pankow,,,,,,,,Suppenküche,,,,,,,,,,,,,,,,,Q73011704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1813041607,place_of_worship,St. Franziskus - Kapelle,christian,,POINT (13.3457893 52.5059403),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1891429795,place_of_worship,Stadtmission Gemeinde Tegel,christian,,POINT (13.2752084 52.5751024),protestant,Berlin,,112-114,13507,Billerbecker Weg,,,,Berliner Stadtmission,https://www.berliner-stadtmission.de/gem-tegel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1895341034,place_of_worship,Apostolische Gemeinde Berlin,christian,,POINT (13.3515831 52.5324743),apostolic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1903040914,place_of_worship,Adventgemeinde Pankow,christian,yes,POINT (13.3990095 52.5860016),seventh_day_adventist,Berlin,DE,61,13156,Eichenstraße,Niederschönhausen,,,,http://www.sta-berlin-pankow.de/STA_Pankow/Startseite.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1976696605,place_of_worship,Gazi Osman Pasa Moschee eV,muslim,limited,POINT (13.445666 52.4718577),,Berlin,DE,11,12055,Schöneweider Straße,Neukölln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2145256562,place_of_worship,Buddhistisches Tor Berlin,buddhist,yes,POINT (13.4125654 52.4925385),,,,,10967,,,,,,https://buddhistisches-tor-berlin.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2281044959,place_of_worship,Evangelische Reformierte Bethlehemsgemeinde,christian,yes,POINT (13.4419312 52.4767583),reformed,Berlin,DE,97,12043,Richardstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2299953817,place_of_worship,Sultan Abdulhamid Han Moschee,muslim,,POINT (13.3564321 52.551148),,Berlin,DE,17A,13347,Amsterdamer Straße,Wedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2303055234,place_of_worship,International Christian Revival Church,christian,,POINT (13.3658262 52.548976),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
