element_type,osmid,amenity,brand,brand:wikidata,brand:wikipedia,opening_hours,wheelchair,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,name,man_made,surveillance,operator,railway,access,parking,atm,wheelchair:description,capacity,fee,source,barrier,note,tourism,check_date,material,operator:wikidata,operator:wikipedia,postal_code,ref,name:signed,check_date:opening_hours,cuisine,diet:vegan,diet:vegetarian,takeaway,contact:website,office,addr:inclusion,description,survey:date,disused:shop,dispensing,phone,shop,website,internet_access,disused:amenity,outdoor_seating,smoking,addr:housename,craft,note:de,opening_hours:signed,url,toilets:wheelchair,contact:phone,ref:vatin,social_facility,contact:mobile,wikidata,wikipedia,leisure,source:addr,air_conditioning,indoor_seating,opening_hours:kitchen,toilets,drive_through,contact:email,contact:fax,healthcare,healthcare:speciality,historic,fixme,wikimedia_commons,start_date,operator:type,park_ride,short_name,building,height,layer,min_height,roof:colour,roof:height,roof:material,roof:shape,nodes,building:levels,brothel:saunaclub,email,roof:levels,building:material,building:colour,heritage,heritage:operator,lda:criteria,ref:lda,alt_name,architect,architect:wikidata,architect:wikipedia,building:architecture,name:en,name:fr,nohousenumber,old_name,image,heritage:website,branch,kids_area,internet_access:fee,building:min_level,construction_date,internet_access:operator,fax,sport,post_office:brand,post_office:brand:wikidata,post_office:type,compressed_air,fuel:GTL_diesel,fuel:HGV_diesel,fuel:biogas,fuel:cng,fuel:diesel,fuel:octane_100,fuel:octane_91,fuel:octane_95,building:cladding,automated,opening_hours:self_service,self_service,official_name,railway:ref,railway:signal_box,club,religion,cafe,service:bicycle:pump,service:bicycle:repair,service:bicycle:retail,research_institution,atm:operator,payment:bancomat,payment:coins,payment:girocard,payment:maestro,payment:mastercard,payment:notes,payment:visa,heritage:operator:short,mapillary,source:name,source:url,denomination,payment:credit_cards,payment:debit_cards,heritage:ref,year_of_construction,opening_hours:covid19,building:use,building:levels:underground,service:vehicle:car_parts,service:vehicle:car_repair,service:vehicle:diagnostics,service:vehicle:oil_change,facebook,ele,asb,telecom,noaddress,internet_access:ssid,payment:cash,website2,disused:brand,disused:contact:website,service,contact:facebook,contact:instagram,contact:twitter,drink:club-mate,owner,pumping_station,onkz,opening_hours:url,climbing:boulder,indoor,political_party:abbreviation,political_party:name,government,ref:bufa,addr:place,access:covid19,delivery:covid19,drive_through:covid19,car_wash,fuel:adblue,fuel:e10,fuel:lpg,fuel:octane_102,fuel:octane_98,fuel:e85,name:de,repair,gambling,note:noaddress,source:geometry,source:noaddress,opening_hours:office,was:office,roof:orientation,culture,payment:dkv,payment:uta,mobile,fuel:charcoal,fuel:e5,fuel:heating_oil,fuel:wood,diet:halal,diet:kosher,payment:american_express,was:building,frequency,power,substation,voltage,microbrewery,product,building:roof,roof:direction,drink:beer,drink:liquor,drink:wine,studio,fascade:colour,second_hand,disused:name,service_times,origin,payment:cards,computer:parts,computer:repair,computer:sales,wholesale,construction,crematorium,protection_title,source:shape,subject:wikidata,subject:wikipedia,truck_wash,community_centre,name:ja,elevator,elevator:access,service:vehicle:body_repair,service:vehicle:painting,name_alt,int_name,member_of,delivery,substance,building:part,climbing:bolted,climbing:length,climbing:sport,outdoor,waterway,not:name,building:facade:material,max_level,min_level,socket,socket:schuko,toilets:access,payment:others,sausage,noname,source:toilets:wheelchair,heritage:since,roof,trade,type,ways,building:roof:shape,building:parts,loc_name,construction:office
way,23463209,,,,,,,"POLYGON ((13.4095882 52.5081361, 13.4097084 52.5080651, 13.4097797 52.5080231, 13.4099082 52.5079472, 13.409777 52.5078649, 13.409457 52.5080537, 13.4095882 52.5081361))",,,,,,,WBG Berolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.berolina.info/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,gray,,tar_paper,flat,"[254094084, 9847831466, 9847831469, 254094085, 254094086, 254094087, 254094084]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23463371,,,,,,,"POLYGON ((13.4089741 52.5116362, 13.4088368 52.5115905, 13.408737 52.5115515, 13.4086593 52.5116406, 13.4086985 52.5116531, 13.4086487 52.5117149, 13.4085953 52.5116983, 13.4085975 52.511694, 13.4085368 52.511675, 13.4084513 52.511789, 13.408481 52.5117985, 13.4087069 52.511871, 13.4087342 52.5118708, 13.4087538 52.5118674, 13.4087717 52.5118609, 13.4089741 52.5116362))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"File:Berlin, Mitte, Wallstraße 27, Geschäftshaus 01.jpg",1913,,,,commercial,,,,,,,,"[254095527, 7014894240, 254095528, 7014894247, 7014894246, 7014894245, 7014894244, 254095529, 254095530, 254095531, 1552570835, 7014894243, 7014894242, 7014894241, 254095532, 254095527]",,,,,,,4,lda,Baudenkmal,09035410,,Hoeniger und Sedelmeier,,,,,,,,,https://denkmaldatenbank.berlin.de/daobj.php?obj_dok_nr=09035410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23463435,,,,,,,"POLYGON ((13.4063439 52.5109178, 13.4064219 52.510938, 13.4064507 52.510966, 13.406368 52.5110666, 13.4061427 52.5110351, 13.4061488 52.5109677, 13.4059697 52.5109652, 13.40596 52.5111388, 13.4063797 52.5112016, 13.4064992 52.5110597, 13.4065808 52.5109589, 13.4066024 52.5109317, 13.4063685 52.5108593, 13.4063479 52.5109057, 13.4063439 52.5109178))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"File:Berlin, Mitte, Wallstrasse 15-15A, Geschaeftshaus Lebram 01.jpg",,,,,commercial,,,,,,,,"[254096112, 7014829457, 1237776771, 1237776891, 254096113, 254096114, 254096115, 254096116, 254095933, 254095932, 254095929, 254096336, 1237776907, 7014829458, 254096112]",5,,,1,,,4,lda,Baudenkmal,09035407,,,,,,,,,Geschäftshaus Lebram,,https://denkmaldatenbank.berlin.de/daobj.php?obj_dok_nr=09035407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23463553,,,,,,,"POLYGON ((13.3136098 52.490476, 13.3132697 52.4907068, 13.3132017 52.4906868, 13.3130593 52.4906448, 13.3130094 52.4907069, 13.3131425 52.4907449, 13.313193 52.4907593, 13.3130989 52.4908245, 13.3130975 52.4908275, 13.3130979 52.4908306, 13.3130991 52.4908342, 13.3131609 52.4908686, 13.3131671 52.4908699, 13.3131737 52.4908701, 13.3131799 52.4908686, 13.3136904 52.4905191, 13.3136925 52.4905161, 13.3136923 52.4905123, 13.3136906 52.4905095, 13.3136254 52.490475, 13.3136201 52.4904743, 13.3136151 52.4904746, 13.3136098 52.490476))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,5,1,4,,,,,"[254097166, 254097167, 10152455420, 254097168, 254097170, 10152455419, 254097171, 254097172, 10868928838, 10868928839, 10868928840, 10868928841, 10868928842, 10868928843, 254097173, 254097174, 10868928836, 10868928837, 10868928835, 10868928834, 10868928833, 10868928832, 254097166]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23492513,,IKEA,Q54078,en:IKEA,Mo-Sa 10:00-21:00,yes,"POLYGON ((13.2132711 52.5288651, 13.2129517 52.528087, 13.2140024 52.5279339, 13.2138517 52.5275817, 13.2144968 52.5274867, 13.2144858 52.5274593, 13.2147493 52.527421, 13.2147624 52.5274452, 13.2153206 52.5273622, 13.2153659 52.5274667, 13.2155382 52.5274424, 13.21556 52.5274981, 13.2155732 52.5274979, 13.2155813 52.5275509, 13.215593 52.5275507, 13.2156027 52.5276034, 13.2156145 52.5276032, 13.2156239 52.5276552, 13.2156369 52.5276554, 13.2156458 52.5277053, 13.2158135 52.5276804, 13.2161058 52.5284204, 13.2146742 52.5286311, 13.2146886 52.5287205, 13.2144837 52.5287601, 13.214347 52.5287831, 13.2142199 52.5288039, 13.214072 52.5288214, 13.2138829 52.5288416, 13.2138377 52.5287823, 13.2132711 52.5288651))",Berlin,DE,10,13597,Gewerbehof,Wilhelmstadt,IKEA,,,IKEA,,,,,,,,,,,,,,,,,,,,,,,,http://www.ikea.de/Berlin-Spandau,,,,,,,,furniture,,,,,,,,,,,yes,+49 6192 9399999,,,,,,,,,,,,,,,,,,,,,,,,commercial,10,,,,,,flat,"[254402070, 254402071, 254402072, 254402073, 1328306394, 9735117129, 9735117130, 9735117131, 254402074, 254402075, 254402076, 9735117128, 9735117121, 9735117127, 9735117122, 9735117126, 9735117123, 9735117125, 9735117124, 254402077, 254402078, 254402079, 254402080, 254402081, 1325639239, 1325639253, 1325639255, 1325639251, 254402082, 254402083, 254402070]",2,,,,metal,#0051BA,,,,,IKEA Berlin-Spandau,,,,,,,,,,,Berlin-Spandau,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23654481,,,,,,,"POLYGON ((13.3859152 52.5306223, 13.3856174 52.5304993, 13.3856215 52.5304954, 13.3855831 52.5304806, 13.3855127 52.5305457, 13.385503 52.5305547, 13.3854826 52.5305736, 13.3852151 52.5304958, 13.3852677 52.5304485, 13.3851597 52.5304038, 13.3851626 52.5304012, 13.3848935 52.5302889, 13.3851455 52.5300639, 13.3851394 52.5300615, 13.3851374 52.5300603, 13.3851363 52.5300586, 13.3851363 52.5300569, 13.3851374 52.5300553, 13.3851457 52.5300478, 13.3851477 52.5300466, 13.3851504 52.5300459, 13.3851532 52.530046, 13.3851559 52.5300466, 13.385162 52.5300492, 13.3852152 52.5300017, 13.3853576 52.5300615, 13.3854123 52.5300845, 13.385393 52.5301017, 13.3853831 52.5301106, 13.3852793 52.5302032, 13.3853617 52.530237, 13.3853275 52.5302674, 13.3852943 52.5302969, 13.3855747 52.5304131, 13.3856018 52.5303882, 13.3856538 52.5304097, 13.3856726 52.5303928, 13.3857158 52.5304105, 13.3857191 52.5304074, 13.385726 52.5304103, 13.3861422 52.5305825, 13.386139 52.5305855, 13.386181 52.5306025, 13.3861795 52.5306037, 13.3860364 52.5307291, 13.3858687 52.530681, 13.3858615 52.530679, 13.3858549 52.530677, 13.3859152 52.5306223))",Berlin,,,,,,,,,,,,,,,,,Geoportal Berlin / ALKIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,sandybrown,,,,"[2309384560, 4221528031, 4221528027, 256265065, 4221528048, 4221528052, 4221528061, 4221528028, 4221528005, 4221527987, 4221527986, 4221527974, 4221527923, 4221527919, 4221527917, 4221527916, 4221527915, 4221527914, 4221527911, 4221527909, 4221527906, 4221527907, 4221527910, 4221527912, 4221527894, 4221527920, 4221527935, 4221527939, 4221527940, 4221527958, 4221527966, 4221527967, 256265067, 256265062, 256265061, 4221527990, 256275523, 4221527991, 256265066, 256265064, 256275521, 4221528065, 256275519, 4221528069, 4221528102, 4221528093, 4221528092, 4221528090, 2309384560]",7,,,,,wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23654490,,,,,,,"POLYGON ((13.3863003 52.5305305, 13.3863592 52.5304785, 13.3863752 52.5304964, 13.386384 52.5305002, 13.3865245 52.530541, 13.3863773 52.5307322, 13.386182 52.5306764, 13.3861229 52.5307536, 13.3861188 52.5307524, 13.3860364 52.5307291, 13.3861795 52.5306037, 13.3862198 52.5306204, 13.3863133 52.5305361, 13.3863003 52.5305305))",,,,,,,,,,,,,,,,,,Geoportal Berlin / ALKIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,"[4221528042, 4221528018, 256274476, 256274477, 256275763, 256275761, 4221528089, 4221528109, 4221528108, 4221528102, 4221528069, 4221528073, 4221528046, 4221528042]",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23654499,,,,,,,"POLYGON ((13.384573 52.530738, 13.3846104 52.5307486, 13.3845954 52.5307687, 13.3845321 52.5308534, 13.3845285 52.5308583, 13.3844061 52.5308243, 13.3842838 52.5307903, 13.3844864 52.5305462, 13.3846537 52.5303294, 13.3847123 52.530346, 13.3847237 52.5303493, 13.3846787 52.5304111, 13.3846715 52.5304087, 13.3846498 52.5304377, 13.3848079 52.5304844, 13.3847535 52.5305571, 13.3847358 52.5305809, 13.3847344 52.5305827, 13.3846 52.5305445, 13.3845826 52.5305699, 13.3845657 52.5305717, 13.3845219 52.5306305, 13.3845286 52.5306392, 13.3845121 52.5306413, 13.3844691 52.530701, 13.3844758 52.5307102, 13.3845186 52.5307224, 13.3845241 52.5307153, 13.3845788 52.53073, 13.384573 52.530738))",,,,,,,,,,,,,,,,,,Geoportal Berlin / ALKIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,"[4221528104, 4221528107, 4221528113, 4221528137, 256276061, 1552071537, 4221528116, 4221528049, 4221527979, 256275962, 1471137920, 1471137921, 4221527989, 4221528000, 4221528021, 4221528053, 4221528063, 4221528064, 256277181, 256277175, 4221528060, 4221528076, 4221528078, 4221528081, 4221528095, 256277180, 4221528099, 4221528098, 256275960, 4221528104]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23695957,,,,,,,"POLYGON ((13.4110472 52.531736, 13.4110426 52.531738, 13.4110692 52.5317758, 13.4110952 52.5317661, 13.4111549 52.5318226, 13.4114938 52.531695, 13.4114668 52.5316692, 13.4117095 52.5315754, 13.411713 52.5315788, 13.4117818 52.5315535, 13.4117942 52.5315489, 13.4117268 52.531481, 13.4116897 52.5314947, 13.4114991 52.5315659, 13.4111755 52.5316868, 13.4110726 52.5317245, 13.4110472 52.531736))",,,,,,,,,,,,,,,,,,Geoportal Berlin / Hausumringe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haus 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,"[3095240363, 3095243029, 3095239862, 3095237253, 3095240365, 3095237851, 3095240146, 3095239246, 3095239346, 9530493569, 3095238158, 3095238649, 3095237250, 3095238159, 3095237854, 3095237656, 3095240363]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23695971,,,,,,yes,"POLYGON ((13.4105494 52.5313415, 13.4107025 52.5312965, 13.4109635 52.531625, 13.411002 52.5316766, 13.4108993 52.5317109, 13.4108787 52.531685, 13.4108328 52.5316985, 13.4105653 52.5313616, 13.4105494 52.5313415))",Berlin,,18-19,10119,Christinenstraße,,Hostel Pfefferbett,,,,,,,,,,,,,,hostel,,,,,,,,,,,,,,,,,,,,+49 30 93935858,,http://www.pfefferbett.de/,wlan,,,,Haus 6,,,,,,,,,,Q111118488,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,"[3095237537, 3095239944, 3095238956, 3095240145, 3095239152, 3095239958, 3095239860, 1964882772, 3095237537]",,,,,,,,,,,,,,,,,,,,,,,,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23695973,,,,,,no,"POLYGON ((13.4101512 52.5314892, 13.4103642 52.5314124, 13.4102522 52.5312898, 13.4102323 52.5312965, 13.4101803 52.5313147, 13.4100782 52.531351, 13.4100311 52.5313674, 13.4101512 52.5314892))",,,,,,,Galerie & Ateliers Mikael Andersen,,,,,,,,,,,,,,gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,Haus 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,"[256584732, 256584727, 256584726, 1952273121, 1952273127, 1952273132, 256584733, 256584732]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23696005,,,,,,,"POLYGON ((13.4104553 52.5321062, 13.4103634 52.5320005, 13.4103818 52.531959, 13.4104264 52.5319429, 13.4104533 52.5319711, 13.4105114 52.5319518, 13.4106109 52.5320537, 13.4104553 52.5321062))",,,,,,,,,,,,,,,,,,Geoportal Berlin / Hausumringe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haus 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,"[3095238350, 3095239461, 3095239870, 3095239866, 3095239351, 3095239869, 3095238163, 3095238350]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23710540,,,,,,,"POLYGON ((13.4094195 52.5329587, 13.4093851 52.5329255, 13.4093083 52.53285, 13.4095018 52.5327771, 13.4095094 52.5327572, 13.4095455 52.5327433, 13.4098601 52.5330395, 13.4098899 52.5330737, 13.4096363 52.5331709, 13.4095981 52.5331338, 13.409581 52.5331166, 13.4096242 52.5331013, 13.4096275 52.533104, 13.4097203 52.5330677, 13.4097292 52.5330392, 13.4096047 52.5329174, 13.4095645 52.532904, 13.4094195 52.5329587))",Berlin,DE,73a,10119,Zionskirchstraße,Prenzlauer Berg,Maschinenraum,,,,,,,,,,,Geoportal Berlin / Hausumringe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,"[3095238575, 3095238183, 3095239277, 3095237564, 3095237378, 3095237761, 3095238579, 3095239369, 3095245131, 3095244929, 3095237991, 3095244329, 3095237180, 3095239056, 3095243050, 3095237273, 3095237271, 3095238575]",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23711084,clinic,,,,,,"POLYGON ((13.413864 52.5267482, 13.4138889 52.5267838, 13.4139818 52.5268122, 13.4141617 52.5268665, 13.4143128 52.5268224, 13.4144571 52.52678, 13.4143781 52.5266824, 13.4141629 52.5267419, 13.4140766 52.5267142, 13.4140557 52.5267223, 13.4140333 52.526705, 13.413864 52.5267482))",Berlin,DE,18,10178,Weydingerstraße,,Ärztehaus,,,,,,,,,,,,,,,2022-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,commercial,,,,,,,flat,"[256754864, 3730322726, 885959496, 256754865, 885959743, 256754866, 256754867, 256754868, 3730321724, 3730322725, 256754869, 256754864]",5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23723131,,,,,,,"POLYGON ((13.4116577 52.5228323, 13.4117426 52.5228867, 13.411764 52.5229005, 13.4118451 52.5229526, 13.4119137 52.5229227, 13.4120393 52.5228675, 13.4121643 52.5228125, 13.4124785 52.5226749, 13.4123572 52.5225964, 13.4122142 52.5225038, 13.4116577 52.5228323))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,2,,,,,,"[256898619, 9075938658, 768038188, 256898569, 2348038058, 2348038053, 2348038049, 256898620, 768038180, 256898621, 256898619]",3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23787721,,,,,,,"POLYGON ((13.4773077 52.4875331, 13.4778051 52.487173, 13.4776514 52.4870943, 13.477154 52.4874544, 13.4773077 52.4875331))",,,,,,,Haus Zenner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,"[257744256, 257744257, 257744258, 257744259, 257744256]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23853280,,,,,Mo-Fr 11:00-20:00; Sa 10:00-19:00,yes,"POLYGON ((13.4215873 52.5196677, 13.4217534 52.5196176, 13.4217597 52.5196249, 13.4217556 52.5196263, 13.4219406 52.519858, 13.4219426 52.5198605, 13.4219564 52.5198635, 13.4219943 52.5199109, 13.4220364 52.5199635, 13.4220278 52.519967, 13.4220253 52.5199637, 13.4216378 52.5200815, 13.4215547 52.5199824, 13.4217848 52.5199137, 13.4215873 52.5196677))",Berlin,DE,32,10178,Karl-Marx-Allee,Mitte,Camp4,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.camp4.de,,,,,,,+4930322966200,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File:Schillingstraße.jpg,,,,,commercial,,,,grey,,tar_paper,flat,"[3213715331, 3213715328, 3213715329, 3213715330, 10747330432, 3213715349, 3213715350, 282765166, 3213715368, 3213715370, 3213715369, 3213715393, 3213715374, 3213715360, 3213715331]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23853298,,,,,,,"POLYGON ((13.4185448 52.5192701, 13.4186081 52.5191782, 13.4190243 52.5192862, 13.4190296 52.51928, 13.4190906 52.5192965, 13.4190184 52.5193972, 13.4189571 52.519383, 13.4189608 52.519378, 13.4185448 52.5192701))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,"[3213715248, 3213715220, 3213715252, 3213715251, 3213715255, 3213715275, 3213715271, 3213715268, 3213715248]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
