element_type,osmid,amenity,name,wheelchair,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,contact:phone,opening_hours,addr:housename,contact:email,contact:fax,contact:website,government,note,office,official_name,old_name,toilets:wheelchair,website,wikidata,wikipedia,email,fax,phone,note:de,toilets,wheelchair:description,source,alt_name,townhall:type,start_date,check_date:opening_hours,tourism,nodes,building,building:levels,roof:colour,roof:shape,roof:levels,opening_hours:signed,roof:material,heritage,heritage:operator,lda:criteria,ref:lda,building:colour,building:material,addr:place,name:prefix,baby_feeding,operator,smoking,ways,name:de,name:en,type,architect,heritage:website,architect:wikidata,ele,name:ru,wikimedia_commons
way,24230424,townhall,Michael-Brückner-Haus,yes,"POLYGON ((13.5105764 52.456273, 13.5109701 52.4561447, 13.510905 52.4560658, 13.5107868 52.4559954, 13.510477 52.456203, 13.5105006 52.4562139, 13.5104788 52.4562254, 13.5105412 52.4562703, 13.5105568 52.4562641, 13.510567 52.4562606, 13.5105764 52.456273))",,,1,,Michael-Brückner-Straße,,,"Mo 07:30-15:30; Tu,Th 10:00-18:00; We 07:30-14:00; Fr 07:30-13:00",,,,,,,,,,,,,,,,,,,,,Bürgeramt II Treptow-Köpenick,,,2023-05-02,,"[262353653, 262353654, 262353656, 262353658, 262353660, 1806879051, 298087065, 1806879052, 1362779090, 9087022508, 262353653]",public,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24271931,townhall,Rathaus Mitte,yes,"POLYGON ((13.4238473 52.521094, 13.4237286 52.5209451, 13.4229945 52.5211618, 13.4229862 52.5211513, 13.4231955 52.5210896, 13.4231623 52.521048, 13.4227726 52.5211631, 13.4228057 52.5212046, 13.42289 52.5211797, 13.4228984 52.5211901, 13.4225741 52.5212858, 13.4226929 52.5214348, 13.4230196 52.5213383, 13.423027 52.5213479, 13.423118 52.5213219, 13.4231101 52.5213116, 13.4233203 52.5212496, 13.4233452 52.5212807, 13.4232805 52.5212999, 13.42343 52.5214872, 13.423758 52.5213903, 13.4236085 52.5212029, 13.4235385 52.5212237, 13.4235136 52.5211925, 13.4238473 52.521094))",Berlin,DE,31,10178,Karl-Marx-Allee,Mitte,,,,,,,,,,,,,,Q21037050,,,,,,,,,,,1998,,,"[262806451, 262806452, 7536587657, 7536587655, 7536587656, 7536587660, 7536587659, 7536587653, 7536587654, 7536587658, 262806453, 262806454, 7536587652, 7536587650, 7536587649, 7536587651, 319564655, 319564656, 319564657, 319564658, 319564659, 319564652, 319564653, 319564654, 262806451]",public,,gray,flat,,,,,,,,,,,,,,,,,,,,,,,,
way,41593922,townhall,Rathaus Tempelhof,yes,"POLYGON ((13.3860081 52.4621447, 13.3861345 52.4626115, 13.3864317 52.4625826, 13.386423 52.4625503, 13.3865952 52.462533, 13.3866276 52.462653, 13.3865226 52.4626635, 13.3864554 52.46267, 13.3861505 52.4626997, 13.3861552 52.4627233, 13.3861392 52.4627248, 13.3862159 52.4630339, 13.3861244 52.4630423, 13.3861358 52.4630883, 13.3860957 52.463092, 13.3860843 52.463046, 13.3858927 52.4630637, 13.3858282 52.4628036, 13.3859276 52.4627944, 13.3859167 52.4627506, 13.385852 52.4627566, 13.3858389 52.4627039, 13.3858356 52.4626909, 13.3858231 52.4626409, 13.3859043 52.4626334, 13.3857875 52.4621649, 13.3860081 52.4621447))",Berlin,DE,165,12099,Tempelhofer Damm,Tempelhof,,,,,,,,,,,,,,Q29475540,,,,+49 30 902770,,,,Geoportal Berlin / Hauskoordinaten,,,,2022-08-23,,"[510647209, 412120080, 2301516669, 2301516641, 412120081, 412120083, 9547101598, 9547101600, 412120084, 2301516676, 2301516680, 412120085, 3167163912, 3167163916, 3167163917, 3167163913, 412120086, 2301516692, 2301516690, 2823085755, 2301516685, 5581097369, 5587090705, 412120087, 412120088, 510647206, 510647209]",civic,4,,,1,no,,,,,,,,,,,,,,,,,,,,,,
way,43998953,townhall,Rathaus,yes,"POLYGON ((13.6035424 52.5371129, 13.6034503 52.537135, 13.6033003 52.5372069, 13.6033555 52.537222, 13.6033125 52.5372407, 13.6033171 52.5372441, 13.6030184 52.5373794, 13.603247 52.5375569, 13.6037481 52.5373226, 13.6038119 52.5373397, 13.6039791 52.5373839, 13.6043098 52.5374654, 13.60434 52.5373213, 13.6040209 52.5372375, 13.6035424 52.5371129))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[295796622, 5079323314, 5079323313, 5079323312, 5079323311, 5079323310, 5079323309, 559461813, 295796626, 559486136, 295796627, 559461833, 295796621, 734949876, 295796622]",yes,6,,,,,,,,,,,,,,,,,,,,,,,,,,
way,64916171,townhall,Rathaus Schmargendorf,limited,"POLYGON ((13.2882804 52.4775538, 13.2882987 52.477688, 13.2881203 52.4776973, 13.288122 52.4777187, 13.2880222 52.4777197, 13.2880228 52.4777034, 13.2879188 52.4777079, 13.2878966 52.4777305, 13.2879336 52.4777449, 13.2879296 52.4777642, 13.2878314 52.4778555, 13.2878464 52.4778638, 13.2878071 52.4778901, 13.2877921 52.4778818, 13.2877639 52.4779047, 13.2876057 52.4778332, 13.2876582 52.4777908, 13.287645 52.4777795, 13.2876445 52.4777601, 13.2876677 52.477747, 13.2876935 52.4777501, 13.2877887 52.4776695, 13.2877969 52.4776748, 13.287842 52.4776335, 13.2878629 52.4776302, 13.287856 52.4775657, 13.2880017 52.4775566, 13.2880005 52.4775493, 13.2880419 52.4775467, 13.288088 52.4775438, 13.2880892 52.4775511, 13.2881494 52.4775473, 13.2881529 52.4775592, 13.2882804 52.4775538))",,,,,,,,,,,,,,,,,,,,Q1269224,de:Rathaus Schmargendorf,,,,,,,,,,1902,,,"[795561477, 795561482, 3722096646, 3722096649, 795561486, 3722096647, 3722096648, 3722096650, 3722096651, 3722096655, 3722096658, 3722096659, 3722096661, 3722096660, 795561491, 795561495, 3722096657, 3722096656, 3722096654, 3722096652, 3722096653, 3722096644, 3722096645, 3722096643, 3722096642, 2967233334, 3722096640, 3722096638, 3722096636, 3722096635, 3722096639, 3722096637, 3722096641, 795561477]",yes,,,,,,,4,lda,Baudenkmal,09070268,,,,,,,,,,,,,,,,,
way,108511699,townhall,Begegnungsstätte Falckensteinstraße,,"POLYGON ((13.4425856 52.4996357, 13.4424756 52.499518, 13.4425493 52.4994941, 13.4425602 52.4995074, 13.4428419 52.4993977, 13.4428665 52.499426, 13.4428961 52.4993825, 13.4429421 52.4993902, 13.4428861 52.4994462, 13.4429374 52.499508, 13.442905 52.499528, 13.4428654 52.499546, 13.4425856 52.4996357))",Berlin,DE,6,10997,Falckensteinstraße,Kreuzberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5489585537, 5489585536, 5489585535, 5489585534, 5489585533, 5489585532, 5489585531, 5489585530, 5489585529, 5489585528, 5489585527, 5489585526, 5489585537]",residential,1,,,,,,,,,,,,,,,,,,,,,,,,,,
way,135405919,townhall,Bürgeramt Tempelhof,limited,"POLYGON ((13.3853306 52.461946, 13.3853915 52.462198, 13.3855747 52.4621827, 13.3857875 52.4621649, 13.3860081 52.4621447, 13.3870125 52.4620523, 13.3870245 52.4620512, 13.3869625 52.4617889, 13.3868274 52.461801, 13.3868714 52.4619824, 13.3855779 52.4620988, 13.3855506 52.4619861, 13.3855362 52.4619874, 13.385522 52.4619288, 13.3853306 52.461946))",,,165,,Tempelhofer Damm,,,"Mo, We 08:00-15:00; Tu, Th 10:00-18:00; Fr 08:00-13:00",,,,,,,,,,,,,,,,,,,,,,,,,,"[1487113832, 1487113709, 9486938371, 510647206, 510647209, 2301566578, 30028225, 1487113688, 1487113887, 1487113738, 1487113803, 1487113809, 1487113864, 2301516638, 1487113832]",civic,4,,,1,,,,,,,,,,,,,,,,,,,,,,,
way,252904411,townhall,Rathaus Reinickendorf,yes,"POLYGON ((13.3244204 52.5899102, 13.3241756 52.5896328, 13.3241194 52.5896502, 13.324013 52.5895366, 13.3242834 52.5894511, 13.3241952 52.5893589, 13.324104 52.5892569, 13.3239699 52.5890961, 13.3236555 52.5891793, 13.3236139 52.5891201, 13.323569 52.5890593, 13.323889 52.5889754, 13.32377 52.5887837, 13.3236732 52.5885873, 13.3232863 52.5886562, 13.3232108 52.5885404, 13.3235754 52.5884752, 13.3236118 52.5884691, 13.3236389 52.5885164, 13.3238461 52.5884734, 13.3238722 52.5885251, 13.3239396 52.5886679, 13.3240452 52.5888561, 13.3241021 52.5889458, 13.3241336 52.588989, 13.3241987 52.5890782, 13.3243498 52.5892565, 13.3245123 52.5894301, 13.3245433 52.5894603, 13.3245687 52.5894884, 13.3242734 52.5895839, 13.3245166 52.5898607, 13.3245312 52.5898751, 13.3244204 52.5899102))",Berlin,DE,215-239,,Eichborndamm,,,,Bezirksamt Reinickendorf von Berlin,,,,,Büro des Bezirksbürgermeisters,,,,,,Q78069986,,,,,,,,,,,1911,,,"[9471418490, 2589205512, 2589205513, 173066937, 173066942, 9471418491, 173066945, 173066948, 173066952, 5738797566, 173066957, 173066961, 9471418492, 173066970, 173066972, 173066975, 5754621430, 173066979, 2589205347, 173066893, 2589205354, 2589205384, 173066897, 2589205445, 2889844076, 2589205461, 9471418493, 2589205496, 2589205503, 173066902, 173066905, 173066908, 9471418476, 9471418490]",public_building,4,,hipped,1,,,4,lda,Baudenkmal,09011921,,,,,,,,,,,,,,,,,
way,252929824,townhall,Bürgeramt Weißensee,limited,"POLYGON ((13.4675845 52.5602585, 13.4675587 52.560263, 13.4674564 52.5600794, 13.4675412 52.5600661, 13.4675389 52.5600609, 13.4677353 52.5600175, 13.4677378 52.5600223, 13.4678207 52.5600044, 13.4678282 52.5600152, 13.4679201 52.5601809, 13.4679255 52.5601896, 13.4678128 52.5602155, 13.4681406 52.5608103, 13.4679165 52.5608571, 13.4675845 52.5602585))",Berlin,DE,252-260,13088,Berliner Allee,Weißensee,,"Mo 07:30-16:00; Tu,Th 09:30-18:00; We 07:30-14:00; Fr 08:00-13:00",Rathaus Weißensee,,,,,siehe Relation für Details,,Bezirksamt Pankow von Berlin - Bürgeramt Weißensee,Rathaus Weißensee,yes,,,,,,,,,Zugang über den Hof. Zum Bürgeramt Fahrstuhl hinter dem Müllstandort nutzen,,,,,,,"[2918131641, 2918131910, 2918131632, 2918131631, 2918131628, 2918131523, 2918131708, 2918131520, 2918131522, 2918131637, 2918131530, 2918131638, 2918132214, 2918131458, 2918131641]",public_building,4,,,,,,,,,,,,,,,,,,,,,,,,,,
way,311048538,townhall,Bezirksamt Mitte,yes,"POLYGON ((13.337882 52.5267678, 13.3379087 52.5268696, 13.3380113 52.5272937, 13.3382384 52.5272734, 13.3382076 52.5271441, 13.3384394 52.5271215, 13.3384515 52.5271704, 13.3384982 52.5272856, 13.3386366 52.5272723, 13.338619 52.527154, 13.3386058 52.5271041, 13.3388111 52.5270833, 13.3388196 52.5272146, 13.3390452 52.5272076, 13.3390073 52.5266747, 13.3387832 52.5266799, 13.338812 52.5269168, 13.3388147 52.5269389, 13.3388192 52.5269751, 13.3385081 52.5270044, 13.338182 52.5270379, 13.3381677 52.5269785, 13.338112 52.5267472, 13.337882 52.5267678))",Berlin,DE,1,10551,,Moabit,+49 30901820,"Mo,Tu 08:00-15:00; We 07:00-14:00; Th 11:00-18:00; Fr 07:00-14:00",,,,,,,,,,yes,http://service.berlin.de/standort/122282/,Q2132623,,,,,,,Ebenerdiger Zugang zu Fahrstuhl befindet sich 10m rechts vom Haupteingang.,,Rathaus Tiergarten;Bürgeramt Tiergarten;Bürgeramt Rathaus Tiergarten,district,,,,"[29927239, 2304896091, 3095075535, 3095075534, 3095075629, 3165856720, 5768996411, 3095075729, 3095075533, 5768996412, 3165856721, 3095075430, 3095075532, 3095075631, 29927237, 3165865914, 3165865911, 6920505738, 348283015, 1776326062, 348283013, 3165865906, 348283011, 29927239]",public,5,,hipped,,,,4,lda,,09050351,,,Mathilde-Jacob-Platz,Bürgeramt im,,,,,,,,,,,,,
way,326471591,townhall,Rathaus Pankow,limited,"POLYGON ((13.4017943 52.5688867, 13.4017725 52.5688835, 13.4017118 52.5690268, 13.4020032 52.5690766, 13.4020069 52.5690928, 13.4020188 52.5690979, 13.4021033 52.5691079, 13.4021213 52.5691032, 13.4021462 52.5690477, 13.4023308 52.569077, 13.4023178 52.569102, 13.402326 52.5691134, 13.4023814 52.5691203, 13.4024002 52.569109, 13.4024367 52.5691147, 13.4024757 52.5691223, 13.4024819 52.5691362, 13.4025201 52.569143, 13.4025364 52.5691345, 13.4025439 52.569115, 13.4027295 52.5691364, 13.4027253 52.5691564, 13.4028351 52.5691714, 13.4028677 52.5690991, 13.4028486 52.5690954, 13.4029573 52.568837, 13.4027457 52.5688028, 13.4026736 52.568969, 13.402325 52.5689178, 13.4023423 52.5688705, 13.4022035 52.5688509, 13.4021501 52.5689714, 13.4019781 52.5689459, 13.40199 52.5689223, 13.4017943 52.5688867))",,,,,,,+49 30 902950,"Mo 08:00-15:00; Tu,Th 11:00-18:00; We,Fr 08:00-13:00",,,,http://www.berlin.de/ba-pankow,,Büro des Bezirksbürgermeisters,,,,,,Q2132595,de:Rathaus Pankow,,,,,,,,,,1903,,,"[3331187072, 8545764156, 3331187078, 3331187083, 3331187084, 3331187085, 3331187087, 3331187086, 3331187080, 3331187082, 3331187092, 8545764157, 3331187194, 3331187088, 1776808269, 3331187195, 3331187196, 3331187198, 7361694731, 3331187091, 3331187197, 3331187199, 3331187089, 8545764158, 8545764159, 3331187064, 3331187061, 3331187077, 3331187074, 3331187068, 3331187066, 3331187065, 8545764161, 3905666778, 3331187072]",public_building,,,,,,,4,lda,Baudenkmal,09085245,,,,,,,,,,,,,,,,,
way,335696666,townhall,Rathaus Zehlendorf,yes,"POLYGON ((13.2576486 52.433435, 13.2578528 52.4333877, 13.2579802 52.4333582, 13.2583095 52.4332821, 13.2583089 52.4332808, 13.2582956 52.4332597, 13.2588243 52.4331373, 13.2588642 52.4332024, 13.2588882 52.433242, 13.2591644 52.4331781, 13.2591396 52.4331382, 13.2590507 52.4329945, 13.2589731 52.4328692, 13.2589593 52.4328723, 13.2589401 52.4328404, 13.2589387 52.4328383, 13.2586604 52.4328615, 13.2585534 52.4328702, 13.2585611 52.4329074, 13.258603 52.4329759, 13.2586884 52.432956, 13.2587498 52.4330565, 13.2587214 52.4330627, 13.2587308 52.4330778, 13.2587039 52.4330842, 13.2586933 52.433067, 13.2582817 52.4331623, 13.2582971 52.4331866, 13.258256 52.4331962, 13.2581471 52.4330226, 13.2580612 52.4330424, 13.2579934 52.4329326, 13.2580487 52.4329197, 13.2579885 52.4328224, 13.2580095 52.4328176, 13.2579251 52.4326807, 13.2578586 52.4326961, 13.2578505 52.4326829, 13.2576707 52.4327242, 13.2576959 52.4327645, 13.2576745 52.4327694, 13.2577672 52.4329199, 13.2579018 52.4328889, 13.2579349 52.4329426, 13.2575509 52.4330306, 13.2575378 52.4330096, 13.2575982 52.4329954, 13.2575956 52.4329908, 13.2575985 52.4329901, 13.2575695 52.4329432, 13.2575664 52.4329438, 13.2572888 52.4324964, 13.2571179 52.4325361, 13.2571328 52.4325584, 13.2574174 52.4330184, 13.2574278 52.4330351, 13.257455 52.4330286, 13.2574684 52.4330499, 13.2571716 52.433118, 13.2571797 52.4331309, 13.2571393 52.4331401, 13.2570525 52.4330013, 13.2568943 52.4330381, 13.2568685 52.4329964, 13.256891 52.4329915, 13.2568378 52.4329055, 13.2567697 52.4329212, 13.2567613 52.4329077, 13.2566206 52.4329399, 13.2566468 52.4329814, 13.2566012 52.4329918, 13.2566542 52.4330776, 13.2567454 52.4330567, 13.2567543 52.433071, 13.2567793 52.4331124, 13.2567569 52.4331175, 13.256778 52.4331515, 13.2567871 52.4331661, 13.2567963 52.4331811, 13.2568702 52.4333002, 13.2569387 52.4332846, 13.2569474 52.4332985, 13.2570826 52.4332672, 13.2570898 52.4332765, 13.2570939 52.4332835, 13.2570986 52.4332913, 13.2571253 52.4333362, 13.2572884 52.4332985, 13.2572526 52.4332403, 13.2571846 52.4332557, 13.2571767 52.4332433, 13.2571522 52.4332032, 13.2571751 52.4331976, 13.2575456 52.4331128, 13.2575722 52.4331557, 13.2574868 52.4331752, 13.2575779 52.4333214, 13.2576486 52.433435))",Berlin,,1/3,14163,Kirchstraße,,,,,,,,,,,,,,http://www.steglitz-zehlendorf.de/,Q36692531,,,+49 30 90299 3382,+49 30 90299 0,,,,,,,1929-04-20,,,"[3428047334, 3995395578, 4557110107, 3428047328, 355180034, 3428047326, 3428047307, 3428047319, 3428047322, 3428047314, 3428047308, 4557110098, 3428047253, 3428047255, 3428070324, 3428047249, 3428047252, 3428047254, 3428047259, 3428047271, 3428047270, 3428047291, 3428047292, 3428047298, 3428047299, 3428047293, 3428047312, 3428047315, 3428047317, 3428047282, 3428047287, 3428047264, 3428047262, 3428047246, 3428047244, 3428047229, 3428047233, 3428047232, 3428047235, 3428047238, 3428047241, 3428047261, 3428047257, 3428047266, 3428047284, 3428047280, 3428047277, 3428047274, 3428047273, 3428047267, 3428047268, 3428047204, 3428047210, 3995394870, 3995394943, 3428047285, 3428047283, 3428047288, 3428047304, 3428047306, 3428047309, 3428047279, 3428047286, 3428047278, 3428047275, 3428047258, 3428047263, 3428047260, 3428047265, 3428047272, 3428047276, 3428047297, 3428047290, 3428047295, 3428047301, 3428047303, 3995394949, 3428043082, 3995394952, 355180138, 3428047329, 3428047330, 3428047327, 3995395561, 3995395562, 3995395563, 3428047333, 3428047331, 3428047321, 3428047325, 3428047323, 3428047320, 3428047318, 3428047302, 3428047311, 3428047313, 3994237687, 3428047334]",,,,,,,,,,,,,,,,no,Bezirksamt Steglitz-Zehlendorf von Berlin,no,,,,,,,,,,
way,1027361076,townhall,Rathaus Reinickendorf,yes,"POLYGON ((13.3247172 52.589978, 13.324688 52.589944, 13.3244881 52.5900071, 13.3244076 52.5899138, 13.3244204 52.5899102, 13.3245312 52.5898751, 13.3245166 52.5898607, 13.3247997 52.5897664, 13.3247888 52.5897542, 13.3249296 52.5897091, 13.3249547 52.5897398, 13.3250124 52.589722, 13.3249321 52.5896332, 13.3248889 52.5896456, 13.3247576 52.5894984, 13.3248024 52.5894842, 13.3248276 52.589509, 13.3248729 52.5894952, 13.3249632 52.5894658, 13.3250282 52.5895439, 13.3252218 52.5897656, 13.3249991 52.5898381, 13.3250061 52.5898484, 13.3249042 52.5898812, 13.3249279 52.5899084, 13.3247172 52.589978))",Berlin,DE,215-239,,Eichborndamm,,,,Bezirksamt Reinickendorf von Berlin,,,,,Büro des Bezirksbürgermeisters,,,,,,Q78069986,,,,,,,,,,,1911,,,"[3780963061, 2589205520, 173066936, 9471418489, 9471418490, 9471418476, 173066908, 2589205518, 2589205517, 2589205515, 2589205516, 173066910, 173066915, 173066920, 173066922, 2589205508, 9471418497, 2589205504, 173066927, 2589205511, 2589205509, 2589205519, 9471418439, 9471418440, 9471418436, 3780963061]",public_building,4,,gabled,2,,,4,lda,Baudenkmal,09011921,,,,,,,,,,,,,,,,,
