element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,name,phone,toilets:wheelchair,website,wheelchair,geometry,brand,brand:wikidata,brand:wikipedia,opening_hours,description,short_name,wikidata,contact:website,screen,check_date,contact:phone,drink:club-mate,wheelchair:description,check_date:opening_hours,alt_name,operator,payment:credit_cards,payment:debit_cards,payment:girocard,payment:maestro,payment:mastercard,payment:visa,opening_hours:signed,level,fee,contact:email,operator:type,contact:facebook,wikipedia,image,addr:place,email,facebook,instagram,twitter,barrier,wheelchair:description:de,wheelchair:description:en,shop,payment:cash,mapillary,note,deaf:description:de,deaf:description:en,drive_in,open_air,cinema:type,official_name,nodes,old_name,dog,architect,building,cinema:3D,heritage,heritage:operator,ref:lda,roof:shape,start_date,source,building:colour,building:levels,building:material,roof:colour,operator:wikidata,contact:fax,roof:levels,air_conditioning,contact:google_plus,fax,lda:criteria,name:de,name:en
node,494156434,Berlin,DE,25A,10249,Richard-Sorge-Straße,Friedrichshain,cinema,Tilsiter Lichtspiele,,,,no,POINT (13.447355 52.5207515),,,,"Mo-Fr 16:00-24:00+, Sa,Su 14:00-24:00+",,,Q1483262,https://www.tilsiter-lichtspiele.de/,,,+49 30 4268129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,609911082,Berlin,DE,21,10119,Veteranenstraße,Mitte,cinema,ACUDkino,,,,no,POINT (13.4008151 52.5336588),,,,,Arthouse-Kino im ACUD,,Q288846,https://acudkino.de/,,,+49 30 44359498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,638313755,Berlin,DE,12,12489,Friedenstraße,Adlershof,cinema,Casablanca,+49 30 67 75 752,no,http://www.casablanca-berlin.de,yes,POINT (13.547897 52.435842),,,,,,,Q34965979,,,,,,,,,,,,,,,,,,,,,,,,,casablanca-berlin@gmx.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,660899079,Berlin,DE,2,10997,Mariannenplatz,Kreuzberg,cinema,Freiluftkino Kreuzberg,,yes,,yes,POINT (13.4234804 52.5040614),,,,"""Nur im Sommer, Filmstart nach Einbruch der Dunkelheit. """,,,,http://www.freiluftkino-kreuzberg.de,,,+49 30 29361628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,662864720,Berlin,DE,70,12053,Rollbergstraße,Neukölln,cinema,Rollberg Kino,,,,limited,POINT (13.4280286 52.4787966),,,,,,,Q47089256,https://yorck.de/kinos/rollberg,5,2023-03-23,+49 30 322 931 322,,,,,Yorck Kinogruppe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,675243681,Berlin,DE,5,10785,Potsdamer Straße,Tiergarten,cinema,CinemaxX,+49 30 25921111,yes,https://www.cinemaxx.de/Home?SwitchCinemaId=12,limited,POINT (13.3737448 52.5086444),Cinemaxx,Q881860,de:CinemaxX,,,,,,,,,,"Bitte vorher genau Prüfen, ob der Saal (genug) Rollstuhlplätze hat.",,,,,,,,,,,,,,,,,,,,,,,,Wegen der Evakuierungsregeln sind im Saal 9+10 keine Rollstühle erlaubt.,Due to evacuation-rules: Wheelchairs are not allowed in Room 9 +10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,792057385,Berlin,DE,10,12627,Heidenauer Straße,Hellersdorf,cinema,Die Kiste,+49 30 9987481,,https://www.kiste.net/kino/,limited,POINT (13.6094676 52.5361682),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,837792482,Berlin,DE,20,12049,Hermannstraße,Neukölln,cinema,Neues Off,,,,no,POINT (13.4244236 52.4834225),,,,,,,Q47089254,https://yorck.de/kinos/neues-off,1,,+49 30 322 931 322,,,,,Yorck Kinogruppe,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,945097267,Berlin,DE,2,10785,Potsdamer Straße,Tiergarten,cinema,arsenal,,,http://www.arsenal-berlin.de/,yes,POINT (13.3734177 52.5095662),,,,"""täglich""",,,Q704465,,,,,,,,,,,,,,,,,,,,,,de:Arsenal (Kino),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,979081268,Berlin,DE,27-28,12163,Gutsmuthsstraße,Steglitz,cinema,Titania-Palast,,,,limited,POINT (13.3266521 52.4641482),,,,"""Kasseneröffnung 30 min vor der ersten Vorstellung""",,,Q2436848,https://www.cineplex.de/berlin-titania/,,,+49 180 5050520,,,,Cineplex Titania,,,,,,,,,,,,,,de:Titania-Palast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1197273317,Berlin,DE,13,13597,Carl-Schurz-Straße,Spandau,cinema,OpenAirKino Spandau,,,,yes,POINT (13.2015024 52.5364431),,,,,,,Q47079340,http://www.openairkino-spandau.de,,,+49 30 3336081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1336816758,Berlin,DE,29,13597,Jüdenstraße,Spandau,cinema,Sweet Secrets,,,,yes,POINT (13.2028074 52.5383336),,,,,,,,,,,,,Erotik Video Verleih.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1426582972,Berlin,DE,,10245,,Friedrichshain,cinema,Zukunft / Pompeji,,,,yes,POINT (13.4654275 52.5016113),,,,"Mo-Fr 17:00-24:00+, Sa 16:00-24:00+",Freiluftkino am Ostkreuz,,,http://kino-zukunft.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1569218585,,,,,,,cinema,Kino Sex Shop,,,,no,POINT (13.4275386 52.4896169),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1787511231,Berlin,,19,10245,Gärtnerstraße,,cinema,b-ware! ladenkino,,no,http://ladenkino.de/,limited,POINT (13.4616485 52.5118751),,,,,,,Q47155923,,3,,,,,2022-11-10,,,,,,,,,no,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1863569258,Berlin,DE,1-5,10407,Bötzowstraße,Prenzlauer Berg,cinema,Filmtheater am Friedrichshain,,yes,,limited,POINT (13.4302735 52.5290306),,,,,,,Q32662590,https://yorck.de/kinos/filmtheater-am-friedrichshain,5,,+49 30 42845188,,Rollstuhlfahrer kommen über den Seiteneingang mit Aufzug ins Gebäude. Großer Saal hat Rollstuhlplätze.,,,Yorck Kinogruppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1934149453,Berlin,DE,12,10623,Bleibtreustraße,Charlottenburg,cinema,filmkunst 66,,yes,http://www.filmkunst66.de,limited,POINT (13.3196567 52.5044255),,,,,,,Q42297620,http://www.filmkunst66.de,,,+49 30 8821753,,Kinosaal 66 1/2 ist Rollstuhlgerecht. Kinosaal 66 ist nicht Rollstuhlgerecht. Es gibt keine Behindertentoilette.,2023-06-03,,Regina Ziegler und Tanja Ziegler GbR,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1965270875,,,,,,,cinema,BE-KAS Sexothek & Kino,,,,no,POINT (13.4295581 52.4838051),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,erotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2160083741,Berlin,DE,10,10623,Kantstraße,Charlottenburg,cinema,Delphi LUX,,yes,,yes,POINT (13.3305818 52.5060698),,,,,,,Q47092839,https://yorck.de/kinos/delphi-lux,7,,+49 30 322931322,,,,,Yorck Kinogruppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2445454963,Berlin,DE,18,10713,Blissestraße,Wilmersdorf,cinema,Eva Lichtspiele,+49 30 92255305,,,limited,POINT (13.3200059 52.484682),,,,,,,Q20184003,http://www.eva-lichtspiele.de,,,,,,,,,,,,,,,,,,,,,de:Eva Lichtspiele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2458223837,Berlin,DE,32,10437,Greifenhagener Straße,Prenzlauer Berg,cinema,Kino Krokodil,,,https://kino-krokodil.de,no,POINT (13.4195677 52.5524434),,,,"""varies according to the monthly program (see website kino-krokodile.de, fliers)""",,,Q47088923,,,,+49 30 44049298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2476268052,Berlin,DE,14,10715,Bundesplatz,Wilmersdorf,cinema,Bundesplatz Studio,+49 30 85406085,,http://www.bundesplatz-kino.de,limited,POINT (13.3293579 52.4789837),,,,,,,Q42297608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2479053617,Berlin,DE,211,10719,Kurfürstendamm,Charlottenburg,cinema,Cinema Paris,,,,yes,POINT (13.3249378 52.5020922),,,,,,,Q42297616,https://yorck.de/kinos/cinema-paris,1,,+49 30 881 31 19,,,,,Yorck Kinogruppe,,,,,,,,,,,,,de:Cinema Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3675973920,Berlin,DE,225,10719,Kurfürstendamm,Charlottenburg,cinema,Astor Film Lounge,+49 30 8838551,,http://www.berlin.astor-filmlounge.de,limited,POINT (13.3300767 52.5032784),,,,,,,Q42297614,,,,,,,,,,,,,,,,,,,,,,de:Liste_der_Kinos_in_Berlin-Charlottenburg#Astor_Filmlounge,,,,,,,,,,,,628321102194007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3817115996,,,,,,,cinema,City Kino Wedding im Centre Français,+49 152 59687921,,http://www.citykinowedding.de,,POINT (13.3395608 52.5585816),,,,"""Nach Spielplan""",,,Q28963572,,,,,,,,,,,,,,,,,,,,,,,,,info@citykinowedding.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4007032909,Berlin,DE,25,13355,Gustav-Meyer-Allee,Gesundbrunnen,cinema,Schneiders Filmclub,,,http://bauinx.guv.tu-berlin.de/index.php/campusleben/unikino,yes,POINT (13.3849172 52.5411019),,,,"""nur zu speziellen vereinzelten Vorstellungen""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Studentisches Kino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4723897691,Berlin,,59,12045,Weserstraße,,cinema,Wolf,,yes,,yes,POINT (13.4419119 52.4826985),,,,"Mo-Fr 10:00-24:00+, Sa,Su 12:00-24:00+",,,Q47164663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4894834027,Berlin,DE,35,10557,Lehrter Straße,Moabit,cinema,umsonst&draussen,+49 30 3844344,yes,http://www.filmrausch.de/#openair,limited,POINT (13.3600061 52.5344522),,,,Jun-Sep: Fr-Sa sunset-01:00 || 22:00-01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filme werden häufig mit Untertiteln vorgeführt.,This cinema regularily offers movies with subtitles.,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5153435222,Berlin,DE,22,12047,Nansenstraße,Neukölln,cinema,Il Kino,,yes,,yes,POINT (13.4330413 52.4916642),,,,Mo-Su 14:00-22:00+,,,Q47089250,https://ilkino.de/,,,+49 30 62903878,,"Die Gastronomie ist ebenerdig, der Kinosaal ist für Rollstuhlfahrer mit Hilfe des Personals über den Notausgang erreichbar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5389518870,,,,,,,cinema,Connection Shop und Kino,,,,limited,POINT (13.3427073 52.4989962),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clothes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6054353037,Berlin,,59,13359,Prinzenallee,,cinema,bi´bak,,,https://bi-bak.de,limited,POINT (13.3851888 52.5577272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6058229939,Berlin,,13,10243,Mildred-Harnack-Straße,,cinema,UCI Luxe Mercedes Platz,,,https://www.mercedes-platz.de/entertainment/uci-luxe,yes,POINT (13.4418072 52.5052642),UCI Kinowelt,Q521922,de:United Cinemas International,,,UCI;UCI Luxe,Q118744391,,,,,,,2022-12-11,,Anschutz Entertainment Group,yes,yes,,,,,no,2,,,,,,http://www.kardorff.de/sites/www.kardorff.de/files/projectimages/uci190527_kar3947.jpg,,mercedesplatz@uci-kinowelt.de,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6582271201,Berlin,,2,10117,Unter den Linden,,cinema,Zeughauskino,,,https://www.dhm.de/zeughauskino/,,POINT (13.3975301 52.5184355),,,,,,,Q196969,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6697621223,Berlin,DE,137,10179,Köpenicker Straße,Mitte,cinema,Videokino Peliculoso,,,,,POINT (13.425995 52.5077791),,,,Mo 21:00-23:30; Th 21:00-23:30,,,,https://koepi137.net/peliculoso.html,1,,,,,,,,,,,,,,,-1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7141376790,Berlin,,55,10405,Straßburger Straße,,cinema,Kino in der Königstadt,,,http://kino-bar.berlin,,POINT (13.413028 52.5294934),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7710353352,Berlin,,1,10243,Franz-Mehring-Platz,,cinema,Hofkino,,,https://hofkino.berlin/,,POINT (13.4405751 52.5127376),,,,,Freiluftkino: Zugang durch den Haupteingang des Vordergebäudes.,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
