element_type,osmid,access,barrier,name,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,contact:phone,operator,website,wheelchair,contact:email,contact:website,opening_hours,smoking,contact:facebook,contact:instagram,contact:linkedin,contact:twitter,contact:xing,contact:youtube,name:en,phone,wikidata,wikipedia,internet_access,internet_access:fee,not:name,old_name,operator:type,start_date,source,alt_name,name:de,short_name,short_name:en,alt_name_1,short_name:de,toilets:wheelchair,url,name:zh,addr:housename,addr:room,description,note,isced:level,image,internet_access:ssid,email,nodes,description:en,landuse,old_name:2009--2021-09-30,building,building:levels,operator:wikidata,roof:shape,type,operator:wikipedia,heritage,heritage:operator,heritage:website,roof:levels,roof:colour,denomination,religion,wikimedia_commons,building:name,ref:lda,contact:fax,name:cs,building:architecture,building:cladding,building:facade:colour,branch,ref,campus,ways,name:etymology:wikidata,lda:criteria
node,2502014632,permissive,,Erdreich,POINT (13.3303286 52.5118736),Berlin,DE,1,10623,Fasanenstraße,Charlottenburg,university,,,https://asta.tu-berlin.de/campus/cafe-erdreich,yes,,,,,https://www.facebook.com/pages/Caf%C3%A9-Erdreich/436195883165585,,,,,,,,,,,,,,,,,,,,,,,,,,Z,Z002,studentischer selbstverwalteter Lern- und Fachschaftsraum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2502014633,,,Zwille,POINT (13.3287375 52.510942),Berlin,DE,135,10623,Straße des 17. Juni,Charlottenburg,university,,,,limited,,http://www.zwille.org/,,no,,,,,,,,,,,,,,,,,,,,,,,,no,,,Z,,,"Erdgeschoss, ein studentischer selbstverwalteter Projektraum; Vokü; etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3417573998,,,FB Veterinärmedizin,POINT (13.2945561 52.4612333),Berlin,DE,20,14195,Koserstraße,Dahlem,university,,Freie Universität Berlin,,,,,,,,,,,,,,,,,,,,,,,,Bauteil B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3428289482,,,CeDiS,POINT (13.27733 52.4482831),Berlin,DE,35-39,14195,Garystraße,Dahlem,university,,Freie Universität Berlin,,,,,,,,,,,,,,,,,,,,,,,,Center für Digitale Systeme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3459210437,,,Technische Abteilung - Referat III D,POINT (13.2917388 52.4523204),Berlin,DE,45,14195,Habelschwerdter Allee,Dahlem,university,,Freie Universität Berlin,,yes,,,,,,,,,,,,,,,,,,,,,,Silberlaube,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4198545324,,,Großbritannien-Zentrum,POINT (13.3877126 52.512124),Berlin,,60,10117,Mohrenstraße,,university,,Humboldt-Universität zu Berlin,https://www.gbz.hu-berlin.de,yes,,,,,,,,,,,Centre for British Studies,,Q1548081,de:Großbritannien-Zentrum,,,,,,,,,Großbritannien-Zentrum,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4383801533,,,SRH Hochschule für populäre Künste,POINT (13.3604031 52.4917013),Berlin,DE,188,10783,Potsdamer Straße,Schöneberg,university,+49 30 233 20 66 10,,,yes,,https://www.hdpk.de/de/startseite/,,,,,,,,,,,,,,,,,,,,,,hdpk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4752986351,,,Institut für Kulturwissenschaft,POINT (13.3939818 52.5203069),Berlin,,47,10117,Georgenstraße,,university,,Humboldt Universität zu Berlin,,yes,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4868588243,,,Zentrum für Transdisziplinäre Geschlechterforschung,POINT (13.3940633 52.5202537),Berlin,,47,10117,Georgenstraße,,university,,Humboldt Universität zu Berlin,,yes,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4868588244,,,Fachgebiet Medienwissenschaft,POINT (13.3941618 52.5203005),Berlin,,47,10117,Georgenstraße,,university,,Humboldt Universität zu Berlin,,yes,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4868588245,,,Institut für Kunst- und Bildgeschichte,POINT (13.3940729 52.5203586),Berlin,,47,10117,Georgenstraße,,university,,Humboldt Universität zu Berlin,,yes,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5374911182,,,HU-Institut für Europäische Ethnologie,POINT (13.3953491 52.5126144),,,,,,,university,,,https://www.euroethno.hu-berlin.de,limited,,,,,,,,,,,HU Institute of European Ethnology,,,,,,,,,,,,HU-Institut für Europäische Ethnologie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5761214192,,,Akademie für Gestaltung,POINT (13.3785736 52.5062237),Berlin,DE,3-5,10963,Dessauer Straße,Kreuzberg,university,,HTK GmbH,,,,https://design.htk-ak.de/en/berlin,,,,,,,,,Academy of Design,,,,,,,,,,,,,HTK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5901612622,,,DHGS Deutsche Hochschule für Gesundheit und Sport,POINT (13.4860555 52.5237379),Berlin,,1,10367,Vulkanstraße,,university,,DHGS Deutsche Hochschule für Gesundheit und Sport GmbH,https://www.dhgs-hochschule.de,,,,,,,,,,,,,+493057797370,Q1622185,de:Deutsche Hochschule für Gesundheit und Sport,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6549447488,,,Hochschule für Medien Kommunikation und Wirtschaft,POINT (13.3846586 52.5385295),Berlin,DE,76,13355,Ackerstraße,Gesundbrunnen,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMKW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6985071469,,,Ateliers Meisterschüler Bildhauerei,POINT (13.5074488 52.4424249),Berlin,DE,10,12487,Köpenicker Straße,Johannisthal,university,+49 30 6360457,weißensee Kunsthochschule Berlin,https://kh-berlin.de/hochschule/standorte/bronzegiesserei-johannisthal,,,https://kh-berlin.de/hochschule/standorte/bronzegiesserei-johannisthal.html,,,,,,,,,Studios of the Post MFA Sculpture Students & Bronze Foundry Dept.,,,,yes,no,,,public,,,,,,,,,,,,,,Außenstelle der Freien Kunst /  Fachgebiet Bildhauerei  & Bronzegießerei der Kunsthochschule Weißensee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7298859535,,,Catalyst Institute For Creative Arts & Technology,POINT (13.5003063 52.4789373),,,,,,,university,,,https://catalyst-berlin.com/,limited,,,Mo-Sa 10:00-22:00,,,,,,,,,+49 +493029009052,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9178471607,,,TU-Berlin,POINT (13.3160532 52.4568971),,,,,,,university,,,https://www.oekosys.tu-berlin.de/menue/home/,,,,,,,,,,,,,+49 30 3140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9290844955,,,Berlin International University of Applied Sciences,POINT (13.3279953 52.515954),Berlin,,6,10587,Salzufer,,university,,BAU Higher Education Service gGmbH,https://www.berlin-international.de/,,,,,,,,,,,,,,,,wlan,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9293478134,,,E-Examination Center 2,POINT (13.2944942 52.4570661),Berlin,,39,14195,Takustraße,,university,,Freie Universität Berlin,https://www.e-examinations.fu-berlin.de/,,,,,,,,,,,,,,,,yes,customers,,,,,,,,,,,,,,,,,,,,https://www.e-examinations.fu-berlin.de/_rechte_seite/e-exam-logo-rd.png?width=1300,eduroam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9710759321,,,German University in Cairo,POINT (13.2880738 52.5819258),Berlin,DE,162,13507,Am Borsigturm,Tegel,university,,,,,,http://guc-berlin.de/,,,,,,,,,,,,,,,,,,,,,,GUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9775768261,,,New York University,POINT (13.4133919 52.5385815),Berlin,DE,36,10435,Schönhauser Allee,Prenzlauer Berg,university,,,,,,https://www.nyu.edu/berlin.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10023532185,,,Sonderforschungsbereich 1412 „Register“,POINT (13.3954281 52.5126159),Berlin,,40/41,10117,Mohrenstraße,,university,,,https://sfb1412.hu-berlin.de/,,,,,,,,,,,,"Collaborative Research Center 1412 ""Register""",,,,,,,,,,,,"Sonderforschungsbereich 1412 ""Register""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10168302540,,,Geographisches Institut,POINT (13.5343751 52.4320461),Berlin,DE,16,12489,Rudower Chaussee,,university,,Humboldt Universität zu Berlin,https://www.geographie.hu-berlin.de/de/index.html,,,,,,,,,,,,,,,,yes,,,,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10606145962,,,Humanistische Hochschule Berlin,POINT (13.3994035 52.5752702),,,,,,,university,,,https://humanistische-hochschule-berlin.de/,,,,,,,,,,,,,,Q115973023,de:Humanistische Hochschule Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10980688906,,,Geschäftstelle des Felix Mendelssohn Bartholdy Hochschulwettbewerb,POINT (13.3284166 52.5092639),Berlin,,1b,10623,Fasanenstraße,,university,,Stiftung Preußischer Kulturbesitz;Rektorenkonferenz der dt. Musikhochschulen;Universität der Künste,https://www.fmb-hochschulwettbewerb.de/,,,,,,,,,,,,,,,,yes,no,,,public,,,,,,,,,,,,,,,,,https://www.fmb-hochschulwettbewerb.de/wp-content/themes/FMBHW/images/logo.png,,info@fmb-hochschulwettbewerb.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4751140,,,Berliner Hochschule für Technik,"POLYGON ((13.3494922 52.5424151, 13.3489122 52.5428329, 13.3512309 52.5440354, 13.3513736 52.5442391, 13.3512381 52.5443437, 13.3510294 52.5444948, 13.3510141 52.5445059, 13.3509799 52.5445307, 13.3506881 52.5447422, 13.3503532 52.5449848, 13.3501525 52.5451302, 13.3503945 52.5452537, 13.350463 52.5452887, 13.351564 52.5458638, 13.3527025 52.5450544, 13.3531316 52.5452667, 13.3533271 52.5451229, 13.3553536 52.5461598, 13.3558237 52.5458619, 13.3567281 52.5452659, 13.3567803 52.5452229, 13.3567731 52.5451754, 13.3544519 52.5440734, 13.3544054 52.5440513, 13.3525509 52.5433421, 13.3520278 52.5432087, 13.3513043 52.5429678, 13.351262 52.5429864, 13.3509825 52.5429062, 13.3510231 52.5428596, 13.350084 52.5426043, 13.3494922 52.5424151))",,,,,,,university,,,https://www.bht-berlin.de/,limited,,,,,,,,,,,,,Q851413,de:Berliner Hochschule für Technik,,,,,,,,,,BHT,,,,,,,,,,,,,,,"[30303179, 30303180, 3893487782, 3865037281, 301013684, 3893487797, 4008400276, 1368344540, 1242087919, 9187870699, 30303182, 9187870704, 1242087924, 30303183, 3892401869, 3892401870, 30303184, 30303185, 570764577, 650385855, 30303186, 1277489840, 650385848, 278850740, 30303188, 9221620378, 276325866, 3865037276, 3865037275, 3865037274, 3865037273, 30303179]",Berlin University of Applied Sciences and Technology,education,Beuth Hochschule für Technik Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4764104,,,Universität der Künste,"POLYGON ((13.303792 52.5245926, 13.3043626 52.5245881, 13.3043569 52.5243511, 13.3041841 52.5242254, 13.3035554 52.5242239, 13.3034085 52.5242934, 13.303792 52.5245926))",Berlin,DE,,,,Charlottenburg,university,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,"[30427979, 30429057, 30429058, 3303132306, 30429068, 30429069, 30427979]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23557224,,,ZE Hochschulsport,"POLYGON ((13.1848242 52.4327499, 13.1847252 52.4327439, 13.1847471 52.4327746, 13.1847248 52.4327969, 13.1846775 52.4327946, 13.1846947 52.4328222, 13.1846778 52.4328427, 13.1846485 52.4328472, 13.184631 52.4329566, 13.1848766 52.4329682, 13.1848824 52.432907, 13.1849119 52.432909, 13.1849121 52.4328898, 13.1849302 52.4328904, 13.1849798 52.4328712, 13.1849908 52.432872, 13.185015 52.4328624, 13.1850093 52.4328568, 13.1850176 52.4328537, 13.1850083 52.4328464, 13.1849786 52.4328565, 13.1849344 52.4328107, 13.1849914 52.4327948, 13.1849845 52.432785, 13.1850465 52.4327672, 13.185064 52.432785, 13.1850958 52.4327743, 13.1850864 52.4327615, 13.1851775 52.4327189, 13.1852094 52.4326673, 13.1851934 52.4326642, 13.1852505 52.4325598, 13.1852216 52.4325348, 13.1851982 52.432527, 13.1851731 52.4325524, 13.1851149 52.4325708, 13.1851342 52.4325781, 13.1851345 52.4325908, 13.1851028 52.4326012, 13.1851226 52.4326076, 13.1851226 52.4326212, 13.1850948 52.432631, 13.1851139 52.4326394, 13.1851134 52.4326501, 13.1848242 52.4327499))",Berlin,DE,3,14129,Badeweg,Nikolassee,university,,Freie Universität Berlin,,,,,,,,,,,,,,,,,,,,,,,Geoportal Berlin / Hauskoordinaten,Wassersportzentrum,,,,,,,,,,,,,,,,,"[2933323943, 2933323942, 2933323945, 2933323948, 2933323947, 2933323950, 2933323955, 2933323953, 255096564, 3506755449, 2933323963, 3506755426, 8202533944, 8202533943, 8202533942, 8202533941, 8202533940, 3506755419, 3506755425, 3506755424, 3506755423, 3506755422, 3506755421, 3506755418, 8202533939, 3506755420, 8202533938, 3506755417, 3506755415, 3506755414, 255096541, 3506755445, 3506755446, 8202533930, 8202533934, 8202533929, 8202533928, 8202533927, 8202533926, 8202533935, 8202533936, 3506755448, 8202533937, 3506755447, 2933323943]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23853100,,,Theologische Fakultät der HU,"POLYGON ((13.4013564 52.520961, 13.4013415 52.5209562, 13.4010704 52.5208686, 13.4010308 52.5208738, 13.4009585 52.5209875, 13.4008979 52.5210827, 13.4008822 52.5211114, 13.4008179 52.521287, 13.4010403 52.5213159, 13.4010712 52.5212801, 13.400996 52.5212529, 13.4011572 52.5210543, 13.4011668 52.5210425, 13.4012454 52.5210653, 13.4012588 52.5210692, 13.4013564 52.520961))",,,,,,,university,,Humboldt-Universität zu Berlin,http://www2.hu-berlin.de/theologie/index.htm,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,"[258496793, 5473650732, 538835258, 2452353709, 5412835912, 538835303, 538835260, 538835017, 258496797, 538835263, 538835264, 5412835909, 538835265, 5473650617, 258496799, 258496793]",,,,yes,6,,,,,,,,,,,,,,,,,,,,,,,,,
way,24247240,,,European School of Management and Technology Berlin,"POLYGON ((13.4022644 52.5161048, 13.4024449 52.5159088, 13.4034197 52.5152193, 13.4031783 52.5151091, 13.4024531 52.5147486, 13.4024706 52.5147202, 13.4022802 52.5146517, 13.4021137 52.5145854, 13.4015098 52.514348, 13.400991 52.5149143, 13.400796 52.5148399, 13.4006656 52.5149965, 13.400424 52.5153035, 13.4003307 52.5154208, 13.4004614 52.5154724, 13.4004488 52.5154861, 13.4009261 52.515649, 13.4009073 52.5156694, 13.4010229 52.5157088, 13.4011456 52.5157507, 13.401165 52.5157297, 13.4013063 52.5157779, 13.4022644 52.5161048))",Berlin,,1,10178,Schloßplatz,,university,+4930212310,,http://esmt.org,,info@esmt.org,http://esmt.org,,,,,,,,,,,Q569528,de:European School of Management and Technology,,,,,,,,ESMT,,ESMT Berlin,,,,,,,,,,,,https://esmt.berlin/sites/main/files/styles/slideshow/public/2020-07/ESMT%20Building.jpg,,,"[249075198, 3161170640, 564733481, 1812490332, 540634045, 4405800389, 4405799388, 4867513517, 4405799387, 4361705947, 4361705946, 540645286, 4361707938, 2005527322, 4114009349, 249075226, 262526121, 249075212, 458914811, 262526127, 262526126, 540633244, 249075198]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24895009,,,Haus T,"POLYGON ((13.3558241 52.4272678, 13.3558782 52.4272776, 13.3560458 52.4273082, 13.3560996 52.4271987, 13.3561265 52.4271438, 13.356151 52.4270928, 13.3561763 52.4270408, 13.3562065 52.4269786, 13.3562136 52.4269639, 13.356216 52.4269589, 13.356225 52.4269406, 13.3562548 52.4268791, 13.356268 52.4268521, 13.3562881 52.4268107, 13.3563076 52.4267705, 13.3562526 52.4267606, 13.3562071 52.4267524, 13.3561877 52.4267489, 13.3560857 52.4267304, 13.35606 52.4267833, 13.356032 52.426841, 13.3560035 52.4268999, 13.3559954 52.4269163, 13.3559892 52.4269288, 13.3559751 52.4269579, 13.3559523 52.427005, 13.3559292 52.4270525, 13.3559045 52.427103, 13.3558786 52.4271572, 13.3558241 52.4272678))",,,,,,,university,,Freie Universität Berlin,,,,,,,,,,,,,,,,,,,,,,,,Haus T,,,,,,,,,,,,,,,,,"[270492455, 8907813218, 270492456, 8907800972, 8907800968, 8907800964, 8907800960, 8907800957, 8907800975, 6969361625, 8907800976, 8907800979, 8907800982, 8907800983, 270492457, 8907854914, 8908037717, 8907800986, 270492458, 8907800988, 8907800992, 8907800997, 8907800999, 8907801003, 8907801005, 8907801009, 8907801011, 8907801015, 8907801016, 270492455]",,,,university,1,,gabled,,,,,,1,red,,,,,,,,,,,,,,,,
way,24896322,,fence,GeoCampus Lankwitz FU Berlin,"POLYGON ((13.3580497 52.4248406, 13.3582002 52.4248704, 13.3595129 52.425116, 13.3596197 52.4251362, 13.36022 52.4252494, 13.3603746 52.4252785, 13.3600535 52.4259383, 13.3599528 52.4259625, 13.3599096 52.4260592, 13.3599206 52.4264155, 13.3601605 52.4267719, 13.3605982 52.4274151, 13.3594477 52.4276499, 13.3574859 52.4278766, 13.3567268 52.427826, 13.3566166 52.4278187, 13.3554624 52.4276448, 13.3556052 52.4273358, 13.3556253 52.4272923, 13.3560842 52.4263439, 13.3563226 52.4258511, 13.3569062 52.4246234, 13.3573925 52.4247209, 13.3572725 52.4249782, 13.3579256 52.4250964, 13.3580497 52.4248406))",Berlin,,74 - 100,12249,Malteserstraße,,university,,Freie Universität Berlin,https://www.osa.fu-berlin.de/geographie_bsc/studium/geocampus/index.html,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[531754501, 531754505, 280467283, 280467281, 280467280, 278903226, 278903228, 278903229, 30739375, 30739374, 30739373, 30739372, 30739371, 206143935, 2360460813, 30739369, 30739368, 6969361631, 278145374, 6969361642, 531754514, 270525419, 531754496, 531754498, 531754499, 531754501]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25468388,,,FB Mathematik und Informatik,"POLYGON ((13.2966326 52.4576538, 13.2966264 52.4576147, 13.2966243 52.4576009, 13.2966179 52.4575602, 13.2966633 52.4575575, 13.2967099 52.4575548, 13.2967572 52.4575521, 13.296793 52.4575499, 13.2968103 52.4575489, 13.2968513 52.4575466, 13.2968983 52.4575438, 13.2969452 52.4575411, 13.2969422 52.4575216, 13.2970357 52.4575161, 13.2971309 52.4575106, 13.2972272 52.4575048, 13.2972368 52.457564, 13.297239 52.4575778, 13.2972481 52.4576366, 13.2971521 52.4576422, 13.2971046 52.457645, 13.2970583 52.4576477, 13.2969628 52.4576533, 13.2969599 52.4576347, 13.2969135 52.4576374, 13.2968642 52.4576403, 13.2968203 52.4576429, 13.296772 52.4576457, 13.2967249 52.4576484, 13.2966793 52.4576511, 13.2966326 52.4576538))",Berlin,DE,24-26,14195,Königin-Luise-Straße,Dahlem,university,,Freie Universität Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[277520798, 4522421447, 4522424532, 277520800, 4522421488, 4522421467, 4522421458, 4522421428, 4522421434, 4522421426, 4522421483, 4522424498, 4522421435, 4522424524, 4522421429, 277520801, 4522421481, 4522424489, 277520799, 4522424502, 4522421470, 4522421430, 4522421485, 4522424515, 4522421446, 4522424496, 4522421431, 4522424493, 4522421461, 4522421469, 277520798]",,,,university,2,,,,,,,,0,,,,,,,,,,,,,,,,,
way,25484843,,,ZE Hochschulsport,"POLYGON ((13.2897909 52.4592831, 13.2902244 52.4592738, 13.2902006 52.4588573, 13.2901829 52.4588576, 13.2901752 52.4587217, 13.2897745 52.4587303, 13.2897825 52.4588703, 13.2897673 52.4588706, 13.2897909 52.4592831))",Berlin,DE,47,14195,Königin-Luise-Straße,Dahlem,university,,Freie Universität Berlin,,,,,,,,,,,,,,,,,,,,,,,,Sporthalle,,,,,,,,,,,,,,,,,"[277694270, 277694271, 3177934111, 3177934112, 277694272, 277694273, 3177934113, 3177934114, 277694270]",,,,university,,,,,,,,,,,,,,,,,,,,,,,,,,
