element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,wheelchair,access,source,contact:website,name,addr:housename,amenity,note,opening_hours,check_date,height,min_height,tourism,capacity,nodes,building,building:levels,roof:levels,building:shape,leisure,postal_code,roof:colour,roof:shape,sport,website,wikidata,wikimedia_commons,wikipedia,operator,roof:material,short_name,wheelchair:description,community_centre,phone,contact:phone,heritage,heritage:operator,internet_access,internet_access:fee,lda:criteria,ref:isil,ref:lda,toilets:wheelchair,building:colour,addr:inclusion,contact:email,contact:fax,fee,name:en,name:nl,alt_name,building:material,brand,brand:wikidata,office,social_facility,social_facility:for,name:de,source:addr,start_date,government,alt_name:es,construction:tourism,name:fr,name:ru,old_name,community_centre:for,roof:height,year_of_construction,building:facade:material,email,image,opening_hours:signed,architect,architect:wikidata,operator:wikidata,operator:wikipedia,ref,building:use,building:name,theatre:genre,description,smoking,nohousenumber,check_date:opening_hours,noname,building:min_level,denomination,religion,healthcare,facebook,fax,max_age,min_age,museum,name:fa,operator:type,fixme,layer,source:height,disused:building,contact:facebook,disused:information,disused:name,disused:tourism,disused:amenity,disused:community_centre:for,instagram,changing_table,drinking_water,noaddress,unisex,wheelchair:step_height,building:architecture,castle_type,heritage:website,historic,roof:orientation,emergency,name:es,name:he,name:it,description:de,ways,type,official_name,not:historic,not:name,blind:description:de,name:prefix,townhall:type
way,31299850,"POLYGON ((13.4268544 52.5414568, 13.4271622 52.5413465, 13.4270165 52.5412046, 13.4267204 52.5413098, 13.4267468 52.5413399, 13.4267388 52.5413428, 13.426807 52.5414167, 13.4268145 52.5414135, 13.4268544 52.5414568))",,,,,,,,,,,,,,,,,,,,,"[348227541, 348226861, 348226875, 348227542, 5782268798, 5782268799, 5782268797, 5782268796, 348227541]",civic,3,,,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31299853,"POLYGON ((13.4277811 52.540934, 13.4278197 52.5409738, 13.4278275 52.540971, 13.4278943 52.5410433, 13.4278871 52.5410461, 13.4279224 52.5410844, 13.4276098 52.541196, 13.4274615 52.5410424, 13.427525 52.5410206, 13.4275106 52.5410061, 13.4275876 52.540978, 13.4276018 52.540995, 13.4277811 52.540934))",,,,,,,,,,,,,,,,,,,,,"[348227573, 5782268813, 5782268811, 5782268810, 5782268812, 348227574, 348226867, 348226869, 5782268808, 5782268807, 5782268806, 5782268809, 348227573]",civic,3,,,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31299926,"POLYGON ((13.4273804 52.5414963, 13.4276142 52.5414122, 13.4275766 52.541373, 13.4276809 52.5413359, 13.427649 52.5413027, 13.4276054 52.5412574, 13.4274723 52.5413047, 13.4274639 52.5413175, 13.4274507 52.5413255, 13.4274246 52.5413304, 13.4274052 52.5413286, 13.427299 52.5413664, 13.4273722 52.5414426, 13.4273399 52.5414541, 13.4273804 52.5414963))",,,,,,,,,,,,,,,,,,,,,"[348228124, 348228125, 5782268784, 5782268785, 5782268775, 348228126, 1120200243, 1120200196, 1120200184, 1120200158, 1120200247, 348228127, 5782268783, 5782268782, 348228124]",civic,1,,,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31299929,"POLYGON ((13.4279019 52.5413168, 13.4280949 52.54125, 13.4279926 52.541137, 13.4277732 52.5412143, 13.4278013 52.541246, 13.427826 52.5412365, 13.4279019 52.5413168))",,,,,,,,,,,,,,,,,,,,,"[348228128, 348228129, 348228130, 348228131, 5782268776, 5782268777, 348228128]",civic,1,,,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31299937,"POLYGON ((13.42701 52.5416252, 13.427088 52.5415985, 13.4271904 52.5415635, 13.4271176 52.5414852, 13.4271014 52.5414897, 13.426938 52.541546, 13.4269326 52.5415479, 13.42701 52.5416252))",,,,,,,,,,,,,,,,,,,,,"[348228145, 5782268771, 348228146, 348228264, 4536055104, 4536055105, 348228265, 348228145]",civic,1,,,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31625642,"POLYGON ((13.5296685 52.5094562, 13.5298507 52.5094564, 13.5298498 52.5097517, 13.5298488 52.5098015, 13.529848 52.5098366, 13.5296663 52.5098349, 13.5296671 52.509801, 13.5296675 52.5097522, 13.5296685 52.5094562))",Berlin,DE,60,10315,Alt-Friedrichsfelde,Friedrichsfelde,,,,,Hochtief Facility Management,14,,,,,,,,,"[353865346, 353865347, 8668508879, 3041809842, 353865348, 353865349, 3041809841, 8668508878, 353865346]",civic,2,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31626144,"POLYGON ((13.5263715 52.5095202, 13.5266835 52.5095214, 13.5271331 52.5095219, 13.5274408 52.5095223, 13.5274494 52.5093325, 13.5273636 52.5093323, 13.5273647 52.5093055, 13.5264546 52.5093017, 13.5264538 52.5093354, 13.5263748 52.5093347, 13.5263715 52.5095202))",,,60,,Alt-Friedrichsfelde,,,,,,,,,,,,,,,,"[353868896, 492283860, 492283864, 353868897, 5058816708, 5058816709, 353868898, 353868899, 5058816699, 5058816698, 353868896]",civic,3,,,,,brown,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31626458,"POLYGON ((13.5296289 52.5093688, 13.5298482 52.5093683, 13.529854 52.5091276, 13.529626 52.5091252, 13.5296289 52.5093688))",,,,,,,,,,,,,,,,,,,,,"[353869464, 353869468, 353869469, 353869471, 353869464]",civic,1,0,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31628995,"POLYGON ((13.5239098 52.5075155, 13.5242887 52.5075973, 13.5246409 52.5076755, 13.5245516 52.5078148, 13.5238254 52.5076587, 13.5239098 52.5075155))",,,,,,,,,,,Amt für Gesundheit und Verbraucherschutz Lichtenberg,,,,,,,,,,"[353877290, 513419084, 353877291, 353877294, 353877296, 353877290]",civic,6,,,,,gray,flat,,http://www.berlin.de/ba-lichtenberg/verwaltung/behoerdenwegweiser/bww03.html,,,,,,,,,,,,,,,,,,,white,,,,,,,,,,,government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31735399,"POLYGON ((13.4850319 52.4941526, 13.4850285 52.4941541, 13.4849698 52.4941066, 13.4850964 52.4940486, 13.4851553 52.4940963, 13.4851523 52.4940977, 13.4853993 52.4942976, 13.4854035 52.4942957, 13.4854403 52.4943255, 13.4853121 52.4943842, 13.4852756 52.4943546, 13.4852793 52.4943529, 13.4850319 52.4941526))",,,,,,,,,,,Altes Lazarett,,,,,,,,,,"[3342923006, 3342923007, 3342923000, 3342922995, 3342922998, 3342922999, 3342923023, 3342923022, 3342923025, 3342923032, 3342923029, 3342923028, 3342923006]",civic,1,0,,,,,gabled,,,,,,,,,,,,,4,lda,,,Gesamtanlage,,09096040,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32277315,"POLYGON ((13.5596198 52.543958, 13.5596471 52.544049, 13.5593372 52.5440834, 13.55931 52.5439929, 13.5594755 52.5439745, 13.5594699 52.5439558, 13.5595241 52.5439498, 13.5595295 52.543968, 13.5596198 52.543958))",Berlin,DE,31,12685,Alt-Marzahn,Marzahn,,,,https://www.wuhletal.de/TagesstaetteSucht.html,Tagesstätte Wuhletal gGmbH,,social_facility,,Mo-Fr 10:00-15:00,,,,,,"[362815143, 345410456, 362815150, 362815155, 8308594505, 8308594503, 8308594502, 8308594504, 362815143]",civic,1,1,,,,,gabled,,,,,,Wuhletal gGmbH,,,,,,+49 30 549799607,4,lda,,,Baudenkmal,,09080498,,,,ts-sucht@wuhletal.de,+49 30 549799609,,,,,,,,,day_care,addicted,,,1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32338532,"POLYGON ((13.5456975 52.4583852, 13.5456634 52.4582861, 13.5460302 52.4582393, 13.5462982 52.4582051, 13.5463323 52.4583042, 13.5456975 52.4583852))",,,,,,,,,,,,,,,,,,,,,"[364053573, 364053574, 532226668, 364053575, 364053576, 364053573]",civic,1,,,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32338571,"POLYGON ((13.5401144 52.460404, 13.5399534 52.4604474, 13.5397724 52.4601979, 13.5399229 52.4601574, 13.5399418 52.4601523, 13.5399609 52.4601472, 13.5401419 52.4603967, 13.5401144 52.460404))",,,,,,,,,,,,,,,,,,,,,"[364054242, 4749399667, 4749399668, 364054237, 4749399666, 364054239, 364054240, 364054242]",civic,2,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32338697,"POLYGON ((13.5466613 52.4618034, 13.5467526 52.4619224, 13.5468383 52.4618987, 13.546747 52.4617798, 13.5466613 52.4618034))",,,,,,,,,,,FEZ Forsthaus,,,,,,,,,,"[364054823, 364054825, 364054899, 364054900, 364054823]",civic,1,,,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32353347,"POLYGON ((13.5156541 52.5267794, 13.5156576 52.5263778, 13.5158897 52.5263781, 13.5160828 52.5263783, 13.5160837 52.5263247, 13.5163257 52.5263236, 13.5163221 52.5267812, 13.5156541 52.5267794))",,,,,,,,,,,,,,,,,,,,,"[3164466007, 3164465693, 4818318533, 3164465694, 3164465687, 3164465686, 3164466009, 3164466007]",civic,1,0,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32363934,"POLYGON ((13.3243735 52.5087802, 13.3243424 52.508782, 13.3241932 52.5087905, 13.3239641 52.5088045, 13.3239732 52.508865, 13.3240055 52.5090853, 13.3240085 52.5091044, 13.3240779 52.509101, 13.3242824 52.5090909, 13.324279 52.5090697, 13.3242612 52.5089107, 13.324302 52.508909, 13.3243567 52.5089064, 13.3243921 52.5089044, 13.3243735 52.5087802))",,,2,10623,Goethestraße,,,,,,Kaiserliches Postamt Charlottenburg,,,,,,,,,,"[2440649781, 364333225, 1131145585, 364331807, 364332267, 663804411, 364331808, 984205926, 364331811, 663804408, 364331812, 1746355406, 663804409, 364331813, 2440649781]",civic,5,,,,,,hipped,,,,,,Deutsche Post AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32363940,"POLYGON ((13.3234882 52.508829, 13.3238273 52.5088111, 13.3238712 52.5088093, 13.3238793 52.5088699, 13.3238851 52.5089346, 13.323851 52.508936, 13.3238109 52.5089372, 13.3238098 52.5089247, 13.3236329 52.5089303, 13.3236343 52.5089471, 13.323643 52.5090278, 13.3236433 52.5090478, 13.3235153 52.5090539, 13.3235057 52.5089525, 13.3234959 52.5088853, 13.3234882 52.508829))",,,3,10623,Goethestraße,,,,,,,,,,,,,,,,"[364331819, 1131145575, 364331820, 364332268, 364331821, 1131145581, 1489603502, 1489603501, 364331822, 1453630771, 984206634, 364331823, 364331824, 364332264, 365362988, 364331819]",civic,5,,,,,,hipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32637804,"POLYGON ((13.5396772 52.4862208, 13.5393885 52.4861496, 13.5393339 52.4862272, 13.5392832 52.4863016, 13.5396145 52.4863865, 13.5395797 52.4864336, 13.5397769 52.486484, 13.5398411 52.4863938, 13.5399514 52.4862387, 13.5397528 52.4861864, 13.5397205 52.4862322, 13.5396772 52.4862208))",,,,,,,,,,,,,,,,,,,,,"[366944290, 366944300, 530775827, 366944298, 366944296, 366944294, 366944293, 6073950600, 5007590705, 6073950601, 6073950602, 366944290]",civic,2,1,,,,,hipped,,,,,,,,,,,,,4,lda,,,Baudenkmal,,09040109,,,,,,,,,,,,,,,,,,1937,,,,,,Offizierskasino der Pionierschule I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32841576,"POLYGON ((13.4744678 52.4934895, 13.474311 52.4935379, 13.4740743 52.4932538, 13.4742311 52.4932053, 13.4744678 52.4934895))",,,40-41,,Alt-Stralau,,,,,,,,,,,,,,,,"[369966172, 369966174, 369966175, 369966173, 369966172]",civic,2,0,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32841577,"POLYGON ((13.473829 52.4934276, 13.4739653 52.4933855, 13.4739015 52.493309, 13.4737652 52.4933512, 13.473829 52.4934276))",,,,,,,,,,,,,,,,,,,,,"[369966176, 369966178, 369966179, 369966177, 369966176]",civic,1,0,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,33468400,"POLYGON ((13.5431705 52.4642513, 13.5431035 52.4641443, 13.5427155 52.4642316, 13.5425721 52.4642653, 13.5425944 52.4642968, 13.5424281 52.4643345, 13.5423446 52.4641921, 13.5425113 52.4641551, 13.5425256 52.4641788, 13.5430503 52.4640581, 13.5429925 52.4639653, 13.5431595 52.4639275, 13.5433343 52.4642128, 13.5431705 52.4642513))",,,,,,,,,,,,,,,,,,,,,"[380887241, 380887244, 1837226526, 380887247, 380887250, 380887255, 4406823173, 380887264, 380887271, 380887274, 380887277, 380887282, 380887287, 380887241]",civic,1,,,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,33910270,"POLYGON ((13.6092677 52.4127542, 13.6096869 52.4126517, 13.6096583 52.4126082, 13.609843 52.412563, 13.6097701 52.4124522, 13.6097532 52.4124563, 13.6097469 52.4124468, 13.60916 52.4125903, 13.6092677 52.4127542))",Berlin,DE,2,12559,Zum Schmetterlingshorst,Köpenick,yes,,,,Schmetterlingshorst,,,,Oct-Mar: Mo-Fr 11:00-16:00; Sa-Su 11:00-17:00; Apr-Sep: Mo-Fr 10:00-17:00; Sa-Su 10:00-19:00,,,,museum,,"[388514191, 388514192, 388514193, 388514194, 388514195, 388514196, 388514197, 388514198, 388514191]",civic,1,1,,,,,gabled,,https://www.schmetterlingshorst.de/,,,de:Schmetterlingshorst,Bezirkssportbund Treptow-Köpenick e.V.,,,,,+49-30-61674861,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,schmetterlingshorst@berlin.de,File:Schmetterlingshorst Berlin 04.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,33949303,"POLYGON ((13.4836093 52.5090378, 13.4838293 52.5089787, 13.4840477 52.5089201, 13.483971 52.5088143, 13.4835327 52.508932, 13.4836093 52.5090378))",,,,,,,,,,,Vereinsheim der Fußballer des TSV,,,,,,,,,,"[389029659, 10989319116, 389029660, 389029661, 389029662, 389029659]",civic,1,0,,,,,flat,,https://www.berliner-woche.de/lichtenberg/bauen/schmuck-und-funktionell-sportverein-hat-rundum-erneuertes-vereinsheim-d160304.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34114763,"POLYGON ((13.5212481 52.4898598, 13.521092 52.4898785, 13.5211348 52.4900109, 13.5219552 52.4899125, 13.5219124 52.48978, 13.5217549 52.4897989, 13.5217518 52.4897894, 13.5217574 52.4897888, 13.5217484 52.4897609, 13.5216222 52.489776, 13.5216315 52.4898046, 13.5216718 52.4897997, 13.5216746 52.4898086, 13.5213221 52.4898508, 13.521319 52.4898413, 13.5213247 52.4898406, 13.5213155 52.4898121, 13.5212708 52.4898175, 13.5212734 52.4898255, 13.5212332 52.4898303, 13.52124 52.4898513, 13.5212452 52.4898507, 13.5212481 52.4898598))",,,,,,,yes,,,,Begegnungsstätte für Senioren,,community_centre,,,,,,,,"[6652615697, 3057940514, 391047292, 391047295, 391047296, 6652599980, 6652599981, 6652599982, 6652599983, 6652599984, 6652615685, 6652615686, 6652615687, 6652615688, 6652615689, 6652615690, 6652615691, 6652615692, 6652615693, 6652615694, 6652615695, 6652615696, 6652615697]",civic,2,,,,,,flat,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,senior,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35437963,"POLYGON ((13.3424756 52.5172237, 13.3427078 52.5172412, 13.3429742 52.5172608, 13.343008 52.5170903, 13.3429551 52.5170857, 13.3428624 52.5170795, 13.3428432 52.5171696, 13.3426442 52.5171539, 13.3426715 52.5170263, 13.3428706 52.517042, 13.3429417 52.5170465, 13.3429549 52.5169823, 13.3429597 52.516962, 13.342696 52.5169416, 13.3426385 52.5169371, 13.342536 52.5169281, 13.3425188 52.5170092, 13.3424913 52.517146, 13.3424854 52.5171751, 13.3424756 52.5172237))",Berlin,DE,15,10557,Altonaer Straße,Hansaviertel,limited,,,,Hansabibliothek,,,"Architekten:Werner Düttmann, Siegfried Böhmer",,,5,,,,"[415691193, 1845940502, 415691194, 415834790, 4879100525, 415834789, 4879099718, 415834785, 415834786, 4879099717, 4879100527, 4879100528, 415691197, 4904037593, 4804313067, 415691195, 4804313071, 5801786760, 5801786758, 415691193]",civic,1,1,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Werner Düttmann, Siegfried Böhmer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,36998736,"POLYGON ((13.2659567 52.5096623, 13.2660053 52.5096105, 13.266065 52.5095214, 13.2660981 52.5094344, 13.266129 52.5092386, 13.2659345 52.5092273, 13.2659339 52.5092549, 13.2654732 52.5092283, 13.2654845 52.5092046, 13.2653006 52.5091886, 13.2652624 52.5093582, 13.2654531 52.5093706, 13.2654554 52.5093564, 13.265911 52.5093851, 13.265893 52.5094423, 13.2658723 52.50948, 13.2658488 52.509524, 13.2657892 52.5096028, 13.2659567 52.5096623))",,,,,,,,,,,,,,,,,,,,,"[430298000, 430298002, 430298004, 430298006, 430298009, 430298010, 430298011, 430298013, 430298015, 430298016, 430298017, 1766338467, 9596011971, 430298019, 430298020, 430298021, 430298023, 430298024, 430298000]",civic,5,1,,,,,hipped,,,,,,,,,,,,,4,lda,,,Baudenkmal,,09020673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37130692,"POLYGON ((13.4521066 52.5525923, 13.4520469 52.5525073, 13.4520193 52.5525148, 13.4520212 52.5525187, 13.4520128 52.5525209, 13.4520042 52.5525228, 13.4519956 52.5525236, 13.4519872 52.5525233, 13.4519794 52.552522, 13.4519724 52.5525195, 13.4519667 52.5525162, 13.4519624 52.552512, 13.4519596 52.5525072, 13.4519576 52.552502, 13.4519594 52.5524984, 13.451961 52.552495, 13.4519636 52.5524917, 13.4519671 52.5524887, 13.4519714 52.5524861, 13.4519764 52.552484, 13.4519819 52.5524825, 13.4519877 52.5524816, 13.4519935 52.5524813, 13.4519993 52.5524816, 13.4520241 52.5524747, 13.4519649 52.5523902, 13.4520895 52.5523559, 13.45211 52.5523852, 13.4521583 52.5523719, 13.4521946 52.5524273, 13.4522075 52.5524255, 13.4522208 52.5524251, 13.4522339 52.5524263, 13.4522464 52.5524291, 13.4522577 52.5524333, 13.4522674 52.5524388, 13.4522752 52.5524453, 13.4522844 52.5524515, 13.4522836 52.5524606, 13.4522839 52.5524686, 13.4522817 52.5524766, 13.4522768 52.5524841, 13.4522697 52.552491, 13.4522604 52.5524968, 13.4522495 52.5525014, 13.4522219 52.5525089, 13.4522345 52.5525281, 13.4522516 52.5525542, 13.4521066 52.5525923))",,,,,,,,,,,,,,,,,,,,,"[2927072214, 2927069457, 2927070687, 2927072012, 2927070689, 2927069464, 2927070692, 2927070691, 2927069463, 2927069461, 2927072011, 2927072008, 2927070683, 2927072003, 2927072002, 2927070680, 2927071422, 2927069451, 2927071215, 2927071212, 2927069450, 2927069448, 2927069446, 2927069449, 2927069442, 2927071411, 9988526868, 9988526869, 2927070650, 2927069418, 2927070659, 2927071413, 2927071415, 2927070660, 2927069423, 2927070668, 2927070673, 9988526865, 2927070675, 2927069435, 2927071210, 2927071213, 2927071421, 2927072001, 2927071425, 2927072006, 9988526870, 2927072103, 2927072214]",civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37415759,"POLYGON ((13.2667329 52.5186943, 13.2667355 52.5186991, 13.266632 52.5187171, 13.2666257 52.5187046, 13.2665977 52.5187087, 13.2665813 52.5186724, 13.266608 52.5186685, 13.2666016 52.5186552, 13.2666109 52.5186538, 13.266568 52.5185651, 13.2665598 52.5185657, 13.2665318 52.5185079, 13.2665508 52.5185048, 13.26651 52.5184241, 13.2666168 52.5184052, 13.266633 52.5184366, 13.2667166 52.5184234, 13.2667433 52.5184769, 13.2667262 52.5184796, 13.2667351 52.5184967, 13.2667291 52.5184974, 13.2667254 52.518506, 13.2667484 52.5185577, 13.2667756 52.5185681, 13.2667809 52.5185605, 13.2668168 52.5185546, 13.2668307 52.5185607, 13.2668957 52.5185493, 13.2669145 52.5185265, 13.266891 52.5184761, 13.2668805 52.5184694, 13.266873 52.5184704, 13.2668645 52.518455, 13.2668338 52.5184607, 13.2668059 52.5184001, 13.266806 52.5183999, 13.2667918 52.5183691, 13.2668118 52.5183656, 13.2668047 52.5183467, 13.2667984 52.5183478, 13.266785 52.5183178, 13.2669025 52.5182956, 13.2669046 52.5182997, 13.2669434 52.5182933, 13.2669902 52.5183921, 13.2669505 52.5183991, 13.2670623 52.5186396, 13.2669778 52.5186542, 13.2669757 52.5186497, 13.2667329 52.5186943))",Berlin,DE,38,14050,Nußbaumallee,Westend,,,,,,,,,,,,,,,"[3046726061, 3046726070, 3046726087, 3046726073, 3046726078, 3046726043, 3046726040, 3046726022, 3046726017, 3046725896, 3046725899, 3046725798, 3046725790, 3046725694, 3046725672, 3046725707, 3046725690, 3046725758, 3046725759, 3046725782, 3046725783, 3046725793, 3046725883, 3046725901, 3046725887, 3046725874, 3046725888, 3046725863, 3046725818, 3046725757, 3046725750, 3046725752, 3046725731, 3046725739, 3046725657, 3046725650, 3046725588, 3046725583, 3046725547, 3046725551, 3046725507, 3046725480, 3046725487, 3046725475, 3046725633, 3046725644, 3046725999, 3046726020, 3046726011, 3046726061]",civic,3,,,,,,,,,Q105045350,,,,,,,,,,4,lda,,,Gesamtanlage,,09040511,,,,,,,,,,,,,,,,,,1888,,,,,,,,,,,,,,Heinrich Seeling,Q74985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37476827,"POLYGON ((13.6232375 52.4517745, 13.6232509 52.4518876, 13.6226925 52.4519123, 13.6226873 52.4518683, 13.6226293 52.4518708, 13.6226022 52.4516414, 13.6226538 52.4516391, 13.6226418 52.451538, 13.6227907 52.4515314, 13.6228113 52.4517056, 13.6226723 52.4517117, 13.6226826 52.451799, 13.6232375 52.4517745))",,,,12587,,,,,,,,,,,,,,,,,"[438222440, 438222448, 438222447, 438222441, 3609599638, 3609599637, 3609599636, 438222442, 438222443, 438222444, 438222445, 438222446, 438222440]",civic,2,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37523777,"POLYGON ((13.6213463 52.45477, 13.6215428 52.4547623, 13.6215514 52.4548428, 13.621531 52.4548436, 13.6215387 52.4549154, 13.6213387 52.4549233, 13.6213234 52.4547786, 13.6213471 52.4547776, 13.6213463 52.45477))",,,,,,,,,,,,,,,,,,,,,"[439229144, 439229145, 3609599664, 3609599665, 439229147, 439229149, 3609599662, 7876107264, 439229144]",civic,2,1,,,,,mansard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
