element_type,osmid,barrier,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,email,fax,name,phone,school,website,wheelchair,wikidata,wikipedia,contact:fax,contact:phone,contact:website,contact:email,note,grades,entrance,source,operator,school:de,isced:level,name:etymology:wikidata,old_name,operator:type,toilets:wheelchair,addr:inclusion,check_date,opening_hours,level,ref,name:en,wheelchair:description,short_name,source_ref,lastcheck,addr:housename,alt_name,description,name:de,check_date:opening_hours,office,capacity,fee,fixme,historic,image,name:ru,start_date,surveillance,website:ru,contact:facebook,name:sv,name:zh,denomination,religion,school:DE,healthcare,craft,height,nodes,postal_code,leisure,name:etymology:wikipedia,building,building:colour,building:material,roof:colour,roof:material,building:levels,name:signed,roof:levels,polling_station,roof:shape,official_name,layer,heritage,heritage:operator,lda:criteria,ref:lda,proposed:name,heritage:website,noname,max_age,min_age,type,url,note:de,name:ja,language:de,language:en,after_school,institution:support,landuse,name:start_date,phone:de,phone:en,institution:pedagogy,lunch,fence_type,website:operator,designation,wikimedia_commons,preschool,contact:instagram,contact:email_1,opening_hours:office,sport,name:fr,ref:AEFE,brand,language:gr,vocational,boundary,protect_class,pedagogy,loc_name,source:outline,language:it,network,network:short,name:etymology,language:pt,survey:date,operator:short,year,language:fr,temporary,old_name:1860,old_name:1942,old_name:1960,old_name:1993-2012,old_name:2,ways
node,360713397,,POINT (13.4357615 52.4717574),Berlin,DE,15-16,12053,Jonasstraße,Neukölln,school,,,Peter-Petersen-Schule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,360713401,,POINT (13.4354917 52.4725928),Berlin,DE,39,12053,Thomasstraße,Neukölln,school,,,Konrad-Agahd-Grundschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,506133476,,POINT (13.5170522 52.445113),,,,,,,school,,,Berliner Rettungsdienstschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,592636066,,POINT (13.4146824 52.5413537),Berlin,DE,7,10437,Lychener Straße,Prenzlauer Berg,school,,,The School of Life,,,,,,,,+49 30 91514311,https://www.theschooloflife.com/berlin/,berlin@theschooloflife.com,,,,,,,,,,,,,2022-10-14,Sa 12:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,613697442,,POINT (13.3982097 52.5353066),,,,,,,school,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,630640493,,POINT (13.4195798 52.512379),,,,,,,school,,,Games Academy,,,https://www.games-academy.de/,yes,Q1493095,de:Games Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,727710608,,POINT (13.5311243 52.5264226),Berlin,DE,33 B,12681,Allee der Kosmonauten,Marzahn,school,,,bbw Akademie Betriebswirtschaftliche Weiterbildung,,,http://www.bbw-gruppe.de/standorte/berlin/marzahn.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,850092123,,POINT (13.5768735 52.4430497),,,,,,,school,,,Käpt´n Mosers Wassersportschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,867872391,,POINT (13.4120982 52.503441),,,,,,,school,,,Deutsch Praxis,,,http://www.deutsch-praxis.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,871633760,,POINT (13.413924 52.5023614),,,,,,,school,,,Yoga/Schiatsu-Zentrum,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,876244328,,POINT (13.4213836 52.501677),,,,,,,school,,,Atelier für physisches Theater – Internationale Schule für Bewegungsschauspiel,,,https://www.apt-absurdacomica.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,985919722,,POINT (13.4929984 52.6256033),,,,,,,school,,,Jugendwerkstatt Buch Aktivierungshilfe,,,,,,,,,,,,,,,WERKSCHULEBERILIN e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,996413480,,POINT (13.4135424 52.5620245),,,,,,,school,ting@ting-schule.de,+49 30 470045 29,TING-Schule,+49 30 470045 06,,https://www.ting-schule.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1015728668,,POINT (13.2706708 52.4545683),Berlin,DE,40,14195,Hüttenweg,Dahlem,school,,,Biesalski-Schule,,Sonderschule,,yes,,,,+49 30 902996474,http://www.biesalski-schule.cidsnet.de,Biesalski-Schule@t-online.de,,,,Geoportal Berlin / k5_2012_sw_sued.zip,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1057857273,,POINT (13.3327206 52.4833728),Berlin,DE,33,10715,Prinzregentenstraße,Wilmersdorf,school,,,Ernst-Habermann-Grundschule,,Grundschule,,,,,,,http://www.ernst-habermann.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1137671520,,POINT (13.3007856 52.5185412),Berlin,DE,26,10587,Lohmeyerstraße,Charlottenburg,school,,,Kindermalschule,,,,,,,,,https://www.kindermalschuleberlin.de/,,,,,,,,,,,,,,,,1,,Childrens painting school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1140710553,,POINT (13.3716254 52.5034349),Berlin,DE,16,10785,Am Karlsbad,Tiergarten,school,,,CJD Berlin,+49 30 7909010,,https://www.cjd-berlin.de/,yes,,,,,,,,,,,,,,,,,,,,,,,,Berufliches Bildungszentrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1224801662,,POINT (13.4359177 52.4399472),,,,,,,school,,,Alno Küchenstudio,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1407207210,,POINT (13.4056269 52.552085),Berlin,DE,22,10439,Driesener Straße,Prenzlauer Berg,school,abendgymnasium@gmx.de,+49 30 4250121,Abendgymnasium Prenzlauer Berg,+49 30 4254218,,https://www.abendgymnasium-berlin.de/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1552045205,,POINT (13.3884213 52.5284845),Berlin,DE,12,10115,Novalisstraße,Mitte,school,,,Deutsch-Institut Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,did,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1554586172,,POINT (13.2467791 52.5741252),,,,,,,school,,,Schulfarm Insel Scharfenberg,,,,limited,Q14551945,,,,,,,,,,,,,,,,,,,,,,,,,http://www.insel-scharfenberg.de/SISNews.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1597894107,,POINT (13.4213252 52.4908343),,,,,,,school,,,Islam Vakfi,,,,limited,,,,,,,,,,,Islam Kolleg Berlin gGmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1658284135,,POINT (13.3036973 52.5083269),Berlin,DE,40-41,10627,Pestalozzistraße,Charlottenburg,school,,,Charlotte-Wolff-Kolleg,,,,yes,,,+49 30 902928858,+49 30 902928825,http://charlotte-wolff-kolleg.de/,sekretariat@cwkberlin.de,,,,,,,,,,,,,,,,,,"Aufzug links am Gebäude, WC im 2.Stock; Cafeteria und Schliessfächer nicht rollstuhlgerecht",,,2015-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1825200731,,POINT (13.3402818 52.4965481),,,6,10777,Viktoria-Luise-Platz,Schöneberg,school,,,Lette-Akademie,,,https://www.lette-akademie.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1825200732,,POINT (13.3404458 52.4967169),,,6,10777,Viktoria-Luise-Platz,Schöneberg,school,,,Lette-Verein,+49 30 21994111,,http://www.letteverein.berlin/,,Q1821142,,,,,,,,,,,,,,,,,,,Mo-Fr 08:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1827035552,,POINT (13.41986 52.4992808),Berlin,DE,,10999,Skalitzer Straße,Kreuzberg,school,,,SCHATZ Schulaufgabenzirkel,+49 30 69531389,,,no,,,,,,,,,,,Aktürk Celalettin,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1833519549,,POINT (13.3344676 52.4822428),Berlin,DE,60,10715,Prinzregentenstraße,Wilmersdorf,school,,,OSZ Wirtschaft Leopold-Ullstein-Schule - Abteilung II,,professional_education,,,,,+49 30 85758923,+49 30 85758921,http://www.oszinddv.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1833591080,,POINT (13.3344536 52.4821179),Berlin,DE,60,10715,Prinzregentenstraße,Wilmersdorf,school,,,Kläre-Bloch-Schule,,professional_education,,,,,+49 30 85758937,+49 30 85758939,http://www.klaere-bloch-schule.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1855387994,,POINT (13.6048951 52.5357196),,,,,,,school,,,Das Lernzentum (Helliwood media & education),,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1867142844,,POINT (13.4217523 52.4967726),Berlin,DE,42-43,10999,Paul-Lincke-Ufer,Kreuzberg,school,,,Institut für Phytotherapie,,,,yes,,,,,http://heilen-mit-pflanzen.de,,,,,,,,,,,,,,,,,,,,,,,,IFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2133391708,,POINT (13.3999915 52.5309477),Berlin,DE,188-190,10119,Brunnenstraße,Mitte,school,,,Neue Schule für Fotografie,,,,limited,,,,,,,,,,http://www.neue-schule-berlin.com/neueschule/content/kontakt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2134648578,,POINT (13.4463857 52.4940876),,,,,,,school,,,InBit Institut,+49 30 53338920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,InBit Institut für Betriebsorganisation und Informationstechnik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2136734352,,POINT (13.2479778 52.6108823),Berlin,DE,58,13503,Am Bärensprung,Heiligensee,school,,,Fachschule für Sozialpädagogik,,,,,,,,,https://www.ejf.de/arbeitsbereiche/aus-und-fortbildung/berlin/fachschule-fuer-sozialpaedagogik.html,,,,,,Evangelisches Jugend- und Fürsorgewerk gemeinnützige AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2180504961,,POINT (13.3350661 52.4824554),Berlin,DE,24-25,10715,Babelsberger Straße,,school,,,Wangari Maathai International School,,Grundschule,,,,,,,https://wangari-maathai-schule.jimdofree.com/,,,,,,,,,,,,,,,,,,,,,,,,,,Wangari-Maathai-Internationale-Schule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2232813894,,POINT (13.4201501 52.4935666),,,,,,,school,,,Hermann-Hesse-Gymnasium (Haus 3),,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2379197943,,POINT (13.3429326 52.5237443),Berlin,DE,3b,10555,Stromstraße,Moabit,school,,,indisoft GmbH,+49 30 3904910,,https://www.indisoft-weiterbildung.de/,yes,,,,,,,,,,,,,,,,,yes,,,Mo-Fr 07:30-17:00,3,,,,,,,,,Beratung | Weiterbildung/Umschulung | Vermittlung,,2023-05-17,educational_institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2431140182,,POINT (13.3653305 52.5533306),Berlin,DE,32,13347,Oudenarder Straße,Wedding,school,,,das kleine atelier,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2538629492,,POINT (13.4415246 52.5425347),Berlin,DE,88,10409,Greifswalder Straße,Prenzlauer Berg,school,,,Freie Sekundarschule Peppermont,,,,,,,,+49 30 44383962,https://peppermont.de/,peppermont@pfefferwerk.de,,,,,Pfefferwerk Stadtkultur gGmbH,,2,,,,,,2021-06-21,,,,,,,,,,,,,,,80,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2610154858,,POINT (13.4417282 52.557281),Berlin,DE,2,13086,Rudolf-Baschant-Straße,Weißensee,school,,,Berlin Bilingual School,,,,,,,,,,,,,yes,Geoportal Berlin / Hauskoordinaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2629122240,,POINT (13.384161 52.4961309),,,,,,,school,,,Taxischule Metropolis,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2665133376,,POINT (13.4420839 52.4972267),Berlin,DE,20,10997,Cuvrystraße,Kreuzberg,school,,,Bildungsteam,,,,,,,,,http://www.bildungsteam.de,,"Die Postadresse ist Cuvrystraße 20, das Büro befindet sich aber in der im Gebäude 23A direkt über Babylonia.",,,,Bildungsteam Berlin-Brandenburg e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2867831977,,POINT (13.2113784 52.5856077),Berlin,DE,81,13587,Niederneuendorfer Allee,Hakenfelde,school,waldschule-spandau@jibw.de,+4930 25 09 63 33,Waldschule Spandau,+49303 36 30 55,,http://www.jibw.de/waldschule-spandau/,,,,,,,,,,,Geoportal Berlin / Hauskoordinaten,Jugend in Berliner Wäldern e. V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2952353502,,POINT (13.3811302 52.566071),Berlin,DE,26,13409,Kühnemannstraße,Gesundbrunnen,school,,,Quinoa Schule,,,,,,,,,,,,,,Geoportal Berlin / Hauskoordinaten,,,,Q139925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3053179146,,POINT (13.3795238 52.4899704),,,,,,,school,,,TAXI Schule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3090369566,,POINT (13.418127 52.5396656),Berlin,DE,32,10435,Husemannstraße,Prenzlauer Berg,school,,,iek,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
