element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,name,operator,website,wheelchair,check_date:opening_hours,community_centre,community_centre:for,contact:phone,contact:website,description,opening_hours,fax,health_facility:type,lgbtq,phone,provided_for:homosexual,check_date,opening_hours:signed,operator:type,club,sport,disused,short_name,wikidata,access,alt_name,contact:email,contact:email_1,contact:name,fee,identity,indoor,interaction,internet_access,internet_access:fee,mode_of_organisation:decision_making,mode_of_organisation:hierarchy_chef,mode_of_organisation:members,mode_of_organisation:ownership_structure,mode_of_organisation:purpose,mode_of_organisation:scale_of_activity,mode_of_organisation:self_managed,owner,payment:cash,payment:donations,production_input:knowledge:free_licence,production_input:knowledge:p2p_licence,production_input:knowledge:public_domain,production_input:money:crowdfunding,production_input:money:gift,production_input:natural_recources:democratic,production_input:natural_recources:fair,production_input:natural_recources:regional,production_input:natural_resources:sustainable,production_input:supply_chain:fair,production_input:work:ilo_standards,provides,smoking,smoking:outside,source,start_date,wheelchair:description,drink:coffee,second_hand,note,level,toilets:wheelchair,contact:twitter,leisure,contact:fax,email,barrier,culture,contact:facebook,image,name:de,name:en,addr:housename,gay:women,gay,lgbtq:men,wikipedia,office,fetish:bdsm,fetish:bears,fetish:leather,fetish:rubber,fetish:sneakers,fetish:uniform,max_age,min_age,network,contact:phone:booking,opening_hours:covid19,description:de,is_in:city,is_in:country,is_in:country_code,name:fr,name:ro,education,facebook,instagram,twitter,youtube,religion,name:ar,fixme,changing_table,toilets,denomination,addr:floor,description:target_group,contact:instagram,contact:telegram,room,wheelchair:description:de,noname,opening_hours:url,operator:wikidata,wikimedia_commons,craft,height,shop,wheelchair:ramp,description:en,service:bicycle:diy,service:bicycle:repair,operator:short,social_facility:for,currency:EUR,currency:others,language:de,name:etymology:wikidata,brand,brand:wikidata,function,name:pl,name:et,nodes,building,building:colour,roof:shape,building:levels,heritage,heritage:operator,lda:criteria,ref:lda,roof:levels,designation,postal_code,roof:colour,heritage:website,roof:height,building:part,official_name,amenity:old,name:old,building:use,building:levels:underground,queer,addr:inclusion,TMC:cid_58:tabcd_1:Class,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:LocationCode,building:material,old_name,addr:unit,source:height,architect,heritage:description,protect_class,roof:material,landuse,building:name,building:number,military,addr:place,contact:mobile,contact:webcam,social_facility,protection_title,toilets:unisex,name:ja,proposed,loc_name,nohousenumber,addr:district,addr:state,addr:subdistrict,area,ways,type
node,401864244,POINT (13.5704821 52.4015333),,,,,,,community_centre,Kulturküche Bohnsdorf,Kulturrings in Berlin e.V,https://www.berlin.de/ba-treptow-koepenick/politik-und-verwaltung/aemter/amt-fuer-weiterbildung-und-kultur/kultur/artikel.90675.php,yes,,cultural_centre,multigeneration,,,,,,,,+49 30 67896191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,411724432,POINT (13.3896483 52.487144),,,,,,,community_centre,DTK-Wasserturm,DTK,https://dtk-wasserturm.de,,,,,,,Jugendzentrum,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,573381068,POINT (13.4701477 52.5122632),Berlin,DE,29,10247,Weichselstraße,Friedrichshain,community_centre,einLaden,Berliner Stadtmission,,no,,,,,,,"Mo,Th 16:00-18:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,603596563,POINT (13.5343392 52.49298),,,,,,,community_centre,Haus der Begegnung,,,yes,2022-04-21,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,615607326,POINT (13.4501349 52.4798006),,,,,,,community_centre,Open Tiny,Open Tiny e.V.,https://opentiny.de/,,,,,,,A space for noncommerical meetings,,,,,,,,,private_non_profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,638750039,POINT (13.4657857 52.5009791),Berlin,DE,6-8,10245,Laskerstraße,Friedrichshain,community_centre,Jugendclub E-Lok,,,limited,2021-06-25,youth_centre,juvenile,,http://zope2.in-berlin.de:8100/wsb/elok/,,Tu-We 13:00-19:00; Th 15:00-24:00; Fr 14:00-21:00; Sa 14:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,653797109,POINT (13.4496581 52.4477346),,,,,,,community_centre,Seniorenfreizeitstätte Bruno-Taut,,,no,2023-05-16,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,660820001,POINT (13.3273403 52.5443562),,,,,,,community_centre,Schwimm-Club Wedding,,,,,club_home,,,http://www.scwedding-berlin.de/,,,,,,,,,,,sport,swimming,,SC Wedding,Q2205597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,665072785,POINT (13.4397016 52.4936415),Berlin,DE,4,10999,Ratiborstraße,Kreuzberg,community_centre,Weltraum Kiezladen für nachhaltige Alltagskultur,Kiezwandler in Kreuzberg (Transition Town Ini.),,limited,,,,+49 30 61652466,http://www.kiezweltraum.de,"offener Raum für die Nachbarschaft - durch Spenden und selbstgewählte Beiträge finanziert - für Treffen, Workshops, Angebote etc. im Sinne einer nachhaltigen, solidarischen Alltagskultur",,,,,,,,,,,,,,,yes,Weltraum - Nachbarschaftsladen,andreas@kiezwandler.de,kiezwandler@transition-berlin-brandenburg.de,Andreas Teuchert,no,solidarity_economy;transition_initiative;demonetized_economy;commons;p2p_economy,yes,bartering;lending;gifting;cousing;diy_and_dit,wlan,no,"wer Verantwortung übernimmt, entscheidet, regelmäßige Unterstützer*innen haben Veto","wer Verantwortung übernimmt, entscheidet, regelmäßige Unterstützer*innen haben Veto",users,"Miete; wer Verantwortung übernimmt, entscheidet",non_profit,regional,yes,Kiezwandler in Kreuzberg,yes,yes,yes,yes,yes,yes,yes,yes,yes,partially,yes,partially,no,culture;safety;spaces;objects_of_utility;learning_opportunities;community;participation,no,yes,Solikon 2015,2009,"Straßenniveau, aber 1 Stufe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,687038533,POINT (13.4907784 52.5148305),Berlin,DE,2,10365,Schottstraße,Lichtenberg,community_centre,aufatmen,ora Kinderhilfe international e.V.,,yes,,cultural_centre,child;family,,https://www.aufatmen-lichtenberg.de,Interkulturelles Begegnunszentrum,Mo-Fr 14:00-18:00,,,,,,2023-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,775814877,POINT (13.407098 52.5049903),Berlin,DE,72,10969,Oranienstraße,Kreuzberg,community_centre,Bona Peiser,,,yes,2022-07-29,events_venue,,,http://www.bona-peiser.de/,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,791236061,POINT (13.449925 52.5139341),,,,,,,community_centre,Regenbogenhaus,,,,,,,,,,Mo-Fr 12:30-18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Freizeit- und Kulturhaus für Kinder, Jugendliche und Familien",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,799000082,POINT (13.4165594 52.4986179),Berlin,DE,6,10999,Skalitzer Straße,Kreuzberg,community_centre,Aquarium,,,yes,,cultural_centre,,,,,,,,,,,2022-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,803941786,POINT (13.4497773 52.5127904),Berlin,DE,16,10243,Grünberger Straße,Friedrichshain,community_centre,xHain,,,limited,2022-11-21,,,,https://x-hain.de/,,Mo 18:00-24:00,,,,,,,,,,,,,Q42721163,,,info@x-hain.de,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,@xHain_hackspace,hackerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,874307702,POINT (13.4185606 52.5019625),Berlin,DE,34,10999,Oranienstraße,Kreuzberg,community_centre,Ora 34,ORA34 e.V.,,,,cultural_centre,,,https://ora34.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,876244330,POINT (13.4214087 52.5016984),,,,,,,community_centre,Naunyn 65,,,,,community_hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,876249655,POINT (13.4227444 52.5010192),Berlin,DE,72,10997,Naunynstraße,Kreuzberg,community_centre,Schokofabrik,Frauenzentrum Schokoladenfabrik e.V.,,,,cultural_centre,women,,http://www.frauenzentrum-schokofabrik.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,930202350,POINT (13.46926 52.46254),Berlin,DE,129,12057,Neuköllnische Allee,Neukölln,community_centre,Jugendtreff TheCorner,Evangelischer Kirchenkreis Neukölln,,yes,,youth_centre,juvenile,+49 30 68054936,http://www.the-corner.de,,,,,,,,,,,,,,,,,,team@the-corner.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 30 68054937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,990218933,POINT (13.4240706 52.4776993),,,53,,Weisestraße,,community_centre,Stadtteil- & Infoladen Lunte,,https://www.dielunte.de/,limited,,,,,,,,,,,+49 30 622 32 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,funke@dielunte.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1092142199,POINT (13.4078199 52.496875),Berlin,DE,1,10969,Prinzenstraße,Kreuzberg,community_centre,Statthaus-Böcklerpark,,http://kma-ev.de/index.php?id=13,limited,,,juvenile,,,Jugendfreizeit- und Kulturzentrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1172686632,POINT (13.450862 52.5199801),Berlin,DE,48,10249,Mühsamstraße,Friedrichshain,community_centre,Beatbox,,,limited,2022-10-05,youth_centre,juvenile,,,,,,,,,,2021-06-21,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1252447304,POINT (13.3593081 52.542353),,,19,,Sparrstraße,,community_centre,Konfliktagentur im Sprengelkiez,,http://www.konfliktagentur.de/,limited,,,,,,,Tu-We 15:00-18:00; Th 18:00-20:00,,,,+49 30 347 174 48,,2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,kontakt@konfliktagentur.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1254190259,POINT (13.2766078 52.5874353),,,,,,,community_centre,Seniorentreffpunkt Tegel,,,yes,,community_hall,senior,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1256403115,POINT (13.444885 52.5147567),,,,,,,community_centre,Begegnungszentrum INTEGRAL e.V.,,http://www.integral-berlin.de/integral/begegnungszentrum/,yes,,,,,,,Mo-Su 14:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1293994860,POINT (13.3922587 52.5062673),Berlin,DE,85,10969,Charlottenstraße,Kreuzberg,community_centre,Seniorenfreizeitstätte Charlottenstraße 85,Bezirksamt Kreuzberg von Berlin - Abt. Sozialwesen,,yes,,,senior,,,,10:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1363483913,POINT (13.3259345 52.5340732),,,,,,,community_centre,KIMBAexpress,Berliner Tafel e.V.,,,,youth_centre,child;juvenile,,https://www.berliner-tafel.de/kimba/die-praxis/kimbaexpress/,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1425304968,POINT (13.3605167 52.5015972),,,,,,,community_centre,Nachbarschaftshaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
