element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,description,name,opening_hours,ref:isil,toilets:wheelchair,website,wheelchair,wheelchair:description,wikidata,geometry,contact:phone,check_date:opening_hours,contact:website,internet_access,internet_access:fee,internet_access:operator,wikipedia,addr:housename,contact:email,note,operator,wheelchair:description:de,phone,name:en,ref,email,changing_table,kids_area:indoor,toilets,toilets:access,level,alt_name,opening_hours:covid19,access,entrance,source,fax,service:copy,addr:place,layer,name:etymology:wikidata,contact:fax,air_conditioning,operator:type,operator:wikidata,operator:wikipedia,check_date,fixme,old_name,books:language:de,books:language:en,books:language:es,books:language:fr,books:language:ru,dog,indoor,language:de,language:en,language:others,name:it,smoking,wheelchair:description:en,wheelchair:description:eo,facebook,loc_name,min_age,name:fr,fee,tourism,books,name:de,description:de,short_name,image,start_date,nodes,building,roof:shape,building:levels,heritage,heritage:operator,lda:criteria,ref:lda,roof:levels,building:colour,building:material,roof:colour,survey:date,construction,wikimedia_commons,postal_code,heritage:website,short_name:en,roof:material,building:architecture,height,architect,building:min_level,min_height,name:ru,building:part,blind:description:de,alt_name_1,official_name,room,research_institution,addr:district,ways,architect:wikidata,name:es,name:he,name:ja,name:ko,name:pl,name:tr,name:zh,type
node,271685475,Berlin,DE,45,14195,Habelschwerdter Allee,Dahlem,library,,Philologische Bibliothek,Mo-Fr 09:00-22:00; PH off,DE-188-920,,,yes,,Q875031,POINT (13.2882826 52.4518372),,,,yes,,,de:Philologische Bibliothek der Freien Universität Berlin,,,,Freie Universität Berlin,,,Philological Library,DE-188-920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,271875991,Berlin,DE,3,14195,Arnimallee,Dahlem,library,,"Campusbibliothek Natur-, Kultur- und Bildungswissenschaften, Mathematik, Informatik und Psychologie",Mo-Fr 10:00-20:00,DE-188-930,yes,https://www.fu-berlin.de/sites/campusbib/,limited,,,POINT (13.2911582 52.4538456),,,,yes,,,,,,,Freie Universität Berlin,,,,,auskunft@campusbib.fu-berlin.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,281375131,Berlin,DE,41,13088,Bizetstraße,Weißensee,library,,Wolfdietrich-Schnurre-Bibliothek,"Mo 10:00-19:00; We 13:00-19:00; Tu 10:00-19:00; Th,Fr 10:00-19:00",,,http://www.berlin.de/ba-pankow/stadtbibliothek/wolfdietrich-schnurre/,limited,,Q28681459,POINT (13.4528367 52.5477387),,2023-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,293137702,,,,,,,library,,Stadtteilbibliothek Karow,,,,,yes,,,POINT (13.4917041 52.616548),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,308811018,Berlin,DE,75,10439,Schönhauser Allee,Prenzlauer Berg,library,,Bettina von Arnim Bibliothek,"Mo-We,Fr 13:00-19:00; Th 10:00-17:00",,yes,https://www.berlin.de/stadtbibliothek-pankow/bibliotheken/bettina-von-arnim-bibliothek/,yes,,,POINT (13.414088 52.5492616),,2023-01-04,,wlan,,,,,,,,,+4930902956933,,,,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,323991172,Berlin,,149,,Frankfurter Allee,,library,,Egon-Erwin-Kisch-Bibliothek,"We 13:00-19:00; Sa 09:00-15:00; Mo,Tu 09:00-19:00; Th,Fr 09:00-18:00",,,https://www.berlin.de/ba-lichtenberg/auf-einen-blick/buergerservice/bildung/artikel.298028.php,limited,,,POINT (13.4813674 52.5134373),,,,wlan,no,,,,,,,,+49305556719,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,333343782,Berlin,DE,66,12043,Karl-Marx-Straße,Neukölln,library,,Helene-Nathan-Bibliothek,"Mo-Fr 11:00-20:00, Tu 09:00-20:00, Sa 10:00-13:00; PH off",DE-B700,,https://berlin.de/stadtbibliothek-neukoelln,yes,,Q28681438,POINT (13.4327729 52.4819616),,,,wlan,,,,,,,,,+49 30 90239 4313,,,info@stadtbibliothek-neukoelln.de,,,,,4,"Stadtbibliothek Neukölln, Bezirkszentralbibliothek",Mo-Fr 11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,345162417,Berlin,DE,3,12165,Grunewaldstraße,Steglitz,library,,Ingeborg-Drewitz-Bibliothek,Mo-Fr 12:00-19:00; Sa 12:00-16:00,DE-B702,yes,,yes,,Q28681434,POINT (13.3196239 52.4577566),,,http://www.stadtbibliothek-steglitz-zehlendorf.de/ingeborgdrewitz.html,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,439229151,Berlin,DE,1,12587,Peter-Hille-Straße,Friedrichshagen,library,,Johannes-Bobrowski-Bibliothek,"Mo,Tu 12:00-17:00; We,Th 14:00-19:00; PH,Fr-Su off",,,http://www.sb-tk.de,yes,,Q111144671,POINT (13.6214013 52.4548013),,2022-10-17,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,444731308,Berlin,,41,12307,Steinstraße,Lichtenrade,library,,Stadtteilbibliothek Lichenrade,Mo-Fr 11:00-18:00,,designated,,yes,,,POINT (13.3974218 52.3879007),+49 30 902778286,,https://www.berlin.de/stadtbibliothek-tempelhof-schoeneberg/bibliotheken/stadtteilbibliothek-lichtenrade/,,,,,,stabi-lichtenrade@ba-ts.berlin.de,,,,,,,,yes,,yes,customers,"0,1",Edith-Stein-Bibliothek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,444994924,Berlin,DE,96,10585,Otto-Suhr-Allee,Charlottenburg,library,WLAN frei für 30 Minuten,Heinrich-Schulz-Bibliothek,Mo-Fr 11:00-19:30; Sa 11:00-16:00; PH off,,no,,yes,,,POINT (13.308865 52.5171056),+49309029-12217,,http://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/bibliotheken/artikel.203398.php,wlan,no,QSC AG,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,482710823,Berlin,DE,26,12489,Rudower Chaussee,Adlershof,library,,Zweigbibliothek Naturwissenschaften,Mo-Fr 10:00-18:00,DE-11-87,,https://www.ub.hu-berlin.de/standorte/erwin-schroedinger-zentrum,yes,,,POINT (13.5314264 52.4310682),,,,wlan,no,,,,,Zur Nutzung der Garderobenschränke bitte ein Vorhängeschloss mitbringen.,Universitätsbibliothek der Humboldt-Universität zu Berlin,,+49 30 2093-99725,,,nawi@ub.hu-berlin.de,,,,,,,,,,Geoportal Berlin / Hauskoordinaten,+49 30 2093-99722,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,486517226,,,,,,,library,,Bibliothek Campus Wilhelminenhof,Mo-Fr 10:00-21:00,,,,yes,,,POINT (13.5247238 52.4554005),,,https://bibliothek.htw-berlin.de/ueber-uns/bibliothek-campus-wilhelminenhof/,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,507660382,,,,,,,library,,KEH Bibliothek,,,,,limited,,,POINT (13.5120545 52.5280812),,,,,,,,29,,,,,,,,,,,,,,,,,,,,,Evangelisches Krankenhaus Königin Elisabeth Herzberge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,529557633,,,,,,,library,WLAN frei für 30 Minuten,Eberhard-Alexander-Burgh-Bibliothek,"Mo,Tu,Th,Fr 14:00-18:00",,yes,,yes,,,POINT (13.313449 52.4713483),,,,wlan,no,QSC AG,,,,,,,,,,,,,,,,,,,,,,,,1,Q1278826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,560823423,Berlin,DE,18-20,10965,Dudenstraße,Kreuzberg,library,WLAN frei für 30 Minuten; Abdeckung: im gesamten Gebäude + unmittelbarer Außenbereich,Friedrich-von-Raumer-Bibliothek,"Mo,Tu 13:00-19:00; We 11:00-17:00; Th 13:00-19:00; Fr 11:00-17:00",,,https://www.berlin.de/stadtbibliothek-friedrichshain-kreuzberg/bibliotheken/stadtteilbibliothek-friedrich-von-raumer/,no,,Q28738331,POINT (13.3827588 52.4851862),,,,wlan,no,HOTSPLOTS,,,,,,,+49 30 50587613,,,,,,,,,,,,,,+49 30 50587615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,586328524,Berlin,DE,7-9,14195,Lansstraße,Dahlem,library,,Bibliothek des John-F.-Kennedy-Instituts,Mo-Fr 09:00-20:00,DE-188-144,no,,no,,,POINT (13.2920178 52.4571611),+49 30 838-52862,,http://www.jfki.fu-berlin.de/library,wlan,,,,,library@jfki.fu-berlin.de,,Freie Universität Berlin,,,Library of the John F. Kennedy Institute,,,,,,,,,,,,,,,,,,+49 30 838-52860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,618048288,,,,,,,library,,Stadtteilbibliothek Buch,"Mo,Th,Fr 13:00-18:00; Tu,We 10:00-15:00",,,,yes,,,POINT (13.4937153 52.6355504),,2021-05-17,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,639552895,Berlin,DE,1,10117,Bebelplatz,Mitte,library,,HU Berlin – Zweigbibliothek Rechtswissenschaft,Mo-Fr 09:00-21:30; Sa 09:00-18:00; Su 13:00-18:00,DE-11-68,yes,,limited,,,POINT (13.3932385 52.5164298),+49 30 209 33374,,http://info.ub.hu-berlin.de/bibliothek/zweigbibliotheken/jurist/jurist.html,wlan,no,,,,,Zur Nutzung der Garderobenschränke bitte ein Vorhängeschloss mitbringen.,Universitätsbibliothek der Humboldt-Universität zu Berlin,,,HU Berlin - Law Library,,,,,,,,,,,,,,yes,,,,,no,university,Q1407819,de:Universitätsbibliothek der Humboldt-Universität zu Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,665121783,Berlin,DE,32,10117,Tucholskystraße,Mitte,library,,Comicbibliothek Renate,,,,http://www.renatecomics.de/,no,,,POINT (13.3937348 52.5261368),+49 30 97005815;+49 30 97005816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,737212457,Berlin,DE,87,10409,Greifswalder Straße,Prenzlauer Berg,library,,"Stadtbibliothek Pankow, Hauptbibliothek 'Heinrich Böll'","Mo-Tu, Th-Fr 09:00-19:00; We 13:00-19:00; Sa-Su 10:00-19:00",DE-B457,,https://www.berlin.de/stadtbibliothek-pankow/bibliotheken/heinrich-boell-bibliothek/,yes,,Q15848805,POINT (13.440864 52.5418164),,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,795561505,Berlin,DE,7,14199,Berkaer Straße,Schmargendorf,library,WLAN frei für 30 Minuten,Adolf-Reichwein-Bibliothek,"Mo-Fr 14:00-18:00; Sa,Su,PH off",,,http://www.berlin.de/ba-charlottenburg-wilmersdorf/org/bibliotheken/adolfreichweinbibliothek.html,yes,,Q55153258,POINT (13.2878878 52.4775843),,,,wlan,no,QSC AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1070809009,Berlin,DE,6,10117,Unter den Linden,Mitte,library,,Zweigbibliothek Klassische Archäologie,Mo-Th 10:00-16:00; PH off,DE-11-88,,https://www.ub.hu-berlin.de/de/standorte/zwbarchaeologie,limited,,,POINT (13.3928706 52.5190211),,,,wlan,no,,,,,Die Bibliothek befindet sich im Ostflügel des Hauptgebäudes in Raum 2082.,Universitätsbibliothek der Humboldt-Universität zu Berlin,,+49 30 2093 2234,Library of Classical Archaeology,,archaeologie@ub.hu-berlin.de,,,,,1,,,,,,,yes,,,,,,university,Q1407819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1070809020,Berlin,DE,65,10117,Dorotheenstraße,Mitte,library,,Zweigbibliothek Fremdsprachliche Philologien / Teilbibliothek Großbritannien-Zentrum,"Mo-Th 10:00-19:00; Fr 10:00-18:00; PH off; Mar 1-Apr 13, PH Mo-Fr 10:00-19:00",DE-11-149,,,yes,,,POINT (13.386705 52.5183016),,,,wlan,no,,,,,Zur Nutzung der Garderobenschränke bitte ein Vorhängeschloss mitbringen.,Universitätsbibliothek der Humboldt-Universität zu Berlin,,+49 30 2093-12377,,,fremdphilo@ub.hu-berlin.de,,,,,1;2,,,,,,,yes,,,,,,university,Q1407819,de:Universitätsbibliothek der Humboldt-Universität zu Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1346361343,Berlin,DE,9,10319,Erich-Kurz-Straße,Friedrichsfelde,library,,Bodo-Uhse-Bibliothek,"Mo-We 13:00-19:00; Th,Fr 09:00-18:00; Sa 09:00-15:00",,,https://www.berlin.de/stadtbibliothek-lichtenberg/standorte/bodo-uhse-bibliothek/,limited,,,POINT (13.5209225 52.4978553),+49 30 5122102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1356847676,Berlin,DE,120,13187,Berliner Straße,Pankow,library,ehemaliges Jüdische Waisenhaus,Janusz-Korczak-Bibliothek,"Tu,Th,Fr 10:00-19:00; Mo 10:00-20:00; We 13:00-19:00; Sa 10:00-13:00",DE-B462,,,limited,Eingang hat viele Stufen (2 Treppen). Rollstuhlgerechter Eingang auf Gebäuderückseite über Hadlichstraße erreichbar. Dort Klingel benutzen. Fahrstuhl vorhanden. Es befinden sich Schwellen zwischen den Türen (Altbau).,Q28681445,POINT (13.4123577 52.568454),,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1362209543,Berlin,DE,10,14059,Nehringstraße,Charlottenburg,library,WLAN frei für 30 Minuten,Ingeborg-Bachmann-Bibliothek,"Mo,We,Th,Fr 14:00-18:00; PH off",,,,yes,,Q55153171,POINT (13.2939985 52.5145468),+4930902924313,,http://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/bibliotheken/artikel.194044.php,wlan,no,QSC AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1425169658,Berlin,DE,20,14195,Koserstraße,Dahlem,library,,Bibliothek des Friedrich-Meinecke-Instituts und des Kunsthistorisches Instituts,,,no,,limited,,,POINT (13.2947799 52.4613917),+493083854550,,http://www.ub.fu-berlin.de/fbb/gesch-kultur/kug809.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1472976631,Berlin,DE,13,10999,Glogauer Straße,Kreuzberg,library,WLAN frei für 30 Minuten,Else-Ury-Bibliothek (Familienbibliothek Glogauer Straße),,,,,no,,,POINT (13.4362136 52.4925504),+49 30 22502613,,http://www.berlin.de/stadtbibliothek-friedrichshain-kreuzberg/bibliotheken/familienbibliothek-glogauer-strasse,wlan,no,HOTSPLOTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1481377095,Berlin,DE,135,10623,Straße des 17. Juni,Charlottenburg,library,,Die Bibliothek Wirtschaft und Management,"Mo-Fr 09:00-22:00; Sa,Su,PH off",,,,yes,,,POINT (13.3262714 52.5121417),+49 30 31422601,,https://www.dbwm.tu-berlin.de/menue/startseite/,wlan,,,,H,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,2023-06-14,"position estimated; area 5K, room 5150b","WiWiDok: Fachbibliothek für Wirtschaft, Recht & Statistik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1670728349,Berlin,DE,26,12051,Emser Straße,Neukölln,library,,Fachbibliothek Kurdologie,"Mo-Fr 11:00-16:00, ""Nach Vereinbarung""",,,,,,,POINT (13.4339544 52.4690497),,,,,,,,,,,Europäisches Zentrum für Kurdische Studien - Berliner Gesellschaft zur Förderung der Kurdologie e. V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1684737379,Berlin,DE,4,10405,Greifswalder Straße,Prenzlauer Berg,library,,Bibliothek der Freien,Fr 18:00-20:00; PH off,DE-B1576,yes,,limited,,Q856487,POINT (13.4254805 52.5286995),+49 30 7521768,,https://www.bibliothekderfreien.de/,no,,,de:Bibliothek der Freien,,DieFreien@BibliothekderFreien.de,,,Türschwellen; bitte Besuch mit Rollstuhl vorher anmelden,,Library of the Free,,,,,yes,,1,,,,,,,,,,Q8470895,,,,,,,,,yes,yes,yes,yes,yes,yes,yes,main,yes,no,Biblioteca dei Liberi,no,thresholds; please contact the library before visiting it with a wheelchair,sojloj; bonvolu kontakti la bibliotekon antaŭ viziti ĝin per rulseĝo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
