element_type,osmid,amenity,name,toilets:wheelchair,wheelchair,geometry,addr:housenumber,addr:street,historic,website,wikidata,wikipedia,addr:city,addr:country,addr:postcode,addr:suburb,email,fax,opening_hours:signed,phone,contact:email,contact:fax,contact:phone,contact:website,description,start_date,nodes,building,architect,building:levels,roof:levels,roof:shape,ele,office,check_date:opening_hours,opening_hours,height,ways,type
way,26083970,townhall,Bezirksrathaus Vaihingen,,yes,"POLYGON ((9.1099313 48.731299, 9.1097413 48.7312765, 9.1097182 48.7313614, 9.1096565 48.7313541, 9.1096061 48.7313481, 9.1095366 48.7313399, 9.1095046 48.7314575, 9.1097269 48.7314838, 9.1098763 48.7315014, 9.1099313 48.731299))",1,Rathausplatz,,,,,Stuttgart,DE,70563,,,,,,,,,,,,"[285401510, 285401518, 285401534, 4071661749, 7966133752, 285401542, 285401548, 1378334566, 285401513, 285401510]",government,,,,,,,2023-05-20,"Tu 14:00-16:00, Th 14:00-18:00, Mo,We,Fr 08:30-13:00, Tu,Th 08:30-12:00",,,
way,28875843,townhall,Bezirksrathaus Degerloch,,,"POLYGON ((9.1712475 48.7459583, 9.1714357 48.7460039, 9.1713579 48.7461435, 9.1713228 48.746135, 9.1712439 48.7462766, 9.1710908 48.7462395, 9.1712475 48.7459583))",2,Große Falterstraße,,,,,Stuttgart,,70597,,,,,,,,,,,,"[317421410, 317421411, 317421412, 317421413, 317421414, 317421415, 317421410]",government,,,,,,,,"Mo,We 08:30-13:00; Tu 08:30-12:00,14:00-16:00; Th 08:30-12:00,14:00-18:00; Fr 08:30-13:00",,,
way,35432990,townhall,Bezirksrathaus Wangen,,limited,"POLYGON ((9.244861 48.7716727, 9.2450197 48.7716926, 9.2449489 48.7719369, 9.2447902 48.7719169, 9.2448146 48.7718327, 9.244782 48.7718287, 9.2447943 48.7717861, 9.244827 48.7717901, 9.244835 48.7717624, 9.2447913 48.771757, 9.2448058 48.7717067, 9.2448496 48.7717122, 9.244861 48.7716727))",1,Wangener Marktplatz,,,,,Stuttgart,,70327,,,,,,,,,,,,"[415633439, 415633440, 415633441, 415633442, 1324397177, 1324397978, 1324396887, 1324397380, 2225904262, 2225904260, 2225904255, 2225904258, 415633439]",yes,,,,,,,,"Mo,We,Fr 08:30-13:00, Tu,Th 08:30-12:00, Tu 14:00-16:00, Th 14:00-18:00",,,
way,43037926,townhall,Bezirksamt Möhringen,,,"POLYGON ((9.1450847 48.7265292, 9.145132 48.7263618, 9.1449572 48.7263403, 9.1449449 48.7263836, 9.1449118 48.7263795, 9.1449049 48.7264039, 9.1448677 48.7263993, 9.1448567 48.7264384, 9.1448805 48.7264414, 9.1448634 48.726502, 9.1450847 48.7265292))",1,Maierstraße,,,,,Stuttgart,DE,70567,,,,,,,,,,,,"[539155788, 539155711, 3258970853, 539155709, 3258970856, 3258970858, 3258970857, 3258970860, 3258971761, 539155780, 539155788]",yes,,,,,,,,Mo-Fr 08:30-13:00; Tu 14:00-16:00; Th 14:00-18:00,,,
way,52958042,townhall,Bezirksrathaus Sillenbuch,,yes,"POLYGON ((9.2176114 48.741099, 9.2177939 48.7410373, 9.2178601 48.7411224, 9.2176754 48.7411849, 9.2177155 48.7412364, 9.2175627 48.7412881, 9.2174749 48.7411752, 9.2174069 48.7411982, 9.2173822 48.7411665, 9.2176052 48.741091, 9.2176114 48.741099))",28,Aixheimer Straße,,,,,Stuttgart,DE,70619,,,,,,,,,,,,"[671024543, 671024548, 671024546, 671024545, 671024551, 671024549, 1386727133, 1386727134, 1386727132, 1386727128, 671024543]",yes,,,,,,,,"Mo,We,Fr 08:30-13:00; Tu 08:30-12:00,14:00-16:00;Th 08:30-12:00,14:00-18:00",,,
way,92194452,townhall,Bezirksrathaus Untertürkheim,,yes,"POLYGON ((9.2536628 48.7802105, 9.2537545 48.7804191, 9.254008 48.7803707, 9.2539698 48.7802839, 9.2538793 48.7803012, 9.2538671 48.7802736, 9.2539318 48.7802612, 9.2538904 48.780167, 9.2536628 48.7802105))",24-26,Großglocknerstraße,,,,,Stuttgart,DE,70327,,,,,,,,,,,,"[1070309541, 1070309512, 1070309529, 2064311763, 2064311767, 2064311759, 2064311756, 1070309537, 1070309541]",yes,,,,,,,,,,,
way,94241258,townhall,Kulturforum Uhlbacher Rathaus e.V.,,,"POLYGON ((9.2785269 48.776426, 9.2787005 48.7763695, 9.2786263 48.7762706, 9.2784528 48.7763271, 9.2785269 48.776426))",2,Uhlbacher Platz,,,,,Stuttgart,DE,70329,,,,,,,,,,,,"[1095191883, 1095191775, 1095191655, 1095191975, 1095191883]",yes,,,,,,,,,,,
way,244207155,townhall,Rathausturm,,,"POLYGON ((9.1779994 48.7750218, 9.1780314 48.7750451, 9.177935 48.7751138, 9.1779325 48.7751122, 9.1778471 48.7750559, 9.1779457 48.7749878, 9.1779994 48.7750218))",,,,,,,,,,,,,,,,,,,,1956,"[2515481370, 3337361227, 8905593890, 2515481373, 2515481374, 2515481375, 2515481370]",yes,,,,,,,,,60,,
way,338725902,townhall,Bezirksrathaus Münster,,,"POLYGON ((9.2252004 48.8200604, 9.2253213 48.8200882, 9.2253093 48.8201108, 9.2254798 48.8201499, 9.2254945 48.8201221, 9.225466 48.8201156, 9.2255168 48.8200195, 9.2254193 48.8199972, 9.2252573 48.8199608, 9.2252004 48.8200604))",10,Schussengasse,,,,,Stuttgart,DE,70376,,,,,,,,,,,,"[3458641191, 4354029861, 4354029869, 4354029875, 1565488937, 4354029871, 1565488866, 3714460430, 3458641188, 3458641191]",yes,,,,,,,,,,,
relation,365948,townhall,Stuttgarter Rathaus,,,"POLYGON ((9.1781225 48.7746971, 9.1781141 48.7747022, 9.1781161 48.7747036, 9.1780932 48.7747191, 9.1780331 48.7747597, 9.1780282 48.7747569, 9.1780121 48.7747686, 9.1779173 48.7747099, 9.1776198 48.7745249, 9.1775644 48.7744812, 9.1775235 48.774446, 9.1769449 48.7747376, 9.1770335 48.7748185, 9.1775064 48.7751115, 9.177497 48.7751191, 9.177503 48.7751225, 9.177506 48.7751204, 9.1776061 48.7751768, 9.1776031 48.7751792, 9.1776085 48.7751822, 9.1776185 48.7751751, 9.1777444 48.7752469, 9.1779325 48.7751122, 9.1778471 48.7750559, 9.1779457 48.7749878, 9.1779994 48.7750218, 9.1783066 48.7748415, 9.1784507 48.7747553, 9.1784341 48.7747426, 9.17844 48.7747393, 9.1784138 48.7747188, 9.1785552 48.7746381, 9.178783 48.7745023, 9.1790359 48.7743522, 9.1790128 48.7743353, 9.1790625 48.7743072, 9.1790661 48.7743051, 9.178944 48.7742234, 9.1789391 48.7742273, 9.1789005 48.7742525, 9.1788961 48.7742494, 9.1788228 48.7742954, 9.1786888 48.774374, 9.1786598 48.7743916, 9.1786494 48.774401, 9.1782702 48.774624, 9.1782507 48.7746117, 9.1781225 48.7746971), (9.1772933 48.7747235, 9.1772916 48.7747142, 9.1773984 48.7746614, 9.1774115 48.7746634, 9.1774464 48.7746452, 9.1774491 48.7746351, 9.1774326 48.7746228, 9.1774944 48.7745915, 9.1775821 48.7746483, 9.177472 48.774726, 9.1773636 48.7748024, 9.1772636 48.7747402, 9.1772933 48.7747235), (9.1775905 48.7747967, 9.1776995 48.7747185, 9.1778088 48.7747871, 9.1778314 48.7748007, 9.1778111 48.7748149, 9.1778246 48.7748229, 9.1778048 48.7748364, 9.1778002 48.7748336, 9.1777825 48.7748467, 9.1777909 48.7748522, 9.1775885 48.7749957, 9.1775733 48.774986, 9.1775563 48.7749995, 9.1774189 48.7749164, 9.1775905 48.7747967))",,,,https://www.stuttgart.de/rathaus,Q1360830,de:Stuttgarter Rathaus,,,,,,,,,,,,,,,"[[[595752725, 4112855495, 595752727, 595752726, 3337361225, 3337361226, 8905593863, 8905593864, 8905593865, 8905593862, 8905593861, 595752724, 595752725], [595752731, 595752730, 8905593872, 8905593873, 8905593871, 8905593866, 8905593867, 8905593868, 8905593869, 8905593870, 595752734, 4112855497, 595752728, 4112855498, 595752731], [595752738, 8905593888, 8905593889, 595752739, 595752735, 2515481370, 2515481375, 2515481374, 2515481373, 20956793, 8905593897, 8905593895, 8905593894, 8905593893, 8905593891, 8905593892, 8905593896, 595752732, 595752723, 20956797, 20956796, 4147876477, 595752729, 4112855494, 68790446, 8905593874, 8905593875, 3644951448, 8905593876, 8905593877, 8318832469, 8318832470, 595752733], [595752733, 3937015279, 9173384938, 6246134705, 3151286112, 8905593883, 8905593884, 68790447, 8905593885, 8905593886, 20956795, 3151286114, 3151286115, 3937015285, 1059526414, 595752738]]]",public,,6,3,flat,,,,,,"[46619574, 46619575, 244207154, 894950150]",multipolygon
