element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,contact:email,contact:phone,contact:website,name,operator,tourism,website,wheelchair,wheelchair:description,wikidata,geometry,cuisine,email,outdoor_seating,phone,smoking,opening_hours,addr:suburb,created_by,payment:credit_cards,blind:description:de,checkout,contact:fax,internet_access,opening_hours:breakfast,brand,brand:wikidata,diet:vegetarian,wheelchair:description:de,internet_access:fee,internet_access:operator,disused:amenity,fax,biergarten,toilets:wheelchair,description,old_name,indoor_seating,url,note,short_name,buffet,payment:coins,payment:contactless,payment:girocard,payment:notes,takeaway,diet:fish,diet:meat,website:menu,capacity,check_date,level,opening_hours:kitchen,delivery,was:name,contact:facebook,source,entrance,access:covid19,delivery:covid19,drive_through:covid19,opening_hours:covid19,takeaway:covid19,alt_name,check_date:opening_hours,diet:vegan,opening_hours:signed,organic,lunch,lunch:buffet,diet:organic,smoking:outside,award:michelin,brand:wikipedia,reservation:email,min_age,ref,start_date,lastcheck,parking,toilets:access,toilets:changing_table,toilets:fee,toilets:scheme,payment:cash,beer_garden,changing_table,changing_table:location,last_checked,delivery:partner,brewery,air_conditioning,contact:instagram,restaurant,disused:shop,payment:american_express,payment:mastercard,payment:visa,name:de,name:en,drive_in,drive_through,indoor,payment:cards,payment:cryptocurrencies,fixme,craft,bar,reservation,historic_name,payment:debit_cards,addr:state,designation,microbrewery,diet:halal,diet:kosher,contact:mobile,toilets,outdoor_seating:capacity,old_operator,old_website,yelp,access,source:capacity,check_date:diet:vegan,is_in,last_check,was:amenity,was:cuisine,was:operator,was:website,source:ref,operator:website,payment:electronic_purses,name:zh,diet:non-vegetarian,diet:nut_free,diet:pescetarian,branch,payment:maestro,name:--2022-10,internet_access:type,source:name,owner,addr:housename,drinks,diet:dairy_free,diet:gluten_free,diet:lactose_free,opening_hours:url,drink:whisky,drink:wine,internet_access:ssid,payment:visa_debit,payment:visa_electron,opening_days,name:--2016,name:2016-09-09--,stars,breakfast,drink,board_games,drink:club-mate,contact:url,addr:subdistrict,building,contact:wheelchair,payment:db_konzernausweis,operator:type,image,mobile,self_service,cocktails,layer,planned,currency:XBT,diet:chicken,diet:healthy,diet:lacto_vegetarian,diet:local,diet:mediterranean,diet:ovo_vegetarian,payment:lightning,payment:lightning_contactless,payment:onchain,survey:date,facebook,nodes,shop,building:levels,roof:levels,check_date:diet:vegetarian,note:opening_hours,roof:shape,source:roof:shape,opening_hours:restaurant,live_music,club,name:--2015-02,name:2015-06-13--2017,name:2018-01--2020-06,name:2020-07--,drink:coffee,castle_type,historic,wikipedia,stroller,roof:note,addr:place,official_name,ref:vatin,building:levels:underground,roof:material,loc_name,smoking:description:de,outdoor_seating:comfort,room,ways,type
node,60943944,,,,,,restaurant,,,,Jägerhof,,,,,,,POINT (9.2008337 48.8196168),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,85555411,Stuttgart,DE,104,70567,Plieninger Straße,restaurant,stuttgart@dormero.de,+49 711 721 0,http://www.dormero-hotel-stuttgart.de,DORMERO Hotel,,hotel,,,,Q111388515,POINT (9.1630601 48.7223643),,,,,,,,,,Dinner im Dunkeln,14:00,+49 711 721 20 09,wifi,07:00-10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,89208710,,,,,,restaurant,,,,PizzaExpress,,,,,,,POINT (9.1704157 48.8342445),pizza,,,,,,,,,,,,,,PizzaExpress,Q662845,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,89221429,,,,,,restaurant,,,,,,,,,,,POINT (9.1682459 48.8351459),,,,,,,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,89234089,Stuttgart,,23,,Straßburger Straße,restaurant,,,,Drei Mohren,,,http://www.dreimohren-stuttgart.de/,no,,,POINT (9.172387 48.8296998),,,,,,,,,,,,,,,,,,Stufen im Eingangsbereich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,89234094,Stuttgart,DE,15,,Straßburger Straße,restaurant,,+49 711 872280,http://ross-hotels.de/,Hotel Hafner,,hotel,,,,,POINT (9.1732054 48.8296628),,,,,,,,,,,,,wlan,,,,,,no,Fairspot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,96616972,Stuttgart,,52,70178,Nesenbachstraße,restaurant,,,,Graf Eberhard,,,https://www.cafegrafeberhard.de/,limited,,,POINT (9.1760812 48.7718451),,,,,,,,,,,,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,107560929,,,,,,restaurant,,,,Waldheim Heimberg,Familie Klaus Olf,,http://www.waldheim-heimberg.de,limited,,,POINT (9.1476866 48.7999817),german,info@waldheim-heimberg.de,,+497115779532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,115583950,Stuttgart,,,70327,Finsterklinge Gewann 1/1A,restaurant,,,,7 Linden Waldschenke,,,https://www.sieben-linden-waldschenke.de/,,,,POINT (9.2949974 48.7762089),regional,info@sieben-linden-waldschenke.de,yes,+49 711 373616,,"Mo-Tu,Fr-Sa 11:30-20:00; We 11:30-15:00; PH,Su 11:30-19:00",,,,,,,,,,,,,,,,+49 711 373616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,132846971,,,,,,restaurant,,,,Waldheim Johannes,,,,,,,POINT (9.1238955 48.784497),,,,,,Tu-Su 11:30-22:00,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,137858862,Stuttgart,,75,70437,Haldenrainstraße,restaurant,,+49 711 50466891,,Dang - asian cooking,,,,limited,,,POINT (9.1859614 48.830996),asian,,,,,"Mo-Fr 11:30-15:00,17:30-22:00; Sa,Su,PH 12:00-22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,211246612,,,,,,restaurant,,,,Badstüble,,,,,,,POINT (9.1523861 48.8271566),german;greek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,243877982,Stuttgart,,373,70197,Rotenwaldstraße,restaurant,,,,"SV Heslach Gaststätte, Weitmanns Waldhaus",,,https://weitmanns.de,limited,,,POINT (9.1252012 48.7635533),german;regional,,,+497112365024,outside,"We-Sa 12:00-21:00; Mo, Tu off; Su 12:00-20:00",,,,,,,,,,,yes,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,246269520,,,,,,restaurant,,,https://www.riverhouse.de,Riverhouse,CT corporate travel & events Cool-Tours GmbH & Co. KG,,https://www.riverhouse.de,limited,,,POINT (9.2072219 48.8316765),,riverhouse@cool-tours.de,,+49 711 550422444,,Su 10:00-21:00,,,,,,,,,,,,,,,,,,,"Ganzjährig, Mo - Sa: Events auf Mietbasis für die unterschiedlichen Locations",Keefertal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,247319180,,,,,,restaurant,,,,Eisenmann,,,www.gaststätte-eisenmann.de,no,,,POINT (9.1074112 48.7181214),,,yes,,,"Tu-Th 11:00-14:30,17:00-23:00; Fr 11:00-23:00; Sa 16:00-23:00; PH,Su 11:00-21:00",,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,247660735,Stuttgart,DE,62,70569,Pfaffenwaldring,restaurant,,,,Taverna Elia,,,https://elia-stuttgart.de/,limited,,,POINT (9.1022679 48.7437349),greek,info@elia-stuttgart.de,yes,+49 711 68684268,no,"Mo-Sa 11:30-14:00,17:00-22:00",,,,,,,,,,,,,,,,,,,,Columbus;Taverna Der Grieche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,247660736,Stuttgart,DE,62,70569,Pfaffenwaldring,restaurant,,,,La Bruschetta,,,,limited,,,POINT (9.1019952 48.7437507),italian,,,+49 711 6874956,no,"Mo-Fr 11:30-15:00,18:00-22:00; Su 12:00-22:00",,,,,,,,,,,,,,,,,,,,,,http://www.la-bruschetta-vaihingen.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,249586394,,,,,,restaurant,,,,TCT-Clubhaus,,,,,,,POINT (9.1288951 48.8229035),,,,,,"Mo 11:30-14:30, 17:30-22:00;Tu off;We-Fr 11:30-14:30, 17:30-22:00;Sa 15:00-22:00;Su 11:30-14:30, 17:30-22:00;PH 11:30-14:30, 17:30-22:00",,,,,,,,,,,,,,,,,,,,,,,Tennisclub Tachenberg,TCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,254767980,,,,,,restaurant,,,,La Pergola,,,,limited,,,POINT (9.1084389 48.8159745),italian;pizza,,,,,"Tu-Fr 11:30-14:00,17:30-22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,254922484,,,,70435,,restaurant,,,,Pho à la Mama,,,https://alamama.eatbu.com,no,,,POINT (9.1664898 48.828249),vietnamese,phoalamama@gmail.com,,+49 711 8262380,,"Mo, We-Fr 11:30-13:30, 17:00-21:00; Sa-Su 17:00-21:00",,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,259718293,Stuttgart,DE,246,70499,Solitudestraße,restaurant,,,,Solitudestüble,,,https://www.solitudestueble.de,no,,,POINT (9.1133096 48.8151961),regional,,,+497118875734,,"Mo-Fr 17:00-00:00; Sa, Su 11:00-14:00, 17:00-00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,260061394,Stuttgart,,150,70195,Vaihinger Landstraße,restaurant,,,,Himmerreich,,,,limited,,,POINT (9.1190738 48.7702323),italian,,yes,+49 711 6993150,,"We-Sa 11:30-14:00,17:30-22:00;Su 11:30-14:00,17:00-21:00;Mo,Tu off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,260660609,Stuttgart,DE,6,70469,Mähderklinge,restaurant,,,,Zum Heurigen,,,,limited,,,POINT (9.1447381 48.7946528),,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,264893980,,,,,,restaurant,,,,Mulan,,,,limited,,,POINT (9.1770892 48.7760061),chinese,,,,,"Mo-Fr, PH 11:00-23:30; Su 12:00-22:00",,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,no,no,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266364751,,,,,,restaurant,,,,Asia-Thai-Sushi,,,,yes,,,POINT (9.1275672 48.7789729),thai,,,+49 711 9375949,,"Mo-Fr 11:00-15:00,17:00-22:00; Sa 17:00-22:00; Su 12:00-22:00; PH 12:00-22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
