element_type,osmid,created_by,geometry,amenity,name,wheelchair,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,website,barrier,wikidata,source,access,note,operator,url,level,email,phone,opening_hours,contact:email,contact:fax,contact:phone,nodes,building,building:levels,roof:levels,roof:shape,school,school:DE,fax,area,denomination,religion,wikipedia,roof:material,type,addr:suburb,old_name,alt_name,description,leisure,toilets:wheelchair,roof:colour,disused:shop,was:name,start_date,school:de,school_type,fixme,name:de,name:fr,ref:AEFE,contact:website,historic,image,building:name,isced:level,official_name,building:parts,short_name,designation,source:geometry,grades,layer,loc_name,ways
node,6447173239,,POINT (9.1893926 48.8018154),school,HFH Fernstudium (Hamburger Fern Hochschule),yes,Stuttgart,,147,70191,Nordbahnhofstraße,https://www.hfh-fernstudium.de/studienzentrum-deutschland-stuttgart-technik-wirtschaft-recht,,,,,,,,2,,+49 711 67235950,"Mo-Th 09:00-13:00, Fr 09:00-17:00, Sa 09:00-13:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7790812625,,POINT (9.1183547 48.7241859),school,Landwirtschaftliche Schule Hohenheim,,,,,,,https://www.lsh-stuttgart.de/,,,,,,,,,,+49 711 459 22726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10616676106,,POINT (9.1790262 48.797516),school,Kaufmännische Schule Stuttgart Nord,,Stuttgart,DE,155,70191,Heilbronner Straße,https://www.ksn-stuttgart.de/,,,,,,,,,,,,ksn@stuttgart.de,+49 711 216 92359,+49 711 216 92300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10616676107,,POINT (9.1800213 48.7980125),school,Werner-Siemens-Schule,,Stuttgart,DE,153,70191,Heilbronner Straße,https://www.wss-stuttgart.de/,,,,,,,,,,,,wss-verwaltung@stuttgart.de,+49 711 216 59999,+49 711 216 59900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10814309407,,POINT (9.2096462 48.7878051),school,ComputerSpielSchule,,,,,70190,,http://computerspielschule-stuttgart.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10951331299,,POINT (9.1756976 48.8115363),school,Johannes-Gutenberg-Schule Außenstelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10951331300,,POINT (9.1757795 48.8116316),school,Louis-Leitz-Schule Außenstelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,7972013,,"POLYGON ((9.1127314 48.7168838, 9.112746 48.7167855, 9.1129547 48.716799, 9.1130048 48.7164626, 9.1125581 48.7164337, 9.1125867 48.7162418, 9.1128344 48.7162579, 9.1128507 48.7161483, 9.1132384 48.7161735, 9.1132223 48.7162818, 9.1133029 48.716287, 9.1132799 48.716442, 9.1130693 48.7164283, 9.1130159 48.7167866, 9.1135474 48.716821, 9.113543 48.7168508, 9.1136254 48.7168561, 9.1136126 48.7169419, 9.1130203 48.7169036, 9.1130164 48.7169295, 9.1128636 48.7169196, 9.112851 48.7170039, 9.112809 48.7170012, 9.1128256 48.7168899, 9.1127314 48.7168838))",school,Schönbuchschule,limited,Stuttgart,DE,20,70565,Dürrlewangstraße,,,,,,,,,,,,,,,,"[59606917, 59606918, 59606919, 59606920, 59606921, 59606922, 59606923, 59606924, 59606925, 59606926, 59606927, 59606928, 59606929, 59606930, 1034310238, 1034310248, 59606931, 59606932, 1034310222, 7507100437, 7507100438, 59607262, 1034310247, 1034310236, 59606917]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,13806915,,"POLYGON ((9.195243 48.77919, 9.1955527 48.7792458, 9.1957266 48.7791495, 9.1957898 48.7790924, 9.1957584 48.7790777, 9.1958455 48.7789919, 9.1958782 48.7790052, 9.1959671 48.7789096, 9.1960267 48.7787786, 9.195974 48.7787668, 9.1960219 48.7786717, 9.1964905 48.7787612, 9.1965233 48.7786828, 9.1968683 48.7787699, 9.1969396 48.7787868, 9.196915 48.778834, 9.1969624 48.7788448, 9.1969738 48.778847, 9.1968514 48.7789725, 9.1967961 48.7789608, 9.1967833 48.7789583, 9.1967812 48.778963, 9.1964888 48.778907, 9.1965065 48.7788668, 9.1964937 48.7788644, 9.1964928 48.7788664, 9.1963739 48.7788436, 9.1962294 48.778814, 9.1961467 48.7789977, 9.1959082 48.7792336, 9.1955717 48.7794118, 9.1954453 48.7793915, 9.1954383 48.7793946, 9.1954279 48.7793954, 9.1954185 48.7793948, 9.1954105 48.7793929, 9.1954012 48.7793887, 9.195396 48.7793833, 9.195182 48.7793475, 9.195243 48.77919))",school,Wagenburg-Gymnasium,,Stuttgart,DE,30,70184,Wagenburgstraße,https://www.wagenburg-gymnasium.de/,,Q46995507,,,,,,,,,,,,,"[128830500, 128830505, 128830514, 128830522, 2727573179, 2727573168, 128830537, 1375630874, 1375631400, 1375630552, 128830543, 128830547, 1375631244, 2727572959, 128830551, 2727573149, 8887388341, 2727573150, 1375631377, 8887388342, 8887388345, 8887388346, 8887388349, 8887388348, 8887388347, 1375630443, 1375631091, 128830567, 128830572, 128830576, 128830581, 8887388355, 8887388353, 8887388351, 8887388350, 8887388352, 8887388354, 8887388356, 128830589, 128830500]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,15268616,,"POLYGON ((9.1166588 48.7311449, 9.1166588 48.7311261, 9.1166157 48.7311261, 9.1166157 48.7311452, 9.1164225 48.731145, 9.1164232 48.7308841, 9.1161566 48.7308838, 9.1161562 48.7310273, 9.1162619 48.7310275, 9.1162608 48.7314273, 9.1164198 48.7314275, 9.1164202 48.7313192, 9.1167366 48.7313196, 9.1167359 48.731378, 9.1169498 48.7314271, 9.1169505 48.7313198, 9.1170284 48.7313199, 9.1170281 48.7314206, 9.1171831 48.7314208, 9.1171844 48.7310167, 9.1176419 48.7310172, 9.1176417 48.7311156, 9.1175067 48.7311154, 9.1175058 48.7314116, 9.1175868 48.7314117, 9.117645 48.7314118, 9.1176449 48.7314341, 9.1176041 48.7314341, 9.117604 48.7314888, 9.1178522 48.7314892, 9.1178524 48.731433, 9.1177938 48.731433, 9.117794 48.7313983, 9.1178664 48.7313983, 9.1178669 48.7312617, 9.1177937 48.7312617, 9.1177941 48.7311172, 9.1177173 48.7311172, 9.1177177 48.7310155, 9.1178108 48.7310157, 9.1178112 48.7309128, 9.11703 48.7309117, 9.11703 48.7308886, 9.1169552 48.7308886, 9.1169551 48.7309123, 9.116829 48.7309121, 9.1168287 48.7310154, 9.1169545 48.7310155, 9.1169541 48.7311453, 9.1166588 48.7311449))",school,Fanny-Leicht-Gymnasium,,Stuttgart,DE,13,70563,Fanny-Leicht-Straße,http://www.fanny-leicht.de,,,,,,,,,,,,,,,"[2719638034, 2719638032, 2719638031, 2719638033, 151322265, 151322264, 151322263, 151322262, 151322261, 151322259, 151322288, 151322287, 8955201070, 8955201069, 8955201068, 8955201067, 151322286, 151322285, 151322284, 151322282, 1552276168, 1552276188, 151322280, 151322279, 4187681578, 1552276259, 1552276274, 2719638049, 1552276285, 2719638050, 2719638048, 2719638047, 2719638045, 2719638046, 2719638040, 2719638039, 1552276191, 1552276193, 1552276167, 1552276165, 151322274, 2719638029, 2719638026, 2719638025, 2719638028, 151322273, 151322272, 151322271, 151322269, 2719638034]",school,3,1,many,secondary,Gymnasium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,22974214,,"POLYGON ((9.1138604 48.7173834, 9.1138941 48.7170325, 9.1137721 48.7170281, 9.1137868 48.7165582, 9.1139559 48.716537, 9.1140612 48.7162759, 9.1134683 48.7161559, 9.1128254 48.7161394, 9.1125431 48.716186, 9.1124972 48.7165392, 9.1124216 48.7172334, 9.1124568 48.7172987, 9.112701 48.7173152, 9.113021 48.7173347, 9.1130868 48.7173351, 9.1138604 48.7173834))",school,Schönbuchschule,limited,,,,,,,,,,,,,,,,,,,,,"[7506069875, 7506069874, 7506069873, 7506069872, 7506069876, 7506069877, 7506069878, 7506069879, 7506069880, 7506069881, 7506069882, 7506069883, 7506069884, 7506104997, 7506069871, 7506069875]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23034551,,"POLYGON ((9.1030376 48.7227325, 9.1021362 48.7228018, 9.1020964 48.7230705, 9.1020483 48.7233038, 9.101975 48.7235612, 9.101763 48.7241158, 9.1021375 48.7241386, 9.1022409 48.7240739, 9.1024543 48.7240505, 9.1039921 48.7237257, 9.1038454 48.7234659, 9.1037578 48.7233102, 9.103687 48.7227528, 9.1030376 48.7227325))",school,Hegel-Gymnasium,,Stuttgart,DE,65,70563,Krehlstraße,,,,,,,,,,,,,,,,"[485009114, 5872936053, 5872936055, 5872936054, 3663576455, 5872321509, 476658167, 488538337, 242537109, 242537110, 485009125, 485009121, 485009119, 485009114]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23034560,,"POLYGON ((9.1007875 48.7209386, 9.1009187 48.7206417, 9.1019571 48.7206979, 9.1018956 48.721052, 9.1022184 48.7210829, 9.1019547 48.7217034, 9.1004637 48.7215755, 9.1007875 48.7209386))",school,"Verbundschule Stuttgart-Rohr, Förderschule und Schule für Erziehungshilfe",,Stuttgart,,90,70565,Krehlstraße,,,,,,,,,,,,,,,,"[83462928, 248510048, 248510049, 248510051, 248510052, 3663569366, 83462930, 83462928]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23034591,,"POLYGON ((9.096922 48.7214262, 9.0956908 48.7220256, 9.0954597 48.721829, 9.0951764 48.7216082, 9.0950648 48.7214666, 9.0950048 48.721359, 9.0950219 48.7212344, 9.0950408 48.721162, 9.0950905 48.7210928, 9.0953739 48.7209421, 9.0956104 48.7208386, 9.0956618 48.7207929, 9.0957536 48.7207445, 9.0958616 48.7206351, 9.0958813 48.7205514, 9.0958483 48.7205048, 9.0961497 48.7203936, 9.0965309 48.7207351, 9.0962956 48.7208691, 9.096922 48.7214262))",school,Albert-Schweitzer-Schule und Paulinenpflege,,,,,,,,,,,,,,,,,,,,,,"[248510179, 130031770, 130031771, 130031772, 130031773, 130031774, 130031775, 402288818, 123471261, 123471256, 1543188700, 8734342874, 123471252, 123471248, 4637221585, 248510180, 402288815, 402288816, 402288814, 248510179]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23084528,,"POLYGON ((9.1217307 48.817401, 9.1217321 48.8174868, 9.1223723 48.8174822, 9.1223702 48.8173568, 9.1219348 48.8173599, 9.1219332 48.8172593, 9.1223225 48.8172565, 9.1223642 48.8172562, 9.1223853 48.8172561, 9.1223838 48.817165, 9.1217208 48.8171697, 9.1217223 48.8172559, 9.1217558 48.8172556, 9.1217577 48.8173787, 9.1217581 48.8174008, 9.1217307 48.817401))",school,Reisach Schule,,Stuttgart,DE,14,70499,Maierwaldstraße,,,,,,,,,,reisachschule@stuttgart.de,+49 711 8894110,,,,,"[249173677, 249173678, 249173679, 249173680, 249173681, 249173682, 9140583764, 9140583767, 249173683, 249173684, 249173685, 249173686, 249173687, 8704829012, 249173688, 249173677]",yes,,,,,,+49 711 8895929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24019679,,"POLYGON ((9.1291133 48.7789887, 9.130212 48.7791075, 9.1302892 48.7787511, 9.1302939 48.7786245, 9.1289853 48.7785867, 9.1289588 48.7788077, 9.1290876 48.7788077, 9.1291133 48.7789887))",school,Franz-Schubert-Schule,no,Stuttgart,,8/10,70195,Schumannstraße,https://www.franz-schubert-schule.de/,,,,,,,,,,,,,,,"[260476705, 260476706, 260476707, 260476708, 260476709, 260476710, 260476711, 260476705]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24019720,,"POLYGON ((9.1250964 48.7818562, 9.1253845 48.7821029, 9.1254529 48.78237, 9.1258608 48.782387, 9.1263402 48.7824251, 9.1267068 48.7820654, 9.1266337 48.7818453, 9.1263603 48.7817614, 9.1263058 48.7818261, 9.1260063 48.7817252, 9.1261436 48.7815734, 9.1253871 48.7813065, 9.125257 48.7815194, 9.1250964 48.7818562))",school,Kirchhaldenschule,,Stuttgart,,7,70195,Corelliweg,https://www.kirchhaldenschule-botnang.de/,,,,,,,,,,,,,,,"[260476847, 260476848, 260476849, 5880437049, 260476850, 5253004239, 5253004240, 5880437050, 260476851, 260476852, 260476853, 260476854, 1374665572, 260476847]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24264759,,"POLYGON ((9.1035665 48.8039752, 9.1035949 48.80401, 9.1036261 48.8040282, 9.1036704 48.8040337, 9.1046716 48.8039875, 9.1048112 48.8039795, 9.1053372 48.8039647, 9.1054285 48.8039755, 9.1056008 48.8040182, 9.1060706 48.8042486, 9.1060878 48.8042495, 9.1060994 48.8042332, 9.1061088 48.8042123, 9.1063269 48.803591, 9.1063334 48.8035609, 9.1063255 48.8035293, 9.1059232 48.8028546, 9.1056147 48.8028324, 9.105593 48.802807, 9.1052716 48.8027876, 9.1050149 48.8027986, 9.1048072 48.8028335, 9.1045192 48.8029198, 9.1040952 48.8030598, 9.1037962 48.8031506, 9.103494 48.8031717, 9.1035665 48.8039752))",school,Solitude-Gymnasium,,,,,,,https://www.solitude-gymnasium.de/,,,,,,,,,solitude.gymnasium@stuttgart.de,+49 711 216-91890,,,,,"[1177174428, 7603571280, 7603571281, 7603571279, 1183631229, 7603571271, 3621670263, 7603571270, 1183631954, 1183631778, 7603571277, 7603571278, 1177110797, 262704710, 7603571266, 1177111626, 4796580962, 4796580961, 254680637, 254680639, 254680641, 254680643, 254680646, 254680648, 262704713, 1177174768, 1177174428]",,,,,,,+49 711 216-91905,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24375826,,"POLYGON ((9.2472681 48.8153392, 9.2467756 48.8152353, 9.2466279 48.8154975, 9.246449 48.8154548, 9.2461218 48.8159985, 9.246896 48.8161986, 9.2472286 48.8156302, 9.2471124 48.8155993, 9.2472681 48.8153392))",school,Albertus-Magnus-Gymnasium,yes,Stuttgart,,90,70374,In den Ringelgärten,https://www.amgs.de/,,Q2639511,,,,,,,mail@vw.amgs.de,,,,,,"[264483801, 264483802, 720404152, 720404148, 264483803, 264483804, 720404146, 720404155, 264483801]",,,,,,,,,roman_catholic,christian,de:Albertus-Magnus-Gymnasium Stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24604839,,"POLYGON ((9.1565178 48.8118321, 9.1572862 48.8120662, 9.1577837 48.8112992, 9.1570669 48.8110892, 9.1565178 48.8118321))",school,Bismarckschule: Jahn-Sporthalle,no,,,,,,,,,,,,,,,bismarckschule@stuttgart.de,+49 (0) 711 859 326,,,,,"[267466296, 267466297, 267466298, 267466299, 267466296]",,,,,,,+49 (0) 711 856 8203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24604840,,"POLYGON ((9.1571357 48.8114917, 9.1572016 48.8113992, 9.1572383 48.8114112, 9.157271 48.8113987, 9.1572884 48.8113754, 9.1574274 48.8114179, 9.1574333 48.8114096, 9.157526 48.8112785, 9.1575318 48.8112686, 9.1572223 48.8111736, 9.1572153 48.8111791, 9.157183 48.8111746, 9.1571801 48.8111689, 9.157077 48.8111945, 9.1570794 48.8112, 9.1570564 48.8112162, 9.1570509 48.8112147, 9.1569056 48.8114216, 9.1571357 48.8114917))",school,Bismarckschule,limited,Stuttgart,DE,76,70469,Wiener Straße,,,,,,,,,,,,,,,,"[267466308, 1333984550, 9365700799, 9365700798, 1333984549, 9365700801, 267466310, 267466311, 9365700800, 1333984545, 9365700797, 9365700794, 9365700793, 9365700792, 9365700795, 9365700796, 1333984546, 267466314, 267466308]",yes,,,hipped,,,,,,,,roof_tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24604854,,"POLYGON ((9.1554829 48.8115169, 9.1564198 48.8118039, 9.1569388 48.8110435, 9.15621 48.8108048, 9.1558433 48.8113528, 9.1556125 48.8112842, 9.1554829 48.8115169))",school,Neues Gymnasium Leibniz,no,Stuttgart,,71,70469,Klagenfurter Straße,https://www.gymnasium-feuerbach.de/,,Q22992450,,,,,,,,,,,,,"[267466433, 267466434, 267466435, 267466436, 267466437, 267466438, 267466433]",,,,,,,,,,,,,site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24604865,,"POLYGON ((9.1557233 48.8127876, 9.1563526 48.8118692, 9.1557899 48.8116998, 9.155614 48.812064, 9.1555169 48.8122151, 9.1554305 48.8123489, 9.1552835 48.8123754, 9.1551243 48.8126044, 9.1557233 48.8127876))",school,,no,,,,,,,,,,,,,,,,,,,,,"[1354233704, 267466521, 1354233537, 1354233565, 1354233600, 1354233627, 1354233632, 335741850, 1354233704]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24604869,,"POLYGON ((9.1555462 48.8122966, 9.1557693 48.8123642, 9.1557705 48.8123624, 9.1559693 48.8124226, 9.1560303 48.8123353, 9.1558316 48.8122751, 9.155848 48.8122516, 9.1560436 48.8119716, 9.1560643 48.8119419, 9.1562604 48.8120012, 9.1563212 48.8119142, 9.1561252 48.8118548, 9.1561262 48.8118534, 9.1559034 48.8117859, 9.1559014 48.8117888, 9.1558108 48.8117613, 9.1557593 48.8118351, 9.1558228 48.8118543, 9.1558071 48.8118765, 9.1558189 48.8119057, 9.1556272 48.8121807, 9.155594 48.8121897, 9.1555766 48.8122131, 9.1555868 48.8122385, 9.1555462 48.8122966))",school,Leibniz-Gymnasium,no,Stuttgart,DE,75,70469,Klagenfurter Straße,,,Q1813716,,,,,,,Leibniz-Gymnasium@stuttgart.de,+49 (0) 711 216 - 5276,,,,,"[267466541, 9365700839, 9365700838, 267466542, 267466543, 267466544, 1354233610, 1354233556, 267466545, 267466546, 267466547, 9365700835, 9365700832, 9365700833, 9365700834, 267466548, 1354233542, 1354233544, 1354233546, 1354233553, 9365700837, 9365700830, 9365700831, 9365700836, 267466541]",yes,,,,,,+49 (0) 711 216-5313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24604883,,"POLYGON ((9.1557684 48.8137345, 9.1552634 48.8145247, 9.1552448 48.8145541, 9.1554658 48.8146178, 9.1559716 48.8147493, 9.1568841 48.8140735, 9.1572189 48.8135593, 9.1564894 48.8133332, 9.1566095 48.813158, 9.155777 48.8128924, 9.1555967 48.8131467, 9.1553385 48.8130742, 9.155056 48.8135254, 9.1557684 48.8137345))",school,Kerschensteinerschule,limited,Stuttgart,,72,70469,Steiermärker Straße,https://www.kerschensteinerschule.de/,,,,,,,,,,,,,,,"[267466619, 4343730563, 4343730564, 325698552, 267466621, 325698553, 267466622, 267466623, 267466624, 267466625, 267466626, 267466627, 267466628, 267466619]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24604898,,"POLYGON ((9.1554261 48.8143621, 9.1555324 48.8143948, 9.1554362 48.8145307, 9.1557796 48.8146361, 9.155864 48.8145167, 9.1559517 48.8145436, 9.1559172 48.8145924, 9.1560215 48.8146244, 9.1562711 48.8142716, 9.1563702 48.814302, 9.1565229 48.814086, 9.1564502 48.8140637, 9.1564297 48.8140574, 9.1564706 48.8139993, 9.1566195 48.8140448, 9.1566743 48.813967, 9.1566269 48.8139525, 9.1567924 48.8137176, 9.1566736 48.8136814, 9.1566251 48.8137501, 9.1562579 48.813638, 9.15623 48.8136784, 9.1563866 48.8137267, 9.1562149 48.8139679, 9.1561949 48.8139618, 9.1560553 48.813919, 9.155968 48.8140423, 9.1560347 48.8140627, 9.1558098 48.8143807, 9.1557817 48.8143721, 9.1558138 48.8143267, 9.155812 48.8143214, 9.1558075 48.8143154, 9.1557997 48.8143113, 9.1557892 48.8143093, 9.1557789 48.8143107, 9.1557715 48.8143137, 9.1557394 48.8143591, 9.1557089 48.8143498, 9.1558058 48.8142128, 9.1555806 48.8141437, 9.1554261 48.8143621))",school,,limited,,,,,,,,,,,,,,,,,,,,,"[267466780, 9389594049, 9389594048, 267466781, 267466782, 9389594047, 9389594046, 267466783, 267466784, 267466785, 267466786, 9389585296, 9389594045, 9389594044, 9389594032, 9389594030, 9389594031, 9389594033, 9389594029, 9389594028, 9389594027, 9389594026, 9389594034, 9389594035, 9389585285, 267466787, 9389594036, 9389594037, 9389594043, 9389594040, 9389594038, 9389585277, 9389585275, 9389585274, 9389585276, 9389585278, 9389594039, 9389594041, 9389594042, 267466788, 267466789, 267466780]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24604903,,"POLYGON ((9.1562871 48.813595, 9.1563174 48.8136051, 9.1563453 48.813565, 9.1563484 48.8135659, 9.1563956 48.8134979, 9.1557684 48.813309, 9.1556862 48.8132841, 9.1554624 48.8132169, 9.1553873 48.8133251, 9.1560426 48.8135235, 9.1562871 48.813595))",school,,,,,,,,https://www.kerschensteinerschule.de/,,,,,,,,,,,,,,,"[267466812, 267466813, 267466814, 267466815, 267466816, 267466819, 267466820, 267466821, 267466822, 267466827, 267466812]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
