element_type,osmid,amenity,denomination,name,religion,wheelchair,geometry,website,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,opening_hours,source,entrance,tourism,contact:website,level,old_name,service_times,office,operator,wikidata,wikipedia,denomination:de,short_name,toilets:wheelchair,check_date,access,addr:suburb,club,note,description,start_date,network,url,alt_name,contact:phone,name:source,official_name,official_name:source,fee,historic,nodes,building,building:material,height,roof:material,roof:orientation,roof:shape,email,fax,phone,architect,building:architecture,image,roof:colour,building:levels,ref,roof:direction,source:roof:shape,architect:1811-1944,architect:1955-,former:location,name:-1808,name:1811-,wikimedia_commons,building:start_date,roof:levels,name:signed,contact:email,denomination:wikipedia,name:en,building:colour,consecrationname,roof:height,source:addr,name:de,wheelchair:description,ele,year_of_construction,place_of_worship,architect:wikidata,name:ro,source:geometry,building:name,deanery,diocese,name:etymology:wikidata,air_conditioning,internet_access,loc_name,note:height,FIXME,inside,ways,payment:cards,payment:credit_cards,payment:debit_cards,type
node,1258074753,place_of_worship,seventh_day_adventist,Chiesa Avventista,christian,,POINT (9.2273738 48.8025131),,,,43,,Kissinger Straße,,,,,http://bwv.adventisten.de/kirche-vor-ort/adventgemeinde/lo/stuttgart-italiener/gottesdienst/,0-1,Siebenten-Tags Adventisten,"Sa 09:30, 10:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1343655778,place_of_worship,universal_life,Universelles Leben,christian,,POINT (9.1674641 48.773208),,,,,,,,,yes,,,,,,yes,Universelles Leben e.V.,Q920852,de:Universelles Leben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1853925505,place_of_worship,evangelical,Evangelium für Alle (EfA) Stuttgart,christian,yes,POINT (9.2149541 48.818954),,Stuttgart,,18,70376,Zuckerfabrik,,,,,,,,10:30-12:00,,,,,Evangelische Freikirche,EfA,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1896410080,place_of_worship,apostolic,Apostolische Gemeinde Stuttgart,christian,,POINT (9.1580591 48.7712812),https://www.apostolisch.de/sueddeutschland/stuttgart.html,Stuttgart,DE,30A,70197,Schwabstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2494071122,place_of_worship,,Christengemeinschaft Stuttgart-Mitte,christian,,POINT (9.1960201 48.7860754),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3034740635,place_of_worship,lutheran,Schlosskapelle,christian,,POINT (9.0849207 48.7861637),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3066121603,place_of_worship,,,muslim,limited,POINT (9.1613482 48.8099216),,Stuttgart,DE,72b,70469,Stuttgarter Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3135544813,place_of_worship,,Islamische Gemeinschaft Stuttgart e.V.,muslim,,POINT (9.2522665 48.7653547),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3787858265,place_of_worship,,Al-Madina-Moschee,muslim,,POINT (9.2159608 48.8057545),,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3836686310,place_of_worship,pentecostal,Gemeinde Gottes Stuttgart,christian,no,POINT (9.2192691 48.8037962),,Stuttgart,,19,70372,Waiblinger Straße,,,,,,,,Gottesdienst: Sonntag (Sunday) 10:00 Uhr; Bibelstunde: Mittwoch (Wednesday) 19:00 Uhr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3929788389,place_of_worship,,Islamisches Zentrum Stuttgart e.V.,muslim,,POINT (9.2213833 48.8038568),http://www.iz-stuttgart.de/,Stuttgart,DE,30,70372,Waiblinger Straße,,,,,,,,,,,,,,,,,,,religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4133884838,place_of_worship,sunni,AL UMMA,muslim,,POINT (9.1734544 48.767699),,,,,,,,,,,,,,,,,,,,,,,,,,Angaben von Gebäude auf Knoten übertragen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4211574585,place_of_worship,sunni,Islamisches Kulturzentrum für Bosnier e.V.,muslim,,POINT (9.2084465 48.8087649),,Stuttgart,DE,28,70376,Haldenstraße,,,,,,,,,,,,,,,,,,,,bosnian,,1991,,,Bosnische Moschee Stuttgart,+49 711 5498202,"Tafel, angebracht über dem Hauseingang",Bosnische Moschee - Islamisches Kulturzentrum der Bosniaken e.V.,https://www.stuttgart.de/item/show/305802/1/dept/159697?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5040899839,place_of_worship,new_apostolic,Neuapostolische Kirche,christian,,POINT (9.2318335 48.8029169),,Stuttgart,DE,104,70372,Dennerstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6398232394,place_of_worship,,Scientology Gemeinde Baden-Württemberg,scientologist,,POINT (9.1808618 48.7922954),https://www.scientology-stuttgart.org/,Stuttgart,DE,69,70191,Heilbronner Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6428015658,place_of_worship,messianic_jewish,Adon Jeschua,christian,,POINT (9.2189669 48.8235615),https://adon-jeschua.de/,Stuttgart,DE,69,70376,Mainstraße,,,,,,,,,,,,,,,,,,,,,jüdisch-messianische Gemeinde Adon Jeschua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6473838283,place_of_worship,,God is Love International Ministry,christian,no,POINT (9.1160157 48.7298946),http://www.gilim.org/,Stuttgart,DE,29,70563,Möhringer Landstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8731050143,place_of_worship,brethren,Himmlisches Jerusalem,christian,,POINT (9.0976541 48.7317107),,Stuttgart,DE,46,70563,Wolfmahdenstraße,,,,,https://www.himmlisches-jerusalem.de/,,,,,,,,,,,,,,,,,,,http://www.relinfo.ch/lexikon/christentum/aeltere-und-evangelikale-freikirche/bruederbewegung-darbysten/himmlisches-jerusalem/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9003326770,place_of_worship,protestant,Württembergischer Christusbund Plieningen,christian,,POINT (9.2103636 48.7006611),https://halfi.info/,Stuttgart,,6,70599,Halfgarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10882992314,place_of_worship,baptist,International Baptist Church of Stuttgart,christian,,POINT (9.083796 48.7308184),https://www.ibcstuttgart.de,Stuttgart,,38,70569,Untere Waldplätze,,,,,,,,"Su 09:30,11:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,9727140,place_of_worship,lutheran,Stiftskirche,christian,,"POLYGON ((9.1775888 48.776539, 9.1775785 48.7765468, 9.1775892 48.7765529, 9.1775997 48.776545, 9.1776163 48.7765545, 9.1776229 48.7765581, 9.1775808 48.7765878, 9.1775715 48.7765822, 9.1775649 48.7765872, 9.1775742 48.7765928, 9.1775639 48.7766002, 9.1775584 48.7765969, 9.1775533 48.7766004, 9.1775588 48.7766036, 9.1775532 48.7766076, 9.177561 48.7766118, 9.1775664 48.7766081, 9.177606 48.776631, 9.1776008 48.7766349, 9.1776101 48.7766402, 9.1776146 48.7766367, 9.1776611 48.7766642, 9.1776569 48.7766674, 9.177667 48.7766735, 9.1776714 48.7766705, 9.1777171 48.7766965, 9.1777117 48.7767003, 9.1777221 48.7767062, 9.1777267 48.7767028, 9.1777784 48.7767324, 9.1777729 48.7767366, 9.1777826 48.7767423, 9.1777879 48.7767389, 9.1778394 48.7767682, 9.1778338 48.7767722, 9.1778433 48.776778, 9.1778488 48.7767741, 9.1779038 48.776806, 9.177894 48.7768135, 9.1779768 48.776861, 9.1779842 48.7768606, 9.1779884 48.7768579, 9.1779897 48.776853, 9.1780326 48.7768779, 9.178021 48.7768863, 9.1780457 48.7769013, 9.1780574 48.7768936, 9.1780979 48.7769188, 9.1780877 48.7769261, 9.1780973 48.7769318, 9.178108 48.7769246, 9.178141 48.7769446, 9.1781712 48.776947, 9.1781783 48.776954, 9.1781888 48.7769489, 9.178181 48.7769415, 9.1781996 48.7769282, 9.1782077 48.7769304, 9.1782103 48.7769202, 9.1782144 48.7769174, 9.1782699 48.7769129, 9.1782774 48.7769259, 9.178287 48.7769237, 9.1782789 48.776909, 9.178318 48.7768816, 9.1783405 48.7768873, 9.1783444 48.7768799, 9.1783227 48.7768735, 9.1783159 48.7768385, 9.1783375 48.7768312, 9.1783325 48.7768238, 9.1783121 48.7768302, 9.1782714 48.776803, 9.1782853 48.776794, 9.1782765 48.7767872, 9.1782621 48.7767968, 9.1782071 48.7767622, 9.1782208 48.7767528, 9.1782107 48.776747, 9.1781973 48.776757, 9.1781704 48.7767408, 9.1781829 48.7767312, 9.1781816 48.7767219, 9.1781659 48.776713, 9.1781753 48.7767055, 9.1781212 48.7766734, 9.1781549 48.7766497, 9.1781706 48.7766392, 9.1780994 48.7765938, 9.1780706 48.7766136, 9.1778993 48.7765069, 9.1778933 48.7765113, 9.1778424 48.7764809, 9.1778492 48.7764762, 9.1777898 48.7764405, 9.1777895 48.7764329, 9.1777756 48.7764334, 9.1777771 48.7764462, 9.1777289 48.7764794, 9.1777229 48.7764761, 9.1777192 48.776474, 9.1776982 48.776473, 9.1776881 48.7764669, 9.1776769 48.7764744, 9.177663 48.7764657, 9.1776541 48.7764726, 9.1776683 48.7764808, 9.1776484 48.776496, 9.177625 48.7765137, 9.1775998 48.7765326, 9.1775835 48.7765232, 9.1775739 48.7765304, 9.1775888 48.776539))",,Stuttgart,DE,12,70173,Stiftstraße,,,,,,,,,,,Q321819,de:Stiftskirche (Stuttgart),,,,,,,,,,,,,,,,,,,,"[76940531, 6051682165, 6051682164, 6051682972, 2392086916, 595765591, 6051682970, 6051682968, 6051682969, 6051682971, 6611969203, 595765597, 6611969202, 7052677214, 7052677212, 7052677211, 7052677213, 7052669816, 7052669806, 7052669805, 7052669815, 7052669814, 7052669804, 7052669803, 7052669813, 7052669812, 7052669802, 7052669801, 7052669811, 7052669810, 7052669800, 7052669799, 7052669809, 7052669808, 7052669798, 7052669797, 7052669807, 7052677218, 7052677217, 7052677216, 7052677215, 7052677210, 7052677219, 6611969208, 6611969207, 6611969206, 6611969209, 6611969210, 6611969205, 6611969204, 6611970030, 595765614, 6051682980, 6051682974, 6051682973, 6051682979, 6051682978, 6051682975, 6051682977, 595765601, 595765603, 595765605, 595765606, 595765602, 595765608, 595765609, 76940533, 595765604, 595765607, 595765611, 595765610, 595765612, 4507232658, 4507232659, 4507232660, 4507232661, 4507232662, 4507232663, 4507232664, 4507232665, 2392086939, 3337448288, 6238749007, 6238749008, 6238749009, 76940534, 3787588144, 595765600, 595765596, 76940536, 6051682964, 6051682158, 6051682962, 6051682963, 76940537, 6051682965, 6051682966, 6051682967, 595765595, 2392086886, 6051682159, 6051682160, 595765592, 2392086889, 6051682161, 6051682162, 6051682163, 2392086898, 2392086911, 6051682168, 6051682166, 6051682167, 76940531]",yes,brick,20,roof_tiles,along,half-hipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,9862220,place_of_worship,lutheran,Leonhardskirche,christian,,"POLYGON ((9.1804772 48.7735263, 9.1805015 48.7735452, 9.1804904 48.7735515, 9.1804969 48.7735565, 9.1805078 48.7735502, 9.1805269 48.7735645, 9.180523 48.7735732, 9.1805331 48.7735758, 9.1805376 48.7735669, 9.1805699 48.7735681, 9.1805767 48.7735775, 9.1805864 48.7735742, 9.1805797 48.7735658, 9.1806067 48.7735499, 9.1806227 48.7735623, 9.1806351 48.7735553, 9.1806516 48.7735681, 9.1806417 48.7735837, 9.1806545 48.7735879, 9.1806647 48.7735724, 9.1807117 48.773575, 9.1807148 48.7735905, 9.1807312 48.773589, 9.1807292 48.7735716, 9.1807344 48.7735686, 9.1807426 48.7735697, 9.1807545 48.7735623, 9.1807532 48.7735578, 9.1807623 48.7735528, 9.1807854 48.7735585, 9.1807902 48.7735498, 9.1807695 48.7735453, 9.1807703 48.7735111, 9.1807959 48.7735089, 9.1807961 48.7735006, 9.1808126 48.7734922, 9.1808283 48.7734945, 9.180831 48.773488, 9.180817 48.7734858, 9.1808206 48.7734675, 9.1808351 48.7734643, 9.1808326 48.7734577, 9.180816 48.773461, 9.180792 48.7734425, 9.1808023 48.7734367, 9.1807945 48.7734306, 9.1807837 48.7734367, 9.1807622 48.7734201, 9.1806952 48.7733683, 9.1806898 48.7733714, 9.1806359 48.7733298, 9.1806516 48.7733209, 9.1806406 48.7733124, 9.1806239 48.7733218, 9.1805762 48.773285, 9.1805932 48.7732755, 9.1805829 48.7732675, 9.1805655 48.7732773, 9.1805201 48.7732422, 9.1805368 48.7732328, 9.1805277 48.7732258, 9.1805102 48.7732357, 9.1804628 48.773199, 9.1804789 48.7731899, 9.1804702 48.7731831, 9.1804528 48.7731929, 9.1803954 48.7731485, 9.1803959 48.7731307, 9.1803806 48.7731317, 9.1803816 48.7731481, 9.1803304 48.7731769, 9.180309 48.7731603, 9.1802961 48.7731676, 9.1803173 48.773184, 9.1802329 48.7732315, 9.1802131 48.7732162, 9.1802016 48.7732226, 9.1802215 48.773238, 9.1801749 48.7732642, 9.1801471 48.7732603, 9.1801438 48.7732723, 9.1801669 48.7732746, 9.1802255 48.7733198, 9.1802078 48.7733298, 9.1802167 48.7733366, 9.1802356 48.773326, 9.1802814 48.7733613, 9.1802648 48.7733707, 9.180274 48.7733777, 9.1802899 48.7733688, 9.180338 48.7734059, 9.1803215 48.7734152, 9.1803315 48.7734229, 9.1803483 48.7734135, 9.1803932 48.7734481, 9.1803767 48.7734574, 9.1803869 48.7734652, 9.1804034 48.7734559, 9.180477 48.7735128, 9.1804772 48.7735263))",https://www.leonhardskirche.de/,Stuttgart,DE,26,,Leonhardsplatz,,,,,,,,,,,Q1819339,de:Leonhardskirche (Stuttgart),,,,,,,,,,,,,,,,,,,,"[79485771, 4769847187, 4769847191, 6135811922, 4769847190, 4769847197, 4769847202, 4769847203, 1059527236, 4769847200, 4769847205, 4769847204, 4769847198, 282063011, 4769847196, 4769847192, 4769847199, 4769847206, 4769847207, 282063009, 282063006, 4769847209, 4769847208, 4769847201, 6135811921, 6135809049, 6135809048, 6135809050, 282063000, 4769847194, 4769847189, 4769847188, 282062998, 6135809046, 6135809047, 4769847178, 4769847180, 4769847177, 282062997, 4769847173, 4769847174, 4769847171, 282062996, 4769846975, 4769846973, 6135809045, 4769846971, 6340762610, 6135809043, 6135809044, 4769846943, 4769847036, 4769847032, 4769847037, 4769846939, 4769846934, 4769847169, 4769846936, 4769847164, 4769846809, 4769846807, 4769847161, 4769847160, 4769847156, 4769847151, 4769847157, 4769846790, 4769847144, 79485773, 4769847150, 4769846798, 4769846793, 4769846796, 4769847152, 4769846808, 4769846802, 4769846805, 4769847162, 4769847167, 4769847166, 79485770, 4769846933, 4769847034, 4769846941, 4769846944, 4769846942, 4769846948, 4769846951, 4769846955, 4769846952, 4769846962, 4769846965, 4769846967, 4769846964, 4769846976, 4769846978, 4769847172, 4769846979, 4769847183, 79485771]",church,,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23117515,place_of_worship,methodist,Evangelisch-methodistische Kirche,christian,,"POLYGON ((9.118048 48.8113253, 9.1180455 48.8113372, 9.1180913 48.8113414, 9.1181006 48.8112971, 9.1180598 48.8112933, 9.1180806 48.8111947, 9.1179003 48.8111783, 9.117904 48.8111605, 9.1178251 48.8111533, 9.1177937 48.811302, 9.118048 48.8113253))",http://www.atlas.emk.de/emk_stuttgart_weilimdorf.html,Stuttgart,DE,30,70499,Deidesheimer Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1191895214, 1191895545, 1191896493, 1191894801, 1191896743, 1191896833, 249577263, 1191896376, 249577260, 249577261, 1191895214]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23117516,place_of_worship,catholic,Sankt Theresia,christian,,"POLYGON ((9.115433 48.8108775, 9.1154311 48.811135, 9.1154745 48.8111351, 9.115474 48.8112002, 9.1156155 48.8112007, 9.1156142 48.8113754, 9.1157582 48.8113759, 9.1157601 48.8111221, 9.115689 48.8111219, 9.1156908 48.8108783, 9.115433 48.8108775))",http://www.sttheresia.de,Stuttgart,DE,8,70499,Pirmasenser Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[249577264, 1191895191, 249577265, 1191894478, 1191895868, 1191896414, 249577266, 249577267, 249577268, 249577269, 249577264]",yes,,,,,,pfarramt@stTheresia.de,+49 711 8875820,+49 711 8872133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23210201,place_of_worship,lutheran,Wolfbuschkirche,christian,,"POLYGON ((9.1055927 48.8067129, 9.105588 48.8067261, 9.1055238 48.8067137, 9.1055061 48.8067622, 9.105568 48.8067762, 9.1055113 48.8069289, 9.105687 48.8069571, 9.1057394 48.8068049, 9.1057718 48.8068088, 9.1057877 48.8068041, 9.1057965 48.8067948, 9.1057947 48.8067801, 9.1057647 48.8067711, 9.1057743 48.8067481, 9.1055927 48.8067129))",,Stuttgart,DE,2,70499,Im Wolfbusch,,,,,,,,,,,Q2588880,,,,,,,Wolfbusch,,,,,,,,,,,,,,"[251061764, 1421887375, 1421887372, 1421887381, 1421887384, 251061765, 251061766, 1421887395, 1421887397, 1421887394, 1421887391, 1421887386, 1421887383, 251061767, 251061764]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024780,place_of_worship,catholic,St. Clemens,christian,no,"POLYGON ((9.1293756 48.7752087, 9.1294439 48.7751929, 9.1294593 48.7752168, 9.1297366 48.7751587, 9.1296744 48.7750281, 9.1293224 48.7751046, 9.1293756 48.7752087))",,Stuttgart,DE,21,70195,Lortzingstraße,,,,,,,,,,,,,,,,,,,,,,1933,,,,,,,,,,"[260545616, 6479084416, 6479084417, 260545617, 260545618, 260545619, 260545616]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024808,place_of_worship,lutheran,Auferstehungskirche,christian,no,"POLYGON ((9.1241628 48.7798333, 9.1242384 48.7798489, 9.1242528 48.7798161, 9.1243685 48.7798381, 9.1243549 48.7798691, 9.1244718 48.7798912, 9.1244961 48.7798358, 9.1245257 48.7798414, 9.1245583 48.7798294, 9.1245748 48.7797983, 9.1245539 48.7797769, 9.1245202 48.7797705, 9.1245436 48.779717, 9.1244793 48.7797048, 9.1244658 48.7797356, 9.1242559 48.7796957, 9.1242425 48.7797265, 9.1242106 48.7797204, 9.1241628 48.7798333))",,Stuttgart,DE,26,70195,Eltinger Straße,,,,,,,,,,,,,,,,,,Botnang,,,,1955,,,,,,,,,,"[260545758, 1776551855, 1776551849, 1776551852, 1776551857, 260545759, 1776551853, 1776551854, 1776551851, 1776551847, 1776551842, 1776551840, 260545760, 1776551833, 1776551839, 260545761, 1776551837, 1776551835, 260545758]",church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24024812,place_of_worship,roman_catholic,Christus-Erlöser-Kirche,christian,yes,"POLYGON ((9.13236 48.7813057, 9.1325549 48.7812982, 9.1325566 48.7812852, 9.1326106 48.7812809, 9.1326287 48.7812032, 9.1324124 48.7811287, 9.1323321 48.7812096, 9.13236 48.7813057))",http://www.st-clemens-stuttgart.de,Stuttgart,DE,16,70195,Leharstraße,,,,,,,,,,,,,,,,,,,,,,1971,,,,,,,,,,"[260545773, 260545774, 260545775, 1776675955, 1776675954, 260545776, 260545777, 260545773]",church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24025007,place_of_worship,lutheran,Nikodemuskirche,christian,no,"POLYGON ((9.1308794 48.776415, 9.1311014 48.7764771, 9.1312136 48.7763029, 9.1309895 48.7762403, 9.1309414 48.776315, 9.1309323 48.7763125, 9.1309291 48.7763083, 9.1308889 48.7763697, 9.1308954 48.7763698, 9.1309065 48.7763729, 9.1308794 48.776415))",,Stuttgart,DE,5,70195,Fleckenwaldweg,,,,,,,,,,,,,,,,,,,,,,1967,,,,,,,,,,"[260547311, 260547312, 260547313, 260547314, 6479084415, 6479084412, 6479084410, 6479084411, 6479084413, 6479084414, 260547311]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
