element_type,osmid,source,geometry,entrance,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,name,note,website,wheelchair,wheelchair:description,addr:country,contact:email,contact:fax,contact:phone,opening_hours,operator,addr:suburb,check_date:opening_hours,opening_hours:signed,community_centre,source:addr,club,denomination,community_centre:for,gay:women,name:en,contact:facebook,contact:instagram,contact:twitter,email,gay,lgbtq,phone,access,description,check_date,toilets:wheelchair,wikidata,operator:type,alt_name,contact:website,kids_area,polling_station,brand,nodes,building,building:levels,roof:shape,internet_access,roof:levels,shop,start_date,fax,religion,source:roof:shape,max_age,min_age,short_name,addr:housename,landuse,leisure
node,8721169797,,POINT (9.1552539 48.7426101),,Stuttgart,2-4,70597,Johannes-Krämer-Straße,community_centre,Gemeindezentrum Sonnenbergkirche,,,,,,,,,,Ev. Kirchengemeinde Stuttgart-Sonnenberg,,,,,,,,,,,,,,,,,,,,,,,religious,,,,yes,,,,,,,,,,,,,,,,,,
node,9783179036,,POINT (9.2099266 48.7843753),,Stuttgart,75,70188,Schönbühlstraße,community_centre,Kinder & Jugendhaus Ostend,,https://www.dasostend.net/,,,DE,,,,Tu-We 13:00-19:00; Th-Fr 14:00-21:30; Sa 12:00-17:00,Stuttgarter Jugendhaus gGmbH,,,,youth_centre,,,,child;juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10271042521,,POINT (9.1551269 48.775461),,Stuttgart,22,70193,Bebelstraße,community_centre,Bürgerräume Stuttgart-West,,http://www.brs-west.de/,,,,,,,,MTV Stuttgart 1843 e.V.,West,,,,,,,,,,,,,,,,+49-711-6731239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10907604588,,POINT (9.1259632 48.778694),,Stuttgart,8,70195,Griegstraße,community_centre,AWO Begegnungs- und Servicezentrum Botnang,,https://www.awo-stuttgart.de/index.php/unsere-angebote/begegnungs-und-servicezentren/21-begegnungs-und-servicezentrum-botnang,,,,,,,,,Botnang,,,,,,,,,,,,,,,,+49 711-39 10 77 78,,,,,,,AWO-Begegnungsstätte,,,,AWO,,,,,,,,,,,,,,,,,
way,28056327,,"POLYGON ((9.1566241 48.7740818, 9.1566562 48.7741611, 9.1566391 48.7741707, 9.156562 48.7741837, 9.1565652 48.7741918, 9.1564718 48.7742075, 9.1564689 48.7742, 9.1564221 48.7742078, 9.1563885 48.7741213, 9.1566241 48.7740818))",,Stuttgart,26,70176,Elisabethenstraße,community_centre,westQuartier,,https://www.westquartier-stuttgart.de/,,,DE,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,"[308071310, 8910292602, 308071317, 8910292605, 8910292603, 8910292604, 8910292606, 308071320, 308071313, 308071310]",house,4,gabled,no,2,art,,,,,,,,,,
way,28721093,,"POLYGON ((9.1549809 48.7755249, 9.1550654 48.7755251, 9.1550622 48.775571, 9.1552864 48.7755698, 9.1552883 48.7755338, 9.1554093 48.7755373, 9.1554148 48.7754435, 9.1554174 48.7754125, 9.1554187 48.7753969, 9.1554327 48.7752307, 9.1550059 48.775219, 9.1549809 48.7755249))",,Stuttgart,22,70193,Bebelstraße,community_centre,Bürgerzentrum West,,,yes,,DE,,,,,,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1351978042, 1351978043, 1351978045, 1351978046, 315301221, 315301219, 4450615416, 10271042591, 10271042590, 297051629, 315772007, 1351978042]",yes,,,,,,,,,,,,,,,
way,39865862,yahoo,"POLYGON ((9.2058035 48.7224217, 9.2055756 48.7224321, 9.2055674 48.7224155, 9.2055353 48.7223972, 9.2053631 48.7224079, 9.2053347 48.7221154, 9.2055489 48.7220998, 9.2055444 48.7221261, 9.2056582 48.7221185, 9.2056931 48.7221461, 9.2057168 48.7223375, 9.2057923 48.7223362, 9.2058035 48.7224217))",,Stuttgart,20,70599,Grüninger Straße,community_centre,Alfred-Wais-Halle,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[478214550, 478214596, 1561617193, 478214602, 478214504, 478214515, 478214522, 478214527, 478214532, 478214536, 478214541, 478214546, 478214550]",yes,,,,,,,,,,,,,,,
way,42225100,,"POLYGON ((9.1184403 48.7310533, 9.1184401 48.7309407, 9.1184501 48.7309407, 9.1184499 48.7308699, 9.1184654 48.7308698, 9.1184652 48.7307952, 9.118605 48.7307951, 9.1186049 48.730763, 9.1187175 48.7307629, 9.1187177 48.730874, 9.1187247 48.730874, 9.118725 48.731042, 9.1186861 48.731042, 9.1186861 48.7310531, 9.1184403 48.7310533))",,Stuttgart,27,70563,Fanny-Leicht-Straße,community_centre,Gemeindezentrum Christus König,,http://christuskoenig-stuttgart.drs.de,yes,,DE,,,,,Kath. Pfarramt Christus König,,,,parish_hall,,,,,,,,,,,,,,,,,,,,,,,,,"[526147735, 526147737, 526147738, 526147728, 526147729, 526147730, 526147731, 526147725, 526147773, 4187752071, 4187752072, 526147774, 4187752073, 4187752074, 526147735]",yes,,,,,,,,,,,,,,,
way,42346898,,"POLYGON ((9.0985227 48.7233086, 9.0985918 48.7231133, 9.0982705 48.72304, 9.0985042 48.7225565, 9.0992542 48.7226712, 9.0989685 48.723097, 9.0988937 48.7232937, 9.0988747 48.7233518, 9.0985227 48.7233086))",,Stuttgart,29,70563,Walter-Heller-Straße,community_centre,Kinder- und Jugendhaus Vaihingen,,https://www.jugendhausvaihingen.de/,,,,,,,,Stuttgarter Jugendhaus gGmbH,,2022-09-17,no,youth_centre,,,,child;juvenile,,,,,,,,,,,,,,,,,,,,,"[528613376, 528613379, 987041101, 987041099, 987041097, 987041098, 987041100, 987041096, 528613376]",,,,,,,,,,,,,,,,
way,42757029,Yahoo,"POLYGON ((9.1012408 48.7366359, 9.1013268 48.7364707, 9.1012122 48.7364448, 9.1012294 48.7364117, 9.101303 48.7364284, 9.1013241 48.7363878, 9.1014099 48.7364072, 9.1014723 48.7362873, 9.1013737 48.736265, 9.10136 48.7362914, 9.1012782 48.7362729, 9.1012961 48.7362386, 9.1011955 48.7362158, 9.1011542 48.7362952, 9.1011305 48.7362899, 9.1011459 48.7362602, 9.1010306 48.7362341, 9.1009678 48.7363546, 9.1010759 48.7363791, 9.1009737 48.7365754, 9.1012408 48.7366359))",,Stuttgart,29,70563,Holderbuschweg,community_centre,Gemeindehaus Maximilian Kolbe,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[534658440, 534658444, 534658445, 534658446, 534658447, 534658449, 534658450, 534658441, 534658451, 534658452, 534658453, 534658454, 534658455, 534658442, 534658456, 534658457, 534658458, 534658459, 534658460, 534658443, 534658440]",religious,,,,,,,,,,,,,,,
way,43086645,,"POLYGON ((9.1465215 48.7300454, 9.1465917 48.7300561, 9.1466784 48.7300694, 9.1467271 48.7299307, 9.146734 48.7299112, 9.1466565 48.7298994, 9.1466639 48.7298781, 9.1465846 48.729866, 9.1465702 48.7299069, 9.1465215 48.7300454))",,Stuttgart,26,70567,Filderbahnplatz,community_centre,Jugendhaus Möhringen,,https://www.jh-moehringen.de/,limited,,DE,,,,,Stuttgarter Jugendhaus gGmbH,,,,youth_centre,,,,juvenile,,,,,,,,,+49 711 7168284,,,,,,,,,,,,"[539779323, 10914858741, 539779324, 8118474163, 539779320, 2878825296, 539779319, 2878825294, 8118474164, 539779323]",yes,2,gabled,,2,,,,,,,,,,,
way,45358313,yahoo,"POLYGON ((9.2030942 48.7150556, 9.2031489 48.7151514, 9.2032549 48.7151207, 9.2032089 48.7150379, 9.2031363 48.714914, 9.2030707 48.7149326, 9.2029027 48.7149804, 9.2027592 48.7150212, 9.2028216 48.7151159, 9.2028913 48.715226, 9.2029913 48.715197, 9.2029391 48.7151054, 9.2030942 48.7150556))",,Stuttgart,,70599,,community_centre,Gemeindezentrum,,,,,DE,,,,,,,,,parish_hall,,,,religious,,,,,,,,,,,,2023-05-29,,,,,,,,,"[576649436, 576649455, 576649454, 586722436, 576649452, 683551146, 683551147, 576649434, 576649438, 576649440, 576649442, 576649441, 576649436]",parish_hall,,,,,,,,,,,,,,,
way,46731585,yahoo,"POLYGON ((9.1099925 48.8161991, 9.1099625 48.8162871, 9.1101921 48.816321, 9.1102221 48.816233, 9.1101936 48.8162288, 9.1099925 48.8161991))",,Stuttgart,5,70499,Ditzinger Straße,community_centre,Altes Rathaus,,,,,DE,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,"[597380363, 597380362, 597380361, 597380364, 597380359, 597380363]",yes,,,,,,1605,,,,,,,,,
way,47079040,yahoo,"POLYGON ((9.1055258 48.807927, 9.1053589 48.8079997, 9.1054296 48.8080751, 9.105598 48.8079994, 9.1055258 48.807927))",,Stuttgart,129,70499,Solitudestraße,community_centre,Jugendhaus Weilimdorf,,http://www.jh-weilimdorf.de/,,,DE,,,,,,,,,,,,,,,,,,,weilimdorf@jugendhaus.net,,,+49 711 861215,,,,,,,,,,,,"[600419986, 600419987, 600419988, 600419989, 600419986]",yes,,,,,,,+49 711 8600565,,,,,,,,
way,52022856,,"POLYGON ((9.1141158 48.733244, 9.1140269 48.7334065, 9.1137127 48.7333318, 9.1137682 48.7332303, 9.1138723 48.7332551, 9.1138664 48.733266, 9.1139349 48.7332823, 9.1139742 48.7332104, 9.1141158 48.733244))",,Stuttgart,1,70563,Kaltentaler Straße,community_centre,Lutherhaus,,,yes,,DE,,,,,,,,,parish_hall,,,protestant,,,,,,,,,,,,,,,,,,https://www.ev-kirche-stuttgart-vaihingen.de/kirchen-gebaeude/lutherhaus,,,,"[663214959, 663214984, 663214982, 663214954, 750030834, 750030395, 663214977, 663214973, 663214959]",yes,,,,,,,,christian,,,,,,,
way,74184015,,"POLYGON ((9.2481774 48.80995, 9.2481435 48.8100605, 9.2483386 48.8100865, 9.2483577 48.8100243, 9.2484272 48.8100335, 9.2484517 48.8099544, 9.2482126 48.8099226, 9.2482031 48.8099534, 9.2481774 48.80995))",,Stuttgart,108,70374,Theodor-Veiel-Straße,community_centre,,Gemeindehaus Wichernkirche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[877485866, 877485858, 877485794, 2558896721, 2558896718, 877485701, 2558896723, 2558896725, 877485866]",yes,,,,,,,,,,,,,,,
way,76092389,,"POLYGON ((9.1472868 48.7301631, 9.1473973 48.7301799, 9.1478122 48.730243, 9.1478887 48.730024, 9.1473632 48.7299441, 9.1472868 48.7301631))",,Stuttgart,32,70567,Filderbahnplatz,community_centre,Bürgerhaus Möhringen,,,yes,,DE,,,,,,,,no,,,,,,,,,,,,,,+49 711 21688218,,,,yes,,,,,,,,"[897637112, 10914858724, 897636998, 897637107, 897637020, 897637112]",retail,3,flat,,0,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,
way,80763009,Bing,"POLYGON ((9.193589 48.7911079, 9.193602 48.7910902, 9.1936334 48.7910474, 9.193594 48.7910348, 9.1936165 48.7910042, 9.1935679 48.7909887, 9.1936081 48.7909339, 9.1935195 48.7909057, 9.1935003 48.7909318, 9.1934092 48.7909027, 9.193387 48.7909328, 9.1932573 48.7908915, 9.1932133 48.7909513, 9.1934313 48.7910208, 9.1934094 48.7910506, 9.193501 48.7910798, 9.193589 48.7911079))",,Stuttgart,,70190,Unterer Schlossgarten,community_centre,Spielhaus Unterer Schlossgarten,Auf der Website steht u.a. die Anschrift des Veranstalters - die weist nicht auf diesen Ort,https://www.spielhaus-stuttgart.de/,,,DE,,,,,Stuttgarter Jugendhaus gGmbH,,,,,,,,,,,,,,spielhaus@jugendhaus.net,,,+49 711 2626163,,Kinder und Jugendhaus,,,,,,,,,,"[941788465, 3895963110, 1304620664, 1304620679, 1304620695, 1304620665, 1304620675, 1304620691, 1304620656, 941788458, 1304620672, 1304620685, 1304620658, 941788463, 941788452, 3895963109, 941788465]",yes,,,,,,,,,,,,,,,
way,93133361,,"POLYGON ((9.2113551 48.8247307, 9.2114271 48.8246713, 9.2114741 48.824696, 9.2115374 48.8246439, 9.2116563 48.8247065, 9.211521 48.824818, 9.2113551 48.8247307))",,Stuttgart,153,70376,Elbestraße,community_centre,Chorgemeinschaft Stgt-Münster 1898 e.V.,,http://chorgemeinschaft-muenster.de/,,,DE,,,,,,,,,,,music,,,,,,,,,,,,,,,,,,,,,,,"[1079694996, 1079693473, 1575305441, 1575305439, 1079693008, 1079694869, 1079694996]",yes,,,,,,,,,,,,,,,
way,93133383,,"POLYGON ((9.2109594 48.8245028, 9.2110179 48.8244581, 9.2111221 48.8245171, 9.2110636 48.8245618, 9.2109594 48.8245028))",,Stuttgart,157,70376,Elbestraße,community_centre,Gartenfreunde Münster e.V.,,,,,DE,,,,,,,,,,,garden,,,,,,,,,,,,,,,,,,,,,,,"[1079693618, 1079692808, 1079694326, 1079693547, 1079693618]",yes,,,,,,,,,,,,,,,
way,94189203,,"POLYGON ((9.2142091 48.7418155, 9.2144066 48.7417337, 9.2143423 48.7416732, 9.2143407 48.7416398, 9.2143009 48.7415995, 9.2142351 48.7415964, 9.2141846 48.7416176, 9.2141785 48.741659, 9.2142106 48.7416873, 9.2140912 48.7417418, 9.2141754 48.7417721, 9.2142091 48.7418155))",,,1,,Gosheimer Weg,community_centre,Äckerwaldzentrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evangelisches Gemeindezentrum,,,,,,,,,,"[1094759364, 1094761172, 1094757627, 1094759583, 1094761792, 1094760828, 1094757306, 1094757045, 1094759087, 1094758110, 1094760468, 1094759364]",yes,,,,,,,,,,,,,,,
way,116040288,,"POLYGON ((9.2428454 48.7726132, 9.2429748 48.772671, 9.2430928 48.7725563, 9.2429633 48.7724985, 9.2428454 48.7726132))",,Stuttgart,347,70327,Ulmer Straße,community_centre,Wangener Begegnungsstätte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1309549894, 1309551061, 1309550153, 1309550806, 1309549894]",yes,,,,,,,,,,,,,,,
way,123318032,,"POLYGON ((9.1987479 48.7834752, 9.1987116 48.7835513, 9.1987858 48.7835666, 9.1987787 48.7835816, 9.1988193 48.7835899, 9.1988269 48.7835739, 9.1989071 48.7835905, 9.1989111 48.7835815, 9.1989216 48.7835784, 9.1989302 48.7835714, 9.1989322 48.7835617, 9.1989307 48.7835558, 9.1989265 48.7835498, 9.1989435 48.783514, 9.198936 48.7835125, 9.1989419 48.7835002, 9.1989401 48.7834939, 9.1989345 48.7834885, 9.1989077 48.7834823, 9.198896 48.7834842, 9.1988859 48.7834886, 9.1988794 48.7835023, 9.1987479 48.7834752))",,Stuttgart,40,70188,Ameisenbergstraße,community_centre,Freies Jugendseminar,,https://www.jugendseminar.de/,,,,,,,,,,,,youth_centre,,,,,,,,,,,,,,,,,,,,,,,,,"[1375630777, 1375630830, 8883328838, 8883328836, 8883328835, 8883328837, 8883328839, 1375631321, 8883328834, 8883328833, 8883328832, 8883328831, 8883328840, 8883328841, 8883328842, 1375630435, 8883328829, 8883328827, 8883328828, 8883328830, 8883328843, 8883328844, 1375630777]",yes,2,hipped,,1,,,,,,,,,,,
way,124825734,,"POLYGON ((9.2296004 48.8383284, 9.2294668 48.8382614, 9.2293492 48.8383629, 9.2294294 48.8384031, 9.2293928 48.8384377, 9.2294525 48.838465, 9.2294872 48.8384321, 9.2296431 48.8385104, 9.2297414 48.8384255, 9.2297606 48.8384351, 9.2298152 48.8383874, 9.2296418 48.8383012, 9.2296353 48.838298, 9.2296004 48.8383284))",,Stuttgart,5,70378,Wolfgangstraße,community_centre,Gemeindehaus St. Barbara,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1388122272, 1388122259, 1388122274, 1388122277, 1388122287, 1388122292, 1388122285, 1388122294, 1388122279, 1388122286, 1388122276, 1669986671, 1388122267, 1388122272]",yes,,,,,,,,,,,,,,,
way,125821377,,"POLYGON ((9.2713752 48.7627865, 9.2714212 48.7626375, 9.2712721 48.7626175, 9.2712261 48.7627665, 9.2713752 48.7627865))",,Stuttgart,20,70329,Rüderner Straße,community_centre,Villa Jo,,,,,DE,,,,,,,,,youth_centre,,,,,,,,,,,,,,,,,,,,,,,,,"[1396486637, 1396486593, 1396486587, 1396486631, 1396486637]",yes,,,,,,,,,,,,,,,
way,136706534,,"POLYGON ((9.2274807 48.7364754, 9.2275179 48.7365426, 9.2276937 48.7365426, 9.2276911 48.7364457, 9.2276291 48.7364463, 9.2276236 48.7364378, 9.2274807 48.7364754))",,Stuttgart,116,70619,Bernsteinstraße,community_centre,"Gemeindehaus ""Über der Straße""",,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1120605894, 1499758946, 1499758948, 1499758924, 1499758925, 1499758923, 1120605894]",yes,,,,,,,,,,,,,,,
way,143953472,,"POLYGON ((9.2109345 48.8242714, 9.2108264 48.8242123, 9.2107384 48.824282, 9.2107156 48.8242696, 9.2106245 48.8243418, 9.2107554 48.8244134, 9.2109345 48.8242714))",,Stuttgart,159,70376,Elbestraße,community_centre,Musikverein Stuttgart-Münster e.V.,,https://mv-muenster.de/,,,DE,,,,,,,,,,,music,,,,,,,,,,,,,,,,,,,,,,,"[1575305397, 1575305382, 8968019869, 8968019870, 1575305425, 1575305437, 1575305397]",yes,,,,,,,,,,,,,,,
way,144072273,,"POLYGON ((9.2095155 48.808503, 9.2097556 48.8085672, 9.2097521 48.808579, 9.2097877 48.8085888, 9.2098028 48.8085779, 9.2099093 48.8086046, 9.2100068 48.8084357, 9.2099003 48.808409, 9.2099146 48.8084021, 9.2098901 48.8083845, 9.2098613 48.8083989, 9.2096374 48.8083406, 9.20965 48.8083196, 9.2095591 48.8082941, 9.209528 48.8084114, 9.2095652 48.8084225, 9.2095155 48.808503))",,Stuttgart,45A,70376,Brückenstraße,community_centre,KifU Kindertreff,,http://www.kifu.de/,,,DE,,,,,Stuttgarter Jugendhaus gGmbH,,,,youth_centre,,,,child,,,,,,,,,,,,,,,,,,,,,"[1576550844, 6761517532, 6761517531, 6761517530, 6761517529, 1576550881, 1576550827, 6761517528, 6761517527, 6761517526, 6761517525, 1576550795, 1576550783, 1576550769, 1576550817, 1576550818, 1576550844]",school,3,,,,,,,,,12,6,KifU,,,
way,145077930,,"POLYGON ((9.1496964 48.8416379, 9.149907 48.8416618, 9.1499375 48.8416652, 9.149975 48.841522, 9.1497339 48.8414947, 9.1496964 48.8416379))",,Stuttgart,10,70439,Hornemannweg,community_centre,Evangelisches Gemeindehaus Arche,,,,,DE,,,,,,,,,,,,protestant,,,,,,,,,,,,,,,,,,,,,,"[1585271134, 1585271143, 1585271147, 1585271100, 1585271089, 1585271134]",yes,,,,,,,,,,,,,,,
way,146794169,,"POLYGON ((9.2509004 48.8011766, 9.2509995 48.8010846, 9.2513573 48.8012516, 9.2512582 48.8013437, 9.2509004 48.8011766))",,Stuttgart,20,70374,Lerchenheide,community_centre,Treffpunkt Lerchenheide RR35,,,limited,,,,,,,Royal Rangers Pfadfinder Stamm RR35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1600287515, 1600287419, 1600287781, 1600287599, 1600287515]",yes,0,,,,,,,,,,,,Treffpunkt Lerchenheide,,
