element_type,osmid,man_made,geometry,amenity,automated,name,self_service,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,check_date,note,old_name,opening_hours,operator,start_date,tourism,wheelchair,access,cuisine,phone,website,email,fax,office,description,layer,source,smoking,brand,brand:wikidata,building,shop,fixme,alt_name,addr:unit,wikidata,wikipedia,nodes,building:levels,outdoor_seating,roof:shape,roof:colour,roof:levels,brand:wikipedia,check_date:opening_hours,loc_name,payment:account_cards,toilets:wheelchair,height,roof:material,craft,building:colour,contact:website,ref,atm,disused:shop,source:geometry,short_name,parking_space,wheelchair:description:de,official_name,building:material,building:name,wheelchair:description,building:levels:underground,owner,phone:mobile,contact:email,contact:fax,contact:phone,leisure,nohousenumber,rental,frequency,location,power,voltage,architect,heritage,url,building:min_level,fuel:diesel,fuel:e10,fuel:octane_95,fuel:octane_98,payment:credit_cards,building:part,construction:start_date,branch,noaddress,name:official,image,ways,type,opening_date,fee,wikimedia_commons,second_hand
way,28370339,,"POLYGON ((9.1544057 48.7719577, 9.1542476 48.7718806, 9.1540842 48.7720263, 9.154242 48.7721065, 9.1544057 48.7719577))",,,,,Stuttgart,DE,96A,70197,Ludwigstraße,West,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[311590527, 311590532, 311590534, 311590529, 311590527]",,,hipped,,,,,,,,,roof_tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28370629,,"POLYGON ((9.1529172 48.7744142, 9.152907 48.7744139, 9.1529124 48.7743335, 9.1529128 48.7743264, 9.1531641 48.7743335, 9.1531773 48.7743444, 9.1531767 48.7743597, 9.153162 48.7743674, 9.1531584 48.774421, 9.1529172 48.7744142))",,,Elektro-Krämer,,Stuttgart,DE,78A,70197,Seyfferstraße,,,,,,,,,,,,,https://elektrokraemer.de/,,,,,,,,,,commercial,,,,,,,"[311595152, 8901585071, 311595157, 8901585069, 311595161, 8901585067, 8901585068, 8901585070, 311595155, 311595152]",,,,,,,,,,,,,electrician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28829636,,"POLYGON ((9.1400219 48.7744337, 9.1401677 48.7744508, 9.1402318 48.7742141, 9.1401332 48.7742025, 9.140086 48.7741969, 9.1400219 48.7744337))",,,,,Stuttgart,DE,26A,70193,Botnanger Straße,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[316959878, 316959879, 316959880, 1264283688, 316959881, 316959878]",2,,gabled,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,28963644,,"POLYGON ((9.2205227 48.7859809, 9.2205394 48.7859889, 9.2203423 48.7861669, 9.2209504 48.7864591, 9.2209229 48.7864839, 9.2211111 48.7865743, 9.2211385 48.7865495, 9.2212768 48.786616, 9.2211741 48.7867087, 9.2212393 48.7867401, 9.2216656 48.7865868, 9.2217138 48.7865433, 9.221741 48.7865564, 9.2218965 48.786416, 9.2216359 48.7862908, 9.2216104 48.7863138, 9.2213796 48.7862029, 9.2216264 48.78598, 9.2217335 48.7860315, 9.2217622 48.7860056, 9.2209519 48.7856162, 9.2206004 48.7859338, 9.2205837 48.7859257, 9.2205227 48.7859809))",,,Mega,,Stuttgart,DE,6,70188,Schlachthofstraße,,,,,"Mo-Fr 06:00-18:00; We,Th 06:00-20:00; Sa 07:00-14:00; PH,Su off",,,,,,,+49 711 16840,https://www.mega-stuttgart.de,info@mega-stuttgart.de,,,,,,,,,commercial,wholesale,,,,,,"[3344753193, 3344753195, 318465257, 3344753204, 3344753205, 3344753208, 3344753207, 318465258, 318465259, 3344753211, 3344753209, 3344753206, 318465261, 318465262, 3344753202, 3344753203, 318465263, 318465264, 318465265, 318465266, 318465256, 3344752490, 3344752489, 3344753193]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,29115417,,"POLYGON ((9.1767849 48.781212, 9.1767784 48.7811643, 9.1767766 48.7811509, 9.1768026 48.7811188, 9.1767707 48.7811078, 9.1767661 48.7810742, 9.176753 48.7809777, 9.1767069 48.7806389, 9.1765532 48.7807302, 9.1764692 48.78078, 9.1762982 48.7807245, 9.1763312 48.780697, 9.1763526 48.780665, 9.1763612 48.7806304, 9.1763564 48.7805955, 9.1763384 48.7805626, 9.1763084 48.7805337, 9.1762684 48.7805106, 9.1762209 48.7804949, 9.1761689 48.7804876, 9.1761158 48.7804891, 9.176065 48.7804994, 9.1760197 48.7805177, 9.1759828 48.7805429, 9.1759572 48.7805728, 9.1759419 48.7806094, 9.1757524 48.7805459, 9.1756882 48.7806333, 9.1756332 48.7807081, 9.1755756 48.7806892, 9.1755687 48.780687, 9.1755393 48.7806774, 9.1755202 48.7806713, 9.1755132 48.780669, 9.1754579 48.7806512, 9.1757179 48.7802964, 9.1757579 48.7802418, 9.1758111 48.7801693, 9.1759036 48.7800451, 9.1757441 48.7799955, 9.1756677 48.7800979, 9.1752149 48.7807051, 9.1753791 48.7807571, 9.1754575 48.7807826, 9.1755524 48.7808133, 9.1756215 48.7808357, 9.175675 48.780853, 9.1767151 48.7811894, 9.1767849 48.781212))",,,Friedrichsbau,,,,,,,,,,,,,1993,,,,,,,,,,,,,,,,commercial,,,,,,,"[320275302, 8007787853, 8007787849, 8007787851, 8007787850, 8007787854, 8007787870, 320275304, 1393804283, 320275305, 320275306, 7970288484, 320283941, 320275307, 320275308, 320275309, 1393804275, 320275310, 320275311, 1393804272, 320275312, 320275313, 1393804274, 321190292, 1393804277, 320275314, 320275315, 8011151178, 320275316, 8017330670, 8017330669, 320278525, 8017330666, 8017330665, 320275317, 8007787845, 8007787846, 4425145365, 320275318, 320275319, 530779970, 320275320, 8007787844, 320278523, 8007787855, 8007787856, 8007787859, 8007787852, 320275302]",,,flat,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,30056909,,"POLYGON ((9.1449846 48.7687732, 9.1452477 48.7689642, 9.1458792 48.7685863, 9.1457167 48.7684684, 9.1456472 48.7684179, 9.1456142 48.7683939, 9.1454618 48.7684851, 9.1456133 48.7685951, 9.1455165 48.7686531, 9.1453697 48.7685465, 9.1452292 48.7686306, 9.1453773 48.7687381, 9.1452803 48.7687962, 9.1451293 48.7686866, 9.1449846 48.7687732))",,,,,Stuttgart,DE,132,70197,Rotenwaldstraße,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[331058496, 331058501, 331058506, 9094945316, 1209367928, 331058510, 331058515, 331058517, 331058522, 331058526, 331058530, 331058535, 331058539, 331058544, 331058496]",4,,flat,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,32598026,,"POLYGON ((9.1099289 48.738789, 9.1099872 48.7388275, 9.1100058 48.7388153, 9.1100225 48.7388263, 9.1099733 48.7388587, 9.1100641 48.7389187, 9.1101548 48.7389786, 9.1102385 48.7389235, 9.1102922 48.738959, 9.110244 48.7389908, 9.1103031 48.7390298, 9.1103169 48.7390207, 9.1103321 48.7390307, 9.110308 48.7390465, 9.1103895 48.7391003, 9.1104042 48.7391101, 9.1103884 48.7391205, 9.1104225 48.739143, 9.1104377 48.7391329, 9.1104884 48.7391664, 9.1105471 48.7391278, 9.1105958 48.73916, 9.1105365 48.739199, 9.1105977 48.7392395, 9.1106271 48.7392201, 9.110648 48.7392339, 9.1105938 48.7392696, 9.1106798 48.7393265, 9.1107612 48.7393802, 9.110846 48.7393244, 9.1109233 48.7393754, 9.1109877 48.739418, 9.1110959 48.7393468, 9.1111545 48.7393855, 9.1115038 48.7391556, 9.1115166 48.7391641, 9.1115957 48.7391121, 9.1115248 48.7390652, 9.1115372 48.739057, 9.1115591 48.7390715, 9.111594 48.7390485, 9.111514 48.7389956, 9.1114797 48.738973, 9.1114385 48.7389458, 9.1113096 48.7388606, 9.1105568 48.7383632, 9.1105323 48.7383793, 9.1105106 48.7383936, 9.1104958 48.7383838, 9.1104094 48.7384407, 9.1104336 48.7384568, 9.1099289 48.738789))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[366574774, 2485283505, 2485283501, 2485283503, 2485283515, 736702757, 2485283544, 2485283531, 2485283537, 2485283546, 2485283556, 2485283552, 2485283558, 2485283562, 736702724, 2485283574, 2485283580, 2485283592, 2485283589, 2485283604, 2485283586, 2485283598, 2485283623, 2485283635, 2485283625, 2485283632, 2485283643, 736702730, 2485283647, 2485283645, 736702759, 366574776, 2485283646, 2485283648, 2485283595, 2485283601, 2485283577, 2485283568, 2485283565, 2485283571, 366574777, 2485283548, 2485283542, 2485283535, 2485283517, 588409532, 2504455357, 2485283420, 2485283415, 2485283428, 2485283432, 366574774]",6,,flat,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34109095,,"POLYGON ((9.1723532 48.8159676, 9.1722709 48.8158895, 9.1722834 48.8158838, 9.1722688 48.8158699, 9.1722542 48.815856, 9.1722417 48.8158617, 9.171978 48.8156114, 9.1718194 48.8156838, 9.1720625 48.8159146, 9.1720557 48.8159177, 9.1720598 48.8159301, 9.1720734 48.8159523, 9.1720893 48.8159674, 9.1721088 48.8159585, 9.1721947 48.81604, 9.172275 48.8160034, 9.1723532 48.8159676))",,,Bosch BKK - Fe079,,Stuttgart,DE,19,70469,Kruppstraße,Feuerbach,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[390994966, 8345879388, 8345879386, 5748708064, 8345879385, 8345879387, 390994970, 390994974, 8345876753, 8345876750, 8345876749, 8345876751, 8345876752, 8345879384, 390994978, 5748708065, 390994966]",,,,,,,,,,,,,,,http://www.bosch-bkk.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34109211,,"POLYGON ((9.1706366 48.8155042, 9.1710495 48.8153156, 9.1713182 48.8155707, 9.1712648 48.815595, 9.1712989 48.8156274, 9.1713222 48.8156167, 9.1714433 48.8157317, 9.17142 48.8157423, 9.1714542 48.8157748, 9.1715075 48.8157504, 9.1717998 48.8160278, 9.171937 48.8159652, 9.1720739 48.8160952, 9.1716167 48.816304, 9.1715977 48.8162859, 9.1715666 48.8163001, 9.1715856 48.8163182, 9.1715368 48.8163405, 9.1715587 48.8163613, 9.1714357 48.8164174, 9.1708921 48.8159014, 9.1705451 48.815572, 9.1706238 48.8155361, 9.1705568 48.8154724, 9.1705881 48.8154581, 9.1706366 48.8155042))",,,Bosch Fe070,,Stuttgart,DE,14,70469,Borsigstraße,Feuerbach,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[8345842808, 391000632, 8345842801, 8345842800, 8345879390, 8345879391, 8345879392, 8345879389, 8345879393, 8345842802, 390996971, 390996963, 390996964, 8345877580, 8345877579, 8345842809, 8345877581, 3190016397, 3190016398, 390996965, 5748708054, 3190016396, 8345842807, 390996967, 3190016394, 8345842808]",7,,,,,,,,,,,,,,,Fe 070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34109441,,"POLYGON ((9.171808 48.81545, 9.1715913 48.8152443, 9.1711824 48.814856, 9.1709825 48.8149473, 9.1710411 48.8150029, 9.171014 48.8150153, 9.1714562 48.8154352, 9.1714833 48.8154228, 9.1716081 48.8155412, 9.171808 48.81545))",,,Bosch Fe077,,Stuttgart,DE,17,70469,Kruppstraße,Feuerbach,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[390996974, 5748708055, 390996975, 390996976, 8345876748, 8345876746, 8345876745, 8345876747, 390996977, 390996974]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34110090,,"POLYGON ((9.1705881 48.8154581, 9.1705568 48.8154724, 9.1705202 48.8154891, 9.1704405 48.8155255, 9.1703042 48.8153961, 9.1703713 48.8153654, 9.1704237 48.8153415, 9.1708727 48.8151364, 9.1710091 48.8152659, 9.1705881 48.8154581))",,,Bosch Fe078,,Stuttgart,DE,10,70469,Borsigstraße,Feuerbach,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[3190016394, 390996967, 5748708053, 390996968, 390996969, 8345842806, 8345842803, 390996970, 3190016393, 3190016394]",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34212347,,"POLYGON ((9.1749515 48.8165958, 9.1753005 48.8169331, 9.1750659 48.8170384, 9.1747169 48.8167011, 9.1749515 48.8165958))",,,Haushahn,,Stuttgart,DE,15,70469,Magirusstraße,Feuerbach,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[392368112, 392368113, 392368114, 392368115, 392368112]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34312122,,"POLYGON ((9.1745807 48.8151291, 9.1748661 48.8154066, 9.1748859 48.8153976, 9.1754119 48.8158981, 9.1750332 48.8160707, 9.1745073 48.8155703, 9.1746148 48.8155213, 9.1743341 48.8152429, 9.1745807 48.8151291))",,,Logwin Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[393480395, 3189977540, 3189977538, 393480397, 393480379, 393480381, 393480382, 393480383, 393480395]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34314155,,"POLYGON ((9.231609 48.8307368, 9.2314868 48.8308258, 9.2314781 48.8308325, 9.2314722 48.830837, 9.2315313 48.8308702, 9.2316288 48.8309284, 9.2316363 48.8309227, 9.2317579 48.8308295, 9.231609 48.8307368))",bank,,Volksbank Neugereut,,Stuttgart,DE,10,70378,Flamingoweg,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[393501695, 3003594524, 2863156647, 393501697, 393501705, 393501701, 2863156652, 393501694, 393501695]",,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34389823,,"POLYGON ((9.1568457 48.780742, 9.1568778 48.7807414, 9.1568832 48.7807466, 9.1568758 48.7807503, 9.1568791 48.780756, 9.1569182 48.7807443, 9.1569978 48.780637, 9.1569995 48.7806155, 9.1569556 48.7805365, 9.157004 48.7805253, 9.1570663 48.7805426, 9.1571668 48.7804, 9.1571581 48.780397, 9.1570647 48.7803687, 9.1570351 48.7803603, 9.1568806 48.7803977, 9.1568644 48.7803719, 9.1566677 48.7804194, 9.1568457 48.780742))",,,,,Stuttgart,DE,109,70176,Senefelderstraße,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[394836799, 8231165564, 9236362710, 9236362709, 8231165563, 2481339721, 394836800, 8231165562, 394836802, 2481339720, 394836804, 8231165565, 394836806, 2481339719, 2481339718, 394836813, 394836840, 394836842, 394836799]",5,,hipped,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34666023,,"POLYGON ((9.1392029 48.7689111, 9.1393174 48.7687254, 9.1393816 48.7686208, 9.1394111 48.7686277, 9.1395565 48.7686665, 9.1394197 48.7688895, 9.1396082 48.7689398, 9.1395664 48.769008, 9.1392029 48.7689111))",,,Kopf Schreinerei,,Stuttgart,DE,20,70197,Esperantostraße,,,,,,,,,,,,,,,,,,,,,,,commercial,,,,,,,"[403338415, 3927965429, 2945439386, 403338417, 403338418, 403338420, 403338422, 403338424, 403338415]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
