element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,entrance,name,opening_hours,phone,ref:isil,wheelchair,geometry,check_date:opening_hours,email,website,building,internet_access,operator,ref,wikidata,wikipedia,level,contact:email,contact:phone,contact:website,fax,url,toilets:wheelchair,source,internet_access:fee,opening_hours:covid19,access,nodes,air_conditioning,building:levels,max_level,min_level,note,roof:shape,ways,type,roof:colour,roof:levels,wheelchair:description
way,10075279,Stuttgart,DE,8,70173,Konrad-Adenauer-Straße,,library,,Württembergische Landesbibliothek,,+49 711 2124424,DE-24,yes,"POLYGON ((9.1847255 48.776947, 9.1848008 48.7770558, 9.1849107 48.7772166, 9.1849881 48.7771937, 9.1851748 48.7771378, 9.185188 48.777157, 9.1852048 48.7771814, 9.1852933 48.7773099, 9.1851592 48.77735, 9.185233 48.7774572, 9.1852815 48.7775276, 9.185406 48.7777083, 9.1856804 48.7776263, 9.185558 48.7774485, 9.1856925 48.7774083, 9.1856179 48.7773, 9.1856895 48.7772786, 9.1857087 48.7772728, 9.1855089 48.7769827, 9.1854873 48.7769508, 9.1854247 48.7768605, 9.1853032 48.7768968, 9.1853546 48.7769714, 9.1852527 48.7770019, 9.1851313 48.7768257, 9.1847255 48.776947))",,,http://www.wlb-stuttgart.de/,yes,,,,Q317950,de:Württembergische Landesbibliothek,,,,,,http://www.wlb-stuttgart.de/,yes,,,,,"[82798188, 3123122654, 1156588031, 3123122659, 82798190, 8893427003, 8893427006, 82798191, 82798192, 3801571711, 3801571713, 82798193, 82798194, 82798195, 82798196, 1156587847, 3123122661, 1156587240, 3123122649, 10246721188, 1156587711, 1156587301, 82798197, 82798198, 82798199, 82798188]",,,,,,,,,,,
way,28829083,Stuttgart,DE,88,70188,Schönbühlstraße,,library,,Stadtteilbücherei Stuttgart-Ost - Eduard Pfeiffer Bücherei,Tu-Fr 11:00-19:00; Sa 10:00-16:00,,,yes,"POLYGON ((9.2096926 48.783715, 9.2097588 48.7837596, 9.2098252 48.7838043, 9.2101842 48.783573, 9.2100517 48.7834837, 9.2096926 48.783715))",,,,yes,,,,,,,,,,,,yes,,,,,"[316953779, 6997475101, 316953782, 316953785, 316953788, 316953779]",,,,,,,,,,,
way,34314158,Stuttgart,DE,26,70378,Flamingoweg,,library,,,,,,,"POLYGON ((9.2309299 48.8321733, 9.230729 48.8323122, 9.230667 48.8322833, 9.2305717 48.8323023, 9.2303624 48.8321881, 9.2305243 48.8320527, 9.2305487 48.8320401, 9.2305855 48.832064, 9.2306853 48.8319895, 9.2308326 48.8320774, 9.2308731 48.8320717, 9.2309022 48.8320871, 9.2309007 48.8321164, 9.2309822 48.832164, 9.2310255 48.8321894, 9.2309986 48.832209, 9.2309521 48.8321848, 9.2309299 48.8321733))",,,,yes,,,,,,,,,,,,,,,,,"[393501725, 393501726, 393501727, 393501728, 393501729, 393501730, 393501731, 393501732, 393501733, 393501734, 393501735, 393501736, 393501737, 336718783, 393501738, 393501739, 10019434551, 393501725]",,,,,,,,,,,
way,42276776,,,,,,,library,,Community Center,,,,,"POLYGON ((9.1956281 48.8229334, 9.1963474 48.8233564, 9.1960738 48.8235581, 9.1959561 48.8234889, 9.1960788 48.8233985, 9.1960679 48.8233317, 9.1955224 48.8230108, 9.1956281 48.8229334))",,,,yes,,,,,,,,,,,,,,,,private,"[527344110, 527344124, 527344123, 527344121, 527344122, 527344125, 527344111, 527344110]",,,,,,,,,,,
way,92194457,Stuttgart,,45,70327,Strümpfelbacher Straße,,library,,Stadtteilbücherei Untertürkheim,,,,limited,"POLYGON ((9.2542492 48.780699, 9.2543144 48.7808037, 9.2546432 48.7807147, 9.254578 48.7806101, 9.2542492 48.780699))",,,,yes,,Stadt Stuttgart,,,,,,,,,,,,,,,"[1070309542, 1070309513, 1070309530, 1070309539, 1070309542]",,,,,,,,,,,
way,107760990,Stuttgart,DE,1,70173,Mailänder Platz,,library,,Stadtbibliothek am Mailänder Platz,Mo-Sa 09:00-21:00,,DE-480,yes,"POLYGON ((9.1834231 48.7903567, 9.1831528 48.7903651, 9.1831192 48.7903652, 9.1830874 48.7903671, 9.1828172 48.7903755, 9.1828043 48.7901919, 9.182803 48.7901738, 9.1828014 48.7901514, 9.1827889 48.7899762, 9.1828456 48.7899744, 9.1829415 48.7899714, 9.1830919 48.7899668, 9.1832433 48.7899621, 9.1833948 48.7899574, 9.1834078 48.7901391, 9.1834089 48.7901543, 9.18341 48.7901703, 9.1834122 48.7902014, 9.1834144 48.7902324, 9.1834166 48.7902635, 9.1834231 48.7903567))",2022-09-02,,,public,wlan,,,Q2326926,de:Stadtbibliothek am Mailänder Platz,,stadtbibliothek@stuttgart.de,+49 711 21691100,http://www.stuttgart.de/stadtbibliothek/mailaender_platz,,,,,yes,,,"[1237934896, 3113043338, 6802444162, 3113043336, 1480365451, 3113041726, 1480160847, 3113041719, 1237934884, 5037097797, 5037097802, 1480160854, 5037097801, 1237934885, 3113041724, 1481507847, 3113043331, 5026692459, 5026692460, 5026692465, 1237934896]",yes,10,10,-1,Wi-Fi is free for users with a valid library card,flat,,,,,
way,122387061,Stuttgart,,15,70372,Überkinger Straße,,library,,Stadtteilbücherei Bad Cannstatt,Tu-Fr 11:00-19:00; Sa 10:00-16:00,,,no,"POLYGON ((9.2152571 48.8073769, 9.2152277 48.8073496, 9.2152031 48.8073611, 9.2150878 48.8072542, 9.2150824 48.8072568, 9.2149315 48.8073274, 9.2151496 48.8075298, 9.2151994 48.8075754, 9.2154611 48.8078181, 9.215619 48.8077442, 9.2152953 48.8074442, 9.2152342 48.8073876, 9.2152571 48.8073769))",,,https://stadtbibliothek-stuttgart.de/badcannstatt/index.html,yes,,,,,,,,,,,,,,,,,"[1367779696, 1580794719, 1580794720, 8873686175, 8873686171, 1580794723, 8873686172, 1580794722, 1367779691, 1367779714, 3835060459, 1367779710, 1367779696]",,,,,,,,,,,
way,162745578,Stuttgart,DE,15,70599,Garbenstraße,,library,,Universitätsbibliothek Hohenheim,"Mo-Fr 08:00-21:00; Sa,Su 10:00-21:00",,DE-100,yes,"POLYGON ((9.2065522 48.7114745, 9.2066335 48.7111412, 9.2070351 48.7111838, 9.2069538 48.7115171, 9.2065522 48.7114745))",,,,yes,,,,Q1669060,,,,,,,,,,,,,"[1745781992, 1745781986, 1745781987, 1745781993, 1745781992]",,,,,,,,,,,
way,376770500,,,,,,,library,,Württembergische Landesbibliothek,Mo-Fr 08:00-22:00; Sa 10:00-20:00,,,,"POLYGON ((9.1848595 48.7779729, 9.1850889 48.7779049, 9.1853264 48.7778345, 9.1851435 48.7775667, 9.1852815 48.7775276, 9.185233 48.7774572, 9.1850957 48.7774967, 9.1850363 48.7774097, 9.1849613 48.777432, 9.18495 48.7774141, 9.1849441 48.7774107, 9.1849349 48.7774094, 9.1849238 48.7774129, 9.1849186 48.7774227, 9.1849086 48.7774275, 9.1848929 48.7774268, 9.1848828 48.7774297, 9.1848783 48.7774364, 9.1848807 48.7774438, 9.1848865 48.7774542, 9.1845695 48.7775482, 9.1848595 48.7779729))",,,,yes,,,,,,,,,https://www.wlb-stuttgart.de/,,,,,,,,"[3801571717, 9725477919, 3801571716, 3801571715, 3801571713, 3801571711, 3801571712, 3801571694, 3801571704, 3801571698, 3801571696, 3801571693, 3801571697, 3801571700, 3801571702, 3801571701, 3801571703, 3801571705, 3801571708, 3801571710, 3801571714, 3801571717]",,,,,,,,,,,
relation,1189016,,,,,,,library,,Bereichsbibliothek,,,,yes,"POLYGON ((9.2151123 48.7120449, 9.214586 48.7119839, 9.2145627 48.7120776, 9.2145196 48.712239, 9.2149037 48.7122835, 9.2150443 48.7122998, 9.2151123 48.7120449), (9.2147515 48.7121075, 9.2148821 48.7121225, 9.2148697 48.7121699, 9.214739 48.712155, 9.2147515 48.7121075))",,,,yes,,Universität Hohenheim,,,,,,,,,,,,,,,"[[[130398033, 3676333917, 130398047, 130397888, 130397892, 4401701573, 130398033], [923179367, 923179202, 923179465, 923179300, 923179367]]]",,,,,,,"[363468460, 78793650]",multipolygon,,,
relation,1553281,Stuttgart,DE,16,70174,Holzgartenstraße,,library,,"Universitätsbibliothek Stuttgart, Standort Stadtmitte",Mo-Fr 08:00-22:00; Sa 10:00-15:00; Su off; PH off,+49 711 685 82273,DE-93,limited,"POLYGON ((9.172187 48.7822251, 9.1724451 48.7818762, 9.1718881 48.7816974, 9.1718016 48.7816696, 9.171706 48.7816389, 9.1715683 48.7815947, 9.1713532 48.7818855, 9.1713102 48.7819436, 9.172187 48.7822251), (9.1718996 48.781889, 9.1721646 48.7819748, 9.1720652 48.7821081, 9.1718002 48.7820223, 9.1718996 48.781889))",,infodesk@ub.uni-stuttgart.de,https://www.ub.uni-stuttgart.de/,university,no,Universität Stuttgart,93,Q1616201,de:Universitätsbibliothek Stuttgart,,,,,,,yes,,,,,"[[[7275701756, 997547038, 271233488, 7275701750, 3585263435, 7275701752, 7275701754, 7275701755, 7275701756], [1254603296, 1254603448, 1254603486, 1254603308, 1254603296]]]",,2,,,,flat,"[25518799, 109647381]",multipolygon,gray,0,"Toilet one the ground floor, key needed"
