element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,name,website,wheelchair,toilets:wheelchair,operator,phone,contact:website,indoor,level,name:de,opening_hours:url,ref,short_name,wheelchair:description,description,start_date,addr:full,alt_name,contact:email,contact:fax,contact:phone,contact:website:de,contact:website:en,level:ref,name:en,opening_hours,source,internet_access,fax,nodes,internet_access:fee,loc_name,old_name,wikidata,wikipedia,building,access,building:levels,building:material,building:min_level,colour,height,layer,min_height,noname,roof:colour,roof:shape,fixme,site,type,operator:type,wikimedia_commons
node,5277829888,POINT (8.6501556 50.1171073),Frankfurt am Main,,8,60325,Robert-Mayer-Straße,university,MakeLab,http://makeitlab.de/,,,,,,,-1,,,,,,"Studentisches Projekt an der Goethe Universität Frankfurt am Main. Idee ist es, Studierenden und Angehörigen der Goethe Universität eine Möglichkeit zu bieten, einen niederschwelligen Zugang zu modernen Rapid Prototyping Methoden zu Verfügung zu stellen.",2016-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5323384480,POINT (8.6685531 50.1272185),,,,,,university,Goethe Welcome Centre,,,,Goethe-Universität,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5955674104,POINT (8.6498554 50.1167521),,,,,,university,Prüfungsamt Informatik,,,,,,https://www.cs.uni-frankfurt.de/index.php/de/studierende-pruefungsamt,room,0,Prüfungsamt Informatik,https://www.cs.uni-frankfurt.de/index.php/de/studierende-pruefungsamt,19-20,,,Aktuelle Ausnahmen der Öffnungszeiten/Sprechstunden und mehr Infos auf der Website.,,"Goethe-Universität Frankfurt am Main FB12, Prüfungsamt Informatik Robert-Mayer-Straße 11-15, R. 19-20 60325 Frankfurt am Main",PA Inf,pa_inf@informatik.uni-frankfurt.de,+49 69 798 28375,+49 69 798 28279;+49 69 798 28272;+49 69 798 28274,https://www.cs.uni-frankfurt.de/index.php/de/studierende-pruefungsamt,https://www.cs.uni-frankfurt.de/index.php/en/current-students-examination-office,E,Examination Office Computer Science,"Mo,Tu 09:00-12:00 open, Th 13:00-15:30 open; PH 00:00-24:00 closed",https://www.cs.uni-frankfurt.de/index.php/de/studierende-pruefungsamt,,,,,,,,,,,,,,,,,,,,,,,,,
node,6200972105,POINT (8.6733032 50.1267579),Frankfurt am Main,,122-123,60322,Eschersheimer Landstraße,university,Gleichstellungsbüro der Goethe-Universität,www.gleichstellung.uni-frankfurt.de,,,Goethe-Universität Frankfurt,,,,,,,,,,Die Räume des Gleichstellungsbüros befinden sich im 1. OG und werden über den Haupteingang erreicht. Der Empfang ist tagsüber besetzt.,,,,,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,
node,6877429835,POINT (8.6530497 50.1211577),,,,,,university,Kunstpädagogik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8446245425,POINT (8.6605517 50.119191),Frankfurt am Main,,76,,Bockenheimer Landstraße,university,Internationalen Studienzentrum der Johann Wolfgang Goethe-Universität,,,,Johann Wolfgang Goethe-Universität,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9961003223,POINT (8.5926111 50.0564603),,,,,,university,,,,,Frankfurt University of Applied Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10203060830,POINT (8.6718615 50.1304435),,,,,,university,University of Labour,https://www.university-of-labour.de/,,,,+49 69 905503780,,,,,,,,,,,,,,,,,,,,,,,+49 69 905503789,,,,,,,,,,,,,,,,,,,,,,,
way,4794787,"POLYGON ((8.6693947 50.1295808, 8.668544 50.1307242, 8.6676201 50.1305861, 8.6675465 50.1305682, 8.6680036 50.1293834, 8.6680231 50.1293288, 8.6667033 50.1291396, 8.6664613 50.1297115, 8.6654289 50.1295512, 8.6653853 50.1293778, 8.6646536 50.1293464, 8.6635177 50.1292102, 8.6640133 50.1282501, 8.6644283 50.1273242, 8.6645047 50.1260827, 8.6645101 50.1259404, 8.6645249 50.1258343, 8.6648431 50.125051, 8.6651699 50.1241981, 8.6652739 50.1238619, 8.6651404 50.1237409, 8.6669704 50.1239886, 8.6671816 50.1240706, 8.66739 50.1241196, 8.6684653 50.1242763, 8.6696881 50.1244036, 8.6706363 50.1262581, 8.6705612 50.1263484, 8.6704617 50.1263686, 8.6704441 50.1263944, 8.6704156 50.1264286, 8.6703473 50.1265516, 8.6703297 50.1266323, 8.6703344 50.1267386, 8.6703861 50.1268434, 8.6704626 50.1269656, 8.6705026 50.1270087, 8.6706917 50.1271896, 8.6708258 50.1272959, 8.6709884 50.1273809, 8.6710265 50.1273948, 8.6707717 50.1277387, 8.6703596 50.1283095, 8.6693947 50.1295808))",,,,,,university,Johann-Wolfgang-Goethe-Universität Campus Westend,,yes,,Goethe-Universität,,,,,,,,,,,,,Johann-Wolfgang-Goethe-Universität Campus Westend; Johann-Wolfgang-Goethe-Universität Campus I.G.-Farben; Johann-Wolfgang-Goethe-Universität Campus IG-Farben;Johann-Wolfgang-Goethe-Universität Campus IG Farben,,,,,,,,,,,,"[3407078217, 7608736501, 9238657758, 10002316731, 60119099, 483417656, 318653407, 315884585, 564726236, 564726237, 2637722031, 1480413880, 1480413808, 315882792, 315882680, 30256740, 9862948814, 3131338268, 9862948813, 9862948812, 520415, 1480413769, 1480413770, 315885450, 315885451, 15514308, 162568, 9238186778, 315885882, 315814466, 1480413774, 315885881, 1480413783, 315885880, 1480413785, 32021058, 315814437, 1480413787, 1480413792, 2633091567, 9238186779, 9238186780, 2973644711, 3407078217]",,,,,,,,,,,,,,,,,,,,,,
way,4824694,"POLYGON ((8.6936704 50.1296526, 8.6939211 50.1302202, 8.6939725 50.1303285, 8.693902 50.1303408, 8.6939026 50.1303422, 8.6938137 50.1303579, 8.6938142 50.1303591, 8.6937407 50.1303735, 8.6936231 50.1303951, 8.6937539 50.130672, 8.6938313 50.1307444, 8.6938552 50.1307947, 8.6939031 50.1308958, 8.6939393 50.1309721, 8.6938987 50.1309809, 8.6939825 50.1311602, 8.6940083 50.1312155, 8.6940428 50.1312893, 8.6934412 50.1314056, 8.6926468 50.1313397, 8.6924892 50.131381, 8.6924021 50.131438, 8.6923311 50.1314411, 8.6921123 50.131451, 8.691967 50.1314586, 8.691927 50.1316416, 8.6916523 50.1316206, 8.6916711 50.1314981, 8.6912331 50.1314614, 8.691383 50.1307272, 8.6909911 50.1306985, 8.6909893 50.1306763, 8.6909452 50.1301323, 8.692547 50.1295253, 8.6935801 50.1295826, 8.6936704 50.1296526))",Frankfurt am Main,,1,60318,Nibelungenplatz,university,Frankfurt University of Applied Sciences,https://www.frankfurt-university.de,,,,,,,,,,,UAS,,,,,Frankfurt UAS,,,,,,,,,,yes,,"[31010695, 1623503779, 303012491, 9823571656, 9823571657, 9823571658, 9823571655, 1440420209, 31010694, 9823571631, 9823571628, 9823571627, 9823571624, 9823571629, 9823571630, 9823571620, 9823571619, 303012492, 31009001, 4968546473, 4363616809, 9823448588, 581268702, 581268700, 1836422310, 1836422313, 1836422312, 1836422311, 31010692, 1623503836, 31010691, 6852328299, 31010690, 803169970, 303012778, 31010695]",customers,FRA-UAS,Fachhochschule Frankfurt am Main,Q812648,de:Frankfurt University of Applied Sciences,,,,,,,,,,,,,,,,,
way,4839763,"POLYGON ((8.6294645 50.1760031, 8.6301117 50.1751481, 8.6308134 50.17418, 8.6310592 50.1742409, 8.6313049 50.1743439, 8.6313762 50.1743743, 8.63149 50.1744227, 8.6326224 50.174887, 8.6326558 50.1748902, 8.6326868 50.1748891, 8.6327817 50.1748767, 8.6328083 50.1748642, 8.6334388 50.1744605, 8.6335107 50.1744145, 8.6338167 50.1742183, 8.6338994 50.1741653, 8.6339236 50.1741498, 8.6340889 50.1740438, 8.6341445 50.1740093, 8.6343273 50.1738959, 8.6344305 50.1738093, 8.6347427 50.1736071, 8.634979 50.173437, 8.6350797 50.1733589, 8.6352075 50.1732171, 8.6352726 50.1731209, 8.6345998 50.1725629, 8.6338709 50.172088, 8.6342551 50.171759, 8.632966 50.1712581, 8.6329911 50.1710624, 8.634191 50.1698435, 8.6331132 50.1693432, 8.6326831 50.1697729, 8.6322926 50.1697035, 8.6317864 50.1694887, 8.6314612 50.1696085, 8.6308847 50.1694071, 8.6309954 50.1690044, 8.6302885 50.1688579, 8.6298978 50.1688533, 8.6298087 50.1688741, 8.6295915 50.1689248, 8.6292009 50.1699537, 8.6288826 50.1698589, 8.6285464 50.1703611, 8.6282421 50.1708534, 8.6263628 50.1735636, 8.6262592 50.173713, 8.6266125 50.1740033, 8.6276749 50.1747543, 8.628192 50.1751013, 8.6294645 50.1760031))",,,,,,university,Johann-Wolfgang-Goethe Universität - Campus Riedberg,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,"[503719817, 503719816, 503719815, 2056885960, 503719814, 2056885964, 503719822, 2056885967, 2075478154, 769817194, 503719812, 1199379037, 2075478090, 2075478071, 2075477987, 2075477962, 2075477958, 1323434028, 2075477943, 2075477921, 2075477915, 1323434066, 503719808, 1861576023, 1708507298, 1861576013, 503719825, 2039088315, 2039088254, 2039088225, 466557967, 2035563215, 10712493753, 9936016317, 9936016329, 9935994511, 2039088202, 2039088201, 2039088200, 2039088199, 2039088198, 3048500368, 31145962, 2039088206, 2039088204, 2039088208, 31145963, 9279049043, 2463280966, 503719821, 503719819, 503719818, 503719817]",,,,,,,,,,,,,,,,,,,,,,
way,69482522,"POLYGON ((8.6757292 50.1021357, 8.6757865 50.1021594, 8.675771 50.1021751, 8.6758384 50.1022026, 8.6757177 50.1023242, 8.6756256 50.1022866, 8.6756539 50.1022581, 8.6756205 50.1022443, 8.6757292 50.1021357))",Frankfurt am Main,DE,24,60596,Dürerstraße,university,Städelschule Architecture Class,,,,,,https://sac.staedelschule.de/,,,,,,SAC,,,,,,,,,,,,,,,yes,,"[831906652, 9846752710, 9846752711, 831906561, 831907022, 831906706, 831906446, 2408126462, 831906652]",,,,,,yes,,,,,,,,,,,,,,,,
way,104636307,"POLYGON ((8.6656099 50.123903, 8.6658262 50.123936, 8.6658552 50.123858, 8.6656388 50.123825, 8.6656099 50.123903))",,,,,,university,Taxi Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1207027809, 1207027813, 1207027814, 1207027816, 1207027809]",,,,,,yes,,,,,,,,,,,,,,,,
way,193030083,"POLYGON ((8.6309451 50.1695173, 8.6308283 50.1696371, 8.6312259 50.1697961, 8.6313427 50.1696763, 8.6309451 50.1695173))",,,,,,university,N 265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2035588652, 2035588653, 2035588655, 2035588654, 2035588652]",,,,,,yes,no,,,,,,,,,,,,,,,
way,195215351,"POLYGON ((8.6317052 50.1737377, 8.6316042 50.1736952, 8.6315372 50.1737605, 8.6315241 50.1737729, 8.6315384 50.1737789, 8.6315486 50.1737832, 8.631571 50.1737926, 8.6316254 50.1738155, 8.6316563 50.1737854, 8.6317052 50.1737377))",,,1,,Max-von-Laue-Straße,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2056851793, 345213262, 466557974, 1906801933, 2056851796, 2056851797, 1906801936, 2056851800, 2056851798, 2056851793]",,,,,,university,,3,glass,1,#666677,11,1,4,yes,#aaaaaa,flat,,,,,
way,284788804,"POLYGON ((8.6527427 50.1197295, 8.6533036 50.1196868, 8.6533571 50.1195956, 8.6528232 50.1181908, 8.6504828 50.1183719, 8.6503306 50.1177468, 8.650234 50.1171866, 8.6506744 50.1171534, 8.6506278 50.1168924, 8.6505187 50.1160961, 8.6500303 50.1155531, 8.6489198 50.1161509, 8.6499103 50.1189147, 8.6502904 50.11886, 8.6504585 50.1188537, 8.6506031 50.119651, 8.6506191 50.1199046, 8.6513302 50.1198085, 8.6527427 50.1197295))",,,,,,university,Goethe Universität - Campus Bockenheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[331894450, 331894448, 5385110476, 5385110469, 5385110470, 6276754454, 6276754453, 5385110471, 5385110472, 5385110473, 5385110474, 5385110475, 5730591748, 9825761030, 5730591746, 5730591747, 9825761058, 2606639242, 331894450]",,Kulturcampus,,,,,,,,,,,,,,,,"there are more buildings belonging to campus bockenheim, see: https://www.uni-frankfurt.de/38093742/Lageplan___Campus_Bockenheim.pdf",,,,
way,294673347,"POLYGON ((8.6687778 50.1311082, 8.6688668 50.130888, 8.6689771 50.1307724, 8.6694237 50.1308062, 8.6699176 50.1308063, 8.6699278 50.1311096, 8.6687778 50.1311082))",,,,,,university,Seminarpavillon,http://www.uni-frankfurt.de,,,Goethe-Universität,+49 69 798 0,,,,,,,,,,,,Goethe-Universität,,,,,,,,,,,+49 69 798 18383,"[2982666650, 2982666649, 2982666646, 2982666647, 2982666648, 2982666651, 2982666650]",,,,Q50662,de:Johann Wolfgang Goethe-Universität Frankfurt am Main,,,,,,,,,,,,,,university,site,,
way,370617727,"POLYGON ((8.6792426 50.133005, 8.6818965 50.133361, 8.6824971 50.132065, 8.682293 50.1321096, 8.6821002 50.1321868, 8.6816906 50.1322527, 8.6812142 50.1322976, 8.6808105 50.1323163, 8.6794801 50.1323243, 8.6783343 50.1323175, 8.6779343 50.1335888, 8.679017 50.133731, 8.6792426 50.133005))",Frankfurt am Main,,32-34,60322,Adickesallee,university,Frankfurt School of Finance & Management,,,,Frankfurt School of Finance & Management,,https://www.frankfurt-school.de,,,,,,,,,,,,info@fs.de,,,,,,,,,wlan,,"[6437111368, 384826614, 771388864, 1518486525, 1518486634, 771388885, 1518486688, 771388856, 3122571571, 3749533331, 3122571597, 6437111369, 6437111368]",no,,,Q1444899,de:Frankfurt School of Finance & Management,,,,,,,,,,,,,,,,private,
way,687042985,"POLYGON ((8.6916345 50.1289958, 8.6914742 50.1289746, 8.6915657 50.1287, 8.6915732 50.1286768, 8.6917232 50.1286978, 8.6917152 50.1287215, 8.6916849 50.1287282, 8.6916612 50.1287395, 8.691651 50.1287473, 8.6916392 50.1287572, 8.6916299 50.1287701, 8.6916239 50.1287857, 8.6916246 50.1288028, 8.6916309 50.128819, 8.691646 50.1288413, 8.6916688 50.1288589, 8.6916375 50.128958, 8.6916469 50.1289591, 8.6916345 50.1289958))",,,,,,university,BCN,,,,Frankfurt University of Applied Sciences,,,,,,,,,,,,,,,,,,,,,,,,,"[6440424941, 6440424942, 9806981320, 6440424943, 6440420713, 5496018782, 9806981308, 5496018783, 9806981309, 5496018784, 9806981310, 5496018785, 9806981311, 5496018786, 9806981312, 5496018787, 5496018788, 6440424945, 6440424941]",,,,,,,,,,,,,,,,,,,,,,
way,1087642390,"POLYGON ((8.676828 50.1199745, 8.6757634 50.1195531, 8.6756455 50.1195387, 8.6756279 50.1195954, 8.6755693 50.1197921, 8.67554 50.119885, 8.6755055 50.119881, 8.6754965 50.1199214, 8.6753574 50.1199043, 8.675231 50.1203555, 8.6752914 50.1203609, 8.6752532 50.1204708, 8.675402 50.1204892, 8.6754594 50.1204965, 8.6755769 50.1205582, 8.6757212 50.1206365, 8.6757507 50.1206155, 8.6757866 50.1206344, 8.6759214 50.1205493, 8.6760462 50.1204705, 8.6760084 50.1204513, 8.6760633 50.1204025, 8.6761471 50.1203274, 8.6761749 50.1203403, 8.6761874 50.1203356, 8.6762005 50.1203293, 8.6762159 50.1203199, 8.6762288 50.1203101, 8.6762413 50.1202989, 8.6762496 50.1202861, 8.6762538 50.1202776, 8.6762569 50.1202682, 8.6762292 50.120254, 8.6762523 50.1202349, 8.6763141 50.1201957, 8.6767673 50.1200099, 8.676828 50.1199745))",Frankfurt am Main,,29-39,60322,Eschersheimer Landstraße,university,Hochschule für Musik und Darstellende Kunst,https://www.hfmdk-frankfurt.de/,limited,,,+49 69 1540070,,,,,,,,,,,,,,,,,,,Frankfurt University of Music and Performing Arts,,,,+49 69 154007108,"[573366985, 9965305781, 9826061006, 9826061005, 2618680215, 2618680225, 9965305775, 9965305780, 9965305779, 9965305778, 9965305777, 9965305776, 2618680261, 2618680262, 2618680264, 9965305774, 9965305773, 573366994, 573366999, 399444940, 9965305772, 573366998, 2618680254, 2618680256, 9826065370, 2618680255, 9826065373, 9826065372, 2618680253, 9826065371, 9826065369, 2618680250, 604949482, 399444900, 2618680247, 399444898, 573366985]",,,,,,,,,,,,,,,,,,,,,,
way,1115626548,"POLYGON ((8.6756715 50.1023854, 8.6754088 50.102276, 8.6753715 50.1022611, 8.6753607 50.1022566, 8.6753337 50.1022455, 8.6752859 50.1022263, 8.674483 50.1018977, 8.6743395 50.1020085, 8.6740555 50.1022532, 8.674288 50.1022821, 8.6753257 50.1027499, 8.6756715 50.1023854))",,,,,,university,Staatliche Hochschule für Bildende Künste - Städelschule Frankfurt am Main,https://www.staedelschule.de/,,,,+49 69 6050080,,,,,,,,,,,,,,,,,,,,,,,+49 69 60500866,"[10203134356, 2408126466, 9846752712, 2408126464, 2408126461, 2408126456, 10203134355, 831906476, 831906676, 831906525, 10203134354, 10203134356]",,,,Q875722,de:Staatliche Hochschule für Bildende Künste – Städelschule,,,,,,,,,,,,,,,,,Category:Städelschule
