element_type,osmid,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,cuisine,diet:kosher,name,phone,website,wheelchair,geometry,microbrewery,addr:country,addr:suburb,contact:email,contact:phone,contact:website,opening_hours,source,source:date,wheelchair:description,operator,smoking,toilets:wheelchair,email,fax,indoor_seating,outdoor_seating,website:menu,diet:vegan,diet:vegetarian,check_date:opening_hours,opening_hours:signed,old_name,diet:non-vegetarian,payment:cash,payment:ec,biergarten,contact:fax,gay,level,opening_hours:kitchen,payment:american_express,payment:girocard,payment:visa,reservation,toilets,toilets:access,takeaway,delivery,description,name:ko,capacity,fixme,name:de,old_name:it,removed:cuisine,strapline,internet_access,man_made,contact:mobile,check_date,payment:mastercard,alt_name,cafe,cuisine:crossover,note,contact:facebook,kids_area,rooms,tourism,smoking:outside,check_date:diet:vegetarian,payment:credit_cards,payment:debit_cards,diet:halal,dog,payment:cards,service:electricity,drink:club-mate,delivery:covid19,opening_hours:covid19,takeaway:covid19,bar,drive_through:covid19,brand,brand:wikidata,short_name,name:zh,access,brand:wikipedia,addr:housename,loc_name,payment:cheque,payment:cryptocurrencies,payment:electronic_purses,payment:wire_transfer,start_date,branch,brand:contact:facebook,brand:contact:website,brand:start_date,brand:strapline,breakfast,cocktails,drive_through,happy_hours,happy_hours:note,happy_hours:url,menu:url,opening_hours:note,opening_hours:url,website:reservation,contact:instagram,operator:type,mobile,air_conditioning,url,name:en,entrance,payment:coins,payment:maestro,cuisine:de,addr:floor,survey:date,building,diet:meat,internet,operator:wikidata,stars,payment:diners_club,payment:discover_card,payment:jcb,diet:lacto_vegetarian,check_date:currency:XBT,currency:XBT,diet:dairy_free,diet:lactose_free,payment:lightning,payment:lightning_contactless,payment:onchain,access:covid19,food,internet_access:fee,restaurant,drink:coffee,wikidata,diet:gluten_free,diet:pescetarian,kitchen_hours,source:note,changing_table,sustenance,payment:account_cards,internet_access:operator,opening_hours:breakfast,payment:v_pay,surveillance,brewery,diet:raw,payment:notes,payment:visa_debit,payment:visa_electron,shop,delivery:partner,payment:apple_pay,payment:google_pay,self_service,name:ja,wheelchair:description:en,ele,contact:foursquare,contact:pinterest,contact:tripadvisor,contact:twitter,contact:yelp,contact:youtube,diet:ayurvedic,layer,disused:name:en,description:access,description:access:en,ref:vatin,currency:EUR,currency:USD,diet:mediterranean,diet:nut_free,payment:contactless,description:en,operator:alt_name,name:ar,organic,note:de,lunch,contact:whatsapp,dinner,outdoor_seating:capacity,nodes,building:levels,roof:levels,roof:shape,diet:healthy,wheelchair:description:de,building:part,indoor,room,breakfast:brunch,weather_protection
node,264142632,,,,,restaurant,,,Pizzeria San Marco,,,limited,POINT (8.6758684 50.1210722),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,264143154,,,,,restaurant,,,Estragon,,,yes,POINT (8.6804499 50.120206),,,,,+49 69 5978038,,Mo-Sa 18:00-24:00,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,264143268,,,,,restaurant,,,Marinella,,,no,POINT (8.6860984 50.1202323),,,,,+49 69 558802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,265561618,,,,,restaurant,thai,,Rama V,,,no,POINT (8.6864549 50.1170961),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,265561658,,,,,restaurant,indian,,Curry Club,,,limited,POINT (8.6865766 50.1169003),,,,,,,"Mo-Su 11:30-14:30,18:00-23:00; Sa 11:30-23:30",,,,,no,no,,,,,,,,,,Palace of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,265893212,,,,,restaurant,persian,,Zarathustra,,,limited,POINT (8.6860514 50.1203501),,,,,+49 69 200 24 976,https://zarathustra-restaurant.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266792904,,,,,restaurant,,,Seefeld,,,limited,POINT (8.6865888 50.1203628),,,,,,,"Mo-Sa 17:00-23:00; PH,Su 12:00-23:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266792956,Frankfurt am Main,46,60318,Koselstraße,restaurant,italian_pizza;italian,,Pizzeria Il Cavallino,+49 69 5963331,,no,POINT (8.6875514 50.1231669),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,267282530,Frankfurt am Main,183,60431,Ginnheimer Landstraße,restaurant,korean;asian;japanese,,Samaru,+496995112750,https://sanmaru.metro.rest/?lang=de#map,no,POINT (8.6477071 50.1421809),,,,samaru@gmx.de,,,Tu-Su 12:00-15:00; Tu-Su 18:00-22:00,,,,,,,,,yes,yes,,yes,yes,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,267286818,,,,,restaurant,,,Gasthaus Jahnvolk,,,limited,POINT (8.6764555 50.1458591),,,,,,,Mo-Sa 17:00-23:00; Su 16:00-22:00,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,267289026,Frankfurt am Main,63,60389,Im Prüfling,restaurant,korean,,Danji,,,no,POINT (8.7086338 50.1308948),,,,,,,,,,,,,,,,yes,yes,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,267289079,Frankfurt am Main,38,60389,Rothschildallee,restaurant,italian,,L'isola Sarda,,,no,POINT (8.6946877 50.1286109),,,,info@lisola-sarda.de,+49 69 462206,https://lisola-sarda.de/,"Tu-Su 11:20-14:30, 18:00-00:00; Sa 18:00-00:00",,,,,,,,,,,,,yes,,,,,,,,+49 69 462206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,267538016,,,,,restaurant,,,Bistro Quer,,,limited,POINT (8.6796754 50.120135),,,,,,,Mo-Fr 11:00-16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,267538740,,2,,Oeder Weg,restaurant,,,Der Fette Bulle,,,yes,POINT (8.6799373 50.1183163),,,,,,,Mo-Sa 11:30-23:00; Su 11:30-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,267543938,Frankfurt am Main,2-4,60488,Bachmannstraße,restaurant,international,,KP21,,www.kp-21.de,yes,POINT (8.6260401 50.1314014),,,,,,,Mo-Sa 17:00-22:00,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,268259091,Frankfurt am Main,50,60431,Ginnheimer Stadtweg,restaurant,balkan,,Restaurant ĆAĆA I SIN - Vater & Sohn am Europaturm,+4969 269 58 588,https://restaurant-europaturm.de/,,POINT (8.6544491 50.1339016),,,,,,,Di-Su 15:30-22:00,,,,,,,restaurant-vaterundsohn@web.de,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,269595103,,,,,restaurant,,,Bootshaus am Eisernen Steg,,,yes,POINT (8.6819432 50.1074288),,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,269595104,,,,,restaurant,,,Freigut,,,yes,POINT (8.682787 50.1075582),,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,270456267,Frankfurt am Main,97,60318,Lenaustraße,restaurant,,,Cafe Groessenwahn,+49 69 599356,https://cafe-groessenwahn.de/startseite/,no,POINT (8.6887285 50.128598),,DE,,,,,Mo-Su 16:00+,,,,,outside,,,,,yes,,,,,,,,,,,,welcome,0,Mo-Su 17:00-22:00,yes,yes,yes,yes,yes,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,271242197,Frankfurt am Main,34,60386,Max-Hirsch-Straße,restaurant,italian,,Il Doge,+49 69 40148906,,limited,POINT (8.7314768 50.1290943),,,,,,https://il-doge.de/,"Mo off; Tu-Fr,Su 11:30-22:00; Sa 17:00-22:00",,,,,,,ildoge@t-online.de,+49 6109 3784100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,280227317,Frankfurt am Main,146,60435,Homburger Landstraße,restaurant,asian,,Asia Snack,,https://www.asia-snack-frankfurt.de/,no,POINT (8.6910899 50.1520708),,,,,,,Mo-Fr 11:00-20:30; Su 12:00-20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,282654608,,,,,restaurant,aethiopean,,Demera,,http://demera-frankfurt.com,,POINT (8.6746752 50.126668),,,,,,,"Mo-Fr 17:00-23:00, Sa 17:00-01:00, Su 17:00-23:00",,,,,,,,,,,http://www.demera-frankfurt.com/menue/#page/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,290629233,,,60316,,restaurant,italian,,Bella Mia,+49 69 90437777,,limited,POINT (8.6976345 50.1213271),,,,,,,Mo-Su 11:00-23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,290629234,,,,,restaurant,sushi,,Shisan,+4969 48986867,http://www.shisan.de,no,POINT (8.6969288 50.1220593),,,,,,,Mo-Sa 12:00-22:00; Su off,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,290629235,,,,,restaurant,italian,,Forno d'Oro II,,,limited,POINT (8.696135 50.122218),,,,,,,"PH,Mo-Su 11:00-24:00",,,,,separated,,,,,,,,,2023-06-03,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,290629238,,,,,restaurant,thai,,Bangkok,,,limited,POINT (8.6959453 50.1172466),,,,,+49 69 491360,http://www.bangkok-restaurant.com/,"We-Mo 12:00-14:30,18:00-22:00; Tu off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,290629239,,,,,restaurant,german,,Buchholz,,,no,POINT (8.697247 50.1183671),,,,,,,"Mo,We-Sa 16:30-23:00; PH,Su 11:30-22:00; Tu off",,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,290629240,,,,,restaurant,german,,Zum dicken Fritz,,,no,POINT (8.7073206 50.1252019),,,,,,,"We-Mo 12:00-15:30,18:00-23:00; Tu 12:00-15:00",,,,,,,,,,,,,,2022-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
