element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,email,name,name:de,name:en,opening_hours,phone,website,geometry,community_centre,community_centre:for,operator,wheelchair,barrier,check_date:opening_hours,internet_access,max_age,min_age,toilets:wheelchair,contact:phone,contact:website,note,source,fax,operator:type,opening_hours:signed,contact:email,internet_access:fee,internet_access:ssid,alt_name,contact:fax,description,brand,brand:wikidata,nodes,building,building:levels,roof:levels,roof:shape,building:use,short_name,club,check_date,ref,wikidata,wikimedia_commons,wikipedia,denomination,religion,ways,type
node,2327422750,Frankfurt am Main,DE,248,60320,Eschersheimer Landstraße,community_centre,,Saalbau Dornbusch,Saalbau Dornbusch,,"""bei Veranstaltungen""",+49 69 95805310,https://www.saalbau.com/die-frankfurter-saalbauten-raumangebot/saalbau-dornbusch.html,POINT (8.6707803 50.1393284),,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2351460398,Frankfurt am Main,DE,73,60326,Idsteiner Straße,community_centre,,Jugendhaus Gallus,,,Mo 12:00-19:00; Tu 13:00-18:00; We 13:00-19:00; Th 14:00-20:00; Fr 12:00-18:00,,,POINT (8.6330654 50.1055431),youth_centre,juvenile,AWO,yes,,,,21,13,,+49 69 732400,https://www.awo-frankfurt.de/jugendhaus-gallus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2418023344,,,,,,community_centre,,Saalbau Fechenheim,,,,,,POINT (8.7642899 50.1214639),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2451874718,,,,,,community_centre,,MezzoMezzo Mädchen- und Jungenzentrum e.V.,,,,+49 69 704272,http://mezzomezzo.net,POINT (8.6252473 50.1290915),,,,no,,,,,,,,,"ab 5.Klasse ; Hausaufgabenhilfe, Jugendclub, Freizeit, Mo-Do 13-19Uhr; Fr 15-21Uhr",www.mezzomezzo.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2475371956,,,,,,community_centre,,Bürgerhaus Harheim,,,,,,POINT (8.6929629 50.1852685),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2546939965,,,,,,community_centre,,ev. Vereinshaus Westend,,,,,,POINT (8.6726425 50.1128179),,,Stiftung Evangelisches Vereinshaus Westend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2683278243,,,,,,community_centre,,Koreanisches Kulturzentrum,,,,,,POINT (8.6862399 50.1067134),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2749815847,,,,,,community_centre,,Frankfurter Verband Begegnungszentrum,,,,,,POINT (8.6376447 50.1040079),,,Frankfurter Verband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2917284401,,,,,,community_centre,,Saalbau Oberrad,,,,,,POINT (8.7246378 50.1005829),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3188926781,Frankfurt am Main,,168a,60431,Ginnheimer Landstraße,community_centre,uli.fritz.gruenges@gmx.de,Jugendzentrum Ginnheim,,,,+4969517591,,POINT (8.6488599 50.1409577),,juvenile,Jugendzentrum Ginnheim e. V.,,,,,,,,,,,,+496997947501,private_non_profit,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3221953198,,,,,,community_centre,,Ev. Gemeindezentrum Hausen,,,We 16:00-17:30; Fr 09:30-11:00,,,POINT (8.6241074 50.1323215),,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3517286900,,,,,,community_centre,,Bürgertreff Oberrad,,,,,,POINT (8.7249715 50.1005297),,,Saalbau AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4337309382,,,,,,community_centre,,jugend-kultur-kirche sankt peter,,,,,https://www.sanktpeter.com,POINT (8.6837308 50.1173969),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5212808154,,,66,,Savignystraße,community_centre,,Ignaz Bubis-Gemeindezentrum,,,,,https://www.jg-ffm.de,POINT (8.660367 50.113729),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5590079022,Frankfurt am Main,,188,60314,Hanauer Landstraße,community_centre,,Union Halle,,,,+49 69 24750310,https://unionhalle.de/,POINT (8.7228755 50.1140955),,,,no,,2023-05-29,,,,no,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
node,5688173243,Frankfurt am Main,,6,60489,Alt-Rödelheim,community_centre,,Centro,,,"We 16:00-20:00; Sa[1,3] 11:00-14:00; Su[1,3] 14:00+",,https://centro-ffm.org/,POINT (8.612819 50.1244659),,,,limited,,,wlan,,,,,,,,,,,centro@riseup.net,no,ffm.freifunk.net,,,,,,,,,,,,,,,,,,,,,,
node,6062738001,Frankfurt am Main,,5,60313,Klapperfeldstraße,community_centre,,Faites votre jeu!,,,,,http://www.klapperfeld.de/,POINT (8.6896993 50.1153662),,,Kultur- und Kunstverein Ostzeil,limited,,,,,,,+491773982718,,,,,,,info@klapperfeld.de,,,Kultur- und Kunstverein Ostzeil,,,,,,,,,,,,,,,,,,,,,
node,7270656740,Frankfurt am Main,,110a,60437,Ben-Gurion-Ring,community_centre,,Saalbau Zentrum am Bügel,,,,,https://www.saalbau.com/raumangebot/detail/?SAALBAU-Zentrum-am-Buegel&objekt=206,POINT (8.6613133 50.1872561),,,SAALBAU Betriebsgesellschaft mbH,,,,,,,,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7319622639,,,,,,community_centre,,Kinder- und Jugendhaus Sindlingen,,,,,,POINT (8.5125294 50.0881179),,juvenile,"Kommunale Kinder-, Jugend- und Familienhilfe Frankfurt am Main",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7533538578,,,,,,community_centre,,Stadtteiltreff Edenkobener Straße,,,Th 15:00-17:00,,,POINT (8.5075172 50.0884365),family_centre,,Frankfurter Verband,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7951473827,Frankfurt am Main,,2,60435,Boskoopstraße,community_centre,,Jugendzentrum Frankfurter Bogen,,,,,,POINT (8.7000058 50.1566627),,juvenile,,,,,,,,,+49 69 54805789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8855746006,,,,,,community_centre,,Jugendclub Stefan Zweig,,,,,,POINT (8.6559834 50.1424197),,juvenile,Jugendzentrum Ginnheim e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9535055809,Frankfurt am Main,DE,73,60326,Idsteiner Straße,community_centre,,Kinderhaus Gallus,,,,,,POINT (8.6332221 50.1052577),youth_centre,child,Stadt Frankfurt am Main,,,2022-08-08,,14,6,,+49 69 21244481,https://frankfurt.de/service-und-rathaus/verwaltung/aemter-und-institutionen/kommunale-kinder---jugend--und-familienhilfe/kinderhaeuser/kinderhaus-gallus,,,,,no,Info.Kinderhaus-Gallus@stadt-frankfurt.de,,,,+49 69 21244547,,,,,,,,,,,,,,,,,,,,
node,9655115365,,,,,,community_centre,,Jugendhaus Bergen,,,,+49 6109 24690,http://www.juz-bergen.de/,POINT (8.7585527 50.1585749),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9846854847,,,,,,community_centre,,Edith Stein Zentrum,,,Tu 16:30-18:00; Th 10:30-12:00,,,POINT (8.6353558 50.1791552),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10143387930,,,,,,community_centre,,Nachbarschaftsbüro Griesheim,,,"Tu 16:00-18:00 || ""nach Vereinbarung""",,,POINT (8.6067662 50.0967879),,,Internationaler Bund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10143588728,,,,,,community_centre,,Jugendclub Griesheim,,,,,,POINT (8.5965322 50.0987923),youth_centre,juvenile,Evangelischer Verein für Jugendsozialarbeit in Frankfurt am Main e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10148047978,,,,,,community_centre,,Nachbarschaftszentrum Alte Sparkasse,,,Tu 10:00-13:00; Th 15:00-18:00; Fr 10:00-12:00,,,POINT (8.7340591 50.1286315),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10159118092,,,,,,community_centre,,IB-Jugendclub Griesheim,,,,,,POINT (8.6050656 50.0940176),,juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10579694219,,,,,,community_centre,,Pipeline,,,,,,POINT (8.6877907 50.1061087),youth_centre,,,,,,,,,,,,,,,,,,,,,,Jugendzentrum Sachsenhausen,,,,,,,,,,,,,,,,,,,
node,10656999681,Frankfurt am Main,,15,60528,Bruchfeldstraße,community_centre,,Break 14 Kinder- und Jugendkulturwerkstatt,,,"Mo 13:00-20:00; Tu 13:00-19:00; We 13:00-18:00, Th 13:00-19:00",,http://break14-frankfurt.de/,POINT (8.648806 50.0869519),youth_centre,,Verein zur Förderung der Waldorfpädagogik- Hortverein e.V.,,,,,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10709827933,,,,,,community_centre,,Deutsches Rotes Kreuz Ortsverein Süd,,,,,,POINT (8.6462218 50.0874807),,,,,,,,,,,,,,,,,,,,,,,,Deutsches Rotes Kreuz,Q694104,,,,,,,,,,,,,,,,,
node,10765588576,,,,,,community_centre,,Bürgertreff,,,,,,POINT (8.6444976 50.0848745),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10884327724,Frankfurt am Main,,3,60389,Atzelbergplatz,community_centre,,DeR+Klub.,,,,,,POINT (8.720202 50.1409994),youth_centre,,DRK Frankfurt,,,,,,,,,,,,,,,,,,,,Kinder- und Jugendzentrum Seckbach,,,,,,,,,,,,,,,,,,,
way,22874911,Frankfurt am Main,DE,24,60385,Arnsburger Straße,community_centre,,Bürgerhaus Saalbau Bornheim,,,,,https://www.saalbau.com/raumangebot/detail/?SAALBAU-Bornheim&objekt=6,"POLYGON ((8.7045204 50.1234008, 8.7049385 50.123139, 8.7048838 50.1231024, 8.7049138 50.1230811, 8.7048892 50.1230045, 8.7048924 50.1230041, 8.7048879 50.1229889, 8.7048945 50.1229872, 8.7049004 50.1229843, 8.7049054 50.1229809, 8.7049084 50.1229762, 8.7049091 50.1229721, 8.7049087 50.1229678, 8.7049066 50.1229634, 8.7049019 50.1229595, 8.7048973 50.1229568, 8.7048906 50.1229549, 8.7048835 50.1229539, 8.704876 50.1229545, 8.7048731 50.1229427, 8.7049263 50.122935, 8.7049137 50.1228925, 8.7049198 50.1228912, 8.7049245 50.122888, 8.7049276 50.1228844, 8.7049288 50.1228806, 8.7049287 50.1228774, 8.7049274 50.1228739, 8.7049236 50.1228705, 8.7049179 50.122868, 8.7049112 50.122867, 8.7049056 50.122867, 8.7048808 50.1227907, 8.7048538 50.1227949, 8.7046994 50.122675, 8.7046139 50.1227207, 8.7045961 50.1227063, 8.7044998 50.1227579, 8.7045351 50.1227853, 8.70446 50.1228256, 8.7044429 50.1228122, 8.7042169 50.1229335, 8.7042505 50.1229593, 8.7042741 50.1229774, 8.7042784 50.1229925, 8.7042862 50.123019, 8.7041636 50.1230347, 8.7042031 50.1229965, 8.7042056 50.1229911, 8.704205 50.1229857, 8.7042023 50.1229795, 8.7041979 50.1229751, 8.7041902 50.1229713, 8.7041823 50.1229694, 8.7041744 50.1229689, 8.7041651 50.1229693, 8.7041563 50.1229717, 8.7041503 50.122975, 8.7041047 50.1230182, 8.7040516 50.123026, 8.7040604 50.1230508, 8.7040648 50.1230636, 8.7040596 50.1230645, 8.7040542 50.1230664, 8.7040503 50.1230691, 8.7040464 50.1230727, 8.7040441 50.1230774, 8.7040436 50.1230812, 8.7040441 50.1230848, 8.7040467 50.1230893, 8.7040506 50.1230926, 8.7040563 50.1230956, 8.7040626 50.1230975, 8.7040698 50.1230982, 8.7040757 50.123098, 8.7040795 50.1231094, 8.7040471 50.1231136, 8.7040065 50.1231192, 8.7039393 50.1231281, 8.7039461 50.1231363, 8.703953 50.1231497, 8.7039555 50.1231607, 8.7039567 50.1231779, 8.7039518 50.1231931, 8.7039458 50.1232056, 8.7039359 50.1232194, 8.7039242 50.1232297, 8.7039366 50.1232653, 8.703985 50.1232592, 8.7040235 50.1233719, 8.7041799 50.1233059, 8.7043426 50.123284, 8.7045204 50.1234008))",,,,yes,,,,,,yes,,,,,,,,,,,,,,,,"[245928071, 245928072, 245928073, 1644661217, 9814999112, 9814999111, 245928074, 9814999109, 9814999108, 9814999107, 9814999106, 9814999105, 1644661201, 9814999102, 9814999101, 9814999100, 9814999103, 9814999104, 9814999110, 1644661196, 245928076, 9814999098, 9814999096, 9814999095, 9814999093, 9814999091, 9814999089, 9814999090, 9814999092, 9814999094, 9814999097, 9814999099, 1644661193, 1644661185, 245928077, 1644661177, 1644661173, 245928078, 245928079, 245928080, 245928082, 245928083, 9814999055, 245928084, 9814999052, 245928085, 1644661210, 1644661206, 9814999067, 9814999066, 9814999063, 9814999062, 9814999061, 9814999060, 9814999064, 9814999065, 9814999068, 903964210, 9814999088, 245928086, 9814999051, 9814999087, 9814999078, 9814999069, 9814999070, 9814999071, 9814999072, 9814999073, 1644661221, 9814999074, 9814999075, 9814999076, 9814999077, 9814999079, 9814999086, 245928088, 9814999056, 9814999059, 245928089, 245928090, 9814999080, 9814999081, 9814999082, 245928091, 9814999083, 9814999084, 9814999085, 245928092, 245928093, 245928096, 245928098, 245928099, 245928071]",yes,,,,,,,,,,,,,,,
way,27269605,Frankfurt am Main,DE,10,60433,Julius-Brecht-Straße,community_centre,,Jugendhaus Frankfurter Berg,,,,,,"POLYGON ((8.6783834 50.1696012, 8.6784596 50.1694078, 8.6786967 50.1694461, 8.6786602 50.1695387, 8.6787211 50.1695485, 8.6786814 50.1696493, 8.6783834 50.1696012))",,,,,,,,,,,,,,,,,,,,,,,,,,"[299322702, 299322703, 299322704, 320889390, 2467960222, 299322705, 299322702]",yes,,,,,,,,,,,,,,,
way,30414342,Frankfurt am Main,DE,2,60435,Gelnhäuser Straße,community_centre,,Saalbau Ronneburg,,,,,,"POLYGON ((8.6904806 50.1505548, 8.6904653 50.1505518, 8.6904449 50.1506041, 8.69019 50.1505637, 8.6901716 50.1506107, 8.6900655 50.1505937, 8.6901257 50.1504396, 8.6903183 50.1504705, 8.6903559 50.1503779, 8.6902386 50.1503591, 8.6902466 50.1503352, 8.6902299 50.1503325, 8.6901881 50.1503259, 8.6902214 50.1502406, 8.6902435 50.1502442, 8.6902718 50.1501718, 8.690291 50.1501749, 8.6903183 50.1501063, 8.6903348 50.150109, 8.6903548 50.1500616, 8.6903666 50.1500315, 8.6903871 50.150034, 8.6904027 50.149994, 8.6904126 50.1499687, 8.6906552 50.1500076, 8.6906294 50.1500736, 8.6906176 50.1501038, 8.6906543 50.1501096, 8.6905858 50.1502885, 8.6906466 50.1502982, 8.6906195 50.1503673, 8.6906134 50.1503829, 8.6905508 50.1503728, 8.6904806 50.1505548))",,,Saalbau Frankfurt,,,,,,,,,,,,,,,,,,,,,,,"[335655601, 335655610, 335655611, 335655617, 335655618, 335655619, 335655616, 335655614, 335655621, 335655622, 335655717, 335655718, 335655724, 335655725, 335655721, 335655723, 335655720, 335655719, 335655716, 335655623, 335655625, 335655628, 6725706807, 335655629, 335655630, 335655627, 335655624, 335655602, 335655605, 335655607, 7488678376, 335655608, 335655604, 335655601]",yes,,,,,,,,,,,,,,,
way,30951893,Frankfurt am Main,DE,10,60439,Thomas-Mann-Straße,community_centre,,Dietrich-Bonhoeffer-Gemeinde,,,,,,"POLYGON ((8.6176903 50.1640246, 8.6179739 50.1640242, 8.6179727 50.1636951, 8.6176892 50.1636955, 8.6176903 50.1640246))",,,Evangelische Kirche,,,,,,,,,,,,,,,,,,,,,,,"[344142087, 344142094, 344142091, 344142088, 344142087]",yes,,,,,,,,,,,,,,,
way,32603844,Frankfurt am Main,DE,2,60439,Walter-Möller-Platz,community_centre,,Saalbau Titusforum,,,,,,"POLYGON ((8.6322435 50.1581371, 8.6319987 50.1585256, 8.6322354 50.1585842, 8.6323331 50.1586087, 8.6325652 50.1586668, 8.6328024 50.1582784, 8.6322435 50.1581371))",,,Saalbau,yes,,,,,,,,,,,,,,,,,,,,,,"[366639072, 366639073, 1475329581, 1475329583, 30997658, 366639132, 366639072]",public,3,0,flat,,,,,,,,,,,,
way,34591037,Frankfurt am Main,DE,62,60439,Karl-Kautsky-Weg,community_centre,,Gemeindezentrum Evangelisch-lutherische Kirchengemeinde Niederursel,,,,,,"POLYGON ((8.6224198 50.1670233, 8.6224715 50.1670205, 8.6224886 50.1670065, 8.6225932 50.1670084, 8.6226572 50.1669333, 8.6226404 50.1669154, 8.6225987 50.166871, 8.6226537 50.1668081, 8.6225674 50.166722, 8.622546 50.16672, 8.6224352 50.1668389, 8.6223632 50.1668353, 8.6223112 50.1668949, 8.6224198 50.1670233))",,,,,,,,,,,,,,,,,,,,,,,,,,"[401562648, 1664122301, 1664122295, 1664122298, 401562650, 9893427646, 1664122256, 1664122233, 401562651, 401562657, 401562653, 401562654, 401562655, 401562648]",yes,,,,,,,,,,,,,,,
way,37864857,Frankfurt am Main,,61,60438,Riedbergallee,community_centre,,Evangelisches Kirchenhaus der Gemeinde Riedberg,,,,,,"POLYGON ((8.6346048 50.1794615, 8.6343914 50.1796232, 8.6345345 50.1797007, 8.6344335 50.1797772, 8.6345457 50.1798379, 8.6348601 50.1795998, 8.6346048 50.1794615))",,,,,,,,,,,,,,,,,no,,,,,,,,,"[444298384, 444298388, 1371196860, 1371196910, 444298390, 444298386, 444298384]",yes,,,,,,,,,,,,,,,
way,50401314,Frankfurt am Main,,17,65931,Bechtenwaldstraße,community_centre,,Stadthalle Zeilsheim,,,,,,"POLYGON ((8.4992982 50.0976395, 8.4994457 50.0976887, 8.4994716 50.0977619, 8.4995028 50.0977551, 8.4999062 50.0979146, 8.4999363 50.0979793, 8.4997348 50.098215, 8.49964 50.0982274, 8.4992506 50.0980883, 8.4990898 50.0981203, 8.4990569 50.0980523, 8.499183 50.0980272, 8.4991731 50.0980066, 8.4990724 50.0979836, 8.4990272 50.0980341, 8.4989632 50.0980108, 8.4989405 50.0979503, 8.4988499 50.097917, 8.4988243 50.0978561, 8.4989527 50.0976979, 8.4992982 50.0976395))",,,,,,,,,,,,,,,,,,,,,,,,,,"[640355027, 646465700, 646465699, 646465698, 646465697, 640355031, 646465695, 640355034, 646465672, 2297227717, 2297227711, 2297227707, 646465668, 646465675, 646465680, 646465682, 646465677, 640355038, 646465670, 640355040, 640355027]",yes,,,,public,,,,,,,,,,,
way,50405457,,,,,,community_centre,,Volkshaus Sossenheim,,,,,,"POLYGON ((8.5660379 50.1230812, 8.5663282 50.1227177, 8.5667543 50.1228621, 8.5664638 50.1232171, 8.5660379 50.1230812))",community_hall,,,,,,,,,,,,,,,,,,,,,,,,,"[658638725, 658638728, 658638729, 640396300, 658638725]",yes,,,,,,,,,,,,,,,
way,72569845,Frankfurt am Main,DE,2,60388,Schelmenburgplatz,community_centre,,Saalbau Bergen,,,,,,"POLYGON ((8.7527225 50.1560018, 8.7526627 50.1560508, 8.7526307 50.1560533, 8.7526327 50.1560667, 8.7525712 50.1560716, 8.7525687 50.1560581, 8.7524536 50.1560664, 8.7524692 50.1561561, 8.7522559 50.1561713, 8.7522445 50.1561095, 8.752175 50.1561147, 8.7521729 50.1561056, 8.7521155 50.1561096, 8.7521073 50.1561028, 8.7521057 50.1560881, 8.7520224 50.156047, 8.7519518 50.1560549, 8.7519464 50.1560318, 8.751927 50.1560333, 8.7519159 50.1559844, 8.751937 50.1559827, 8.7519342 50.1559649, 8.7519069 50.1559673, 8.7518708 50.1557842, 8.7520472 50.1557722, 8.7520416 50.1557307, 8.7520124 50.1557137, 8.7520771 50.1556622, 8.7521087 50.1556782, 8.752312 50.1556659, 8.7523043 50.1556198, 8.7525191 50.1556045, 8.7525965 50.1556445, 8.7527326 50.1556366, 8.7527562 50.1557753, 8.7527505 50.1557757, 8.7527513 50.1557799, 8.7527259 50.1557816, 8.7527253 50.1557774, 8.75263 50.155784, 8.7526513 50.1559141, 8.7527019 50.1559104, 8.7527127 50.1559175, 8.7527225 50.1560018))",,,,yes,,,,,,yes,,,,,,,,,,,,,,,,"[9657643023, 9657643022, 10238925638, 10238925637, 10238925636, 10238925639, 861350059, 861350111, 861349531, 861349502, 861349350, 861349681, 861349921, 861349857, 10238925635, 861349519, 861349743, 861349634, 10238925631, 10238925632, 10238925633, 10238925634, 861349247, 861349880, 861349301, 861349412, 861349792, 861350156, 861349551, 861349363, 861350026, 861349955, 861349604, 9657643021, 9657643020, 9657643019, 9657643018, 10238925642, 10238925641, 9657643017, 9657625516, 9657625515, 10238925640, 9657643023]",yes,,,,,,,,,,,,,,,
way,80362682,Frankfurt am Main,,124,65931,Sindlinger Bahnstraße,community_centre,,Bürgerhaus Sindlingen,,,,,,"POLYGON ((8.5119651 50.0878804, 8.5122185 50.0877069, 8.5122525 50.0877308, 8.5121984 50.0877677, 8.5125163 50.0879233, 8.5124475 50.0879547, 8.5127932 50.0881784, 8.5126182 50.088287, 8.5124719 50.0881887, 8.5125189 50.0881588, 8.5124138 50.0880953, 8.5123962 50.0881073, 8.5123401 50.0880733, 8.5123463 50.0880691, 8.5123021 50.0880424, 8.5123134 50.0880348, 8.5122715 50.0880094, 8.5122429 50.0880328, 8.5122106 50.088015, 8.5122388 50.0879937, 8.5119651 50.0878804))",,,,yes,,,,,,,,,,,,,,,,,,,,,,"[937819120, 1228102726, 937819129, 937819113, 937819116, 937819100, 937819103, 937819133, 937819101, 937819112, 1228102360, 1228102118, 1228101953, 1228103465, 1228103626, 1228102582, 937819134, 937819135, 937819119, 937819131, 937819120]",yes,,,,,,,,,,,,,,,
way,90191972,Frankfurt am Main,DE,51,60528,Bruchfeldstraße,community_centre,,Gemeindehaus,,,,,,"POLYGON ((8.6449188 50.0864911, 8.6449399 50.0864935, 8.6449265 50.0865435, 8.6451814 50.0865773, 8.6451833 50.0865713, 8.6452143 50.0864711, 8.6452255 50.0864428, 8.6451845 50.0864372, 8.6449695 50.0864081, 8.644964 50.0864243, 8.6449383 50.0864216, 8.6449188 50.0864911))",,,,,,,,,,,,,,,,,,,,,,,,,,"[10697378149, 1045695397, 1045695386, 9477180274, 1045695344, 1359770386, 1045695339, 10697378152, 1045695352, 1045695389, 10697378148, 10697378149]",yes,,,,,,,,,,,,,,,
