element_type,osmid,geometry,amenity,brothel:eros_center,name,ref,toilets:wheelchair,addr:city,addr:housenumber,addr:postcode,addr:street,opening_hours,level,addr:country,phone,shop,website,wheelchair,fixme,source,contact:email,contact:phone,contact:website,office,short_name,wikidata,wikipedia,building,building:levels,building:use,man_made,description,historic,power,nodes,alt_name,height,layer,note,smoking,start_date,addr:housename,building:cladding,building:facade:material,building:levels:underground,roof:shape,wikimedia_commons,building:roof,tourism,nohousenumber,brand,brand:wikidata,brand:wikipedia,email,fax,internet_access,rooms,old_name,building:part,operator,official_name,roof:levels,building:colour,roof:colour,building:material,operator:wikidata,operator:wikipedia,telecom,brothel:saunaclub,name:shs,wheelchair:description,opening_hours:signed,area,noname,emergency,toilets,compressed_air,fuel:cng,fuel:diesel,fuel:e10,fuel:lpg,fuel:octane_95,fuel:octane_98,source:geometry,automated,self_service,year_of_construction,architect,heritage,heritage:operator,internet_access:fee,name:he,seamark:landmark:conspicuity,seamark:landmark:name,seamark:type,disused:amenity,disused:name,outdoor_seating,healthcare,second_hand,roof:orientation,generator:method,generator:output:hot_water,generator:source,architect:wikidata,building:architecture,building:min_level,noaddress,check_date,disused:shop,source:outline,craft,type,ways,addr:suburb,defibrillator:location
way,33168287,"POLYGON ((8.6660173 50.1086862, 8.6659915 50.1087037, 8.665979 50.1087122, 8.6659855 50.1087161, 8.6660158 50.1087338, 8.6660645 50.1087543, 8.6660071 50.1088127, 8.6658477 50.1087535, 8.6658395 50.108712, 8.6658905 50.108676, 8.6659386 50.1086422, 8.6660173 50.1086862))",brothel,yes,Sex Inn,M36,no,Frankfurt am Main,36,60329,Moselstraße,,,DE,,,,yes,,,,,,,,,,commercial,,,,,,,"[620856350, 9842600543, 620856563, 9842600541, 9842600555, 620856565, 1696767233, 1849896495, 620856567, 1696767225, 1696767223, 620856350]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,33168293,"POLYGON ((8.6657471 50.109837, 8.6659562 50.1095924, 8.6659589 50.1095894, 8.6658068 50.1095355, 8.6655928 50.1097823, 8.665625 50.1097932, 8.6657471 50.109837))",brothel,yes,,E53HH,,Frankfurt am Main,53,60329,Elbestraße,,,DE,,,,no,,,,,,,,,,commercial,,,,,,,"[620856612, 9844622288, 620856599, 375522175, 375522173, 1850263003, 620856612]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,33175111,"POLYGON ((8.6642525 50.1011302, 8.6642214 50.101148, 8.6641976 50.1011665, 8.6641693 50.101199, 8.6641546 50.101229, 8.6641488 50.1012591, 8.6641508 50.1012856, 8.6641601 50.1013136, 8.6641788 50.1013428, 8.664194 50.1013591, 8.6642119 50.1013742, 8.6642369 50.1013905, 8.6642593 50.101402, 8.6643029 50.1014181, 8.6643505 50.1014286, 8.6644004 50.101433, 8.6644507 50.1014313, 8.6644995 50.1014235, 8.6645452 50.1014099, 8.6645859 50.1013909, 8.6646203 50.1013673, 8.664647 50.1013399, 8.6646651 50.1013098, 8.6646739 50.101278, 8.6646732 50.1012457, 8.6646628 50.1012141, 8.6646432 50.1011844, 8.6646152 50.1011575, 8.6645797 50.1011346, 8.6645381 50.1011165, 8.6644918 50.1011037, 8.6644426 50.1010969, 8.6643923 50.1010962, 8.6643426 50.1011017, 8.6643071 50.1011097, 8.664277 50.1011196, 8.6642525 50.1011302))",,,Westhafen Tower,,,Frankfurt am Main,1,60327,Westhafenplatz,,,DE,,,http://www.westhafentower.de/,,,,,,,,,Q882664,de:Westhafen Tower,commercial,28,,,,,,"[1109135289, 9846339472, 1109135280, 9846339473, 375737749, 9846339474, 1109135284, 9846339475, 375737750, 9846339476, 1109135311, 9846339477, 375737751, 1109135274, 375737752, 1109135281, 9846339479, 9846339478, 375737753, 1109135312, 375737754, 1109135283, 375737757, 1109135300, 375737758, 1109135292, 375737759, 9846339481, 1109135305, 375737760, 1109135295, 375737761, 1109135277, 375737762, 375737748, 9846339471, 1109135289]",,109,,,,2004,,,,,flat,,,,,,,,,,,,,,,,,,,glass,,,,,Geripptes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,33469432,"POLYGON ((8.6414826 50.1636289, 8.6412657 50.1637131, 8.6409314 50.1633601, 8.6411482 50.1632758, 8.6414826 50.1636289))",,,,,,Frankfurt am Main,17-19,60439,Zeilweg,,,DE,,,,,,,,,,,,,,commercial,2,,,,,,"[380894346, 380894351, 380894354, 380894348, 380894346]",,,,,,,,,,,flat,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,33472010,"POLYGON ((8.6433204 50.1650888, 8.6434144 50.1651899, 8.6440747 50.164938, 8.6439807 50.1648369, 8.6433204 50.1650888))",,,,,,Frankfurt am Main,44,60439,Zeilweg,,,DE,,,,,,,,,,,,,,commercial,3,,,,,,"[380964658, 380964670, 380964677, 380964666, 380964658]",,,,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34424112,"POLYGON ((8.6690919 50.1194447, 8.6692657 50.1194684, 8.6692156 50.1196205, 8.6692877 50.1197439, 8.6692591 50.1198317, 8.6692724 50.1198335, 8.6692382 50.119934, 8.668927 50.1198902, 8.6689723 50.1197564, 8.6689869 50.1197585, 8.6690919 50.1194447))",,,MORROW,,,Frankfurt am Main,54-56,60323,Oberlindau,,,,,,,,,,,,,,,,,commercial,11,,,,,,"[395477451, 395477455, 2582451973, 395477454, 9858301517, 9858294616, 395477453, 395477452, 9858301518, 9858301519, 395477451]",,,,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35428782,"POLYGON ((8.6925774 50.1053675, 8.6926263 50.1054767, 8.6924749 50.1055042, 8.6924282 50.1054411, 8.6924056 50.1053993, 8.6925215 50.1053779, 8.6925774 50.1053675))",,,,,,Frankfurt am Main,19-21,60594,Große Rittergasse,,,DE,,,,,,,,,,,,,,commercial,,,,,,,"[9853998053, 1438833426, 1438833428, 9853998050, 415586830, 9853998016, 9853998053]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35998407,"POLYGON ((8.68694 50.1059996, 8.686906 50.1060281, 8.6868441 50.1059982, 8.6868506 50.1059934, 8.6868268 50.1059816, 8.6868033 50.10597, 8.6867969 50.1059753, 8.686432 50.1057988, 8.6864385 50.1057943, 8.6864183 50.1057843, 8.6863917 50.1057709, 8.6863851 50.1057761, 8.6863763 50.1057718, 8.6864001 50.1057518, 8.6864087 50.1057446, 8.6862308 50.1056576, 8.6863234 50.1055803, 8.6864414 50.1056375, 8.6864564 50.1056261, 8.6864598 50.1056275, 8.6865783 50.1056855, 8.6865827 50.1056874, 8.686555 50.1057103, 8.6868884 50.1058689, 8.6869126 50.1058527, 8.6869804 50.1058863, 8.6869678 50.1058973, 8.6870263 50.1059263, 8.68694 50.1059996))",,,,,,,,,,,,,,,,,,,,,,,,,,commercial,11,,,,,,"[420782392, 420782393, 9848642706, 9848642705, 2676933985, 9848642703, 9848642704, 9848642702, 9848642701, 2676933962, 9848642700, 9848642699, 420782394, 9848642694, 420782395, 420782396, 420782397, 9848642698, 9848642697, 420782398, 420782407, 2678905058, 2678905059, 420782408, 420782409, 420782410, 420782411, 2678905064, 420782392]",,,,,,,,,,,flat,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37114857,"POLYGON ((8.6880135 50.1148603, 8.6882536 50.1148661, 8.6883007 50.1148673, 8.6884832 50.1148717, 8.6884817 50.1149067, 8.6884813 50.1149149, 8.6884473 50.115634, 8.6883616 50.115634, 8.6883613 50.1156405, 8.688226 50.1156414, 8.6882259 50.1156355, 8.6879728 50.1156341, 8.6879734 50.1156251, 8.6879427 50.1156238, 8.6879424 50.1156261, 8.6879361 50.1156256, 8.6879224 50.1156129, 8.6879469 50.1153623, 8.6879694 50.1153547, 8.6879705 50.1153441, 8.6879493 50.1153339, 8.6879556 50.1152741, 8.6879781 50.1152714, 8.6879798 50.1152569, 8.6879605 50.1152432, 8.6879853 50.1149874, 8.6879873 50.1149839, 8.687991 50.1149812, 8.6879955 50.1149787, 8.688 50.114977, 8.6880064 50.1149752, 8.6880124 50.1149056, 8.6880126 50.1148981, 8.6880135 50.1148603))",,,C&A,,yes,Frankfurt am Main,48,60313,Zeil,Mo-Sa 09:30-21:00,,DE,,clothes,,yes,,,,+49 69 299810,,,,,,commercial,5,,,,,,"[431730559, 10698019704, 10698019554, 431730562, 10698019557, 5065030529, 431730563, 9838403727, 9838403728, 9838403729, 9838403730, 1854809582, 1854809580, 9838403746, 9838403747, 9838403745, 431730564, 9838403741, 9838403743, 9838403742, 9838403738, 9838403739, 9838403740, 9838403744, 9838403736, 9838403735, 9838403734, 9838403733, 9838403732, 9838403731, 9838403737, 5065030528, 10698019556, 431730559]",,,,,,,,,,,,,,,,C&A,Q701338,en:C&A,,,,,,,C&A,,0,,,,,,,,,Toilette im EG rechts vom Eingang. Tür/Eingang nicht gekennzeichnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40519017,"POLYGON ((8.6758932 50.1214619, 8.6758724 50.1214623, 8.6758809 50.1216017, 8.6759023 50.1216015, 8.6759102 50.1217141, 8.6758904 50.1217148, 8.6759006 50.1218581, 8.6763907 50.1218445, 8.6760973 50.1217088, 8.6760937 50.1217089, 8.6760863 50.1215963, 8.6763737 50.1215883, 8.6760796 50.1214517, 8.6760753 50.1214518, 8.6760733 50.121382, 8.6758889 50.1213871, 8.6758932 50.1214619))",,,,,,Frankfurt am Main,50-54,60322,Eschersheimer Landstraße,,,DE,,,,,,,,,,,,,,commercial,7,,,,,,"[1504014032, 1504014033, 1504014115, 1504014118, 1504014194, 1504014200, 491440057, 491440059, 9811336488, 1504014190, 1504014085, 1504014076, 9811336489, 1504014031, 491440060, 491440058, 1504014032]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,41335874,"POLYGON ((8.6864079 50.1002465, 8.6866711 50.100366, 8.6866796 50.1003582, 8.6867015 50.1003681, 8.686801 50.1002778, 8.6867057 50.1002348, 8.6865452 50.1001619, 8.6865159 50.1001486, 8.6864364 50.1002207, 8.6864079 50.1002465))",,,,,,Frankfurt am Main,49,60594,Hedderichstraße,,,DE,,,,yes,,,,,,,,,,commercial,6,,,,,,"[505368219, 9849027897, 9849027898, 505368224, 505368226, 9849027901, 1845462335, 9849027900, 505368245, 505368219]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,42311840,"POLYGON ((8.633088 50.0990046, 8.632946 50.0988965, 8.6326788 50.0986973, 8.6326547 50.0986794, 8.6327893 50.0985984, 8.6328167 50.0986091, 8.6332881 50.0987927, 8.6333686 50.098851, 8.633088 50.0990046))",,,,,,Frankfurt am Main,88,60326,Kleyerstraße,,,DE,,,,,,,,,,,,,,commercial,7,,,,,,"[1586104903, 528009234, 7838711008, 528009212, 528009215, 7838711007, 528009256, 528009258, 1586104903]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data_center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,42367711,"POLYGON ((8.6630379 50.1102605, 8.6631959 50.1103209, 8.6631569 50.1103614, 8.6633319 50.1104293, 8.6634767 50.110278, 8.6635001 50.1102543, 8.6637356 50.1100084, 8.6636518 50.1099746, 8.6636317 50.1099668, 8.6635525 50.109953, 8.6635075 50.1099986, 8.6633355 50.1101762, 8.6632868 50.1102257, 8.6632607 50.110253, 8.6631033 50.1101912, 8.6630379 50.1102605))",,,,,,Frankfurt am Main,55,60329,Mainzer Landstraße,,,,,,,,,,,,,,,,,commercial,10,,,,,,"[1851421777, 1851421779, 1851421783, 528920350, 9864285899, 9864285902, 1851421764, 528920306, 9844484602, 528920307, 528920369, 9864285906, 9864285903, 528920358, 1851421773, 1851421777]",,,,,,,,,,,flat,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,44149292,"POLYGON ((8.609906 50.1413228, 8.609799 50.1413864, 8.6097318 50.1414263, 8.6096747 50.1414861, 8.6094441 50.1413957, 8.6094562 50.1413831, 8.6094102 50.141365, 8.6094964 50.1412748, 8.6095641 50.1413013, 8.6096284 50.1412631, 8.609731 50.1412022, 8.609906 50.1413228))",,,,,,Frankfurt am Main,88,60488,Ludwig-Landmann-Straße,,,,,,,limited,,,,,,,,,,commercial,,,,,,,"[560890758, 8417842816, 560890753, 560890755, 560890744, 560890745, 560890746, 560890742, 560890754, 8417842815, 560890741, 560890758]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,47929689,"POLYGON ((8.7609587 50.1203279, 8.7609665 50.1203203, 8.7609955 50.1203327, 8.7610799 50.1202514, 8.7610507 50.1202387, 8.7611843 50.1201083, 8.7605634 50.1198433, 8.7605408 50.1198649, 8.7605017 50.1198468, 8.7604842 50.1198626, 8.7604224 50.1198335, 8.7602681 50.119984, 8.7603571 50.1200256, 8.7603255 50.1200585, 8.7609587 50.1203279))",,,,,,Frankfurt am Main,27,60386,Ferdinand-Porsche-Straße,,,,,,,,,,,,,company,,,,commercial,,,,,,,"[609591100, 10233018847, 10233018846, 10233018845, 10233018848, 609591097, 3936975034, 3936975035, 10233018843, 10233018844, 3936975036, 3936975037, 3936975038, 3936975039, 609591100]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,47929694,"POLYGON ((8.759558 50.1206749, 8.7601235 50.1209157, 8.7602803 50.1207638, 8.7597146 50.1205231, 8.759558 50.1206749))",,,FFR GmbH,,,Frankfurt am Main,21,60386,Ferdinand-Porsche-Straße,,,,,,,,,,,,,company,,,,commercial,,,,,,,"[609591040, 609591042, 609591108, 609591044, 609591040]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48013108,"POLYGON ((8.7342191 50.1196328, 8.7342171 50.119632, 8.7341237 50.1197269, 8.73458 50.1199135, 8.7346748 50.1198189, 8.7345852 50.1197821, 8.734584 50.1197833, 8.7342182 50.1196339, 8.7342191 50.1196328))",,,,,,Frankfurt am Main,296,60314,Hanauer Landstraße,,,DE,,,,,,,,,,,,,,commercial,2,,,,,,"[610543040, 10255638586, 610543061, 610543063, 610543062, 610543060, 10255638588, 10255638587, 610543040]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48013111,"POLYGON ((8.7359092 50.119787, 8.7358544 50.1198417, 8.7358001 50.1198964, 8.7362526 50.1200813, 8.7363004 50.1200337, 8.7363026 50.1200346, 8.7363123 50.1200249, 8.7363098 50.1200239, 8.7363563 50.1199775, 8.7363583 50.1199783, 8.7363685 50.1199682, 8.7363662 50.1199672, 8.7364041 50.1199295, 8.7364933 50.1199662, 8.7364958 50.1199637, 8.7364994 50.1199602, 8.7365128 50.1199658, 8.7365485 50.1199303, 8.7365345 50.1199245, 8.7365778 50.1198814, 8.736387 50.1198026, 8.7363669 50.1198226, 8.7360177 50.1196787, 8.7359092 50.119787))",,,,,,Frankfurt am Main,306,60314,Hanauer Landstraße,,,DE,,,,,,,,,,,,,,commercial,,,,,,,"[610543073, 3335040854, 610543074, 610543083, 10255715082, 10255715081, 10255715080, 10255715083, 10255715084, 10255715079, 10255715078, 10255715085, 610543082, 610543078, 10255715067, 10255715105, 10255715104, 10255715103, 10255715106, 610543079, 610543080, 610543081, 1801431677, 610543073]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48013113,"POLYGON ((8.7344399 50.1190987, 8.7344961 50.1191217, 8.7345935 50.1190239, 8.7345301 50.1189979, 8.7344968 50.1190314, 8.7342904 50.118947, 8.734184 50.119054, 8.7342202 50.1190688, 8.7339702 50.1193201, 8.7341474 50.1193926, 8.7344399 50.1190987))",,,KBS,,,Frankfurt am Main,294,60314,Hanauer Landstraße,,,DE,,motorcycle,,,,,,,,,,,,commercial,,,,,,,"[1799780574, 1799780577, 610543035, 3878750356, 3878752157, 610543032, 10255638580, 10255638581, 610543030, 610543039, 1799780574]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48013132,"POLYGON ((8.7354616 50.1187564, 8.7356527 50.1188345, 8.7355682 50.1189194, 8.735478 50.1188825, 8.7354498 50.1189109, 8.7354522 50.1189118, 8.7354484 50.1189156, 8.7355355 50.1189512, 8.7354203 50.1190671, 8.7353335 50.1190316, 8.7353299 50.1190351, 8.7353277 50.1190343, 8.7352996 50.1190626, 8.7352986 50.1190636, 8.7351973 50.1190222, 8.7354426 50.1187755, 8.7354616 50.1187564))",,,,,,Frankfurt am Main,19,60314,Weismüllerstraße,,,DE,,,,,,,,,,,,,,commercial,,,,,,,"[610543051, 610543053, 610543052, 610543054, 10255638600, 10255638599, 10255638598, 10255638601, 10255638597, 10255638596, 10255638594, 10255638595, 610543041, 10255638602, 610543043, 610543034, 610543051]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48013133,"POLYGON ((8.7351973 50.1190222, 8.7349092 50.1193139, 8.7350096 50.1193547, 8.7350084 50.1193562, 8.7350681 50.1193805, 8.7350698 50.1193789, 8.7353599 50.1190875, 8.7352996 50.1190626, 8.7352986 50.1190636, 8.7351973 50.1190222))",,,Interxion Office,,,Frankfurt am Main,298,60314,Hanauer Landstraße,,,DE,,,,,,,,,,company,,,,commercial,,,,,,,"[610543043, 610543048, 10255638593, 10255638592, 10255638591, 610543046, 610543042, 610543041, 10255638602, 610543043]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48013146,"POLYGON ((8.7370216 50.1206366, 8.7374799 50.1208246, 8.7374822 50.1208256, 8.737473 50.1208348, 8.7374707 50.1208338, 8.7374232 50.1208814, 8.7374255 50.1208824, 8.7374163 50.1208916, 8.7374141 50.1208907, 8.737376 50.1209289, 8.7374666 50.1209661, 8.7373726 50.1210603, 8.7369159 50.1208729, 8.736945 50.1208438, 8.7368526 50.1208059, 8.7370216 50.1206366))",,,,,,Frankfurt am Main,312,60314,Hanauer Landstraße,,,DE,,,,,,,,,,,,,,commercial,2,,,,,,"[1801431681, 1801431682, 10255715121, 10255715122, 10255715127, 10255715128, 10255715119, 10255715120, 10255715129, 610543116, 610543111, 610543140, 610543112, 610543114, 610543113, 1801431681]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48013153,"POLYGON ((8.7349022 50.1200461, 8.7349959 50.1199515, 8.7350851 50.1199877, 8.7354516 50.1201383, 8.7353863 50.1202035, 8.735357 50.1202327, 8.7349022 50.1200461))",,,,,,Frankfurt am Main,300,60314,Hanauer Landstraße,,,DE,,,,,,,,,,,,,,commercial,3,,,,,,"[610543064, 10255715099, 610543072, 610543075, 610543071, 610543066, 610543064]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48013156,"POLYGON ((8.7366334 50.1204083, 8.7365849 50.1204568, 8.7365829 50.120456, 8.7365741 50.1204648, 8.7364861 50.1204286, 8.7364099 50.1205048, 8.7365001 50.1205419, 8.7364801 50.1205618, 8.7363923 50.1205258, 8.7362996 50.1206185, 8.7364887 50.1206962, 8.736517 50.1206679, 8.7368526 50.1208059, 8.7370216 50.1206366, 8.73707 50.1205882, 8.7366334 50.1204083))",,,,,,Frankfurt am Main,308,60314,Hanauer Landstraße,,,DE,,,,,,,,,,,,,,commercial,2,,,,,,"[610543096, 3335040865, 10255715131, 10255715130, 3335040864, 3335040866, 3335040867, 610543098, 610543097, 610543099, 610543102, 610543100, 610543113, 1801431681, 610543108, 610543096]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48013157,"POLYGON ((8.7377644 50.1203964, 8.7374082 50.1202499, 8.7372398 50.1204184, 8.7371907 50.120467, 8.7376491 50.1206548, 8.7376969 50.1206071, 8.7376986 50.1206077, 8.7377083 50.1205981, 8.7377062 50.1205973, 8.7377532 50.1205503, 8.7377549 50.1205511, 8.7377648 50.1205412, 8.7377627 50.1205404, 8.7378011 50.120502, 8.7378888 50.1205381, 8.7379717 50.1204552, 8.7377833 50.1203777, 8.7377644 50.1203964))",,,,,,Frankfurt am Main,314,60314,Hanauer Landstraße,,,DE,,,,,,,,,,,,,,commercial,,,,,,,"[1495433060, 610543106, 3335040863, 610543109, 610543122, 10255715118, 10255715111, 10255715112, 10255715117, 10255715116, 10255715113, 10255715114, 10255715115, 610543123, 610543120, 610543124, 610543121, 1495433060]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48013223,"POLYGON ((8.7395325 50.1219474, 8.7399893 50.1221345, 8.7400579 50.1220656, 8.740083 50.1220404, 8.7400673 50.122034, 8.7402779 50.1218225, 8.740294 50.1218064, 8.7403091 50.1218125, 8.740331 50.1217905, 8.7404027 50.1217185, 8.7403833 50.1217106, 8.7403971 50.1216967, 8.7402428 50.1216335, 8.7401559 50.1215979, 8.7401424 50.1216114, 8.7401231 50.1216035, 8.7398966 50.1218309, 8.7397332 50.1217639, 8.7396394 50.1218588, 8.7396259 50.1218534, 8.7395624 50.1219177, 8.7395325 50.1219474))",,,,,,Frankfurt am Main,27-31,60314,Daimlerstraße,,,,,,,,,,,,,,,,,commercial,3,,,,,,"[610543504, 610543509, 3175072075, 1801431698, 1801431697, 3175072074, 1801431695, 1801431696, 3175072073, 610543507, 10255635400, 10255635399, 5351548228, 10255635398, 10255635397, 610543505, 610543510, 610543511, 10255635396, 10255635395, 610543172, 610543504]",,,,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48017524,"POLYGON ((8.7358868 50.1191773, 8.7359899 50.1192195, 8.7361455 50.1190645, 8.7361653 50.1190446, 8.7359739 50.1189658, 8.7359216 50.119018, 8.7359079 50.1190124, 8.7358794 50.1190408, 8.7358934 50.1190466, 8.735889 50.119051, 8.735979 50.1190884, 8.7359506 50.1191166, 8.7359476 50.1191155, 8.7359388 50.1191251, 8.7359413 50.1191261, 8.7358937 50.1191732, 8.7358916 50.1191723, 8.7358868 50.1191773))",,,,,,Frankfurt am Main,21,60314,Weismüllerstraße,,,DE,,,,,,,,,,,,,,commercial,,,,,,,"[1801921040, 1801921042, 610589893, 610589895, 610589884, 10255638642, 10255638639, 10255638640, 10255638641, 610589886, 610589888, 10255638638, 10255638627, 10255638628, 10255638637, 10255638636, 10255638629, 1801921040]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48017534,"POLYGON ((8.7378657 50.1198625, 8.7379301 50.1197974, 8.7379492 50.1197775, 8.737759 50.1196991, 8.7376789 50.1197803, 8.7376747 50.1197842, 8.7377646 50.1198212, 8.7378657 50.1198625))",,,,,,Frankfurt am Main,29,60314,Weismüllerstraße,,,DE,,,,,,,,,,,,,,commercial,,,,,,,"[10255638665, 610589926, 1799780604, 1799780601, 610589921, 610589923, 1801921059, 10255638665]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48018741,"POLYGON ((8.7443649 50.1223897, 8.7447633 50.1228181, 8.7448209 50.1229514, 8.7449418 50.1229293, 8.7448837 50.1227963, 8.7451874 50.1227419, 8.7449833 50.1222767, 8.7443649 50.1223897))",,,Interwerk Rechenzentrum,,,Frankfurt am Main,37-41,60314,Dieselstraße,,,,,,,,,,,,,,,,,commercial,,,,,,,"[610612525, 610612527, 610612530, 610612533, 610612536, 610612542, 610612523, 610612525]",,,,,,,,,,,,,,,,,,,,,,,,,Interwerk,,,,,,,,data_center,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48067594,"POLYGON ((8.7399878 50.1194243, 8.7397872 50.1196262, 8.7399193 50.1196933, 8.7400042 50.1196077, 8.7401284 50.1194826, 8.7400587 50.1194533, 8.7399878 50.1194243))",,,,,,Frankfurt am Main,45,60314,Schielestraße,,,DE,,,,,,,,,,,,,,commercial,,,,,,,"[611065688, 611065689, 611065690, 10255638858, 611065691, 1696094497, 611065688]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48067597,"POLYGON ((8.7340232 50.1178354, 8.7341636 50.1176942, 8.7335817 50.1174554, 8.7329906 50.1172152, 8.7329472 50.1172589, 8.7329409 50.1172563, 8.7328856 50.1173119, 8.7328914 50.1173143, 8.7328503 50.1173557, 8.7329099 50.1173804, 8.7334534 50.1176017, 8.7340232 50.1178354))",,,,,,Frankfurt am Main,10,60314,Weismüllerstraße,,,DE,,,,,,,,,,,,,,commercial,,,,,,,"[611065614, 611065613, 611065590, 611065589, 611065559, 611065577, 611065571, 611065573, 611065595, 611065575, 5508508786, 611065614]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,48067602,"POLYGON ((8.7332525 50.1169056, 8.7335235 50.1170166, 8.733679 50.1168619, 8.7335472 50.1168061, 8.7334754 50.1168789, 8.7333677 50.116834, 8.7333362 50.1168212, 8.7332525 50.1169056))",,,,,,Frankfurt am Main,7,60314,Schielestraße,,,DE,,,,,,,,,,,,,,commercial,4,,,,,,"[611065552, 611065583, 5508508769, 3641222623, 1799780425, 5508508775, 5508508768, 611065552]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
