element_type,osmid,addr:city,addr:housenumber,addr:postcode,addr:street,geometry,nodes,layer,building,addr:country,building:levels,check_date:opening_hours,defibrillator:location,email,fax,fee,name,opening_hours,operator,operator:wikidata,phone,subject:wikidata,toilets:wheelchair,tourism,website,wheelchair,wheelchair:description,wikidata,wikimedia_commons,wikipedia,amenity,roof:shape,source,source:1,image,description:de,architect,description,nohousenumber,start_date,building:colour,building:material,government,office,roof:colour,roof:material,roof:levels,ways,contact:email,contact:fax,contact:phone,police,type
way,97871234,Frankfurt am Main,11,60489,Rödelheimer Parkweg,"POLYGON ((8.6150696 50.1233245, 8.6150931 50.1232763, 8.6151136 50.1232495, 8.6151663 50.1232357, 8.6152127 50.1232414, 8.6152352 50.1232607, 8.6152324 50.1232942, 8.6152168 50.1233454, 8.6150696 50.1233245))","[1132778449, 1132778470, 7447203687, 7447203686, 7447203685, 7447133484, 1132778441, 1132778479, 1132778449]",,civic,,2,,,,,,,,,,,,,,http://www.hgv-roedelheim.de/hgvr7.htm,,,,,,,flat,,,,,Eugen Kaufmann,Unterrichtspavillon des ehemaligen Schulgartens im Park,yes,1931,,,,,,,,,,,,,
way,103699734,Frankfurt am Main,16a,65929,Hospitalstraße,"POLYGON ((8.547325 50.107063, 8.5474341 50.1069641, 8.5468413 50.1066952, 8.5467323 50.1067941, 8.547325 50.107063))","[1197261427, 1197261114, 1197264050, 1197262609, 1197261427]",,civic,,,,,,,,Finanzamt Frankfurt Höchst,,,,,,,,,,,,,,,hipped,,,,,,,,,white,plaster,tax,government,black,roof_tiles,,,,,,,
way,110750212,Frankfurt am Main,23,60437,In den Schafgärten,"POLYGON ((8.6921471 50.1859243, 8.6924634 50.1857919, 8.6922304 50.1855636, 8.691914 50.1856959, 8.6921471 50.1859243))","[1263938125, 1263936567, 1263939856, 1263940355, 1263938125]",,civic,,2,,,,,,Kindertagesstätte 96,,Stadt Frankfurt am Main,,,,,,,,,,,,kindergarten,,,,,,,,,,,,,,,,,,,,,,
way,121266780,Frankfurt am Main,126,60528,Goldsteinstraße,"POLYGON ((8.6320786 50.0850111, 8.6322461 50.0850164, 8.6322548 50.0849032, 8.6327318 50.0849183, 8.6327419 50.0847854, 8.6320976 50.084765, 8.6320786 50.0850111))","[1358050332, 1358050334, 1358050321, 1358050325, 1358050301, 1358050297, 1358050332]",,civic,DE,3,,,,,,10. Revier,,,,,,,,,yes,,,,,police,flat,,,,,,,,,,,,,,,1,,,,,,
way,128495393,Frankfurt am Main,150,60320,Hansaallee,"POLYGON ((8.6684635 50.1363059, 8.6684907 50.1362239, 8.6685171 50.1361298, 8.6685329 50.1360445, 8.6685832 50.136045, 8.6685897 50.1359724, 8.6684914 50.135967, 8.6684828 50.1360084, 8.6683099 50.1359958, 8.6682991 50.1360962, 8.6682707 50.1362041, 8.6682537 50.1362516, 8.668147 50.1362311, 8.6680849 50.1363783, 8.6687224 50.1365047, 8.6687336 50.1364792, 8.6693221 50.1365926, 8.6693713 50.1364822, 8.6691626 50.1364387, 8.6691514 50.1364597, 8.6687881 50.1363852, 8.6687939 50.1363736, 8.6684635 50.1363059))","[1419943806, 3183086136, 3183086126, 1419943758, 1419943759, 1419943748, 3183086101, 3183086115, 1419943743, 1419943799, 1419943788, 1419943800, 1419943804, 1419943828, 1419943858, 1419943842, 1419943870, 1419943845, 1419943835, 1419943840, 3183086175, 3183086172, 1419943806]",,civic,DE,6,,,,,,,,,,,,,,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,
way,128495402,Frankfurt am Main,8-10,60320,Am Grünhof,"POLYGON ((8.6693842 50.1363927, 8.6694247 50.1363018, 8.6694356 50.1363038, 8.6694416 50.1362904, 8.6694487 50.1362743, 8.6694378 50.1362723, 8.669508 50.1361147, 8.669446 50.1361013, 8.6692955 50.1360912, 8.6692852 50.1361714, 8.6692558 50.1362373, 8.6692014 50.1363596, 8.6693842 50.1363927))","[1419943831, 3183086150, 3183086151, 3183086148, 3183086144, 3183086143, 1419943775, 1419943767, 1419943762, 1419943798, 3183085961, 1419943827, 1419943831]",,civic,,5,,,,,,,,,,,,,,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,
way,152072327,Frankfurt am Main,40,60385,Ortenberger Straße,"POLYGON ((8.7178139 50.1280542, 8.717819 50.1281164, 8.7178551 50.1281151, 8.7178658 50.1282366, 8.7178767 50.1283788, 8.7180763 50.1283703, 8.7180571 50.128147, 8.7181227 50.1281448, 8.718115 50.1280505, 8.7178957 50.1280579, 8.7178954 50.1280512, 8.7178139 50.1280542))","[1649029067, 1649029111, 1649029114, 8331249585, 1649029455, 1649029453, 1649029224, 1649029215, 1649029064, 10187065088, 10187065087, 1649029067]",,civic,,3,,,,,,,,,,,,,,,,,,,,,flat,,,,,,,,,,,,,,,0,,,,,,
way,157590193,Frankfurt am Main,79,65933,Waldschulstraße,"POLYGON ((8.6014514 50.101691, 8.6016369 50.1016541, 8.6016505 50.1016823, 8.6016794 50.1016765, 8.6017654 50.1016594, 8.6018546 50.1016417, 8.6018148 50.1015596, 8.6014253 50.1016372, 8.6014514 50.101691))","[1698324475, 8381735967, 8381735968, 8381735969, 8381735972, 1698324464, 1698324427, 1698324432, 1698324475]",,civic,,1,,,,,,Trauerhalle,,,,,,,,,,,,,,funeral_hall,,,,,,,,,,,,,,,,0,,,,,,
way,239129499,,,,,"POLYGON ((8.713137 50.1318909, 8.7133051 50.1319234, 8.7133115 50.1319248, 8.7134425 50.131649, 8.7132611 50.1316135, 8.7131931 50.1317563, 8.7131578 50.1318251, 8.7131292 50.1318893, 8.713137 50.1318909))","[2469337124, 2469337123, 10195654077, 2469337121, 2469337122, 1281892210, 1281892442, 10195654076, 2469337124]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,317094936,Frankfurt am Main,95,60489,Rödelheimer Landstraße,"POLYGON ((8.6205689 50.1210016, 8.6205813 50.1210616, 8.6206005 50.1210712, 8.6205285 50.1211281, 8.6204184 50.1211394, 8.6203931 50.1210165, 8.6205689 50.1210016))","[1126642715, 672325139, 3233195478, 672325135, 672325138, 1126643677, 1126642715]",,civic,,3,,,,,,,,,,,,,,,,,,,,,flat,,,,,,,,,,,,,,,1,,,,,,
way,317094938,Frankfurt am Main,95a,60489,Rödelheimer Landstraße,"POLYGON ((8.6203931 50.1210165, 8.6203677 50.1208936, 8.6205436 50.1208787, 8.6205689 50.1210016, 8.6203931 50.1210165))","[1126643677, 672325098, 672325099, 1126642715, 1126643677]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relation,11007,Frankfurt am Main,70,60322,Adickesallee,"POLYGON ((8.6760026 50.1325228, 8.6738411 50.1322162, 8.6728365 50.1320737, 8.6724509 50.1331915, 8.6756289 50.1336416, 8.6760026 50.1325228), (8.6734938 50.1327895, 8.6733529 50.1331968, 8.6726588 50.1330982, 8.6727997 50.1326909, 8.6734938 50.1327895), (8.6729697 50.1322064, 8.6735107 50.1322816, 8.6733785 50.1326726, 8.6728375 50.1325975, 8.6729697 50.1322064), (8.674052 50.1332923, 8.6735245 50.1332155, 8.6736695 50.1328061, 8.6741971 50.1328829, 8.674052 50.1332923), (8.6742301 50.1323877, 8.6740982 50.1327828, 8.6735473 50.1327073, 8.6736791 50.1323121, 8.6742301 50.1323877), (8.6743787 50.132908, 8.6749346 50.1329866, 8.6747939 50.1333953, 8.674238 50.1333167, 8.6743787 50.132908), (8.6744066 50.1324169, 8.674938 50.1324875, 8.6748116 50.1328783, 8.6742803 50.1328078, 8.6744066 50.1324169), (8.6754881 50.133499, 8.6749659 50.1334285, 8.6751012 50.1330166, 8.6756234 50.133087, 8.6754881 50.133499), (8.6756497 50.1330035, 8.6749804 50.1329112, 8.6751126 50.1325175, 8.6757819 50.1326098, 8.6756497 50.1330035))","[[[30762990, 259025827, 259025828, 30762991, 3743886840, 30762990], [257620321, 259025808, 259025809, 257620322, 257620321], [259025813, 259025812, 259025811, 259025810, 259025813], [259025814, 259025815, 259025817, 259025816, 259025814], [259025818, 259025823, 259025824, 259025822, 259025818], [259025825, 259025829, 259025830, 259025826, 259025825], [259025831, 259025832, 259025834, 259025833, 259025831], [259025835, 259025836, 259025838, 259025837, 259025835], [259025839, 259025840, 259025842, 259025841, 259025839]]]",1,civic,,6,,,,,,Polizeipräsidium Frankfurt am Main,,Landespolizeipräsidium,,,,,,,,,Q2519342,,,,flat,,,,,,,,2002,,,,,,,,"[23897895, 23897896, 23897897, 23897898, 23897899, 23897900, 23897901, 23897902, 23897903]",ppffm@polizei.hessen.de,+49 69 755 80808,+49 69 755 00,offices,multipolygon
relation,1813342,,,,,"POLYGON ((8.6829982 50.1316431, 8.6832565 50.1315822, 8.6831238 50.1313483, 8.6832383 50.1313218, 8.683434 50.131276, 8.6834344 50.1313955, 8.6837972 50.1313954, 8.6837984 50.1302879, 8.6837701 50.130288, 8.6837699 50.1302642, 8.6837701 50.1302415, 8.6837599 50.1302415, 8.6837598 50.1302304, 8.6836687 50.1302301, 8.6836684 50.1302413, 8.6836579 50.1302413, 8.6836575 50.1302633, 8.6836582 50.1303688, 8.6835736 50.130369, 8.6835729 50.1304611, 8.683585 50.130461, 8.6835852 50.130618, 8.6833898 50.1306187, 8.6833724 50.1301741, 8.6832597 50.1301743, 8.6832587 50.1302239, 8.6831996 50.1302376, 8.6831994 50.1301745, 8.6830875 50.1301743, 8.6830696 50.1305664, 8.683015 50.1305787, 8.683 50.1305823, 8.6829754 50.1305878, 8.6830802 50.1307713, 8.6830805 50.1308518, 8.6829325 50.1308513, 8.6829402 50.1308676, 8.6828516 50.1308885, 8.6828221 50.13084, 8.6827529 50.130857, 8.6827245 50.1308081, 8.6826469 50.1308264, 8.6826218 50.1307818, 8.6822006 50.1308803, 8.6822452 50.1309558, 8.6821144 50.1309869, 8.6820824 50.130931, 8.6820216 50.1309461, 8.6820194 50.1309429, 8.6820135 50.1309445, 8.682009 50.1310296, 8.6822211 50.1311232, 8.6822328 50.1311459, 8.6822589 50.1311391, 8.6826963 50.1313285, 8.68273 50.1313881, 8.6827461 50.1313841, 8.6827425 50.1313778, 8.6827538 50.1313751, 8.682783 50.1314247, 8.6828132 50.1314171, 8.6828239 50.131436, 8.6827937 50.1314428, 8.6829271 50.1316785, 8.6830085 50.131659, 8.6829982 50.1316431), (8.683512 50.1308004, 8.6835111 50.1309167, 8.6833578 50.1309163, 8.6833587 50.1307999, 8.683512 50.1308004), (8.6834524 50.1311752, 8.6834521 50.1310916, 8.6835844 50.131091, 8.6835842 50.1311441, 8.6834524 50.1311752))","[[[259028624, 9826186196, 9826186191, 9826186192, 9826186193, 9826186190, 9826186189, 9826186194, 9826186195, 259028625, 9826186188, 9826186186, 9826186187, 259028626, 9826186182, 9826186181, 9826186183, 9826186184, 9826186185, 259028628, 259028629, 259028631, 259028633, 259028634, 259028637, 259028657, 259028638, 9826186180, 9826186179, 259028640, 1449036505, 313033108, 9826186174, 9826186171, 313033109, 259028641, 9826186178, 9826186176, 9826186175, 9826186177, 259028643, 259028644, 259028645, 9826186200, 9826186199, 259028647, 1449036503, 3854040188, 9826186201, 9826186202, 313033107, 1449036495, 10673658395, 10673658394, 3854040189, 10673658393, 10673658392, 259028650, 259028651, 259028652, 3854040192, 259028654, 259028656, 9826186198, 9826186197, 259028624], [1482614895, 1482614878, 1482614880, 1482614907, 1482614895], [1482614856, 1482614859, 1482614850, 1482614843, 1482614856]]]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[23898234, 134935122, 134935118]",,,,,multipolygon
