element_type,osmid,amenity,denomination,name,religion,wheelchair,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,wikidata,toilets:wheelchair,addr:country,email,fax,phone,service_times,website,wikipedia,alt_name,entrance,name:en,operator,short_name,description,source,note,url,name:bs,building,contact:facebook,name:ru,tourism,level,nodes,alt_name:en,building:levels,building:material,historic,name:fr,name:zh,seamark:landmark:category,seamark:landmark:conspicuity,seamark:landmark:function,seamark:type,wikimedia_commons,architect,architect:wikidata,building:architecture,layer,start_date,name:ko,heritage,heritage:operator,old_name,contact:website,source:addr,wheelchair:description,image,opening_hours,diocese,roof:shape,architect:wikipedia,addr:housename,year_of_construction,building:colour,building:part,roof:colour,roof:levels,building:use,heritage:ref,heritage:website,contact:email,long_name,height,source:height,roof:height,ways,type,addr:street:en,alt_name:ur,name:ur
node,30836393,place_of_worship,,Christkönig Kirche,christian,,POINT (8.6138725 50.146203),,,,,Q15794144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30842096,place_of_worship,protestant,Dietrich-Bonhoeffer Kirche,christian,,POINT (8.6182287 50.1635312),,,,,Q15805977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,30977269,place_of_worship,mormon,Kirche Jesu Christi der Heiligen der Letzten Tage,christian,,POINT (8.6837227 50.1435823),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,31383712,place_of_worship,protestant,Gethsemane-Kirche,christian,yes,POINT (8.6865115 50.1253221),Frankfurt am Main,90,60318,Eckenheimer Landstraße,Q1519967,yes,,ev.gethsemane@gmx.de,+49 69 556624,+49 69 551650,Mo-Th 10:00-12:00,https://ev-gethsemane.ekhn.de/startseite.html,de:Gethsemanekirche (Frankfurt am Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,31805530,place_of_worship,sunni,Abu-Bakr-Moschee - Islamische Gemeinde Frankfurt e.V.,muslim,yes,POINT (8.6241976 50.1348342),Frankfurt am Main,21,60488,Praunheimer Landstraße,,,,,,,,http://www.abubakr.de,,Abubakr-Moschee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,31805579,place_of_worship,protestant,Evangelische Kirche Hausen,christian,yes,POINT (8.6239935 50.1321858),,,,,Q19962339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,31938139,place_of_worship,protestant,Schwedischer Kirchenverein,christian,,POINT (8.6982475 50.147506),,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,32300794,place_of_worship,catholic,Sankt Laurentius,christian,yes,POINT (8.6356122 50.1885993),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,32335292,place_of_worship,protestant,Evangelische Kirche am Bügel,christian,,POINT (8.6620963 50.1919447),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,32906982,place_of_worship,catholic,Sankt Nikolaus Kirche,christian,no,POINT (8.7545347 50.1593669),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,34075803,place_of_worship,protestant,Ev. Kirche Bergen,christian,no,POINT (8.7561702 50.1548264),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,36141015,place_of_worship,catholic,Dreifaltigkeits Kirche,christian,,POINT (8.5812095 50.1065913),,,,,,,,,,,Su 9:30; We 18:00,https://frankfurt.bistumlimburg.de/index.php?_1=37861&_0=10&sid=51fbe9804356ecda594b66e0ff6b3a3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,38427593,place_of_worship,protestant,Nazarethkirche,christian,limited,POINT (8.682047 50.1482535),,,,,Q19645405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,41121500,place_of_worship,new_apostolic,Neuapostolische Kirche,christian,no,POINT (8.4904626 50.0952605),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,52082524,place_of_worship,catholic,Maria Hilf,christian,,POINT (8.6269961 50.1027627),,,,,Q1895950,,,,,,,,de:Maria Hilf (Frankfurt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,60126637,place_of_worship,protestant,Versöhnungskirche,christian,,POINT (8.6208111 50.0989967),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,68974581,place_of_worship,protestant,Martinuskirche,christian,limited,POINT (8.5847859 50.0870217),,,,,Q28102550,,,,,,,,de:Martinuskirche (Frankfurt-Schwanheim),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,148070840,place_of_worship,methodist,Evangelisch Koreanisch Methodistische Kirche,christian,,POINT (8.6794811 50.1392001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,148091750,place_of_worship,evangelical,Freie Christengemeinde Frankfurt,christian,limited,POINT (8.6843702 50.131141),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,158691096,place_of_worship,romanian_orthodox,"Parohia Ortodoxă Română ,,Acoperământul Maicii Domnului""- Frankfurt A.M.",christian,,POINT (8.6760281 50.0887214),Frankfurt am Main,149,60598,Ziegelhüttenweg,,,,,,,,,,,,Romanian Orthodox Parish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,259153747,place_of_worship,protestant,Trinity Lutheran Church,christian,no,POINT (8.6874214 50.1313622),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,262473470,place_of_worship,baptist,Evangelisch-Freikirchliche Gemeinde,christian,yes,POINT (8.6616803 50.1518144),,3,,Haeberlinstraße,,,,gemeinde@efg-eschersheim.de,,,Su 10:00,http://www.efg-frankfurt-nordwest.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,267282877,place_of_worship,sunni,Falah Moschee,muslim,no,POINT (8.6542564 50.1438869),Frankfurt am Main,6,60431,Raimundstraße,,,,,,,,,,,,,DawaFFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,267899123,place_of_worship,protestant,Evangelische Freikirche Barnabas Gemeinde,christian,,POINT (8.6660161 50.191835),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,302511271,place_of_worship,new_apostolic,Neuapostolische Kirche,christian,,POINT (8.6956261 50.1209368),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,330911351,place_of_worship,protestant,Neuapostolische Kirche,christian,,POINT (8.6543236 50.1563923),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,366988231,place_of_worship,catholic,Sankt Michael,christian,,POINT (8.565955 50.1201568),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,369314012,place_of_worship,mennonite,Mennonitische Gemeinde Frankfurt,christian,,POINT (8.6753751 50.1313324),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,401697297,place_of_worship,catholic,Kath. Kirche Niedererlenbach,christian,yes,POINT (8.711793 50.2048849),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,416666842,place_of_worship,protestant,Evangelische Brüdergemeinde,christian,,POINT (8.6415465 50.1260909),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,416666915,place_of_worship,old_catholic,Altkatholische Gemeinde,christian,no,POINT (8.6425939 50.1250392),Frankfurt am Main,23,,Basaltstraße,,,,,,,,https://www.alt-katholisch.de/unsere-gemeinden/gemeinde-frankfurt-startseite/gemeinden/gemeinde-frankfurt-am-main/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,456310421,place_of_worship,protestant,Lydiagemeinde (ehem. Wicherngemeinde),christian,limited,POINT (8.6088911 50.1440578),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,487332120,place_of_worship,,Fo Guang Shan Tempel,buddhist,,POINT (8.6972658 50.1137298),Frankfurt am Main,13,60314,Hanauer Landstraße,,,,info@foguangshan.de,+49 69 40590871,+49 69 40590870,We-Mo 10:00-18:00,http://www.foguangshan.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,534686347,place_of_worship,protestant,Freie evangelische Gemeinde Frankfurt,christian,yes,POINT (8.6798809 50.1186864),Frankfurt am Main,6,60318,Oeder Weg,,,DE,,,,Su 10:00,http://www.fegfrankfurt.de,,,,,,FeG Frankfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,568435031,place_of_worship,protestant,Sankt Katharinen Gemeinde,christian,,POINT (8.6730862 50.1179996),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,588467269,place_of_worship,evangelical,Evangelisch-Freikirchliche Gemeinde,christian,no,POINT (8.6247758 50.1403879),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,609095622,place_of_worship,seventh_day_adventist,Adventgemeinde,christian,,POINT (8.6807009 50.1194456),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,616599111,place_of_worship,new_apostolic,Neuapostolische Kirche,christian,,POINT (8.6140883 50.1401513),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,656344235,place_of_worship,protestant,Ev. Kirche Westhausen,christian,,POINT (8.6094222 50.135557),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,677492316,place_of_worship,protestant,Regenbogengemeinde,christian,limited,POINT (8.5663222 50.1220897),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,685325204,place_of_worship,evangelical,Atterberry Chapel Multi-Cultural Church,christian,,POINT (8.6232806 50.1240431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1200414861,place_of_worship,evangelical,Christus Gemeinde,christian,,POINT (8.6911122 50.1502347),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1236221203,place_of_worship,methodist,Evangelisch-methodistische Rufer-Kirche,christian,no,POINT (8.5512343 50.1059481),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1239569292,place_of_worship,evangelical,FEG Zeilsheim,christian,limited,POINT (8.4981058 50.0988077),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1364553734,place_of_worship,jehovahs_witness,Königreichssaal Jehovas Zeugen,christian,limited,POINT (8.6394058 50.164252),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1371196813,place_of_worship,protestant,Evangelisches Kirchenhaus der Gemeinde Riedberg,christian,yes,POINT (8.6346895 50.1795454),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1437713653,place_of_worship,christian,CVJM,christian,no,POINT (8.6919475 50.1243954),Frankfurt am Main,80,60316,Friedberger Landstraße,,,,,,,,http://www.cvjm-frankfurt.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1460859591,place_of_worship,protestant,Gemeindezentrum Crutzenhof,christian,yes,POINT (8.6422196 50.187643),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1477872816,place_of_worship,protestant,Ev. Kirche Niedereschbach,christian,yes,POINT (8.6749908 50.2004156),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1612116391,place_of_worship,baptist,Evangelische Freikirchliche Gemeinde Baptisten,christian,,POINT (8.7047489 50.1148345),,,,,,,,,,,,https://www.baptisten-frankfurt.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1643398935,place_of_worship,jewish,,jewish,,POINT (8.7151717 50.1224099),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1656020917,place_of_worship,,Pagode Phat Hue,buddhist,no,POINT (8.7441182 50.1244271),,,,Hanauer Landstraße,,,,,,,,www.phathue.de,,,,,,,Bhudistisches Kloster und Gesundheitszentrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1669067972,place_of_worship,,Tarik ben Ziad,muslim,,POINT (8.6154106 50.103846),Frankfurt am Main,24a,60326,Mönchhofstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1719589694,place_of_worship,sunni,Markaz Islamisches Zentrum Frankfurt,muslim,,POINT (8.602632 50.094634),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1720226795,place_of_worship,sunni,Bilal-Moschee,muslim,,POINT (8.5949963 50.098649),,,,,,,,,,,,,,,,,,,,http://bilal-moschee.de/de/anschrift-bilal-moschee.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1720226797,place_of_worship,shia,Hazrat Fatima Moschee,muslim,,POINT (8.6008519 50.0921681),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1720938266,place_of_worship,jehovahs_witness,Königreichssaal,christian,,POINT (8.596907 50.0977984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1794759067,place_of_worship,sunni,Imam Abu Hanifa - Afghanischer Kulturverein,muslim,no,POINT (8.7459167 50.1414295),Frankfurt am Main,10,60388,Edisonstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1831310863,place_of_worship,,Asamai-Tempel,hindu,,POINT (8.7439987 50.128922),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1831310870,place_of_worship,evangelical,Christliches Zentrum Frankfurt e.V. (CZF),christian,limited,POINT (8.7436041 50.1281247),Frankfurt am Main,15,60386,Salzschlirfer Straße,,yes,,zuhause@czf.de,,+49 69 941480-0,Su 10:30,https://www.czf.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1908744078,place_of_worship,protestant,Dankeskirche,christian,,POINT (8.6086757 50.0832761),,,,,Q21741497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2073182014,place_of_worship,catholic,Nothelferkapelle,christian,no,POINT (8.5590228 50.1158955),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2129722097,place_of_worship,protestant,Neuapostolische Kirche Höchst,christian,,POINT (8.5413169 50.1045833),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2194617823,place_of_worship,alevi,Aelivi Kültür Merkezi Cemevi,muslim,,POINT (8.5577204 50.1030346),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2305468650,place_of_worship,catholic,Michaels Kapelle,christian,limited,POINT (8.490718 50.0964287),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2311582384,place_of_worship,,Logenhaus,,,POINT (8.6710537 50.1086092),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2351460402,place_of_worship,,Valide Sultan Cami,muslim,,POINT (8.6389662 50.1030675),,49-51,,Kriegkstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2387749104,place_of_worship,sunni,TAQWA Moschee - Marokkanischer Verein,muslim,,POINT (8.6543404 50.1014374),Frankfurt am Main,20-22,60327,Heilbronner Straße,,,,,,,,,,,,,Marokkanischer Verein für die Förderung des Geistingen und Kulturellen Gutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2581124041,place_of_worship,unitarian,Unitarische Freie Religionsgemeinde,unitarian,,POINT (8.6898945 50.1106709),Frankfurt am Main,16,60311,Fischerfeldstraße,,,,info@unitarier.net,+49 69 28 03 83,+49 69 28 03 82,,http://www.unitarier.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2671143837,place_of_worship,,Tongil Gyo,unification,,POINT (8.6827378 50.1047603),,,,,,,,,,,,,,,,,,,,,Tongil Gyo Vereinigungsbewegung D Unificationism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2683239364,place_of_worship,evangelical,Immanuel-Gemeinde,christian,,POINT (8.6839352 50.1067862),Frankfurt am Main,52,60594,Schulstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2683278242,place_of_worship,pentecostal,Iglesia de Dios Ministerial de Jesucristo Internacional,christian,yes,POINT (8.6868451 50.1059363),Frankfurt am Main,1,60594,Walter-Kolb-Straße,,,,,,,"We 19:00, Su 10:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2751954899,place_of_worship,protestant,Neuapostolische Kirche,christian,yes,POINT (8.6862949 50.0962682),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2899503594,place_of_worship,,Pak Muhammadi Moschee,muslim,,POINT (8.7103328 50.098967),,212,,Offenbacher Landstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3041994848,place_of_worship,,,muslim,,POINT (8.545417 50.1035359),,,,,,,,,,,,,,,,,Bosnisch-Islamischer Verein e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3042000132,place_of_worship,,IGMG Ehl-i Beyt Camii,muslim,,POINT (8.5394864 50.1095419),,99,,Königsteiner Straße,,,,,,,,,,,,,Türkischer Kultur- und Freizeitverein e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3042010704,place_of_worship,,ATiB Höchst Mevlana Camii,muslim,,POINT (8.5524465 50.1018984),,,,,,,,,,,,http://www.atib-hoechst.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3042021177,place_of_worship,,Islamisches Zentrum Frankfurt e.V.,muslim,,POINT (8.60143 50.0949834),,,,,,,,,,,,,,,,,,,,,,http://www.moschee-frankfurt.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3042027479,place_of_worship,,IKZ - Islamski Kulturni Centar,muslim,limited,POINT (8.6379678 50.1012792),Frankfurt am Main,15,60326,Lahnstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3042031279,place_of_worship,,Merkez Moschee,muslim,yes,POINT (8.6699808 50.1076777),,,,,,,,,,,,http://www.ditib.de/default.php?id=12&lang=en&12&filter=alphabet&abc=F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3042047648,place_of_worship,,Bosniakisches Kultur Center Frankfurt am Main,muslim,no,POINT (8.6572629 50.1079249),Frankfurt am Main,125,60327,Mainzer Landstraße,,,DE,,,,,http://www.bkc-frankfurt.de/index.php/impressum,,,,,,,,,,,Bošnjački Kulturni Centar Frankfurt na Majni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
