element_type,osmid,barrier,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,contact:email,contact:fax,contact:phone,contact:website,isced:level,name,operator,operator:type,ref,wheelchair,alt_name,wikidata,addr:country,preschool,school:type,description,email,office,opening_hours,phone,website,grades,after_school,min_age,note,isced,nodes,name:etymology:wikidata,toilets:wheelchair,wikipedia,start_date,landuse,area,fence,name:en,religion,loc_name,short_name,wikipedia:de,addr:housename,building,building:levels,roof:levels,ref:AEFE,old_name,construction,wheelchair:description,alt,roof:shape,capacity,fee,image,name:fr,name:de,name:etymology,ways,type
node,1780007392,,POINT (8.6491279 50.0922858),Frankfurt am Main,4,60528,Marienburgstraße,school,poststelle.heinrich-hoffmann-schule@stadt-frankfurt.de,+49 69 21275959,+49 69 21231115,http://www.heinrich-hoffmann-schule.de/,2;3,Heinrich-Hoffmann-Schule,Stadt Frankfurt am Main,public,4605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1780007603,,POINT (8.6664813 50.0978044),Frankfurt am Main,3,60596,Vogelweidstraße,school,info@freieschulefrankfurt.de,,+49 69 636750,https://www.freie-schule-frankfurt.de/,1,Freie Schule Frankfurt,Verein für angewandte Sozialpädagogik e.V.,private,4268,,,Q1454012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1780419682,,POINT (8.6403009 50.1035753),Frankfurt am Main,11-13,60326,Kostheimer Straße,school,monikahaus@skf-frankfurt.de,,+49 69 9738230,https://www.skf-frankfurt.de/erziehungshilfe/monikahausschule/,1;2A,Monikahausschule,Sozialdienst katholischer Frauen e.V. Frankfurt,private,4786,,,,,,special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1781557748,,POINT (8.6254033 50.0995799),Frankfurt am Main,39,60326,Ackermannstraße,school,poststelle.buergermeister-grimm-schule@stadt-frankfurt.de,+49 69 21242570,+49 69 21235509,https://www.buergermeister-grimm-schule.de,1;2A,Bürgermeister-Grimm-Schule,,public,4611,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1781575820,,POINT (8.6403142 50.1034638),Frankfurt am Main,11-13,60326,Kostheimer Straße,school,poststelle.berthold-simonsohn-schule@stadt-frankfurt.de,+49 69 21239093,+49 69 21239407,https://berthold-simonsohn-schule.de/,1;2A,Berthold-Simonsohn-Schule,,public,4782,,,,,,special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1783596951,,POINT (8.6979961 50.1103755),Frankfurt am Main,6,60314,Martin-Elsässer-Weg,school,sekretariat@abendgymnasium-frankfurt.de,+49 69 21239929,+49 69 21240090,www.abendgymnasium-frankfurt.de,4A,Abendgymnasium Frankfurt am Main,,public,5502,,,,,,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1784416585,,POINT (8.6727 50.1434962),Frankfurt am Main,29,60320,Fritz-Tarnow-Straße,school,poststelle.anne-frank-schule@stadt-frankfurt.de,+49 69 21231874,+49 69 21238752,http://anne-frank-schule-frankfurt.de/,2A,Anne-Frank-Schule,,public,5004,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1811020135,,POINT (8.6945522 50.096615),Frankfurt am Main,98,60599,Hainer Weg,school,bzh-jj@jj-ev.de,,+49 69 6809090,,2A;3A,Bildungszentrum Hermann Hesse,Jugendberatung und Jugendhilfe e.V. (JJ),private,4758,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6276669523,,POINT (8.6573595 50.1125622),,,,,school,,,,,3,Goethe-Gymnasium Dependance,,,,,,,,,,Dependance des Goethe Gymnasiums Frankfurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6304567096,,POINT (8.6259442 50.0876223),Frankfurt am Main,167,60528,Schwanheimer Ufer,school,,,,,,Ausbildungswerkstatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7267115320,,POINT (8.6782175 50.1125195),Frankfurt am Main,11,60311,Roßmarkt,school,info@kosmetikfachschule.de,,,http://www.kosmetikfachschule.de,3A,Berufsfachschule für Kosmetik & Make-up S. Schäfer Famous Face Academy,,private,,,,,,,,,info@ffa-makeup.com,educational_institution,Mo-Fr 09:00-18:00,+49 69 250144,https://www.famous-face-academy.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7933994402,,POINT (8.6550682 50.1133803),Frankfurt am Main,4-6,60325,Schumannstraße,school,info@fintosch.com,,,,1,Fintosch Mehrsprachige Grundschule,Fintosch gGmbH,private,,,,,,,,,,,,,https://www.fintosch.com/primary-school,1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8563918701,,POINT (8.6814174 50.1028165),,,,,school,,,,,,Erweiterte Schulische Betreuung der Textorschule,Verein der Freunde und Förderer der Textorschule e.V.,,,,,,,,,,,,,,,,yes,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8563918709,,POINT (8.6798939 50.0997541),,56 H,,Oppenheimer Landstraße,school,,,,,,Monster AG,Verein der Freunde und Förderer der Textorschule e.V.,,,,,,,,,,,,,,,,yes,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9843560613,,POINT (8.6455924 50.1425),Frankfurt am Main,,60431,Auf der Schloßhecke,school,,,,,1,Diesterwegschule,Land Hessen,government,,,,,,,,,,,,,https://www.diesterwegschule-frankfurt.de/,1-4,,,"Das ist ein vorübergehende Container-Schule, die die Diesterwegschule während der Renovierung aufnimmt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9925583525,,POINT (8.6507372 50.0969771),Frankfurt am Main,295-301,60327,Gutleutstraße,school,info@hhs-frankfurt.de,+49 69 24268639,+49 69 24268670,,1;2A,Hermann-Herzog-Schule,Landeswohlfahrtsverband (LWV) Hessen,public,4608,,,,,,,Schule mit dem Förderschwerpunkt Sehen,,,,,https://hhs-ffm.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9925583526,,POINT (8.649787 50.0976581),Frankfurt am Main,295-301,60327,Gutleutstraße,school,homepage@ssp-ffm.de,+49 69 24268620,+49 69 2426860,http://www.sommerhoffpark.de,1;2A,Schule am Sommerhoffpark,Landeswohlfahrtsverband (LWV),public,,,,,,,,Schule mit dem Förderschwerpunkt Hören,,,,,https://www.sommerhoffpark.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9954817241,,POINT (8.6981928 50.1119637),Frankfurt am Main,26,60314,Hanauer Landstraße,school,poststelle.abendhaupt-und-realschule@stadt-frankfurt.de,+49 69 21240546,+49 69 21230413,www.ahrs-frankfurt.de,2,Abendhaupt- und Abendrealschule,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9954883741,,POINT (8.6704222 50.0960674),Frankfurt am Main,30,60596,Stresemannallee,school,info@alexander-puschkin-schule.org,+49 69 93994592,+49 69 70794006,https://www.alexander-puschkin-schule.org,1,Alexander-Puschkin-Schule,,private,,,,,,,elementary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9969972721,,POINT (8.5525914 50.1072456),Frankfurt am Main,20,65929,Kurmainzer Straße,school,poststelle.fritz-redl-schule@stadt-frankfurt.de,+49 69 212 48599,+49 69 212 42021,,1;2A,Fritz-Redl-Schule,Stadt Frankfurt am Main,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9979532941,,POINT (8.6487928 50.0920349),Frankfurt am Main,6,60528,Marienburgstraße,school,gesundheit-frankfurt@hs-fresenius.de,+49 69 247514260,+49 69 247514252,https://www.hs-fresenius.de,,Hochschule Fresenius,Hochschule Fresenius gem. GmbH,private,,,,,,,,,,,,,,,,,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9985738272,,POINT (8.6811106 50.1657006),Frankfurt am Main,1,60433,Kaiserkronenweg,school,info@iks-schule.de,+49 69 27997182,+49 69 27997180,https://iks-schule.de,1;2A;3A,IKS - Interkulturelle Schule Rhein Main,EAE European Academy of Economics gGmbH,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9985837823,,POINT (8.6625127 50.1376734),Frankfurt am Main,75,60431,Platenstraße,school,info@m-steiff-schule.de,,+49 69 47884680,https://www.m-steiff-schule.de,1;2A,Margarete-Steiff-Schule,Margarete-Steiff-Schule Frankfurt am Main gGmbH,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9988538764,,POINT (8.6814069 50.1166317),Frankfurt am Main,30,60313,Stiftstraße,school,info@main-schule.de,+49 69 95454575,+49 69 57801643,https://www.main-schule.de/,1,Main Schule,BildungPlus e.V.,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10001516079,,POINT (8.7635086 50.147795),Frankfurt am Main,65,60388,Barbarossastraße,school,poststelle.schule-am-hang@stadt-frankfurt.de,+49 69 212 41259,+49 69 212 41257,https://www.schule-am-hang.de,1,Schule am Hang (Auslagerungsstandort),Stadt Frankfurt am Main,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10002261849,,POINT (8.6493335 50.1046684),Frankfurt am Main,199,60326,Mainzer Landstraße,school,soziales.frankfurt.fs@srh.de,,+49 69 870012950,https://www.srh-fachschulen.de,3B,SRH Fachschulen,SRH Fachschulen GmbH,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4616635,,"POLYGON ((8.6760002 50.1670562, 8.6742636 50.1668252, 8.6740845 50.1674065, 8.6739918 50.1676801, 8.6742745 50.1677338, 8.6742771 50.167841, 8.6754858 50.1680203, 8.6756433 50.1675339, 8.6756688 50.1674552, 8.6757441 50.167467, 8.6760002 50.1670562))",Frankfurt am Main,26,60433,Berkersheimer Weg,school,schulleitung@albert-schweitzer-schule.de,+49 69 21271965,+49 69 21271830,www.albert-schweitzer-schule.de/,1,Albert-Schweitzer-Schule,,public,3125,limited,,,,,elementary,,,,,,,,,,,,"[29276833, 29276834, 29681753, 29276830, 30076828, 30076839, 1761856990, 2430170727, 29276832, 1761857188, 29276833]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4732792,,"POLYGON ((8.6511394 50.1446936, 8.6511038 50.1449371, 8.6511095 50.1451328, 8.6510111 50.1454859, 8.6508927 50.1458797, 8.6500719 50.1458093, 8.6501333 50.145319, 8.6506313 50.1453463, 8.6506653 50.1451705, 8.6507003 50.1446754, 8.6511394 50.1446936))",Frankfurt am Main,5-7,60431,Am Mühlgarten,school,poststelle.diesterwegschule@stadt-frankfurt.de,+49 69 21242805,+49 69 21242881,http://www.diesterwegschule-frankfurt.de/,1,Diesterwegschule,Stadt Frankfurt am Main,public,3136,,,,,,,,,,,,,,,,,,"[30166531, 3192002348, 1761871254, 1761871256, 30166530, 164222298, 164222301, 30166529, 316242260, 30166532, 30166531]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4794745,,"POLYGON ((8.6370329 50.1523744, 8.6369731 50.151831, 8.6364209 50.1517999, 8.6363803 50.1515079, 8.6360451 50.151477, 8.6361385 50.1505045, 8.6371172 50.1505784, 8.6371384 50.15058, 8.637416 50.150601, 8.6373799 50.1509899, 8.6374073 50.1514105, 8.6374543 50.1516477, 8.6375196 50.1518797, 8.6376582 50.1523274, 8.6370329 50.1523744))",Frankfurt am Main,18,60439,Hadrianstraße,school,poststelle.geschwister-scholl-schule@stadt-frankfurt.de,+49 69 21240337,+49 69 21238753,http://gss-ffm.de/,2A,Geschwister-Scholl-Schule,Stadt Frankfurt am Main,public,5001,,,Q47507450,,,,,,,,,,,,,,,"[2636048519, 30762367, 293897458, 336494162, 2636048492, 2636048465, 6926345245, 6926345241, 2636048471, 336494156, 336494151, 2151212687, 30762364, 2636048515, 2636048519]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4794753,,"POLYGON ((8.6630679 50.1410877, 8.6636435 50.1416096, 8.6631698 50.1423504, 8.662743 50.1422304, 8.6621862 50.1425263, 8.6613312 50.1417725, 8.6621142 50.1413884, 8.662134 50.1414015, 8.662207 50.1413805, 8.6622393 50.1414084, 8.6623041 50.1414625, 8.6623225 50.1414683, 8.6630679 50.1410877))",Frankfurt am Main,67-69,60320,Eichendorffstraße,school,poststelle.franz-boehm-schule@stadt-frankfurt.de,,+49 69 21247800,https://www.fbs-ffm.de/,3B,Franz-Böhm-Schule,Stadt Frankfurt am Main,public,6260,yes,,,,,,,,,,,,,,,,,"[30762425, 30762426, 30762427, 1728738416, 30762423, 30762424, 30805908, 9972350019, 3172558013, 1784406803, 9972293386, 1784406804, 30762425]",Q69289,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4794774,,"POLYGON ((8.676824 50.1257867, 8.6768355 50.1258257, 8.676856 50.1258784, 8.6768753 50.1259245, 8.6768929 50.1259598, 8.6769096 50.125991, 8.676926 50.1260479, 8.6769334 50.1261008, 8.6769321 50.1261427, 8.6769274 50.1261777, 8.6769193 50.1262108, 8.6769165 50.1262174, 8.6769091 50.1262246, 8.6768934 50.1262344, 8.6768796 50.1262399, 8.6768664 50.1262428, 8.6768493 50.1262442, 8.6768322 50.1262438, 8.6748671 50.1259757, 8.6748525 50.1259727, 8.6748405 50.1259675, 8.6748302 50.1259599, 8.6748214 50.1259489, 8.6748201 50.1259395, 8.674833 50.1259059, 8.6748661 50.125817, 8.6749796 50.1255163, 8.676824 50.1257867))",Frankfurt am Main,35-37,60322,Vogtstraße,school,poststelle.elisabethenschule@stadt-frankfurt.de,+49 69 21231320,+49 69 21235144,http://www.elisabethenschule.net/,2A;3A,Elisabethenschule,Stadt Frankfurt am Main,public,5102,,,Q2691954,,,,,,,,,,,,,,,"[15513989, 9812197820, 9812197839, 9812197838, 9812197837, 1483516154, 9812197826, 9812197827, 9812197828, 9812197829, 9812197836, 9812197830, 9812197831, 9812197832, 9812197833, 9812197834, 9812197835, 15514202, 9812197825, 9812197821, 9812197822, 9812197823, 9812197824, 15513969, 1666284978, 1666284963, 15514387, 15513989]",,,de:Elisabethenschule (Frankfurt am Main),,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4795027,,"POLYGON ((8.6714417 50.1255405, 8.6714711 50.1254106, 8.6714647 50.125399, 8.6714977 50.1252955, 8.6711544 50.1246595, 8.6711897 50.12456, 8.6729615 50.1248107, 8.6729775 50.1249205, 8.6724944 50.1255456, 8.6723714 50.1256852, 8.6720601 50.1255844, 8.6714417 50.1255405))",Frankfurt am Main,166,60322,Fürstenbergerstraße,school,,+49 69 21240568,+49 69 21235136,https://lessing-frankfurt.de/,2A;3A,Lessing-Gymnasium,Stadt Frankfurt am Main,public,5111,,,Q195183,,,,,,,,,,,,,,,"[30763970, 9856965997, 9856965996, 164482368, 164482363, 30763971, 30763972, 9856965995, 30763969, 1666284909, 1666284910, 30763970]",,,de:Lessing-Gymnasium (Frankfurt am Main),1520,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4795028,,"POLYGON ((8.6720392 50.1272977, 8.6717813 50.1270567, 8.6721528 50.1265723, 8.6721668 50.1265576, 8.6721849 50.126549, 8.6722047 50.1265429, 8.6722228 50.1265419, 8.672247 50.126542, 8.6729332 50.1266392, 8.6727482 50.1270125, 8.6724236 50.1269298, 8.672261 50.127191, 8.6720392 50.1272977))",Frankfurt am Main,98,60322,Holzhausenstraße,school,,,,,,Elisabethenschule (Außenstelle),,,,,,,,,,,,,,,,,,,,,"[30763976, 30763977, 30763974, 9856966122, 9856966121, 9856966120, 9856966119, 1666285027, 30763975, 1666285036, 1666285034, 9856966118, 30763976]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4795029,,"POLYGON ((8.6769103 50.1249516, 8.6764647 50.1248784, 8.676347 50.1248321, 8.6762556 50.1247768, 8.6762165 50.1247531, 8.6762421 50.1246336, 8.6767862 50.1247191, 8.6769354 50.1247425, 8.6769876 50.1247507, 8.6769103 50.1249516))",Frankfurt am Main,9,60322,Hammanstraße,school,info@kant-schule.de,+49 69 95512920,+49 69 9551290,https://www.kant-schule.de/,1;2A;3A,Private Kant-Schule,Stiftung Private Kant-Schulen gGmbH,private,5119,,,,,,,,,,,,,,,,,,"[30763979, 9812127912, 1483603879, 9812127852, 30763982, 30763981, 9812127902, 9812127899, 30763980, 30763979]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4795030,,"POLYGON ((8.6700742 50.1239522, 8.6700686 50.123852, 8.6700688 50.1237541, 8.6700717 50.1237378, 8.6700764 50.1237243, 8.6700878 50.1237095, 8.6701042 50.1236959, 8.6701256 50.123685, 8.6701518 50.1236779, 8.6701773 50.1236742, 8.6702101 50.1236743, 8.6702507 50.1236794, 8.6702564 50.1236577, 8.6711087 50.1237559, 8.6712476 50.1237728, 8.6711832 50.124003, 8.6711697 50.1240513, 8.6711101 50.1242306, 8.6710664 50.1243587, 8.6706848 50.1243031, 8.6701978 50.1242335, 8.670186 50.1242313, 8.6701731 50.1242273, 8.6701592 50.1242213, 8.6701412 50.1242105, 8.670129 50.1241997, 8.6701198 50.1241882, 8.6701152 50.1241764, 8.6701119 50.1241645, 8.6700901 50.124062, 8.6700742 50.1239522))",Frankfurt am Main,106,60322,Wolfsgangstraße,school,poststelle.engelbert-humperdinck-schule@stadt-frankfurt.de,+49 69 21238214,+49 69 21235137,http://www.ehs-frankfurt.de/,1,Engelbert-Humperdinck-Schule,Stadt Frankfurt am Main,public,3131,,,,,,,,,,,,,,,,,,"[30763987, 9831413800, 30763986, 9831413809, 9831413808, 9831413807, 9831413806, 9831413805, 9831413804, 9831413803, 9831413810, 390464835, 9831413786, 9831413788, 30763985, 9831413780, 2588252307, 9831413791, 30763984, 390464861, 30763988, 9831413793, 9831413794, 9831413795, 9831413796, 9831413797, 9831413798, 9831413799, 9831413802, 9831413801, 30763987]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4795032,,"POLYGON ((8.6736727 50.1413307, 8.6740597 50.1402972, 8.6759226 50.1407942, 8.6757318 50.1411301, 8.6757708 50.1411388, 8.676505 50.1413256, 8.6762035 50.1417871, 8.6757647 50.1417246, 8.6756328 50.1415418, 8.6756017 50.1413855, 8.6749205 50.1412436, 8.6742584 50.1411546, 8.6741662 50.1414088, 8.6736727 50.1413307))",Frankfurt am Main,6,60320,Mierendorffstraße,school,poststelle.woehlerschule@stadt-frankfurt.de,+49 69 21232057,+49 69 21235333,https://www.woehlerschule.de/,2;3,Wöhlerschule,Stadt Frankfurt am Main,public,5101,,,Q1395924,,,,,,,,,,,,,,,"[8858902299, 30763999, 30763998, 321815642, 10006677335, 296153665, 30484202, 382033826, 8858902294, 8858902295, 8858902300, 8858902293, 8858902292, 8858902299]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4795037,,"POLYGON ((8.6717545 50.1428174, 8.6725333 50.1429015, 8.6733468 50.1431214, 8.6728847 50.1440066, 8.6728018 50.1441654, 8.6714665 50.1439078, 8.6712157 50.1438145, 8.6692926 50.1434231, 8.6694001 50.1431859, 8.6700885 50.1432884, 8.6707562 50.1433915, 8.6709092 50.1431779, 8.6710102 50.1431939, 8.6714696 50.1432573, 8.671642 50.143161, 8.6717545 50.1428174))",,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3188927609, 1783505356, 30764004, 1368756127, 30764005, 10004444542, 10004444541, 30764001, 1783505364, 321859670, 321859671, 321859672, 296153664, 3188927624, 3188927619, 3188927609]",,,,,education,,,,,,,,,,,,,,,,,,,,,,,,,
way,4795050,,"POLYGON ((8.6488443 50.1251246, 8.6481258 50.1255365, 8.6476571 50.1252086, 8.6476121 50.1251319, 8.6473345 50.1249474, 8.6473139 50.1248152, 8.6475585 50.1246747, 8.6479324 50.124943, 8.6483344 50.1247142, 8.6488443 50.1251246))",Frankfurt am Main,70,60487,Sophienstraße,school,poststelle.max-beckmann-schule@stadt-frankfurt.de,+49 69 21239724,+49 69 21236964,https://hp.max-beckmann-schule.de/,3A,Max-Beckmann-Schule,Stadt Frankfurt am Main,public,,yes,,Q1911996,,,,,,,,,,,,,,,"[30764030, 30764031, 9990114431, 9990114430, 30764028, 325200922, 30764033, 30764029, 30764032, 30764030]",,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,
way,4795085,,"POLYGON ((8.6891962 50.1279266, 8.6879254 50.1277503, 8.6879097 50.1277475, 8.6878959 50.1277402, 8.6878869 50.1277309, 8.6878815 50.1277206, 8.6878825 50.127709, 8.6880147 50.1272465, 8.6880702 50.1272531, 8.6883014 50.1272819, 8.6883179 50.1272278, 8.6885183 50.1272554, 8.6888474 50.1273007, 8.6887921 50.1274529, 8.6892282 50.1275058, 8.6892985 50.1275132, 8.6891962 50.1279266))",Frankfurt am Main,81,60318,Lenaustraße,school,info@schwarzburgschule.de,+49 69 21230750,+49 69 21233940,http://www.schwarzburgschule.de/,1,Schwarzburgschule,Stadt Frankfurt am Main,public,3150,,,,,,,,,,,,,,,,,,"[30764577, 9806691126, 9806691122, 9806691123, 9806691124, 9806691125, 30764576, 30764575, 387460882, 1439544141, 1439544138, 9806691092, 30764574, 387460889, 30568134, 387460891, 30764577]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4797020,,"POLYGON ((8.6847001 50.121402, 8.6850699 50.1214096, 8.6855264 50.1214879, 8.685525 50.1215762, 8.6855236 50.1217036, 8.6856048 50.121704, 8.6857114 50.1217045, 8.6860373 50.1217061, 8.6860378 50.1217307, 8.686048 50.1218388, 8.6860613 50.1219691, 8.6860728 50.1220823, 8.6860836 50.1221627, 8.6860875 50.1221886, 8.68606 50.1222075, 8.6860513 50.1222174, 8.6860365 50.1222262, 8.6860147 50.1222336, 8.6859857 50.1222356, 8.6857264 50.1222281, 8.6856716 50.122225, 8.6856146 50.1222244, 8.6846984 50.1221859, 8.6846595 50.1221846, 8.6846188 50.1221841, 8.6847001 50.121402))",Frankfurt am Main,5-9,60318,Oberweg,school,schulleitung@musterschule.de,+49 69 21240541,+49 69 21235267,https://infos.musterschule.de/,2A;3A,Musterschule,Stadt Frankfurt am Main,public,5115,limited,,Q1955646,,,,,,,,,,,,,,,"[566708604, 9808984267, 566708635, 9808984231, 1754660453, 9808984233, 10307506275, 30777310, 1754660404, 1754660402, 9808984292, 9808984293, 1754660461, 9808984265, 1754660468, 9808984263, 9808984264, 1754660471, 1754660433, 1754660428, 9990830559, 1754660417, 1754660452, 1754660419, 30777312, 566708604]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4797021,,"POLYGON ((8.6836442 50.1244794, 8.6823882 50.1245132, 8.6823566 50.123879, 8.6836193 50.1238523, 8.6836442 50.1244794))",Frankfurt am Main,24,60318,Adlerflychtstraße,school,poststelle.berufliche-schulen-berta-jourdan@stadt-frankfurt.de,+49 69 21240521,+49 69 21235271,www.berta-jourdan.de/,3B,Berufliche Schulen Berta Jourdan,,public,6256,yes,,,,,,,,,,,,,,,,,"[30777317, 30777318, 30777315, 30777316, 30777317]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
