element_type,osmid,geometry,amenity,wheelchair,brand,brand:wikidata,brand:wikipedia,check_date,name,operator,ref,website,fee,source,layer,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,shop,note,check_date:opening_hours,opening_hours,addr:suburb,level,survey:date,nodes,building,building:levels,roof:levels,roof:shape,unimainz:buildingId,phone,short_name,wikidata,wikimedia_commons,wikipedia,opening_hours:signed,toilets,smoking,building:material,height,branch,roof:colour,email,alt_name,company,office,leisure,not:brand:wikidata,description,official_name,source:geometry,healthcare,healthcare:speciality,opening_hours:covid19,toilets:wheelchair,cuisine,takeaway,contact:phone,contact:website,url,nohousenumber,gambling,building:colour,craft,source:position,note:de,start_date,addr:housename,second_hand,service:vehicle:car_parts,service:vehicle:car_repair,service:vehicle:inspection,noaddress,outdoor_seating,diet:vegan,diet:vegetarian,roof:material,source_date,atm,source:date,social_facility:for,trade,delivery,drive_through,fax,disused:amenity,cafe,fuel:diesel,fuel:octane_95,fuel:octane_98,contact:fax,fixme,housename,seasonal,commercial,location,construction,opening_date,roof:type,ways,type
way,40031636,"POLYGON ((8.2417628 49.9688224, 8.2415999 49.9689215, 8.2417528 49.9689525, 8.2417373 49.9689869, 8.2420993 49.9690642, 8.2426109 49.968774, 8.2421846 49.9684643, 8.2422222 49.9684436, 8.2417835 49.9681317, 8.2413136 49.9684022, 8.2412807 49.9684212, 8.2413024 49.9688704, 8.2415843 49.9687034, 8.2417628 49.9688224))",,,POCO,Q1714820,de:Poco (Möbelhaus),,POCO,,,https://www.poco.de/c/poco-einrichtungsmarkt-mainz,,,,Mainz,DE,17,55128,Am Schleifweg,furniture,ehemaliges Marktkauf-Gebäude,,Mo-Sa 10:00-20:00,,,,"[481320670, 4548987837, 4548987838, 481320673, 481320677, 155446774, 4548987840, 4548987839, 155446780, 3305450348, 481320688, 481320697, 1137960600, 481320670]",commercial,,,,,+49 6131 4977020,,,,,,,,,,Einrichtungsmarkt Mainz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40031639,"POLYGON ((8.2371853 49.9745128, 8.237363 49.9746353, 8.2374536 49.9746977, 8.2382843 49.9741989, 8.2379688 49.973978, 8.2376523 49.974172, 8.2376992 49.9742044, 8.2371853 49.9745128))",,,,,,,,,,,,,,,,,,,,,,,,,,"[481320707, 1131492136, 481320710, 481320713, 481320716, 481320720, 481320722, 481320707]",commercial,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40078208,"POLYGON ((8.2370294 49.9748129, 8.2369782 49.9747687, 8.2370118 49.9747526, 8.236909 49.9746638, 8.2367188 49.9747549, 8.2368729 49.9748879, 8.2370294 49.9748129))",,,,,,,,,,,,,,,,105,,Hans-Böckler-Straße,,,,,,,,"[482266719, 9513073043, 9513073044, 482266721, 482266722, 482266723, 482266719]",commercial,2,1,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40078221,"POLYGON ((8.2369445 49.9739795, 8.23719 49.9738367, 8.2370044 49.9737048, 8.2367589 49.9738476, 8.2369445 49.9739795))",,,,,,,,,,,,,,Mainz,DE,120,55128,Hans-Böckler-Straße,,,,,,,,"[482266732, 482266733, 482266734, 482266736, 482266732]",commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40078250,"POLYGON ((8.238206 49.9732272, 8.2379698 49.973066, 8.237387 49.9734192, 8.2376232 49.9735804, 8.238206 49.9732272))",,,,,,,,,,,,,,Mainz,DE,49,55128,Marienborner Straße,,,,,,,,"[482266768, 482266769, 482266771, 482266772, 482266768]",commercial,3,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40078260,"POLYGON ((8.2365357 49.9733187, 8.2364741 49.9732769, 8.2364399 49.9732977, 8.2363845 49.97326, 8.2364171 49.9732401, 8.2363032 49.9731627, 8.2372268 49.9726007, 8.2372857 49.9726407, 8.2373113 49.9726251, 8.2373681 49.9726638, 8.2373417 49.9726799, 8.2374572 49.9727585, 8.2365357 49.9733187))",,,,,,,,,,,,,,Mainz,DE,53,55128,Marienborner Straße,,,,,,,,"[482266779, 9513334510, 9513334511, 9513334512, 9513334509, 482266780, 482266782, 9513334505, 9513334507, 9513334508, 9513334506, 482266783, 482266779]",commercial,,,gabled,,,,,,,,,,,,,lightgrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,40078474,"POLYGON ((8.2341682 49.9773231, 8.2343767 49.9773718, 8.2345475 49.9770695, 8.234339 49.9770208, 8.2341682 49.9773231))",,,,,,,Spargel- und Erdbeerhof Stauder,,,https://www.hofladen-stauder.de/,,,,Mainz,DE,26,55128,Am Heckerpfad,farm,,,Mar-Jun Mo-Fr 09:00-18:30; Mar-Jun Sa 09:00-16:00,,,,"[482267297, 262375323, 482267299, 482267301, 482267297]",commercial,,,,,+49 6131 34746,,,,,,,,,,,,info@hofladen-stauder.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,41298769,"POLYGON ((8.2767504 49.9815452, 8.2767663 49.9814346, 8.2772901 49.9814657, 8.2772813 49.9815275, 8.277548 49.9815433, 8.2775323 49.9816525, 8.2770098 49.9816215, 8.2770185 49.9815611, 8.2767504 49.9815452))",,,,,,,Kommunale Datenzentrale Mainz,,,https://kdz.mainz.de/,,,,Mainz,,31a,55131,Hechtsheimer Straße,,,,,,,,"[504996806, 504996808, 512346428, 504996811, 512346431, 504996812, 504996822, 512346424, 504996806]",commercial,4,,,,+49 6131 12 16 - 00,,,,,,,,,,,,kdz@stadt.mainz.de,KDZ Mainz,it,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,41659322,"POLYGON ((8.2790481 49.9817574, 8.2790921 49.9814687, 8.2797974 49.9815132, 8.2797537 49.9817995, 8.2795723 49.981788, 8.2795928 49.9816537, 8.2792431 49.9816317, 8.2792222 49.9817684, 8.2790481 49.9817574))",,,,,,,,,,,,,,Mainz,DE,35-37,55131,Hechtsheimer Straße,,,,,,,,"[512025859, 512025860, 512025861, 512025862, 1168938778, 1168938779, 1168938781, 1168938783, 512025859]",commercial,4,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,41659330,"POLYGON ((8.2894369 49.9763245, 8.2898746 49.9764791, 8.2901847 49.9761205, 8.2902913 49.9759973, 8.2903517 49.9759274, 8.2901969 49.9758689, 8.2902662 49.975793, 8.2899764 49.9756877, 8.2894369 49.9763245))",,,,,,,,,,,,,,Mainz,DE,,55130,,,,,,,,,"[512025890, 512025891, 10831667028, 9427679922, 512025892, 2868471054, 2868471053, 512025893, 512025890]",commercial,1,0,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,41659331,"POLYGON ((8.2878591 49.9770232, 8.288176 49.9771352, 8.2878736 49.9774888, 8.2875568 49.9773768, 8.2878591 49.9770232))",,no,,,,,Fitness First Class,,,https://www.fitness-first-class.de,,,,Mainz,DE,110,55130,Heiligkreuzweg,,,,"Mo 08:30-22:00; Tu-Th 09:00-22:00; Fr 09:00-21:00; Sa 10:30-17:00; Su,PH 10:00-17:00",,,2020-10-17,"[512025894, 512025895, 512025896, 512025897, 512025894]",commercial,2,,flat,,+49 6131 831040,,,,,,,,,,,,,,,,fitness_centre,Q127120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,41755808,"POLYGON ((8.2815575 49.9737673, 8.2820982 49.9738666, 8.2822613 49.9738114, 8.2825874 49.9738666, 8.2827248 49.9736348, 8.2823579 49.9735784, 8.2822827 49.9736019, 8.2822122 49.9736239, 8.2818003 49.9735496, 8.2817038 49.9735794, 8.2816359 49.9736004, 8.2815575 49.9737673))",,,,,,,,,,,,,,Mainz,DE,125,55129,Alte Mainzer Straße,,,,,,,,"[514381193, 514381194, 514381197, 514381199, 514381202, 514381207, 6116190429, 514381209, 757520641, 8327250935, 757520643, 514381193]",commercial,2,,flat,,,,,,,,,,,,,,,,,,,,ehemals ProMarkt und Möbel Boss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,42127893,"POLYGON ((8.2922463 49.9780894, 8.292425 49.9781502, 8.2923798 49.9782051, 8.2927336 49.9783254, 8.2930259 49.9779699, 8.2928737 49.977917, 8.2928443 49.9779512, 8.2924658 49.9778224, 8.2922463 49.9780894))",,,,,,,,,,,,,,,,2-4,,Weberstraße,,,,,,,,"[523832937, 6207179528, 6207179529, 523832943, 6207179530, 2021303749, 523832945, 523832946, 523832937]",commercial,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,43199494,"POLYGON ((8.2544345 49.9976939, 8.2544534 49.9978281, 8.2546617 49.997816, 8.2546429 49.9976818, 8.2544345 49.9976939))",,,,,,,,,,,,,,Mainz,,4,55122,Saarstraße,,,,,,,,"[541402154, 541402155, 541402156, 541402157, 541402154]",commercial,1,0,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,43228898,"POLYGON ((8.238835 50.0055161, 8.2386125 50.0055205, 8.2386173 50.0056232, 8.2388401 50.0056187, 8.238835 50.0055161))",,,,,,,,,,,,,,Mainz,,6,55122,Jakob-Steffan-Straße,,,,,,,,"[1974296139, 1974296131, 1974296137, 1974296134, 1974296139]",commercial,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,43973467,"POLYGON ((8.2568652 49.9976698, 8.256802 49.9975311, 8.2567734 49.9974684, 8.2567655 49.9974511, 8.2566313 49.9975099, 8.256669 49.9975489, 8.2567008 49.9976036, 8.2567464 49.9976931, 8.2568652 49.9976698))",,,,,,,,,,,,,,Mainz,DE,27,,Binger Schlag,,,,,,,,"[5424641723, 5735600128, 5735600129, 4728576598, 5424641722, 5735600122, 5418648110, 5418648111, 5424641723]",commercial,1,0,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,44646250,"POLYGON ((8.2882111 49.9919133, 8.2884525 49.9921024, 8.2881966 49.9922357, 8.2879595 49.9920462, 8.2880084 49.9920204, 8.2881383 49.9919525, 8.2882111 49.9919133))",,,,,,,Bootshaus M.R.V.,,,,,,,,,,,,,,,,,,,"[2839471572, 566712417, 566712419, 566712418, 1740036921, 1740036920, 2839471572]",commercial,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,46158899,"POLYGON ((8.2718879 49.999239, 8.2718608 49.9992749, 8.2716777 49.9995173, 8.2715976 49.9996233, 8.2717658 49.9996758, 8.2718382 49.99958, 8.2720181 49.9993418, 8.2720278 49.999329, 8.2720561 49.9992914, 8.2718879 49.999239))",,,,,,,,,,,,,,,,,,,,,,,,,,"[1356546239, 4175932414, 1671343496, 588517520, 588517521, 1356546126, 4175932413, 1885925151, 588517519, 1356546239]",commercial,2,0,flat,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,47403537,"POLYGON ((8.2784351 49.9764296, 8.2786355 49.9764432, 8.2786724 49.9762172, 8.278472 49.9762037, 8.2784351 49.9764296))",,,,,,,Arwe Service GmbH,,,,,,,Mainz,DE,14,55129,Elly-Beinhorn-Straße,,,,,,,,"[603377322, 603377325, 603377328, 603377330, 603377322]",commercial,,,,,,,,,,,,,,,,,,,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,47661899,"POLYGON ((8.2900183 49.9827301, 8.2901518 49.9826477, 8.2901124 49.982626, 8.2901196 49.982581, 8.290265 49.982499, 8.2903224 49.9825002, 8.2903871 49.9825475, 8.2905253 49.9824575, 8.2904696 49.9824171, 8.2904714 49.9823744, 8.2905306 49.9823352, 8.2904068 49.9822451, 8.2903314 49.982289, 8.2902847 49.9822901, 8.2901304 49.9821943, 8.2901394 49.9821505, 8.2901987 49.9821095, 8.2900569 49.9820215, 8.2899761 49.9820646, 8.2899231 49.9820627, 8.2898055 49.9819797, 8.2896637 49.9820709, 8.289906 49.9822394, 8.2899635 49.9823075, 8.2899868 49.9823859, 8.2899509 49.9824702, 8.2899401 49.982491, 8.2898504 49.9824575, 8.289784 49.9825048, 8.2896763 49.9825337, 8.2895596 49.9825314, 8.2895506 49.9826156, 8.2896386 49.9826168, 8.289626 49.9827079, 8.2897588 49.9828026, 8.2899114 49.9827022, 8.2899757 49.9827033, 8.2900183 49.9827301))",,,,,,,,,,,,,,Mainz,DE,30,55130,Wilhelm-Theodor-Römheld-Straße,,,,,,,,"[606408231, 606408182, 606408187, 606408189, 606408191, 606408195, 606408197, 606408273, 606408201, 606408214, 606408005, 606407759, 606407762, 606407763, 606407766, 606407770, 606407750, 606407747, 606407772, 606407775, 606407744, 606407705, 606407777, 606407779, 606408217, 606408220, 606408222, 606408224, 606408164, 606408167, 606408169, 606408172, 606408174, 606408178, 606408181, 606408227, 606408229, 606408231]",commercial,5,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,47661905,"POLYGON ((8.2908144 49.9810305, 8.2909488 49.9809439, 8.2910079 49.980989, 8.2910724 49.980989, 8.2911341 49.9809493, 8.2912659 49.9810341, 8.2912014 49.9810774, 8.2912014 49.9811116, 8.2912743 49.9811675, 8.2911313 49.9812505, 8.2910696 49.9811982, 8.2910079 49.9811982, 8.2909322 49.9812451, 8.290806 49.9811585, 8.2908817 49.9811062, 8.2908789 49.9810738, 8.2908144 49.9810305))",,,,,,,,,,,,,,Mainz,DE,16,55130,Wilhelm-Theodor-Römheld-Straße,,,,,,,,"[606407782, 606407654, 606407797, 606407799, 606407657, 606407889, 606407891, 606407893, 606407896, 606407807, 606407809, 606407812, 606407814, 606407794, 606407801, 606407803, 606407782]",commercial,4,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
