element_type,osmid,geometry,layer,wheelchair,access,amenity,fee,maxheight,name,parking,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,note,operator,survey:date,nodes,building,building:levels,opening_hours,shop,toilets,building:material,height,roof:levels,roof:material,roof:shape,start_date,wikidata,wikimedia_commons,wikipedia,addr:suburb,brand,brand:wikidata,brand:wikipedia,source,website,roof:colour,toilets:wheelchair,alt_name,cuisine,diet:vegan,diet:vegetarian,email,indoor_seating,opening_hours:covid19,outdoor_seating,phone,building:colour,roof:orientation,source:maxheight,addr:housename,building:min_level,check_date:opening_hours,max_level,min_level,landuse,not:brand:wikidata,payment:cash,payment:credit_cards,payment:maestro,payment:mastercard,payment:visa,disused:shop,source:geometry,branch,disused,short_name,check_date,dispensing,fax,self_service,url,club,description,sport,payment:apple_pay,payment:debit_cards,payment:google_pay,wheelchair:description,source_date,roof:height,access:covid19,delivery:covid19,takeaway:covid19,smoking,old_name,wholesale,fixme,indoor,level,note:editor,fuel:lpg,nohousenumber,delivery,takeaway,company,office,ref:vatin,service:bicycle:bicycle,service:bicycle:ebike,service:bicycle:parts,service:bicycle:pump,service:bicycle:repair,service:bicycle:retail,service:bicycle:sales,service:bicycle:second_hand,service:bicycle:service,service:bicycle:tools,stroller,ways,type,building:use
way,24318145,"POLYGON ((8.2678128 50.0009813, 8.2678274 50.0010765, 8.2678331 50.0011093, 8.2678394 50.0011448, 8.2678564 50.0012566, 8.26786 50.0012803, 8.2678667 50.001324, 8.2678746 50.0013338, 8.2678842 50.0013453, 8.2679036 50.0013681, 8.2679268 50.0013956, 8.2679406 50.0013908, 8.2679524 50.0014047, 8.2679636 50.0014179, 8.2679024 50.0014394, 8.2679673 50.0015157, 8.2680537 50.0014853, 8.2680578 50.0014901, 8.2680755 50.001511, 8.2680892 50.0015272, 8.2681327 50.0015786, 8.2681663 50.0016182, 8.2683093 50.0015681, 8.2683595 50.0016234, 8.2684106 50.0016052, 8.2684015 50.0015932, 8.2684942 50.0015637, 8.2685027 50.001575, 8.2685203 50.0016448, 8.2686582 50.001613, 8.2689597 50.0015344, 8.2689132 50.0014633, 8.2690358 50.0014303, 8.2690033 50.0013794, 8.2689871 50.0013552, 8.2689799 50.001344, 8.2689748 50.001336, 8.2689503 50.0012983, 8.2689399 50.001283, 8.2688766 50.0011902, 8.2688273 50.001118, 8.2687868 50.0010956, 8.268763 50.0010676, 8.2687348 50.0010343, 8.2687478 50.001026, 8.2687409 50.0009907, 8.2687335 50.0009346, 8.268588 50.0009426, 8.2685867 50.0009261, 8.2684851 50.0009332, 8.268372 50.0009407, 8.2683232 50.0009439, 8.268212 50.0009513, 8.2680023 50.0009662, 8.2679139 50.0009726, 8.2678128 50.0009813))",,yes,,,,,Römerpassage,,Mainz,DE,4,55116,Adolf-Kolping-Straße,,,,"[263683285, 8098056415, 8098056356, 8098056412, 8098078306, 8098078303, 8098056469, 263683286, 8098056518, 747665975, 1781687971, 8098056541, 1781687973, 8098056540, 8098056475, 263683287, 263683288, 8098056201, 2450879903, 8098056247, 8098056477, 263683289, 1368677292, 1781688000, 1781687997, 8098056190, 8098056189, 1781687994, 1781688009, 1781687998, 1781687990, 1781687983, 263683290, 8098056220, 8098056223, 8098056232, 8098056309, 8098056489, 897141069, 2450879902, 1368677291, 6461010680, 1368677289, 6461010681, 2450879901, 8098056420, 263683291, 8098056421, 8098056424, 8098056427, 8098056440, 8098056441, 8098056458, 8098056459, 8098056413, 263683285]",retail,7,"Mo-Fr 09:30-19:30, Sa 09:30-18:00",mall,yes,,,,,,,,,,,,,,local_knowledge,https://www.roemerpassage.com/,,,,,,,,,,,,,,,Römerpassage,3,2023-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24318387,"POLYGON ((8.2699739 49.9997459, 8.2702333 49.9998233, 8.2703373 49.9998543, 8.2704455 49.9998866, 8.2704519 49.9998744, 8.2705799 49.9999126, 8.2707148 49.9999529, 8.2708217 49.9999848, 8.2709991 50.0000394, 8.2713377 49.999853, 8.2706208 49.9996385, 8.2706286 49.9996263, 8.2705499 49.9996022, 8.2702679 49.9995188, 8.2701588 49.9994866, 8.2699739 49.9997459))",,,,,,,,,,,1,,Tritonplatz,,,,"[263684762, 2452218129, 2452217977, 1671343582, 1671343578, 2452217980, 2452217982, 1671343601, 263684763, 263684764, 263684765, 263684766, 2452217971, 2838718934, 263684767, 263684762]",retail,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24318429,"POLYGON ((8.2698361 50.00064, 8.2701668 50.0004558, 8.2704896 50.0002768, 8.2703061 50.0001374, 8.2702801 50.0001552, 8.2701225 50.0000353, 8.2700904 50.0000521, 8.2700331 50.0000094, 8.2699374 49.9999385, 8.2695568 50.0001419, 8.2696535 50.0002171, 8.2696881 50.0005069, 8.2696726 50.0005149, 8.2698361 50.00064))",,limited,,,,,C&A,,,,72,55116,Seppel-Glückert-Passage,,,,"[263685059, 2452218027, 263685060, 1885925178, 1885925179, 1885925176, 1885925177, 2452217986, 263685061, 263685062, 1368677272, 1368677273, 1368677275, 263685059]",retail,4,Mo-Sa 09:30-20:00,clothes,,,,0,,,,,,,,C&A,Q701338,en:C&A,,http://www.c-and-a.com/,,,,,,,,,,,+49 6131 14011,,,,,,2022-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24318768,"POLYGON ((8.2709089 49.9984272, 8.2709838 49.9983207, 8.2711989 49.9980146, 8.2710285 49.997963, 8.2705967 49.9978366, 8.2705228 49.9979316, 8.270422 49.998061, 8.270374 49.9981226, 8.2702856 49.9982421, 8.2703248 49.9982544, 8.270863 49.9984138, 8.2709089 49.9984272))",,yes,,,,,,,Mainz,DE,12,55116,Ludwigsstraße,,,,"[710919003, 2453933584, 263687396, 1619546506, 263687397, 2312636483, 2312636487, 1622766052, 263687447, 2312636491, 2312636501, 710919003]",retail,5,,,,,,0,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24334592,"POLYGON ((8.2846755 49.9762717, 8.2848968 49.9760026, 8.2843722 49.9758242, 8.2841509 49.9760934, 8.2846755 49.9762717))",,yes,,,,,,,Mainz,DE,120a,55130,Heiligkreuzweg,,,,"[263986489, 263986490, 263986491, 263986492, 263986489]",retail,1,,,,,,,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24487156,"POLYGON ((8.2888547 49.9755881, 8.288887 49.9756, 8.2890168 49.975648, 8.2890461 49.9756588, 8.2890096 49.9757012, 8.2887158 49.9760422, 8.2887025 49.9760576, 8.2878241 49.9757429, 8.2873251 49.9755641, 8.2873721 49.9755041, 8.287301 49.9754782, 8.2873095 49.9754684, 8.2875283 49.9752149, 8.2875507 49.9751889, 8.2875682 49.9751686, 8.2875759 49.9751711, 8.2877939 49.9751622, 8.2878448 49.9751601, 8.2883876 49.9751343, 8.2885981 49.9752102, 8.2888087 49.9752879, 8.2888201 49.9752918, 8.2887722 49.9753446, 8.2887883 49.9753502, 8.2888626 49.9753756, 8.2889137 49.975401, 8.2888881 49.9754877, 8.2888827 49.9755059, 8.2888547 49.9755881))",,yes,,,,,Scheck-in-Center,,Mainz,DE,15,55130,Weberstraße,,,,"[5149836815, 8049915001, 8771020238, 266232849, 8771024323, 8755210917, 266232842, 8049899708, 6606613940, 6606613939, 6606613938, 8751835418, 8751835419, 8751835417, 6606613937, 6606613936, 8049884884, 266232850, 6606613935, 6606613918, 6606613919, 6606613934, 6606613933, 8049899702, 5149838852, 6606613932, 8050738060, 5149838854, 5149836815]",retail,2,Mo-Sa 07:00-22:00,supermarket,,,,,,flat,,,,,,EDEKA,Q701755,de:Edeka,yahoo sat,,,yes,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25542468,"POLYGON ((8.2672529 49.9806489, 8.2672209 49.9807679, 8.2673291 49.9807798, 8.2673367 49.9807537, 8.2675044 49.980774, 8.2674958 49.980803, 8.2678355 49.9808408, 8.2678418 49.9808181, 8.2680043 49.9808367, 8.2679962 49.9808659, 8.268323 49.9809022, 8.2683301 49.9808762, 8.2684948 49.9808946, 8.268487 49.9809235, 8.2687573 49.9809534, 8.2687931 49.98082, 8.2686782 49.9808072, 8.2683149 49.9807668, 8.2680246 49.9807346, 8.2678093 49.9807107, 8.2676929 49.9806978, 8.2675395 49.9806807, 8.267394 49.9806646, 8.2672529 49.9806489))",,,,,,,,,Mainz,DE,1a,55131,Berliner Straße,,,,"[278364322, 278364323, 1087760706, 603355395, 603355393, 1087760677, 1087760713, 603355391, 603355401, 1087760704, 1087760714, 603355405, 603355403, 1087760708, 278364320, 278364321, 7418921702, 7418865571, 9325536236, 9325536237, 9325536238, 9325536239, 9325536240, 278364322]",retail,1,,,,,,,,flat,,,,,Oberstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39355525,"POLYGON ((8.2352438 49.9762081, 8.2355499 49.9762787, 8.2353165 49.9766973, 8.2350479 49.9766354, 8.2350745 49.9765875, 8.2350372 49.9765789, 8.2352438 49.9762081))",,yes,,,,,,,Mainz,,133,55128,Essenheimer Straße,,,,"[471541728, 471541729, 471541730, 479444311, 479444312, 479444314, 471541728]",retail,1,,,,,,,,,,,,,Bretzenheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39355528,"POLYGON ((8.2408613 49.9820761, 8.2410095 49.9821208, 8.2410462 49.9820705, 8.2411138 49.9819778, 8.2412168 49.9818365, 8.2410685 49.9817918, 8.2409169 49.9819998, 8.2408613 49.9820761))",,,,,,,Netto City,,Mainz,DE,35,55128,An der Wied,,,,"[471541743, 471541744, 2481078547, 2481078519, 471541746, 471541747, 2479904676, 471541743]",retail,1,Mo-Sa 07:00-21:00,supermarket,,,,,,,,,,,,Netto City,Q879858,de:Netto Marken-Discount,,https://www.netto-online.de/filialen/mainz/an-der-wied-35/8269,,,,,,,,,,,,,,,,,2022-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39929244,"POLYGON ((8.235899 49.9694609, 8.236042 49.9694747, 8.2360279 49.9695355, 8.2363695 49.9695684, 8.2363587 49.9696149, 8.2365489 49.9696332, 8.2366534 49.9691836, 8.2363486 49.9691543, 8.236288 49.9694147, 8.235918 49.9693791, 8.235899 49.9694609))",,yes,,,,,,,Mainz,DE,55,55128,Marienborner Straße,,,,"[479425212, 479425218, 479425222, 479425227, 479425232, 479425238, 479425257, 479425263, 479425268, 479425273, 479425212]",retail,1,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39956365,"POLYGON ((8.2212609 50.027309, 8.2211342 50.0273516, 8.2210764 50.0272814, 8.2210475 50.0272842, 8.2207294 50.0268794, 8.2212511 50.0267094, 8.2215687 50.0271126, 8.2215873 50.0271074, 8.2216427 50.027186, 8.2215935 50.0272036, 8.2216404 50.0272204, 8.2216747 50.0272346, 8.2216922 50.0272239, 8.2217633 50.0272837, 8.2217859 50.0273455, 8.2217743 50.0274176, 8.2217297 50.0274768, 8.2216455 50.0275202, 8.2215297 50.027543, 8.2214171 50.027534, 8.2213302 50.0275036, 8.2212595 50.0274425, 8.2212254 50.0273741, 8.22125 50.0273754, 8.2212609 50.027309))",,,,,,,AutoCenter Heinz,,Mainz,DE,3,55120,Am Mombacher Kreisel,,,,"[479856707, 479856716, 1615008368, 1615008369, 479856717, 479856718, 479856726, 479856736, 479856749, 479856762, 1615008364, 1615008365, 479856778, 479856821, 479856833, 1615008374, 479856843, 479856850, 1615008378, 479856857, 1615008376, 479856862, 479856868, 1615008373, 479856707]",retail,,,car,,,,,,,,,,,,Toyota;Hyundai;Volvo;Ford,,,,https://www.autocenter-mainz.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,41310065,"POLYGON ((8.2785501 49.9824077, 8.2784988 49.9824234, 8.2785557 49.9825005, 8.2792031 49.9823027, 8.2790907 49.9821506, 8.2790512 49.9820972, 8.2784552 49.9822793, 8.2785501 49.9824077))",,yes,,,,,Netto Marken-Discount,,Mainz,DE,35a,55131,Hechtsheimer Straße,,,,"[2265542199, 2265542200, 505068415, 505068416, 777571597, 243321463, 243321465, 2265542199]",retail,1,Mo-Sa 07:00-20:00,supermarket,,,,,,flat,,,,,,Netto Marken-Discount,Q879858,de:Netto Marken-Discount,,https://www.netto-online.de/filialen/mainz/hechtsheimer-str-35a/8076,,,,,,,,,,,,,,,,,,,,commercial,Q552652,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,41461519,"POLYGON ((8.2917319 49.9755855, 8.2918812 49.9756411, 8.2917654 49.9757697, 8.2922732 49.975959, 8.2923223 49.9759773, 8.2925145 49.9757642, 8.2918082 49.9755008, 8.2917319 49.9755855))",,yes,,,,,,,Mainz,DE,13,55130,Jakob-Anstatt-Straße,,,,"[507144095, 507144097, 507144098, 735989388, 507144099, 507144100, 507144101, 507144095]",retail,1,,,,,,,,flat,,,,,Weisenau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,42127909,"POLYGON ((8.2918782 49.9783243, 8.2920185 49.9781646, 8.2928568 49.978459, 8.2927083 49.978624, 8.2918782 49.9783243))",,,,,,,,,Mainz,DE,2-4,55130,Weberstraße,,,,"[523833229, 523833230, 523833231, 523833232, 523833229]",retail,2,,,,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,43169899,"POLYGON ((8.2444518 50.0005908, 8.2439168 50.0005637, 8.2439017 50.0006873, 8.2444366 50.0007144, 8.2444518 50.0005908))",,,,,,,,,,,17,55122,Dr.-Martin-Luther-King-Weg,,,,"[540882271, 540882272, 540882273, 540882275, 540882271]",retail,1,,,,,,1,,gabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,45823613,"POLYGON ((8.2687382 50.0093752, 8.2687027 50.0093324, 8.2687645 50.0093113, 8.2688 50.009354, 8.2687382 50.0093752))",,,,,,,,,,,,,,,,,"[583265184, 583265185, 583265187, 583265189, 583265184]",retail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,47656832,"POLYGON ((8.2880407 49.9864786, 8.288139 49.9864141, 8.2880161 49.9863413, 8.2879262 49.9863978, 8.2880407 49.9864786))",,,,,,,,,Mainz,DE,26,55131,Heinrich-von-Gagern-Straße,,,,"[606324172, 606324174, 606324175, 606324176, 606324172]",retail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
