element_type,osmid,amenity,community_centre,name,geometry,opening_hours,phone,website,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,email,toilets:wheelchair,wheelchair,check_date,operator,check_date:opening_hours,club,name:en,opening_hours:signed,addr:place,nodes,alt_name,name:etymology:wikidata,wikidata,wikipedia,building,community_centre:for,wheelchair:description,short_name,denomination,operator:type,survey:date,religion,roof:colour,roof:shape,fax,internet_access,internet_access:fee,smoking,social_facility,social_facility:for,description,contact:phone
node,9371255512,community_centre,,Mainzer Ranzengarde von 1837 e.V.,POINT (8.2543544 50.000781),,,https://mainzer-ranzengarde.de/,Mainz,,1,55122,,gf@mainzer-ranzengarde.de,,,,,,carnival,,no,Johann-Maria-Kartell-Platz,,,,,,,,,,,,,,,,,,,,,,,
way,24006984,community_centre,,Alte Ziegelei,"POLYGON ((8.2532815 49.9759326, 8.253913 49.9756477, 8.2539688 49.9756156, 8.2540011 49.9756037, 8.2540449 49.9755836, 8.2536403 49.9751213, 8.2540054 49.9749515, 8.254297 49.9748205, 8.2538524 49.9744364, 8.2532146 49.9738837, 8.2523453 49.974309, 8.2517046 49.9746225, 8.2532815 49.9759326))",,,http://www.alteziegelei-mainz.de/,Mainz,,1,55128,Alte Ziegelei,,,,,Verein der Ziegeleifreunde e.V.,2023-04-18,,,no,,"[260322283, 6112517357, 6112517356, 2107903160, 261687109, 483285598, 3497073947, 260322284, 6112519086, 260322285, 9599362496, 260322287, 260322283]",Alte Ziegelei Rosbach,Q15782755,Q15782755,de:Alte Ziegelei (Mainz),,,,,,,,,,,,,,,,,,
way,74877131,community_centre,,HDJ - Haus der Jugend,"POLYGON ((8.2716984 50.0038969, 8.2719084 50.0039904, 8.2718867 50.0040106, 8.271962 50.0040442, 8.2719366 50.0040677, 8.2722336 50.0041999, 8.2723686 50.0040747, 8.2720306 50.0039242, 8.2721049 50.0038552, 8.2718606 50.0037464, 8.2716984 50.0038969))","Mo,Fr 13:00-19:00; Tu 13:00-21:00; We 15:00-21:00; Th 13:00-20:00",+49 6131 228442,https://www.hdj-mainz.de/,Mainz,DE,8,55116,Mitternachtsgasse,,,yes,,Stadt Mainz,,,,,,"[884366702, 3090726865, 884366698, 884366724, 884366727, 884366718, 884366726, 884366704, 884366721, 884366700, 884366702]",,,,,yes,juvenile,Blindenleitsystem vorhanden,,,,,,,,,,,,,,,
way,116716507,community_centre,,Jugendzentrum Laubenheim KiJuKuz,"POLYGON ((8.3140713 49.9612225, 8.3140123 49.9610527, 8.3138987 49.961069, 8.3139576 49.9612388, 8.3140713 49.9612225))",,,,Mainz,DE,19,55130,Oppenheimer Straße,,,,,,,,,,,"[1315129551, 1315129552, 1315129557, 1315129556, 1315129551]",Alter Bahnhof,,,,yes,child;juvenile,,KiJuKuz Laubenheim,,,,,,,,,,,,,,
way,148504606,community_centre,village_hall,Bürgerhäuschen Lerchenberg,"POLYGON ((8.1941039 49.9593413, 8.1942214 49.9590442, 8.1938324 49.9589801, 8.1937149 49.9592772, 8.1941039 49.9593413))",,,,Mainz,DE,1-5,55127,Hindemithstraße,,,,,Stadt Mainz,,,,,,"[1615995219, 1615995214, 1615995213, 1615995218, 1615995219]",,,,,yes,,,,,,,,,,,,,,,,,
way,182152143,community_centre,parish_hall,DER FELS Mainz,"POLYGON ((8.2912781 49.9775567, 8.291483 49.977309, 8.2910972 49.9771771, 8.2909305 49.9773787, 8.2908924 49.9774248, 8.2912781 49.9775567))",,,https://www.der-fels-mainz.de,Mainz,DE,8,55130,Weberstraße,,,,,DER FELS Mainz KdöR,,,,,,"[1924982919, 1924982905, 1924982902, 1924982910, 1924982912, 1924982919]",,,,,yes,religious,,,evangelical-pentecostal,religious,2021-08-26,,,,,,,,,,,
way,188882557,community_centre,,Gemeindezentrum St. Bernhard,"POLYGON ((8.2452717 49.9774904, 8.2452838 49.9774936, 8.2452093 49.9776105, 8.2451812 49.9776031, 8.2452034 49.9775684, 8.2451089 49.9775435, 8.245119 49.9775277, 8.2450783 49.9775281, 8.2450501 49.9775728, 8.2450404 49.9775881, 8.245105 49.9776049, 8.2450715 49.9776573, 8.2451436 49.9776764, 8.2451765 49.9776249, 8.2452089 49.9776335, 8.2452206 49.9776152, 8.2453208 49.9776417, 8.2453501 49.9775958, 8.2454984 49.9776349, 8.2455085 49.9776191, 8.2455886 49.9776403, 8.245625 49.9775834, 8.245658 49.9775921, 8.24573 49.9774793, 8.2455152 49.9774226, 8.2455042 49.9774398, 8.2454672 49.97743, 8.2454453 49.9774644, 8.2453703 49.9774446, 8.2453543 49.9774696, 8.2452949 49.9774539, 8.2452717 49.9774904))",,+49 6131 34990,http://www.sankt-bernhard-mainz.de/,Mainz,DE,19-21,55128,Hans-Böckler-Straße,,yes,yes,,,2022-12-31,,,no,,"[871927566, 2561241947, 10171278947, 1995148380, 2561241996, 2561241986, 2561241988, 1995148383, 2561242005, 2561242015, 2561242025, 1995148385, 2561242071, 2561242036, 2561242046, 2561242028, 871927563, 871927553, 871927587, 871927580, 871927577, 871927568, 871927567, 871927552, 2561241887, 2561241909, 871927583, 871927582, 1292605665, 2561241923, 871927581, 871927566]",,,,,yes,,,,roman_catholic,,,christian,#AFBBBF,flat,,,,,,,,
way,192044504,community_centre,parish_hall,livingroom Kirche Mainz,"POLYGON ((8.2790768 49.9909313, 8.2791801 49.9910637, 8.2793933 49.9909949, 8.2792899 49.9908626, 8.2790768 49.9909313))",,,https://www.livingroom.info,Mainz,DE,2a,55131,Auf der Steig,,,,,,,,,,,"[2026074136, 2026074148, 2026074144, 2026074126, 2026074136]",,,,,yes,religious,,,seventh_day_adventist,,2021-08-26,,,,,,,,,,,
way,192426441,community_centre,,Gemeindehaus Evangelische Luthergemeinde,"POLYGON ((8.281981 49.9836264, 8.2820047 49.9834668, 8.2823304 49.9834872, 8.2823354 49.9834544, 8.2825036 49.9834651, 8.2824902 49.9835519, 8.2824569 49.9835498, 8.2824447 49.9836298, 8.2824214 49.9836284, 8.2824077 49.9837201, 8.2823002 49.9837135, 8.282292 49.9837687, 8.2821977 49.9837629, 8.2822159 49.9836408, 8.281981 49.9836264))",,,http://www.luthergemeinde-mainz.de,Mainz,DE,20,55131,Friedrich-Naumann-Straße,,,,,,,,,,,"[2029822744, 2029822734, 2029822739, 2029822732, 2029822735, 2029822741, 2029822740, 2029822743, 2029822742, 2029822747, 5779147564, 5779147563, 2029822746, 2029822745, 2029822744]",,,,,church,,,,protestant,,,,,,,,,,,,,
way,194434946,community_centre,youth_centre,Katholisches Jugendheim,"POLYGON ((8.282476 49.9608862, 8.2826238 49.9609114, 8.2826164 49.9609292, 8.2827143 49.9609459, 8.2827217 49.9609281, 8.2828197 49.9609448, 8.282849 49.9608736, 8.2825053 49.960815, 8.282476 49.9608862))",,,,,,,,,,,,,,,,,,,"[2049370638, 4578345301, 4578345300, 4578345299, 4578345302, 2049370640, 2049370637, 2049370635, 2049370638]",,,,,yes,,,,,,,,,,,,,,,,,
way,203248263,community_centre,,Jugendhaus & Jugendbildungsstätte Don Bosco,"POLYGON ((8.236786 50.001751, 8.2368208 50.0016006, 8.2370354 50.000677, 8.2372824 50.000699, 8.237307 50.0006997, 8.2373201 50.0006577, 8.2373327 50.0005837, 8.2376671 50.0006073, 8.2377705 50.000616, 8.2375704 50.0016535, 8.2375279 50.0018562, 8.2373163 50.0018232, 8.2371097 50.0017945, 8.2370406 50.0017896, 8.2367943 50.0017715, 8.236786 50.001751))",,+49 6131 253600,http://donbosco-mainz.de/,Mainz,DE,54,55122,Am Fort Gonsenheim,DonBosco-Hauswirtschaft@bistum-mainz.de,,yes,,Diözesanstelle des BDKJ/Bischöfliches Jugendamt der Diözese Mainz,,,,no,,"[2132414309, 3936227056, 2132414287, 3936227054, 2132414289, 3936227053, 2060188904, 2060188906, 2132414286, 2132414307, 2132414311, 6454218944, 2132414310, 6536670886, 3936227457, 2132414309]",,,,,,,,,,,,,,,+49 6131 253665,wlan,no,outside,yes,juvenile,,
way,205678842,community_centre,,,"POLYGON ((8.2531447 49.9597583, 8.253207 49.959643, 8.2534594 49.9596995, 8.253397 49.9598148, 8.2531447 49.9597583))",,+49 171 2112711,http://sveti-nikola.de,Mainz,,4,55129,August-Horch-Straße,,,,,,,,,,,"[2156518813, 2156518807, 2156518802, 2156518810, 2156518813]",,,,,public,,,,orthodox,,,christian,,,,,,,,,Gemeindehaus der mazedonisch-orthodoxe Kirche,
way,227401432,community_centre,,Neustadtzentrum,"POLYGON ((8.2519041 50.0094008, 8.2517066 50.0095556, 8.2519772 50.0096982, 8.2520566 50.0096361, 8.2521089 50.0096637, 8.2521798 50.0096081, 8.2521267 50.0095801, 8.252174 50.0095431, 8.2519041 50.0094008))",,+49 6131 219349,https://www.neustadtzentrum.de/,Mainz,,7,55118,Goethestraße,,,yes,,Landeshauptstadt Mainz,,,,,,"[2360886880, 2360886886, 2360886896, 2360886892, 2360886894, 2360886890, 2360886888, 2360886884, 2360886880]",,,,,public,,,,,,,,,,,,,,,,,+49 6131 612038
way,245517870,community_centre,,Boxer-Klub,"POLYGON ((8.2687636 49.985127, 8.2689174 49.9850814, 8.2688245 49.9849517, 8.2686402 49.9850062, 8.2686628 49.9850378, 8.2686932 49.9850287, 8.2687636 49.985127))",,,,,,,,,,,,,Boxer Klub Mainz e.V.,2022-04-10,dog,,no,,"[2526986584, 2526986580, 2526986573, 2526986575, 2526986578, 2526986576, 2526986584]",,,,,clubhouse,,,,,,,,,,,,,,,,Vereinsheim,
way,251158676,community_centre,club_home,KGV Sonntagsfriede e.V.,"POLYGON ((8.2697333 49.9829746, 8.2697838 49.9830563, 8.2699964 49.9830019, 8.2699459 49.9829202, 8.2697333 49.9829746))",,,,,,,,,,,,,,2022-11-26,,,no,,"[2574354741, 2574354750, 2574354744, 2574354736, 2574354741]",,,,,clubhouse,,,,,,,,,,,,,,,,,
way,282890088,community_centre,,Haus Haifa,"POLYGON ((8.2232826 50.0211577, 8.2232937 50.0209967, 8.2236725 50.0210074, 8.2236615 50.0211685, 8.2232826 50.0211577))",,,https://www.haus-haifa.de/,Mainz,DE,5,55120,Zeystraße,,,,,Amt für Jugend und Familie der Landeshauptstadt Mainz,,,,,,"[2868347713, 2868346899, 2868347701, 2868347714, 2868347713]",,,,,yes,,,,,,,,,,,,,,,,,
way,306387101,community_centre,,Ev. Gemeindezentrum,"POLYGON ((8.2086685 50.0047999, 8.2086831 50.0047822, 8.2086499 50.0047708, 8.2087098 50.0046983, 8.20873 50.0047052, 8.2087899 50.0046327, 8.2089186 50.0046767, 8.2088676 50.0047385, 8.2090806 50.0048112, 8.2091633 50.0047112, 8.2092738 50.004749, 8.2091936 50.0048459, 8.2092347 50.0048599, 8.2091598 50.0049505, 8.2087762 50.0048195, 8.2087654 50.0048326, 8.2086685 50.0047999))",,,,Mainz,DE,35,55124,Friedensstraße,,,,,,,,,,,"[3112772867, 3112772868, 3112772869, 3112772870, 3112772871, 3112772872, 3112772873, 3112772874, 3112772875, 3112772876, 3112772877, 3112772878, 3112772879, 3112772880, 3112772881, 3112772882, 3112772867]",,,,,yes,,,,,,,,,,,,,,,,,
way,382885955,community_centre,village_hall,Gemeindehaus,"POLYGON ((8.1948403 49.9575006, 8.1948723 49.9574103, 8.1949139 49.9574165, 8.1949478 49.9573209, 8.1949875 49.9573268, 8.1949972 49.9572995, 8.1951281 49.9573187, 8.1951425 49.9572782, 8.1952359 49.957292, 8.1952226 49.9573295, 8.1951999 49.9573935, 8.1951567 49.9573872, 8.1951518 49.9574008, 8.1951193 49.957396, 8.1951123 49.9574159, 8.1950476 49.9574064, 8.1950293 49.9574578, 8.1950501 49.9574608, 8.195031 49.9575146, 8.1949555 49.9575035, 8.1949507 49.9575169, 8.1948403 49.9575006))",,,,,,,,,,,limited,,,,,,,,"[3860940810, 3860940783, 3860940785, 3860940552, 3860940554, 3860940543, 3860940551, 3860940535, 3860940539, 3860940555, 3860940773, 3860940771, 3860940779, 3860940774, 3860940784, 3860940781, 3860940798, 3860940800, 3860940816, 3860940812, 3860940817, 3860940810]",,,,,yes,,,,,,,,,,,,,,,,,
way,610206387,community_centre,,Gemeindezentrum St. Alban,"POLYGON ((8.2770101 49.9875682, 8.2770963 49.9873107, 8.2771178 49.9872448, 8.2772018 49.9872536, 8.2772002 49.9873147, 8.2771289 49.9873157, 8.2771194 49.9873381, 8.2771986 49.9873493, 8.2771923 49.9875723, 8.2770101 49.9875682))",,,,,,,,An der Goldgrube,,,,,,,,,,,"[5779147510, 5779147509, 5779147511, 5779147512, 5779147513, 5779147514, 5779147515, 5779147516, 5779147517, 5779147510]",,,,,yes,,,,,,,,,,,,,,,,,
way,647154927,community_centre,religious,Gemeindezentrum St. Nikolaus,"POLYGON ((8.2229047 50.0226306, 8.2231343 50.0226292, 8.2231313 50.0225575, 8.2229222 50.0222432, 8.2228736 50.0222565, 8.2228808 50.0222672, 8.2227274 50.0223094, 8.222816 50.0224426, 8.222755 50.022451, 8.2227636 50.0224785, 8.2227677 50.0224863, 8.2228382 50.0224759, 8.2228766 50.0225335, 8.2229047 50.0226306))",,,,,,,,,,,,,,,,,,,"[6078317136, 6078317135, 6078317134, 9612705163, 9612705162, 9612705161, 6078317130, 9612705167, 9612705168, 2556931032, 9612705169, 9612705166, 6078317128, 6078317136]",,,,,yes,,,,,,,,,,,,,,,,,
way,703825855,community_centre,village_hall,Bürgerhaus Hechtsheim,"POLYGON ((8.2758423 49.957714, 8.2754187 49.9576483, 8.2752722 49.9580418, 8.2756958 49.9581075, 8.2758423 49.957714))",,,https://www.mainzer-buergerhaeuser.de/buergerhaus-hechtsheim/,Mainz,,8,55129,Am Heuergrund,,,yes,,Mainzer Bürgerhäuser GmbH & Co. KG,,,,,,"[6609158407, 6609158406, 6609158409, 6609158408, 6609158407]",,,,,yes,,,,,public,,,,,,,,,,,,
way,703825856,community_centre,,Bürgerhaus Hechtsheim,"POLYGON ((8.2749633 49.9583048, 8.275315 49.9583593, 8.2753995 49.9581323, 8.2750478 49.9580778, 8.2749633 49.9583048))",,,https://www.mainzer-buergerhaeuser.de/buergerhaus-hechtsheim/,Mainz,,6,55129,Am Heuergrund,,,yes,,Mainzer Bürgerhäuser GmbH & Co. KG,,,,,,"[6609158405, 6609158404, 6609158403, 6609158402, 6609158405]",,,,,yes,,,,,public,,,,,,,,,,,,
