element_type,osmid,addr:postcode,amenity,cuisine,name,opening_hours,phone,website,geometry,addr:city,addr:country,addr:housenumber,addr:street,brand,brand:wikidata,brand:wikipedia,diet:vegan,diet:vegetarian,email,indoor_seating,operator,outdoor_seating,smoking,takeaway,wheelchair,fax,url,contact:email,contact:fax,contact:phone,toilets:wheelchair,access:covid19,description:covid19,drive_through:covid19,opening_hours:covid19,takeaway:covid19,check_date:opening_hours,opening_hours:signed,description,wheelchair:description,source,created_by,delivery:covid19,reservation,note,survey:date,check_date,payment:credit_cards,payment:maestro,payment:mastercard,payment:visa,delivery,diet:dairy_free,diet:egg_free,diet:lactose_free,diet:pescetarian,level,tourism,alt_name,diet:gluten_free,changing_table,website:menu,short_name,internet_access,air_conditioning,payment:debit_cards,name:de,phone:mobile,survey_date,toilets,internet_access:fee,payment:cash,opening_days,opening_season,designation,check_date:diet:vegetarian,contact:website,addr:suburb,old_name,diet:halal,check_date:website,disused:website,note:website,addr:housename,capacity,contact:facebook,shop,opening_hours:kitchen,name:en,contact:instagram,name:ja,name:ko,changing_table:location,kids_area,start_date,cash_withdrawal:foreign_cards,payment:contactless,payment:cryptocurrencies,payment:electronic_purses,toilets:access,contact:mobile,diet:meat,fast_food,lunch,lunch:menu:choices,lunch:menu:course:drink,lunch:menu:course:main,lunch:menu:course:soup,lunch:menu:delivery,lunch:menu:price,lunch:menu:takeaway,lunch:saladbar,self_service,bar,nodes,building,building:levels,indoor,room,layer,note:editor,building:colour,building:material,building:use,roof:shape
node,288413837,55116,restaurant,italian,Da Vito,"Tu-Th,Su 11:30-22:00; Fr,Sa 11:30-22:30",+49 6131 229103,https://www.da-vito-mainz.de/,POINT (8.2761134 49.9961276),Mainz,DE,1,Holzstraße,,,,no,yes,info@da-vito-mainz.de,yes,,yes,no,,limited,,,,,,no,,,,,,,,,Toilette im UG mit Euroschlüssel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,334365488,55126,restaurant,,Tower One,"We-Sa 12:00-22:00; Su,PH 11:00-21:00",+49 6131 55 45 030,https://www.tower-one.de/,POINT (8.1520375 49.9725438),Mainz,,36,Am Flugplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,343384532,55118,restaurant,regional,Gebert's Weinstuben,"We-Su 11:30-15:00,18:00-24:00",+49 6131 611619,https://www.geberts-weinstuben.de/,POINT (8.2668881 50.0106038),Mainz,DE,94,Frauenlobstraße,,,,,yes,,,,yes,,,no,,,,,,,,,,,,2023-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,356688008,55116,restaurant,regional,Beichtstuhl,Tu-Sa 17:00-23:30,+49 6131 5538111,www.zumbeichtstuhl.com,POINT (8.278636 49.9955244),Mainz,DE,30,Kapuzinerstraße,,,,,,zumbeichtstuhl@gmail.com,,,yes,no,,limited,,,,,,,,,,,,2021-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,423444301,55116,restaurant,steak_house,El Chico,Mo-Su 18:00-23:00,+49-6131-238440,,POINT (8.2682056 49.9986834),Mainz,,1,Kötherhofstraße,,,,no,yes,,,,,,,limited,,,,,,,,,,,,,,,,local_knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,435381510,,restaurant,regional,Schinderhannes,"Mo-Su,PH 17:00-23:00",,,POINT (8.2767193 49.9965476),,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,Potlatch 0.10f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,435381513,55116,restaurant,regional,Weinhaus Michel,Mo-Sa 16:00+,+49 6131 233283,https://www.michel-wein.de,POINT (8.2765421 49.995302),Mainz,DE,8,Jakobsbergstraße,,,,,,info@michel-wein.de,,,yes,outside,,no,,,,,,no,,,,,,,,,,,,Bestellungen online,recommended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,436389799,55116,restaurant,regional,Bergschön,Tu-Fr 17:00-22:00; Sa 12:00-22:00; Su 17:00-22:00,+49 6131 2504600,http://mein-bergschön.de,POINT (8.2732688 49.9972894),Mainz,DE,21,Kirschgarten,,,,no,yes,,,,yes,outside,no,no,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,436389800,55116,restaurant,indian,eatDOORI,,+49 6131 2181970,https://www.eatdoori-mainz.de/,POINT (8.2740148 49.9974185),Mainz,DE,54-56,Augustinerstraße,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,447063714,,restaurant,,Cafeteria des MPI,,,,POINT (8.2299197 49.9891189),,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,frei zugänglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,454401119,,restaurant,italian,Zum Laubenheimer Ried - Da Giovanni,,,,POINT (8.3235631 49.9580421),,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,464135639,,restaurant,,HS Mensa,,,,POINT (8.279483 49.9971766),,,,,,,,,,,,,,no,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,482633366,55128,restaurant,greek,Restaurant Plaka,"Mo-Sa 11:30-14:30, 17:00-24:00; Su 11:30-21:00",+49 6131 335915,https://www.restaurantplakamainz.de/,POINT (8.243875 49.9878671),Mainz,DE,19,Albert-Schweitzer-Straße,,,,no,yes,,,,,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,507095721,55128,restaurant,italian,Pizzeria da Luigi,"Mo, We-Su 17:00-22:00",,,POINT (8.2443187 49.9823072),Mainz,DE,10,Rathausstraße,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,2021-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,541419303,,restaurant,asian,Asia Wok,"Mo-Su,PH 11:30-22:00",,,POINT (8.2479806 50.0009487),,,,,,,,,,,yes,,yes,,,yes,,,,,,,,,,,,2023-04-04,,,,,,,,früher war hier: Mama Kim,,2022-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,541421527,,restaurant,noodle;sushi,Nudel- und Sushibar Hai Phan,"Tu-Fr 11:30-15:00,17:00-22:00; Sa,Su 12:00-22:00",,,POINT (8.247987 50.0007307),,,,,,,,,yes,,yes,,yes,,,yes,,,,,,,,,,,,,,,,,,,,früher war hier: Khayyam,,2022-04-14,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,557080302,,restaurant,greek,Mainzer Hof,"Sa 17:00-23:00; Su 11:00-23:00; Tu-Fr 11:30-14:00, 17:00-23:00",+49-6131-87381,https://mainzerhof.com/,POINT (8.3127021 49.9609637),,,,,,,,,,,yes,,yes,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,564261627,,restaurant,thai,Thai Country,Mo-Su 11:30-21:00,,,POINT (8.2692928 50.0012513),,,,,,,,yes,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,588134547,55116,restaurant,regional,Zum Goldstein,Mo-Fr 17:00-23:00; Sa-Su 12:00-23:00,+49 6131 236576,https://www.zum-goldstein.de/,POINT (8.2737758 49.9962433),Mainz,DE,3,Kartäuserstraße,,,,,,kontakt@zum-goldstein.de,,,yes,,,no,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,598693903,55116,restaurant,italian,Cubo Negro,"Tu-Th 11:30-24:00, Fr,Sa 11:30-02:00, Su 15:00-22:00; Mo off",+49 6131 237977,http://www.cubonegro.de/,POINT (8.2726138 50.0022138),Mainz,DE,4,Karmeliterplatz,,,,yes,yes,info@cubonegro.de,,,yes,,,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,609179164,,restaurant,german,Augustinerkeller,Mo-Su 12:00-24:00,+49 6131 222662,http://www.augustinerkeller-mainz.de/,POINT (8.2752394 49.9966547),,,,,,,,no,yes,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,631828527,55116,restaurant,regional,Am Holztor,Tu-Fr 17:00-23:00; Sa-Su 16:00-23:00,+49 6131 5547700,http://www.amholztor.de,POINT (8.2801296 49.9976552),Mainz,DE,40,Holzstraße,,,,,,info@amholztor.de,,,yes,outside,,no,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,631830837,55116,restaurant,,Bootshaus,,+49 6131 1438700,http://www.frank-buchholz.de/restaurant/restaurant_bootshaus.html,POINT (8.2882174 49.992109),Mainz,,1,Victor-Hugo-Ufer,,,,,,,,,yes,,,yes,,,,,,yes,,,,,,,,,"Barrierefreier Zugang am Haupteingang, Rolli-WC im 1. OG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,631863525,,restaurant,pizza,Pizza Roma,"Mo-Fr 17:00-23:00, We-Fr 11:00-14:00, Sa 16:00-23:00, PH,Su 11:30-14:30,16:00-23:00",,,POINT (8.3137889 49.9619775),,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,2021-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,660151218,,restaurant,pizza,Yummy Pizza,"Su-Fr 11:00-14:30,17:00-23:00; Sa 17:00-23:00",+49061315888791,https://yummy-pizzeria-mainz.eatbu.com,POINT (8.2981888 49.9804624),,,,,,,,,,,yes,,no,,,,,,,,,,,,,,,,,,,,,,,,2021-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,674960269,55118,restaurant,regional,Hahnenhof,"Mo 17:00+; Tu-We off; Th-Fr 17:00+; Sa 11:30-15:00,17:00+; Su 11:30+",+49 6131 2121150,https://www.hahnenhof-mainz.de/,POINT (8.2632376 50.0086659),Mainz,DE,18,Wallaustraße,,,,,,,,,yes,separated,,limited,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,687274520,55116,restaurant,vietnamese,Noodle Fuison 1990,"Tu-Fr 11:00-14:30,17:00-23:00; Sa,Su 12:00-23:00",+49 6131 9300322,http://noodlefusion-1990.de,POINT (8.27533 49.9981426),Mainz,,18,Grebenstraße,,,,yes,yes,,,,,,,limited,,,,,,,,,,Mo-Th 15:00-22:00; Fr-Su 12:00-22:00,,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,687280433,55116,restaurant,regional,Hof Ehrenfels,"PH,Mo-Su 12:00+",+49 6131 9712340,http://www.hof-ehrenfels.de/,POINT (8.2742011 49.9978613),Mainz,DE,5-7,Grebenstraße,,,,no,yes,info@hof-ehrenfels.de,,,yes,,,no,+49 6131 237910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,687281923,55116,restaurant,,Zur Kanzel,"Su-Fr 17:00-01:00, Sa 12:00-01:00",,http://www.zurkanzel.de/,POINT (8.2740427 49.9977241),Mainz,DE,4,Grebenstraße,,,,,no,,,,,,,no,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,687316548,55130,restaurant,,Restaurant Berghäusl,Tu-Fr 17:00-22:00; Sa 10:00-17:00,+49 6131 6278650,https://restaurant-berghäusl.de/,POINT (8.29367 49.9761497),Mainz,DE,9A,Jakob-Anstatt-Straße,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bistro TSA Mainz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,687316551,,restaurant,german,SVW Stubb,"11:30-14:30, 17:30-23:00",,,POINT (8.2946447 49.9762018),,,,,,,,,,,,,yes,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,696706235,55116,restaurant,japanese,Mosch Mosch,"Mo-Sa 11:00-22:00; Su,PH 12:00-22:00",,https://www.moschmosch.com/,POINT (8.2745164 50.0000241),Mainz,DE,3,Mailandsgasse,,,,,yes,,,,,no,,no,,,,,+49 6131 4807082,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,700974299,,restaurant,,Caleo,Th-Su 16:30-23:00,,https://www.caleo-mainz.de/,POINT (8.2760988 50.0003524),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,700974303,55116,restaurant,asian,Hoi An QT,Tu-Su 12:00-23:45,,,POINT (8.2759562 50.0005584),,,53,Rheinstraße,,,,,,,yes,,yes,,,no,,,,,+49 6131 6192600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,730523058,55127,restaurant,italian,Zum Mainzer Bierkrug,"Mo-Su 11:30-14:00,17:00-23:00",+49 6131 7505,,POINT (8.1999338 49.9597281),Mainz,,21,Regerstraße,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,730523083,55127,restaurant,asian,Ming Garden,Mo-Su 11:00-22:00,+49 6131 331572,,POINT (8.2007776 49.9597409),Mainz,,29,Hindemithstraße,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,735748358,55124,restaurant,indian,Maharaja Palace,"Tu-Su 12:00-14:30, 18:00-23:00; PH, Mo 18:00-23:00",+49 6131 43678,https://www.maharajapalace.de/,POINT (8.2094936 50.0024566),,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,739244751,,restaurant,sushi,Zenbi,"Mo-Fr 12:00-22:00; Sa,Su 11:30-22:30",+49 (0) 6131 606 264 8,https://zenbi-mainz.de/,POINT (8.2760051 49.9995789),,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,739254470,55116,restaurant,italian,Bistrorante l'Angolo,Mo-Sa 11:00-24:00; Su 12:00-24:00,+49 6131 231737,http://www.l-angolo.de,POINT (8.2758676 49.9962382),Mainz,DE,8,Augustinerstraße,,,,no,yes,info@l-angolo.de,yes,,yes,,,limited,,,,,,,,,,,,2021-12-28,,,keine behindertengerechte Toilette vorhanden,,,,,,,2022-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,775594078,55118,restaurant,vietnamese,Hà Nôi,"Mo-Fr 11:30-15:00,17:30-23:30; Sa,Su 17:30-23:30",,,POINT (8.2591643 50.0073685),Mainz,,46,Leibnizstraße,,,,,,,,,,,,limited,,,,,+49 6131 6932395,,,,,,,2021-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,775595794,55118,restaurant,regional;schnitzel;wine,Weinhaus Kurfürst,"Mo,Tu off; We-Sa 17:00-22:00; PH,Su 17:00-22:00",+49 6131 6299539,,POINT (8.2603287 50.0071986),Mainz,DE,33,Kurfürstenstraße,,,,no,yes,,,,yes,outside,,limited,,,,,,no,,,,,,2023-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,844775628,,restaurant,german,Zum goldenen Adler,"Tu-Sa 17:00-23:00; Su 11:30-14:30,17:00-22:00",+49 (0)6131 3079585,https://zum-goldenen-adler.online,POINT (8.2072937 49.9990053),,,,,,,,,,,,,,,,,,,,,,,,,,Tu-Su 12:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,https://zum-goldenen-adler.online/speisekarte/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,844777395,55124,restaurant,,Buchholz,We-Su 18:00+,+49 6131 9712890,http://www.frank-buchholz.de/restaurant/restaurant_buchholz.html,POINT (8.2081989 49.9984035),,,,,,,,,,frank@frank-buchholz.de,,,,,,limited,+49 6131 9713675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
