element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,denomination,name,phone,religion,service_times,website,wheelchair,geometry,created_by,building,wikidata,wikipedia,alt_name,start_date,source,note,addr:housename,baby_feeding,email,old_name,toilets:wheelchair,level,description,inscription,memorial,opening_hours,nodes,building:architecture,deanery,diocese,heritage,heritage:operator,historic,name:de,name:es,year_of_construction,building:colour,building:levels,height,roof:colour,roof:levels,roof:material,roof:shape,image,architect,architect:wikidata,building:material,fixme,parish,source:heritage,wikimedia_commons,name:fr,short_name,wheelchair:description,roof:orientation,name:en,contact:phone,contact:website,loc_name,roof:height,building:architect,operator,addr:suburb,designation,url,fax,language:it,source_date,air_conditioning,alt_name_1,alt_name_2,name:it,name:pl,internet_access,landuse,name:tr,name:ar,operator:website,name:etymology:wikidata,denomination:de,name:mk,place_of_worship:type,ways,name:ro,type
way,24317220,Mainz,DE,3,55116,Petersstraße,place_of_worship,roman_catholic,Sankt Peter,,christian,,,limited,"POLYGON ((8.2697355 50.0044964, 8.2696541 50.0045375, 8.269601 50.0045644, 8.2695363 50.0045964, 8.2694546 50.0046378, 8.2695162 50.0046887, 8.2698361 50.0049479, 8.2698971 50.0049168, 8.2699933 50.004931, 8.2700715 50.0048926, 8.2700697 50.0048288, 8.2701194 50.0048035, 8.2699472 50.0046639, 8.2697995 50.0045442, 8.2697355 50.0044964))",,church,Q883791,de:St. Peter (Mainz),,1757,,,,,,,,,,,,,"[263675946, 2169039352, 1673653565, 2169039401, 263675947, 2169039445, 263675948, 936486241, 936486234, 936486243, 936486245, 263675949, 1673653569, 2169039364, 263675946]",baroque,Dekanat Mainz-Stadt,Bistum Mainz,4,gdke,,Sankt Peter,,1749 - 1756,#b9817b,,,,,slate,,,Johann Valentin Thoman,Q1696471,,,,,,Église Saint-Pierre,St. Peter,Rollstuhlrampe befindet sich am Seiteneingang (Petersstr.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24334433,Mainz,,1,55131,Zitadellenweg,place_of_worship,protestant,Lutherkirche,,christian,,https://luthergemeinde-mainz.ekhn.de/,no,"POLYGON ((8.2774648 49.9925818, 8.2777032 49.9926961, 8.2778041 49.9927444, 8.277861 49.9926953, 8.2778328 49.9926818, 8.2779014 49.9926226, 8.2779155 49.9926293, 8.2779297 49.9926361, 8.2779804 49.9925924, 8.2779662 49.9925856, 8.277641 49.9924298, 8.2774648 49.9925818))",,church,Q1460198,de:Lutherkirche (Mainz),,1949,,,,,,,,,,,,,"[263985370, 5843298238, 263985371, 5830695827, 5830695828, 5830695829, 6450347777, 5830695830, 263985372, 6450347774, 263985373, 263985370]",,Dekanat Mainz,Evangelische Kirche in Hessen und Nassau,4,gdke,,,,,,1,,,2,roof_tiles,gabled,https://commons.wikimedia.org/wiki/Category:Lutherkirche_(Mainz)#/media/File:Evangelische_Lutherkirche_Wilhelmiterstra%C3%9Fe_17.JPG,Otto Bartning,Q62322,sandstone,,Evangelische Luthergemeinde Mainz,http://www.denkmallisten.gdke-rlp.de/Mainz.pdf,Category:Lutherkirche (Mainz),,,,along,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24344842,Mainz,DE,8,55116,Christofsstraße,place_of_worship,roman_catholic,St. Christoph,,christian,,https://www.mainz.de/tourismus/sehenswertes/st.-christoph.php,yes,"POLYGON ((8.2719048 50.0018874, 8.2718805 50.0019276, 8.2721476 50.0019944, 8.2721419 50.0020037, 8.2722025 50.0020188, 8.2722417 50.0020286, 8.2722693 50.0019831, 8.2723279 50.0019978, 8.2723945 50.0019972, 8.2724185 50.0019798, 8.2724175 50.0019574, 8.2723748 50.001925, 8.2723165 50.0019104, 8.272339 50.0018731, 8.2722329 50.0018467, 8.2722272 50.0018561, 8.2719596 50.0017894, 8.271938 50.0018252, 8.2719231 50.0018215, 8.2718861 50.0018827, 8.2719048 50.0018874))",,church,Q871057,de:St. Christoph (Mainz),,1280,local_knowledge,,,,,,,,,,,,"[6449955269, 264098966, 1156300235, 1156300215, 7192741727, 1156300223, 1156300208, 264098967, 6449955265, 6449955263, 6449955264, 1156300213, 1156300221, 1156300233, 6175354730, 1156300224, 264098965, 6449955266, 6449955267, 6449955268, 6449955269]",,,,4,gdke,,St. Christoph,,,,,,,,,,"https://commons.wikimedia.org/wiki/File:St._Christoph_in_Mainz,_Innenansicht,_2018.JPG",,,,,,http://www.denkmallisten.gdke-rlp.de/Mainz.pdf,Category:St. Christoph (Mainz),Église Saint-Christophe,,,,St. Christoph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24350293,Mainz,DE,,55116,Kapuzinerstraße,place_of_worship,roman_catholic,St. Ignaz,,christian,,,yes,"POLYGON ((8.2777064 49.9958488, 8.2779233 49.9959525, 8.277914 49.9959629, 8.2779116 49.9959726, 8.2779143 49.9959803, 8.2779195 49.9959877, 8.2779057 49.9960006, 8.2780465 49.9960656, 8.2780658 49.9960489, 8.2780861 49.9960491, 8.2781035 49.9960458, 8.2781136 49.9960422, 8.2781238 49.9960366, 8.2782331 49.9960887, 8.2782464 49.9960819, 8.2782601 49.996079, 8.2782695 49.996078, 8.2782806 49.9960795, 8.2783754 49.9961239, 8.2783932 49.9961222, 8.2784705 49.9960557, 8.2784657 49.9960418, 8.2783676 49.9959943, 8.2783665 49.9959867, 8.2783683 49.9959766, 8.278377 49.9959664, 8.278263 49.9959134, 8.2782655 49.9958765, 8.2782832 49.9958618, 8.2781441 49.9957969, 8.2781263 49.9958135, 8.2780942 49.9958203, 8.2778616 49.9957169, 8.2777064 49.9958488))",,church,Q879179,de:St. Ignaz (Mainz),,1775,,,,,,,,,,,,,"[264153329, 264153330, 6175354986, 6175354987, 6175354988, 6175354989, 264153331, 264153332, 6175354993, 6175354992, 6175354991, 6175354990, 264153333, 1156152904, 6175354723, 6175354995, 6175354994, 1156152978, 264153334, 6175354724, 6175354725, 264153335, 1156153026, 6175354727, 6175354726, 1156152946, 264153336, 6175354728, 264153337, 264153338, 6175354729, 264153339, 264153340, 264153329]",classicism;rococo,Dekanat Mainz-Stadt,Bistum Mainz,yes,,,,,1763 - 1775,,,,,,,,,Johann Peter Jäger,Q1695793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24356340,Mainz,DE,40,55116,Augustinerstraße,place_of_worship,roman_catholic,Augustinerkirche,,christian,Th[1] 17:30-18:00,,yes,"POLYGON ((8.2744874 49.9971097, 8.2744895 49.997111, 8.2746365 49.9972125, 8.2747613 49.9972986, 8.274788 49.997294, 8.2748108 49.9972924, 8.2748245 49.997295, 8.2749177 49.9973597, 8.2749567 49.9973759, 8.2749942 49.9973775, 8.2750335 49.9973687, 8.2750668 49.9973438, 8.2750745 49.9973078, 8.2750619 49.9972858, 8.2749627 49.9972147, 8.2749626 49.9971988, 8.2749762 49.9971706, 8.274911 49.9971288, 8.2748419 49.9970809, 8.2746968 49.9969824, 8.274601 49.9970367, 8.2744874 49.9971097))",,church,Q76886,de:Augustinerkirche (Mainz),,,,,,,,,,,,,,Mo-Sa 09:00-17:00,"[264218978, 1616202261, 4578252250, 860549821, 1616172422, 1616172421, 860549764, 264218979, 1156285649, 1156285640, 1156285667, 1156285680, 1156285662, 264218980, 1369811005, 860549769, 860549787, 1369810942, 1369811004, 264218981, 1616172401, 264218978]",baroque;rococo,Dekanat Mainz-Stadt,Bistum Mainz,yes,,,Augustinerkirche,Iglesia de San Agustín,1768 - 1771,,,,,,,,,,,,,,,,Église Saint-Augustin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24400094,Mainz,DE,78,55118,Josefsstraße,place_of_worship,roman_catholic,St. Joseph,,christian,,,,"POLYGON ((8.2628493 50.0098043, 8.2628052 50.0098283, 8.2627551 50.0098682, 8.2626851 50.0099238, 8.262669 50.0099399, 8.2625867 50.0100226, 8.2626949 50.0101007, 8.2628901 50.0100348, 8.2630227 50.009969, 8.2631221 50.0098826, 8.2631375 50.0098476, 8.263124 50.0098138, 8.2630963 50.0097821, 8.2630487 50.009764, 8.2630773 50.0097363, 8.2629999 50.0096735, 8.2629681 50.0096777, 8.2628139 50.0095774, 8.2627712 50.0095765, 8.2627709 50.0095809, 8.2627155 50.0096074, 8.2626996 50.0095935, 8.2626403 50.009623, 8.2626548 50.0096346, 8.2626284 50.0096669, 8.2626428 50.0096721, 8.2626428 50.0097058, 8.2626248 50.0097067, 8.2626356 50.0097446, 8.2626598 50.0097441, 8.2626902 50.0097727, 8.26268 50.0097806, 8.2627414 50.0098036, 8.2628058 50.0098102, 8.2628493 50.0098043))",,church,Q15848543,,,,,,,,,,,,,,,,"[2461351122, 264840962, 2461351128, 2141930138, 2461351134, 264840954, 264840955, 264840956, 264840957, 2141930136, 2141930131, 264840958, 264840959, 2461351110, 2461351104, 2461351090, 2461351092, 2461351076, 2461351075, 2461351077, 2461351081, 2461351080, 2461351082, 2461351084, 2461351088, 2461351089, 2461351096, 2461351097, 2461351108, 2461351107, 2461351113, 2461351115, 2461351121, 2461351123, 2461351122]",,,,,,,,,,brown,,,,,,flat,,,,,,,,,,,,,,+49 6131 611451,http://www.bistummainz.de/pfarreien/dekanat-mainz-stadt/pvpg/pv_mzneu/stjoseph/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24400099,Mainz,DE,30,55118,Moselstraße,place_of_worship,roman_catholic,Liebfrauenkirche,+49 6131 677502,christian,,,yes,"POLYGON ((8.252546 50.0141372, 8.2524062 50.0140894, 8.2523653 50.014118, 8.2523194 50.0141571, 8.2522931 50.0141916, 8.2522834 50.0142314, 8.2522918 50.0142655, 8.2523086 50.014303, 8.2523371 50.0143294, 8.2522937 50.0143513, 8.2524186 50.0144481, 8.2525977 50.0143665, 8.2526834 50.0143267, 8.2526541 50.0142725, 8.25267 50.014254, 8.2526784 50.0142355, 8.2526722 50.0142146, 8.2526558 50.0141954, 8.2526888 50.0141392, 8.2526034 50.0141028, 8.252546 50.0141372))",,church,Q1823906,de:Liebfrauen (Mainz),,1966,,,,,,,no,,,,,,"[264841509, 264841510, 6206469183, 6206469182, 6206469181, 6206469180, 6206469179, 6206469178, 6206469177, 264841511, 264841512, 264841515, 264841516, 264841517, 6206469987, 264841518, 6206469988, 6206469986, 6206469985, 6206469184, 264841509]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24448395,,,,,,place_of_worship,catholic,Sankt Stephan,,christian,,http://www.st-stephan.net/,,"POLYGON ((8.2082088 49.9992782, 8.2081717 49.9993608, 8.2082228 49.9993695, 8.2083043 49.9993854, 8.2083239 49.9993442, 8.2083934 49.9993582, 8.208375 49.9994043, 8.2083744 49.9994137, 8.2083779 49.9994223, 8.2083865 49.9994291, 8.208398 49.9994329, 8.2084113 49.9994351, 8.2084228 49.999434, 8.2084349 49.9994297, 8.2084439 49.999422, 8.2084707 49.9993906, 8.2084831 49.9993755, 8.2087186 49.9994217, 8.2088001 49.9994376, 8.208826 49.999383, 8.2088472 49.9993874, 8.2088618 49.999359, 8.2088771 49.9993244, 8.2088554 49.9993204, 8.2088829 49.9992621, 8.2088204 49.99925, 8.2088017 49.9992463, 8.2086206 49.9992126, 8.2085644 49.9992017, 8.208581 49.999168, 8.2085431 49.99916, 8.2085104 49.9991531, 8.2085068 49.999142, 8.2084281 49.9991259, 8.2083461 49.9991099, 8.2082933 49.9990995, 8.2082557 49.9990855, 8.208245 49.9990747, 8.2082084 49.9990656, 8.2081749 49.9990763, 8.2081617 49.9991018, 8.2081708 49.9991116, 8.208142 49.9991679, 8.2080873 49.999183, 8.2080697 49.9992229, 8.2080997 49.9992568, 8.208142 49.9992651, 8.2082088 49.9992782))",,church,,de:Sankt Stephan (Mainz-Gonsenheim),,,,,,,,,,,,,,,"[265719616, 3781904945, 3986731201, 3781904948, 3781904943, 10291275040, 10291275041, 10291275048, 10291275043, 10291275045, 10291275044, 10291275046, 10291275038, 10291275047, 10291275042, 10291275075, 10291275039, 3986731203, 265719617, 3986731202, 10291275033, 3986731199, 10291275034, 3986731198, 265719618, 10291275101, 3986731195, 10291275098, 10291275036, 10291275035, 10291275079, 10291275037, 3781904923, 3781904915, 3986731193, 3781904912, 10291275054, 10291275053, 10291275052, 10291275051, 10291275050, 265719619, 3781904922, 3781904924, 3781904928, 3781904930, 10291275055, 265719616]",,,,,,,,,,#B8A37B,,30,#444444,,slate,,,,,stone,,,,,,,,,,,,Rheinhessendom,10,,,,,,,,,,,,,,,,,,,,,,,,,
way,24461241,Mainz,DE,39,55131,Beuthener Straße,place_of_worship,lutheran,Melanchthonkirche,,christian,,http://www.ev-melanchthongemeinde-mainz.de/gemeinde_7.html,,"POLYGON ((8.2585635 49.9862794, 8.2586592 49.986376, 8.2586725 49.9863705, 8.258798 49.9863191, 8.2588133 49.9863129, 8.2587176 49.9862163, 8.2585635 49.9862794))",,church,,,,1969,,,,,,,,,,,,,"[265879291, 265879293, 5830278624, 5830278627, 265879296, 265879298, 265879291]",,,,,,,,,,,1.3,,,5,concrete,pyramidal,,,,concrete,Höhe geschätzt,,,,,,,,,,,,,Hans-Georg Möller,,,,,,,,,,,,,,,,,,,,,,,,
way,24461268,Mainz,DE,23,55131,Schlesische Straße,place_of_worship,roman_catholic,Heiligkreuzkirche,,christian,,,,"POLYGON ((8.2582946 49.9888754, 8.2581806 49.9889073, 8.2581113 49.9889744, 8.2580994 49.9890455, 8.258124 49.9891045, 8.2581948 49.9891517, 8.25827 49.9891783, 8.2583649 49.98918, 8.2584512 49.9891598, 8.2585107 49.9891292, 8.2584159 49.9890752, 8.2584371 49.9890411, 8.2584368 49.9890035, 8.2584054 49.9889751, 8.2583648 49.9889568, 8.2583212 49.9889509, 8.2582946 49.9888754))",,church,Q1594960,de:Heilig-Kreuz-Kirche (Mainz),,,,,,,,,,,,,,,"[265879722, 265879724, 265879725, 265879726, 265879727, 265879729, 265879730, 265879731, 4445302349, 265879732, 4445302344, 4445302348, 4445302347, 4445302346, 4445302345, 4445302343, 265879722]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31825799,Mainz,DE,21,55129,Römerstraße,place_of_worship,catholic,Sankt Laurentius,,christian,,,,"POLYGON ((8.2434025 49.9131945, 8.2434581 49.9132059, 8.2434765 49.9131685, 8.2435549 49.9131846, 8.243536 49.9132229, 8.2435811 49.9132322, 8.2435021 49.9133929, 8.2435389 49.9134004, 8.243469 49.9135427, 8.2434032 49.9135293, 8.2433717 49.9135934, 8.2432443 49.9135674, 8.2432531 49.9135493, 8.2431895 49.9135363, 8.2432844 49.913343, 8.2433254 49.9133514, 8.2434025 49.9131945))",,church,,,,,,,,,,,,,,,,,"[356322688, 3681863276, 3681863274, 3681863275, 3681863277, 356322689, 3681863280, 3681863281, 3681863283, 356322690, 3681863285, 356322691, 3681863284, 3681863282, 3681863278, 3681863279, 356322688]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,39929242,Mainz,DE,34,55128,Haifa-Allee,place_of_worship,sunni,Barbaros-Moschee,,muslim,,http://www.barbarosmoschee.de/,,"POLYGON ((8.2320061 49.9688344, 8.232016 49.9688286, 8.2320641 49.9688626, 8.2322429 49.9687578, 8.2321056 49.9686609, 8.2320542 49.968691, 8.2319707 49.9686321, 8.2320194 49.9686036, 8.2318476 49.9684823, 8.2316395 49.9686043, 8.2318143 49.9687277, 8.2318676 49.9686965, 8.2319535 49.9687571, 8.2319225 49.9687753, 8.2320061 49.9688344))",,church,,,,,,,,,,,,,,,,,"[479425063, 6203353045, 6203353046, 479425069, 479425079, 479425086, 479425102, 479425108, 479425111, 479425116, 479425122, 479425129, 479425135, 479425142, 479425063]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islamische Gemeinschaft Milli Görüs e.V. (IGMG),,,,,,,,,,,,,,,,,,,,,,,
way,41475986,Mainz,DE,43,55127,Im Borner Grund,place_of_worship,catholic,St. Stephan,,christian,,,no,"POLYGON ((8.2284038 49.9598322, 8.2284858 49.9596415, 8.2284489 49.9596344, 8.2284775 49.9595687, 8.228436 49.9595386, 8.2283673 49.9595271, 8.228296 49.9595412, 8.2281919 49.9597967, 8.2282978 49.9598145, 8.2284038 49.9598322))",,church,Q15129825,de:St. Stephan (Mainz-Marienborn),,1739,,,,,,,,,,,,,"[507463843, 6905118622, 6905118621, 507463853, 6905118620, 6905118619, 507463850, 507463845, 6905118624, 507463843]",baroque,,,4,gdke,,,,1729 - 1739,,,,,,,,,,,,,,,,,,,,,,,,,,,Marienborn,,,,,,,,,,,,,,,,,,,,,,
way,41682226,Mainz,DE,18,55127,Mercatorstraße,place_of_worship,lutheran,Evangelische Kirche Marienborn,,christian,,http://www.evkirche-marienborn.de/,,"POLYGON ((8.2300106 49.9591815, 8.229982 49.9592749, 8.2302112 49.959304, 8.2302793 49.959082, 8.2301477 49.9590653, 8.2301083 49.9591939, 8.2300106 49.9591815))",,church,,,,,,,,,,,,,,,,,"[512561706, 512561710, 512561711, 512561713, 512561717, 512561722, 512561706]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,41815500,Mainz,DE,5,55128,An der Wied,place_of_worship,roman_catholic,St. Georg,,christian,,http://dcms.bistummainz.de/bm/dcms/sites/pfarreien/dekanat-mainz-stadt/pvpg/pg_zay/brzh_georg/kirche.html,,"POLYGON ((8.2428668 49.9827877, 8.242877 49.9827714, 8.2428388 49.9827615, 8.2428938 49.9826734, 8.2429304 49.9826829, 8.2429397 49.982668, 8.2430209 49.982689, 8.2432556 49.9827497, 8.2432764 49.9827164, 8.2433036 49.9827237, 8.2433437 49.9827335, 8.2433645 49.9827392, 8.2433402 49.9827781, 8.2433714 49.9828252, 8.243349 49.9828631, 8.2432886 49.9828798, 8.2431982 49.9828565, 8.2431892 49.9828709, 8.2428668 49.9827877))",,church,,,,,,,,,,,,,,,,,"[516265242, 2481078729, 2481078728, 2481078725, 2481078726, 516265246, 4539125522, 516265250, 516265255, 8213117635, 8213117634, 516265267, 516265271, 516265277, 516265279, 516265283, 7187562256, 7187562257, 516265242]",baroque,,,4,gdke,,,,,,,,,,,,https://commons.wikimedia.org/wiki/File:Mainz_Bretzenheim_St._Georg_20120110.jpg,,,,,,http://www.denkmallisten.gdke-rlp.de/Mainz.pdf,Category:St. Georgkirche (Mainz-Bretzenheim),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,47405112,Mainz,DE,37b,55131,Berliner Straße,place_of_worship,evangelical,Thomaskirche,,christian,,,,"POLYGON ((8.2660528 49.9772498, 8.2661428 49.9771137, 8.2662632 49.9771466, 8.2661732 49.9772827, 8.2661197 49.9772681, 8.2660528 49.9772498))",,yes,,,,,yahoo sat,,,,,,,,,,,,"[603385613, 603385614, 603385616, 603385618, 3325718600, 603385613]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,47405113,Mainz,DE,37a,55131,Berliner Straße,place_of_worship,evangelical,Gemeindehaus Thomasgemeinde,,christian,,,,"POLYGON ((8.2660772 49.9769775, 8.2657566 49.9768965, 8.2656764 49.977007, 8.2657108 49.9770708, 8.2658253 49.9771027, 8.2658683 49.9770905, 8.2659241 49.9770747, 8.2660123 49.9770929, 8.2660772 49.9769775))",,yes,,,,,yahoo sat,,,,,,,,,,,,"[603385620, 603385604, 603385608, 603385610, 603385625, 3325718599, 603385624, 603385622, 603385620]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,60264617,,,,,,place_of_worship,catholic,St. Pankratius,,christian,,,,"POLYGON ((8.2828295 49.9613206, 8.2825445 49.9612919, 8.2825526 49.9612584, 8.2822202 49.9612249, 8.2822528 49.9610906, 8.2825567 49.9611212, 8.2825629 49.9610959, 8.2828765 49.9611275, 8.2828295 49.9613206))",,church,,,,,,,,,,,,,,,,,"[748877759, 748877792, 748877762, 748877767, 748877784, 748877758, 748877770, 748877788, 748877759]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,70485785,Mainz,DE,1,55116,Quintinsstraße,place_of_worship,roman_catholic,St. Quintin,,christian,,,,"POLYGON ((8.2719092 50.0007184, 8.2720095 50.0007288, 8.2720649 50.0007333, 8.2721236 50.0007367, 8.2721231 50.000745, 8.2722709 50.0007489, 8.2723983 50.0007526, 8.2724928 50.0008381, 8.2724351 50.0008611, 8.2724398 50.0008701, 8.2724269 50.0008723, 8.2724186 50.00091, 8.2724306 50.0009156, 8.2724182 50.0009246, 8.2724099 50.0009204, 8.2723584 50.00094, 8.2723614 50.0009469, 8.2723474 50.0009507, 8.2723396 50.0009425, 8.2722273 50.0009322, 8.2722188 50.0009899, 8.2722349 50.0010025, 8.272221 50.0010107, 8.2721978 50.0009922, 8.2720431 50.0009805, 8.2720316 50.0009796, 8.2718707 50.0009671, 8.2719092 50.0007184))",,church,Q72745,de:St. Quintin (Mainz),,,local_knowledge,,,,,,,,,,,,"[840904311, 1782392321, 1782392323, 6175354732, 6175354731, 840904313, 840904287, 1782392334, 840904312, 6175354998, 6175354798, 6175354797, 6175354795, 6175354796, 6175354996, 5519035882, 6175354799, 6175354800, 6175354801, 5519035881, 5519035880, 6175354792, 6175354793, 6175354794, 1782392346, 5519035879, 840904310, 840904311]",gothic,Dekanat Mainz-Stadt,Bistum Mainz,yes,,,St. Quintin,,,,,,,,,,,,,,,Pfarrei Dom St. Martin und St. Quintin,,Category:St. Quintin (Mainz),Église Saint-Quentin,,,,,,,,,,,,"Dompfarrei St. Martin, St. Quintin",,,,,,,,,,,,,,,,,,,,,
way,73559934,Mainz,DE,19-21,55128,Hans-Böckler-Straße,place_of_worship,roman_catholic,Sankt Bernhard,,christian,,http://www.sankt-bernhard-mainz.de/,yes,"POLYGON ((8.2450783 49.9775281, 8.245119 49.9775277, 8.2451603 49.9775272, 8.2451601 49.9775186, 8.2452286 49.9775179, 8.245226 49.9774213, 8.245182 49.9774218, 8.2452146 49.9773701, 8.2448951 49.9772866, 8.2447522 49.9775128, 8.2450404 49.9775881, 8.2450501 49.9775728, 8.2450783 49.9775281))",,yes,,,,,,,,,,,,,,,,,"[1995148383, 2561241988, 2561241965, 2561241961, 10171278946, 2561241885, 2561241889, 871927554, 871927562, 871927579, 2561242015, 2561242005, 1995148383]",,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/File:St._Bernhard_(Mainz).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,80239283,Mainz,,8,55116,Neubrunnenstraße,place_of_worship,,Yoga Vidya Mainz,,Yoga_und_Spiritualität,,https://www.yoga-vidya.de/center/mainz/start/,,"POLYGON ((8.2643418 50.0030403, 8.2644122 50.0031179, 8.2643904 50.003126, 8.2644751 50.0032194, 8.2644326 50.0032354, 8.2644619 50.0032677, 8.2643403 50.0033132, 8.2643226 50.0032937, 8.2642707 50.0033132, 8.2642548 50.0032957, 8.2641994 50.0033165, 8.2641321 50.0032423, 8.2640978 50.0032552, 8.2640143 50.0031631, 8.2643418 50.0030403))",,yes,,,,,,,,,,,,,,,,,"[936459592, 936459457, 936459700, 936459550, 936459388, 936459643, 936459483, 936459718, 936459575, 936459417, 936459663, 936459522, 936459735, 936459600, 936459592]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100010435,Mainz,DE,,55116,,place_of_worship,protestant,St. Johannis,,christian,,https://ska-johannis-mainz.ekhn.de/startseite/geschichte.html,,"POLYGON ((8.2721419 49.9984179, 8.2721314 49.9984314, 8.2720913 49.9984828, 8.2724629 49.9986023, 8.2725112 49.9985402, 8.2726405 49.9985831, 8.2727461 49.9984513, 8.2726413 49.9984166, 8.2726136 49.9984074, 8.272661 49.9983446, 8.2722897 49.9982288, 8.2722466 49.9982859, 8.2722356 49.9983, 8.2721006 49.9982572, 8.2720472 49.9983267, 8.2720193 49.9983631, 8.2720922 49.9983863, 8.2721519 49.9984052, 8.2721419 49.9984179))",,church,Q1415719,de:St. Johannis (Mainz),Johanniskirche / Aldeduom (Alter Dom),0910,,Seit der Weihe im Jahr 910 diverse Male umgebaut.,,,,,,,,,,,"[1156296693, 5819900336, 1156296674, 1156296679, 1156296675, 264219434, 264219435, 5819900347, 264219436, 264219437, 264219438, 2180597978, 264219439, 264219440, 1156296665, 264219433, 1156296691, 1156296687, 1156296693]",,Dekanat Mainz,Evangelische Kirche in Hessen und Nassau,yes,,yes,,,,white,,,,,slate,,https://commons.wikimedia.org/wiki/File:Johanniskirche_in_Mainz.jpg,,,,,Evangelische St. Johanniskirchengemeinde,,Category:St. Johanniskirche (Mainz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,107248310,Mainz,DE,25,55116,Münsterstraße,place_of_worship,protestant,Altmünsterkirche,,christian,,https://altmuenster-mainz.ekhn.de/startseite.html,no,"POLYGON ((8.2627075 49.998632, 8.2629024 49.9985877, 8.2629374 49.9986514, 8.2629704 49.9987115, 8.2630013 49.9987675, 8.2630302 49.9988201, 8.2630603 49.9988749, 8.2630873 49.9989239, 8.2631073 49.9989194, 8.2631314 49.9989631, 8.2630676 49.9989776, 8.2629604 49.999002, 8.2628927 49.9990174, 8.2628776 49.99899, 8.2628687 49.9989738, 8.2628924 49.9989684, 8.2628816 49.9989487, 8.2628654 49.9989192, 8.2628534 49.9988974, 8.2628352 49.9988644, 8.2628063 49.9988118, 8.2627755 49.9987557, 8.2627425 49.9986957, 8.2627075 49.998632))",,church,Q442975,de:Altmünsterkirche (Mainz),,,,,,,,,,,,,,,"[1233009670, 1233009676, 2163368040, 2163368042, 2163368044, 2163368046, 2163368048, 2135448467, 2135448461, 1233009673, 2163368052, 2163368055, 1233009675, 2135448486, 2135448480, 2135448478, 2135448469, 2163368049, 2135448459, 2163368047, 2163368045, 2163368043, 2163368041, 1233009670]",,Dekanat Mainz,Evangelische Kirche in Hessen und Nassau,,,,,,,white,,28,grey,,copper,flat,https://commons.wikimedia.org/wiki/File:Altm%C3%BCnsterkirche_Mainz.JPG,,,,,Altmünstergemeinde Mainz,,Category:Altmünsterkirche (Mainz),,,,,,,,,,,,,,http://www.altmuenster.de,,,,,,,,,,,,,,,,,,,,
way,114110608,Mainz,DE,2,55122,Im Münchfeld,place_of_worship,protestant,Emmausgemeinde,+49 6131 31907,christian,,,,"POLYGON ((8.2317781 49.9957441, 8.231591 49.9958891, 8.2317209 49.9959588, 8.231908 49.9958137, 8.2317781 49.9957441))",,yes,,,,,,,,,emmaus-mainz@t-online.de,,,,,,,,"[1293147432, 1293147667, 1293147795, 1293147501, 1293147432]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+49 6131 9314845,,,,,,,,,,,,,,,,,,,
