element_type,osmid,geometry,barrier,amenity,check_date:opening_hours,education,name,office,opening_hours:signed,website,wikidata,wikipedia,addr:city,addr:postcode,addr:street,alt_name,operator,addr:housenumber,isced:level,operator:type,ref,school:de,building,wheelchair,nodes,Gesamtschule,addr:country,phone,building:levels,roof:levels,roof:shape,url,email,fax,opening_hours,description,fixme,note,school,denomination,religion,toilets:wheelchair,name:etymology:wikidata,addr:suburb,school:DE,type,loc_name,old_name,short_name,landuse,start_date,designation,source,addr:housename,level,school:type,ways
way,23585375,"POLYGON ((8.24502 50.0060217, 8.2453566 50.0056496, 8.2452522 50.0056106, 8.2452971 50.0055611, 8.2459207 50.0057941, 8.2460562 50.0056443, 8.2452911 50.0053584, 8.2451573 50.0055063, 8.2452437 50.0055386, 8.2451962 50.0055912, 8.2449438 50.0054969, 8.2446083 50.0058678, 8.2448516 50.0059588, 8.2448998 50.0059768, 8.24502 50.0060217))",,school,,,Berufsbildende Schule III,,,,,,Mainz,55122,Am Judensand,,,8,,,,,school,yes,"[255402993, 2060750768, 2060750766, 255402994, 255402997, 255402998, 255402999, 255403000, 2060750762, 2060750764, 255403001, 255403002, 2060750770, 2060750772, 255402993]",,,+49 6131 906070,5,0,flat,http://www.bbs3-mz.de,,,,,,,,,,,,,,,,,,,,,,,,,
way,23600426,"POLYGON ((8.2171432 50.0215959, 8.2171767 50.0222171, 8.2171073 50.0222246, 8.2151236 50.0224385, 8.2148755 50.0206299, 8.2158661 50.0203805, 8.216426 50.0203058, 8.2164334 50.0204143, 8.217071 50.0206489, 8.2171432 50.0215959))",,school,,,Lemmchenschule Mainz Mombach,,,http://www.lemmchenschule-mainz-mombach.de,,,Mainz,55120,Am Lemmchen,,Stadt Mainz,48,1,public,11259,Grundschule,,yes,"[255586496, 1243769486, 5330140134, 807711892, 807711890, 1243769503, 1243769588, 933914108, 925549974, 255586496]",,,+49-6131-968154,,,,,schule.gs-amlemmchen@stadt.mainz.de,+49-6131-968156,Mo-Th 07:30-16:00; Fr 07:30-13:30,,,,,,,,,,,,,,,,,,,,,,
way,24317632,"POLYGON ((8.26238 50.0054762, 8.2618975 50.0049548, 8.2618657 50.0049679, 8.261735 50.0050189, 8.2616417 50.0050546, 8.2612504 50.0052216, 8.2610926 50.0052821, 8.2609956 50.0053234, 8.2612061 50.0055577, 8.2612118 50.005564, 8.2614339 50.0058134, 8.2615075 50.0057865, 8.262067 50.0055935, 8.26238 50.0054762))",,school,,,Anne-Frank-Realschule plus,,,https://www.afr-mainz.de/,,,Mainz,55118,Adam-Karrillon-Straße,,Stadt Mainz,9,2,public,40008,Realschule Plus,,yes,"[1779408758, 263679922, 1779408671, 1779408674, 1779408687, 1779408710, 1779408719, 263679923, 1779408785, 263679924, 1779408847, 1779408844, 1779408791, 1779408758]",,,,,,,,,,,de:Orientierungsstufe der Anna-Seghers-Realschule plus (Rest am Hauptstandort Petersplatz),gemeinsame Grenze der beiden Schulgelände zu überprüfen,ehemals Hauptschule Mainz-Neustadt II Schillerschule,secondary,,,,,,,,,,,,,,,,,,
way,24379316,"POLYGON ((8.2695728 49.9956708, 8.2696039 49.9957868, 8.2695179 49.9959738, 8.2696563 49.9960702, 8.2697909 49.9961395, 8.2704854 49.996456, 8.2705057 49.9964415, 8.2705733 49.9963527, 8.2707304 49.9962518, 8.2706794 49.9962254, 8.2706976 49.9962102, 8.2707007 49.9962121, 8.270796 49.9961454, 8.2708321 49.9961257, 8.2708494 49.9961162, 8.2705268 49.9958776, 8.2702507 49.9956876, 8.2698525 49.9954611, 8.2696084 49.9956441, 8.2695728 49.9956708))",,school,,,Bischöfliches Willigis-Gymnasium und Willigis-Realschule,,,,Q866265,,Mainz,55116,Willigisplatz,,Bistum Mainz,2,2;3,private,50030,Gymnasium,,limited,"[264522696, 264522697, 264522701, 264522702, 5356302120, 264522703, 5356304821, 5356304822, 5356304823, 5356304824, 5356304825, 5356304826, 264522704, 5356304836, 264522705, 264522706, 264522707, 264522708, 4728576530, 264522696]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24379379,"POLYGON ((8.2692183 49.9975372, 8.2693921 49.9974836, 8.2696292 49.9974106, 8.269826 49.997314, 8.2700378 49.9972119, 8.2700554 49.9972136, 8.2700586 49.9971951, 8.2700425 49.9971925, 8.2699807 49.9971225, 8.2698325 49.9969356, 8.2697443 49.9968309, 8.2694451 49.9965249, 8.2692164 49.9963296, 8.2691974 49.9963138, 8.269179 49.9962983, 8.2691629 49.9962849, 8.2690626 49.9961976, 8.2689694 49.9961676, 8.2687629 49.9961119, 8.2686568 49.9961726, 8.2685544 49.9962132, 8.2685101 49.9962265, 8.2684453 49.9962613, 8.2685024 49.9963377, 8.2684107 49.9963673, 8.2684611 49.9964333, 8.268419 49.9964475, 8.2684746 49.9965209, 8.2684805 49.9965192, 8.268499 49.9965447, 8.2684952 49.9965457, 8.2685527 49.9966222, 8.2685536 49.996624, 8.2685085 49.9966367, 8.2685105 49.9966397, 8.2685486 49.996697, 8.2685385 49.9967003, 8.2685491 49.9967073, 8.2685635 49.9967309, 8.2685957 49.9967869, 8.2687469 49.9969417, 8.2687504 49.9969407, 8.2688188 49.9970233, 8.2688208 49.9970258, 8.2688919 49.9970464, 8.268946 49.9970624, 8.2689765 49.9970975, 8.2689468 49.9971055, 8.2689377 49.9971018, 8.2688502 49.9971303, 8.2691024 49.9974101, 8.2691183 49.9974278, 8.2691217 49.9974316, 8.2692183 49.9975372))",,school,,,Maria-Ward-Schule,,,https://www.mws-mainz.de/WB/,Q30016623,,Mainz,55116,Ballplatz,,Stiftung Maria Ward-Schule,3,2;3,private,50090,Gymnasium,,limited,"[264524003, 1622765860, 1622765744, 1622765687, 1622765624, 1622765630, 1622765594, 264524004, 2130605635, 1622765255, 1622765211, 1622765140, 264524006, 2130605396, 2130605391, 1622764953, 1622764927, 264524007, 264524008, 264524009, 1622764944, 2130605372, 264524010, 2130605403, 2130605410, 2130605437, 2130605439, 2130605457, 2130605456, 2130605463, 2130605464, 2130605476, 2130605477, 1622765181, 2130605478, 2130605492, 2130605494, 2130605496, 2130605506, 2130605526, 1622765286, 2130605577, 1622765387, 2130605597, 2130605609, 264524011, 2130605630, 2130605633, 2130605632, 264524012, 2130605648, 1622765790, 2130605651, 264524003]",,,,,,,,,,,,,,,roman_catholic,christian,yes,,,,,,,,,,,,,,,
way,24461164,"POLYGON ((8.2637667 49.9883467, 8.263053 49.9886374, 8.2628605 49.9887206, 8.2622066 49.9890025, 8.263314 49.9900493, 8.2635781 49.9899399, 8.2636279 49.989988, 8.2637687 49.9899236, 8.263845 49.9898935, 8.2648786 49.9894561, 8.2637667 49.9883467))",,school,,,Gutenberg-Gymnasium,,,www.gutenberg-gymnasium.bildung-rp.de,Q1557152,de:Gutenberg-Gymnasium (Mainz),Mainz,55131,An der Philippsschanze,,Stadt Mainz,5,2;3,public,50507,Gymnasium,,yes,"[1204826160, 1204826204, 2133420178, 265877982, 265877983, 5343032325, 6483461923, 1204826102, 6483461922, 265877984, 1204826160]",,DE,,,,,,,,,,,,,,,,Q8958,,,,,,,,,,,,,,
way,26358353,"POLYGON ((8.2479936 50.0026637, 8.2479548 50.0029356, 8.2489218 50.0029738, 8.2495189 50.0026872, 8.2495519 50.0026716, 8.2492118 50.0026493, 8.249209 50.0026638, 8.2490355 50.0026514, 8.2491453 50.0019287, 8.2492394 50.0019333, 8.2492598 50.0018285, 8.2490371 50.0018154, 8.2489864 50.0018124, 8.2489108 50.0018079, 8.2489046 50.0018262, 8.2487848 50.0018191, 8.2486699 50.0018115, 8.2486491 50.0018001, 8.2477457 50.0017499, 8.2477149 50.0017488, 8.2476761 50.0017463, 8.2475674 50.0024171, 8.247859 50.0024384, 8.2478304 50.002654, 8.2479936 50.0026637))",,school,,,Dr. Martin-Luther-King-Schule,,,,,,Mainz,55122,John-F.-Kennedy-Straße,,,,,,,,,,"[288784809, 288784811, 288784812, 9526832460, 4103121135, 5439198846, 5439198847, 4103121125, 288784813, 4097579839, 4097579850, 4097579846, 4102969969, 4102969948, 4102969949, 4102969961, 4102969946, 4102969953, 4102969971, 4102969957, 288784506, 288784508, 4103110447, 4103110446, 288784809]",,,,,,,,,,,,,2 verschiedene Schulen auf dem Gelände,,,,,,,,,,,,,,,,,,,
way,27438617,"POLYGON ((8.2855887 49.9838236, 8.2848493 49.9824959, 8.2843813 49.9824757, 8.2840288 49.9825155, 8.2836869 49.9825366, 8.2835929 49.9835456, 8.2841727 49.9840681, 8.2844973 49.9843606, 8.2855887 49.9838236))",,school,,,Theresianum,,,https://www.theresianum-mainz.de/,Q18394108,,Mainz,55131,Oberer Laubenheimer Weg,,Johannesbund e. V.,58,2;3,private,51321,Gymnasium,,limited,"[263987819, 751953133, 7601729982, 9538603938, 751953154, 263988003, 2410579880, 263988002, 263987819]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,31825857,"POLYGON ((8.2448011 49.9146217, 8.2448388 49.9145533, 8.2450027 49.9145907, 8.2449599 49.9146685, 8.2453621 49.9147603, 8.245319 49.9148387, 8.2452019 49.914812, 8.2451287 49.914945, 8.2450116 49.9149183, 8.2450543 49.9148407, 8.2450724 49.9148079, 8.2448608 49.9147596, 8.2448409 49.9147958, 8.2447366 49.914772, 8.2448173 49.9146254, 8.2448011 49.9146217))",,school,,,Grundschule am Feldgarten,,,http://www.grundschule-ebersheim.de,,,Mainz,55129,Feldgartenstraße,,Stadt Mainz,3,1,public,15287,Grundschule,school,yes,"[356322805, 3680317831, 3680317832, 3680317834, 356322807, 356322810, 356322812, 356322813, 356322815, 356322849, 3680317837, 3680317835, 3680317836, 356322851, 3680317833, 356322805]",,DE,+49613643030,,,,,,,,,,,,,,,,Ebersheim,,,,,,,,,,,,,
way,41397669,"POLYGON ((8.2271391 49.958682, 8.2272371 49.9585272, 8.2280926 49.9587508, 8.2280417 49.9588285, 8.2284142 49.9588966, 8.228367 49.9590118, 8.2279815 49.9589543, 8.2279049 49.9591451, 8.2269279 49.959078, 8.2270587 49.9586577, 8.2271391 49.958682))",,school,,,Grundschule Marienborn,,,,,,Mainz,55127,Gottfried-Schwalbach-Straße,,Stadt Mainz,35,1,public,15303,Grundschule,,,"[506295992, 1544886250, 506295993, 1544886272, 506295994, 506295995, 506295996, 506295997, 506295998, 506295999, 506295992]",,,+496131362516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,41814875,"POLYGON ((8.2465301 49.9772897, 8.2465591 49.9773365, 8.2467777 49.9774004, 8.2469126 49.9774387, 8.2475249 49.9776135, 8.2475926 49.9776014, 8.2476237 49.9775607, 8.2482138 49.9777312, 8.2483658 49.9777738, 8.2483162 49.977842, 8.248865 49.9779959, 8.2488977 49.9779984, 8.2489331 49.9779899, 8.248955 49.9779743, 8.2494562 49.9773087, 8.2494541 49.9772827, 8.2498168 49.9767516, 8.2492671 49.9765964, 8.2493774 49.9764519, 8.2491624 49.9763718, 8.2489696 49.9761501, 8.2478347 49.9753778, 8.2468562 49.9768074, 8.2468322 49.976846, 8.2467418 49.9769785, 8.2465301 49.9772897))",,school,,,IGS Mainz Bretzenheim,,,,Q15115437,,Mainz,55128,Hans-Böckler-Straße,,Stadt Mainz,2,2;3,public,70035,Gesamtschule,,yes,"[10173035762, 10173053098, 1485607757, 1485607758, 10173053099, 10173053100, 516245850, 516245854, 871094269, 10173053101, 516245818, 10173035756, 10173035757, 10173035758, 10173035788, 322668976, 322668977, 10173035806, 516245820, 10173035787, 516245821, 516245823, 10173035767, 10173035766, 10173035763, 10173035762]",integriert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,41817120,"POLYGON ((8.2429155 49.979381, 8.2434838 49.9795183, 8.2435237 49.9794521, 8.2435872 49.9793513, 8.2437557 49.9790921, 8.2438103 49.9790088, 8.2438971 49.9788733, 8.2439561 49.9787813, 8.243977 49.9787541, 8.2440294 49.9786671, 8.2440586 49.9786275, 8.2443268 49.9786951, 8.2444695 49.9784238, 8.2446185 49.9781864, 8.2437082 49.9779759, 8.2436646 49.9779669, 8.2432917 49.9785282, 8.2432628 49.9785722, 8.2432325 49.9786249, 8.2432109 49.9786587, 8.2431421 49.9787608, 8.2431035 49.9788267, 8.2432318 49.9788559, 8.2432041 49.9789002, 8.2431772 49.9789404, 8.2431187 49.979038, 8.2429155 49.979381))",,school,,,Heinrich-Mumbächer-Grundschule,,,http://hms.bildung-rp.de/,,,Mainz,55128,Essenheimer Straße,,Stadt Mainz,40,1,public,15260,Grundschule,,yes,"[516313733, 516313738, 5339535874, 5339535875, 7013698303, 5339535878, 2561154861, 539692700, 5339535880, 5339535879, 516313741, 516313742, 10126707621, 516313744, 10126707622, 516313746, 2561154676, 2561154701, 2561154717, 2561154730, 2561154778, 2561154844, 2561154868, 251512475, 539693360, 539693354, 516313733]",,,+496131361074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,42127665,"POLYGON ((8.2972165 49.9797752, 8.297462 49.9800303, 8.2975961 49.9799792, 8.2977818 49.9801177, 8.297912 49.9802774, 8.2980363 49.9802661, 8.2981356 49.9802946, 8.2982193 49.9802156, 8.2983929 49.9801077, 8.2981766 49.979955, 8.298091 49.979897, 8.2977745 49.9796843, 8.2977412 49.9796577, 8.2976084 49.9795661, 8.2975706 49.9795865, 8.2972165 49.9797752))",,school,,,Grundschule Schillerschule,,,,,,,,,,,,,,,,,yes,"[523827758, 525520492, 1931806607, 1921561479, 1921561482, 1931806623, 523827764, 525520479, 523827766, 525520475, 687316555, 525520473, 525520482, 523827768, 525520491, 523827758]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,42201541,"POLYGON ((8.2975962 49.9797938, 8.2977745 49.9796843, 8.298091 49.979897, 8.2981766 49.979955, 8.2979983 49.9800645, 8.2975962 49.9797938))",,school,,,Schillerschule,,,http://schiller.bildung-rp.de/,,,Mainz,55130,Portlandstraße,,Stadt Mainz,26,1,public,18246,Grundschule,school,yes,"[525520471, 525520473, 687316555, 525520475, 525520477, 525520471]",,,+496131833298,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,42201543,"POLYGON ((8.2950177 49.9796988, 8.2947705 49.9796103, 8.2946907 49.9795816, 8.2946448 49.9795651, 8.2932902 49.9790777, 8.2934164 49.9789088, 8.2938056 49.9784844, 8.2938807 49.9785189, 8.2945031 49.9786984, 8.2946042 49.9787275, 8.2949907 49.9788613, 8.2951998 49.9789245, 8.2950233 49.9791518, 8.2946867 49.9793561, 8.2949352 49.9795031, 8.2951269 49.9796239, 8.2950177 49.9796988))",,school,,,Ehemalige Friedrich-Ebert-Schule,,,,,,,,,,,,,,,,,yes,"[525520494, 525520501, 7878879592, 7878879591, 525520495, 525520517, 525520496, 5645447207, 5645447210, 525520507, 525520506, 525520497, 525520498, 525520499, 525520502, 525520500, 525520494]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,45823609,"POLYGON ((8.2698368 50.0081826, 8.2697149 50.0082939, 8.2695532 50.0082207, 8.269675 50.0081094, 8.2698368 50.0081826))",,school,,,Steinhöfelschule private Wirtschaftsschule,,,https://www.steinhoefelschule.de/,Q66667643,,Mainz,55116,Rheinallee,,,3,,private,,,yes,,"[583265147, 583265149, 583265150, 583265148, 583265147]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,47402326,"POLYGON ((8.2650936 49.9772551, 8.2657475 49.9763109, 8.2635707 49.9763481, 8.2637 49.9771686, 8.2646447 49.9771413, 8.2650936 49.9772551))",,school,,,Windmühlenschule,,,,,,Mainz,55129,Generaloberst-Beck-Straße,,Stadt Mainz,1,1;2,public,30979,Förderschule,,,"[603365358, 603365356, 603365349, 603365357, 603365359, 603365358]",,,+49613153966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,60400704,"POLYGON ((8.2657541 50.0086432, 8.2656796 50.008681, 8.2656553 50.0086612, 8.2655147 50.0087324, 8.2650689 50.0089582, 8.265104 50.0089868, 8.2650133 50.0090327, 8.265222 50.0092029, 8.2654343 50.0094043, 8.2656553 50.0092963, 8.265802 50.0092856, 8.2660392 50.0094781, 8.2661511 50.0094255, 8.2663627 50.0093255, 8.2665113 50.0092493, 8.2661495 50.0089639, 8.2657541 50.0086432))",,school,,,Frauenlob-Gymnasium,,,https://www.frauenlob-gymnasium.de/,Q15810383,,Mainz,55118,Adam-Karrillon-Straße,,Stadt Mainz,35,2;3,public,50417,,,yes,"[263678176, 4964383988, 4964383987, 9302047782, 1405239177, 4436122623, 263678177, 4436122622, 263678168, 263678169, 4436122624, 4964383986, 751917073, 2457816838, 479342375, 263678175, 263678176]",,,,,,,,,,,,,,,,,,Q62702,,Gymnasium,,,,,,,,,,,,
way,100035368,"POLYGON ((8.2257182 50.0022983, 8.2257996 50.0022729, 8.2258428 50.0022132, 8.2271553 50.0025338, 8.2265861 50.003441, 8.2264883 50.0034438, 8.2263543 50.0034196, 8.2262746 50.0035578, 8.2252155 50.0033565, 8.225089 50.003335, 8.2239767 50.0031316, 8.2241262 50.0021173, 8.2245746 50.0021352, 8.2257182 50.0022983))",fence,school,,,Gleisbergschule,,,http://www.gleisbergschule.de,,,Mainz,55122,Gleisbergweg,,Stadt Mainz,50,1,public,19721,Grundschule,,yes,"[1156506838, 1156506779, 896561497, 1156506832, 1156506784, 6454332958, 1156506805, 1156506833, 1156506777, 1156506830, 1156506835, 1156506799, 1156506809, 1156506838]",,,+496131690600,,,,,,,,,,,,,,,,,,site,,,,,,,,,,,
way,100535737,"POLYGON ((8.2307212 50.0041695, 8.2304501 50.0044409, 8.229576 50.0040613, 8.2297338 50.003893, 8.2288076 50.0035047, 8.2286187 50.0034205, 8.2287626 50.003258, 8.2288855 50.0033032, 8.2292891 50.0026263, 8.2293734 50.0025699, 8.2294927 50.0025632, 8.2304158 50.0025429, 8.2304755 50.0025587, 8.2306019 50.0026105, 8.2310827 50.0028136, 8.2311424 50.00287, 8.2311319 50.0029941, 8.2311178 50.0030415, 8.2317602 50.0032806, 8.2317968 50.0033517, 8.2314102 50.0037108, 8.2316362 50.0038073, 8.2316233 50.0038311, 8.2315039 50.0039055, 8.2310766 50.0041699, 8.2310198 50.0041468, 8.2310062 50.0041585, 8.2309353 50.0042462, 8.2307212 50.0041695))",fence,school,,,Kanonikus-Kir-Realschule,,,http://www.kkr-mainz.de/,,,Mainz,55122,An Schneiders Mühle,,Stadt Mainz,2,2,public,40955,Realschule Plus,,no,"[1162195720, 1162195648, 1151051625, 1151051777, 1151051590, 1162195781, 1162195708, 1162195628, 1162195735, 1162195650, 1162195576, 1162195771, 1162195687, 1162195624, 1162195794, 1162195746, 1162195753, 1162195712, 1162195622, 261621840, 261621837, 261621838, 1162195599, 1162195776, 1162195601, 1162195672, 1162195565, 1162195701, 1162195720]",,,+49 6131 687091,,,,,,+49 6131 690203,,,,,,,,,,,,,,,,,,,,,,,
way,101185322,"POLYGON ((8.2311173 50.0042386, 8.2317641 50.0038328, 8.2320848 50.0036179, 8.2321437 50.0035779, 8.2322252 50.0035188, 8.2322556 50.0035029, 8.23229 50.0034867, 8.2324105 50.0035648, 8.2326632 50.0037406, 8.232744 50.0038421, 8.232828 50.0040476, 8.2328456 50.0040956, 8.2329395 50.0043515, 8.2330537 50.004597, 8.233074 50.0046577, 8.2325237 50.00499, 8.2320892 50.0052458, 8.2315298 50.0054989, 8.2312581 50.0053067, 8.2309365 50.005171, 8.2309686 50.005115, 8.2305471 50.0048776, 8.2304809 50.0048778, 8.2301693 50.0048474, 8.2301575 50.0048292, 8.2301442 50.0048088, 8.2305762 50.0045453, 8.2307854 50.0044166, 8.2308315 50.0043935, 8.2308805 50.0044084, 8.230951 50.0043707, 8.2310251 50.0043295, 8.2309964 50.0043092, 8.2311173 50.0042386))",,school,,,Otto-Schott-Gymnasium Mainz-Gonsenheim,,,http://osg-mainz.de/,Q15058328,de:Otto-Schott-Gymnasium,Mainz,55122,An Schneiders Mühle,Otto-Schott-Gymnasium,Stadt Mainz,1,2;3,public,51064,Gymnasium,,,"[1168235282, 6455542765, 6455542766, 6455542767, 6455543587, 6455543586, 1168235369, 1168235307, 1162253290, 1162253244, 1162253379, 6531856898, 1162253391, 6416590691, 1168213775, 3498592820, 6455116445, 1168213836, 1168235326, 1168235349, 1168235289, 6455116477, 1168235315, 6455116476, 6455116480, 1168235339, 1168753563, 1168235359, 6455542735, 6455542736, 6455542737, 6435809780, 6435809784, 1168235282]",,,+49 6131 906560,,,,,gygo@stadt.mainz.de,+49 6131 9065615,,,,,,,,,,,,,GyGo,Gymnasium Gonsenheim,OSG,,,,,,,,
way,104423033,"POLYGON ((8.2648786 49.9894561, 8.2648294 49.9893724, 8.2654537 49.989098, 8.2652731 49.9889223, 8.2657978 49.9886973, 8.2659016 49.9886516, 8.2661895 49.9885291, 8.2663028 49.9879626, 8.2660078 49.9879614, 8.2656406 49.9876179, 8.2652076 49.987768, 8.2637667 49.9883467, 8.2648786 49.9894561))",,school,,,Ludwig-Schwamb-Schule,,,https://www.grundschule-ludwig-schwamb-mainz.de/,,,Mainz,55131,Schillstraße,,Stadt Mainz,4,1,public,10794,Grundschule,,limited,"[265877984, 265877985, 265877986, 265877987, 6257769797, 6257769796, 265877988, 718489780, 3379461215, 718489784, 265877991, 1204826160, 265877984]",,DE,,,,,,,,,,,,,,,,Q104979,,,,,,,,,,,,,,
way,114550734,"POLYGON ((8.2481809 50.0021989, 8.2481514 50.0023799, 8.2486785 50.0024154, 8.248708 50.0022344, 8.2481809 50.0021989))",,school,,,Dr. Martin-Luther-King-Schule,,,http://www.gs-dr-martin-luther-king.de,,,Mainz,55122,John-F.-Kennedy-Straße,Martin Luther King Schule,Stadt Mainz,7,1,public,18726,Grundschule,school,,"[1297350553, 1297350535, 1297350564, 1297350596, 1297350553]",,DE,+496131373181,2,,gabled,,,,,,,,,,,,Q8027,,,,,,,,,,,,,,
way,114550744,"POLYGON ((8.2481473 50.0019893, 8.2476941 50.001957, 8.2476223 50.0023729, 8.2480755 50.0024052, 8.2481473 50.0019893))",,school,,,Astrid-Lindgren-Schule,,,http://astrid-lindgren-schule-mainz.de,,,Mainz,55122,John-F.-Kennedy-Straße,,Stadt Mainz,5,1,public,31717,Förderschule,school,,"[1297350541, 1297350537, 1297350560, 1297350582, 1297350541]",,DE,+496131324726,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
