element_type,osmid,geometry,access,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,nodes,building,name,opening_hours,operator,phone,shop,website,wheelchair,brand,brand:wikidata,brand:wikipedia,check_date:opening_hours,internet_access,payment:contactless,addr:country,building:levels,opening_hours:covid19,payment:cash,roof:material,height,roof:shape,fee,parking,roof:levels,noaddress,cuisine,takeaway,currency:EUR,currency:USD,fax,indoor_seating,outdoor_seating,toilets:wheelchair,opening_hours:signed,changing_table,check_date,toilets,source,branch,organic,closed:name,closed:shop,building:colour,building:parts,wikidata,alt_name,start_date,note
way,96758061,"POLYGON ((7.769057 49.4430926, 7.7690518 49.4430998, 7.7690382 49.443108, 7.7684714 49.4433683, 7.768078 49.4429954, 7.7683385 49.4428767, 7.768377 49.4429137, 7.768497 49.4428615, 7.7685233 49.4428848, 7.7687718 49.442778, 7.7690505 49.4430753, 7.7690565 49.4430839, 7.769057 49.4430926))",,Kaiserslautern,1,67655,Fackelstraße,,"[1120433534, 1121706171, 1121706383, 1120433497, 1120433510, 1120433525, 1120433538, 1120433549, 1120433566, 1120433508, 1121706031, 1121705705, 1120433534]",retail,,,,,,,,,,,,,,DE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96813613,"POLYGON ((7.7686139 49.442277, 7.7686603 49.4422469, 7.7686149 49.4422146, 7.7687731 49.4420921, 7.7688006 49.442045, 7.7687424 49.4420488, 7.768658 49.4420527, 7.7686603 49.4420627, 7.7685996 49.4420695, 7.7682949 49.4422156, 7.768493 49.4423531, 7.7686139 49.442277))",,Kaiserslautern,27-31,67655,Kerststraße,,"[1121706280, 1121705777, 1121705925, 1121706382, 1121706126, 1121706203, 1121705774, 1121705704, 1121706467, 1121706355, 1121706001, 1121706280]",retail,,,,,,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,97869578,"POLYGON ((7.802824 49.457015, 7.8026555 49.4569058, 7.8027234 49.456864, 7.8026854 49.4568406, 7.8027507 49.4568008, 7.8029551 49.4569356, 7.8029867 49.4569438, 7.8030156 49.4569626, 7.8030318 49.4569889, 7.8030305 49.4570168, 7.8030146 49.4570415, 7.8029825 49.4570622, 7.8029453 49.4570709, 7.8029029 49.4570708, 7.8028642 49.4570596, 7.8028347 49.4570404, 7.802824 49.457015))",,Kaiserslautern,4,67657,Europaallee,fast_food,"[1132763425, 1132762605, 1132763238, 1132762640, 1132762674, 1132762920, 1132762825, 1132762478, 1132763300, 1132762875, 1132763270, 1132762570, 1132762423, 1132763123, 1132762505, 1132762815, 1132763425]",retail,Burger King,"Mo-Th 09:00-01:00, Fr-Sa 09:00-05:00, Su 10:00-01:00",,,,,,Burger King,Q177054,en:Burger King,,,,,,,,,,,,,,,burger,yes,,,,,,,,,,,,,,,,,,,,,
way,98200709,"POLYGON ((7.7966683 49.4560396, 7.7965139 49.4559828, 7.7965309 49.4559633, 7.7964773 49.4559435, 7.7964614 49.4559618, 7.7963107 49.4559064, 7.7962353 49.4559929, 7.7964125 49.456058, 7.7964001 49.4560723, 7.7965409 49.4561241, 7.7965527 49.4561106, 7.7965935 49.4561256, 7.7966683 49.4560396))",,Kaiserslautern,119,67657,Mainzer Straße,restaurant,"[1136052828, 1136053263, 1136053618, 1136052987, 1136053873, 1136053527, 1136053480, 1136052725, 1136053332, 1136053147, 1136053716, 1136053022, 1136052828]",retail,Sam Kullman's Diner,"Mo-Th,Su 09:00-24:00; Fr,Sa 09:00-01:00",,+49 631 4150916,,http://www.kullmans.de/,yes,,,,,,,DE,1,,,,,,,,,,burger,,yes,yes,+49 631 4150918,yes,yes,,,,,,,,,,,,,,,,
way,98200734,"POLYGON ((7.7872452 49.4566719, 7.7874492 49.4567267, 7.7876069 49.4564787, 7.7872674 49.4563875, 7.7872387 49.4564327, 7.78721 49.4564778, 7.7873455 49.4565142, 7.7872452 49.4566719))",,Kaiserslautern,6,67657,Hölzengraben,,"[1136053020, 1136052722, 1136052986, 1136053675, 10745387051, 1136053145, 1136053863, 1136053020]",retail,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98200805,"POLYGON ((7.7946824 49.4553644, 7.7944531 49.4552779, 7.7944098 49.4552848, 7.794297 49.4554112, 7.7943727 49.4554397, 7.794554 49.4555082, 7.7946452 49.4554061, 7.7946824 49.4553644))",,Kaiserslautern,109-111,67657,Mainzer Straße,,"[1136053871, 5568555659, 5568555658, 1136053607, 1136053857, 1136053478, 1136053062, 1136053871]",retail,Barbarossa Bäckerei,,,,bakery,,limited,Barbarossa Bäckerei,Q807766,de:Barbarossa Bäckerei,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98200813,"POLYGON ((7.7948838 49.4554623, 7.7947104 49.4554214, 7.7946452 49.4554061, 7.794554 49.4555082, 7.7943727 49.4554397, 7.7943059 49.4555485, 7.7944923 49.4555966, 7.7944738 49.4556269, 7.794759 49.4556978, 7.7947689 49.4556763, 7.7948756 49.4554803, 7.7948838 49.4554623))",,Kaiserslautern,113,67657,Mainzer Straße,,"[1136053191, 5568555657, 1136053062, 1136053478, 1136053857, 1136053014, 1136053601, 1136052984, 1136053707, 1136053658, 1136053718, 1136053191]",retail,alldrink,Mo-Sa 08:00-20:00,,,beverages,,yes,alldrink,Q110155637,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,98776918,"POLYGON ((7.7940915 49.4549811, 7.7936483 49.4548208, 7.7934295 49.4547416, 7.7932354 49.4549684, 7.7938973 49.4552079, 7.7940503 49.4550292, 7.7940915 49.4549811))",,Kaiserslautern,105,67657,Mainzer Straße,restaurant,"[1142768268, 3962406662, 1142767959, 1142768081, 1142769739, 1142769508, 1142768268]",retail,Gourmet World,"Mo,We-Fr 11:30-15:00,17:30-23:00; Tu off; Sa 11:30-22:30; Su,PH 11:30-23:00",,+49 631 3615188,,http://gourmetworld-kaiserslautern.de/,yes,,,,,,,,1,,,,,,,,,,asian,,,,,,,yes,,,,,,,,,,,,,,,
way,98863112,"POLYGON ((7.7964546 49.4553374, 7.7962538 49.4552618, 7.7961411 49.4552194, 7.7960736 49.4552952, 7.7961864 49.4553376, 7.796171 49.455355, 7.7963717 49.4554305, 7.7964546 49.4553374))",,Kaiserslautern,126,67657,Mainzer Straße,,"[1143727611, 5568555692, 1143726638, 1143727297, 5568555693, 1143727465, 1143726869, 1143727611]",retail,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99702245,"POLYGON ((7.7635383 49.4334732, 7.7635574 49.4334259, 7.7636259 49.4334376, 7.7636903 49.4332785, 7.7636294 49.4332681, 7.7636498 49.4332177, 7.763132 49.4331291, 7.7631384 49.4331135, 7.7629892 49.433088, 7.7629576 49.4331662, 7.7630205 49.433177, 7.7629621 49.4333211, 7.7634279 49.4334009, 7.7634077 49.4334509, 7.7635383 49.4334732))",,Kaiserslautern,17,67663,Zollamtstraße,,"[1152737918, 1152738352, 1152738335, 1152738709, 1152738903, 1152738092, 1152738608, 1152739177, 1152738445, 1152738535, 1152738745, 1152738208, 1152739317, 1152738330, 1152737918]",retail,,,,,,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99702247,"POLYGON ((7.7639826 49.4342001, 7.763886 49.4341784, 7.7639364 49.4340837, 7.7635817 49.4340039, 7.7635992 49.433971, 7.763246 49.4338915, 7.7632302 49.4339212, 7.7631441 49.4339019, 7.7630422 49.4340948, 7.7630269 49.4341222, 7.7639175 49.4343225, 7.7639826 49.4342001))",,Kaiserslautern,30,67663,Zollamtstraße,,"[1152738837, 1152738427, 1152739017, 1152739123, 1152738187, 1152738892, 1152737813, 1152737939, 1152738965, 1152739149, 1152738675, 1152738837]",retail,,,,,,,,,,,,,,DE,1,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99702263,"POLYGON ((7.7721755 49.4372083, 7.7722525 49.4372188, 7.7722274 49.4372964, 7.7721504 49.4372859, 7.7721755 49.4372083))",,Kaiserslautern,74,67655,Eisenbahnstraße,,"[1152738328, 1152738690, 1152738880, 1152738043, 1152738328]",retail,Betzebud,,,,kiosk,,,,,,2023-04-11,,,,1,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,
way,99702265,"POLYGON ((7.7680537 49.4353653, 7.7680272 49.4354163, 7.7681768 49.4354491, 7.7681899 49.4354237, 7.7687794 49.435553, 7.7687865 49.4355391, 7.7689134 49.435567, 7.7689198 49.4355547, 7.769006 49.4353884, 7.7690223 49.435357, 7.7688207 49.4353128, 7.7682221 49.4351815, 7.7681193 49.4353797, 7.7680537 49.4353653))",,,,,,,"[1152738807, 1152739145, 1152738358, 1152738696, 1152738663, 1152738256, 1152738382, 1152739047, 1152738763, 1152738771, 707095353, 4470227674, 4470227675, 1152738807]",retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99702275,"POLYGON ((7.7643291 49.434038, 7.7641646 49.4343617, 7.764189 49.434368, 7.7641189 49.4344947, 7.7641844 49.4345093, 7.7641744 49.4345283, 7.7643894 49.4345762, 7.7644487 49.4345206, 7.7646116 49.4345808, 7.7647863 49.4346454, 7.7652606 49.434751, 7.7652456 49.4347796, 7.7659491 49.4349362, 7.7661234 49.434605, 7.7656073 49.4344902, 7.7656442 49.43442, 7.7656862 49.4343402, 7.7655231 49.4343039, 7.7652605 49.4342454, 7.7649589 49.4341782, 7.7649509 49.4341764, 7.7648376 49.4341512, 7.7646012 49.4340986, 7.7643291 49.434038))",,Kaiserslautern,28,67663,Zollamtstraße,,"[1152738090, 1152739311, 1152739120, 1152738442, 1152738826, 1152739134, 1152738229, 1152738551, 3812343064, 1152738922, 1152739256, 1152738425, 811432692, 3812343066, 3812343063, 3812343061, 811432694, 6873844341, 6873844348, 6873844344, 6873844349, 3812343060, 6873844350, 1152738090]",retail,E-Center,Mo-Sa 08:00-22:00,,+49 631 3106850,mall,https://www.edeka.de,yes,,,,2021-01-04,,,,2,,,,,,,,,,,,,,+49 631 31068537,,,yes,,yes,2023-01-31,yes,,,,,,,,,,,
way,99702291,"POLYGON ((7.7647225 49.4338152, 7.7646963 49.4338664, 7.7648428 49.433898, 7.7649358 49.4337117, 7.7647745 49.4336027, 7.7644056 49.4335232, 7.7643732 49.4335868, 7.7644057 49.4335938, 7.7643602 49.4336831, 7.7643944 49.4336905, 7.7643678 49.4337428, 7.764299 49.4337282, 7.7642967 49.4337497, 7.7643058 49.4337739, 7.764332 49.4337968, 7.764369 49.4338127, 7.7645494 49.4338507, 7.7645828 49.4337851, 7.7647225 49.4338152))",,Kaiserslautern,15,67663,Zollamtstraße,,"[1152738615, 1152738984, 1152737836, 1152737978, 1152738397, 1152738778, 1152739085, 1152739161, 1152738147, 1152738859, 1152739277, 1152738572, 1152738064, 1152738698, 1152738810, 1152738363, 1152738277, 1152738724, 1152738615]",retail,,,,,,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99942842,"POLYGON ((7.7483264 49.4231425, 7.7483335 49.4231586, 7.748344 49.4231822, 7.7487953 49.4230976, 7.7487736 49.4230486, 7.748854 49.4230335, 7.7487571 49.4228194, 7.7486969 49.4228309, 7.7486779 49.4227879, 7.748573 49.4228076, 7.7485932 49.4228533, 7.7481003 49.4229457, 7.7481981 49.4231665, 7.74828 49.4231511, 7.7483264 49.4231425))",,Kaiserslautern,1,67663,Kurt-Schumacher-Straße,,"[2497652524, 2497652526, 2497652530, 2497652521, 2497652520, 1155346725, 1155346721, 2497652512, 2497652510, 2497652511, 2497652514, 1155346723, 2497652527, 2497652525, 2497652524]",retail,Lidl,Mo-Sa 07:00-22:00,,,supermarket,https://www.lidl.de/filialen/kaiserslautern/kurt-schumacher-str-1.html,yes,Lidl,Q151954,en:Lidl,2023-03-25,,yes,DE,1,,,,,many,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,
way,100131000,"POLYGON ((7.7557055 49.4358573, 7.7554774 49.4357245, 7.7552862 49.4358647, 7.7553737 49.4359155, 7.755144 49.4360832, 7.7552845 49.4361646, 7.7557055 49.4358573))",,Kaiserslautern,121,67655,Königstraße,,"[1157476058, 1157476439, 1157476330, 1157475894, 1157476029, 1157476295, 1157476058]",retail,dm,Mo-Sa 08:00-21:00,,,chemist,,yes,dm,Q266572,en:Dm-drogerie markt,2022-09-20,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100131017,"POLYGON ((7.7570152 49.4372377, 7.7563614 49.436857, 7.7560319 49.4370963, 7.7566857 49.437477, 7.7570152 49.4372377))",,Kaiserslautern,115,67655,Königstraße,,"[1157475598, 1157476014, 1157476425, 1157475914, 1157475598]",retail,ALDI Süd,Mo-Sa 08:00-21:00,,,supermarket,https://www.aldi-sued.de,yes,ALDI Süd,Q41171672,en:Aldi,2023-03-25,,,DE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100131039,"POLYGON ((7.7552467 49.4355914, 7.7554774 49.4357245, 7.7552862 49.4358647, 7.7551969 49.4358132, 7.7550046 49.4359541, 7.7550203 49.4359632, 7.7549653 49.4360036, 7.7549083 49.4359707, 7.7549262 49.4359576, 7.7548261 49.4358999, 7.7552467 49.4355914))",,Kaiserslautern,123,67655,Königstraße,,"[1157476481, 1157476439, 1157476330, 1157475801, 1157476202, 1157476076, 1157476191, 1157475938, 1157476343, 1157476523, 1157476481]",retail,Alnatura,Mo-Sa 08:00-20:00,,+496313036887,supermarket,https://www.alnatura.de/,yes,Alnatura,Q876811,de:Alnatura,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,Bio,only,,,,,,,,
way,100131111,"POLYGON ((7.7563049 49.4368168, 7.7561382 49.4367251, 7.7558779 49.4369252, 7.7560447 49.4370169, 7.7563049 49.4368168))",,Kaiserslautern,117,67655,Königstraße,,"[1157476155, 1157476257, 1157475715, 1157475992, 1157476155]",retail,alldrink,Mo-Fr 09:00-19:00; Sa 08:00-16:00,,,beverages,,yes,alldrink,Q110155637,,2021-10-09,,,DE,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
way,100131142,"POLYGON ((7.7557538 49.4362507, 7.7556997 49.4362193, 7.7559687 49.4360245, 7.7557037 49.4358704, 7.7556366 49.4359155, 7.7556861 49.4359442, 7.755307 49.4362228, 7.7555281 49.4363513, 7.7555594 49.4363285, 7.755608 49.4363568, 7.7557538 49.4362507))",,Kaiserslautern,119,67655,Königstraße,,"[1157476373, 1157475851, 1157476503, 1157475826, 1157476099, 1157476483, 1157476332, 1157475806, 1157476193, 1157475933, 1157476373]",retail,Lidl,Mo-Sa 07:00-22:00,,,supermarket,,yes,Lidl,Q151954,en:Lidl,2023-03-25,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100970796,"POLYGON ((7.7668281 49.4410943, 7.7667266 49.4411316, 7.7668675 49.4412557, 7.7669546 49.4412211, 7.7668817 49.4411501, 7.7668281 49.4410943))",,Kaiserslautern,19,67655,Pirmasenser Straße,,"[1166352053, 1166352174, 1166352098, 1166352027, 1166351985, 1166352053]",retail,,,,,,,,,,,,,,DE,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
way,102214811,"POLYGON ((7.7119582 49.442533, 7.7121351 49.4420805, 7.7122994 49.4416601, 7.7128168 49.4417456, 7.7128042 49.4417779, 7.7141493 49.4420001, 7.7141682 49.4419518, 7.7143897 49.4419884, 7.7143321 49.4421355, 7.7142284 49.4421184, 7.714115 49.4424085, 7.713928 49.4428871, 7.7134389 49.4428063, 7.7134507 49.4427762, 7.7132578 49.4427444, 7.7132207 49.4428392, 7.7129718 49.4427981, 7.7130076 49.4427064, 7.7119582 49.442533))",,Kaiserslautern,64,67663,Merkurstraße,,"[1179616629, 1180604025, 1179616633, 1180605313, 1180604809, 1180604982, 1180604607, 1179616635, 1180604479, 1180603985, 1179619167, 1179616637, 1180604529, 1180605174, 1180604154, 5044460798, 1180604623, 1180604699, 1179616629]",retail,,,,,,,,,,,,,,DE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,102214907,"POLYGON ((7.7145555 49.4424813, 7.7143676 49.4424502, 7.714115 49.4424085, 7.713928 49.4428871, 7.7138744 49.4430243, 7.7143149 49.443097, 7.7145555 49.4424813))",,Kaiserslautern,62,67663,Merkurstraße,,"[1179619181, 4259445362, 1179619167, 1179616637, 1179619184, 1179619186, 1179619181]",retail,POCO,Mo-Fr 10:00-20:00; Sa 09:00-19:00,,,furniture,,yes,POCO,Q1714820,de:Poco (Möbelhaus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,102272125,"POLYGON ((7.7140369 49.440325, 7.7127865 49.4401316, 7.7126922 49.4403894, 7.713344 49.4404902, 7.7133797 49.4405428, 7.7132884 49.4407925, 7.713835 49.440877, 7.7140369 49.440325))",,Kaiserslautern,51a,67663,Merkurstraße,,"[1180605301, 1180604896, 1180604005, 3697650172, 3697650175, 1180604710, 1180605156, 1180605301]",retail,,,,,,,,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
