element_type,osmid,addr:housenumber,addr:postcode,addr:street,geometry,addr:city,amenity,operator,nodes,building,name,tourism,website,addr:country,building:levels,social_facility,internet_access,rooms,wheelchair,email,internet_access:fee,old_name,opening_hours,phone,roof:levels,roof:shape,addr:place,addr:source,addr:suburb,ways,type
way,104240999,18,67655,Quellenstraße,"POLYGON ((7.7778834 49.4406895, 7.7778752 49.4406813, 7.7778585 49.4406786, 7.7777229 49.440694, 7.7777158 49.4407188, 7.7777085 49.4407441, 7.7777334 49.440746, 7.7777285 49.4407653, 7.7778581 49.4407799, 7.7778834 49.4406895))",Kaiserslautern,,,"[1202918772, 1202918810, 1202919682, 1202918974, 4501415726, 1202918672, 1202919860, 1202919677, 1202919517, 1202918772]",residential,,,,DE,,,,,,,,,,,,,,,,,
way,104241020,16,67655,Lutzerstraße,"POLYGON ((7.7775747 49.4410691, 7.777461 49.4410689, 7.777472 49.4411514, 7.7774848 49.4411514, 7.7775851 49.4411516, 7.7775769 49.4410816, 7.7775747 49.4410691))",Kaiserslautern,,,"[1202919462, 1202919539, 1202919735, 4501415723, 1202919679, 1202919727, 1202919462]",residential,,,,DE,,,,,,,,,,,,,,,,,
way,104241036,14,67655,Lutzerstraße,"POLYGON ((7.777461 49.4410689, 7.7773473 49.4410686, 7.7773589 49.4411512, 7.7774592 49.4411514, 7.777472 49.4411514, 7.777461 49.4410689))",Kaiserslautern,,,"[1202919539, 1202918599, 1202918713, 4501415722, 1202919735, 1202919539]",residential,,,,DE,,,,,,,,,,,,,,,,,
way,104241045,10,67655,Lutzerstraße,"POLYGON ((7.7771981 49.441056, 7.7771165 49.4410552, 7.7771165 49.441046, 7.7771305 49.441046, 7.7771246 49.4409752, 7.7770482 49.4409771, 7.7770499 49.4409916, 7.7770577 49.4410561, 7.7770629 49.441099, 7.7770692 49.4411515, 7.777082 49.4411515, 7.7772144 49.4411512, 7.7771981 49.441056))",Kaiserslautern,,,"[1202919671, 1202919666, 1202918656, 1202919631, 1202918623, 1202919842, 1202919411, 1202919716, 1202919802, 1202919243, 4501415721, 1202918795, 1202919671]",residential,,,,DE,,,,,,,,,,,,,,,,,
way,104241058,20,67655,Lutzerstraße,"POLYGON ((7.777796 49.441013, 7.7776727 49.4410002, 7.7776779 49.4410625, 7.7776867 49.4411522, 7.7777377 49.4411521, 7.777764 49.4411412, 7.777796 49.441013))",Kaiserslautern,,,"[1202919091, 1202919255, 1202919522, 1202919789, 1202919115, 1202918758, 1202919091]",residential,,,,DE,,,,,,,,,,,,,,,,,
way,104241079,20,67655,Quellenstraße,"POLYGON ((7.7776375 49.4407043, 7.7775242 49.4407171, 7.777512 49.4407185, 7.7775335 49.440799, 7.7776591 49.4407848, 7.7776375 49.4407043))",Kaiserslautern,,,"[1202918619, 4501415727, 1202918752, 1202919733, 1202918628, 1202918619]",residential,,,,DE,,,,,,,,,,,,,,,,,
way,104241104,12,67655,Lutzerstraße,"POLYGON ((7.7773473 49.4410686, 7.7773326 49.440965, 7.7773196 49.4409659, 7.7772111 49.4409729, 7.7772182 49.4410377, 7.7772935 49.4410353, 7.7772964 49.441068, 7.7772336 49.4410683, 7.7772457 49.441151, 7.7773589 49.4411512, 7.7773473 49.4410686))",Kaiserslautern,,,"[1202918599, 1202919473, 1202919690, 1202918730, 1202919196, 1202918603, 1202919563, 1202918872, 1202919159, 1202918713, 1202918599]",residential,,,,DE,,,,,,,,,,,,,,,,,
way,104241106,22,67655,Quellenstraße,"POLYGON ((7.777512 49.4407185, 7.7774149 49.4407295, 7.7773955 49.4407317, 7.7774208 49.4408259, 7.7775372 49.4408127, 7.7775335 49.440799, 7.777512 49.4407185))",Kaiserslautern,,,"[1202918752, 4501415728, 1202919645, 1202919816, 1202918638, 1202919733, 1202918752]",residential,,,,DE,,,,,,,,,,,,,,,,,
way,105268874,12,67655,Stahlstraße,"POLYGON ((7.7815117 49.44106, 7.7815389 49.4410787, 7.7816556 49.4410908, 7.7816735 49.4410026, 7.7816328 49.4409982, 7.7816561 49.4409101, 7.7816253 49.4409115, 7.781484 49.44092, 7.7814959 49.4409801, 7.7815111 49.4410569, 7.7815117 49.44106))",Kaiserslautern,,,"[1213113427, 4898183146, 1213111655, 1213111919, 1213111956, 1213112288, 1213112549, 1213112180, 3980138167, 4898183145, 1213113427]",residential,Kansakar,guest_house,http://www.kansakar-hotel.de,,3,,wlan,,no,info@kansakar-hotel.de,no,Pommerscher Hof,Mo-Su 15:30-20:30,+49 172 6859511,,,,,,,
way,106749959,99,67655,Pariser Straße,"POLYGON ((7.754893 49.4432022, 7.7551074 49.4432264, 7.7551292 49.44314, 7.7550426 49.4431308, 7.7550445 49.4431233, 7.7549962 49.4431181, 7.754994 49.4431266, 7.754913 49.4431183, 7.754893 49.4432022))",Kaiserslautern,,,"[1227781976, 1227782059, 1227781826, 1227779264, 1227779851, 1227780759, 1227781531, 1227779124, 1227781976]",residential,Adler,guest_house,http://www.pension-adler-kl.de/,DE,,,,,,info@pension-adler-kl.de,,,,+49 176 61734360,,,,,,,
way,107426297,1,67657,Daennerstraße,"POLYGON ((7.8110425 49.443119, 7.8110473 49.4430209, 7.8112834 49.4430259, 7.8112786 49.4431239, 7.8110425 49.443119))",Kaiserslautern,,,"[1234676940, 1234676926, 1234676907, 1234676911, 1234676940]",residential,,,,DE,,,,,,,,,,,,,,,,,
way,107426298,5,67657,Daennerstraße,"POLYGON ((7.8108645 49.4427343, 7.8109799 49.4427252, 7.8109526 49.442579, 7.8108372 49.4425881, 7.8108645 49.4427343))",Kaiserslautern,,,"[1234676923, 1234676933, 1234676914, 1234676916, 1234676923]",residential,,,,DE,3,,,,,,,,,,1,gabled,,,,,
way,107426300,9,67657,Daennerstraße,"POLYGON ((7.810733 49.4421179, 7.8108753 49.442105, 7.8109082 49.4422587, 7.8107658 49.4422716, 7.810733 49.4421179))",Kaiserslautern,,,"[1234676915, 1234676939, 1234676930, 1234676931, 1234676915]",residential,,,,DE,3,,,,,,,,,,1,gabled,,,,,
way,107426301,7,67657,Daennerstraße,"POLYGON ((7.8107924 49.4423479, 7.8109254 49.4423368, 7.8109569 49.4424959, 7.8108238 49.442507, 7.8107924 49.4423479))",Kaiserslautern,,,"[1234676934, 1234676913, 1234676905, 1234676906, 1234676934]",residential,,,,DE,3,,,,,,,,,,1,gabled,,,,,
way,107426302,3,67657,Daennerstraße,"POLYGON ((7.8109151 49.4429585, 7.8110494 49.4429449, 7.8110153 49.442802, 7.810881 49.4428155, 7.8109151 49.4429585))",Kaiserslautern,,,"[1234676927, 1234676928, 1234676932, 1234676918, 1234676927]",residential,,,,DE,3,,,,,,,,,,1,gabled,,,,,
way,147019226,77,67657,Friedenstraße,"POLYGON ((7.7884638 49.45038, 7.7883153 49.4503072, 7.7883958 49.4502379, 7.7885442 49.4503107, 7.7884638 49.45038))",Kaiserslautern,,,"[1602141860, 1602141857, 1602141852, 1602141859, 1602141860]",residential,,,,DE,,,,,,,,,,,,,,,,,
way,147019227,79,67657,Friedenstraße,"POLYGON ((7.7886355 49.4504643, 7.7884638 49.45038, 7.7885442 49.4503107, 7.7887159 49.450395, 7.7886355 49.4504643))",Kaiserslautern,,,"[1602141865, 1602141860, 1602141859, 1602141861, 1602141865]",residential,,,,DE,,,,,,,,,,,,,,,,,
way,150334694,2,67657,Eugen-Bindewald-Straße,"POLYGON ((7.7753203 49.4556562, 7.7752607 49.4556449, 7.7752395 49.4556922, 7.7752194 49.4557372, 7.775279 49.4557485, 7.7753203 49.4556562))",Kaiserslautern,,,"[1632550451, 1632550450, 1632550458, 1632550468, 1632550480, 1632550451]",residential,,,,DE,,,,,,,,,,,,,,,,,
way,155782078,2,67659,Wörthstraße,"POLYGON ((7.7478044 49.442822, 7.7479906 49.442858, 7.7480142 49.4428063, 7.7479021 49.4427846, 7.7478366 49.442772, 7.747828 49.4427703, 7.7478044 49.442822))",Kaiserslautern,,,"[1681452645, 1681452704, 1681452632, 1681452609, 1681452604, 1681452599, 1681452645]",residential,,,,DE,2,,,,,,,,,,,,,,,,
way,161509465,10,67661,,"POLYGON ((7.7358006 49.3925015, 7.7359249 49.3924603, 7.7358433 49.3923554, 7.735719 49.3923966, 7.7358006 49.3925015))",Kaiserslautern,,,"[1734890982, 1734890974, 1734890966, 1734890972, 1734890982]",residential,,,,,,,,,,,,,,,,,Jagdhaus,survey,,,
way,176693948,7,,St.-Quentin-Ring,"POLYGON ((7.7827852 49.4321101, 7.7830664 49.4321054, 7.7830485 49.4316544, 7.7827672 49.4316592, 7.7827852 49.4321101))",,,,"[1871729667, 1871729665, 1871729483, 1871729486, 1871729667]",residential,,,,,8,,,,,,,,,,,,,,,,
way,183616985,43,67663,Sickinger Straße,"POLYGON ((7.7330625 49.4346892, 7.7330479 49.4347634, 7.7330465 49.4347703, 7.7329608 49.4347631, 7.7329752 49.43469, 7.7329768 49.4346821, 7.7330625 49.4346892))",Kaiserslautern,,,"[1940203689, 1940203721, 1940203732, 1940203719, 1940203697, 1940203675, 1940203689]",residential,,,,DE,1,,,,,,,,,,,,,,,,
way,185772202,,,,"POLYGON ((7.8206947 49.3742681, 7.8208142 49.3742158, 7.820726 49.3741302, 7.8206065 49.3741825, 7.8206947 49.3742681))",,,,"[1964534079, 1964534075, 1964534064, 1964534071, 1964534079]",residential,,,,,,,,,,,,,,,,,,,,,
way,185772203,37,67661,Eulentalstraße,"POLYGON ((7.8211711 49.3755582, 7.8212667 49.3755468, 7.8212431 49.3754635, 7.8211475 49.375475, 7.8211711 49.3755582))",Kaiserslautern,,,"[1964534186, 1964534184, 1964534180, 1964534182, 1964534186]",residential,,,,,,,,,,,,,,,,,,,Mölschbach,,
way,185772205,39,67661,Eulentalstraße,"POLYGON ((7.821108 49.375393, 7.8212068 49.3753742, 7.8211618 49.375274, 7.821063 49.3752928, 7.821108 49.375393))",Kaiserslautern,,,"[1964534178, 1964534096, 1964534094, 1964534095, 1964534178]",residential,,,,,,,,,,,,,,,,,,,Mölschbach,,
way,185772207,41,67661,Eulentalstraße,"POLYGON ((7.8209968 49.3751913, 7.8211277 49.3751515, 7.8210479 49.3750404, 7.820917 49.3750803, 7.8209968 49.3751913))",Kaiserslautern,,,"[1964534092, 1964534089, 1964534083, 1964534086, 1964534092]",residential,,,,,,,,,,,,,,,,,,,Mölschbach,,
way,185773859,1,,Eulentalstraße,"POLYGON ((7.8213699 49.3793811, 7.8215109 49.3793709, 7.821466 49.3791048, 7.821325 49.3791149, 7.8213699 49.3793811))",,,,"[1964557102, 1964557101, 1964557094, 1964557095, 1964557102]",residential,,,,,,,,,,,,,,,,,,,,,
way,185773861,8a,,Eulentalstraße,"POLYGON ((7.8209711 49.3790672, 7.8210061 49.3789944, 7.8208127 49.378955, 7.8207778 49.3790278, 7.8209711 49.3790672))",,,,"[1964557065, 1964557062, 1964557061, 1964557064, 1964557065]",residential,,,,,,,,,,,,,,,,,,,,,
way,215363544,11,67657,Oskar-Schlemmer-Ring,"POLYGON ((7.8009794 49.4536611, 7.800914 49.4536209, 7.8010384 49.4535353, 7.8011038 49.4535755, 7.8010688 49.4535996, 7.8009794 49.4536611))",Kaiserslautern,,,"[2247782478, 2247782499, 2247782467, 2247782445, 2842669611, 2247782478]",residential,,,,,,,,,,,,,,,,,,,,,
way,215363545,23,67657,Walter-Gropius-Straße,"POLYGON ((7.8007915 49.4535162, 7.8008854 49.4534795, 7.8008506 49.4534499, 7.8008559 49.4534081, 7.8007299 49.4534011, 7.8007299 49.4534673, 7.8007915 49.4535162))",Kaiserslautern,,,"[2247782324, 2247782408, 2247782331, 2247782481, 2247782483, 2247782373, 2247782324]",residential,,,,,,,,,,,,,,,,,,,,,
way,215363556,25,67657,Walter-Gropius-Straße,"POLYGON ((7.80088 49.4535923, 7.8008093 49.4535475, 7.8009307 49.4534664, 7.8010014 49.4535111, 7.80088 49.4535923))",Kaiserslautern,,,"[2247782501, 2247782355, 2247782366, 2247782450, 2247782501]",residential,,,,,,,,,,,,,,,,,,,,,
way,215363658,2-14a,67657,Oskar-Schlemmer-Ring,"POLYGON ((7.8013709 49.4539734, 7.8012402 49.4538875, 7.8016067 49.4536517, 7.8016311 49.453636, 7.8017618 49.4537219, 7.8017249 49.4537456, 7.8016946 49.4537652, 7.801639 49.4538009, 7.8015887 49.4538333, 7.8015352 49.4538677, 7.8014922 49.4538953, 7.8014429 49.4539271, 7.8013935 49.4539589, 7.8013709 49.4539734))",Kaiserslautern,,,"[2247785708, 2247785683, 2842644468, 2247785687, 2247785698, 2842644469, 2842644470, 2842644471, 2842644472, 2842644473, 2842644474, 2842644475, 2842644476, 2247785708]",residential,,,,,,,,,,,,,,,,,,,,,
way,215364338,9,67657,Oskar-Schlemmer-Ring,"POLYGON ((7.8012448 49.4535561, 7.8013216 49.4535075, 7.8011913 49.4534205, 7.8011145 49.4534692, 7.8012448 49.4535561))",Kaiserslautern,,,"[2247788962, 2247788939, 2247788926, 2247788968, 2247788962]",residential,,,,,,,,,,,,,,,,,,,,,
way,215364339,,,,"POLYGON ((7.8020742 49.4538303, 7.8021988 49.4537427, 7.8021663 49.4537231, 7.8021161 49.453693, 7.8020736 49.4536674, 7.8020496 49.453653, 7.801925 49.4537406, 7.8020742 49.4538303))",,,,"[2247788958, 2247788977, 2888155034, 2888155033, 2888155032, 2247788921, 2247788959, 2247788958]",residential,,,,,,,,,,,,,,,,,,,,,
way,215364341,21,67657,Walter-Gropius-Straße,"POLYGON ((7.8007674 49.4533558, 7.8008854 49.4533627, 7.8009015 49.4533156, 7.8009444 49.4532912, 7.8008586 49.4532389, 7.8007781 49.453293, 7.8007674 49.4533558))",Kaiserslautern,,,"[2247788970, 2247788979, 2247788924, 2247788922, 2247788935, 2247788944, 2247788970]",residential,,,,,,,,,,,,,,,,,,,,,
way,215364342,7,67657,Oskar-Schlemmer-Ring,"POLYGON ((7.8013629 49.453467, 7.8014344 49.4534238, 7.8013252 49.4533474, 7.8012537 49.4533906, 7.8013629 49.453467))",Kaiserslautern,,,"[2247788942, 2247788940, 2247788937, 2247788972, 2247788942]",residential,,,,,,,,,,,,,,,,,,,,,
way,215364343,,,,"POLYGON ((7.802019 49.45356, 7.8019943 49.4535449, 7.8019462 49.4535155, 7.8019211 49.4535002, 7.8019715 49.4534653, 7.8019378 49.4534447, 7.801879 49.4534089, 7.8018524 49.4533926, 7.8018983 49.4533608, 7.8018694 49.4533432, 7.8018292 49.4533186, 7.8017049 49.4534046, 7.8017622 49.4534396, 7.8017018 49.4534814, 7.8018105 49.4535478, 7.8017626 49.4535809, 7.8018858 49.4536562, 7.802019 49.45356))",,,,"[2247788925, 2888155039, 2888155038, 2247788976, 2247788971, 2888155037, 2888155036, 2247788948, 2247788973, 2888155035, 2247788965, 2247788981, 2247788930, 2247788933, 2247788928, 2247788964, 2247788931, 2247788925]",residential,,,,,,,,,,,,,,,,,,,,,
way,215364344,15,67657,Walter-Gropius-Straße,"POLYGON ((7.8012824 49.4530986, 7.8013481 49.4530541, 7.8012209 49.4529748, 7.8011552 49.4530193, 7.8012824 49.4530986))",Kaiserslautern,,,"[2247788978, 2247788938, 2247788969, 2247788966, 2247788978]",residential,,,,,,,,,,,,,,,,,,,,,
way,215364345,3,67657,Oskar-Schlemmer-Ring,"POLYGON ((7.8016095 49.4533153, 7.8016769 49.4532702, 7.8015561 49.4531939, 7.8014886 49.453239, 7.8016095 49.4533153))",Kaiserslautern,,,"[2247788923, 2247788951, 2247788963, 2247788967, 2247788923]",residential,,,,,,,,,,,,,,,,,,,,,
way,215364346,1,67657,Oskar-Schlemmer-Ring,"POLYGON ((7.8017222 49.4532449, 7.8017908 49.4532022, 7.801674 49.453123, 7.8016055 49.4531657, 7.8017222 49.4532449))",Kaiserslautern,,,"[2247788945, 2247788957, 2247788961, 2247788947, 2247788945]",residential,,,,,,,,,,,,,,,,,,,,,
way,215364347,5,67657,Oskar-Schlemmer-Ring,"POLYGON ((7.8014921 49.4533928, 7.8015577 49.453347, 7.8014355 49.453273, 7.8013698 49.4533189, 7.8014921 49.4533928))",Kaiserslautern,,,"[2247788960, 2247788934, 2247788974, 2247788929, 2247788960]",residential,,,,,,,,,,,,,,,,,,,,,
way,215364348,17,67657,Walter-Gropius-Straße,"POLYGON ((7.8011483 49.4531837, 7.8012117 49.4531448, 7.8010892 49.4530605, 7.8010258 49.4530994, 7.8011483 49.4531837))",Kaiserslautern,,,"[2247788953, 2247788954, 2247788946, 2247788952, 2247788953]",residential,,,,,,,,,,,,,,,,,,,,,
way,215364349,19,67657,Walter-Gropius-Straße,"POLYGON ((7.8010193 49.4532719, 7.8010918 49.4532286, 7.8009736 49.453145, 7.8009011 49.4531884, 7.8010193 49.4532719))",Kaiserslautern,,,"[2247788949, 2247788956, 2247788955, 2247788941, 2247788949]",residential,,,,,,,,,,,,,,,,,,,,,
way,215366118,1,67657,Walter-Gropius-Straße,"POLYGON ((7.8011459 49.452405, 7.8010832 49.4523181, 7.801207 49.4522804, 7.8012697 49.4523673, 7.8011459 49.452405))",Kaiserslautern,,,"[2247799219, 2247799295, 2247799320, 2247799313, 2247799219]",residential,,,,,,,,,,,,,,,,,,,,,
way,215366119,3,67657,Walter-Gropius-Straße,"POLYGON ((7.801184 49.4525395, 7.8013364 49.4525009, 7.8012984 49.4524375, 7.801146 49.4524762, 7.801184 49.4525395))",Kaiserslautern,,,"[2247799136, 2247799277, 2247799142, 2247799183, 2247799136]",residential,,,,,,,,,,,,,,,,,,,,,
way,215366120,,,,"POLYGON ((7.8023668 49.4530194, 7.8025265 49.4529926, 7.8024243 49.4527363, 7.8022647 49.4527632, 7.8022897 49.452826, 7.8023444 49.4529632, 7.8023668 49.4530194))",,,,"[2247799237, 2247799364, 2247799139, 2247799187, 2889043004, 2889043003, 2247799237]",residential,,,,,,,,,,,,,,,,,,,,,
way,215366121,,,,"POLYGON ((7.8021463 49.4523713, 7.8022837 49.4523533, 7.8022203 49.4521721, 7.8020821 49.4521863, 7.8020955 49.4522251, 7.8021289 49.4523212, 7.8021463 49.4523713))",,,,"[2247799154, 2247799179, 2247799268, 2247799241, 2889043008, 2889043007, 2247799154]",residential,,,,,,,,,,,,,,,,,,,,,
way,215366122,11,67657,Walter-Gropius-Straße,"POLYGON ((7.8013835 49.4528686, 7.8015409 49.452833, 7.8015112 49.4527776, 7.8013538 49.4528132, 7.8013835 49.4528686))",Kaiserslautern,,,"[2247799171, 2247799283, 2247799358, 2247799316, 2247799171]",residential,,,,,,,,,,,,,,,,,,,,,
way,215366124,5,67657,Walter-Gropius-Straße,"POLYGON ((7.8012337 49.4526206, 7.8011976 49.4525661, 7.8013498 49.4525234, 7.801386 49.4525778, 7.8012337 49.4526206))",Kaiserslautern,,,"[2247799367, 2247799274, 2247799262, 2247799265, 2247799367]",residential,,,,,,,,,,,,,,,,,,,,,
way,215366125,9,67657,Walter-Gropius-Straße,"POLYGON ((7.8013338 49.4527887, 7.8012979 49.4527299, 7.8014469 49.4526914, 7.8014828 49.4527503, 7.8013338 49.4527887))",Kaiserslautern,,,"[2247799244, 2247799307, 2247799205, 2247799304, 2247799244]",residential,,,,,,,,,,,,,,,,,,,,,
way,215366126,,,,"POLYGON ((7.8022295 49.45345, 7.8022633 49.453433, 7.8023226 49.4534031, 7.8023667 49.4533809, 7.8022611 49.4532923, 7.802124 49.4533614, 7.8022295 49.45345))",,,,"[2247799288, 2889041897, 2889041898, 2247799253, 2247799163, 2247799290, 2247799288]",residential,,,,,,,,,,,,,,,,,,,,,
way,215366129,7,67657,Walter-Gropius-Straße,"POLYGON ((7.8012817 49.4527067, 7.8012464 49.4526598, 7.8013995 49.4526112, 7.8014347 49.4526582, 7.8012817 49.4527067))",Kaiserslautern,,,"[2247799292, 2247799147, 2247799298, 2247799323, 2247799292]",residential,,,,,,,,,,,,,,,,,,,,,
way,215366130,,,,"POLYGON ((7.8022921 49.4526743, 7.8024237 49.4526521, 7.8023292 49.4524152, 7.8021975 49.4524374, 7.8022231 49.4525016, 7.8022697 49.4526182, 7.8022921 49.4526743))",,,,"[2247799361, 2247799201, 2247799326, 2247799157, 2889043006, 2889043005, 2247799361]",residential,,,,,,,,,,,,,,,,,,,,,
way,215366134,13,67657,Walter-Gropius-Straße,"POLYGON ((7.8015125 49.4529957, 7.801634 49.4529642, 7.8015777 49.4528724, 7.8014563 49.4529038, 7.8015125 49.4529957))",Kaiserslautern,,,"[2247799286, 2247799216, 2247799271, 2247799329, 2247799286]",residential,,,,,,,,,,,,,,,,,,,,,
way,215366436,9,67657,Am Zimmermannskreuz,"POLYGON ((7.8000699 49.4536411, 7.8001968 49.4536624, 7.8002564 49.4535124, 7.8001295 49.4534911, 7.8000699 49.4536411))",Kaiserslautern,,,"[2247800848, 2247800842, 2247800834, 2247800833, 2247800848]",residential,,,,,,,,,,,,,,,,,,,,,
way,215366438,7,67657,Am Zimmermannskreuz,"POLYGON ((7.8001762 49.4534179, 7.8002929 49.4534432, 7.8003639 49.4533046, 7.8002473 49.4532794, 7.8001762 49.4534179))",Kaiserslautern,,,"[2247800830, 2247800852, 2247800829, 2247800839, 2247800830]",residential,,,,,,,,,,,,,,,,,,,,,
way,215366439,1a,67657,Am Zimmermannskreuz,"POLYGON ((7.8005945 49.4524905, 7.8007366 49.4525334, 7.8007939 49.4524533, 7.8006518 49.4524103, 7.8005945 49.4524905))",Kaiserslautern,,,"[2247800840, 2247800831, 2247800837, 2247800844, 2247800840]",residential,,,,,,,,,,,,,,,,,,,,,
way,215366440,5,67657,Am Zimmermannskreuz,"POLYGON ((7.8002765 49.453211, 7.8004003 49.4532422, 7.8004863 49.453098, 7.8003625 49.4530668, 7.8002765 49.453211))",Kaiserslautern,,,"[2247800850, 2247800841, 2247800836, 2247800849, 2247800850]",residential,,,,,,,,,,,,,,,,,,,,,
way,215366441,1,67657,Am Zimmermannskreuz,"POLYGON ((7.8005637 49.452805, 7.8006672 49.4528367, 7.8007686 49.4526965, 7.8006652 49.4526648, 7.8005637 49.452805))",Kaiserslautern,,,"[2247800846, 2247800851, 2247800835, 2247800847, 2247800846]",residential,,,,,,,,,,,,,,,,,,,,,
way,215366442,3,67657,Am Zimmermannskreuz,"POLYGON ((7.8004215 49.4529957, 7.8005282 49.4530276, 7.8006185 49.4529001, 7.8005118 49.4528682, 7.8004215 49.4529957))",Kaiserslautern,,,"[2247800838, 2247800832, 2247800843, 2247800845, 2247800838]",residential,,,,,,,,,,,,,,,,,,,,,
way,231238822,44,67659,Lothringer Dell,"POLYGON ((7.7397238 49.4466116, 7.7396416 49.4465836, 7.7395952 49.4465677, 7.7395564 49.4466157, 7.7395309 49.4466473, 7.7397209 49.4467122, 7.7397945 49.4466209, 7.7397332 49.4466, 7.7397238 49.4466116))",Kaiserslautern,,,"[2396473689, 2396473685, 2396473684, 2396473690, 2396473694, 2396473696, 2396473691, 2396473686, 2396473689]",residential,,,,,,,,,,,,,,,,,,,,,
