element_type,osmid,geometry,name,wheelchair,nodes,addr:city,addr:housenumber,addr:postcode,addr:street,building,addr:country,alt_name,building:levels,building:material,roof:material,brand,brand:wikidata,brand:wikipedia,opening_hours,shop,note,website,addr:suburb,operator,smoking
way,676034634,"POLYGON ((7.6937259 49.4631282, 7.6938846 49.4631844, 7.6941863 49.462825, 7.6940162 49.4627647, 7.6938842 49.4629219, 7.6937523 49.4628751, 7.6941043 49.4624558, 7.694056 49.4624387, 7.6940848 49.4624045, 7.6938905 49.4623356, 7.693795 49.4624495, 7.6938771 49.4624786, 7.6935675 49.4628474, 7.6935282 49.4628335, 7.6934031 49.4629826, 7.6935522 49.4630355, 7.6936277 49.4629456, 7.6936818 49.4629647, 7.6936466 49.4630067, 7.6937863 49.4630563, 7.6937259 49.4631282))",Coherent,,"[6331131476, 6331131477, 6331131478, 6331131479, 6331131480, 6331131481, 6331131482, 6331131483, 6331131484, 6331131885, 6331131886, 6331131887, 6331131888, 6331131889, 6331131890, 6331131891, 6331131892, 6331131893, 6331131894, 6331131895, 6331131476]",Kaiserslautern,10,67661,Opelstraße,commercial,,,,,,,,,,,Lasertechnologie,https://www.coherent.com/,,,
way,676034635,"POLYGON ((7.694544 49.4626318, 7.6947757 49.4627309, 7.6948542 49.4626533, 7.6949104 49.4626772, 7.6948793 49.462708, 7.6950513 49.4627815, 7.6952893 49.4625464, 7.6951135 49.4624712, 7.6950241 49.4625596, 7.694995 49.4625884, 7.6949495 49.4626333, 7.6946654 49.4625118, 7.694544 49.4626318))",F. K. Horn GmbH,,"[6331131896, 6331131897, 6331131898, 6331131899, 6331131900, 6331131901, 6331131902, 6331131903, 6705235656, 6705235665, 6331131904, 6331131905, 6331131896]",Kaiserslautern,4,67661,Sauerwiesen,commercial,DE,,,,,,,,,,,,Siegelbach,,
way,676034636,"POLYGON ((7.6928877 49.4636442, 7.6932927 49.4637002, 7.6932872 49.463717, 7.6935475 49.463753, 7.693584 49.4636412, 7.6935034 49.4636301, 7.693583 49.4633869, 7.6933901 49.4633603, 7.6933787 49.4633949, 7.6932682 49.4633796, 7.693237 49.463475, 7.6931249 49.4634595, 7.6931013 49.4635318, 7.6929321 49.4635084, 7.6928877 49.4636442))",,,"[6331131906, 6705236392, 6705236391, 6331131907, 6331131908, 6331131909, 6331131910, 6331131911, 6331131912, 6331131913, 6331131914, 6331131915, 6331131916, 6331131917, 6331131906]",Kaiserslautern,12,67661,Opelstraße,commercial,DE,,,,,,,,,,,,Siegelbach,,
way,676034637,"POLYGON ((7.6962897 49.4635469, 7.6963702 49.4635818, 7.6961646 49.4637823, 7.6963918 49.4638806, 7.6964431 49.4638305, 7.6964992 49.4638548, 7.6965749 49.463781, 7.6965244 49.4637591, 7.6966537 49.463633, 7.6964263 49.4635345, 7.6964523 49.4635091, 7.6963665 49.4634719, 7.6962897 49.4635469))",Autoglas Meisterbetrieb,,"[6331131918, 6705236729, 6705236730, 6331131919, 6331131920, 6331131921, 6331131922, 6331131923, 6331131924, 6331131925, 6331131926, 6331131929, 6331131918]",Kaiserslautern,6B,67661,Sauerwiesen,commercial,DE,,,,,,,,,car_repair,,,Siegelbach,,
way,709004281,"POLYGON ((7.6812743 49.4332339, 7.6818238 49.4333324, 7.6819283 49.4330859, 7.6813787 49.4329875, 7.6812743 49.4332339))",,,"[6662365503, 6662365504, 6662365505, 6662365506, 6662365503]",Kaiserslautern,1,67661,Am Rangierbahnhof,commercial,,,,,,,,,,,,,,,
way,709015208,"POLYGON ((7.7237741 49.4401138, 7.7243969 49.4401957, 7.7243747 49.4402668, 7.7248048 49.4403234, 7.7250461 49.4395478, 7.7239589 49.4394047, 7.7239486 49.4394379, 7.7238159 49.4398642, 7.7238503 49.4398687, 7.7237741 49.4401138))",,,"[340133998, 7278288484, 7278300085, 6662554226, 6662554227, 801945545, 1292971272, 824177694, 2305443246, 340133998]",,,,,commercial,,,,,,,,,,,,,,,
way,799399936,"POLYGON ((7.6911654 49.4221242, 7.6912432 49.4221247, 7.6912447 49.4220819, 7.6911654 49.4220828, 7.6911654 49.4221242))",Wasserhaus,,"[7476317556, 7476317557, 7476317558, 7476317559, 7476317556]",,2820,,,commercial,,,,,,,,,,,,,,,
way,800399798,"POLYGON ((7.6835053 49.4863971, 7.6802101 49.4860293, 7.6805421 49.4847738, 7.6838374 49.4851417, 7.6835053 49.4863971))",ID Logistics,,"[7485589417, 7485589416, 7485589415, 7485589414, 7485589417]",Kaiserslautern,7,67661,Hans-Geiger-Straße,commercial,DE,,,,,,,,,,,,Siegelbach,,
way,907813321,"POLYGON ((7.7761694 49.4391108, 7.7762232 49.4389867, 7.7755341 49.43882, 7.7754678 49.438958, 7.7761694 49.4391108))",DRK Kreisverband Kaiserslautern-Stadt,,"[8429526677, 8429526678, 8429526679, 8429526680, 8429526677]",Kaiserslautern,27,67655,Barbarossastraße,commercial,,,4,,,,,,,,,,,DRK Kreisverband Kaiserslautern-Stadt,outside
way,912804111,"POLYGON ((7.8210117 49.3759795, 7.8210233 49.3759001, 7.8211211 49.3759062, 7.8211095 49.3759856, 7.8210117 49.3759795))",,,"[8479374080, 8479374081, 4311179794, 4311179796, 8479374080]",,46,,Eulentalstraße,commercial,,,,,,,,,,,,,,,
way,1044478632,"POLYGON ((7.7532724 49.4368168, 7.7535084 49.4369335, 7.753636 49.4368245, 7.7536917 49.4368521, 7.7537558 49.4367973, 7.7537027 49.436771, 7.7538522 49.4366432, 7.7536137 49.4365252, 7.7532724 49.4368168))",,,"[9610848645, 9610848646, 9610848647, 9610848648, 9610848649, 9610848650, 9610848651, 9610848652, 9610848645]",,,,,commercial,,,,,,,,,,,,,,,
way,1102343385,"POLYGON ((7.8172338 49.4527502, 7.8164758 49.452973, 7.8164358 49.4530087, 7.8164144 49.4530475, 7.8164083 49.4530849, 7.8164103 49.4531222, 7.8165181 49.4532772, 7.8169437 49.4531522, 7.816967 49.4531857, 7.81744 49.4530467, 7.8172338 49.4527502))",Porsche Zentrum Kaiserslautern,,"[10086984856, 10086984850, 10086984844, 10086984849, 10086984843, 10086984851, 10086984855, 10086984852, 10086984853, 10086984854, 10086984856]",Kaiserslautern,37,67657,Europaallee,commercial,DE,,,,,Porsche,,,,car,,https://www.porsche-kaiserslautern.de/,,Georg Rittersbacher Sportwagen GmbH,
