element_type,osmid,barrier,geometry,amenity,name,website,wheelchair,addr:city,addr:housenumber,addr:postcode,addr:street,contact:email,contact:fax,contact:phone,operator,religion,opening_hours,nodes,building:levels,building:part,roof:levels,roof:shape,wikidata,wikipedia,phone,old_name,wheelchair:description,short_name,toilets:wheelchair,fax,landuse,addr:country,building,contact:website,isced:level,addr:suburb,email,grades,ways,type
way,105581013,,"POLYGON ((7.7713339 49.448063, 7.771287 49.4480556, 7.7713242 49.4479596, 7.7713395 49.4479289, 7.770299 49.4477468, 7.7702829 49.4477856, 7.7702604 49.44784, 7.7700737 49.447812, 7.7696516 49.4485576, 7.7710386 49.4488583, 7.7713339 49.448063))",school,Berufsbildende Schule II: Wirtschaft und Soziales,,limited,,,,,,,,,,,"[1215824193, 1237071928, 1237071905, 1237071355, 1237071829, 1237071398, 3395839673, 3395839671, 3395839685, 1215824288, 1215824193]",,,,,,,,,,BBS II,,,,,,,,,,,,
way,106623698,,"POLYGON ((7.7564682 49.4458549, 7.7566205 49.4451668, 7.755922 49.44509, 7.7559324 49.4450536, 7.7560769 49.4444787, 7.755419 49.4444113, 7.7552294 49.4445661, 7.7551743 49.4447593, 7.7552631 49.4449262, 7.7556906 49.4449755, 7.7556777 49.4450271, 7.7556026 49.4452973, 7.7557153 49.4453101, 7.7559431 49.4453359, 7.755833 49.4457462, 7.7558259 49.4457813, 7.7564682 49.4458549))",school,Kottenschule,,,,,,,,,,,,,"[1226616257, 1226614658, 1226614904, 1226616157, 1226615428, 1226615020, 1226615658, 1226616115, 1226616451, 1226616826, 1226616892, 1226617212, 1226616181, 1226614845, 1226615280, 1685726571, 1226616257]",,,,,,,,,,,,,,,,,,,,,,
way,107415454,,"POLYGON ((7.7787321 49.4465693, 7.7789379 49.4464578, 7.7790471 49.4463983, 7.7791356 49.446351, 7.779204 49.4463145, 7.7793217 49.4462497, 7.779403 49.4462046, 7.7794519 49.4462431, 7.7795298 49.4463023, 7.7796744 49.446412, 7.7797109 49.446438, 7.780145 49.4462077, 7.7798925 49.4459735, 7.7798502 49.4457676, 7.7793752 49.4458004, 7.7794039 49.4459318, 7.7790695 49.4459619, 7.7790073 49.4459666, 7.7786471 49.4459751, 7.7785026 49.4459653, 7.7784595 49.4459658, 7.7784911 49.4460215, 7.7784351 49.4460339, 7.7784163 49.4460372, 7.7784649 49.4461564, 7.778511 49.4462596, 7.7786279 49.4464496, 7.778666 49.4464965, 7.7787321 49.4465693))",school,Luitpoldschule,,,,,,,,,,,,,"[1234574218, 1234573913, 1234574285, 1234574423, 1234574334, 1234573873, 1234573977, 1234573677, 1234574600, 1234574404, 1234574153, 1234574087, 1234574266, 1234573900, 1234574613, 1234574326, 1234574565, 1234574409, 1234574545, 1234574339, 1234574425, 1234574233, 1234573702, 1234573876, 1234574026, 1234573719, 1234573568, 1234573776, 1234574218]",,,,,,,,,,,,,,,,,,,,,,
way,107680282,,"POLYGON ((7.7716085 49.4476307, 7.7723777 49.4478093, 7.7727049 49.4474141, 7.7718846 49.4471057, 7.7715071 49.447009, 7.771408 49.4470192, 7.7712154 49.4470198, 7.7708904 49.4469827, 7.7706209 49.4474105, 7.7716085 49.4476307))",school,Gymnasium am Rittersberg,https://www.rittersberg.de/,yes,,,,,,,,,,,"[1237071353, 1215823624, 1215822903, 1215823913, 1821282036, 1215823871, 1215823024, 1215824026, 1237071684, 1237071353]",,,,,Q101492595,,+49 631 362170,,,,yes,,,,,,,,,,,
way,113688817,,"POLYGON ((7.7535846 49.4530968, 7.7533701 49.4530358, 7.7531207 49.45298, 7.7534628 49.4524677, 7.7528466 49.4522851, 7.7529198 49.4521705, 7.7528554 49.4520327, 7.7528179 49.4519525, 7.7529547 49.4517764, 7.7529834 49.4516998, 7.7538943 49.4519438, 7.7542693 49.4513762, 7.7543715 49.4513121, 7.754542 49.4513387, 7.7548787 49.4514071, 7.7550703 49.451464, 7.7551507 49.451517, 7.755176 49.4515344, 7.7560832 49.4517876, 7.7561244 49.4517988, 7.7562144 49.4518242, 7.7564551 49.4518943, 7.7555089 49.4531633, 7.7552851 49.4534347, 7.7546594 49.4532699, 7.7545619 49.4533835, 7.7544108 49.4533084, 7.754397 49.4532977, 7.7543511 49.4532803, 7.7542691 49.4532659, 7.7541907 49.453232, 7.7539907 49.4531942, 7.7535846 49.4530968))",school,Berufsbildende Schule I - Technik,https://bbs1-kl.de/,limited,,,,,,,,,,,"[1288893423, 1797251180, 1288893337, 1288893444, 1288892577, 5072390153, 5072390154, 5072390155, 5072390156, 1288892684, 1288892772, 1288893047, 1288893283, 1103143951, 5381335636, 1103144453, 1797229341, 5072390109, 5072390108, 1676735479, 1103144540, 1288892619, 1797251160, 1288893431, 1288892666, 1288893528, 5381330019, 5381330018, 1676735496, 5381330020, 1797251202, 5381330017, 1288893423]",,,,,,,+49 631 37270,,,,,+49 631 3727190,education,,,,,,,,,
way,117623463,,"POLYGON ((7.7259402 49.4042466, 7.7265706 49.4040179, 7.7276279 49.4036451, 7.7272213 49.4031978, 7.727072 49.4031542, 7.7268739 49.4031244, 7.7266925 49.4031228, 7.7265013 49.4031358, 7.7263062 49.4031733, 7.726354 49.403242, 7.7260151 49.4033638, 7.7257707 49.4034516, 7.72565 49.4037702, 7.7257585 49.4039014, 7.7257288 49.4039912, 7.7259402 49.4042466))",school,Grundschule Dansenberg,,limited,,,,,,,,,,,"[1324708473, 2252673831, 1324708453, 1324708429, 1324708426, 1324708422, 2266269209, 2266269211, 2266269212, 2266269228, 2266269247, 1324708437, 1324708459, 1324708467, 1324708471, 1324708473]",,,,,,,,,,,,,,,,,,,,,,
way,132905395,,"POLYGON ((7.7611915 49.4275214, 7.7622288 49.4276677, 7.7621372 49.427949, 7.7630486 49.4280907, 7.7626151 49.427284, 7.7627405 49.4269822, 7.7631557 49.4267116, 7.7621506 49.4258334, 7.7616054 49.4254548, 7.7610137 49.4251815, 7.760145 49.4248957, 7.7596837 49.4247461, 7.7592159 49.4245923, 7.7590252 49.4245493, 7.7588334 49.4245669, 7.7588132 49.4249091, 7.7592879 49.4250748, 7.7593165 49.4253233, 7.7589445 49.4257186, 7.7591229 49.4262677, 7.759753 49.426167, 7.7608876 49.4260547, 7.7611915 49.4275214))",school,Heinrich-Heine-Gymnasium,https://www.hhg-kl.de/,yes,,,,,,,,,,,"[582975298, 582975299, 582975300, 582975302, 582975303, 582975287, 582975288, 1287562379, 1859837310, 274563135, 1462110048, 1462110041, 1462110037, 704353344, 704353321, 1462110046, 628647735, 628647727, 1859837322, 628647736, 1859837336, 628647740, 582975298]",,,,,Q516444,,,,,HHG,,,,,,,,,,,,
way,132905396,,"POLYGON ((7.757809 49.4260634, 7.7581133 49.4261548, 7.7582732 49.4261289, 7.7588089 49.4260419, 7.7586571 49.4257476, 7.7586183 49.4254886, 7.7586693 49.4249883, 7.7582836 49.42476, 7.7572594 49.4248461, 7.757809 49.4260634))",school,Pestalozzischule,http://schulen-kl.de/pestalozzi/,,,,,,,,,,,,"[405105999, 1766321871, 405106001, 582975285, 1462110077, 628647711, 1462110053, 628647710, 565345777, 405105999]",,,,,Q54339472,,,,,,,,,,,,,,,,,
way,176693946,,"POLYGON ((7.7790159 49.4290418, 7.7796857 49.4294007, 7.7799867 49.4296617, 7.7806119 49.42936, 7.780658 49.4293377, 7.7809014 49.4292203, 7.7809288 49.4292452, 7.7809604 49.429274, 7.7819785 49.4286925, 7.7813322 49.4280189, 7.7802011 49.4284839, 7.7790542 49.4289554, 7.7790129 49.4289996, 7.7790159 49.4290418))",school,Betzenberg Grundschule,,,Kaiserslautern,95-97,67663,Kantstraße,,,,,,,"[1871728667, 1871728879, 1871728952, 1871728864, 1871728854, 1871728781, 1871728788, 1871728795, 1871728549, 1871728362, 1871728506, 1871728637, 1871728656, 1871728667]",,,,,,,,,,,,,,DE,,,,,,,,
way,183049354,,"POLYGON ((7.738855 49.4368646, 7.7385114 49.4359269, 7.7392669 49.4359442, 7.7393897 49.4362947, 7.7395822 49.4362994, 7.7396303 49.4366045, 7.7399719 49.4366436, 7.7399629 49.4366804, 7.7398805 49.4370175, 7.7392092 49.4369518, 7.7389033 49.436892, 7.738855 49.4368646))",school,Stresemannschule,,,,,,,,,,,,,"[1934094953, 1934094379, 1934094398, 1934094629, 1934094630, 1934094821, 1934094854, 1940204622, 1934094995, 1934094980, 1940204693, 1934094953]",,,,,,,,,,,,,,,,,,,,,,
way,184622777,,"POLYGON ((7.7248416 49.4318056, 7.7252638 49.4315921, 7.7254855 49.4315602, 7.7256796 49.4315754, 7.7260399 49.4316489, 7.7263705 49.4317377, 7.726701 49.4315616, 7.7263513 49.4312066, 7.7263305 49.43114, 7.7265202 49.4310678, 7.7270469 49.4310359, 7.7270299 49.4308321, 7.7265608 49.4306615, 7.7264819 49.4304687, 7.7262345 49.4304258, 7.7258443 49.4304119, 7.7253517 49.4304632, 7.7249807 49.4305589, 7.7246545 49.4307031, 7.7244583 49.4308238, 7.7242621 49.4309971, 7.7241406 49.4311441, 7.7240361 49.431305, 7.7242045 49.4313494, 7.7243453 49.4314104, 7.7248416 49.4318056))",school,Bännjerrückschule,,,Kaiserslautern,109,67663,Leipziger Straße,,,,,,,"[1951235268, 1951235188, 1951235171, 1951235178, 1951235210, 1951235230, 1951235173, 1951235062, 1951235043, 1951235022, 1951235013, 1951234945, 1951234897, 1951234881, 1951234858, 1951234857, 1951234874, 1951234890, 1951234902, 1951234942, 1951234990, 1951235046, 1951235090, 1951235104, 1951235118, 1951235268]",,,,,,,+49 631 3654930,,,,,,,DE,,,,,,,,
way,184622778,,"POLYGON ((7.7274958 49.4307046, 7.7272521 49.4305745, 7.7270229 49.4304651, 7.7269765 49.4304013, 7.7269686 49.430335, 7.7270255 49.4302109, 7.7270852 49.4300825, 7.7271289 49.4300524, 7.7272057 49.4300446, 7.7275687 49.4300843, 7.7276455 49.4301289, 7.727705 49.4301635, 7.7277631 49.4301075, 7.7279423 49.4301282, 7.7280999 49.4301584, 7.728194 49.4301954, 7.728137 49.4302402, 7.7282337 49.4302997, 7.7282854 49.4303462, 7.7283238 49.4304039, 7.7283529 49.4304823, 7.7283967 49.4306029, 7.7284086 49.4306452, 7.7282509 49.4306856, 7.7281145 49.4307356, 7.7278323 49.4309183, 7.7274958 49.4307046))",school,Fritz-Walter-Schule,,,Kaiserslautern,68-70,67663,Erfurter Straße,,,,,,,"[1951234903, 1951234892, 1951234876, 1951234853, 1951234846, 1951234830, 1951234806, 1951234804, 1951234802, 1951234807, 1951234812, 1951234815, 1951234808, 1951234810, 1951234813, 1951234825, 1951234833, 1951234843, 1951234848, 1951234854, 1951234883, 1951234895, 1951234896, 1951234901, 1951234931, 1951234977, 1951234903]",,,,,,,+49 631 3505823,,"großer Aufzug, fährt aber nicht in Untergeschoss",,,,,DE,,,,,,,,
way,206559258,,"POLYGON ((7.6965057 49.4118977, 7.6965133 49.4115143, 7.6965438 49.4114499, 7.696626 49.4114331, 7.6975091 49.4116074, 7.6974771 49.4116986, 7.6974801 49.4117352, 7.6975319 49.4117808, 7.6975781 49.4118165, 7.6973083 49.4120385, 7.6969168 49.4119185, 7.6968254 49.4119115, 7.6965057 49.4118977))",school,Grundschule Hohenecken,,no,Kaiserslautern,2,67661,Forststraße,,,,,,,"[2165734446, 2165734354, 2165734306, 2165734297, 2165734389, 2165734418, 2165734419, 2165734424, 364896813, 2165734462, 2165734451, 2165734449, 2165734446]",,,,,,,,,,,,,,DE,,,,,,,,
way,208054232,fence,"POLYGON ((7.7995795 49.4420964, 7.7995835 49.4420141, 7.7995865 49.4419551, 7.7994971 49.4414446, 7.798604 49.4410315, 7.7972664 49.4413522, 7.7977295 49.4421933, 7.7977626 49.4422536, 7.7995795 49.4420964))",school,Stiftswaldschule,,,Kaiserslautern,54,67657,Stiftswaldstraße,,,,,,,"[2183509587, 2183509584, 2183509573, 2183509404, 2183509388, 276493249, 2183509595, 2183509601, 2183509587]",,,,,,,,,,,,,,DE,,,,,,,,
way,230588560,,"POLYGON ((7.7354011 49.4478242, 7.7364575 49.4482146, 7.7369343 49.4483851, 7.737153 49.448432, 7.7373642 49.4485489, 7.7376508 49.4484115, 7.7376384 49.4480725, 7.7376343 49.4479606, 7.7376143 49.4479418, 7.7376152 49.447912, 7.7376161 49.4478828, 7.7376154 49.4477513, 7.7376143 49.4475612, 7.7366913 49.4475719, 7.7366592 49.4471967, 7.7353863 49.4472078, 7.7354011 49.4478242))",school,Fischerrückschule,,,,,,,,,,,,,"[1292971152, 1292970984, 2390779198, 2390779219, 2390779250, 2390779207, 2390779164, 2390779105, 2390779100, 2390779092, 2390779084, 2390779030, 2390778941, 2390778971, 1292971013, 1292970902, 1292971152]",,,,,,,,,,,,,,,,,,,,,,
way,243700422,,"POLYGON ((7.6643059 49.432909, 7.6644698 49.4329534, 7.6645658 49.4328035, 7.6647052 49.4328413, 7.66469 49.432865, 7.6648457 49.4329072, 7.6649333 49.4327706, 7.6644743 49.4326462, 7.6643059 49.432909))",school,Faith Baptist School,,,Kaiserslautern,17,67661,Lichtenbrucher Straße,,,+49 631 3187520,,,,"[2510742684, 2510742688, 2510742671, 2510742677, 2510742681, 2510742683, 2510742661, 2510742639, 2510742684]",,,,,,,,,,,,,,DE,school,https://fbseagles.com/,1,,,,,
way,282681425,,"POLYGON ((7.7534339 49.4414974, 7.7537021 49.4415009, 7.7538684 49.441466, 7.7539811 49.4414137, 7.7546677 49.440873, 7.7547106 49.4407823, 7.7547053 49.4407126, 7.7546731 49.4406324, 7.754142 49.4402905, 7.7539333 49.4401744, 7.7536587 49.440471, 7.7533645 49.4403652, 7.7527378 49.4408561, 7.7532837 49.4413683, 7.7534339 49.4414974))",school,Integrierte Gesamtschule „Goetheschule“,https://goetheschulekl.de/,,,,,,,,,,,,"[2866161472, 2866161477, 2866161478, 2866161481, 2866161480, 2866161475, 2866161483, 2866161476, 2866161479, 340072876, 1154355019, 1154354609, 340072875, 2866161485, 2866161472]",,,,,,,,,,,,,,,,,,,,,,
way,301090132,,"POLYGON ((7.7973994 49.4515587, 7.7975108 49.4515491, 7.7976285 49.4515532, 7.7977484 49.4513851, 7.7977463 49.4512512, 7.7977126 49.4511692, 7.7973826 49.4508549, 7.7971955 49.4506964, 7.7968423 49.4507743, 7.7966847 49.4509109, 7.7965754 49.4510612, 7.7957933 49.450803, 7.7956063 49.4510339, 7.7964597 49.4512963, 7.7973994 49.4515587))",school,Geschwister Scholl Schule,,limited,Kaiserslautern,37,67657,Schreberstraße,,,,,,,"[3051977886, 3051977884, 3051977885, 3051977883, 3051977881, 3051977880, 3051977876, 3051977873, 3051977874, 3051977877, 3051977879, 3051977875, 3051977878, 3051977882, 3051977886]",,,,,,,+49 631 46109,,,,,+49 631 3402855,,DE,,,,,,,,
way,301090133,,"POLYGON ((7.7957933 49.450803, 7.7965754 49.4510612, 7.7966847 49.4509109, 7.7968423 49.4507743, 7.7971955 49.4506964, 7.7966678 49.4502577, 7.7960919 49.4498627, 7.7957198 49.4503615, 7.7960393 49.4504668, 7.7957933 49.450803))",school,Lina-Paff-Realschule Plus Orientierungsstufe,,,Kaiserslautern,39,67657,Schreberstraße,,,,,,,"[3051977875, 3051977879, 3051977877, 3051977874, 3051977873, 3051977870, 3051977869, 3051977871, 3051977872, 3051977875]",,,,,,,,,,,,,,DE,,,,,,,,
way,303991347,,"POLYGON ((7.7298914 49.4592999, 7.7300175 49.4588486, 7.7311647 49.4589873, 7.7311336 49.4590742, 7.7310551 49.4592394, 7.7310445 49.4592643, 7.7310221 49.4593175, 7.7309028 49.4594171, 7.7306885 49.4595085, 7.7298914 49.4592999))",school,Grundschule Erzhütten,,,Kaiserslautern,101,67659,Erzhütter Straße,,,,,,,"[3085073443, 3085073372, 3085073400, 3085073415, 3085073439, 3085073440, 3085073446, 3085073449, 3085073452, 3085073443]",,,,,,,,,,,,,,DE,,,,,,,,
way,332446155,,"POLYGON ((7.7686784 49.4474909, 7.7687752 49.4474795, 7.7693046 49.447553, 7.7697051 49.447639, 7.7695598 49.4479984, 7.7696693 49.4480238, 7.7694175 49.4484895, 7.7693502 49.4485099, 7.7681709 49.4482557, 7.7681343 49.4482296, 7.7683239 49.4479059, 7.7689112 49.4480381, 7.7690276 49.4478128, 7.7687226 49.4477415, 7.768847 49.4475144, 7.7686784 49.4474909))",school,Albert-Schweitzer-Gymnasium,http://www.asg-kl.de,,Kaiserslautern,5,67657,Martin-Luther-Straße,,,,,,,"[2071282059, 1237071609, 1874257622, 1237071390, 3395839674, 3395839675, 3395839683, 3395839684, 3395839681, 3395839678, 2071282072, 2071282076, 2071282067, 2071282065, 2071282061, 2071282059]",,,,,Q1507123,,+49 631 366890,,,,,,,,,,,,,,,
way,332446160,,"POLYGON ((7.7731973 49.4545578, 7.7722565 49.4543267, 7.7718629 49.4542198, 7.7710637 49.4540046, 7.7714407 49.4530495, 7.7722818 49.4531892, 7.7737887 49.4534832, 7.7733194 49.454543, 7.7732626 49.4545554, 7.7731973 49.4545578))",school,Theodor-Heuss-Schule,https://gs-theodor-heuss-kl.de/,no,Kaiserslautern,37-39,67657,Haspelstraße,,,,,,,"[3395841209, 3395841206, 1159155256, 1159155344, 1159155301, 1159155315, 3395841205, 3395841207, 3395841208, 3395841209]",,,,,,,,,,,,,,DE,,,,,,,,
way,449011918,,"POLYGON ((7.8158086 49.4384185, 7.8151314 49.437583, 7.8145818 49.4377596, 7.8141622 49.4378935, 7.8140946 49.4379154, 7.8137147 49.4380321, 7.8134074 49.4381312, 7.8133872 49.4382934, 7.8139264 49.4388646, 7.8142912 49.4389151, 7.8158086 49.4384185))",school,Schule am Beilstein,,yes,Kaiserslautern,13,67657,Velmannstraße,,,,,,,"[4459777531, 4459777506, 2319714356, 2319714358, 2319714360, 2319714363, 4459777518, 4459777530, 4459777536, 4459777537, 4459777531]",,,,,,,+49 631 3402552,,,,,+49 631 3402553,,DE,,,,,,,,
way,466941999,,"POLYGON ((7.7162443 49.4311056, 7.7161198 49.431238, 7.7152799 49.4309042, 7.7152093 49.4309793, 7.7145726 49.4307262, 7.7145095 49.4307933, 7.7152646 49.4310934, 7.7151259 49.431241, 7.714614 49.4310376, 7.7145814 49.4310723, 7.7144861 49.4310344, 7.7145211 49.4309971, 7.7143689 49.4309366, 7.7143181 49.4309907, 7.7140422 49.430881, 7.714172 49.4307428, 7.7142757 49.4307841, 7.7143039 49.4307541, 7.7142639 49.4307382, 7.7144278 49.4305637, 7.714664 49.4306576, 7.7148216 49.4304898, 7.7150782 49.4305918, 7.7149667 49.4307105, 7.7150664 49.4307501, 7.7151736 49.4306359, 7.7153983 49.4307252, 7.7153235 49.4308049, 7.7158794 49.4310258, 7.715924 49.4309783, 7.7162443 49.4311056))",school,Vogelweh Elementary School,,,Kaiserslautern,Box 435,AE 09021,Unit 3009,xavier.flores@dodea.edu,+49 631 59073,+49 611 1435451475,DoDEA,,,"[4616399668, 4616399667, 4616399666, 4616399665, 4616399664, 4616399663, 4616399662, 4616399661, 4616399660, 4616399659, 4616399658, 4616399657, 4616399656, 4616399655, 4616399654, 4616399653, 4616399652, 4616399651, 4616399650, 4616399649, 4616399648, 4616399647, 4616399646, 4616399645, 4616399644, 4616399643, 4616399642, 4616399641, 4616399640, 4616399639, 4616399668]",,,,,,,,,,,,,,DE,school,https://www.dodea.edu/VogelwehES/index.cfm,1;2,,,,,
way,480071374,,"POLYGON ((7.7720249 49.4795538, 7.7721872 49.4794379, 7.7722206 49.4794094, 7.7719255 49.4792386, 7.7715996 49.4791384, 7.7715111 49.4792072, 7.7717847 49.4794773, 7.7719725 49.4795906, 7.7720249 49.4795538))",school,Grundschule Kaiserslautern-Erlenbach,,,,,,,,,,,,,"[4318550330, 4318550265, 4730958520, 4730958519, 4730958518, 4730958517, 4730958516, 4730958515, 4318550330]",,,,,,,,,,,,,,,,,,,,,,
way,702943399,,"POLYGON ((7.7114546 49.4809628, 7.7117286 49.4808732, 7.7117654 49.4809207, 7.7118418 49.4808958, 7.711805 49.4808482, 7.7119357 49.4808055, 7.711822 49.4806587, 7.7116789 49.4807055, 7.711728 49.480769, 7.7113901 49.4808794, 7.7114546 49.4809628))",school,Grundschule Pfaffenwog,https://gs-pfaffenwoog.de,,Kaiserslautern,108,67659,Siegelbacher Straße,,,,,,,"[6601490879, 6601490870, 6601490872, 6601490873, 6601490871, 6601490878, 6601490877, 6601490876, 6601490874, 6601490875, 6601490879]",,,,,,,+49 6301 8122,,,,,+49 6301 718786,,,,,,Erfenbach,gs.pfaffenwoog@kaiserslautern.de,1-4,,
