element_type,osmid,amenity,name,operator:wikidata,geometry,wheelchair,operator,addr:city,addr:housenumber,addr:postcode,addr:street,website,description,email,grades,operator:type,phone,contact:website,isced:level,max_age,min_age,short_name,alt_name,contact:instagram,name:etymology:wikidata,old_name,contact:phone,office,nodes,wikidata,wikipedia,building,addr:country,toilets:wheelchair,addr:suburb,contact:fax,contact:email,contact:twitter,name:fr,short_name:fr,wikimedia_commons,denomination,area,source,polling_station,polling_station:ref,historic,image,name:en,institution:pedagogy,contact:facebook,school:de,ways,building:levels,roof:shape,type
way,96785694,school,Wirtschaftswissenschaftliches Gymnasium / Saarland Kolleg,,"POLYGON ((6.9574935 49.2472166, 6.9577028 49.2473363, 6.9577337 49.2473134, 6.9581282 49.247539, 6.9580925 49.2475655, 6.9582861 49.2476762, 6.9584202 49.2475762, 6.9583022 49.2475087, 6.9583576 49.2474674, 6.958414 49.2474996, 6.9587403 49.2472564, 6.9583272 49.2470202, 6.9580292 49.2472422, 6.957946 49.2471946, 6.9578747 49.2472477, 6.9576354 49.2471109, 6.9574935 49.2472166))",limited,Regionalverband Saarbrücken,Saarbrücken,95,66113,Rheinstraße,http://www.wwgsk.de/,,,,public,,,,,,,,,,,,,"[1121217140, 1121217049, 1121217149, 1121217203, 1121217254, 1121217086, 1121217110, 1121217171, 1121217208, 1121217044, 1121217133, 1121217184, 1121217230, 1121217065, 1121217084, 1121217127, 1121217140]",Q1465732,,school,DE,,,,,,,,,,,,,,,,,,,,,,,
way,98704899,school,Gemeinschaftsschule Bruchwiese,Q6805,"POLYGON ((7.0081464 49.2345143, 7.0081823 49.2345142, 7.0083929 49.2345139, 7.0086906 49.2345134, 7.0096136 49.2345105, 7.0098597 49.2345097, 7.0098583 49.2341721, 7.0098588 49.2337589, 7.0098357 49.2334346, 7.0098421 49.2331697, 7.0098133 49.2329202, 7.0091268 49.2331041, 7.0090047 49.2331368, 7.0088708 49.233174, 7.0077769 49.2334777, 7.007778 49.2337428, 7.0077794 49.2337756, 7.0079371 49.2337764, 7.0080037 49.2337766, 7.0080602 49.233777, 7.0080603 49.2338689, 7.0081435 49.2338689, 7.0081459 49.2341216, 7.0081472 49.234488, 7.0081464 49.2345143))",,Regionalverband Saarbrücken,Saarbrücken,8,66121,Sachsenweg,,,,,public,,https://www.gems-bruchwiese.de/,2;3,,,,,,,Erweiterte Realschule Bruchwiese,+49 681 635032,,"[1141944975, 9272586434, 9403290252, 9272559515, 9727770929, 9395895864, 1853282186, 9254044499, 1141944979, 1141945008, 9513146784, 2282424341, 9513146783, 9730764548, 9513146787, 9730764581, 9513146786, 9730764580, 9730764589, 9513146785, 9395895863, 9395895862, 7801737128, 7801737120, 1141944975]",,,,DE,,St. Johann,+49 681 61598,,,,,,,,,,,,,,,,,,,,
way,98704909,school,Willi-Graf-Schulen,Q708778,"POLYGON ((7.0086779 49.2356336, 7.0087206 49.235635, 7.0089273 49.2357025, 7.0096009 49.2359223, 7.0093523 49.2362651, 7.00916 49.2365302, 7.0089054 49.2368812, 7.0085884 49.2367752, 7.0082094 49.2366485, 7.0073624 49.2363663, 7.0071779 49.2364422, 7.0071471 49.2364549, 7.0063167 49.2361963, 7.0062847 49.2361868, 7.0062477 49.2361756, 7.0058769 49.2360615, 7.0057522 49.2360214, 7.0057222 49.2360071, 7.0057207 49.2359773, 7.0058757 49.2355942, 7.0059332 49.2353396, 7.0059572 49.2351363, 7.0059543 49.2350154, 7.0059253 49.2348024, 7.0060356 49.2347219, 7.0060451 49.2347132, 7.006119 49.2346603, 7.0061329 49.2346509, 7.0058671 49.234495, 7.0058453 49.2343801, 7.0058886 49.2343786, 7.0064186 49.2343601, 7.006411 49.2340468, 7.0064114 49.2339726, 7.0064947 49.2339705, 7.0065889 49.2339709, 7.0067358 49.2340176, 7.0070981 49.2340191, 7.0070998 49.2340789, 7.0075473 49.2340745, 7.0075895 49.2340738, 7.007632 49.2340732, 7.0077713 49.2340706, 7.00778 49.2345519, 7.0076504 49.2345518, 7.0076573 49.2348073, 7.0076603 49.2349333, 7.0076673 49.2352685, 7.0082285 49.2354479, 7.0082787 49.2354649, 7.0086602 49.2355921, 7.0086678 49.2356102, 7.0086779 49.2356336))",,Bistum Trier,Saarbrücken,3,66121,Sachsenweg,http://willi-graf-schulen.de/,,,,religious,,,2;3,,,,,,Q62050,,,,"[4338338356, 4338322389, 9382126663, 4338305015, 10694165742, 10694165743, 1558426330, 10694165747, 9727770927, 2027899952, 9466562633, 4338305009, 4338338357, 4338338358, 9553303182, 9553303186, 4338338360, 8758943715, 4338305005, 1285520816, 2027899942, 2027899964, 1285520818, 4338304383, 4338304998, 1377451470, 4338338361, 4338304385, 4338304384, 1285520819, 7724754631, 1285520820, 4338338362, 9663842016, 9663864245, 4338338363, 4338304995, 1425382753, 1425382779, 4338338364, 1377451469, 9403046798, 1141944925, 9403046797, 9403046801, 9403046789, 7801737123, 2708622513, 10759582036, 837924855, 4338338355, 4338322287, 4338338356]",Q25392684,de:Willi-Graf-Schulen (Saarbrücken),,DE,,,,,,,,,,,,,,,,,,,,,,,
way,98853797,school,Otto-Hahn-Gymnasium,Q6805,"POLYGON ((7.0015125 49.2345553, 7.001472 49.2345407, 7.0014522 49.2345239, 7.0014097 49.2343627, 7.0005956 49.2344653, 7.0006018 49.234486, 7.0004275 49.2344944, 7.0004275 49.2344829, 7.0004277 49.2344745, 7.0004281 49.2344562, 7.0002708 49.2344663, 7.0001981 49.2344711, 7.0001806 49.2344751, 7.0001673 49.2344821, 7.0001605 49.2344943, 7.0001413 49.2347179, 7.0002724 49.2347715, 7.0004238 49.2347741, 7.0004065 49.2347902, 7.0005468 49.2348439, 7.0005269 49.2348668, 7.0008982 49.2350047, 7.0010187 49.2350496, 7.0013087 49.2351574, 7.0013615 49.2351768, 7.0016245 49.2352809, 7.0017374 49.2353254, 7.0018591 49.2352795, 7.0018183 49.2352112, 7.0018029 49.235187, 7.0017057 49.2349907, 7.0015503 49.2346433, 7.0015268 49.2345886, 7.0015125 49.2345553))",,Regionalverband Saarbrücken,Saarbrücken,3,66111,Landwehrplatz,,,,5-13,public,,http://www.ohg-sb.de,2;3,,,OHG,,ohg_sb_official,Q57065,,+49 681 379810,,"[4398530743, 6202821495, 837336730, 837336732, 837336733, 837423863, 837423885, 837423887, 9765559245, 9765559238, 5730451091, 6200157067, 6200157065, 1143607582, 6200157066, 5730451092, 837423878, 837430014, 1375736987, 837430038, 837437961, 5181266452, 1375736690, 837430048, 6601373307, 4398530746, 837437939, 837437936, 8968645504, 6202821489, 6601373306, 7061911751, 7061911750, 4398530743]",Q2039037,de:Otto-Hahn-Gymnasium (Saarbrücken),,,,,+49 681 3798111,sekretariat@ohg-sb.de,ottohahngym,,,,,,,,,,,,,,,,,,
way,98869160,school,Gesamtschule Rastbachtal,,"POLYGON ((6.9561028 49.2466764, 6.9566337 49.2469803, 6.9567251 49.2470313, 6.9568428 49.2470216, 6.9572149 49.2472483, 6.9571943 49.247321, 6.9581026 49.2478423, 6.9582491 49.247801, 6.9593625 49.2474845, 6.959417 49.2474346, 6.9591708 49.2470224, 6.9585673 49.2466756, 6.9589641 49.2463801, 6.9582538 49.245244, 6.9570713 49.2461191, 6.9565841 49.2458244, 6.9560562 49.2462393, 6.9561028 49.2466764))",,Regionalverband Saarbrücken,,,,,,,,,public,,https://rastbachtal.de/,2;3,,,,,,,,,,"[1272293045, 1143697401, 1143697452, 10798309700, 1272293031, 2199175065, 1272293047, 10838102468, 1143785183, 10798309703, 10798309698, 1143785151, 1272293020, 1143785267, 1143785103, 1272293056, 1143785264, 1272293045]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99234317,school,Deutsch-Französisches Gymnasium,,"POLYGON ((7.0159566 49.2304584, 7.0159122 49.2303628, 7.0158839 49.2303015, 7.0158227 49.2301696, 7.0157998 49.2301201, 7.0157315 49.2299729, 7.0157217 49.2299518, 7.0156797 49.2298611, 7.0161863 49.2297597, 7.0162746 49.2297418, 7.0173715 49.2295277, 7.0173035 49.2293736, 7.0174413 49.2293461, 7.017538 49.2293268, 7.0180207 49.2292321, 7.0181822 49.2294963, 7.0178291 49.2295718, 7.017952 49.2298753, 7.0179084 49.2298838, 7.0178707 49.2298911, 7.0176259 49.2299389, 7.0172195 49.2300181, 7.0172311 49.2300428, 7.0172523 49.2300882, 7.0169598 49.2301808, 7.0167037 49.230261, 7.0167121 49.2302779, 7.0164625 49.2303601, 7.0163642 49.2303792, 7.0163358 49.2303847, 7.0159566 49.2304584))",no,Regionalverband Saarbrücken,Saarbrücken,112,66121,Halbergstraße,https://dfg-lfa.org/,,,5-13,public,,,2;3,,,DFG,,,,,,,"[1147903881, 1328501301, 1070385463, 1070385503, 1328501255, 9929346661, 1328501294, 1070385627, 1070385560, 1070385699, 1070385505, 9925671942, 2198046579, 2198046634, 7605761127, 9925671941, 9925671940, 9925671939, 10085804562, 1070385604, 1070385561, 1328501293, 10086378239, 1328501242, 10086378234, 1328501281, 1070385319, 1070385580, 1070385543, 9949894237, 1147903881]",Q3269047,de:Deutsch-Französisches Gymnasium in Saarbrücken,,,no,,,,,Lycée Franco-Allemand de Sarrebruck,LFA,Category:Deutsch-Französisches Gymnasium (Saarbrücken),,,,,,,,,,,,,,,
way,99234318,school,Weyersberg-Schule,,"POLYGON ((6.94719 49.2434901, 6.9477147 49.2434753, 6.9479609 49.243469, 6.9483693 49.2434577, 6.9484937 49.2433629, 6.9484504 49.243034, 6.9484446 49.2429538, 6.9484145 49.2426885, 6.9483427 49.2425818, 6.9480109 49.2425161, 6.9473507 49.2425464, 6.9470044 49.2425724, 6.9470607 49.2431817, 6.9467179 49.2431995, 6.9467657 49.2433971, 6.9467898 49.2434321, 6.9468172 49.2434569, 6.9468622 49.2434759, 6.9469057 49.2434884, 6.94697 49.2434936, 6.94719 49.2434901))",,Landeshauptstadt Saarbrücken,,,,,,,,,public,,https://www.grundschule-weyersberg.de/,1,,,,,,,,,,"[3453544964, 1147904102, 8936677520, 1147904149, 8936677527, 8936677339, 8936677380, 8936677375, 1147903953, 1147904458, 1147904504, 3453544963, 3453544935, 3453544951, 3453544940, 3453544948, 3453544971, 3453544975, 3453544958, 3453544956, 3453544964]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,99543808,school,Marienschule,Q708778,"POLYGON ((6.9807504 49.2348786, 6.9810263 49.2348887, 6.981211 49.234896, 6.9818903 49.2349233, 6.9819744 49.2349266, 6.9820818 49.2349308, 6.9822415 49.2349373, 6.9822858 49.2349385, 6.9824107 49.2349396, 6.9824102 49.2348932, 6.9824176 49.2341273, 6.981926 49.2341336, 6.981926 49.2341517, 6.9819268 49.2342312, 6.9819256 49.2343144, 6.9819106 49.2344555, 6.9807923 49.2344107, 6.980789 49.234448, 6.9807768 49.2345877, 6.9807718 49.2346445, 6.9807604 49.2347511, 6.9807585 49.234766, 6.9807504 49.2348786))",,Bistum Trier,,,,,,,,,religious,,http://www.marienschule-sb.de/,2;3,,,,,,,,,,"[10702644650, 10702644646, 7434368578, 10167391946, 7434368580, 7434410985, 1151276179, 7434368570, 2143185005, 2143185004, 1151276551, 1014619109, 5766812962, 5766812961, 7471937420, 1151276070, 1151276478, 10702644643, 10765450597, 2284591768, 2284591755, 5766850506, 10702644650]",Q19964829,de:Marienschule (Saarbrücken),,,,,,,MarienschuleSb,,,,catholic,,,,,,,,,,,,,,
way,111696354,school,,,"POLYGON ((6.9674302 49.2512398, 6.9675917 49.2513018, 6.9676257 49.2512645, 6.9676695 49.2512153, 6.9675081 49.2511534, 6.9674302 49.2512398))",,,Saarbrücken,1b,66113,Im Knappenroth,,,,,,,,,,,,,,,,,,"[1271978460, 1271978462, 1122423999, 1271978451, 1271978452, 1271978460]",,,yes,,,,,,,,,,,,,,,,,,,,,,,,
way,111972551,school,Aschbachschule,,"POLYGON ((6.9118009 49.2381998, 6.9118227 49.2381629, 6.9117941 49.2381557, 6.9117384 49.2382006, 6.911767 49.2382078, 6.9118009 49.2381998))",yes,,,,,,,,,,,,,,,,,,,,,,,"[1274053974, 1274053937, 1274053994, 1274053957, 1274053963, 1274053974]",,,yes,,,,,,,,,,,,,,,,,,,,,,,,
way,117631128,school,Freiwillige Ganztagsschule Plus Albert-Schweitzer-Schule,,"POLYGON ((7.0474764 49.2698054, 7.048849 49.2697073, 7.0487114 49.2694354, 7.0482173 49.268459, 7.0481027 49.2682326, 7.0475353 49.2681268, 7.0475202 49.268151, 7.0471142 49.2686787, 7.0469083 49.2689462, 7.0468764 49.2689876, 7.0474764 49.2698054))",,Landeshauptstadt Saarbrücken,,,,,,,,,,,https://albertschweitzer-grundschule.de/,,,,,,,Q49325,,+49 6897 972380,,"[1324776064, 1324776061, 5915742427, 5915742424, 1324776063, 1324776066, 1324776065, 1324778743, 1676115722, 1324776062, 1324776064]",,,,,,,+49 6897 972382,gsalbertschweitzer@saarbruecken.de,,,,,,yes,,,,,,,,,,,,,
way,117635592,school,Gemeinschaftsschule Saarbrücken-Dudweiler,,"POLYGON ((7.0305057 49.275795, 7.030726 49.2759032, 7.0307792 49.2759293, 7.0309806 49.2760107, 7.0311837 49.2760813, 7.0315776 49.2762021, 7.0316454 49.2762229, 7.0321791 49.2763866, 7.0323449 49.2764321, 7.0324109 49.276441, 7.0324733 49.2764375, 7.0325363 49.27642, 7.0326663 49.2763613, 7.0328048 49.2754111, 7.0328339 49.2752253, 7.0327468 49.2752136, 7.0326877 49.2754011, 7.032449 49.2753808, 7.0324623 49.2754534, 7.0322206 49.2754485, 7.0317525 49.2753096, 7.031429 49.2752037, 7.0310205 49.2751723, 7.0309882 49.2752148, 7.0305057 49.275795))",yes,Regionalverband Saarbrücken,Saarbrücken,3,66125,An der Mühlenschule,http://www.gessul.de/,,,,,,,,,,,,,,,,,"[1324833761, 2471551113, 2470507914, 2470507930, 1324833737, 2470507952, 1324836311, 1324833767, 2470507987, 2470507989, 2470507988, 1324833768, 1324833733, 1324833774, 2470507804, 2470507803, 2470507824, 2470507820, 1324833757, 2470507830, 2470507812, 2470507801, 1324833753, 1324833765, 1324833761]",,,,,,,,,,,,,,,http://www.gessul.de/,,,,,,,,,,,,
way,117672335,school,Ludwigsgymnasium,Q6805,"POLYGON ((6.9829908 49.2338064, 6.9829922 49.2338764, 6.9830344 49.2338764, 6.9830731 49.2338765, 6.9831061 49.2338759, 6.9832273 49.2338738, 6.9838058 49.2338642, 6.9838503 49.233863, 6.9839292 49.2338609, 6.9839297 49.2338544, 6.9839297 49.2337528, 6.9839282 49.233538, 6.9839277 49.2334594, 6.9839566 49.2334525, 6.9839518 49.2334434, 6.9839245 49.2333911, 6.9839041 49.2333476, 6.9839042 49.2332114, 6.9839047 49.2331953, 6.983905 49.2331782, 6.9839092 49.2329126, 6.9839093 49.2329066, 6.9839169 49.2329066, 6.9839252 49.2329065, 6.9842097 49.2329049, 6.9842113 49.2328787, 6.9842129 49.232851, 6.9842352 49.2328299, 6.9842311 49.2327389, 6.9842175 49.2324513, 6.9841834 49.23242, 6.9841584 49.2323995, 6.9841585 49.2323917, 6.9841585 49.2323844, 6.9833034 49.2323907, 6.9829563 49.2323929, 6.9829621 49.2327015, 6.9829653 49.2327498, 6.9829682 49.2328414, 6.9829767 49.233108, 6.9829786 49.233168, 6.9829791 49.2332224, 6.9829811 49.2332501, 6.9829813 49.233297, 6.9829811 49.2333728, 6.9829817 49.2333992, 6.982982 49.2334121, 6.9829822 49.2334226, 6.9829825 49.2334359, 6.9829832 49.2334559, 6.9829838 49.2334775, 6.9829852 49.2335373, 6.9829853 49.2335599, 6.9829859 49.2335884, 6.9829878 49.2336724, 6.9829908 49.2338064))",limited,Regionalverband Saarbrücken,Saarbrücken,31,66117,Stengelstraße,,,,,public,,http://www.ludwigsgymnasium.com/,2;3,,,LG,,,,,+49 681 926050,,"[1325165480, 6565130962, 9554827239, 1325162635, 10817018037, 10966514493, 9573067963, 9573067991, 9576740857, 9578999393, 6565050031, 9592349912, 6565050028, 814749721, 9592381532, 814749722, 9578999407, 6565050027, 6565038872, 6565050026, 9588579575, 9588579603, 9592381536, 1325165461, 1325165474, 9588579551, 9576740838, 6573285981, 9576740839, 6565381642, 6573285983, 10815161666, 10815161686, 814707141, 9556981229, 814749736, 6573285946, 814749733, 6573285948, 6575871535, 7556828353, 7556828330, 7556828360, 7556828333, 7556828362, 10702644629, 7556828346, 6565130983, 7556828355, 10702644655, 6565130982, 310390926, 6565130954, 6565130957, 6565130966, 1325165480]",Q1875418,,,,,,+49 681 9260528,schulleitung@ludwigsgymnasium.com,,,,,,,,2019,1111;1131,,,,,,,,,,
way,123071835,school,Günter-Wöhe-Schulen für Wirtschaft,,"POLYGON ((6.9839292 49.2338609, 6.9843857 49.2338308, 6.9844622 49.2338245, 6.9845978 49.2338136, 6.9847098 49.2338041, 6.9849832 49.2337815, 6.9851952 49.2337642, 6.9852416 49.2337566, 6.9852965 49.2337485, 6.9853477 49.2337388, 6.9854013 49.2337192, 6.9854024 49.2336596, 6.9854022 49.233653, 6.9854019 49.2336464, 6.9853999 49.2336097, 6.985395 49.2334909, 6.9853907 49.2333739, 6.9853501 49.2330758, 6.9853433 49.2330282, 6.9853275 49.2329439, 6.9851272 49.2329584, 6.9850804 49.2329606, 6.9850371 49.2329633, 6.9845175 49.2329968, 6.9845023 49.2329106, 6.9844707 49.2329134, 6.9844425 49.2328655, 6.9844368 49.2328559, 6.9843715 49.2327344, 6.9842781 49.2327372, 6.9842606 49.2327378, 6.9842432 49.2327383, 6.9842311 49.2327389, 6.9842352 49.2328299, 6.9842129 49.232851, 6.9842113 49.2328787, 6.9842097 49.2329049, 6.9839252 49.2329065, 6.9839169 49.2329066, 6.9839093 49.2329066, 6.9839092 49.2329126, 6.983905 49.2331782, 6.9839047 49.2331953, 6.9839042 49.2332114, 6.9839041 49.2333476, 6.9839245 49.2333911, 6.9839518 49.2334434, 6.9839566 49.2334525, 6.9839277 49.2334594, 6.9839282 49.233538, 6.9839297 49.2337528, 6.9839297 49.2338544, 6.9839292 49.2338609))",,Regionalverband Saarbrücken,,,,,,,,,public,,http://www.gws-sbr.de/,,,,GWS,,,,,,,"[9576740857, 6565038871, 9207793785, 6565038861, 9207793776, 6564088237, 6565092691, 9533027519, 9533027523, 9543338970, 1373628802, 9533005616, 9533474605, 8514608081, 8514608069, 8514608076, 8514608077, 8514608070, 9578897099, 310444992, 310444990, 6563513645, 810278540, 810278547, 9581012046, 9581012047, 814707142, 9581012026, 6573285968, 6573285973, 318921867, 6573285979, 9576740839, 6573285981, 9576740838, 9588579551, 1325165474, 1325165461, 9592381536, 9588579603, 9588579575, 6565050026, 6565038872, 6565050027, 9578999407, 814749722, 9592381532, 814749721, 6565050028, 9592349912, 6565050031, 9578999393, 9576740857]",Q20850895,de:Günter Wöhe Schulen für Wirtschaft,,,,,,,,,,,,,,,,,,,,,,,,,
way,123352261,school,Freiwillige Ganztagsgrundschule Max Ophüls – Am Rotenberg,,"POLYGON ((7.0017474 49.237419, 7.0017541 49.2375539, 7.0017653 49.2375548, 7.0017906 49.2375568, 7.0017718 49.237579, 7.0017797 49.2376814, 7.0017852 49.2377513, 7.0017863 49.2377659, 7.0017874 49.2377808, 7.0017313 49.2377805, 7.0017334 49.2378347, 7.0017667 49.2378358, 7.0018156 49.237839, 7.001861 49.2378443, 7.0021423 49.2378678, 7.002199 49.2378731, 7.0022269 49.2378753, 7.0025173 49.2379021, 7.0026824 49.237917, 7.0026887 49.2377715, 7.002693 49.2377161, 7.0026976 49.2374784, 7.0027007 49.2373102, 7.0027007 49.23725, 7.0027032 49.2371918, 7.002686 49.2371706, 7.002606 49.2371551, 7.0025311 49.2371321, 7.0020465 49.2372838, 7.0019087 49.2373303, 7.0018491 49.2373582, 7.0018523 49.237365, 7.0017474 49.237419))",no,,Saarbrücken,42,66111,Schumannstraße,,,,,,,https://www.saarbruecken.de/bildung/schulen/grundschulen/grundschule_max_ophuels_vorher_rotenberg,1,,,,,,Q55410,"Max-Ophüls-Grundschule, Standort Rotenberg;Grundschule Rotenberg",+49 681 905 6261,,"[1375931245, 8750916681, 1098431829, 10135736643, 10135736672, 10135736656, 10135736673, 10135736665, 10135736651, 10135736657, 8756246183, 1375931242, 8756252158, 8756252133, 8766013559, 10589807900, 10589807890, 10589837205, 1375931243, 9205298943, 9205298947, 1990668240, 8766009666, 1376172041, 1376172029, 1376172028, 1376172030, 1375931247, 1859805675, 1376172034, 1376172042, 8750916711, 1375931245]",,,,DE,,,+49 681 905 6262,,,,,,,,,,,,,,,,,,,,
