element_type,osmid,wheelchair,wheelchair:description,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,surveillance,surveillance:type,surveillance:zone,old_name,contact:website,name,tourism,operator,note,level,fixme,nodes,addr:country,alt_name,brand:wikidata,building,opening_hours,shop,short_name,building:levels,roof:shape,contact:phone,contact:email,contact:fax,office,wikidata,cuisine,outdoor_seating,roof:levels,operator:wikidata,website,disused:shop,roof:orientation,building:colour,building:use,smoking,roof:colour,automated,brand,self_service,opening_hours:signed,building:roof,air_conditioning,internet_access,internet_access:fee,start_date,delivery,takeaway,phone,source,atm,disused,addr:suburb,diet:vegetarian,second_hand,service:vehicle:air_conditioning,service:vehicle:body_repair,service:vehicle:brakes,service:vehicle:car_repair,service:vehicle:diagnostics,service:vehicle:electrical,service:vehicle:glass,service:vehicle:inspection,service:vehicle:new_car_sales,service:vehicle:oil_change,service:vehicle:used_car_sales,lottery,payment:cash,payment:cryptocurrencies,payment:mastercard,payment:paypal,payment:visa,brand:wikipedia,building:material,indoor_seating,ways,type,addr:housename
way,88558310,,,"POLYGON ((7.0984862 49.1914276, 7.098368 49.1914271, 7.0983679 49.1915035, 7.0984769 49.1915036, 7.0984699 49.1915608, 7.0986521 49.1915632, 7.0986683 49.1914382, 7.0984862 49.1914276))",Saarbrücken,45a,66130,Hauptstraße,,,,,,,,,,,,,"[1089411058, 1089411064, 1089411101, 1089411139, 1028533321, 1028528947, 1028528415, 1089411058]",DE,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88558801,,,"POLYGON ((7.0934258 49.1912846, 7.0935096 49.1911524, 7.0929709 49.1910065, 7.0928871 49.1911386, 7.0934258 49.1912846))",Saarbrücken,73,66130,Hauptstraße,,,,,,,Lagros,,,,,,"[1028534616, 1028529087, 1028533499, 1028529863, 1028534616]",DE,,,commercial,,interior_decoration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88559025,,,"POLYGON ((7.0939771 49.1920326, 7.0946485 49.1918463, 7.0944677 49.1915681, 7.0937964 49.1917544, 7.0939771 49.1920326))",Saarbrücken,70,66130,Hauptstraße,,,,,,,,,,,,,"[1028529619, 1028527798, 1028534122, 1028532122, 1028529619]",DE,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88559120,,,"POLYGON ((7.0994704 49.1912545, 7.0993528 49.1915694, 7.0994922 49.1915733, 7.0995584 49.1914143, 7.0995969 49.1913051, 7.0996112 49.1912761, 7.0994704 49.1912545))",,,,,,,,,,,,,,,,,"[1028528446, 1028532055, 1028527674, 1028528055, 1028529988, 1028534846, 1028528446]",,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88559260,,,"POLYGON ((7.0993823 49.1911815, 7.0987823 49.19113, 7.0987567 49.1912574, 7.0993567 49.1913089, 7.0993823 49.1911815))",,,,,,,,,,,,,,,,,"[1028526376, 1028530395, 1028534109, 1028532675, 1028526376]",,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88559287,,,"POLYGON ((7.0953091 49.1913332, 7.0956201 49.1913304, 7.0956163 49.1911557, 7.0953053 49.1911585, 7.0953091 49.1913332))",Saarbrücken,63,66130,Hauptstraße,,,,,,,,,,,,,"[1028534892, 1028530019, 1028533716, 1028532392, 1028534892]",DE,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,89482764,,,"POLYGON ((6.9366016 49.2455375, 6.936634 49.2449701, 6.9366397 49.2447676, 6.9361679 49.244757, 6.9361191 49.2455257, 6.936381 49.2455321, 6.9366016 49.2455375))",Saarbrücken,17 D2,66115,Altenkesseler Straße,,,,,,,"Hochschul-Technologie-Zentrum (HTZ), Gebäude D2",,,,,,"[1037662105, 1279614673, 1037662666, 1037662204, 1037661972, 1279614660, 1037662105]",DE,,,commercial,,,,2,round,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,90975345,,,"POLYGON ((6.964111 49.2523284, 6.9642615 49.2523658, 6.9643064 49.2522889, 6.9643628 49.2523029, 6.9643396 49.2523426, 6.9644709 49.2523752, 6.9644929 49.2523375, 6.9645431 49.25235, 6.9644986 49.2524262, 6.9646669 49.2524681, 6.9647718 49.2522885, 6.9645007 49.252221, 6.9643707 49.2521887, 6.9643905 49.2521548, 6.9642349 49.2521161, 6.964111 49.2523284))",Saarbrücken,6,66113,Rhönweg,,,,,,,Trägerzentrale cts-Verbund,,Caritas Trägergesellschaft Saarbrücken mbH (cts),,,,"[1056341761, 1056341771, 1056341767, 1056341758, 1056341779, 1056341763, 1056341756, 1056341776, 1056341772, 1056341768, 1056341759, 10771897651, 1056341780, 1056341773, 1056341770, 1056341761]",DE,,,commercial,,,,,,,,,company,,,,,Q1036345,https://www.cts-mbh.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,91842250,,,"POLYGON ((6.9202447 49.2461481, 6.9204898 49.2461213, 6.9204175 49.2458898, 6.9203528 49.2458982, 6.9203631 49.245929, 6.9202288 49.2459496, 6.9202688 49.2461, 6.9202353 49.2461042, 6.9202447 49.2461481))",,,,,,,,,,,,,,,,,"[1067305655, 1067305649, 1067305328, 6001797725, 1123303079, 1289368165, 6001797724, 1067305362, 1067305655]",,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,91843863,,,"POLYGON ((6.9322214 49.2472646, 6.9324739 49.2471977, 6.9323724 49.2470331, 6.9322089 49.247076, 6.9321866 49.2470819, 6.9321187 49.2470997, 6.9321875 49.2472068, 6.9322214 49.2472646))",Saarbrücken,1,66115,Werner-von-Siemens-Allee,,,,,,,,,,,,,"[1067331803, 1067331828, 1067331578, 8833517445, 8833517444, 1067331598, 5021798457, 1067331803]",DE,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92004104,yes,,"POLYGON ((7.0266996 49.226211, 7.0272306 49.226141, 7.0271842 49.2259838, 7.027136 49.2258272, 7.0267867 49.2258705, 7.0267964 49.2259077, 7.0267029 49.2259195, 7.0266278 49.2259289, 7.0266026 49.225943, 7.026598 49.2259638, 7.026616 49.2259816, 7.0266436 49.22599, 7.0266996 49.226211))",,,,,,,,,Reno,,,,,,0,,"[1068824125, 1068823990, 7781939908, 1068824058, 2145249465, 2145249450, 7975427558, 1068824111, 1068823965, 1068824011, 1068824041, 1068824134, 1068824125]",,,,commercial,,,,2,flat,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92005244,,,"POLYGON ((7.0191678 49.2286895, 7.0190864 49.2287497, 7.0189938 49.2288182, 7.0192595 49.2289637, 7.0194205 49.228835, 7.0191678 49.2286895))",Saarbrücken,8,66121,Am Kieselhumes,,,,,,,,,,,,,"[9349474552, 7667665122, 1068844916, 1068844891, 9349474551, 9349474552]",DE,,,commercial,,,,4,flat,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92203726,,,"POLYGON ((7.0245608 49.1965557, 7.0243896 49.1966752, 7.0252177 49.1971597, 7.02538 49.197035, 7.0254095 49.197042, 7.025447 49.1970385, 7.0254658 49.1970219, 7.0254658 49.1970017, 7.0254457 49.1969873, 7.025412 49.1969769, 7.0254783 49.1969331, 7.0255956 49.197004, 7.025709 49.1969294, 7.0246535 49.1963161, 7.0244303 49.1964797, 7.0244843 49.1965117, 7.0244965 49.1965186, 7.0245608 49.1965557))",Saarbrücken,2,66119,Am Felsbrunnen,,,,,,,SMS,,,,,,"[1070477684, 1070478103, 1070477088, 9054940329, 9054940330, 9054940331, 9054940332, 9054940333, 9054940334, 9054940335, 1070478182, 1070477168, 1070477842, 1070478004, 1070477008, 9917599004, 9917599003, 1070477684]",,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92203755,,,"POLYGON ((7.0244669 49.1973811, 7.0247523 49.1971668, 7.0243298 49.1969265, 7.0241522 49.1970599, 7.024006 49.1969759, 7.0238975 49.1970565, 7.0240444 49.1971408, 7.0244669 49.1973811))",Saarbrücken,6,66119,Am Felsbrunnen,,,,,,,MAN,,,,,,"[1070477039, 1070477362, 1070477975, 1070478200, 1070476954, 1070477955, 1070477812, 1070477039]",,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92206307,,,"POLYGON ((7.0198959 49.197328, 7.0199752 49.1973944, 7.0200277 49.1973673, 7.0200832 49.1973386, 7.0200589 49.1973184, 7.0200039 49.1972723, 7.0198959 49.197328))",Saarbrücken,252e,66119,Großblittersdorfer Straße,,,,,,,,,,,,,"[1070509489, 1070510131, 9917596599, 1070509175, 9917598959, 1070508349, 1070509489]",,,,commercial,,,,1,gabled,,,,,,,,,,,,along,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92206346,,,"POLYGON ((7.0236164 49.1969831, 7.0231939 49.1967715, 7.0230629 49.1968832, 7.0234854 49.1970947, 7.0236164 49.1969831))",Saarbrücken,7,66119,Am Felsbrunnen,,,,,,,CKS Klimatechnik – Wärmetechnik,,,,,,"[1070508378, 1070509748, 1070510147, 1070509501, 1070508378]",,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92218371,,,"POLYGON ((7.0418764 49.2075974, 7.0422165 49.2076818, 7.0423411 49.2074557, 7.0422571 49.2074346, 7.0422979 49.2074206, 7.0422709 49.2073952, 7.0422237 49.2073508, 7.0422056 49.2073565, 7.0420323 49.2073105, 7.0418764 49.2075974))",Saarbrücken,42,66130,Kurt-Schumacher-Straße,,,,,,,Schwinn Autoteile,,,,,,"[1070580929, 1070580274, 1070580735, 9671307627, 9701569173, 9701564856, 9701564825, 9671307626, 1070580398, 1070580929]",,,,commercial,"Mo-Fr 07:30-16:30; PH,Sa-Su closed",car_parts,,2,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92218395,,,"POLYGON ((7.0417796 49.2075968, 7.0419543 49.2072102, 7.0418916 49.2071985, 7.0419046 49.2071697, 7.0418106 49.2071519, 7.0417984 49.2071807, 7.0417797 49.2071771, 7.0417934 49.2071476, 7.0417498 49.2071396, 7.0417008 49.2071306, 7.041679 49.2071791, 7.0415211 49.2075502, 7.0417796 49.2075968))",Saarbrücken,40,66130,Kurt-Schumacher-Straße,,,,,,,,,,,,,"[1070580153, 1070580374, 9701564910, 9701564874, 9701569163, 9701569175, 9701569277, 9701564895, 9701564881, 1070581042, 9701569210, 1070580246, 1070580153]",,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92218419,,,"POLYGON ((7.0405483 49.2074951, 7.0410681 49.2075938, 7.0411154 49.2074766, 7.0413304 49.2075167, 7.0414755 49.2071884, 7.0407187 49.2070567, 7.0405483 49.2074951))",Saarbrücken,38,66130,Kurt-Schumacher-Straße,,,,,,,Buderus,,,,,,"[1070580881, 1070581213, 1070580633, 1070581219, 1070580460, 1070580996, 1070580881]",,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92440524,,,"POLYGON ((6.9897439 49.2371356, 6.9897406 49.2371284, 6.9895508 49.2371802, 6.989453 49.2372059, 6.989422 49.2372087, 6.989418 49.2371771, 6.9894166 49.2371681, 6.9894008 49.2371693, 6.9892048 49.2371832, 6.9892094 49.2372182, 6.9890453 49.2372292, 6.9890042 49.2372319, 6.9889957 49.2372324, 6.9889975 49.2372484, 6.9889523 49.2372517, 6.9889605 49.2372955, 6.9889341 49.2372977, 6.9889371 49.237316, 6.988956 49.2374307, 6.9889852 49.2374286, 6.9889887 49.2374474, 6.9889925 49.2374676, 6.9889846 49.2374745, 6.9889808 49.2374779, 6.9889669 49.2374902, 6.9889596 49.2374966, 6.9890163 49.2375814, 6.989042 49.2375746, 6.9890857 49.2375631, 6.9891366 49.237548, 6.9891175 49.2375176, 6.9892445 49.2374803, 6.9892724 49.2374731, 6.9893034 49.2374645, 6.9894948 49.2374104, 6.9895167 49.2374043, 6.9895614 49.2374253, 6.989643 49.2374705, 6.9896825 49.2374594, 6.9897564 49.2374387, 6.9898187 49.2374212, 6.9898275 49.2374371, 6.9899026 49.2374171, 6.9899277 49.2374104, 6.9898581 49.2373057, 6.9898221 49.2372518, 6.9897667 49.2371712, 6.9897536 49.2371507, 6.9897439 49.2371356))",,,,,,,,,,,,,,,,,"[9341095464, 2285783272, 1073186184, 9336341941, 1387543552, 3376723793, 9336341930, 9341095462, 1387543500, 1387543504, 7807176764, 7807176768, 1387543534, 2285783262, 2285783259, 2229318368, 1073186143, 9341095458, 1073186189, 9336341938, 9336341937, 9336341939, 9341095467, 9341095466, 9341095457, 9336341940, 1073186195, 9275840740, 2285804236, 2285783258, 1073186145, 2285783268, 1387556697, 2285783257, 5589087385, 1073186208, 9341095471, 1073186140, 5589087378, 5589087377, 1387556685, 3375812293, 7928946232, 1387556705, 3276721779, 5915814379, 2285783260, 2285783265, 9341095464]",,,,commercial,,,,10,flat,,,,,,,,,,,,,beige,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92867489,,,"POLYGON ((7.0119076 49.2157033, 7.0117537 49.2156745, 7.0117255 49.2157387, 7.0118794 49.2157675, 7.0119076 49.2157033))",,,,,,,,,,,,,,,,,"[1076833888, 1076833068, 1076834424, 1076831891, 1076833888]",,,,commercial,,,,1,skillion,,,,,,,,,,,,,lightyellow,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92867636,,,"POLYGON ((7.0111629 49.215797, 7.011246 49.2158126, 7.0112795 49.2158188, 7.0113458 49.2156676, 7.0112293 49.2156458, 7.0111629 49.215797))",,,,,,,,,,,,,,,,,"[1076832938, 2933633988, 1076832035, 1076832601, 1076832342, 1076832938]",,,,commercial,,,,1,,,,,,,,,,,,,,,,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92869044,,,"POLYGON ((7.0276163 49.22087, 7.0274826 49.2208205, 7.0272833 49.2210502, 7.0274169 49.2210997, 7.0274895 49.2210173, 7.0276163 49.22087))",Saarbrücken,32,66121,Brebacher Landstraße,,,,,,,,,,,,,"[1076860914, 1076862095, 1076861484, 1076861911, 8002014642, 1076860914]",,,,commercial,,,,,gabled,,,,,,,,,,,,along,,,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92869067,,,"POLYGON ((7.0269828 49.2219692, 7.0273718 49.2214988, 7.0272759 49.2214632, 7.0271778 49.2214268, 7.0271392 49.2214106, 7.0270169 49.2213671, 7.0267224 49.2217071, 7.0267077 49.2217027, 7.0266086 49.2218329, 7.0267791 49.221895, 7.0269828 49.2219692))",Saarbrücken,26,66121,Brebacher Landstraße,,,,,,,,,,,,,"[1076861235, 1076860752, 8017184872, 8002014616, 8017184876, 1076860729, 8002014630, 8002014629, 1076861464, 8002014615, 1076861235]",,,,commercial,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92869069,,,"POLYGON ((7.0274387 49.221167, 7.0272679 49.2213697, 7.0272901 49.2213768, 7.0273274 49.2213907, 7.0274335 49.2214288, 7.0276372 49.221159, 7.0276225 49.2211535, 7.0275318 49.2211199, 7.0274788 49.2211808, 7.0274387 49.221167))",Saarbrücken,30,66121,Brebacher Landstraße,,,,,,,,,,,,,"[1076861112, 1076862018, 8017184868, 8017184862, 1076862039, 1076861150, 8017184882, 1076861243, 6547546232, 1076861112]",,,,commercial,,,,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,93336741,,,"POLYGON ((7.0048823 49.2378914, 7.0050272 49.237922, 7.0050569 49.2378614, 7.0050689 49.2378376, 7.004924 49.237807, 7.0049117 49.237831, 7.0048823 49.2378914))",,,,,car_wash,,,,,,Total Wash,,,,,,"[1082194910, 1082194949, 8754053616, 1082194848, 1082194883, 8754082063, 1082194910]",,,Q154037,commercial,,,,,,,,,,,,,,,,,,,,,,yes,Total,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,93387554,,,"POLYGON ((6.9540714 49.2126026, 6.9541934 49.2125862, 6.9541652 49.2124968, 6.9541266 49.212502, 6.9540432 49.2125132, 6.9540714 49.2126026))",Saarbrücken,15,66117,Am Hauptfriedhof,,,,,,,,,,,,,"[1082838216, 1082838301, 1082838340, 8195488796, 1082838245, 1082838216]",,,,commercial,,,,1,flat,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,93387558,,,"POLYGON ((6.9542987 49.212573, 6.954426 49.2125567, 6.9543996 49.2124683, 6.9543493 49.2124747, 6.9542723 49.2124846, 6.9542987 49.212573))",Saarbrücken,17,66117,Am Hauptfriedhof,,,,,,,,,,,,,"[1082838183, 1082838228, 1082838308, 4028897854, 1082838348, 1082838183]",,,,commercial,,,,1,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,93387561,,,"POLYGON ((6.9544735 49.212688, 6.9545259 49.2126802, 6.9545144 49.212647, 6.9545548 49.2126409, 6.9545419 49.2126045, 6.9545341 49.2125816, 6.9545319 49.2125752, 6.9544664 49.2125849, 6.954439 49.212589, 6.9544735 49.212688))",Saarbrücken,19,66117,Am Hauptfriedhof,,,,,,,,,,,,,"[1082838295, 8195488814, 8195488813, 1082838343, 4028897855, 8195488808, 1082838237, 8195488794, 1082838219, 1082838295]",,,,commercial,,,,1,flat,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,93949664,,,"POLYGON ((7.0986683 49.1914382, 7.0989219 49.1914521, 7.0989298 49.1913999, 7.0989368 49.1913538, 7.0984982 49.1913289, 7.0984862 49.1914276, 7.0986683 49.1914382))",,,,,,,,,,,,,,,,,"[1028528415, 1028529792, 1028527090, 1028534423, 1028530596, 1089411058, 1028528415]",,,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
