element_type,osmid,addr:country,addr:housenumber,addr:postcode,addr:street,alt_name,amenity,community_centre,community_centre:for,contact:email,contact:facebook,contact:instagram,contact:phone,contact:website,name,opening_hours,operator,operator:type,operator:wikidata,short_name,toilets,wheelchair,wheelchair:description,wikidata,wikipedia,geometry,contact:youtube,addr:city,check_date:opening_hours,email,fax,internet_access,internet_access:fee,internet_access:ssid,level,official_name,outdoor_seating,phone,website,addr:housename,contact:fax,description,image,name:de,name:en,source,opening_hours:signed,start_date,brand:wikidata,check_date,old_name,addr:door,government,office,contact:mastodon,contact:twitter,drink:club-mate,drink:flora-power,fee,internet_access:operator:wikidata,leisure,nodes,building,sport,building:levels,building:use,building:colour,roof:orientation,roof:shape
node,6043139345,,,,,,community_centre,,,tageszeiten-ah@dwsaar.de,,,+49 681 94 713 529,https://www.diakonie-saar.de/index.php?content_id=7133,TAgesZEiten 32,"Mo-We 09:00-16:00; Th 11:00-18:00; Fr 11:00-15:00; Sa,Su,PH off",Diakonisches Werk an der Saar,,,,,,,,,POINT (6.9767139 49.2398546),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6043139346,,,,,,community_centre,,,stadtteilwerkstatt-agh@dwsaar.de,,,+49 681 4163307,https://www.diakonie-saar.de,Stadtteilwerkstatt Malstatt,,Diakonisches Werk an der Saar,,,,,,,,,POINT (6.9768507 49.239901),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6043139349,,,,,,community_centre,,,,,,,,Stadtteilwerkstatt Malstatt,,Diakonisches Werk an der Saar,,,,,limited,1 Stufe am Eingang,,,POINT (6.9770543 49.2397219),,,,,,,,,0,,,,,,,Handarbeiten,,,,,no,,,,,,,,,,,,,,,,,,,,,,
node,6043139356,,,,,,community_centre,,,sbm@quarternet.de,,,,https://www.diakonie-saar.de,Stadtteilbüro Malstatt,"Mo,We-Th 09:00-11:00,14:00-16:00; Fr 09:00-13:00; Tu,Sa-Su,PH off",Diakonisches Werk an der Saar,,,,,limited,,,,POINT (6.9763658 49.2397188),,,,,,,,,0,,,,,,,,,,,,,1979,,,,,,,,,,,,,,,,,,,,,
node,6298648108,DE,41,66115,Breite Straße,,community_centre,,,,,,+49 681 5065720,https://www.awo-saarland.de/index.php?id=1144,Sozialraumbüro Unteres Malstatt,"Mo 09:00-12:00,13:30-17:00; Tu 09:00-12:00; We off; Th 13:30-17:00; Fr 09:00-12:00; Sa,Su,PH off","Regionalverband Saarbrücken, Arbeiterwohlfahrt, Jugendhilfezentrum, Diakonisches Werk",,,,,,,,,POINT (6.9715028 49.2396087),,Saarbrücken,,,,,,,,,,,,,+49 681 506945720,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6316616103,,,,,,community_centre,social_centre,senior,begegnungen@caritas-saarbruecken.de,,,+49 681 309060,https://www.caritas-saarbruecken.de/hilfe-und-beratung/senioren/begegnungen-bruchwiese/begegnungen-bruchwiese,Begegnungen Bruchwiese,"Tu 14:00-17:00 open ""Spielenachmittag""; We open ""Vormittag; Yoga-Kurse""; Th 14:00-17:00 open ""Smartphone-Sprechstunde""; PH,Mo,Fr-Su closed",Caritas,,,,,no,,,,POINT (7.0103031 49.2304785),,,,,,,,,0,,,,,,,,,,,,,,Q29508174,2021-10-01,Guttempler-Treffpunkt,,,,,,,,,,,,,,,,,,
node,6373385882,,,,,,community_centre,,,,,,+49 681 9471342,https://www.diakonie-saar.de/index.php?content_id=265,Kinderhaus Malstatt,"We-Fr 11:30-16:00; Mo,Tu,Sa,Su,PH off",Diakonisches Werk an der Saar,,,,,limited,,,,POINT (6.9707109 49.2411088),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6390161841,DE,11,66115,Frankenstraße,,community_centre,,,,https://www.facebook.com/Juz.Malstatt,,+49 681 42925,,Jugendzentrum Malstatt,,,,,,,,,,,POINT (6.9703759 49.2416959),,Saarbrücken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6395455975,,,,,,community_centre,,,,,,,https://www.diakonie-saar.de,Stadtteilbüro Malstatt - Gemeinwesenarbeit,,Diakonisches Werk an der Saar,,,,,,,,,POINT (6.9749378 49.2390887),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6407709576,,4,66115,Zur Malstatt,,community_centre,,,,,,,https://www.diakonie-saar.de,Migrationsdienste Saarbrücken,,Diakonisches Werk an der Saar,,,,,,,,,POINT (6.9746228 49.2399737),,Saarbrücken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6410495429,,4,66115,Malstatter Markt,,community_centre,,,info@sozialstation-burbach-malstatt.de,,,+49 681 47800,http://sozialstation-burbach-malstatt.de,Ökumenische Sozialstation,,Ökumenische Gesellschaft für ambulante Pflege im Saarland GmbH,,,,,,,,,POINT (6.9740626 49.2385876),,Saarbrücken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6410495432,,,,,,community_centre,,,,,,,https://www.diakonie-saar.de,Diakonisches Werk – Mentoring-Projekt,,Diakonisches Werk an der Saar,,,,,,,,,POINT (6.9752743 49.2389483),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6575747939,,,,,,community_centre,,,,,,,,Stadtwerke-Lounge,,Stadtwerke Saarbrücken,,,,,,,,,POINT (6.9971705 49.2385541),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6575751664,,,,,,community_centre,,,,,,,,Festsaal,,,,,,,,,,,POINT (6.9969822 49.234811),,,,,,,,,1,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,
node,6575751665,,,,,,community_centre,,,,,,,,Standesamt Saarbrücken,,,,,,,,,,,POINT (6.9969523 49.2348175),,,,,,,,,1,,,,,,,Trauzimmer,,,,,,,,,,115a,register_office,government,,,,,,,,,,,,,,,
node,6657169977,,14,66117,Eisenbahnstraße,USUS Garelly-Haus,community_centre,cultural_centre,,kontakt@usus.saarland,USUS.saarland,,,https://www.usus.saarland/,"USUS Garelly-Haus ""Vereins- und Kulturtreff Luisenviertel""",,"USUS - Verein zur Förderung von Kunst, Kultur und einer nachhaltigen Stadt- und Quartiersentwicklung",,,,,limited,,,,POINT (6.9883195 49.2328476),,Saarbrücken,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,
node,6779520823,,95,66119,Saargemünder Straße,,community_centre,youth_centre,,,,,,,Jugendzentrum St. Arnual,"Mo, Tu, Th 16:00-20:00",Verband saarländischer Jugendzentren in Selbstverwaltung e.V.,,,,,,,,,POINT (7.0107238 49.22),,Saarbrücken,,zentrale@juz-united.de,,,,,,,,,https://juz-united.de/?page_id=1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7003254848,,,,,,community_centre,,,,https://www.facebook.com/juz.united/,,,https://juz-united.de/,juz united,,,,,,,,,,,POINT (7.0004803 49.2367662),,,,,,,,,,,,,,,,Verband saarländischer Jugendzentren in Selbstverwaltung e.V.,,,,,no,,,,,,,,,,,,,,,,,,,,,,
node,8011151638,,,,,,community_centre,cultural_centre,,,,,+49 681 7535892,,Kultur- und Lesetreff,"Tu 09:00-12:00,12:30-17:30; We 12:00-15:00; Fr 10:00-12:00,13:00-17:00; PH,Mo,Th,Sa-Su closed",Diakonie Saar,,,,,yes,,,,POINT (6.9457962 49.2420842),,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9231025396,,18,66125,Rathausstraße,Hacksaar;Hackerspace Saarbrücken,community_centre,,,,https://www.facebook.com/TechnikKulturSaarEv/,,,https://www.hacksaar.de,h´eck,,Technik Kultur Saar e.V.,,Q43224300,,,limited,,Q110863132,,POINT (7.035731 49.279311),https://www.youtube.com/user/TechnikKulturSaarEv/,Saarbrücken,,,,yes,no,saar.freifunk.net,0,,,,,,,,,,,,,2022-02-01,,,,,,,https://social.saarland/@hacksaar,https://twitter.com/hacksaar,yes,yes,no,Q2363543,hackerspace,,,,,,,,
node,9600950233,,,,,,community_centre,youth_centre,juvenile,,,,,,Jugendclub Güdingen,"Mo,Tu,Fr 16:00-20:00",,,,JUZ Güdingen,,,,,,POINT (7.0284954 49.2006976),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9832055110,,,,,,community_centre,youth_centre,juvenile,,,,+49 681 76361,,Jugendzentrum Burbach,,Regionalverband Saarbrücken,public,Q6805,,,,,,,POINT (6.9413173 49.24196),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10052557047,,,,,Stadtteilbibliothek,community_centre,cultural_centre,,lesetreff-st.arnual@quarternet.de,,,+49 681 8590952,,Kultur- und Lesetreff St. Arnual,"Mo 11:00-15:30; Tu,We 11:00-16:00; Th 13:00-18:00; PH,Fr-Su closed",Pädagogisch-Soziale Aktionsgemeinschaft e.V. (PÄDSAK),,,,,yes,,,,POINT (7.0125605 49.2154935),,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10096380209,,,,,,community_centre,youth_centre,juvenile,,,,,,Jugendzentrum Dudweiler,,,public,Q6805,JUZ Dudweiler,,,,,,POINT (7.036432 49.2806063),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10185492406,,12-16,66130,Jakobstraße,,community_centre,youth_centre,,,,,,,Jugendclub Brebach,"Tu-Th 14:00-19:00, Fr 14:00-20:00",Diakonie Saar/GWA Brebach,private_non_profit,,,,,,,,POINT (7.04224 49.2128615),,Saarbrücken,,,,,,,,,,+49 681 871862,https://diakonie-saar.de/BuergerInnenzentrum-Brebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10557692585,,186,66130,Provinzialstraße,,community_centre,events_venue,,,,,+49 681 587-0,https://www.saarbruecken.de/rathaus/buergerservice/festhallen_und_buergerhaeuser,Festhalle Fechingen,,,,,,,yes,,,,POINT (7.071481 49.191194),,Saarbrücken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10846915158,,,,,,community_centre,cultural_centre,,,,,,,Bosnisches Kulturzentrum,,,,,,,limited,,,,POINT (6.9667209 49.2454711),,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10946774605,,,,,,community_centre,,,,,,,,Haus der globalen Nachhaltigkeit,,Weltveränderer,,,,,,,,,POINT (6.9683403 49.2456987),,,,,,,,,,,,,https://weltveraenderer.eu/nachhaltigkeitshaus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,35538665,,115,66125,Am Markt,,community_centre,,,,,,,,Bürgerhaus Dudweiler,,,,,,,yes,,,,"POLYGON ((7.0402728 49.2744818, 7.0403564 49.2744792, 7.0404335 49.2744627, 7.0404944 49.2744375, 7.0405455 49.274403, 7.0405852 49.2743576, 7.0406057 49.2743072, 7.0406042 49.2742479, 7.0405731 49.2741873, 7.0405376 49.2741524, 7.0404941 49.2741242, 7.040446 49.2741033, 7.0403944 49.2740889, 7.0403287 49.2740801, 7.0402602 49.274081, 7.0402008 49.27409, 7.040147 49.2741059, 7.0400872 49.2741351, 7.0400633 49.2741536, 7.0400494 49.2741643, 7.040045 49.2741677, 7.0400102 49.2742125, 7.0399948 49.2742532, 7.0399924 49.2742922, 7.0399942 49.2743002, 7.0400001 49.2743272, 7.0400133 49.2743548, 7.0400504 49.2743991, 7.0401024 49.2744356, 7.0401407 49.274453, 7.0401477 49.2744562, 7.0402037 49.2744725, 7.040206 49.2744728, 7.0402728 49.2744818))",,Saarbrücken,,,,,,,,,,,,,,,,,,,,1982,,,,,,,,,,,,,,"[416367018, 2468783985, 416367030, 2468783983, 416367027, 416367029, 2468783980, 416367017, 416367032, 2468783978, 416367028, 2468783976, 416367031, 2468783974, 416367020, 2468783975, 416367022, 2468783977, 7837215716, 7837215717, 416367025, 416367021, 2468783979, 416367019, 7837215719, 2468783981, 416367024, 2468783982, 416367026, 7837215720, 2468783984, 416367023, 7837215722, 416367018]",public,,,,,,
way,92420135,DE,146,66130,Saarbrücker Straße,,community_centre,,,,,,,,Turnhalle,,,,,,,,,,,"POLYGON ((7.0452276 49.2099359, 7.0450567 49.2100335, 7.0451854 49.2101371, 7.045388 49.2102926, 7.0453435 49.2103147, 7.0455161 49.2104509, 7.0456408 49.2103827, 7.0457653 49.2103162, 7.0456509 49.2102258, 7.0455927 49.2101799, 7.0455535 49.2101975, 7.0452276 49.2099359))",,Saarbrücken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sports_centre,"[1072887152, 1072882462, 8681128747, 1072886117, 1072884425, 1072882679, 8681128732, 1072886223, 9634342739, 1072885779, 1072884716, 1072887152]",yes,multi,,,,,
way,93927591,DE,1,66121,Rostocker Straße,,community_centre,youth_centre,juvenile,,labelm.org,labelm_org,,http://www.labelm.org/,Label M,,label m Werkstatt für Jugendkultur e. V.,,,,,,,,,"POLYGON ((7.0368174 49.2371186, 7.03696 49.237118, 7.0369598 49.2370953, 7.0370546 49.2370949, 7.0370538 49.2370109, 7.0370536 49.2369944, 7.0368603 49.2369953, 7.0368608 49.237037, 7.0368166 49.2370371, 7.0368174 49.2371186))",UCV2QVDEXLp56ORmG1Voj7nA,Saarbrücken,,,,,,,,,,,,,,,,,,,no,,,,Jugendzentrum Eschberg,,,,,,,,,,,"[1091947456, 1091946995, 1091952157, 1091953064, 10269960340, 1091953775, 1091952334, 1091951548, 1091950053, 1091947456]",yes,,,,,,
way,96932159,DE,1,66115,Emsweg,,community_centre,,,,,,,,Bürgerhaus Füllengarten,,,,,,,,,,,"POLYGON ((6.9227857 49.2484313, 6.9229853 49.2483924, 6.9229415 49.2482966, 6.9227419 49.2483355, 6.9227857 49.2484313))",,Saarbrücken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1123302956, 1123303109, 1123302770, 1123302910, 1123302956]",public,,,,,,
way,101816692,,1,66117,Dellengartenstraße,,community_centre,social_centre,child;juvenile,,,,,,"Alt-Saarbrücker Kinder- und Jugendhaus ""Falken-Jugendclub"" in Saarbrücken",,,,,,,,,,,"POLYGON ((6.9801837 49.2305976, 6.9802673 49.2306122, 6.9803563 49.2306278, 6.9803923 49.2305381, 6.9802197 49.2305079, 6.9801837 49.2305976))",,Saarbrücken,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,"[1175403398, 10119597426, 1175401189, 1175401451, 1175402565, 1175403398]",detached,,2,social,,,
way,119940409,DE,16,66117,Hirtenwies,,community_centre,youth_centre,juvenile,JUZ.Folsterhoehe@rvsbr.de,,,+49 681 581010,,Jugendzentrum Folsterhöhe,Mo-Th 14:30-20:30; Fr 16:00-22:00,Regionalverband Saarbrücken,public,Q6805,,,,,,,"POLYGON ((6.9670155 49.2204151, 6.9669985 49.2201019, 6.9670939 49.2201002, 6.9670958 49.2201203, 6.9671523 49.2201196, 6.9672725 49.2201193, 6.9672708 49.2201351, 6.9672912 49.2201446, 6.9673238 49.2201591, 6.9673448 49.2201838, 6.9673399 49.2202155, 6.9673141 49.2202374, 6.9672848 49.2202481, 6.9672449 49.2202503, 6.9672333 49.2202865, 6.967219 49.2203314, 6.9672256 49.2204288, 6.9671335 49.2204295, 6.9671325 49.2204115, 6.9670155 49.2204151))",,Saarbrücken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1346009464, 1346009422, 4032382182, 1346009425, 4032387731, 1346009424, 4032385792, 1346009426, 1346009428, 1346009442, 1346009443, 1346009445, 1346009446, 1346009452, 4032382188, 1346009454, 1346009462, 4032385789, 4032385794, 1346009464]",yes,,2,,white,along,skillion
way,217932627,DE,13,66129,Moselstraße,,community_centre,,,,,,,,Holzäppelhalle,,,,,,,,,,,"POLYGON ((7.0407744 49.1849509, 7.0407802 49.1847797, 7.0409121 49.184781, 7.0411527 49.1847833, 7.04115 49.1848803, 7.0411492 49.18491, 7.0411758 49.1849103, 7.0411729 49.1850141, 7.040925 49.1850112, 7.0409266 49.1849543, 7.0407744 49.1849509))",,Saarbrücken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2272397213, 2272397215, 4041712997, 2272397212, 4041713005, 2272397206, 2272397211, 2272397208, 2272397207, 2272397209, 2272397213]",yes,,,,,,
way,396681653,,,,,,community_centre,,,,,,,,ev. Gemeinde,,Ev. Kinchengemeinde Gersweiler-Klarenthal,,,,,,,,,"POLYGON ((6.8991099 49.2284098, 6.8985814 49.228371, 6.8985733 49.2284091, 6.8986106 49.2284136, 6.8986058 49.2284483, 6.8986969 49.2284547, 6.8986951 49.2284675, 6.8987882 49.228474, 6.8987856 49.2284853, 6.8988841 49.2284927, 6.8988862 49.2284793, 6.8989879 49.2284862, 6.8989894 49.2284767, 6.8990937 49.2284846, 6.8991099 49.2284098))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3995078786, 3995078787, 10927831140, 10927820233, 10927831123, 10927831214, 10927831117, 10927820283, 3995078788, 3995078789, 3995078790, 3995078791, 3995078792, 3995078793, 3995078786]",yes,,,,,,
