element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,contact:phone,cuisine,level,name,old_name,opening_hours,operator,outdoor_seating,smoking,strapline,toilets,geometry,contact:email,contact:fax,contact:website,diet:vegetarian,indoor_seating,stars,tenant,wheelchair,wikidata,opening_hours:kitchen,wheelchair:description,alt_name,brewery,brand,brand:wikidata,brand:wikipedia,lastcheck,phone,website,diet:vegan,email,delivery,payment:cash,payment:credit_cards,payment:debit_cards,start_date,takeaway,toilets:wheelchair,website:menu,contact:facebook,contact:instagram,diet:halal,organic,short_name,description,fixme,microbrewery,name:etymology:wikidata,opening_hours:covid19,brewery:wikidata,brewery:schwarzbier,brewery:weizen,payment:girocard,payment:mastercard,payment:visa,reservation,check_date:opening_hours,addr:floor,contact:tripadvisor,internet_access,surveillance,opening_hours:signed,capacity,source,culture,addr:suburb,highchair,payment:maestro,payment:v_pay,air_conditioning,payment:edenred_ticket,payment:vpay,note,name:fr,vacant,diet:lacto_vegetarian,surveillance:type,payment:girocard_contactless,payment:mastercard_contactless,payment:visa_electron,addr:neighbourhood,payment:sodexo,terrace,dispensing,name:ja,opening_hours:note,pub,check_date,delivery:partner,ref:vatin,contact:whatsapp,mobile_phone:repair,disused:amenity,disused:opening_hours:signed,disused:outdoor_seating,disused:wheelchair,building,internet_access:fee,bar,contact:takeaway,delivery:description,payment:ep_geldkarte,description:covid19,toilets:access,description:delivery,fax,wheelchair:step_height,description:payment,operator:wikidata,payment:account_cards,reusable_packaging:accept,reusable_packaging:network,reusable_packaging:offer,safety:hand_sanitizer:covid19,safety:mask:covid19,takeaway:covid19,university,drink:cola,drink:soft_drink,url,contact:mobile,note:de,ice_cream,barrier,height,leaf_cycle,leaf_type,tourism,payment:mensa_card,internet_access:captive_portal,internet_access:password,internet_access:ssid,drink:beer,drink:coffee,drink:lemonade,drink:liquor,drink:milk,drink:soda,drink:tea,drink:wine,indoor,nodes,building:part,roof:orientation,roof:shape,building:colour,building:levels,historic,roof:levels,wikimedia_commons,wikipedia,payment:jcb,image,payment:alipay,payment:american_express,payment:apple_pay,payment:diners_club,payment:discover_card,payment:google_pay,payment:unionpay,payment:visa_contactless,atm,addr:housename,location
node,441634927,,,,,,restaurant,,international,,Philosophencafé,Juristencafe,Mo-Fr 07:30-16:00; 2022 Aug 01- 2022 Sep 02 off,Banafsheh Shajirat,patio,,,,POINT (7.0397036 49.2517627),,,,yes,yes,,,limited;yes,,,,Philo Café,,,,,,+49 681 3023378,,yes,,,,,,,yes,,,https://www.facebook.com/Philo-cafe-411972345618274/,https://www.instagram.com/philo.cafeb4.2/,yes,yes,Philocafé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,497219023,Saarbrücken,DE,18,66117,Goebenstraße,restaurant,+49 681 31809,italian,,Da Nico,,"Tu-Su 11:30-14:30, 18:00-23:00; Mo off",Ernesto Siena,yes,,Ristorante Pizzaria,,POINT (6.9757921 49.2339068),,,,,,,,no,,,,,,,,,,,,,,,,,,,yes,,,https://www.facebook.com/pages/Ristorante-Da-Nico/338520966317406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,507390566,Saarbrücken,,22,,Mainzer Straße,restaurant,,thai,,Siam,,"Mo-Fr 12:00-15:00,18:00-23:00, Sa 18:00-23:00, Su off",,,,,,POINT (7.001101 49.2313876),,,http://www.restaurant-siam.de/,yes,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,Thailändisches Spezialitäten Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,507401172,Saarbrücken,,2,66111,Am Stiefel,restaurant,,,0,Brauhaus zum Stiefel,Gasthaus zum Stiefel,Mo-Su 11:00-23:00,Madera Wirtshaus GmbH,,,,yes,POINT (6.9952533 49.2328383),,,,yes,,,,no,,,,,,,,,,+49 681 30984650,https://brauhaus-zum-stiefel.de/,,kontakt@brauhaus-zum-stiefel.de,,,,,,,,,,,,,,Gasthaus,"Wikidata Objekt hat noch den alten Namen, also über name:etymology:wikidata das Wikidata Feld verknüpft - passt das so?",yes,Q56153891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,534156595,,,,,,restaurant,,,,Alleetreff,,,,,,,,POINT (6.9171985 49.2612677),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,534162116,,,,,,restaurant,,,,zum alten Kessel,,,,,,,,POINT (6.9162357 49.2620979),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,534162120,,,,,,restaurant,,,,Wahlster,,,,,,,,POINT (6.9152555 49.262219),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,536524139,,,,,,restaurant,+49 681 91003095,regional,0,Ilse,Ilsetopf,"Mo-Fr 11:30-24:00; Sa 11:30-14:30,17:30-24:00; PH,Su closed",Ilsetopf GmbH,patio,,,,POINT (7.0161056 49.2418882),bestellung@ilse-sb.de,,https://www.ilse-sb.de/,yes,yes,,,no,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,"Mo-Fr 17:30-23:00; PH,Sa-Su closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,669093984,Saarbrücken,,29,66117,Altneugasse,restaurant,+49 681 68644131,burger;fondue,0,Mapaso,Ivica Bistro Restaurant,Tu-Su 11:30-23:30; Mo closed,,,,,,POINT (6.9912527 49.2319828),,,,,,,,limited,,Mo-Su 11:30-23:00,,,Karlsberg,,,,,,,,,,,,,,,,,,,,,,,,,,,Q520174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,673393269,Saarbrücken,DE,47,66121,Bismarckstraße,restaurant,+49 681 62364,,0,Albrechts Casino am Staden,,We-Su 11:00-01:00; Mo-Tu closed,,,,,,POINT (7.0046686 49.2291612),,,https://www.albrechts-casino.de/,,,,,limited,,"We-Su 11:30-14:30,18:00-21:30; Mo-Tu closed",1 Stufe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,673415468,Saarbrücken,DE,32,66111,St. Johanner Markt,restaurant,+49 681 36217,german;regional,0,Die Kartoffel,Neufang am Markt,11:00-23:00; Tu closed,Mirsad Puzic,pedestrian_zone,outside,,,POINT (6.997548 49.2323444),,,https://www.die-kartoffel-sb.de,yes,yes,,,limited,,12:00-22:00,,,Bitburger,,,,,,,yes,,,yes,,,,,,,https://www.facebook.com/diekartoffelsb,,,,,,,,,,Q61925105;Q314054,Köstritzer,Benediktiner,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,673426139,Saarbrücken,DE,16,66117,Saaruferstraße,restaurant,+49 681 40161060,,0,Restaurant Café Bar Tante Jenny,,Tu-Su 11:30-22:00,,,,,,POINT (6.9891752 49.235937),tante-jenny@t-online.de,,http://www.tante-jenny.de/,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,704638469,,,,,,restaurant,,thai,,Baan Siriwan,,"Mo-Fr 11:00-14:00,17:30-22:00; Sa 17:30-22:00; PH,Su closed",,,,,,POINT (6.8985615 49.2280238),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,736621908,,,80,66119,Theodor-Heuss-Straße,restaurant,+49 681 852350,,,Zur Winterberg Alm,,Tu-Fr 11:00+; Sa 18:00+; Mo 18:00+,,,,,,POINT (6.9963464 49.2179458),MichaelLatz@t-online.de,,http://zurwinterbergalm.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,736625741,Saarbrücken,,60,66119,Im Almet,restaurant,+49 681 9850066,german;regional,,Waldblickschenke,,,,,,,,POINT (6.9930789 49.2099576),,,https://waldblick-schenke.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,736625746,,,219,66119,Verlängerte Julius-Kiefer-Straße,restaurant,,,,Ulanen Hof,,We-Sa 12:00-20:00; Su 10:00-18:00; Mo-Tu closed,,yes,,,,POINT (6.9894179 49.2138017),,,,,,,,,,,,,,,,,,+49 681 92558555,https://www.ulanen-gastro.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,737704154,Saarbrücken,DE,19,66111,Nauwieserstraße,restaurant,+49 681 374360,regional,,Café Kostbar,,"Mo 17:00-01:00; Tu-Fr 11:30-01:00; Sa 10:00-01:00; Su 10:00-14:00; PH 10:00-01:00 || ""Ostersonntag, Heiligabend und 1. Weihnachtstag von 10:00 bis 14:00 Uhr. Neujahr geschlossen""",,yes,,,,POINT (7.0010069 49.2358432),,,https://www.cafekostbar.de/,yes,,,,no,,,"WC im Hof ist rollstuhlgerecht, Räume nicht",,,,,,,,,yes,,,yes,,,,,no,,,,,,,,,,,,,,,yes,yes,yes,recommended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,737704161,,,,,,restaurant,+49 681 932 88 952,,,Natürlich Schmackhaft,,,,,,Gastwirtschaft,,POINT (7.0083595 49.2407848),,,https://www.natuerlich-schmackhaft.de/,,,,,no,,,2 Stufen,,,,,,,,,,,,,,,,,,,https://www.facebook.com/Natuerlich.Schmackhaft/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,807653817,Saarbrücken,DE,2,66117,Schloßstraße,restaurant,,,0,Tomate 2,,Mo-Sa 11:00-01:00; Su 10:00-01:00,,patio,,,,POINT (6.9908226 49.2308813),,,,yes,,,,limited,,,1 Stufe;Außenbereich barrierefrei,,,,,,,+49 681 57846,http://www.tomate2.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,807732272,,,,,,restaurant,+49 681 75590286,chinese,1,Pavillon,,"Mo-Su 11:30-15:00,17:30-23:30",,,,China-mongisches Restaurant,,POINT (6.9639395 49.2503097),,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,811453747,Saarbrücken,,15,66119,Schloßplatz,restaurant,,,,Café am Schloss,,"PH,Mo-Su 10:00-18:00+",,pedestrian_zone,,,,POINT (6.9918165 49.2307245),,,,yes,yes,,,yes,,,,,,,,,,+49 681 582621,https://www.cafe-am-schloss.com/,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,2021-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,814105015,Saarbrücken,,5,66111,St. Johanner Markt,restaurant,+49 681 958 128 40,,,ÏU,,"Su-Th 11:30-24:00; Fr,Sa 11:30-02:00",,pedestrian_zone,,,,POINT (6.9954969 49.2330855),,,https://www.iu-sb.de/,,yes,,,limited,,,,,,,,,,,,,,,,,,,,no,,https://www.facebook.com/iu.restaurant.saarbruecken/,https://www.instagram.com/iu_restaurant_sb/,,,,,,,,,,,,,,,,,0,https://www.tripadvisor.de/Restaurant_Review-g187396-d14855132-Reviews-Iu-Saarbrucken_Saarland.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
