element_type,osmid,geometry,historic,name,wheelchair,source,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,check_date,description,image,tourism,website,access,indoor,start_date,amenity,nodes,architect,building,building:levels,check_date:opening_hours,construction:start_date,contact:email,contact:phone,contact:website,heritage,name:sk,opening_hours,ref:isil,roof:shape,short_name,wikidata,wikipedia,source:addr,building:colour,nohousenumber,roof:colour,source:geometry,building:architecture,elevator,last_renovation,height,phone,toilets:wheelchair,leisure,sport,source:outline,addr:suburb,operator,roof:levels,building:material,community_centre,operator:type,name:etymology:wikidata,opening_hours:signed,owner,heritage:description,heritage:operator,roof:material,building:part,alt_name,community_centre:for,denomination,religion,old_name,ref,height:note,roof:height,roof:orientation,contact:facebook,contact:instagram,3dr:height1,3dr:length2,3dr:type,building:facade:material,drinking_water,fee,female,male,toilets:disposal,unisex,capacity,opening_hours:covid19,payment:cards,payment:cash,shower,toilets,email,polling_station,disused:building,loc_name,source:height,addr:housename,museum,architect:wikidata,retreat,retreat:for,retreat:operator,note,noaddress,social_facility,social_facility:for,temporary,ways,type,disused:amenity,club,contact:fax,official_name
way,33905475,"POLYGON ((8.445627 49.0261599, 8.4455639 49.0259983, 8.4455502 49.0259632, 8.4455342 49.0259223, 8.4455327 49.0259186, 8.4457349 49.0258847, 8.4457473 49.0258826, 8.4457638 49.0258798, 8.4457664 49.0258794, 8.445782 49.0258767, 8.4457997 49.0258738, 8.4458022 49.0258734, 8.4458827 49.0258598, 8.4459001 49.0259044, 8.445977 49.0261011, 8.4458495 49.0261225, 8.4458292 49.0261259, 8.4457396 49.026141, 8.4457235 49.0261437, 8.445627 49.0261599))",,,yes,,Karlsruhe,DE,2,76131,Am Fächerbad,,,,,,,,2003,,"[388455967, 5062670937, 4329623120, 5062670932, 388455968, 5045058325, 5045058333, 4329623118, 7090995194, 4329623117, 7090995192, 4329623116, 388455969, 4329623119, 388455970, 7316747100, 5045058324, 5840543341, 5840543327, 388455967]",,civic,2,,,,,,,,,,flat,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,Hagsfeld,Deutscher Alpenverein Sektion Karlsruhe,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,33905509,"POLYGON ((8.4446752 49.0254564, 8.4446978 49.0255135, 8.4446649 49.0255191, 8.4447154 49.025647, 8.4447249 49.025671, 8.4449021 49.0256409, 8.4450044 49.0256235, 8.4449949 49.0255995, 8.4450184 49.0255955, 8.4450955 49.0255824, 8.4450962 49.0255842, 8.4451565 49.0255739, 8.4451558 49.0255721, 8.445186 49.025567, 8.4451867 49.0255688, 8.445247 49.0255585, 8.4452463 49.0255568, 8.4452764 49.0255516, 8.4452771 49.0255534, 8.4453374 49.0255432, 8.4453367 49.0255414, 8.4454253 49.0255263, 8.4454446 49.025523, 8.4454638 49.0255198, 8.4455166 49.0255108, 8.4455827 49.0254995, 8.4456954 49.0254804, 8.4456935 49.0254756, 8.4456606 49.0253922, 8.4456483 49.0253612, 8.4456425 49.0253466, 8.4455484 49.0253626, 8.4455289 49.0253134, 8.4457685 49.0250503, 8.445596 49.0249838, 8.4454681 49.0249345, 8.4453747 49.0250387, 8.4453489 49.0250675, 8.4453278 49.0250711, 8.4453147 49.0250733, 8.445249 49.0250844, 8.4451958 49.0250639, 8.4451915 49.0250646, 8.4451577 49.0250703, 8.4451534 49.025071, 8.445122 49.025106, 8.4450545 49.0251174, 8.4450421 49.0251091, 8.4449431 49.0251259, 8.4449321 49.0251381, 8.4448626 49.0251499, 8.4448502 49.0251416, 8.4447525 49.0251582, 8.4447563 49.0251679, 8.4447432 49.0251701, 8.4446727 49.025182, 8.4446596 49.0251842, 8.4446415 49.0251873, 8.4446267 49.0251816, 8.4444383 49.0251098, 8.4444173 49.0251334, 8.4442669 49.0253029, 8.4446752 49.0254564))",,,yes,Bing,Karlsruhe,DE,1,76131,Am Sportpark,,,,,,,,1982-04-27,,"[3849221244, 3849221248, 3849221249, 388456253, 6020075058, 4261280243, 6025914160, 3849221257, 6020075042, 8094239450, 8094239448, 8094239449, 8094239451, 8094239452, 8094239447, 8094239444, 8094239453, 8094239454, 8094239445, 8094239446, 8094239455, 3837437350, 6020075064, 1184110133, 6030033269, 9251186856, 388456254, 3837437349, 9251186855, 3837437333, 3849221216, 1018884368, 1018884381, 388456257, 3849220652, 388456258, 8094186773, 388456259, 7393413797, 7393413800, 3837437282, 1184106139, 6206106856, 6206106859, 3849221162, 1184106114, 3849221177, 3849221172, 3849221178, 3849221181, 3849221184, 3849221182, 3849221186, 3849221189, 7393413789, 7393413802, 7393413796, 388456260, 1184114137, 388456261, 3837437291, 388456263, 3849221244]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hagsfeld,Fächerbad Karlsruhe GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,37908139,"POLYGON ((8.466491 48.957863, 8.466446 48.957821, 8.4664276 48.9578046, 8.4664784 48.9577801, 8.4664161 48.9577244, 8.4663614 48.9576757, 8.4663842 48.9576646, 8.4664638 48.9576198, 8.4665903 48.9576803, 8.4666033 48.9576729, 8.4666956 48.9577565, 8.466491 48.957863))",,Rathaus Grünwettersbach,,,Karlsruhe,DE,40,76228,Am Wetterbach,,,,,https://www.karlsruhe.de/Stadtteile/Wettersbach/Ortsverwaltung.htm,,,,townhall,"[2631417052, 2631417048, 539034458, 539034459, 1137552354, 1137552327, 444923681, 444923683, 1137552362, 539034457, 444923685, 2631417052]",,civic,,,,,,,,,,,,,,,,,,,,,,,,+49 721 945500,,,,,Grünwettersbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,50832717,"POLYGON ((8.5085661 48.9479441, 8.5087122 48.9477383, 8.5093136 48.9479225, 8.5091675 48.9481283, 8.5085661 48.9479441))",,Bergleshalle,,LA-KA,Karlsruhe,DE,3,76228,Zum Bergle,,,,,,,,,,"[648292803, 648292807, 648292810, 648292814, 648292803]",,civic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stupferich,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,50832722,"POLYGON ((8.5108385 48.9541926, 8.5107393 48.9542538, 8.5107332 48.9543352, 8.5109322 48.9543412, 8.510994 48.9543899, 8.5111442 48.9543018, 8.511142 48.9542567, 8.5113101 48.9541742, 8.5111141 48.9540289, 8.5109371 48.954021, 8.5107902 48.9541186, 8.5107795 48.9541644, 8.5108793 48.9541695, 8.5108385 48.9541926))",,Gemeindezentrum,,LA-KA,Karlsruhe,DE,16,76228,Werrenstraße,,,,,,,,,,"[648292942, 25508396, 648292954, 648292959, 648292960, 648292964, 648292967, 648292972, 648292976, 648292981, 648292992, 648292993, 648292997, 648292942]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stupferich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,54828232,"POLYGON ((8.4667493 48.9978861, 8.4665551 48.9977175, 8.4665241 48.9976911, 8.4664846 48.9977103, 8.4664191 48.9977033, 8.4663027 48.9977594, 8.4663005 48.9978036, 8.4662714 48.9978186, 8.4665951 48.9980904, 8.4668454 48.9979692, 8.4667864 48.9979183, 8.4667493 48.9978861))",,Festhalle,,,,,,,,,,,,,,,,music_venue,"[690169706, 1893262066, 690169715, 690169723, 690169732, 690169704, 690169710, 690169719, 690169726, 690169734, 690169711, 690169706]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,88070978,"POLYGON ((8.350019 49.0393368, 8.3503117 49.039345, 8.3512887 49.0393723, 8.3513025 49.0391596, 8.3511607 49.0391556, 8.3503641 49.0391333, 8.3503256 49.0391323, 8.3500329 49.0391241, 8.3500238 49.0392635, 8.350019 49.0393368))",,,,,Karlsruhe,DE,9,76187,Grünhutstraße,,,,,,,,,,"[1023501819, 1023501824, 8455440203, 8455440204, 8455460128, 8455460127, 1023501821, 1023479480, 8455460126, 1023501819]",,civic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Knielingen,Bundesanstalt Technisches Hilfswerk (THW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,90033145,"POLYGON ((8.4003737 49.0087365, 8.4003766 49.0087253, 8.4003751 49.008714, 8.4003692 49.0087033, 8.4003594 49.0086939, 8.4003462 49.0086865, 8.4003306 49.0086815, 8.4003136 49.0086794, 8.4002963 49.0086801, 8.4002798 49.0086838, 8.4002654 49.00869, 8.4002538 49.0086985, 8.4002459 49.0087086, 8.4002344 49.0086931, 8.4000517 49.0087516, 8.4001256 49.008851, 8.4002633 49.0090359, 8.4004004 49.008992, 8.400437 49.0090412, 8.4004666 49.009081, 8.4006218 49.0090313, 8.4005919 49.0089913, 8.4003968 49.0087291, 8.4003737 49.0087365))",,Ständehaus,,,Karlsruhe,DE,2,76133,Ständehausstraße,,,,,,,,1993-08,,"[1043539960, 6960633816, 5168699285, 1043540023, 1248862500, 1248862332, 1043539929, 1248863002, 1043540016, 1043539923, 1043539993, 6960633815, 1043539898, 5168699284, 1043539964, 1248862254, 1043539925, 1043539997, 4622541519, 1043539861, 1043539990, 4622541518, 1043540036, 1043539960]",,civic,3,,,,,,,,,,gabled,,Q2360163,de:Ständehaus (Karlsruhe),,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,90034225,"POLYGON ((8.4029044 49.0093573, 8.402886 49.0093128, 8.4028236 49.0091615, 8.4027774 49.0090496, 8.4027746 49.0090427, 8.4026042 49.009073, 8.4026968 49.0092975, 8.4027544 49.009437, 8.402778 49.0094328, 8.4029248 49.0094067, 8.4029044 49.0093573))",,Technisches Rathaus,,,Karlsruhe,DE,7,76133,Lammstraße,,,,,,,,1960s,,"[1043567355, 1043567446, 3491843842, 1043567391, 6599459437, 1043567338, 5196679121, 1043567412, 1043567341, 1043567407, 1043567355]",,civic,7,,,,,,,,,,,,,,,grey,,,"Maps4BW, LGL, www.lgl-bw.de",,,2017,,,,,,,,,,stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,90461649,"POLYGON ((8.4351131 49.0109547, 8.4353019 49.0109627, 8.4353505 49.0104735, 8.4351617 49.0104654, 8.4351131 49.0109547))",,,,,Karlsruhe,DE,82,76131,Rintheimer Straße,,,,,,,,,,"[1049641382, 1049641280, 1049641336, 1049641363, 1049641382]",,civic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oststadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,90517374,"POLYGON ((8.3038326 48.9963888, 8.3038351 48.9961312, 8.3037453 48.9961309, 8.3037428 48.9963884, 8.3037187 48.9963883, 8.3037186 48.9963985, 8.3037183 48.996424, 8.3036346 48.9964236, 8.3036342 48.9964654, 8.3036031 48.9964653, 8.3036028 48.9965047, 8.303765 48.9965054, 8.3037653 48.9964817, 8.3039362 48.9964825, 8.3039371 48.9963892, 8.3038326 48.9963888))",,,,,Karlsruhe,DE,47,76189,Hermann-Schneider-Allee,,,,,,,,1929,,"[1050122448, 1050122444, 1050122463, 1927863679, 1927863678, 6423346936, 1050122457, 1050122449, 4369597814, 4369597813, 1050122461, 3111233245, 1050122460, 3111233244, 1050122446, 1050122448]",Walter Merz,civic,,,,,,,yes,,,,,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de",bauhaus,,,,,,,,,Daxlanden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,90565149,"POLYGON ((8.4402785 49.0139651, 8.4403225 49.013965, 8.4403225 49.0139807, 8.4403226 49.0139981, 8.4406192 49.0139977, 8.440619 49.0139168, 8.4403223 49.0139172, 8.4402784 49.0139173, 8.4402783 49.0138965, 8.4401408 49.0138967, 8.440141 49.0139782, 8.4402786 49.013978, 8.4402785 49.0139651))",,,,,,,,,,,,,,,,,,,"[1050981177, 5336863122, 6501795640, 5336863121, 1050981147, 1050981155, 7126700978, 5336863123, 1050981152, 1050981158, 1050981133, 1050981180, 1050981177]",,civic,,,,,,,,,,,,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,90565151,"POLYGON ((8.438795 49.0139473, 8.4389812 49.0139468, 8.4389812 49.0139419, 8.4390362 49.0139417, 8.4390362 49.0139466, 8.4391283 49.0139464, 8.4391267 49.0137069, 8.4390346 49.0137071, 8.4390347 49.0137122, 8.4389797 49.0137123, 8.4389796 49.0137073, 8.4387935 49.0137078, 8.438795 49.0139473))",,Sporthalle Heinrich-Köhler-Schule,,,,,,,,,,,,,private,,~1963,,"[1050981150, 6501795610, 6501795611, 6501795612, 6501795613, 1050981145, 1050981173, 6501795609, 1371512947, 1371512945, 1371512944, 1050981153, 1050981150]",,civic,,,,,,,,,,,,,,,,,,,"Maps4BW (LGL, www.lgl-bw.de)",,,,,,,sports_centre,multi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,91262567,"POLYGON ((8.3061678 49.0309269, 8.3061821 49.0312797, 8.3059317 49.0312794, 8.3059353 49.0313665, 8.3061875 49.0313621, 8.3063466 49.0313593, 8.3063365 49.0311126, 8.3063289 49.030924, 8.3061678 49.0309269))",,,,,,,,,,,,,,,,,,,"[1059509208, 1059509267, 1059509237, 1059509271, 6268053369, 1059509245, 1059509318, 3624028523, 1059509208]",,civic,2,,,,,,,,,,half-hipped,,,,,,,#C66382,,,,,,,,,,"Maps4BW (LGL-BW, www.lgl-bw.de)",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
