element_type,osmid,access,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,capacity,capacity:disabled,capacity:women,contact:email,contact:phone,contact:website,fee,maxheight,name,opening_hours,operator,parking,geometry,wheelchair,addr:country,layer,maxweight,trailer,surface,bicycle,foot,vehicle,created_by,level,phone,description,entrance,horse,lit,traffic_sign,informal,note,smoothness,motorcycle,source,capacity:charging,check_date:opening_hours,bus,ref,maxspeed,access:description,park_ride,motorcar,fixme,capacity:charging:note,old_name,old_operator,website,owner,wheelchair:description,elevator,toilets:wheelchair,surveillance,payment:karlsruher,maxstay,operator:type,supervised,access:conditional,covered,building,motor_vehicle,agricultural,emergency,goods,hgv,tourist_bus,type,wikidata,wikipedia,start_date,customers,capacity:caravans,power_supply,sanitary_dump_station,nodes,parking:orientation,building:levels,source:geometry,surface:note,disused,check_date,source:addr,capacity:parent,brand,parking:condition,payment:coins,payment:maestro,payment:mastercard,payment:notes,payment:others,payment:v_pay,payment:visa,capacity:hgv,capacity:trailer,addr:housename,addr:suburb,ele,charge,payment:account_cards,payment:american_express,payment:debit_cards,payment:electronic_purses,payment:telephone_cards,parking:condition:area,parking:condition:area:customers,capacity:car_sharing,capacity:bus,landcover,access:note:de,capacity:private,parking:condition:default,parking:condition:time_interval,proposed:access,demolished:building,removed:office,fee:disabled,orientation,maxstay:conditional,fee:conditional,landuse,roof:material,roof:shape,parking:condition:maxstay,last_renovation,demolished:leisure,capacity:taxi,parking:condition:residents,capacity:note,operator:wikidata,leisure,fee:description,roof:levels,comment,location,parking:condition:capacity,access:customers,payment:contactless,payment:girocard,check_date:fee,capacity:conditional,capacity:short,indoor,lit:note,payment:bahncard,payment:credit_cards,room,source:capacity,alt_name,disused:bunker_type,disused:location,disused:military,disused:military:note,capacity:large,maxstay:monitoring,parking_space,mofa,moped,car,capacity:coach,service,hoops,car_sharing,source:outline,area,tunnel,paving_stones:shape,payment:cash,note:editor,capacity:bus:conditional,motor_vehicle:conditional,tourist_bus:conditional,ways,parking:condition:both
node,26086663,yes,,,,,parking,,,,,,,no,,,,,surface,POINT (8.3698128 49.0328986),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,26972680,,,,,,parking,,,,,,,,,Waldlehrpfad,,,,POINT (8.4797469 48.9858914),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,26974359,,,,,,parking,,,,,,,,,,,,,POINT (8.3382179 49.0361188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,27046310,private,,,,,parking,,,,,,,,,,,,,POINT (8.362269 49.0053197),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,27131620,,,,,,parking,,,,,,,,,,,,,POINT (8.3593445 49.0063815),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,27133297,private,,,,,parking,,,,,,,,,,,,surface,POINT (8.3619226 49.0050165),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,27133302,private,,,,,parking,,,,,,,,,,,,surface,POINT (8.3611261 49.0070053),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,27133304,,,,,,parking,,,,,,,,,,,,,POINT (8.357321 49.0080872),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,27134454,,,,,,parking,,,,,,,,,,,,,POINT (8.3449628 49.0079421),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,27134455,,,,,,parking,,,,,,,,,,,,,POINT (8.3454224 49.008545),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,27560523,yes,,,,,parking,,,,,,,no,,,,,surface,POINT (8.372541 49.0318092),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,27560526,private,,,,,parking,,,,,,,,,,,,surface,POINT (8.3710763 49.0340462),limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,27560537,private,,,,,parking,,,,,,,,,,,,surface,POINT (8.3729323 49.035162),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,29004527,yes,,,,,parking,,,,,,,no,,,,,surface,POINT (8.4973018 48.9818338),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,29005425,,,,,,parking,,,,,,,,,,,,surface,POINT (8.4674854 48.9579649),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,34579100,,,,,,parking,6,,,,,,,,,,,,POINT (8.4348954 49.0467328),,,,,,unpaved,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,60019235,yes,Karlsruhe,9,76133,Herrenstraße,parking,332,13,42,,,,yes,2.0,Parkhaus Herrenstraße/Zirkel,24/7,Omega-Immobilien Service GmbH,multi-storey,POINT (8.4009093 49.0106119),yes,DE,,,,concrete,,,,,,,,,,yes,,,400 Stellplätze insgesamt,excellent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,98140919,,,,,,parking,,,,,,,,,,,,,POINT (8.3366274 49.0000499),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,246878379,yes,,,,,parking,,,,,,,yes,,Weiherhof-Center,Mo-Su 06:00-24:00,,underground,POINT (8.4726379 48.9969966),yes,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,248936949,private,,,,,parking,,,,,,,,,,,,underground,POINT (8.3906868 49.0265515),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,250510019,yes,,,,,parking,,,,,,,,,,,,,POINT (8.4645968 48.980722),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,267085272,yes,,,,,parking,,,,,,,no,,,,,surface,POINT (8.4156907 49.0592894),,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,282566684,yes,,,,,parking,825,21,72,,,,yes,2.1,Ettlinger Tor,Mo-Sa 08:00-20:30; Th 08:00-22:00; Su off,Pollux Grundstücksgesellschaft & Co,multi-storey,POINT (8.4018263 49.0062294),yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,292914831,,,,,,parking,,,,,,,,,Waldparkplatz,,,,POINT (8.4112089 49.0777016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,320238064,,,,,,parking,,,,,,,,,gebaka,,,,POINT (8.393868 49.0032737),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,330830310,yes,Karlsruhe,2-12,76133,Erbprinzenstraße,parking,115,yes,,,,,yes,1.8,IHK,"PH,Mo-Su 00:00-24:00",Haus der Wirtschaft,multi-storey,POINT (8.4029977 49.0074831),yes,DE,,,,,,,,,,,,,,,,,,,,,yes,2023-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,330845736,yes,Karlsruhe,20,76133,Ritterstraße,parking,60,yes,,,,,yes,2,Landesbibliothek,Mo-Sa 06:00-02:00; PH off,,multi-storey,POINT (8.3991124 49.0074038),,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,330848762,yes,,,,,parking,80,yes,,,,,yes,,Akademiestraße,"Mo-Sa 06:00-24:00; PH,Su 12:00-20:00",,multi-storey,POINT (8.394179 49.0106292),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,371067929,,,,,,parking,,,,,,,,,Parkhaus Lustgartenhalle,,,,POINT (8.4778993 48.9666206),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
