element_type,osmid,amenity,name,wheelchair,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,alt_name,contact:email,contact:fax,contact:phone,contact:website,fixme,isced:level,website,grades,phone,addr:country,description,addr:suburb,note,operator,operator:type,school,school:de,email,fee,start_date,old_name,nodes,source,wikidata,wikipedia,polling_station,building,fax,building:levels,check_date,toilets:wheelchair,area,education,roof:levels,roof:shape,network,school:DE,name:etymology:wikidata,addr:subdistrict,name:en,name:fr,capacity,official_name,landuse,short_name,source:geometry,opening_hours,ways,type
node,990057517,school,IB Bildungszentrum,,POINT (8.3819329 49.009199),,,,,,,,,,,,https://www.internationaler-bund.de/angebote/standort/202301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3449390462,school,Institut für Berufsbildung,,POINT (8.383262 49.0057066),Karlsruhe,216a,76135,Kriegsstraße,,,,,,,,https://ifb-karlsruhe.de/,,,,"Staatlich anerkannte Fachschule für Augenoptik und Optometrie, Meisterschule für Hörgeräteakustik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4171917602,school,Grundschule Rintheim,,POINT (8.446366 49.0124313),Karlsruhe,1,76131,Weinweg,,,,,,,,,,,DE,,Rintheim,Die Grundschule und die Schule am Weinweg befinden sich auf dem selben Gelände,Stadt Karlsruhe,public,primary,Grundschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4281094368,school,element-i-Schule im Technido,,POINT (8.4375041 49.0241053),Karlsruhe,11-13,76131,Konrad-Zuse-Straße,Freie Grundschule Karlsruhe,,,+49 711 65696011,http://www.kita-technido.de,,1,,,,DE,,Rintheim,,Kind und Beruf gGmbH,private_non_profit,primary,Grundschule,technido@konzept-e.de,yes,2019-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4338770616,school,element-i Gemeinschaftsschule Karlsruhe,,POINT (8.4373096 49.0238924),Karlsruhe,11-13,76131,Konrad-Zuse-Straße,Freie Gemeinschaftsschule Karlsruhe,,,,https://www.element-i.de/schulen/details-der-schule/kinderhaus/neu-element-i-gemeinschaftschule-im-bildungshaus-technido-in-karlsruhe/,,1;2,,,,DE,,Rintheim,,element-i Bildungshaus Technido gGmbH,private_non_profit,secondary,Gemeinschaftsschule,,yes,2019-09-11,Freie Duale Fachschule für Pädagogik Karlsruhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5046578630,school,Waldschule,,POINT (8.3999169 49.0482904),,,,,,,,,,,,,,,,,,,,,,Grundschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5359487139,school,Hardtwaldschule,,POINT (8.3997644 49.0478638),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5809338253,school,Carl-Benz-Schule,,POINT (8.3819151 48.9978708),Karlsruhe,23,76135,Steinhäuserstraße,,,,,,,,https://www.carl-benz-schule.de/,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5866133794,school,Drais-Gemeinschaftsschule,,POINT (8.3673452 49.0151098),Karlsruhe,1,76185,Tristanstraße,,,,,https://www.drais-schule.de,,,,,,,,,,Stadt Karlsruhe,public,secondary,Gemeinschaftsschule,poststelle@drais-gms-ka.schule.bwl.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6648291447,school,Waldschule Neureut,,POINT (8.4004587 49.0481181),,37,,Moldaustraße,,,,,,,,https://waldschule-neureut.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7080703603,school,Draisschule Karlsruhe,,POINT (8.3667782 49.0147157),Karlsruhe,1,76185,Tristanstraße,Drais Grundschule,,,,http://drais-grundschule.de/,,,,,,,,,,Stadt Karlsruhe,public,primary,Grundschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7192820096,school,Nebenius Realschule,no,POINT (8.4080019 48.9970754),Karlsruhe,22,76137,Nebeniusstraße,,,,,http://www.nebenius-realschule.de/,,2,,,,DE,,,,Stadt Karlsruhe,public,secondary,Realschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7192820097,school,Nebenius Grundschule,no,POINT (8.4072831 48.997134),Karlsruhe,22,76137,Nebeniusstraße,,,,,http://www.nebenius-grundschule.de/,,1,,,,DE,,,,Stadt Karlsruhe,public,primary,Grundschule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9900687402,school,FOM - Hochschule für Berufstätige,,POINT (8.364491 49.002188),,,,,,,,,,,,https://www.fom.de/hochschulzentren/studium-in-karlsruhe.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170180602,school,Sophie-Scholl-Realschule,,POINT (8.3611922 48.9917988),,,,,,,,,,,,https://www.ssr-ka.de,,,,,,,Stadt Karlsruhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170180603,school,Engelbert-Bohn-Schule,,POINT (8.3613129 48.9917354),,,,,,,,,,,,http://www.ebs-karlsruhe.de,,,,,,,Stadt Karlsruhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10634922869,school,Carl-Engler-Schule,,POINT (8.3812497 48.9982318),Karlsruhe,23,76135,Steinhäuserstraße,,,,,,,,https://carl-engler-schule-karlsruhe.de/,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10634922870,school,Heinrich-Hertz-Schule,,POINT (8.3834711 48.9980961),Karlsruhe,51,76135,Südendstraße,,,,,,,,https://www.hhs.karlsruhe.de/,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10734155619,school,Tai Chi Chuan Schule S. Ishu,,POINT (8.420388 49.0076057),Karlsruhe,7,76131,Lachnerstraße,,,,,,,,https://www.schule-s-ishu.de/,,+49 721 9662900,,,,,,,,,info@schule-s-ishu.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4225283,school,,,"POLYGON ((8.3667531 49.0157039, 8.3687441 49.015561, 8.368586 49.0147818, 8.368475 49.0141699, 8.3665053 49.0143346, 8.3664758 49.0143506, 8.3665103 49.0145371, 8.3667531 49.0157039))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[25183598, 25183608, 6655044171, 25183620, 3489818690, 25183588, 6655044170, 25183598]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4404324,school,Pestalozzischule,no,"POLYGON ((8.4611657 48.9997597, 8.4602379 48.9999293, 8.4598927 48.999618, 8.4598895 48.9995785, 8.4599152 48.9995429, 8.460582 48.9992374, 8.4606178 48.9992371, 8.4607571 48.9991738, 8.4608826 48.9992697, 8.4609783 48.9993702, 8.4610377 48.9994598, 8.4611657 48.9997597))",,,,,Pestalozzischule Durlach,,,,,,,,,,,,,,,,,,,,,,"[26939824, 26939825, 26939826, 4255127932, 4255127931, 9649480614, 9649480615, 26939827, 251347198, 9649546017, 9649480616, 26939824]",Bing,Q1276397,de:Pestalozzischule Durlach,,,,,,,,,,,,,,,,,,,,,,,,
way,23229351,school,Markgrafen-Gymnasium,,"POLYGON ((8.4774238 48.999387, 8.4780997 48.9990441, 8.4781127 48.9990236, 8.4781157 48.999004, 8.4781033 48.9989763, 8.4780758 48.9989548, 8.4780369 48.9989486, 8.4780111 48.9989528, 8.4779812 48.9989673, 8.4779514 48.9989426, 8.4779141 48.9989118, 8.4778143 48.9988255, 8.4777997 48.9988328, 8.4776378 48.9986929, 8.4776886 48.9986676, 8.4775984 48.9985907, 8.4776466 48.9985682, 8.4774448 48.99842, 8.4774528 48.9984, 8.4773791 48.9983932, 8.477372 48.9984081, 8.4773104 48.9984117, 8.4772765 48.9984176, 8.477248 48.9984257, 8.4771565 48.998484, 8.4771833 48.9985102, 8.477011 48.9985961, 8.4770017 48.9985881, 8.4767752 48.9987009, 8.4768801 48.9987897, 8.477109 48.9989807, 8.4770024 48.9990294, 8.4771403 48.9991465, 8.4773942 48.9993619, 8.4774238 48.999387))",,,,,,,,,,,,https://www.mgg.karlsruhe.de/,,,,,,,,,,,,,,,"[251314189, 10570894993, 251314190, 10570894994, 10570894995, 10570894996, 10570894997, 10570894998, 10570894999, 10570894989, 251314178, 251314177, 251314176, 251314175, 251314174, 10570894975, 1658236078, 10570894974, 251314191, 10570894972, 10570894971, 10570894973, 10570894968, 10570894969, 10570894970, 10570894967, 251314172, 251314171, 251314170, 251314169, 251314193, 251314194, 671482345, 10570895328, 251314189]",,Q1900689,de:Markgrafen-Gymnasium Karlsruhe,,,,,,,,,,,,,,,,,,,,,,,,
way,23232312,school,Schloss-Schule Durlach,,"POLYGON ((8.4733016 48.9987118, 8.4735314 48.9987007, 8.4736041 48.9987688, 8.4737848 48.9987603, 8.473755 48.998538, 8.4737005 48.9985391, 8.4736882 48.9984251, 8.4737462 48.9984239, 8.4737221 48.9980784, 8.4739134 48.9980913, 8.4739282 48.9980493, 8.4739991 48.9980558, 8.474006 48.998028, 8.4740163 48.9979898, 8.4740369 48.9977575, 8.473349 48.997674, 8.4733106 48.9976939, 8.4732234 48.9979597, 8.4732 48.9981837, 8.4731973 48.998339, 8.4732659 48.9987147, 8.4733016 48.9987118))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[251346323, 251346324, 251314279, 251314278, 251314277, 251314276, 251314275, 251314274, 251314273, 251314272, 251314271, 251346325, 6109333518, 6109331653, 251346326, 251346327, 6109331649, 251346328, 251346329, 6109331650, 251346330, 251346323]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27077701,school,Grund- und Hauptschule Daxlanden,,"POLYGON ((8.333093 49.0043844, 8.3338769 49.0049832, 8.3328589 49.0052034, 8.3327732 49.0049883, 8.3327163 49.0048749, 8.3325971 49.004763, 8.3325782 49.0047004, 8.3326553 49.004649, 8.333093 49.0043844))",,8,,Pfalzstraße,,,,,,,,,,,,,,,,,,,,,,,"[297064525, 297064538, 297064549, 297064559, 297064592, 297064626, 1137797733, 1137797773, 297064525]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27081689,school,Federbachschule,no,"POLYGON ((8.3265396 49.0045212, 8.326295 49.0047334, 8.3263365 49.0047785, 8.3264573 49.0048816, 8.3265318 49.0049415, 8.3266751 49.0048507, 8.326764 49.004911, 8.3269031 49.0048228, 8.3269718 49.0047761, 8.3270266 49.0047432, 8.3268308 49.0046528, 8.3265816 49.0045415, 8.3265396 49.0045212))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[297113965, 297113966, 1313290115, 1313290034, 297113967, 297113968, 297113969, 1313289486, 1313290210, 297113970, 1313289596, 1313289512, 297113965]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,27267947,school,Bergwaldschule,,"POLYGON ((8.4683744 48.9708327, 8.4696702 48.9711814, 8.4699338 48.9707827, 8.468853 48.9703156, 8.4686604 48.9703727, 8.4683744 48.9708327))",Karlsruhe,7,76228,Elsa-Brändström-Straße,,,,,,,,,1-4,,DE,,Bergwald,,,,,,,,,,"[299301575, 9995300706, 4944109641, 5077856514, 299301587, 299301575]",,,,yes,,,,,,,,,,,,,,,,,,,,,,,
way,28430782,school,Marylandschule,,"POLYGON ((8.3883246 49.0270744, 8.3881774 49.0263765, 8.3884299 49.0263536, 8.388447 49.0264345, 8.3885667 49.0270017, 8.3886016 49.0269986, 8.3885903 49.0269448, 8.3891586 49.0268933, 8.3891734 49.0269635, 8.3891937 49.0270596, 8.3887738 49.0270977, 8.3887927 49.0271868, 8.3888375 49.0271828, 8.3888981 49.02747, 8.3886465 49.0274928, 8.3885856 49.0272042, 8.3885944 49.0272034, 8.388574 49.0271068, 8.3883684 49.0271255, 8.388357 49.0270715, 8.3883246 49.0270744))",Karlsruhe,70,76149,Rhode-Island-Allee,,,,,,,,,,,DE,,,,,,,,,,,Karlsruhe American Elementary School,"[312373763, 312373769, 312373770, 1723015615, 312373771, 1553916611, 1553916607, 312373797, 312373789, 312373773, 312373774, 1553916629, 1553916628, 312373775, 312373776, 1553916632, 1553916630, 1553916618, 1553916625, 312373777, 312373763]",,,,,yes,,,,,,,,,,,,,,,,,,,,,,
way,28430791,school,Heisenberg-Gymnasium,,"POLYGON ((8.3891734 49.0269635, 8.3891948 49.0269616, 8.3892018 49.0269948, 8.3896193 49.0269569, 8.3896471 49.0270886, 8.3896759 49.027086, 8.3896944 49.0271738, 8.3899152 49.0271537, 8.3898966 49.0270656, 8.3899209 49.0270634, 8.3898922 49.0269273, 8.3898685 49.0269295, 8.3898624 49.0268912, 8.3898559 49.0268697, 8.3898781 49.0268677, 8.3897745 49.0263768, 8.3897523 49.0263788, 8.3897471 49.026354, 8.3897428 49.0263337, 8.3897644 49.0263318, 8.3897427 49.0262289, 8.3894845 49.0262524, 8.3894699 49.0262537, 8.389492 49.0263584, 8.3895101 49.0263567, 8.3895189 49.0263984, 8.3895009 49.0264, 8.389604 49.0268885, 8.3894633 49.0269012, 8.3894559 49.0268663, 8.3891586 49.0268933, 8.3891734 49.0269635))",Karlsruhe,111,76149,Tennesseeallee,,,,,,,,,,,DE,,,,,,,,,,,,"[312373789, 1553916609, 1553916610, 312373790, 312373792, 1553916616, 1553916627, 1553916626, 1553916613, 312373793, 1553916603, 1553916606, 2470524158, 1553916600, 1553916599, 1553916592, 1553916593, 2470524126, 1553916587, 1553916586, 312373794, 9469383462, 312373795, 1553916589, 1553916588, 1553916594, 1553916596, 312373796, 1553916601, 1553916598, 312373797, 312373789]",,,,,yes,,,,,,,,,,,,,,,,,,,,,,
way,34300511,school,Otto-Hahn-Gymnasium,yes,"POLYGON ((8.4445638 49.0336353, 8.4453966 49.0336349, 8.445398 49.0328371, 8.4453978 49.0327574, 8.4454262 49.0327573, 8.4454257 49.0325529, 8.4454253 49.0324528, 8.4454239 49.0324203, 8.445416 49.0322393, 8.4453659 49.0321128, 8.4452838 49.031986, 8.4450709 49.0318143, 8.4448664 49.0317018, 8.4447554 49.0316685, 8.4445947 49.0316262, 8.4444925 49.0316069, 8.4426107 49.0316089, 8.4424942 49.0316161, 8.4421556 49.0316465, 8.4421229 49.0316778, 8.4423547 49.0319411, 8.4426847 49.0322644, 8.4431108 49.0326906, 8.4436003 49.0331422, 8.4441688 49.0336666, 8.4441914 49.0336706, 8.4442136 49.0336741, 8.4442364 49.0336728, 8.4443054 49.0336548, 8.4444087 49.0336351, 8.4445638 49.0336353))",Karlsruhe,1,76139,Im Eichbäumle,,,,,,,2;3,http://www.ohg-ka.de/,,+49 721 133-4556,DE,,Waldstadt,,,,secondary,Gymnasium,sekretariat@ohg-ka.de,,,,"[393364026, 1433129678, 409726171, 1433129567, 1433129615, 432474827, 6268917145, 8149116987, 1272066484, 1272066482, 393364051, 432474826, 1270149409, 9121302947, 393364060, 7110633187, 1433110640, 393364069, 9081834170, 393364083, 1272066497, 6412166882, 1272066481, 7161089833, 393364090, 6268912837, 6268912836, 6268912838, 6268912839, 1272066488, 393364026]",,Q2037941,,,,+49 721 133-4555,,,,,,,,,,,,,,,,,,,,,
way,50832715,school,Grundschule Stupferich,no,"POLYGON ((8.5115708 48.9540349, 8.5120221 48.9543851, 8.5119791 48.954409, 8.5118676 48.954471, 8.5116569 48.9543075, 8.511562 48.9542338, 8.5114163 48.9541208, 8.5115708 48.9540349))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[648292674, 648292679, 648292706, 648292710, 1631274049, 1631274035, 648292715, 648292674]",,,,,school,,,,,,,,,,,,,,,,,,,,,,
way,86503824,school,Johannes-Kepler Privatschulen,,"POLYGON ((8.3555113 49.0266065, 8.3547036 49.0267901, 8.3548258 49.0270212, 8.3549104 49.0271812, 8.3555304 49.0270403, 8.3557181 49.0269976, 8.355865 49.0269642, 8.3556582 49.0265731, 8.3555113 49.0266065))",Karlsruhe,7,76185,Daimlerstraße,,,,,,,,https://www.kepler-privatschulen.de/,,,DE,,,,,,,,,,,,"[1005455613, 1005455556, 3328618221, 1005455639, 1005455589, 1005455569, 1085860458, 1085860576, 1005455613]",Bing Maps,,,,school,,3,,,,,,,,,,,,,,,,,,,,
way,91369025,school,Gartenschule,no,"POLYGON ((8.3948067 49.0047468, 8.3948897 49.0047483, 8.3949739 49.0047844, 8.3951141 49.004784, 8.3952028 49.0047817, 8.3953669 49.0047821, 8.3955969 49.0047765, 8.3956416 49.0047762, 8.3956381 49.0045692, 8.3956073 49.0045697, 8.3956069 49.0045161, 8.3956066 49.004472, 8.3956076 49.0044345, 8.3955957 49.0044346, 8.3955929 49.0042701, 8.3953008 49.0042651, 8.3952954 49.0042902, 8.3949691 49.004295, 8.3949676 49.0044121, 8.3949188 49.0044415, 8.3946932 49.0044447, 8.3946951 49.0044746, 8.3947025 49.0045879, 8.3947932 49.0045877, 8.3948067 49.0047468))",Karlsruhe,20-22,76133,Gartenstraße,,,,,http://www.gartenschule-karlsruhe.de,,1,,,,DE,Montessori-Grundschule,,,Stadt Karlsruhe,public,primary,Grundschule,,,,,"[1060988480, 1060988512, 1269845418, 1269845054, 1269845484, 1269845537, 1269845349, 1060988488, 1060988471, 3506003111, 3506003108, 932527285, 1269845249, 5420222501, 1269845374, 5420222446, 1587602212, 1587602231, 3506705315, 1587602262, 2507744589, 932527290, 932527299, 3506705323, 1060988480]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,91369238,school,Goethe-Gymnasium,limited,"POLYGON ((8.3954781 49.0039546, 8.3954729 49.0037149, 8.3953212 49.0037164, 8.3953194 49.0036322, 8.3953167 49.0035118, 8.3953157 49.0034636, 8.3954155 49.0034627, 8.3956578 49.0034604, 8.3964377 49.003453, 8.3964392 49.0035224, 8.3964408 49.0035864, 8.396443 49.0036699, 8.3964556 49.0036695, 8.3964578 49.0037675, 8.3964659 49.0041357, 8.3964391 49.004136, 8.3960489 49.0041397, 8.3960169 49.00414, 8.3960171 49.0041489, 8.395912 49.0041499, 8.3959118 49.004141, 8.3958788 49.0041413, 8.3956643 49.0041433, 8.3956601 49.0039528, 8.3954781 49.0039546))",Karlsruhe,2,76133,Renckstraße,,,,,http://www.goethe-gymnasium-karlsruhe.de,,2;3,,,,DE,,,,Stadt Karlsruhe,public,secondary,Gymnasium,,,1908,,"[1061016376, 1061016412, 1061016409, 1061016356, 1364590565, 1061016352, 677115105, 677115106, 1061016365, 1364614870, 10876447191, 1364614876, 21533415, 677115109, 3506003098, 1043991951, 1043992055, 3506003099, 3506003101, 3506003102, 3506003100, 1364590752, 1061016369, 1061016361, 1061016376]",,Q1534118,de:Goethe-Gymnasium Karlsruhe,,,,,2023-02-04,yes,,,,,,,,,,,,,,,,,,
way,93338360,school,Tullaschule,,"POLYGON ((8.4326238 49.0091539, 8.4330678 49.0090934, 8.4330713 49.010251, 8.4326459 49.0102479, 8.4322671 49.0102388, 8.4322684 49.0100762, 8.4323579 49.0100765, 8.43236 49.0098222, 8.4323374 49.0098221, 8.4323391 49.0096095, 8.4323617 49.0096096, 8.4323638 49.0093557, 8.4322743 49.0093554, 8.4322757 49.0091912, 8.4326238 49.0091539))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[1016098734, 1082233801, 1082233804, 1016098742, 1016098701, 1016098731, 1016098716, 1016098722, 1016098730, 1016098736, 1016098696, 1016098719, 1016098720, 1016098715, 1016098734]",,,,,,,,,,yes,,,,,,,,,,,,,,,,,
way,100650913,school,Uhlandschule,,"POLYGON ((8.4071773 49.0027783, 8.4071765 49.0027934, 8.4071712 49.002849, 8.4071587 49.0031581, 8.4071536 49.0032603, 8.4066423 49.0032398, 8.4066462 49.0031771, 8.40665 49.0031152, 8.4066536 49.003058, 8.4065217 49.0030545, 8.4063791 49.0030507, 8.4063656 49.0030503, 8.4063056 49.0030487, 8.4062928 49.0030483, 8.4060284 49.0030412, 8.4060453 49.002707, 8.4060472 49.0026722, 8.4060481 49.002656, 8.4060486 49.0026355, 8.4063608 49.0026525, 8.4063834 49.0025137, 8.4066994 49.0025174, 8.4067048 49.0023908, 8.4068575 49.0023957, 8.4070447 49.0024019, 8.407198 49.0024069, 8.4071923 49.00251, 8.4071773 49.0027783))",,,,,,,,,,,,,,,,Haupt- und Werkrealschule,,,,,,,,,,,"[1147008158, 4185076015, 1149344600, 1147008339, 1149344426, 1163560970, 6551052696, 6551052690, 1147007786, 1147008252, 2126688066, 1147008582, 7192943764, 1147006916, 1149343258, 1149343521, 1149344032, 1157547392, 1149343687, 1163560985, 1157547389, 1157547396, 1147008319, 1149344582, 1149343188, 1147006779, 1149343703, 1147008158]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,103313576,school,Nebenius Grund- und Realschule,no,"POLYGON ((8.4070231 48.9973091, 8.4082699 48.9972068, 8.4082727 48.9971481, 8.4082831 48.9969321, 8.4082841 48.9969115, 8.4082951 48.9966814, 8.4082974 48.9966331, 8.407877 48.9966417, 8.4074944 48.9966424, 8.4072796 48.9966476, 8.4070231 48.9966538, 8.4070231 48.9966817, 8.4069825 48.9966817, 8.4068879 48.996682, 8.4068897 48.9970346, 8.4069445 48.9970346, 8.4069981 48.9970346, 8.4070231 48.9970346, 8.4070231 48.9970475, 8.4070231 48.9972496, 8.4070231 48.9973091))",Karlsruhe,22,76137,Nebeniusstraße,,,,,,,,,,,DE,,,,,,,,,,,,"[1193062003, 1193062782, 7039338376, 7045267020, 7039338375, 7918367028, 1193061368, 1223637773, 1193061657, 7041073160, 7036430856, 7039338402, 7918367027, 7039338400, 7039338416, 7041050416, 7039338414, 7922957994, 7921383828, 7045267013, 1193062003]",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,104842155,school,,,"POLYGON ((8.3628496 48.9877279, 8.3628516 48.9877857, 8.3628763 48.9878578, 8.3629634 48.9878573, 8.3629619 48.9877289, 8.3628496 48.9877279))",,,,,,,,,,,,,,,,,,,,,,,,,,,"[1209178722, 1316576059, 1209178983, 1209179505, 1209179095, 1209178722]",,,,,yes,,,,,,,,,,,,,,,,,,,,,,
way,105301382,school,Albschule,,"POLYGON ((8.3914534 48.9808058, 8.3915305 48.9808763, 8.391558 48.9809014, 8.3915259 48.9809166, 8.3915728 48.9809595, 8.3920962 48.980713, 8.3919585 48.9805871, 8.3918989 48.9806151, 8.3918499 48.9806382, 8.3917096 48.9807042, 8.3916958 48.9806916, 8.3914534 48.9808058))",Karlsruhe,,,,,,,,,,,,,,,,,,,,,,,,,,"[1213522214, 1421323527, 1213522184, 1421323539, 1421323550, 1213522207, 1213522117, 9937289231, 1421323500, 1421323515, 1421323512, 1213522214]",,,,,yes,,,,,,,,,,,,,,,,,,,,,,
way,109602793,school,Leopoldschule,no,"POLYGON ((8.3896966 49.0082327, 8.3896969 49.0083681, 8.3905323 49.0084063, 8.3905306 49.0083573, 8.3905288 49.0082881, 8.3904356 49.0082837, 8.3898599 49.0082566, 8.3898638 49.0082252, 8.3898386 49.0082264, 8.3896966 49.0082327))",Karlsruhe,9,76133,Leopoldstraße,,,,,,,,http://www.leopoldschule-karlsruhe.de,,+49 7231 1334695,DE,,,,,,,,poststelle@leopold-ghs-ka.schule.bwl.de,,,,"[1254335497, 1254334513, 1254335623, 1254335834, 1254335289, 1254334683, 1254335201, 1254334874, 1254335839, 1254335497]",,,,,school,,,,,,,,,,,,,,,,,,,,,,
way,109861633,school,Haus der Gemeinden,,"POLYGON ((8.3870364 49.0121865, 8.387097 49.012183, 8.3874473 49.0121669, 8.3874612 49.0122941, 8.3870533 49.0123132, 8.3870364 49.0121865))",Karlsruhe,1b,76133,Hoffstraße,,,,,,,,,,,DE,Verwaltungsschule des Gemeindetags Baden-Württemberg,,,,,,,,,,,"[1256629673, 1256629776, 1256629745, 1256629787, 1256629677, 1256629673]",,,,,yes,,,,,,,,,,,,,,,,,,,,,,
way,110321037,school,Badisches Konservatorium,,"POLYGON ((8.3844225 49.0091772, 8.3843991 49.0090753, 8.3847465 49.009041, 8.3847699 49.0091429, 8.3844225 49.0091772))",Karlsruhe,11c,76133,Kaiserallee,,,,,,,,https://www.karlsruhe.de/b1/kultur/musik/musikal_bildung/badkons.de,,,DE,,,,Stadt Karlsruhe,,,,,,,,"[1260177544, 1260178529, 1260179905, 1260179040, 1260177544]",,,,,school,,3,,,,music,2,mansard,,,,,,,,,,,,,,
