element_type,osmid,amenity,name,website,wheelchair,geometry,denomination,religion,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,opening_hours,check_date:opening_hours,disused:shop,old_name,opening_hours:signed,operator,operator:type,start_date,brewery,community_centre,contact:website,disused:amenity,phone,club,wheelchair:description,source,community_centre:for,email,url,amenity:note,level,short_name,toilets:wheelchair,addr:suburb,contact:phone,note,education,contact:email,contact:fax,sport,addr:housename,alt_name,ref,access,check_date,drinking_water:refill,drinking_water:refill:network,drinking_water:refill:network:wikidata,fixme,callsign,official_name,lgbtq,currency:BCH,nodes,building,source:addr,building:levels,roof:shape,source:geometry,description,max_age,min_age,historic,name:etymology:wikidata,owner,roof:levels,leisure,old_operator,addr:subdistrict,roof:material,building:material,roof:colour,polling_station,office,architect,ways,type
node,9609241263,community_centre,Jugendhaus Karlsruhe,,,POINT (8.3812259 49.006841),,,,,,,,,,,,,,,,,,http://jugendhaus-karlsruhe.de/,,,,,,juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9971031696,community_centre,Centre Culturel Franco-Alleman,,,POINT (8.3939949 49.003576),,,,,,,,Mo-Fr 09:30-12:30; Mo-We 14:00-17:00; Th 14:00-18:00,,,,,,,,,,www.ccfa-ka.de,,,,,,,,,,,,,,+49 721 16038-0,,,info@ccfa-ka.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9983566525,community_centre,Fanprojekt Karlsruhe,https://www.fanprojekt-karlsruhe.de/,,POINT (8.426194 49.0019372),,,Karlsruhe,DE,11,76137,Wolfartsweierer Straße,,2023-05-01,,,no,Stadtjugendausschuss e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,an genaue Position auf dem Gelände schieben,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10760254517,community_centre,AWO Seniorentreff Beiertheim-Bulach,,,POINT (8.380274 48.9874832),,,,,,,,,,,,,AWO Kreisverband Karlsruhe Stadt e.V.,,,,,,,,,,,senior,,,,,,,,,,,kreisverband@awo-karlsruhe.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4050982,community_centre,Bürgerzentrum Südstadt,,no,"POLYGON ((8.4136629 49.0026533, 8.413833 49.0030521, 8.4140848 49.0030059, 8.4142155 49.0029822, 8.4141934 49.0029296, 8.4140455 49.002583, 8.4136629 49.0026533))",,,Karlsruhe,DE,10,,Henriette-Obermüller-Straße,,2022-02-23,,,no,Südwerk Bürgerzentrum Südstadt GmbH,,,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,Südwerk,,,,,,,,,,,,"[21479905, 21480077, 2775143929, 21480078, 2775143931, 21480079, 21479905]",yes,,,,,,,,,,,,,,,,,,,,,,
way,4051006,community_centre,Jugendzentrum Südstadt,,,"POLYGON ((8.4065666 48.9998383, 8.4065758 48.999688, 8.4065597 48.9996875, 8.4065089 48.9996862, 8.4064963 48.9996858, 8.4063451 48.9996819, 8.406336 48.9998323, 8.4063957 48.9998339, 8.4065666 48.9998383))",,,Karlsruhe,,21,76137,Augartenstraße,,,,,,,,,,youth_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[21480365, 21480366, 10699154915, 10700303783, 10700303787, 21480367, 21480364, 9367358822, 21480365]",yes,,,,,,,,,,,,,,,,,,,,,,
way,7652212,community_centre,Badnerlandhalle,,,"POLYGON ((8.3835502 49.0444647, 8.3833811 49.0443647, 8.3832638 49.044388, 8.3832711 49.0444035, 8.3831085 49.0444377, 8.3829724 49.0444664, 8.3828952 49.0444216, 8.3827762 49.0444459, 8.3827574 49.0445107, 8.3826433 49.0445342, 8.3826124 49.0445552, 8.3825766 49.0446803, 8.3825869 49.044713, 8.3826784 49.0447677, 8.3826673 49.0447974, 8.3827786 49.0448633, 8.3829936 49.0448151, 8.3831414 49.0449031, 8.3832568 49.0448784, 8.3832963 49.0449074, 8.383331 49.0449009, 8.3833911 49.0447259, 8.3834726 49.0447071, 8.3835502 49.0444647))",,,Karlsruhe,DE,21,76149,Rubensstraße,,,,,,,,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[55438841, 1447502746, 55438878, 1447502749, 2479173366, 1447502761, 1447502751, 1447502752, 1447502781, 25346775, 941777779, 1447502823, 55438654, 1447502839, 1447502842, 55438788, 55438810, 55438817, 1447502854, 1447502860, 1447502858, 1447502830, 1447502826, 55438841]",civic,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,
way,28246232,community_centre,Anne-Frank-Haus,,yes,"POLYGON ((8.3931197 49.0152158, 8.3930942 49.0149248, 8.3936427 49.0149042, 8.3936329 49.0147924, 8.3936165 49.014793, 8.3936116 49.0147369, 8.3934779 49.0147419, 8.3934828 49.014798, 8.3930835 49.014813, 8.3929889 49.0148166, 8.39298 49.0147145, 8.3927894 49.0147217, 8.3928081 49.0149356, 8.3929053 49.0149319, 8.3929307 49.0152229, 8.3931197 49.0152158))",,,Karlsruhe,DE,20,76133,Moltkestraße,,2023-06-04,,,no,Stadtjugendausschuss e.V. Karlsruhe,community,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[310226181, 310226178, 310226177, 3964872065, 3964872066, 310226185, 310226188, 310226189, 6415035425, 310226190, 310226182, 310226183, 310226184, 310226180, 310226179, 310226181]",yes,,1.5,gabled,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,
way,44144794,community_centre,Adlernest,https://durlach.dlrg.de,,"POLYGON ((8.4795123 49.0062703, 8.4796282 49.0062815, 8.4796139 49.0063451, 8.4796291 49.0063466, 8.479622 49.0063782, 8.4796307 49.0063791, 8.4796219 49.0064183, 8.4796552 49.0064215, 8.4796299 49.0065337, 8.4795069 49.0065218, 8.4795094 49.0064074, 8.4795123 49.0062703))",,,Karlsruhe,,,76227,Tiengener Straße,,,,,,Deutsche Lebens-Rettungs-Gesellschaft Ortsgruppe Durlach e.V.,,2006-05-13,,club_home,,,,sport,,,athlete,,,,,,,,,,,,,swimming,,,,,,,,,,,,,,"[560854204, 560854211, 1948111320, 2513920393, 7969717550, 7969717549, 2513920390, 560854238, 2513920386, 560854199, 7969717548, 560854204]",,,,,,Vereinsheim DLRG Ortsgruppe Durlach,,,,,,,,,,,,,,,,,
way,52276457,community_centre,Kinder- und Jugendhaus Mühlburg,https://stja.de/kjh-muehlburg/#home,no,"POLYGON ((8.3615713 49.0143986, 8.3618644 49.0143768, 8.3618502 49.0142946, 8.3615571 49.0143164, 8.3615713 49.0143986))",,,Karlsruhe,DE,1,76185,Fliederstraße,"Tu,Fr 15:00-19:00; We,Th 16:00-19:00",,,,,Stadtjugendausschuss Karlsruhe,,,,youth_centre,,,,,,,child;juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,"[665298847, 665298859, 665298857, 665298856, 665298847]",yes,,2,hipped,,,21,6,,,,,,,,,,,,,,,
way,98192582,community_centre,Dreschhalle,,,"POLYGON ((8.449034 49.0156692, 8.4490005 49.0155311, 8.448691 49.0155634, 8.4487245 49.0157015, 8.449034 49.0156692))",,,,,,,,,,,,,Stadt Karlsruhe,public,,,events_venue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1135973040, 1135973100, 1135973058, 1135973045, 1135973040]",civic,,,gabled,"Maps4BW, LGL, www.lgl-bw.de",,,,threshing_floor,,,,,,,,,,,,,,
way,98520730,community_centre,Luise-Riegger-Haus,,no,"POLYGON ((8.4099363 49.0043075, 8.4099543 49.0040393, 8.409796 49.0040335, 8.4097873 49.0041783, 8.4097733 49.0042864, 8.4099363 49.0043075))",,,,,56,76137,Baumeisterstraße,,,,,no,AWO Kreisverband Karlsruhe-Stadt e.V.,,,,,https://www.awo-karlsruhe.de/einrichtungen/luise-riegger-haus/,,,,,LA-KA,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1139736167, 1139735080, 1139734129, 1139735764, 1139734776, 1139736167]",civic,,3,hipped,,,,,,Q63485736,Stadt Karlsruhe,1,,,,,,,,,,,
way,98866240,community_centre,Hermann-Ringwald-Halle,,,"POLYGON ((8.4543796 48.9726646, 8.4540751 48.9725582, 8.4541699 48.9724412, 8.4542475 48.9724683, 8.4544502 48.9722182, 8.454459 48.9722073, 8.4546357 48.972269, 8.4546218 48.9722862, 8.4546721 48.9723038, 8.4546112 48.9723789, 8.4543796 48.9726646))",,,Karlsruhe,DE,12,76228,Schlossbergstraße,,,,,,,,,,,,,,,,LA-KA,,,,,,,,Wolfartsweier,,,,,,,,,,,,,,,,,,,,"[1143755436, 1143755410, 1143755433, 1143755421, 1143755440, 1190995285, 1190995259, 29381784, 1143755409, 1143755432, 1143755436]",yes,,,,,,,,,,,,,,,,,,,,,,
way,99998584,community_centre,,,,"POLYGON ((8.4462159 49.015658, 8.4463521 49.0156217, 8.4463351 49.0155942, 8.4463269 49.0155964, 8.4462404 49.0154567, 8.4461821 49.0153628, 8.4460542 49.0153968, 8.4462159 49.015658))",protestant,christian,Karlsruhe,DE,79a,76131,Rintheimer Hauptstraße,,,,,,"Evangelische Gemeinde ""Zum Guten Hirten""",religious,1952,,parish_hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1156203158, 1156203142, 7112717307, 7112717306, 1392349938, 1156203122, 1156203217, 1156203158]",public,,,gabled,"Maps4BW, LGL-BW, www.lgl-bw.de;Bing 2013",,,,,,,,,,,,,,,,,,
way,103358944,community_centre,Evangelisches Gemeindezentrum,,limited,"POLYGON ((8.4707499 48.9982586, 8.4706449 48.9982805, 8.4706838 48.9983608, 8.4708749 48.9983208, 8.4709364 48.9984476, 8.4710067 48.998433, 8.4709215 48.9982571, 8.4709064 48.998226, 8.4707499 48.9982586))",protestant,christian,Karlsruhe,DE,6,76227,Amthausstraße,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1193554813, 1193554969, 1193555080, 26372143, 1193554753, 1193555016, 1193555102, 2908757595, 1193554813]",yes,,,,,,,,,,,,,,,,,,,,,,
way,104143842,community_centre,Begegnungsstätte Wolfartsweier,,,"POLYGON ((8.4525629 48.9750031, 8.452379 48.9748843, 8.4524218 48.9748557, 8.4523878 48.9748337, 8.4524354 48.9748019, 8.4524723 48.9748257, 8.4524973 48.974809, 8.4526764 48.9749247, 8.4526497 48.9749425, 8.4526861 48.974966, 8.4526452 48.9749933, 8.4526109 48.9749711, 8.4525629 48.9750031))",,,Karlsruhe,DE,2a,76228,Rathausstraße,,,,,,,,,,,,,,,,LA-KA,,,,,,,,Wolfartsweier,,,,,,,,,,,,,,,,,,,,"[1201719506, 1201719496, 1201719502, 1201719510, 1201719489, 1201719493, 1201719499, 1201719503, 9707464918, 9707464919, 9707464920, 9707464917, 1201719506]",yes,,,,,,,,,,,,,,,,,,,,,,
way,108453600,community_centre,Hanns-Löw-Haus,,,"POLYGON ((8.4059038 49.0079792, 8.4058869 49.0079643, 8.4058181 49.0079589, 8.4058294 49.0078965, 8.4058711 49.0078997, 8.4058716 49.0078972, 8.4059331 49.007902, 8.4059557 49.0079037, 8.4060412 49.0079104, 8.4060365 49.0079363, 8.4060652 49.0079386, 8.4062351 49.0079518, 8.4062049 49.0081185, 8.4061971 49.0081614, 8.4061817 49.0081602, 8.4060272 49.0081481, 8.4059548 49.0081425, 8.4059456 49.0081417, 8.4059653 49.0080335, 8.4059468 49.0080171, 8.4059404 49.008019, 8.4059335 49.0080201, 8.4059265 49.0080203, 8.4059196 49.0080196, 8.405913 49.008018, 8.4059069 49.0080156, 8.4059017 49.0080125, 8.4058975 49.0080088, 8.4058945 49.0080047, 8.4058928 49.0080002, 8.4058924 49.0079956, 8.4058933 49.007991, 8.4058956 49.0079867, 8.4058991 49.0079827, 8.4059038 49.0079792))",protestant,christian,Karlsruhe,DE,13,76133,Kreuzstraße,,2022-10-07,,,no,Alt- und Mittelstadtgemeinde Karlsruhe,religious,,,parish_hall,https://stadtkirche-karlsruhe.de/de/gemeindehaus,,,,,,religious,,,,,,,,,,,,,,,Evangelisches Gemeindehaus,,,,,,,,,,,,"[1244379584, 1244379732, 1244379252, 1244379745, 1239998507, 1239998555, 8090516641, 1239998558, 1239998487, 1244379444, 8090516621, 1244379725, 1244379316, 8090516644, 2460256566, 1244379673, 1244379750, 8090516643, 1244379327, 1244379475, 1244379676, 1244379606, 1244379333, 1244379363, 1244379461, 1244379286, 1244379648, 1244379699, 1244379226, 1244379438, 1244379314, 1244379620, 1244379416, 1244379381, 1244379584]",civic,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,
way,108964389,community_centre,Gemeindehaus St. Stephan,,,"POLYGON ((8.3997533 49.0088472, 8.3997415 49.0088313, 8.3998311 49.0088026, 8.399867 49.0088107, 8.4000517 49.0087516, 8.4001256 49.008851, 8.4002633 49.0090359, 8.4000981 49.0090888, 8.3999649 49.0091315, 8.3997727 49.0088732, 8.3997533 49.0088472))",,,Karlsruhe,DE,4,76133,Ständehausstraße,,,,,,,,,,parish_hall,,,,,,,religious,,,,,,,,,,,,,,,Stephan-Saal,,,,,,,,,,,,"[1248862091, 1248862531, 1248862858, 1248862597, 1043539964, 1248862254, 1043539925, 1248862748, 2460204090, 1248862276, 1248862091]",yes,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,
way,111641963,community_centre,Rheinstrandhalle,,,"POLYGON ((8.3387384 48.9983844, 8.3390991 48.9987407, 8.3391487 48.9987205, 8.3391769 48.998724, 8.3393781 48.9986554, 8.3395605 48.9985498, 8.3395417 48.9985023, 8.3392319 48.9982031, 8.3391675 48.9981785, 8.3389583 48.9982445, 8.3387786 48.9983457, 8.3387773 48.9983642, 8.3387384 48.9983844))",,,Karlsruhe,DE,12,76189,Lindenallee,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,multi,,,,,,,,,,,,,,"[1271404202, 1271404176, 1271404327, 1271404275, 1271404246, 1271404257, 1271404214, 1271404259, 1271404310, 1271404318, 1271404240, 1271404280, 1271404202]",yes,,,,,,,,,,,,sports_centre,,,,,,,,,,
way,111641971,community_centre,Jugendzentrum,,,"POLYGON ((8.3395457 48.9982023, 8.3397053 48.9983562, 8.3395556 48.9984206, 8.3396424 48.9985047, 8.3399427 48.9983703, 8.3398756 48.9983026, 8.3398408 48.9983193, 8.3396611 48.9981433, 8.3396932 48.998131, 8.3395725 48.9980122, 8.3392668 48.998141, 8.3393974 48.9982675, 8.3395457 48.9982023))",,,Karlsruhe,DE,10,76189,Lindenallee,,,,,,,,,,,,,,,,,juvenile;child,,,,,,,,,,,,,,Jugendzentrum,,,,,,,,,,,,,"[1271404265, 1271404323, 1271404163, 1271404322, 1271404160, 1271404241, 1271404312, 1271404236, 1271404191, 1271404182, 1271404162, 1271404216, 1271404265]",yes,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,
