element_type,osmid,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,cuisine,name,opening_hours,opening_hours:covid19,outdoor_seating,phone,website,geometry,opening_hours:signed,wheelchair,addr:country,addr:suburb,alt_name,email,beer_garden,toilets:wheelchair,contact:email,contact:phone,contact:website,access:covid19,brewery,cuisine:description,operator,takeaway:covid19,check_date,kitchen_hours,start_date,note,source:addr,source,addr:subdistrict,takeaway,kitchen,check_date:opening_hours,diet:vegan,diet:vegetarian,indoor_seating,smoking,toilets,fixme,delivery,description,contact:fax,microbrewery,note:en,reg_name,fax,toilets:access,internet_access,internet_access:fee,internet_access:ssid,level,created_by,drive_in,lunch,lunch:warm,old_name,alt_name:note,old_operator,bar,branch,brand,opening_hours:kitchen,website:menu,diet:halal,halal,shop,short_name,lastcheck,payment:contactless,payment:girocard,payment:mastercard,payment:visa,payment:cash,toilets:female,toilets:male,toilets:unisex,capacity,diet:gluten_free,payment:maestro,payment:mastercard:min_payment,payment:others,payment:visa:min_payment,air_conditioning,wifi,delivery:partner,drink:afri-cola,front_cooking,wheelchair:description,contact:facebook,FIXME,changing_table,changing_table:location,ref,table_service,toilets:disposal,operation,tourism,mapillary,survey:date,image,surveillance,reservation,wheelchair:description:de,todo,note:covid19,diet:kosher,drive_through,payment:credit_cards,payment:debit_cards,seating,payment:cryptocurrencies,payment:electronic_purses,ref:vatin,access,description:payment,payment:account_cards,official_name,changing_table:count,description:de,payment:cards,addr:housename,dog,max_level,min_level,wikidata,contact:mobile,name:zh,brand:wikidata,brand:wikipedia,kids_area,kids_area:fee,kids_area:outdoor,kids_area:supervised,loc_name,organic,smoking:outside,source:url,payment:american_express,running_sushi,name:note,name:de,buffet,self_service,designation,old_name_1,old_name_2,service_times,theme,brewery:wikidata,craft,delivery:covid19,description:covid19,payment:diners_club,old_name:1,addr:floor,contact:whatsapp,indoor,craft_beer,contact:instagram,payment:apple_pay,seats,opening_date,seats:indoor,seats:outdoor,drinking_water:refill,drinking_water:refill:network,drinking_water:refill:network:wikidata,sport,currency:EUR,currency:others,access:description,cocktails,happy_hours,lunch:menu,addr:place,breakfast,nodes,building,roof:colour,roof:levels,roof:shape,building:levels,source:outline,internet_access:operator,layer,indoor_slide,source:geometry,disused:amenity,roof:material,height,source:height,ele,building:part,room,capacity:indoor,capacity:outdoor,all_you_can_eat,all_you_can_eat:type,outdoor_seating:capacity,payment:credit_card,wood_oven,delivery:brand,level:ref
node,25967634,Karlsruhe,32,76131,Adenauerring,restaurant,"italienisch, argentinisch",Treffunkt1721,"Tu-Su 11:30 - 14:00, Tu-Su 17:00 - 21:30",,yes,,,POINT (8.3973476 49.0254014),,yes,DE,,,,,,restaurant@treffunkt1712.de,+49 721 92099668,https://www.restaurant-treffpunkt1712.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,25970523,Karlsruhe,30,76227,Mastweidenweg,restaurant,,Gaststätte Mastweide,"2017 Feb 01-2017 Mar 01 off; Apr-Oct: Mo,Tu off; We-Su 10:00-21:00; Nov-Mar: Mo,Tu off; We 10:00-14:00; Th-Su 10:00-21:00",,,,,POINT (8.4453973 49.000575),,,DE,Durlach,,,,,info@mastweide-karlsruhe.de,+49 721 407957,http://www.mastweide-karlsruhe.de/,,,,Jürgen Zettler,,2017-02-27,"2017 Feb 01-2017 Mar 01 off; Apr-Oct: Mo,Tu off; We-Su 10:00-20:00; Nov-Mar: Mo,Tu off; We 10:00-14:00; Th-Su 10:00-20:00",,"Laut Website: ""Leider müssen wir aufgrund der aktuellen Situation nun vorübergehend unseren Restaurantbetrieb einstellen""",,,,,,2017-02-27,,,,,,Dauerhafte oder nur temporäre Schließung?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,26064550,,,,,restaurant,german;international,Bei Giovanni,"Tu-Th 11:30-14:30,17:00-23:00; Sa-Su 11:00-23:00; Mo off",,,,,POINT (8.3685715 49.046878),,limited,,,,,,,,+49 721 705238,https://www.beigiovanni.de/,,,,,,,,,,,,,,,,,,,,,,yes,Restaurant der FC Germania Neureut 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,26292081,Karlsruhe,1,76139,An der Feldshütte,restaurant,german;greek,Kreta,,,yes,,,POINT (8.4558988 49.0407999),,limited,DE,Hagsfeld,Feldshütte,,,,RestaurantKreta@gmx.de,+49 721 2041328,http://www.restaurant-kreta-karlsruhe.de/,,,,Vasileios Bempos,,,,,,,,,yes,,,,,,,,,,,+49 721 2041327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,26940248,Karlsruhe,16,76227,Amalienbadstraße,restaurant,regional,Vogel Hausbräu Durlach,"Su-Th 10:00-24:00, Fr,Sa 10:00-01:00",Mo-Su 15:00-19:00,yes,,,POINT (8.465936 48.9984109),,yes,DE,Durlach,,,yes,yes,durlach@vogelbraeu.de,+49 721 81968-0,https://www.vogelbraeu.de/,,,,der Vogelbräu GmbH,only,,,,Außer Haus Verkauf nur für Bier im Siphon,,,,yes,,,,yes,yes,,,,,,+49 721 81968-22,yes,Off-trade sales for beer in siphons only,Vogel Durlach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,26940286,Karlsruhe,1,76227,Hildebrandstraße,restaurant,asian;vietnamese,Asia Gourmet,"Mo-Fr 11:30-15:00,17:00-22:30; Sa 17:00-22:30; PH,Su 12:00-15:00,17:00-22:30",,no,+49 721 7918341,,POINT (8.4594268 48.9970097),,no,DE,,,,,,,,,,,,,,,,,,,,,,,2023-04-26,,yes,yes,,,,,,,no,,,+49 721 4768972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,26963741,Karlsruhe,1,76227,Erlachseeweg,restaurant,,Sportgaststätte Oberwaldstadion,"Tu-Fr 16:30-22:30; Sa,Su 11:00-22:30",,,,,POINT (8.4395248 48.9849774),,yes,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,27159164,,,,,restaurant,german,FG Rüppurr 04,,,yes,,,POINT (8.3904062 48.9694891),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,28390780,Karlsruhe,46,76133,Amalienstraße,restaurant,indian,Punjab,"Mo-Su 11:30-14:30,17:30-23:30",,yes,,,POINT (8.3898708 49.0097246),,no,,,,,,,info@punjab-karlsruhe.de,+49 721 22127,http://www.punjab-restaurant.de,,,,Karamjit Singh,,2022-05-11,,,,,,,,,2022-05-03,,yes,yes,no,,,,,,,,,,,wlan,no,WLAN-XJTZYG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,29009315,,,,,restaurant,,Adler,,,,,,POINT (8.4594408 49.0319153),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potlatch 0.4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,29019838,Karlsruhe,1a,76187,Frauenhäusleweg,restaurant,german;mediterranean,Mediterran,"Mo off; Tu-Sa 11:30-14:30,17:00-23:00;Su 10:00-22:00; PH 11:30-14:30,17:00-22:00",,yes,,,POINT (8.3294234 49.0375923),,yes,DE,,,,,yes,,+49-721-18054147,https://www.restaurant-mediterran.com/,,,,Mladen Kvesic,,2022-01-08,,,,,,,,,2022-01-08,,no,,no,yes,,,,,no,,,,permissive,no,no,,,,no,warm,Tu-Fr 11:00-14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,29132025,Karlsruhe,18,76185,Steubenstraße,restaurant,german;mediterranean,Oberer See,"Mo,We-Sa 11:00-22:00;Su 10:00-22:00",,,+49 721 81968781,http://www.oberersee.de,POINT (8.3607269 49.0172725),,yes,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,29948730,Karlsruhe,5,76131,Am Sportpark,restaurant,,Denkfabrik,"PH,Mo-Su 11:00-24:00",,,,,POINT (8.4413147 49.0263455),,yes,DE,Hagsfeld,,,,yes,,,http://denkfabrik-karlsruhe.de/,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,SSC Sportgaststätte am Sportpark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,29949103,Karlsruhe,1,76131,Mendelssohnplatz,restaurant,,№17 Fleur de Sel,Mo-Su 18:00-22:00,,,,,POINT (8.4100444 49.0056774),,yes,DE,,No17 Fleur de Sel,,,yes,,,,,,,Achat Plaza Karlsruhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zum Markgrafen,for search engines as № often cannot be typed on keyboards,Renaissance Karlsruhe Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,29967304,,,,,restaurant,italian,Vesuvio,,,,+49 721 567638,,POINT (8.3409942 49.0312111),,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
