element_type,osmid,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,name,opening_hours,website,wheelchair,geometry,internet_access,level,check_date:opening_hours,addr:housename,addr:suburb,note,ref:isil,short_name,check_date,access,wikidata,library,operator,ref,university,description,toilets:wheelchair,opening_hours:signed,contact:email,contact:fax,contact:phone,contact:website,name:de,name:en,email,wikipedia,phone,air_conditioning,nodes,architect,building,building:levels,construction:start_date,heritage,name:sk,roof:shape,source,start_date,max_level,min_level,surveillance,wheelchair:description,indoor,room,alt_name
node,3168334565,,,,,,library,Fakultätsbibliothek Architektur,"Mo-Th 09:00-17:00; Fr 09:00-12:30, 13:30-17:00; PH off",,limited,POINT (8.410772 49.0111224),,,,,,,DE-90-66,,,,,research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3168334963,,,,,,library,Institut für Kunstgeschichte,,,,POINT (8.4108022 49.0115229),,0,,,,beides hinter derselben Tür,,,,,,research,Institut für Kunstgeschichte,020,institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3168334965,,,,,,library,Fachgebiet Baugeschichte,Mo-Fr 09:00-12:30; 14:00-16:00,,,POINT (8.410709 49.0114286),,0,,,,,,,,,,research,,016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3168376563,,,,,,library,Bibliothek des Geodätischen Instituts,Mo-Fr 12:00-15:30; PH off,,,POINT (8.4111018 49.0109429),,-1,,,,,,,,,,research,Geodätisches Institut; Institut für Photogrammetrie und Fernerkundung,-145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3168376661,,,,,,library,"Institut Entwerfen, Kunst und Theorie, Fachgebiet Raumgestaltung und Entwerfen",Mo-Fr 09:00-12:00; PH off,,,POINT (8.4104934 49.0112405),,,,,,Bibliothek und Sekretariat hinter ein und derselben Tür,,,,,,research,,,institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3170150269,,,,,,library,,"Mo-Th 08:00-12:00, 14:00-16:00; PH off",,no,POINT (8.41208 49.0102922),,1,,,,,,,,,,research,"Institut für Orts-, Regional- und Landschaftsplanung, Fachgebiet Internationaler Städtebau und Entwerfen",107,,Zugang über 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3170150362,,,,,,library,,,,,POINT (8.4115776 49.010368),,1,,,,,,,,,,research,Institut für Landschaft und Garten,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3317733043,,,,,,library,Wirtschaftswissenschaftliche Fakultätsbibliothek,,,,POINT (8.3752273 49.0130948),,0,,,,,DE-90-3,,,,,,,,library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3319210364,,,,,,library,Fachbibliothek der DHBW Karlsruhe (FBD),Mo-Fr 08:00-16:00,,yes,POINT (8.3852551 49.0271998),wlan,,,,,,DE-Ka90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3319220632,,,,,,library,Fachbibliothek Physik,Mo-Fr 09:00-19:00; Sa 09:00-12:30,,yes,POINT (8.410676 49.0124031),wlan,2,2023-03-09,,,,,FBP,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3389593537,Karlsruhe,,46,76135,Schillerstraße,library,Katholische öffentliche Bücherei St. Bonifatius,,,no,POINT (8.3782694 49.007248),,1,,,,,,,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3611104790,Karlsruhe,DE,52,76149,Kanalweg,library,Amerikanische Bibliothek,"Tu-Fr 14:00-18:00; We 10:00-12:00,14:00-18:00; Sa 10:00-14:00",,yes,POINT (8.3920864 49.0330284),wlan,,,,Nordstadt,,,,,,,,Freunde der Amerikanischen Bibliothek Karlsruhe e.V.,,,,,,bibliothek-amerika@kultur.karlsruhe.de,+49 721 7908806,+49 721 72752,http://www.amerikanische-bibliothek.de/,Amerikanische Bibliothek,American Library,,,,,,,,,,,,,,,,,,,,,
node,4525034596,Karlsruhe,DE,2,76133,Ständehausstraße,library,Stadtbibliothek im Neuen Ständehaus,Tu-Fr 10:00-18:30; Sa 10:00-15:00,https://www.karlsruhe.de/b2/bibliotheken/stadtbibliothek,yes,POINT (8.4003289 49.0088688),wlan,,2022-11-15,,,,,,,,Q1539952,,,,,,,,,,,,,,stadtbibliothek@kultur.karlsruhe.de,de:Stadtbibliothek Karlsruhe,,,,,,,,,,,,,,,,,,,
node,7061502609,,,,,,library,Gemeindebibliothek der Lukasgemeinde,Tu 15:30-17:30; We 08:30-09:45; Su 11:00-12:00; PH unknown,,,POINT (8.3708337 49.0143987),,,,,,,,,,,,,Lukasgemeinde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8022619493,,,,,,library,Bibliothek des Staatlichen Museums für Naturkunde Karlsruhe,,https://www.smnk.de/sammlungen/bibliothek/,,POINT (8.3995595 49.0069553),,,,,,,DE-Ka83,,,private,,,Land Baden-Württemberg,,,"Präsenzbibliothek, nicht an den öffentlichen Leihverkehr angeschlossen",,,,,,,,,bibliothek@naturkundeka-bw.de,,+49 721 175-2883,,,,,,,,,,,,,,,,,,
node,8592841442,Karlsruhe,,30b,76189,Heidenstückerweg,library,Medienbus,Tu 13:30-14:30,,,POINT (8.3527673 48.9945596),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8615454394,,,,,,library,Medienbus,Mo 15:00-16:00,https://www.karlsruhe.de/b2/bibliotheken/zweigstellen/medienbus.de,,POINT (8.4774669 48.9656883),,,,,,,,,,,,,Stadtbibliothek Karlsruhe,,,,,,,,,,,,medienbus@kultur.karlsruhe.de,,,,,,,,,,,,,,,,,,,,
node,8615454395,Karlsruhe,,43,76228,Talstraße,library,Medienbus,Mo 14:30-15:15,https://www.karlsruhe.de/b2/bibliotheken/zweigstellen/medienbus.de,,POINT (8.4820515 48.9461983),,,,,,,,,,,,,Stadtbibliothek Karlsruhe,,,,,,,,,,,,medienbus@kultur.karlsruhe.de,,,,,,,,,,,,,,,,,,,,
node,8626773084,,,,,,library,Medienbus,Th 16:00-17:30; PH off,https://www.karlsruhe.de/b2/bibliotheken/zweigstellen/medienbus.de,,POINT (8.3679502 49.0306062),,,2022-04-22,,,,,,,,,,Stadtbibliothek Karlsruhe,,,,,,,,,,,,medienbus@kultur.karlsruhe.de,,,no,,,,,,,,,,,,,,,,,
node,10244318905,,,,,,library,Bibliothek des Bundesgerichtshofs,Mo-Th 08:30-15:00; Fr 08:30-14:00; PH off,https://www.bundesgerichtshof.de/DE/Bibliothek/bibliothek_node.html,yes,POINT (8.3975646 49.0073512),,,,,,,,,,permissive,Q28733701,,Bundesgerichtshof,,,Zugang für externe Nutzer eingeschränkt möglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10258031797,Karlsruhe,,46-48,76189,Bernhard-Lichtenberg-Straße,library,Ökumenische Bücherei Oberreut,We 16:00-17:00; Th 17:00-18:00; Su 10:30-11:30,,,POINT (8.3641186 48.9857548),,,,,Oberreut,,,,,,,,,,,,,,buecherei-oberreut@web.de,,+49 721 86489632,https://www.eopac.net/ka-oberreut/,,,,,,,,,,,,,,,,,,,,,,,
way,4234637,Karlsruhe,DE,15,76133,Erbprinzenstraße,library,Badische Landesbibliothek,Mo-Fr 09:00-19:00; Sa 10:00-18:00,,yes,"POLYGON ((8.3990882 49.0073282, 8.3983997 49.0075428, 8.3983809 49.0075487, 8.3985148 49.0077336, 8.3986078 49.007862, 8.3985376 49.0078839, 8.3985845 49.0079486, 8.3986316 49.0080136, 8.3987044 49.0079909, 8.3989343 49.0083083, 8.398953 49.0083025, 8.3996634 49.0080811, 8.3996085 49.0080052, 8.3994005 49.00807, 8.3989972 49.0075132, 8.3991807 49.007456, 8.3990882 49.0073282))",,,2023-04-11,,,,DE-31,BLB,,,Q799084,,,,,,,,service@blb-karlsruhe.de,,+49 721 1752222,http://www.blb-karlsruhe.de/,,,,de:Badische Landesbibliothek,,,"[2460204057, 5122128194, 25278249, 5122128191, 25278250, 25278251, 2908995106, 25278252, 25278253, 2395644976, 5122128199, 25278255, 1250230828, 1250231019, 1250231241, 2460204067, 2460204057]",Oswald Mathias Ungers,civic,3,1984,yes,Bádenská krajinská knižnica - BLB,saltbox,http://www.blb-karlsruhe.de/blb/blbhtml/org/impressum.html,1992-01,,,,,,,
way,90183572,,,,,,library,Wissenstor BLB,"Mo-Fr 09:00-22:00; Sa,Su 10:00-22:00",,no,"POLYGON ((8.3985137 49.0084222, 8.3986904 49.0083668, 8.3988616 49.0083132, 8.3988022 49.0082317, 8.3986316 49.0082852, 8.3984543 49.0083407, 8.3985137 49.0084222))",,,2022-08-16,,,,,,,,,,,,,,,,,,,http://www.blb-karlsruhe.de,,,,,,,"[1045556784, 5116643895, 1045556789, 1045556768, 5116643896, 1045556764, 1045556784]",,yes,3,,,,hipped,,1992,,,,,,,
way,317990202,Karlsruhe,DE,2,76131,Straße am Forum,library,KIT-Bibliothek,"Mo-Fr 09:00-19:00; Sa 09:00-12:30 || ""nur mit Bibliotheksausweis""; PH ""nur mit Bibliotheksausweis""",https://www.bibliothek.kit.edu/,yes,"POLYGON ((8.4162553 49.0114194, 8.4162552 49.0114191, 8.416253 49.0113948, 8.416253 49.0113944, 8.4162507 49.0113701, 8.4162507 49.0113697, 8.4162484 49.0113454, 8.4162484 49.0113452, 8.4162484 49.011345, 8.4162461 49.0113207, 8.4162461 49.0113203, 8.4162438 49.011296, 8.4162438 49.0112956, 8.4162416 49.0112714, 8.4162415 49.0112709, 8.4162393 49.0112467, 8.4162392 49.0112462, 8.416237 49.0112224, 8.416237 49.011222, 8.4162347 49.0111977, 8.4162347 49.0111973, 8.4162325 49.011173, 8.4162324 49.0111728, 8.4162324 49.0111726, 8.4162302 49.0111485, 8.4162301 49.0111479, 8.4162301 49.0111474, 8.4162293 49.0111387, 8.4162279 49.0111236, 8.4162278 49.0111231, 8.4163094 49.0111199, 8.4163109 49.0111198, 8.4163093 49.0111025, 8.4162897 49.0111033, 8.4162264 49.0111059, 8.4162253 49.0111059, 8.4162196 49.0111061, 8.41616 49.0111085, 8.4161532 49.0111088, 8.4161528 49.0111043, 8.4161506 49.0110801, 8.4161483 49.0110559, 8.4161479 49.0110515, 8.4161457 49.0110284, 8.4161435 49.0110052, 8.4161431 49.0110007, 8.4161499 49.0110004, 8.4162151 49.0109979, 8.416214 49.0109858, 8.4162129 49.0109737, 8.4162118 49.0109616, 8.4162106 49.0109495, 8.4162102 49.0109449, 8.4162171 49.0109446, 8.4162791 49.0109421, 8.4164235 49.0109363, 8.4164856 49.0109338, 8.4164924 49.0109335, 8.4165545 49.010931, 8.4165613 49.0109307, 8.4166233 49.0109282, 8.4167679 49.0109224, 8.4168299 49.0109199, 8.4168366 49.0109196, 8.4168988 49.0109171, 8.4169056 49.0109169, 8.4169676 49.0109144, 8.4171122 49.0109085, 8.4171742 49.010906, 8.417181 49.0109058, 8.417243 49.0109033, 8.4172499 49.010903, 8.4172792 49.0109018, 8.4173158 49.0109003, 8.4173226 49.0109, 8.4173231 49.0109046, 8.4173242 49.0109167, 8.4173276 49.0109529, 8.417328 49.0109574, 8.4173302 49.0109806, 8.4173324 49.0110037, 8.4173328 49.0110081, 8.4173351 49.0110324, 8.4173373 49.0110566, 8.4173377 49.011061, 8.4173309 49.0110613, 8.417265 49.0110639, 8.417198 49.0110671, 8.4170294 49.0110734, 8.416967 49.0110759, 8.4168175 49.0110819, 8.4167833 49.0110833, 8.4167424 49.0110849, 8.4166986 49.0110867, 8.4166673 49.0110879, 8.4165315 49.0110934, 8.4164462 49.0110969, 8.4164322 49.0110975, 8.4164338 49.0111149, 8.4164367 49.0111148, 8.4165154 49.0111117, 8.4165155 49.0111121, 8.4165177 49.0111363, 8.4165177 49.0111368, 8.416518 49.0111391, 8.41652 49.011161, 8.41652 49.0111614, 8.4165203 49.0111641, 8.4165215 49.0111771, 8.4165223 49.0111857, 8.4165223 49.0111861, 8.4165225 49.0111884, 8.4165232 49.011196, 8.4165246 49.0112104, 8.4165246 49.0112108, 8.4165268 49.0112351, 8.4165269 49.0112355, 8.416527 49.0112369, 8.4165291 49.0112598, 8.4165292 49.0112602, 8.4165309 49.0112793, 8.4165314 49.0112844, 8.4165315 49.0112849, 8.4165315 49.0112858, 8.4165328 49.0112992, 8.4165337 49.0113091, 8.4165337 49.0113096, 8.4165338 49.0113103, 8.416535 49.0113233, 8.4165359 49.0113334, 8.416536 49.0113338, 8.416536 49.0113347, 8.4165372 49.0113475, 8.4165381 49.0113581, 8.4165381 49.0113585, 8.4165382 49.011359, 8.4165405 49.0113828, 8.4165406 49.0113832, 8.4165428 49.0114075, 8.4165429 49.011408, 8.4164602 49.0114113, 8.4164353 49.0114123, 8.4164347 49.0114123, 8.4163641 49.0114151, 8.4163586 49.0114153, 8.4163574 49.0114154, 8.4163362 49.0114162, 8.416334 49.0114163, 8.4162553 49.0114194))",wlan,,,,,,DE-90,,,,Q1718711,academic,Karlsruher Institut für Technologie,,library,,,,,,,,,,,de:KIT-Bibliothek,,,"[443374302, 2550875974, 2550875969, 2550875967, 2550875961, 2550875959, 2550875953, 10572450792, 2550875951, 2550875945, 2550875943, 2550875937, 2550875935, 2550875929, 2550875927, 2550875919, 2550875915, 2550875908, 2550875906, 2550875900, 2550875898, 2550875892, 10572450891, 2550875890, 10572450893, 2550875884, 2550875882, 10572450788, 2550875876, 443374303, 10572450894, 443374314, 443374316, 3739440613, 10572450724, 2523372123, 2552677656, 2550781780, 2523372126, 2550781771, 2639697112, 2550781759, 2550781747, 2639697098, 2550781735, 2550781724, 2550781721, 2639697076, 2651990151, 2639697075, 2639697073, 2639697071, 2523372117, 2651990121, 2651990120, 2651990116, 2651990113, 2651990112, 2651990110, 2651990109, 2651990108, 2651990104, 2651990101, 2651990100, 2651990098, 2651990097, 2651990096, 2651990092, 2651990090, 1823141975, 2651990088, 2557240305, 3385710288, 2557240301, 443374308, 2557240308, 550778130, 2557240314, 2557240319, 976181332, 2557240327, 2557240335, 2651990194, 2557240340, 443374309, 2557240346, 2557240348, 3739440605, 545026575, 10572436687, 10572436689, 10572436663, 10572436691, 10572436664, 10572436693, 10572436697, 3739440612, 443374310, 443374311, 10572450841, 443374304, 2550875874, 2550875879, 2550875881, 10572450767, 2550875887, 2550875889, 10572450769, 10572450730, 2550875895, 2550875897, 10572450771, 10572450729, 2550875903, 2550875905, 2550875911, 2550875913, 10572450773, 2550875924, 2550875926, 10572450728, 2550875932, 2550875934, 10572450775, 10572450727, 2550875940, 2550875942, 10572450777, 10572450726, 2550875948, 2550875950, 10572450779, 10572450725, 2550875956, 2550875958, 10572450783, 2550875964, 2550875966, 2550875972, 443374305, 10572450850, 2639697142, 2639697144, 10572450723, 2639697146, 2639697147, 2639697149, 10572450895, 443374302]",,university,,,,,,,,4,-1,indoor,Fahrstuhl vorhanden,,,
way,326092577,,,,,,library,Fachbibliothek Chemie,,,,"POLYGON ((8.4139023 49.0115081, 8.4139005 49.0114862, 8.4139187 49.0114855, 8.4139215 49.0114844, 8.4139232 49.011483, 8.4139245 49.0114811, 8.4139211 49.0114384, 8.4139195 49.0114365, 8.4139172 49.0114354, 8.4139145 49.0114341, 8.4138963 49.0114348, 8.4138949 49.0114165, 8.4139131 49.0114159, 8.4139154 49.0114148, 8.413917 49.0114133, 8.4139189 49.0114113, 8.4139173 49.011392, 8.413915 49.0113634, 8.4139141 49.0113618, 8.4139116 49.0113605, 8.4139085 49.0113596, 8.4139247 49.011359, 8.413924 49.0113501, 8.4142513 49.0113387, 8.414252 49.0113476, 8.4142591 49.0113474, 8.4142942 49.0113462, 8.4143016 49.0113459, 8.4143008 49.0113357, 8.4144317 49.0113312, 8.4144499 49.0115566, 8.414319 49.0115611, 8.4143182 49.0115508, 8.4143107 49.0115511, 8.4142942 49.0115517, 8.4142757 49.0115523, 8.4142685 49.0115525, 8.4142695 49.0115641, 8.4139422 49.0115755, 8.4139413 49.0115639, 8.4139251 49.0115645, 8.4139282 49.0115633, 8.4139303 49.0115616, 8.4139308 49.0115594, 8.4139287 49.011533, 8.413927 49.0115118, 8.4139254 49.0115099, 8.4139231 49.0115084, 8.4139205 49.0115074, 8.4139023 49.0115081))",,0,,,,,,FBC,,permissive,,research,,008,,,,,,,,,,,,,,,"[3314828584, 3314828580, 1795574631, 1795574629, 1795574628, 1795574626, 1795574601, 1795574600, 1795574597, 1795574594, 3314827460, 3314827456, 1795574576, 1795574574, 1795574572, 1795574570, 10633704644, 1795574548, 1795574547, 1795574543, 1795574541, 3298703678, 3298703676, 1795574500, 1795574516, 3314827446, 1795574510, 1795574509, 1795574499, 1795574497, 1795574675, 3314828604, 3298703687, 1795574678, 10633704783, 3314828602, 1795574681, 1795574690, 3314828610, 3314828605, 1795574706, 1795574703, 1795574700, 1795574696, 10633704657, 1795574656, 1795574654, 1795574650, 1795574648, 3314828584]",,,,,,,,,,,,,,room,library,
way,1162519896,,,,,,library,Fakultätsbibliothek Informatik,Currently closed due to Covid restrictions.,,limited,"POLYGON ((8.4198739 49.0139307, 8.4198596 49.013773, 8.4202544 49.0137575, 8.420335 49.0137544, 8.4203388 49.0137956, 8.4202889 49.0137975, 8.4202958 49.0138727, 8.4203456 49.0138707, 8.4203494 49.013912, 8.4198739 49.0139307))",wired,0,,,,,DE-90-148,,,,,research,Karlsruher Institut für Technologie,,,,yes,,,,,,,,,,,,"[10244519566, 10244519123, 10811667250, 2479376256, 3385017230, 3385017231, 3385017234, 3385017233, 1680559473, 10244519566]",,,,,,,,,,,,,,room,library,Informatikbibliothek
