element_type,osmid,geometry,amenity,denomination,name,religion,addr:city,addr:housenumber,addr:postcode,addr:street,contact:email,contact:phone,official_name,website,addr:country,wheelchair,level,source,toilets:wheelchair,addr:suburb,description:covid19,opening_hours:covid19,operator,phone,service_times,short_name,contact:website,start_date,check_date,description:de,historic,image,building,wheelchair:description,description,email,operator:type,place_of_worship,access,nodes,architect,heritage,heritage:operator,ref:lda,wikidata,alt_name,building:levels,construction:start_date,roof:shape,source:geometry,wikipedia,fax,opening_hours,patron_saint,wheelchair:description:de,wikimedia_commons,building:architecture,contact:fax,heritage:description,tomb,building:material,roof:levels,roof:material,fixme,source:addr,architect:wikidata,architect:wikipedia,old_name,building:colour,roof:colour,source_ref:url,url,denomination:de,addr:source,height,disused:amenity,source:outline,old_operator,old_owner,owner,building:part,loc_name,indoor,name:de,ref,room,ways,type
node,6216980451,POINT (8.3972588 49.0046232),place_of_worship,protestant,Landeskirchliche Gemeinschaft Karlsruhe,christian,,,,,,,,https://lkg-karlsruhe.de/,,,,,,,,,,+49 721 357711,Su 10:00,LkG,,,,,,,,,,kontakt@lkg-karlsruhe.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6388276525,POINT (8.388654 49.0045594),place_of_worship,vajrayana,Buddhistisches Zentrum Karlsruhe,buddhist,,,,,karlsruhe@diamondway-center.org,+49 721 8305070,,,,,,,,,,,,,,,https://www.diamantweg-buddhismus.de/karlsruhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6445808329,POINT (8.3890454 49.0092428),place_of_worship,lutheran,Fächerkirche,christian,Karlsruhe,77,76133,Amalienstraße,jonathan.egger@ab-verband.org,,,https://www.faecherkirche.de,,,,,,,,,Evangelischer Gemeinschaftsverband AB e.V.,,,,,,,,,,,,Gemeinde des AB-Verbands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8015986821,POINT (8.3908993 48.9992915),place_of_worship,roman_catholic,Kapelle Karl-Rahner-Haus,christian,,,,,,,,,,,-1,,,,,,Katholische Hochschulgemeinde Karlsruhe,,,,https://khg-karlsruhe.de/orte-und-personen/orte-der-khg/gemeindehaus,,,,,,,,,,religious,chapel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9741716490,POINT (8.3891087 48.9916636),place_of_worship,,Christliche Gemeinde,christian,,,,,,,,,,www.cv-karlsruhe.de,,,,,,,,+49 721 469037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10150947764,POINT (8.3876969 49.0323153),place_of_worship,evangelical,Freie evangelische Gemeinde Karlsruhe,christian,Karlsruhe,2,76149,Am Wald,,,,https://feg-karlsruhe.de,,yes,,,,,,,,,,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4051009,"POLYGON ((8.4088119 48.9986154, 8.4088616 48.9986166, 8.4088611 48.9986267, 8.4088764 48.998627, 8.408877 48.9986169, 8.4088925 48.9986173, 8.4088931 48.9986072, 8.4088775 48.9986068, 8.4088795 48.9985703, 8.4088815 48.9985326, 8.408897 48.9985329, 8.4088976 48.9985227, 8.408882 48.9985223, 8.4088826 48.9985121, 8.4088668 48.9985118, 8.4088662 48.998522, 8.4087587 48.9985195, 8.4087624 48.9984515, 8.4087783 48.9984518, 8.4087788 48.9984413, 8.4087629 48.9984409, 8.4087633 48.9984334, 8.4087635 48.9984306, 8.4087474 48.9984303, 8.4087469 48.9984406, 8.4086251 48.9984378, 8.4086256 48.9984274, 8.4086088 48.998427, 8.4086082 48.9984374, 8.4085922 48.998437, 8.4085917 48.9984478, 8.4086077 48.9984481, 8.4086064 48.998472, 8.4085983 48.9984718, 8.4085928 48.9984653, 8.4085757 48.9984649, 8.4085647 48.998471, 8.4085403 48.9984705, 8.4085379 48.9985145, 8.4084918 48.9985134, 8.4084924 48.9985027, 8.408476 48.9985023, 8.4084754 48.998513, 8.4084593 48.9985127, 8.4084587 48.9985233, 8.4084749 48.9985237, 8.408471 48.9985971, 8.4084548 48.9985967, 8.4084542 48.9986072, 8.4084704 48.9986076, 8.4084698 48.9986182, 8.4084859 48.9986185, 8.4084864 48.998608, 8.4085117 48.9986086, 8.408541 48.9986092, 8.4085392 48.9986435, 8.4085237 48.9986431, 8.4085231 48.9986533, 8.4085386 48.9986537, 8.4085368 48.9986874, 8.4085213 48.998687, 8.4085208 48.9986974, 8.4085363 48.9986977, 8.4085345 48.998731, 8.408519 48.9987307, 8.4085185 48.998741, 8.408534 48.9987414, 8.4085322 48.998775, 8.4085167 48.9987746, 8.4085161 48.9987848, 8.4085316 48.9987851, 8.4085298 48.9988187, 8.4085143 48.9988184, 8.4085138 48.9988285, 8.4085293 48.9988288, 8.4085275 48.9988619, 8.408512 48.9988615, 8.4085115 48.9988719, 8.4085193 48.9988721, 8.408527 48.9988723, 8.4085265 48.9988823, 8.4085422 48.9988827, 8.4085427 48.9988726, 8.4085639 48.9988731, 8.408585 48.9988736, 8.4085833 48.9989063, 8.4085676 48.998906, 8.4085671 48.9989163, 8.4085827 48.9989167, 8.4085822 48.9989271, 8.4085976 48.9989275, 8.4085982 48.998917, 8.4086422 48.998918, 8.408678 48.9989189, 8.4087226 48.9989199, 8.408722 48.9989297, 8.4087369 48.9989301, 8.4087374 48.9989202, 8.4087525 48.9989206, 8.4087528 48.9989157, 8.4087605 48.9989159, 8.4087741 48.9989088, 8.4087887 48.9989013, 8.4087894 48.9988888, 8.4087973 48.998889, 8.4087979 48.9988785, 8.4088134 48.9988788, 8.408814 48.9988684, 8.4087984 48.9988681, 8.4088002 48.998835, 8.4088157 48.9988354, 8.4088163 48.9988253, 8.4088007 48.9988249, 8.4088025 48.9987914, 8.4088181 48.9987917, 8.4088186 48.9987816, 8.4088031 48.9987812, 8.4088049 48.9987476, 8.4088204 48.998748, 8.408821 48.9987376, 8.4088054 48.9987372, 8.4088072 48.998704, 8.4088227 48.9987043, 8.4088233 48.998694, 8.4088077 48.9986936, 8.4088095 48.9986599, 8.4088251 48.9986603, 8.4088256 48.9986501, 8.4088101 48.9986497, 8.4088119 48.9986154))",place_of_worship,catholic,Unsere Liebe Frau,christian,Karlsruhe,50,76137,Augartenstraße,,,,http://ka.stadtwiki.net/Unsere_Liebe_Frau,DE,yes,,LA-KA;Bing,,,,,,,Su 10:15;Tu 15:00;Th 18:30;Fr 18:30,,,1892,,,,,church,,,,,,,"[21480384, 5157536697, 1043680362, 5157536700, 5157536490, 5157536491, 5157536487, 5157536486, 7040256471, 5157536483, 5157536482, 5157536772, 1043680387, 7040256436, 7040256437, 7040256438, 5115796592, 7040256429, 7040256427, 7040256426, 5157536693, 6077656437, 7040256428, 7040256424, 7040256425, 7040256432, 7040256433, 7040256434, 1043680384, 7040256430, 7040256431, 7040256435, 1043680377, 7040256467, 7040256468, 7040256469, 7040256470, 1043680355, 1043680334, 21480385, 5157536767, 5157536766, 5157536769, 5157536768, 5157536770, 5157536771, 5157536484, 5157536485, 5157536488, 1043680364, 5157536698, 5157536699, 5157536489, 5577341597, 1043680361, 5157536705, 7040256457, 7040256458, 5157536780, 5157536779, 7040256459, 7040256460, 5157536496, 5157536497, 7040256456, 7040256455, 5157536785, 5157536786, 7040256463, 7040256464, 5157536502, 5157536503, 7040256461, 7040256462, 21480382, 5157536510, 7040256465, 7040256466, 8378924464, 5157536511, 7040256442, 7040256440, 7040256441, 8378924465, 1043680353, 1043680381, 5157536800, 6077657365, 6077657366, 6077657247, 6077657249, 5157536801, 5577341585, 5577341584, 5157536802, 5157536513, 6077657252, 1043680331, 6077657255, 7040256420, 7040256419, 5157536799, 5157536798, 5157536796, 5157536797, 21480383, 7040256454, 7040256453, 5157536509, 5157536505, 7040256444, 7040256445, 5157536792, 5157536787, 7040256446, 7040256452, 5157536783, 5157536498, 7040256451, 5157536495, 5157536494, 5157536781, 7040256450, 7040256447, 5157536777, 5157536773, 7040256449, 7040256448, 5157536703, 21480384]",Franz Jakob Schmitt,4,lda,N,Q107509129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,4058964,"POLYGON ((8.3994741 49.0084537, 8.3995242 49.008523, 8.3996025 49.0084986, 8.3996179 49.0085199, 8.3996947 49.0086261, 8.3996637 49.0086358, 8.399753 49.0087592, 8.399607 49.0088047, 8.3996118 49.0088112, 8.3994991 49.0088463, 8.399409 49.0088743, 8.3994032 49.0088663, 8.3992513 49.0089136, 8.3991631 49.0087917, 8.3991303 49.0088019, 8.399038 49.0086744, 8.399115 49.0086504, 8.3990649 49.0085811, 8.3991216 49.0085634, 8.3991739 49.0085471, 8.3991345 49.0084926, 8.3993317 49.0084312, 8.399351 49.0084579, 8.3993927 49.0084449, 8.3994129 49.0084727, 8.3994741 49.0084537))",place_of_worship,roman_catholic,St. Stephan,christian,Karlsruhe,16,76133,Erbprinzenstraße,,,,,DE,yes,,,,,,,,,,,,1814,,,,,church,,,,,,,"[21492960, 1248862739, 1248862073, 9129709700, 1248862251, 1248862852, 21492961, 1248863112, 3384577797, 9129709703, 3384577798, 1248862790, 21492954, 1248862895, 21492955, 1248862158, 1248862375, 1248862494, 9129709697, 21492956, 2711641707, 21492958, 2711641706, 2711641704, 21492959, 21492960]",Friedrich Weinbrenner,,,,Q2323225,Pfarrkirche St. Stephan,4,1808,dome,"Maps4BW, LGL, www.lgl-bw.de",de:St. Stephan (Karlsruhe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23942670,"POLYGON ((8.4919781 49.0079115, 8.4919904 49.0079587, 8.4919761 49.0079603, 8.4919894 49.0080118, 8.4920029 49.0080103, 8.4920156 49.0080596, 8.4920295 49.008058, 8.4920422 49.0081068, 8.492151 49.0080947, 8.4921382 49.0080454, 8.4921513 49.0080439, 8.4921386 49.0079949, 8.4921544 49.0079932, 8.4921416 49.0079439, 8.4921278 49.0079454, 8.492115 49.0078962, 8.4920502 49.0079034, 8.4919781 49.0079115))",place_of_worship,new_apostolic,Neuapostolische Kirche,christian,Karlsruhe,5,76229,Grezzostraße,,,,,DE,yes,,,,Grötzingen,,,,,,,,,,,,,yes,,,,,,,"[259527034, 1641679278, 1641679277, 1641679285, 1641679286, 1641679289, 1641679290, 259527030, 259527031, 1641679288, 1641679287, 1641679281, 1641679280, 1641679275, 1641679279, 259527032, 9312651636, 259527034]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24025158,"POLYGON ((8.3699551 49.0304457, 8.3701426 49.0304398, 8.3701421 49.0302206, 8.3701239 49.0302141, 8.3700959 49.0302084, 8.3700719 49.0302064, 8.3700461 49.0302055, 8.3700223 49.0302062, 8.3699947 49.0302097, 8.3699705 49.0302136, 8.3699469 49.0302192, 8.3699275 49.0302245, 8.3699551 49.0304457))",place_of_worship,evangelical,All Christian Believers' Fellowship,christian,Karlsruhe,36,76187,Bienwaldstraße,,,,http://acbf.de,DE,,,,,,,,,+49 721 3357433,,,,,,,,,church,,,,,,,"[260548928, 260548931, 260548932, 1459380163, 1459380159, 260548933, 1459380157, 1459380158, 260548934, 1459380160, 1459380164, 260548935, 260548928]",,,,,,,3,,flat,,,+49 721 3357434,Tu-Fr 09:30-12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24167974,"POLYGON ((8.43977 49.012653, 8.439877 49.012653, 8.439877 49.0125834, 8.4398771 49.0125137, 8.4397701 49.0125137, 8.4397701 49.0124609, 8.4394554 49.0124608, 8.4394554 49.0125337, 8.4393599 49.0125337, 8.4393599 49.0126353, 8.4393769 49.0126353, 8.4393768 49.0127586, 8.4394553 49.0127586, 8.4394553 49.0127064, 8.43977 49.0127064, 8.43977 49.012653))",place_of_worship,roman_catholic,St. Martin,christian,Karlsruhe,3,76131,Mannheimer Straße,,,,,DE,yes,,,,Rintheim,,,Katholische Kirchengemeinde St. Martin,,Su 11:00,,http://www.st-raphael-ka.de/html/kirche_st_martin.html,1959-10-04,,,,https://commons.wikimedia.org/wiki/File:2014-08-17_rintheim_st_martinskirche.jpg,church,Rampe vorhanden,,,religious,,,"[1478909871, 1478909872, 5210819545, 1478909850, 1478909849, 1478909844, 1371512850, 1371512858, 1478909854, 1478909868, 1478909869, 1478909882, 1478909883, 1478909875, 1478909876, 1478909871]",Werner Groh,yes,,,Q107509126,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,"Mo-Sa 09:00-17:00; Su,PH off",Martin von Tours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24406227,"POLYGON ((8.3669306 49.0233875, 8.3669081 49.023414, 8.3668453 49.0233864, 8.3668189 49.0234124, 8.3667585 49.0233871, 8.3667245 49.0234124, 8.3666669 49.0233891, 8.3666385 49.0234125, 8.3666059 49.0234017, 8.366592 49.0234125, 8.3665607 49.0234024, 8.3665487 49.0234153, 8.3665174 49.0234489, 8.3665288 49.0234712, 8.3665343 49.0234968, 8.3665353 49.0235097, 8.3665361 49.0235208, 8.3665336 49.0235453, 8.3665174 49.0235759, 8.3665359 49.0235934, 8.3665543 49.0236109, 8.366592 49.0235953, 8.366608 49.0236104, 8.3666389 49.023595, 8.366655 49.0236099, 8.3666858 49.0235947, 8.3667019 49.0236094, 8.3667273 49.0235944, 8.3667462 49.0236089, 8.3667811 49.0235941, 8.3667944 49.0236084, 8.3668226 49.0235938, 8.3668347 49.023608, 8.3668723 49.0235935, 8.3668856 49.0236075, 8.3669218 49.0235932, 8.3669312 49.023607, 8.3669635 49.0235929, 8.3669754 49.0236065, 8.3670337 49.0235873, 8.3670493 49.0235797, 8.3670651 49.0235693, 8.3670812 49.023553, 8.3670875 49.023544, 8.3670938 49.0235329, 8.3671005 49.0235175, 8.3671009 49.0235064, 8.3671008 49.0234932, 8.3670982 49.0234793, 8.3670941 49.0234705, 8.3670874 49.0234553, 8.3670797 49.0234444, 8.3670669 49.0234324, 8.3670498 49.023421, 8.3670253 49.0234133, 8.3669894 49.0234047, 8.36699 49.0233873, 8.3669306 49.0233875))",place_of_worship,roman_catholic,St. Konrad,christian,Karlsruhe,16b,76187,Hertzstraße,,,,,DE,yes,,"LGL, www.lgl-bw.de",,,,,,,,,,1957,,,,,church,,,,,,,"[574324748, 264930401, 264930405, 264930406, 264930410, 264930411, 264930416, 264930418, 264930419, 264930420, 264930421, 4759834959, 264930423, 264930424, 26086679, 4759834962, 1461833960, 264930426, 264930366, 4759834960, 264930367, 264930368, 264930369, 264930370, 264930372, 264930373, 264930375, 264930376, 264930377, 264930378, 264930380, 264930381, 264930382, 264930384, 264930385, 264930386, 264930387, 264930389, 264930390, 264930391, 1461833966, 264930392, 1461833962, 1461833961, 264930394, 1461833957, 1461833955, 264930395, 1461833948, 1461833946, 264930397, 1461833945, 1461833944, 264930398, 1461833942, 2635372753, 264930399, 574324748]",,,,,Q1774123,,3,,flat,,de:St. Konrad (Karlsruhe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
