element_type,osmid,amenity,community_centre,name,wheelchair,geometry,description:de,email,opening_hours,phone,website,toilets:wheelchair,addr:city,addr:housenumber,addr:postcode,addr:street,contact:phone,contact:website,level,name:ang,name:fr,smoking,source,contact:email,contact:fax,addr:country,addr:suburb,description,fee,internet_access,internet_access:fee,internet_access:ssid,leisure,outdoor_seating,source:date,community_centre:for,operator,denomination,religion,check_date,nodes,building,building:levels,roof:shape,wikidata,wikipedia,check_date:opening_hours,opening_hours:signed,seamark:small_craft_facility:category,seamark:type,sport,addr:housename
node,8391163367,community_centre,parish_hall,Pfarrhein Sankt Helena,,POINT (6.6088249 49.739093),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roman_catholic,christian,,,,,,,,,,,,,
node,8487110389,community_centre,,Jugendzentrum Euren,,POINT (6.6126329 49.7421844),,,,,,,,,,,,https://www.jugendzentrum-euren.de/,1,,,,,,,,,,,,,,,,,juvenile;child,,,,,,,,,,,,,,,,
node,10959390154,community_centre,,Stadtteiltreff Mariahof,,POINT (6.659158 49.7312084),,,,,,,Trier,27d,54296,Am Mariahof,,,,,,,,,,,,,,,,,,,,,Caritasverband Trier e. V.,,,2023-06-06,,,,,,,,,,,,
way,24718163,community_centre,,Tufa,yes,"POLYGON ((6.639622 49.7510748, 6.6397755 49.7510324, 6.6397889 49.7510598, 6.6400767 49.7509907, 6.6401113 49.7510442, 6.6401322 49.7510397, 6.6402072 49.7511703, 6.64009 49.751198, 6.6399552 49.7512299, 6.639975 49.7512698, 6.6400313 49.7512578, 6.6400452 49.7512844, 6.6400576 49.7513078, 6.6400006 49.7513189, 6.6400313 49.7513747, 6.6401841 49.7513399, 6.640224 49.7514069, 6.6401707 49.7514199, 6.6400074 49.7514552, 6.6399551 49.7514677, 6.6398878 49.7513315, 6.6398475 49.7512477, 6.6397504 49.7512712, 6.639622 49.7510748))",,,,,http://www.tufa-trier.de/tufa-trier.html,,Trier,4-6,54290,Wechselstraße,,,,,,,,,,DE,,,,,,,,,,,Tufa Kultur- und Kommunikationszentrum,,,,"[268658241, 1415019395, 1415019400, 268658242, 1415019397, 1415019391, 268658243, 10895838933, 268658245, 4571755509, 4571755511, 4571755590, 4571755510, 4571755508, 1075320422, 268658246, 268658247, 1428993509, 1428993510, 268658248, 1415019472, 268658249, 268658250, 268658241]",yes,3,flat,Q1583731,de:Tuchfabrik (Kulturzentrum),,,,,,
way,45651861,community_centre,club_house,Angelclub 1956 Zewen-Oberkirch,,"POLYGON ((6.5784091 49.7101868, 6.5783311 49.7101363, 6.5784141 49.7100824, 6.5784899 49.7101315, 6.5785242 49.7101536, 6.5784802 49.7101822, 6.5784481 49.7101615, 6.5784091 49.7101868))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC 1956 Zewen-Oberkirch e.V.,,,,"[581818386, 581818388, 581818390, 581818392, 1646782115, 1646782120, 1646782118, 581818386]",yes,,,,,,,,,,
way,72858754,community_centre,events_venue,Europahalle,yes,"POLYGON ((6.6368849 49.7518071, 6.6368405 49.7517239, 6.6368693 49.7517174, 6.6367832 49.7515597, 6.6367528 49.7515667, 6.6367059 49.7514807, 6.6366661 49.7514898, 6.6366327 49.7514287, 6.6365984 49.7514365, 6.6365614 49.7513688, 6.63653 49.7513112, 6.6365601 49.7513043, 6.6365025 49.7511988, 6.6365266 49.7511933, 6.6365142 49.7511705, 6.6364774 49.7511789, 6.6364266 49.7510847, 6.6362068 49.7511338, 6.6362453 49.7512281, 6.6361089 49.7512581, 6.636135 49.7513086, 6.63601 49.7513371, 6.636084 49.7514727, 6.6360309 49.7514848, 6.6361286 49.7516638, 6.6361604 49.7516566, 6.6362701 49.7518576, 6.6362958 49.7519045, 6.6364004 49.7518807, 6.636376 49.7518359, 6.6365636 49.7517932, 6.6366087 49.7518721, 6.6368849 49.7518071))",,,,,,yes,Trier,15,54290,Viehmarktplatz,,,,,,,,,,DE,,,,,,,,,,,,,,,"[1715945360, 1428683480, 1428683475, 1428683443, 1428683448, 1428683428, 1281372151, 1428683407, 1428683414, 1281372184, 1428905224, 1428905222, 1428905204, 1428905203, 1428905201, 1428905202, 864659906, 864659875, 1281372099, 1281372090, 1428905223, 1281372153, 1428683426, 1281372148, 1281372083, 1428683457, 1428683490, 1428683498, 1428683496, 1428683484, 1428683482, 1428683500, 1715945360]",yes,3,flat,,,,,,,,
way,134931110,community_centre,village_hall,Bürgerhaus,,"POLYGON ((6.6869758 49.7529208, 6.6871333 49.7527816, 6.6869257 49.7526843, 6.6867797 49.7528197, 6.6869758 49.7529208))",,,,,,,Trier,31,54296,Am Weidengraben,,,,,,,Bing,,,,,,,,,,,,,,,,,,"[1482548615, 1482548616, 1482548617, 1482548618, 1482548615]",yes,1,flat,,,2022-07-06,no,,,,
way,137938870,community_centre,club_home,Kajüte,,"POLYGON ((6.6061602 49.7184496, 6.6062511 49.7184757, 6.6063258 49.7183667, 6.6062349 49.7183406, 6.6061602 49.7184496))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yachthafen Monaise,,,,"[1512573970, 1512573991, 1512573935, 1512573917, 1512573970]",yes,2,flat,,,,,nautical_club,small_craft_facility,,
way,145573189,community_centre,,Schammatdorfzentrum,yes,"POLYGON ((6.6333358 49.7361802, 6.6333847 49.7361818, 6.6334325 49.7362161, 6.6335414 49.7362189, 6.6335535 49.7362135, 6.6335608 49.7361438, 6.6336088 49.7361452, 6.6336107 49.7361035, 6.6335643 49.7361012, 6.6335663 49.7360658, 6.633558 49.7360564, 6.6335067 49.7360556, 6.633508 49.7360255, 6.6334476 49.7360252, 6.6334473 49.7360543, 6.6334109 49.7360528, 6.6334086 49.7360799, 6.6333459 49.736077, 6.6333413 49.7361242, 6.6333386 49.7361516, 6.6333358 49.7361802))",,,,,,yes,Trier,13a,54294,Im Schammat,,,,,,,,,,DE,,,,,,,,,,,,,,,"[1589648869, 1589648870, 1589648886, 1589648890, 1589648880, 1589648853, 1589648852, 1589648837, 1589648836, 1589648829, 1589648826, 1589648825, 1589648812, 1589648814, 1589648823, 1589648820, 1589648831, 1589648830, 4644549123, 4644549129, 1589648869]",public,,,,,,,,,,
way,147062689,community_centre,club_home,TuS Euren,,"POLYGON ((6.6136378 49.744962, 6.6134584 49.7448267, 6.6135574 49.7447716, 6.6136312 49.7448273, 6.6136175 49.7448349, 6.613723 49.7449145, 6.6136378 49.744962))",,,,,,,Trier,118,54294,Eurener Straße,,,,,,,,,,DE,,,,,,,,,,athlete,,,,,"[1602544874, 1602544865, 1602544861, 1602544871, 1602544872, 1602544873, 1602544874]",yes,,,,,,,,,,
way,147182262,community_centre,club_home,Karate Sportverein Trier e.V,,"POLYGON ((6.6130469 49.744407, 6.6131921 49.7443535, 6.6130747 49.7442197, 6.6129295 49.7442731, 6.6130469 49.744407))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karate & Sportverein Trier,,,,"[1603961575, 1603961572, 1603961562, 1603961567, 1603961575]",sports_hall,,,,,,,,,karate,
way,150125780,community_centre,club_home,,,"POLYGON ((6.5980293 49.783847, 6.5980327 49.7837606, 6.5981515 49.7837625, 6.5981448 49.7839316, 6.5980072 49.7839293, 6.5980104 49.7838467, 6.5980293 49.783847))",,,,,,,,,,,,http://sv-aach.de/,,,,,,vorstand@sv-aach.de,,,,,,,,,,,,,,,,,"[1630451654, 1630451651, 1630451652, 1630451656, 1630451655, 1630451653, 1630451654]",yes,,,,,,,,,,
way,151634962,community_centre,,Pfarrsaal St. Martinus,,"POLYGON ((6.5768643 49.7195211, 6.5769973 49.7195908, 6.5769124 49.7196589, 6.5767794 49.7195893, 6.5768643 49.7195211))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1644708921, 1644709061, 1644709188, 1644709058, 1644708921]",yes,,,,,2023-06-07,no,,,,
way,215044644,community_centre,parish_hall,Pfarrheim Jugendheim,,"POLYGON ((6.6919877 49.7798367, 6.6922858 49.7799358, 6.6922924 49.77995, 6.6923102 49.7799287, 6.6924124 49.7799692, 6.6923702 49.7800087, 6.6923766 49.7800182, 6.6923808 49.7800303, 6.6923754 49.780043, 6.6923721 49.7800492, 6.6923634 49.7800563, 6.6923415 49.7800645, 6.6923282 49.7800648, 6.6923144 49.7800637, 6.6922941 49.7800583, 6.6922823 49.7800512, 6.6922247 49.7800634, 6.6922069 49.7800714, 6.6921775 49.7800625, 6.6919533 49.7799841, 6.6918957 49.779964, 6.6918861 49.7799606, 6.6919104 49.7799277, 6.6918489 49.7799077, 6.6918966 49.7798511, 6.6919603 49.7798701, 6.6919877 49.7798367))",,,,,,,Trier,24,54293,Adulastraße,,,,,,,,,,DE,,,,,,,,,,,,,,,"[2201325578, 2201325606, 2244674131, 2244674134, 2244674133, 2201325581, 4449109075, 2201325575, 4449109076, 4449109080, 2201325570, 2201325573, 4449109081, 4449109077, 2201325580, 4449109078, 2201325571, 4449109079, 2201325592, 4453284081, 4453284082, 2201325579, 4449109072, 4449109071, 4449109073, 4449109074, 2201325578]",yes,,,,,,,,,,Ehemalige katholische Pfarrkirche St. Martin
way,300692023,community_centre,,Jugendtreff Ehrang - Quint e.V.,,"POLYGON ((6.7012191 49.8164183, 6.7010904 49.8164868, 6.7011941 49.816568, 6.7013228 49.8164995, 6.7012191 49.8164183))",,,,,,,Trier,66,54293,Merowingerstraße,,,,,,,,,,,,,,,,,,,,youth,,,,,"[3047998818, 3047998819, 3047998820, 3047998821, 3047998818]",yes,,,,,,,,,,
way,401067369,community_centre,village_hall,,,"POLYGON ((6.5673906 49.741368, 6.5671852 49.741322, 6.5672688 49.741166, 6.5674743 49.741212, 6.5673906 49.741368))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4035339646, 4035339647, 4035339648, 4035339649, 4035339646]",public,,,,,,,,,,
way,444070940,community_centre,village_hall,Bürgerhaus Ehrang,,"POLYGON ((6.6864417 49.8100363, 6.6863355 49.8101128, 6.6864515 49.8101803, 6.6865595 49.8102431, 6.6865665 49.8102471, 6.6866644 49.8101577, 6.6865821 49.8101128, 6.6864514 49.8100416, 6.6864417 49.8100363))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4415747394, 4415747395, 4444207295, 4444207294, 4415755150, 5189572327, 5189572329, 5189572330, 4415747394]",civic,,,,,,,,,,
