element_type,osmid,building,geometry,building:levels,roof:levels,roof:orientation,roof:shape,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,source,amenity,check_date,nodes,contact:phone,historic:name,historic:railway,name,social_facility,social_facility:for,website,addr:housename,addr:suburb,champagne,craft,email,fax,opening_hours,phone,shop,source:date,wheelchair,wikidata,wikipedia,contact:email,contact:website,operator,healthcare,healthcare:speciality,old_name,start_date,roof:height,heritage,heritage:operator,beds,rooms,smoking,tourism,architect,castle_type,historic,contact:fax,leisure,gdke:criteria,alt_name,building:colour,office,image,note,fixme,building:material,height,roof:material,roof:colour,building:min_level,noaddress,description,disused:tower:type,man_made,ways,type
way,91842117,residential,"POLYGON ((6.6291161 49.7512894, 6.6291381 49.7513934, 6.6291641 49.7513916, 6.6291834 49.7513698, 6.6293079 49.7513577, 6.6292829 49.7512425, 6.6291107 49.7512672, 6.6291161 49.7512894))",2,1,,gabled,Trier,DE,3,54290,Kaiserstraße,,,,"[1067303399, 1067303386, 4575460264, 4575460263, 3317653508, 4575460262, 4575461192, 1067303399]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,92703529,residential,"POLYGON ((6.6351494 49.7498338, 6.6351893 49.7499225, 6.635264 49.7499089, 6.6352699 49.7499185, 6.6353427 49.7499069, 6.6353407 49.7499012, 6.6352987 49.7498089, 6.6352184 49.7498221, 6.6351494 49.7498338))",,,,,Trier,DE,31,54290,Südallee,,,,"[1075247780, 1075247757, 4503253012, 4503253013, 4503253014, 4503253015, 1075247777, 1438659071, 1075247780]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106292616,residential,"POLYGON ((6.6334512 49.7489659, 6.6333227 49.748704, 6.6332744 49.7486079, 6.6328744 49.748692, 6.6330587 49.7490478, 6.6334512 49.7489659))",1,1,,round,Trier,DE,34,54290,Gilbertstraße,http://www.smw-trier.de/,,,"[1223362293, 1727778074, 1223362300, 1223362297, 1223362284, 1223362293]",,,,SMW,,,http://www.smw-trier.de/,Weinkellerei Joh. Förster,Süd,yes,winery,info@smw-trier.de,+49 651 97529-20,Mo-Fr 08:00-17:00,+49 651 97529-0,wine,2016-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106862804,residential,"POLYGON ((6.6301425 49.7424798, 6.6301852 49.742562, 6.6303682 49.7425141, 6.6302971 49.7423959, 6.6302456 49.7424079, 6.6302668 49.7424474, 6.6301425 49.7424798))",,,,,Trier,DE,53,54290,Töpferstraße,bing,,,"[1228866664, 1228866706, 1228866622, 1228866751, 4933127463, 4933127462, 1228866664]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106864349,residential,"POLYGON ((6.6288602 49.7463455, 6.629003 49.7463303, 6.6289895 49.7462288, 6.6288302 49.7462489, 6.6288602 49.7463455))",,,,,Trier,DE,71,54290,Saarbrücker Straße,bing,,,"[1228880274, 1228880276, 1228880265, 1228880234, 1228880274]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106864350,residential,"POLYGON ((6.6302692 49.745913, 6.6303997 49.7458862, 6.6303542 49.7457936, 6.6303259 49.7457361, 6.630254 49.7457509, 6.6302815 49.7458069, 6.6302229 49.7458189, 6.6302692 49.745913))",,,,,Trier,DE,2,54290,Wyttenbachstraße,,,,"[1228880272, 1228880270, 5032329046, 1228880288, 5030447243, 5030447242, 1228880290, 1228880272]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106864352,residential,"POLYGON ((6.6286893 49.7462666, 6.628714 49.7463641, 6.6288602 49.7463455, 6.6288302 49.7462489, 6.6286893 49.7462666))",,,,,Trier,DE,73,54290,Saarbrücker Straße,bing,,,"[1228880251, 1228880284, 1228880274, 1228880234, 1228880251]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106912499,residential,"POLYGON ((6.6309618 49.7418857, 6.6309782 49.7419275, 6.630996 49.7419725, 6.6308785 49.7419918, 6.6308611 49.7419478, 6.6308443 49.741905, 6.6309618 49.7418857))",,,,,Trier,DE,2;4,54290,Im Nonnenfeld,bing,,,"[1725377298, 1229369779, 1229369682, 1229369747, 1229369795, 1725377303, 1725377298]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106912501,residential,"POLYGON ((6.6308087 49.7415003, 6.6306922 49.74152, 6.6307271 49.7416061, 6.6308436 49.7415864, 6.6308087 49.7415003))",,,,,Trier,DE,18;20,54290,Im Nonnenfeld,bing,,,"[1229369788, 1229369739, 1229369687, 1229369719, 1229369788]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,106912504,residential,"POLYGON ((6.6309615 49.742262, 6.6309769 49.7422595, 6.6311016 49.7422395, 6.6310708 49.7421596, 6.6309307 49.7421822, 6.6309615 49.742262))",,,,,Trier,DE,2c,54290,Im Nonnenfeld,bing,,,"[1229369741, 1725377457, 1229369715, 1229369696, 1229369791, 1229369741]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110561926,residential,"POLYGON ((6.6776753 49.7869243, 6.6777337 49.7868979, 6.6777221 49.786887, 6.6777764 49.7868626, 6.67768 49.7867728, 6.6775652 49.7868245, 6.6775953 49.7868525, 6.677568 49.7868648, 6.6775893 49.7868847, 6.6776186 49.7868715, 6.6776753 49.7869243))",2,,,,Trier,DE,3 A,54293,Mäusheckerweg,,,,"[1262335538, 1632957223, 1632957222, 1262335539, 1262335540, 1262335541, 1632957213, 1632957219, 1632957221, 1632957220, 1262335538]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110561928,residential,"POLYGON ((6.6774643 49.7868089, 6.6775209 49.7867825, 6.6775105 49.7867732, 6.6775696 49.7867456, 6.6774709 49.7866569, 6.6773534 49.7867117, 6.677381 49.7867365, 6.6773542 49.786749, 6.6773773 49.7867697, 6.6774059 49.7867564, 6.6774643 49.7868089))",2,,,,Trier,DE,3,54293,Mäusheckerweg,,,,"[1262335549, 1632957211, 1632957210, 1262335550, 1262335551, 1262335552, 1632957202, 1632957205, 1632957208, 1632957206, 1262335549]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570274,residential,"POLYGON ((6.6697825 49.7931874, 6.6700797 49.7932914, 6.6701453 49.7932107, 6.6699272 49.7931353, 6.6698468 49.7931075, 6.669831 49.7931271, 6.6697908 49.7931771, 6.6697825 49.7931874))",,,,,Trier,DE,141-147,54293,Auf der Bausch,Bing,,,"[1262398231, 1262398234, 1262398237, 4485472061, 1262398239, 4485178474, 4485178471, 1262398231]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570275,residential,"POLYGON ((6.6694955 49.792847, 6.6697723 49.7929747, 6.6698571 49.7928997, 6.6695847 49.7927721, 6.6694955 49.792847))",,,,,Trier,DE,159-165,54293,Auf der Bausch,Bing,,,"[1262398246, 1262398249, 1262398252, 1262398255, 1262398246]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570276,residential,"POLYGON ((6.669017 49.7928188, 6.6693154 49.7927021, 6.6693281 49.7927171, 6.6696299 49.7925992, 6.6695515 49.792513, 6.6693238 49.7926023, 6.6692502 49.7926312, 6.6692363 49.7926156, 6.6690909 49.7926738, 6.6689369 49.7927355, 6.669017 49.7928188))",,,,,Trier,DE,175-189,54293,Auf der Bausch,Bing,,,"[1262398265, 4485178468, 4485178469, 1262398268, 1262398272, 4485472038, 4485178470, 4485178467, 4485472044, 1262398274, 1262398265]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570277,residential,"POLYGON ((6.6683995 49.7925234, 6.6686226 49.7924341, 6.6686395 49.7924514, 6.6689419 49.792333, 6.6688597 49.7922462, 6.6687883 49.7922742, 6.6687194 49.7923013, 6.6685604 49.7923637, 6.6685236 49.7923239, 6.6684473 49.7923566, 6.6684702 49.7923799, 6.668409 49.7924039, 6.6683194 49.7924391, 6.6683995 49.7925234))",,,,,Trier,DE,195-207,54293,Auf der Bausch,Bing,,,"[1262398289, 4485178462, 4485178463, 1262398292, 1262398296, 4485472010, 4485472015, 4485178464, 4485178465, 4485178466, 4485178461, 4485472021, 1262398301, 1262398289]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570281,residential,"POLYGON ((6.668022 49.7923245, 6.6681709 49.7922651, 6.6680957 49.7921796, 6.6680217 49.7922088, 6.6679411 49.7922406, 6.668022 49.7923245))",,,,,Trier,DE,209;211,54293,Auf der Bausch,Bing,,,"[1262398311, 1262398329, 1262398332, 4485221531, 1262398339, 1262398311]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570286,residential,"POLYGON ((6.668245 49.7922371, 6.6683951 49.7921769, 6.6683168 49.7920925, 6.6682406 49.7921229, 6.6681667 49.7921524, 6.668245 49.7922371))",,,,,Trier,DE,213;215,54293,Auf der Bausch,Bing,,,"[1262398351, 1262398357, 1262398365, 4485221524, 1262398370, 1262398351]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570290,residential,"POLYGON ((6.6684658 49.7921498, 6.6686166 49.7920902, 6.6685399 49.7920043, 6.6684612 49.7920359, 6.6683867 49.7920658, 6.6684658 49.7921498))",,,,,Trier,DE,217;219,54293,Auf der Bausch,Bing,,,"[1262398380, 1262398384, 1262398387, 4485221514, 1262398397, 1262398380]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570292,residential,"POLYGON ((6.6701655 49.7926111, 6.6703861 49.7927846, 6.6703368 49.7928108, 6.6703739 49.79284, 6.6704218 49.7928146, 6.67058 49.7929391, 6.6705315 49.7929647, 6.6705705 49.7929954, 6.6706154 49.7929716, 6.6708347 49.7931442, 6.6708567 49.7931325, 6.6708844 49.7931543, 6.6709252 49.7931327, 6.6708976 49.793111, 6.6709417 49.7930877, 6.6702672 49.792557, 6.670228 49.7925777, 6.6701998 49.7925556, 6.6701611 49.7925761, 6.6701894 49.7925984, 6.6701655 49.7926111))",,,,,Trier,DE,95;97;99,54293,Auf der Bausch,Bing,,,"[1262398427, 4485178592, 4485178594, 4485178593, 4485178591, 4485178488, 4485178590, 4485178589, 4485178487, 1262398429, 4485178483, 4485178485, 4485178486, 4485178484, 1262398431, 1262398433, 4485178598, 4485178596, 4485178595, 4485178597, 1262398427]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570318,residential,"POLYGON ((6.6710255 49.7937259, 6.6713067 49.7936055, 6.6713957 49.7936935, 6.6712802 49.7937418, 6.6716201 49.7940788, 6.6714248 49.7941622, 6.6713533 49.7940907, 6.6714272 49.7940582, 6.6712781 49.7939215, 6.6712279 49.7938781, 6.6711906 49.7938914, 6.6710255 49.7937259))",,,,,Trier,DE,138,54293,Auf der Bausch,Bing,,,"[1262398605, 1262398606, 1262398607, 1262398608, 1262398609, 1262398610, 1262398611, 1262398612, 1262398613, 4485178350, 1262398614, 1262398605]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570330,residential,"POLYGON ((6.6705296 49.7923731, 6.6703957 49.7922858, 6.6704066 49.7922791, 6.6705191 49.7922097, 6.6706111 49.7922708, 6.6705586 49.7923058, 6.6705965 49.7923313, 6.6705296 49.7923731))",,,,,Trier,DE,92,54293,Auf der Bausch,Bing,,,"[1262398672, 1262398673, 4485472012, 1262398674, 1262398675, 4485178325, 4485178324, 1262398672]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570331,residential,"POLYGON ((6.6701371 49.7921343, 6.6702085 49.7920883, 6.6702645 49.7920521, 6.6703178 49.7920177, 6.6703806 49.7919773, 6.6704454 49.7919355, 6.6705541 49.7920057, 6.6702458 49.7922045, 6.6702092 49.7921809, 6.670146 49.79214, 6.6701371 49.7921343))",,,,,Trier,DE,82-90,54293,Auf der Bausch,Bing,,,"[1262398676, 4485472000, 4485471998, 4485471997, 4485471995, 1262398677, 1262398678, 1262398679, 4485178319, 4485178316, 1262398676]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570332,residential,"POLYGON ((6.6697401 49.7919732, 6.6698639 49.7920268, 6.6701204 49.7917966, 6.6699966 49.7917413, 6.6697401 49.7919732))",,,,,Trier,DE,72-80,54293,Auf der Bausch,Bing,,,"[1262398680, 1262398681, 1262398682, 1262398683, 1262398680]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570333,residential,"POLYGON ((6.6694977 49.7918888, 6.6696959 49.791633, 6.6695551 49.7915902, 6.6695167 49.7916399, 6.6694759 49.7916925, 6.6694411 49.7917376, 6.6694057 49.7917833, 6.6693594 49.7918432, 6.6693705 49.7918469, 6.6694495 49.7918729, 6.6694977 49.7918888))",,,,,Trier,DE,62-70,54293,Auf der Bausch,Bing,,,"[4485178310, 1262398686, 1262398687, 4485471174, 4485471180, 4485471185, 4485471989, 4485178311, 4485178312, 4485178315, 4485178310]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570334,residential,"POLYGON ((6.6689424 49.7915008, 6.6689542 49.7914701, 6.6689486 49.7914545, 6.6689667 49.7914419, 6.6689796 49.7914141, 6.6690906 49.7914346, 6.669075 49.7914691, 6.6690518 49.7915204, 6.6689424 49.7915008))",,,,,Trier,DE,48,54293,Auf der Bausch,Bing,,,"[1262398688, 4485178299, 4485178298, 4485178300, 1262398689, 1262398690, 4485178303, 1262398691, 1262398688]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570338,residential,"POLYGON ((6.6678709 49.7919648, 6.6678504 49.7919426, 6.6678032 49.7918914, 6.6679291 49.7918417, 6.667995 49.7919162, 6.6678709 49.7919648))",,,,,Trier,DE,26,54293,Auf der Bausch,Bing,,,"[1262398704, 4485178399, 1262398705, 1262398706, 1262398707, 1262398704]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570339,residential,"POLYGON ((6.6676265 49.7917701, 6.6675573 49.7916949, 6.6676628 49.7916516, 6.6677145 49.791704, 6.6677376 49.7917273, 6.6676265 49.7917701))",,,,,Trier,DE,28,54293,Auf der Bausch,Bing,,,"[1262398708, 1262398709, 1262398710, 4485178437, 1262398711, 1262398708]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570340,residential,"POLYGON ((6.6678498 49.7916849, 6.6677667 49.7915964, 6.6678671 49.791557, 6.6679502 49.7916459, 6.6678498 49.7916849))",,,,,Trier,DE,30,54293,Auf der Bausch,Bing,,,"[1262398712, 1262398713, 1262398714, 1262398715, 1262398712]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570341,residential,"POLYGON ((6.6680613 49.7915905, 6.6679841 49.7915072, 6.6680606 49.7914774, 6.6681022 49.7914811, 6.6681448 49.7915306, 6.6681136 49.7915433, 6.6681032 49.7915748, 6.6680613 49.7915905))",,,,,Trier,DE,32,54293,Auf der Bausch,Bing,,,"[1262398717, 1262398719, 1262398721, 4485178434, 1262398723, 4485178435, 4485178436, 1262398717]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570342,residential,"POLYGON ((6.6681276 49.791867, 6.6680577 49.7917925, 6.6681581 49.7917527, 6.6681709 49.7917645, 6.6682073 49.7917476, 6.6682618 49.7918046, 6.6682656 49.7918085, 6.668227 49.7918232, 6.6682256 49.7918292, 6.6681276 49.791867))",,,,,Trier,DE,34,54293,Auf der Bausch,Bing,,,"[1262398726, 1262398728, 1262398730, 4485178403, 4485178404, 4485178407, 1262398732, 4485178406, 4485178405, 1262398726]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570343,residential,"POLYGON ((6.6683221 49.7918122, 6.6683006 49.791789, 6.6682513 49.7917359, 6.6683483 49.7916971, 6.6684197 49.7917735, 6.6683221 49.7918122))",,,,,Trier,DE,36,54293,Auf der Bausch,Bing,,,"[1262398737, 4485178408, 1262398739, 1262398741, 1262398743, 1262398737]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570344,residential,"POLYGON ((6.6684156 49.791661, 6.668531 49.7916799, 6.668563 49.7916082, 6.668569 49.7915946, 6.6684509 49.7915746, 6.6684156 49.791661))",,,,,Trier,DE,38,54293,Auf der Bausch,Bing,,,"[1262398749, 1262398751, 4485178419, 1262398753, 1262398755, 1262398749]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570345,residential,"POLYGON ((6.6681839 49.7913572, 6.6682309 49.7913658, 6.6682275 49.7913847, 6.6682741 49.79139, 6.6682807 49.7913745, 6.6683306 49.7913833, 6.6683603 49.7913143, 6.6682121 49.7912899, 6.6681839 49.7913572))",,,,,Trier,DE,42,54293,Auf der Bausch,Bing,,,"[1262398758, 4485177679, 4485177681, 4485177682, 4485177680, 1262398759, 1262398761, 1262398763, 1262398758]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570346,residential,"POLYGON ((6.6684143 49.7914289, 6.6685644 49.791455, 6.6685709 49.7914396, 6.6685946 49.7913835, 6.6685969 49.7913782, 6.6685485 49.7913692, 6.6685501 49.7913656, 6.6685008 49.7913557, 6.6685001 49.7913601, 6.6684472 49.7913537, 6.6684143 49.7914289))",,,,,Trier,DE,44,54293,Auf der Bausch,Bing,,,"[1262398766, 1262398768, 4485178290, 4485178293, 1262398770, 4485177687, 4485178289, 4485177688, 4485177686, 1262398772, 1262398766]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,110570347,residential,"POLYGON ((6.6686586 49.7914752, 6.6688004 49.7915014, 6.6688103 49.7914799, 6.6688363 49.7914231, 6.6686896 49.7913987, 6.6686586 49.7914752))",,,,,Trier,DE,46,54293,Auf der Bausch,Bing,,,"[1262398776, 1262398778, 4485178294, 1262398779, 1262398780, 1262398776]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,112790424,residential,"POLYGON ((6.6410476 49.7646596, 6.6411439 49.764709, 6.6411427 49.7647308, 6.6411777 49.7647265, 6.6412682 49.7647731, 6.6412904 49.7647549, 6.6413036 49.7647603, 6.6413725 49.7647059, 6.6413631 49.7646982, 6.6413828 49.7646839, 6.6413157 49.7646482, 6.6413079 49.7646532, 6.6412261 49.7646098, 6.6412315 49.7646036, 6.6411642 49.7645668, 6.6411397 49.7645859, 6.6411282 49.7645823, 6.6410593 49.764637, 6.6410692 49.7646408, 6.6410476 49.7646596))",,,,,Trier,DE,14,54292,Glockengießerstraße,,,,"[1281301251, 4511989189, 4511989190, 4511989188, 1281301248, 4511989191, 4511989193, 4511989194, 4511989192, 1281301250, 4511989181, 4511989183, 4511989182, 4511989180, 1281301252, 4511989185, 4511989187, 4511989186, 4511989184, 1281301251]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,113367191,residential,"POLYGON ((6.6385412 49.7493968, 6.6386601 49.7493749, 6.6386644 49.7493603, 6.638706 49.7493543, 6.6386574 49.7492453, 6.6386021 49.7491301, 6.6385366 49.7491472, 6.6385812 49.7492421, 6.6384714 49.7492641, 6.6385412 49.7493968))",2,1,across,gabled,Trier,DE,17,54290,Südallee,bing,,,"[1285750230, 4573821496, 4573821494, 1285750220, 1438658834, 1285750232, 1438658826, 1438658835, 1285750236, 1285750230]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,113367194,residential,"POLYGON ((6.6381866 49.7494512, 6.6383566 49.7494153, 6.6382949 49.7492987, 6.6381683 49.7493272, 6.6381295 49.7493378, 6.6381866 49.7494512))",2,1,across,mansard,Trier,DE,19,54290,Südallee,bing,,,"[1285750240, 1285750222, 1285750233, 4573821490, 1285750213, 1285750240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
