element_type,osmid,amenity,contact:email,contact:phone,contact:website,cuisine,name,outdoor_seating,geometry,contact:fax,internet_access,internet_access:fee,opening_hours,operator,payment:american_express,payment:cash,payment:cryptocurrencies,payment:diners_club,payment:discover_card,payment:girocard,payment:jcb,payment:maestro,payment:mastercard,payment:visa,smoking,source,takeaway,wheelchair,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,phone,toilets:wheelchair,website,website:menu,source:date,addr:housename,note,brewery,check_date,drink:viez,email,level,old_name,start_date,wheelchair:description:de,award:GaultMillau,award:michelin,stars,tourism,fax,microbrewery,rooms,wikidata,product,delivery,capacity,alt_name,check_date:opening_hours,opening_hours:kitchen,payment:electronic_purses,highchair,toilets,diet:vegetarian,opening_hours:signed,diet:halal,diet:kosher,diet:vegan,indoor_seating,image,lunch,biergarten,wheelchair:description,pay_tv:sky,source:start_date,beds,contact:mail,building:levels,roof:levels,roof:shape,air_conditioning,payment:credit_cards,payment:debit_cards,smoking:outside,description:de,contact:facebook,contact:mobile,craft,reservation,drive_in,brand,brand:wikidata,brand:wikipedia,owner,drive_through,drink:wine,access,description,fixme,payment:coins,payment:notes,diet:raw,payment:contactless,delivery:partner,internet_access:operator,internet_access:ssid,seating,self_service,organic,nodes,building,url
node,259662227,restaurant,,+49 651 307961,http://www.la-gondola-trier.de/,italian,La Gondola,terrace,POINT (6.6377208 49.7365397),+49 651 307962,,,"11:00-14:30,17:00-23:00",Familie Pianalto,,,,,,,,,,,,http://www.la-gondola-trier.de/,,no,,,,,,,,no,,,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,260402161,restaurant,,+49 651 1705798,,italian,Da Antonio,,POINT (6.6391486 49.7299115),,,,,,,,,,,,,,,,,,,,Trier,,78,54294,Auf der Weismark,Feyen-Weismark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,277731395,restaurant,kontakt@glashaus-trier.de,+49 651 10282,,,Glashaus Resto Café Kneipe,,POINT (6.6875178 49.7435886),+49 651 9963252,,,"11:30-15:00, 18:00-01:00",,,,,,,,,,,,,,,limited,Trier,,21,54296,Im Treff,,,,https://www.glashaus-trier.de/,,,,,,,,,,,,"Das WC ist selbst für einen Aktivrollstuhl deutlich zu eng- sonst kommt man allerdings gut klar. Die Tische habe einen Fuß, der einen mit dem Rollstuhl etwas auf Abstand hält.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,279374954,restaurant,,,,,Klosterschenke,,POINT (6.6996995 49.7240959),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,279550546,restaurant,,,,,Restaurant Bonjour,,POINT (6.579288 49.72187),,,,"Mo,We,Th,Fr 11:00-14:00,17:00-22:00; Sa,Su 11:00-22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,290622724,restaurant,,+49 651 1461663,http://www.kimbistro-sushi.de/,asian,Bistro Kim Saigon,,POINT (6.635631 49.7464433),+49 651 9919573,,,,,,,,,,,,,,,no,http://www.kimbistro-sushi.de/,,no,,,,,,,,,,,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,290831007,restaurant,,,,,Alt Olewig,,POINT (6.6603282 49.7430684),,,,Mi 17:00-24:00; Do-Fr 17:00 - 01:30; Sa-So 17:00-24:00,,,,,,,,,,,,,,,,Trier,DE,136,54295,Olewiger Straße,,+49 651 309162,,https://alt-olewig.de/home,https://alt-olewig.de/speisekarte,,,,,,served,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,290831101,restaurant,info@beckers-trier.de,+49 651 93808-0,http://www.beckers-trier.de/,,Becker's,,POINT (6.6676288 49.7421608),+49 651 93808-88,,,,,,,,,,,,,,,,http://www.beckers-trier.de/,,,Trier,DE,206,54295,Olewiger Straße,Olewig,,,,,2017-08-01,,,,,,,,,,,18,yes,2,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,290831123,restaurant,,,,german,Blesius Garten,,POINT (6.6599316 49.7434037),,wlan,no,,,,,,,,,,,,,,http://www.blesius-garten.de/,,limited,Trier,DE,135,54295,Olewiger Straße,Olewig,+49 651 36060,,http://www.blesius-garten.de/,https://www.blesius-garten.de/cams/clients/blesiusgartenrel/media/kategorie_text_de_bt1_13.pdf,2017-08-01,,,,,served,info@blesius-garten.de,,,,,,,4,hotel,+49 651 360633,yes,61,Q111390282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,290985942,restaurant,,,,local,Weinstube Gehlen,,POINT (6.6994781 49.7440381),,,,,,,,,,,,,,,,,,,no,Trier,,3,54296,Am Hötzberg,,+49 651 10462,,https://www.weingut-gehlen.de/,,,,,,,served,,,,,,,,,,,,,,viez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,297102378,restaurant,,,,italian,Rialto,,POINT (6.6654824 49.7796778),,,,"Mo-Sa 11:30-14:00,18:00-23:00; Tu off; Su 11:30-14:00,18:00-22:00",,,,,,,,,,,,,,yes,,Trier,,100,54293,Biewerer Straße,,+49 651 61691,,,,,,,Karlsberg,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,318675619,restaurant,info@schroeders-hotels.de,+49 651 840840,http://www.schroeders-hotels.de/,,Schroeders Stadtwaldhotel,terrace,POINT (6.6212206 49.7667501),+49 651 8408410,wlan,no,,,,,,,,,,,,,,http://www.schroeders-hotels.de/,,yes,Trier,,12,54293,Am Gillenbach,West-Pallien,,yes,,,2016-05-12,,,,,,,,,,,,,3S,hotel,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,380403212,restaurant,,,,,Scheppers Restaurant,terrace,POINT (6.7200349 49.7771703),,,,,Christian Morgen,,,,,,,,,,,,http://www.scheppers-restaurant.de/,,,Trier,,29,54292,Eitelsbacher Straße,Ruwer-Eitelsbach,+49 651 52253,,http://www.scheppers-restaurant.de/,,2016-05-11,,,,,,info@scheppers-restaurant.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,427909906,restaurant,,,,asian,Yong,,POINT (6.6375912 49.7506182),,,,Tu-Fr 11:30-19:00; Th 11:30-21:00; Sa 11:30-17:00,,,,,,,,,,,,no,http://www.yong-suppenbar.de/,,yes,Trier,DE,39,54290,Neustraße,Mitte-Gartenfeld,+49 651 1453158,no,http://www.yong-suppenbar.de/,,2016-05-10,,,,,,mail@yong-suppenbar.de,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,459984654,restaurant,info@hotel-klosterschenke.de,+49 651 968440,http://www.hotel-klosterschenke.de/,,Klosterschenke,,POINT (6.6955026 49.7805482),+49 651 96844-30,wlan,,,,,,,,,,,,,,,http://www.hotel-klosterschenke.de/,,,Trier,DE,10,54293,Klosterstraße,Pfalzel,,,,,2017-08-09,,,,,,,,,,,,,3,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,459984655,restaurant,,,,italian,Ristorante Pizzeria Da Toni,yes,POINT (6.6911294 49.7827736),,,,"Tu-Su 12:00-14:00,18:00-23:00",,,,,,,,,,,,,,,,Trier,,11,54293,Ringstraße,,+49 651 99634222,,https://cdn.website.dish.co/media/2b/e5/1198534/Da-Toni-speisekarte-entwurf-korrektur.pdf,,,Pizzeria Ristorante Il Muretto,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,464240137,restaurant,pizzeria@adriatrier.de,+49 651 9664588,http://www.adriatrier.de/,italian,Adria,,POINT (6.7032831 49.8235494),+49 651 9956005,,,"Tu-Su,PH 11:00-14:00,17:30-23:00; Mo off",,,,,,,,,,,,,http://www.adriatrier.de/,,yes,Trier,,1f,54293,Koblenzer Straße,Quint,,no,,,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,497133406,restaurant,,,,german,Kiste Trier,street,POINT (6.6389391 49.7535423),,no,,11:00-23:00,,,yes,no,,,yes,,,,,outside,,no,limited,Trier,DE,13-14,54290,Fahrstraße,Mitte-Gartenfeld,+49 651 9790066,yes,https://www.kistetrier.de/,,,,,,,,mail@kiste-trier.de,,,,,,,,,+49 651 9914848,,,,,no,,Kartoffel Kiste,2022-07-05,11:00-22:00,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,559263354,restaurant,,,,asian,asia hai,,POINT (6.6414295 49.7576346),,,,"Mo-Th 11:30-15:00,17:00-22:00; Fr 11:30-15:00,17:00-22:30; Sa 11:30-22:30; PH,Su 12:00-22:00",,,,,,,,,,,,,,,no,Trier,DE,41a,54290,Simeonstraße,Mitte-Gartenfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,566977931,restaurant,,,,german;regional,Gasthaus Crames,,POINT (6.6636506 49.7788913),,wlan,,"Tu,Th 17:00-23:00; We,Fr-Su 12:00-23:00",,,,,,,,,,,,outside,Schlemmerblock 2018,no,limited,,,,,,,+49 651 9952048,yes,https://gasthaus-crames.de/,,,,,Bitburger,,,info@gasthaus-crames.de,,,1914,,,,,,+49 651 9952108,,,,,no,,,2021-07-25,"Tu,Th 17:00-22:00; We,Fr,Sa 12:00-22:00; Su 12:00-21:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,567914537,restaurant,info@coyote.de,+49 651 9947606,http://www.coyote.de/trier/,mexican,Coyote Cafe,,POINT (6.6392233 49.7571105),+49 651 9947607,,,,,,,,,,,,,,,,http://www.coyote.de/trier/,,yes,Trier,DE,5,54290,Nikolaus-Koch-Platz,Mitte-Gartenfeld,,yes,,,2016-05-10,,,,,served,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,570871916,restaurant,,,,italian,Pizzamanufaktur Pellolitto,,POINT (6.6412806 49.7578054),,,,"Mo-Fr 12:00-14:30,18:00-22:00; Sa 12:00-22:00; PH 12:00-14:30,18:00-22:00",Bernhard-Marcellus Bender,,,,,,,,,,,,https://facebook.com/Pellolitto,,yes,Trier,,3,54290,Stockstraße,Mitte-Gartenfeld,+49 651 97637516,,https://facebook.com/Pellolitto,,2021-07-22,,,,,,pellolitto@hotmail.com,,,2014-02,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,570871949,restaurant,,,,syrian,Restaurant Aleppo,yes,POINT (6.6409818 49.7577117),,,,Mo-Sa 12:00-22:30; Su 13:00-22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-12,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,570885995,restaurant,,,,,Papa Lu,,POINT (6.6409786 49.7571358),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,570886001,restaurant,info@fornelli.de,+49 651 43385,https://www.fornelli.de,italian,Ristorante Fornelli,yes,POINT (6.6411484 49.7571838),,wlan,no,"Su off; Mo-Th 11:30-21:00; Fr,Sa 11:30-21:30",,,,,,,,,,,,,,,no,Trier,DE,34,54290,Jakobstraße,Mitte-Gartenfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,only,only,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,570914212,restaurant,,,,,New Mintons,yes,POINT (6.6402517 49.7579024),,,,,,,,,,,,,,,,isolated,http://www.newmintons.de/,,limited,Trier,DE,13,54290,Jakobstraße,Mitte-Gartenfeld,+49 651 9790265,no,https://new-mintons.de,,2016-05-10,,,,,served,newmintons@gmx.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://geo.hlipp.de/photo/84605,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,570922762,restaurant,,,,italian,Ristorante Pizzeria Frankenturm,,POINT (6.640003 49.7569627),,,,"Mo-Su,PH 11:30-14:30, 18:00-23:30",,,,,,,,,,,,,,,no,Trier,DE,3,54290,Dietrichstraße,,+49 651 978240,,http://pizzeria-frankenturm.de,,,,,,,served,,,Der Italiener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,570935954,restaurant,,,,mexican,Quesadilla,,POINT (6.6375136 49.7522766),,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,570935966,restaurant,,,,steak_house,No. 13 Grill & Steakhouse,,POINT (6.6372058 49.7520421),,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,570937484,restaurant,,,,,1000und1Nacht,,POINT (6.6354124 49.7532463),,,,,,,,,,,,,,,,,,,,Trier,,13,54290,Jüdemerstraße,Mitte-Gartenfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,575916929,restaurant,,,,german,Bitburger Wirtshaus,yes,POINT (6.6390111 49.7547115),,,,"Mo-Th 09:00-01:00, Fr,Sa 09:00-02:00, Su,PH 09:30-01:00",,,,,,,,,,,,isolated,http://www.wirtshaus-trier.de/,,yes,Trier,,1-3,54290,Kornmarkt,Mitte-Gartenfeld,+49 651 4361880,yes,http://www.wirtshaus-trier.de/,,2016-05-10,,,,,served,trier@bitburger-wirtshaus.de,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,"Man muss die Bedienung fragen, die einen mittels Schlüssel mit einem Aufzug in den Keller fährt. Dort erwartet einen eine geräumige Behindertentoilette.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,575920950,restaurant,,+49 651 9919899,http://www.louisiana.de/,burger,Louisiana,yes,POINT (6.6393513 49.7547525),,,,"Mo-Th 11:00-01:00, Fr,Sa,PH -1 day 11:00-02:00, Su,PH 10:00-01:00, PH +1 day 01:00-02:00 off",Accente Franchise,,,,,,,,,,,outside,http://www.louisiana.de/,,no,Trier,,5,54290,Johann-Philipp-Straße,Mitte-Gartenfeld,,no,,,2016-05-10,,,,,,,,,2001-10-11,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,https://www.volksfreund.de/region/trier-trierer-land/louisiana-trier-eric-naunheim-macht-es-in-eigenregie_aid-81773315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,603947441,restaurant,,+49 651 57880,,italian,Pizzeria Da Bagio,,POINT (6.70909 49.7858098),,,,,,,,,,,,,,,,,,,yes,Trier,,5,54292,Hermeskeiler Straße,Ruwer-Eitelsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,603953386,restaurant,info@hotel-casa-verde.de,+49 651 9954300,http://www.hotel-casa-verde.de/,regional,Casa Verde,terrace,POINT (6.7091749 49.7856321),,wlan,,"Mo-Sa 17:30-22:00; Su 12:00-14:30,17:00-21:00",Oliver Lenz,,,,,,,,,,,,http://www.hotel-casa-verde.de/,,no,Trier,,1,54292,Hermeskeiler Straße,Ruwer-Eitelsbach,,,,,2016-05-11,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,615666825,restaurant,,+49 651 8200520,,asian,Zimtblüte,,POINT (6.6222744 49.7494859),,,,"Mo-Sa 11:00-21:00; Su,PH 17:00-21:00",,,,,,,,,,,,,,,yes,Trier,,4,54294,Über Brücken,West-Pallien,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,621200884,restaurant,,,,pizza,Oro,,POINT (6.6365808 49.7449059),,,,"Tu-Th 18:00-22:00, Fr-Sa 18:00-02:00, Su 16:00-22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,621201587,restaurant,,+49 651 74137,http://www.weinhexe-trier.de/,buschenschank,Weinhexe,,POINT (6.63613 49.7481562),+49 651 47093,,,,,,,,,,,,,,,isolated,http://www.weinhexe-trier.de/,,yes,Trier,,18,54290,Saarstraße,Süd,,no,,,2016-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,621205167,restaurant,,+49 651 31633,,italian,Pizzeria Restaurante Da Antonio,,POINT (6.6323261 49.7400508),,,,,,,,,,,,,,,,,,,yes,Trier,,49,54290,Matthiasstraße,Süd,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,621212957,restaurant,mitrolidis@me.com,+49 651 24800,http://www.delphi-trier.de/,greek,Delphi,,POINT (6.6500277 49.7583272),+49 651 141911,,,"Tu-Su 11:30-14:30,17:00-23:00; Mo off",,,,,,,,,,,,,http://www.delphi-trier.de/,,,Trier,,8,54292,Roonstraße,Nord,,,,,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,621213460,restaurant,info@mybistrotrier.de,+49 651 1441322,https://www.mybistrotrier.de/,thai,My Bistro,,POINT (6.6507681 49.757621),,,,"Mo,Tu,Th,Fr,Sa 11:30-15:00,17:00-22:00; Su 17:00-22:00",,,,,,,,,,,,,survey,,yes,Trier,DE,24,54292,Bahnhofstraße,Nord,,yes,,,2019-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,623912870,restaurant,,+49 651 1704993,http://golden-dragon-trier.xregional.de,asian,Golden Dragon,no,POINT (6.6523855 49.7574372),,,,Tu-Su 11:30-21:00,,,,,,,,,,,,no,,,yes,Trier,DE,1,54292,Bahnhofsplatz,Mitte-Gartenfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,632507899,restaurant,,,,indian,Taj Mahal,,POINT (6.6373488 49.7505532),,,,"Tu-Su 11:30-14:30,17:30-22:30; Mo off",,,,,,,,,,,,,,,no,Trier,DE,56,54290,Neustraße,Mitte-Gartenfeld,+49 651 4602798,,https://www.tajmahal-restaurants.de/de/,,,,,,,,info@tajmahal-restaurants.de,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,632507923,restaurant,,+49 651 14539490,https://fischersmaathes.de/,german,Fischers Maathes,,POINT (6.6405456 49.7508017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,,kontakt@fischersmaathes.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
